Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51_Clus(8), , , , , , , , , , ,[' 1'],[' 4567+'],[' 2287'],"[' 602.736s (Solving', ' 592.31s 1st Model', ' 334.51s Unsat', ' 0.00s)']",[' 600.313s'], ,[' 173049574'],"[' 11773076 (Analyzed', ' 10954409)']","[' 24667    (Average', ' 444.09 Last', ' 2153821)']",[' 4178.2  '],"[' 2287     (Average Length', ' 1168.99 Splits', ' 0)']","[' 10954409 (Deleted', ' 10880359)']","[' 593      (Ratio', '   0.01%)']","[' 15291    (Ratio', '   0.14%)']","[' 10954409 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10954409 (Average', ' 15.09 Max', ' 4260 Sum', ' 165321492)']","[' 10954031 (Average', ' 15.05 Max', ' 4260 Sum', ' 164876575 Ratio', '  99.73%)']","[' 378      (Average', ' 1177.03 Max', ' 1456 Sum', ' 444917 Ratio', '   0.27%)']", ,[' 92942   '],[' 5964    '],[' 87236   '],[' 39485   '],"[' 116094   (Atom=Atom', ' 30388 Body=Body', ' 19914 Other', ' 65792)']",[' Yes'],"[' 8317     (Eliminated', '    0 Frozen', ' 8317)']","[' 2073     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14352'],[' 0'], ,[' 341.984'],[' 0'],[' 15.029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.73334e+08'],[' 4.53972e+08'],[' 0'],[' 1.65306e+10'],[' 0'],[' 0'],[' 1151 '],[' 2199 '],[' 3330 '],[' 3 '],[' 0 ']
Solving...,TA52_Clus(8), , , , , , , , , , ,[' 1'],[' 4525+'],[' 2266'],"[' 602.781s (Solving', ' 591.99s 1st Model', ' 396.44s Unsat', ' 0.00s)']",[' 595.563s'], ,[' 185412159'],"[' 8250810  (Analyzed', ' 7641502)']","[' 18995    (Average', ' 402.29 Last', ' 970284)']",[' 3959.3  '],"[' 2266     (Average Length', ' 1169.33 Splits', ' 0)']","[' 7641502  (Deleted', ' 7575544)']","[' 572      (Ratio', '   0.01%)']","[' 22433    (Ratio', '   0.29%)']","[' 7641502  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7641502  (Average', ' 23.36 Max', ' 3726 Sum', ' 178534431)']","[' 7641047  (Average', ' 23.29 Max', ' 3715 Sum', ' 178002783 Ratio', '  99.70%)']","[' 455      (Average', ' 1168.46 Max', ' 1821 Sum', ' 531648 Ratio', '   0.30%)']", ,[' 92996   '],[' 5989    '],[' 87301   '],[' 39532   '],"[' 116433   (Atom=Atom', ' 30467 Body=Body', ' 19989 Other', ' 65977)']",[' Yes'],"[' 8337     (Eliminated', '    0 Frozen', ' 8337)']","[' 3629     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.24391'],[' 0'], ,[' 313.927'],[' 0'],[' 16.3737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.35771e+08'],[' 5.27232e+08'],[' 0'],[' 1.43374e+10'],[' 0'],[' 0'],[' 1118 '],[' 2146 '],[' 3273 '],[' 3 '],[' 0 ']
Solving...,TA53_Clus(8), , , , , , , , , , ,[' 1'],[' 4141+'],[' 2074'],"[' 602.417s (Solving', ' 592.88s 1st Model', ' 340.50s Unsat', ' 0.00s)']",[' 599.313s'], ,[' 189122082'],"[' 10579115 (Analyzed', ' 9821986)']","[' 23565    (Average', ' 416.80 Last', ' 1445295)']",[' 4042.0  '],"[' 2074     (Average Length', ' 1094.04 Splits', ' 0)']","[' 9821986  (Deleted', ' 9756929)']","[' 708      (Ratio', '   0.01%)']","[' 18809    (Ratio', '   0.19%)']","[' 9821986  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9821986  (Average', ' 18.54 Max', ' 4055 Sum', ' 182136038)']","[' 9821634  (Average', ' 18.50 Max', ' 4055 Sum', ' 181740676 Ratio', '  99.78%)']","[' 352      (Average', ' 1123.19 Max', ' 1389 Sum', ' 395362 Ratio', '   0.22%)']", ,[' 92552   '],[' 5943    '],[' 86693   '],[' 39152   '],"[' 115137   (Atom=Atom', ' 30091 Body=Body', ' 19851 Other', ' 65195)']",[' Yes'],"[' 8125     (Eliminated', '    0 Frozen', ' 8125)']","[' 2602     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.98838'],[' 0'], ,[' 334.206'],[' 0'],[' 16.1883'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.39269e+08'],[' 5.17433e+08'],[' 0'],[' 1.65295e+10'],[' 0'],[' 0'],[' 1143 '],[' 2175 '],[' 3277 '],[' 3 '],[' 0 ']
Solving...,TA54_Clus(8), , , , , , , , , , ,[' 1'],[' 4033+'],[' 2020'],"[' 258.746s (Solving', ' 249.68s 1st Model', ' 146.08s Unsat', ' 0.00s)']",[' 257.063s'], ,[' 64388648'],"[' 5263099  (Analyzed', ' 2822147)']","[' 8278     (Average', ' 340.92 Last', ' 1168744)']",[' 4474.8  '],"[' 2020     (Average Length', ' 1053.53 Splits', ' 0)']","[' 2822147  (Deleted', ' 2791453)']","[' 461      (Ratio', '   0.02%)']","[' 10286    (Ratio', '   0.36%)']","[' 2822147  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2822147  (Average', ' 19.40 Max', ' 4903 Sum', ' 54753361)']","[' 2822043  (Average', ' 19.40 Max', ' 4903 Sum', ' 54750011 Ratio', '  99.99%)']","[' 104      (Average', ' 32.21 Max', ' 2350 Sum', '   3350 Ratio', '   0.01%)']", ,[' 92057   '],[' 5916    '],[' 86284   '],[' 38862   '],"[' 114277   (Atom=Atom', ' 29901 Body=Body', ' 19758 Other', ' 64618)']",[' Yes'],"[' 8036     (Eliminated', '    0 Frozen', ' 8036)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9109'],[' 0'], ,[' 157.52'],[' 0'],[' 6.30441'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.749e+08'],[' 1.38995e+08'],[' 0'],[' 8.86568e+09'],[' 0'],[' 0'],[' 1144 '],[' 2347 '],[' 3492 '],[' 2 '],[' 1 ']
Solving...,TA55_Clus(8), , , , , , , , , , ,[' 1'],[' 4289+'],[' 2148'],"[' 602.436s (Solving', ' 592.82s 1st Model', ' 446.48s Unsat', ' 0.00s)']",[' 600.547s'], ,[' 172531085'],"[' 11645290 (Analyzed', ' 10953389)']","[' 26007    (Average', ' 421.17 Last', ' 1231051)']",[' 4102.0  '],"[' 2148     (Average Length', ' 1110.11 Splits', ' 0)']","[' 10953389 (Deleted', ' 10883684)']","[' 703      (Ratio', '   0.01%)']","[' 15306    (Ratio', '   0.14%)']","[' 10953389 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10953389 (Average', ' 15.09 Max', ' 4111 Sum', ' 165287060)']","[' 10953002 (Average', ' 15.05 Max', ' 4111 Sum', ' 164881004 Ratio', '  99.75%)']","[' 387      (Average', ' 1049.24 Max', ' 1662 Sum', ' 406056 Ratio', '   0.25%)']", ,[' 92489   '],[' 5923    '],[' 86687   '],[' 39128   '],"[' 115049   (Atom=Atom', ' 30085 Body=Body', ' 19791 Other', ' 65173)']",[' Yes'],"[' 8153     (Eliminated', '    0 Frozen', ' 8153)']","[' 2191     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95586'],[' 0'], ,[' 347.725'],[' 0'],[' 15.2896'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.90248e+08'],[' 4.70034e+08'],[' 0'],[' 1.84319e+10'],[' 0'],[' 0'],[' 1203 '],[' 2241 '],[' 3375 '],[' 3 '],[' 0 ']
Solving...,TA56_Clus(8), , , , , , , , , , ,[' 1'],[' 4935+'],[' 2471'],"[' 603.074s (Solving', ' 589.96s 1st Model', ' 260.01s Unsat', ' 0.00s)']",[' 598.031s'], ,[' 192453904'],"[' 9052121  (Analyzed', ' 8252981)']","[' 20044    (Average', ' 411.74 Last', ' 684805)']",[' 4180.6  '],"[' 2471     (Average Length', ' 1271.27 Splits', ' 0)']","[' 8252981  (Deleted', ' 8191888)']","[' 660      (Ratio', '   0.01%)']","[' 20884    (Ratio', '   0.25%)']","[' 8252981  (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8252981  (Average', ' 22.35 Max', ' 4067 Sum', ' 184478993)']","[' 8252570  (Average', ' 22.29 Max', ' 3929 Sum', ' 183930072 Ratio', '  99.70%)']","[' 411      (Average', ' 1335.57 Max', ' 1608 Sum', ' 548921 Ratio', '   0.30%)']", ,[' 93480   '],[' 5956    '],[' 87713   '],[' 39789   '],"[' 117017   (Atom=Atom', ' 30589 Body=Body', ' 19911 Other', ' 66517)']",[' Yes'],"[' 8471     (Eliminated', '    0 Frozen', ' 8471)']","[' 3063     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.77134'],[' 0'], ,[' 312.059'],[' 0'],[' 16.4246'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.50938e+08'],[' 5.40535e+08'],[' 0'],[' 1.46631e+10'],[' 0'],[' 0'],[' 1224 '],[' 2389 '],[' 3469 '],[' 3 '],[' 0 ']
Solving...,TA57_Clus(8), , , , , , , , , , ,[' 1'],[' 4127+'],[' 2067'],"[' 438.378s (Solving', ' 428.01s 1st Model', ' 255.86s Unsat', ' 0.56s)']",[' 434.594s'], ,[' 116724541'],"[' 6605552  (Analyzed', ' 5943687)']","[' 14764    (Average', ' 402.58 Last', ' 1130284)']",[' 4108.2  '],"[' 2067     (Average Length', ' 1078.23 Splits', ' 0)']","[' 5943687  (Deleted', ' 5897818)']","[' 651      (Ratio', '   0.01%)']","[' 14432    (Ratio', '   0.24%)']","[' 5943687  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5943687  (Average', ' 18.47 Max', ' 4538 Sum', ' 109750820)']","[' 5943393  (Average', ' 18.42 Max', ' 4538 Sum', ' 109470901 Ratio', '  99.74%)']","[' 294      (Average', ' 952.11 Max', ' 1350 Sum', ' 279919 Ratio', '   0.26%)']", ,[' 92243   '],[' 5939    '],[' 86504   '],[' 39009   '],"[' 114774   (Atom=Atom', ' 30040 Body=Body', ' 19827 Other', ' 64907)']",[' Yes'],"[' 8097     (Eliminated', '    0 Frozen', ' 8097)']","[' 1586     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1559'],[' 0'], ,[' 236.383'],[' 0'],[' 11.3267'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.03776e+08'],[' 3.3081e+08'],[' 0'],[' 1.02812e+10'],[' 0'],[' 0'],[' 1295 '],[' 2489 '],[' 3760 '],[' 2 '],[' 1 ']
Solving...,TA58_Clus(8), , , , , , , , , , , ,[' 4061'],[' 2034'],"[' 482.753s (Solving', ' 472.80s 1st Model', ' 124.25s Unsat', ' 14.50s)']",[' 480.078s'], ,[' 164575543'],"[' 6913169  (Analyzed', ' 6417430)']","[' 14728    (Average', ' 435.73 Last', ' 195636)']",[' 3838.0  '],"[' 2034     (Average Length', ' 1064.50 Splits', ' 0)']","[' 6417430  (Deleted', ' 6357786)']","[' 576      (Ratio', '   0.01%)']","[' 21503    (Ratio', '   0.34%)']","[' 6417430  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6417430  (Average', ' 24.71 Max', ' 3660 Sum', ' 158557414)']","[' 6416951  (Average', ' 24.63 Max', ' 3632 Sum', ' 158064262 Ratio', '  99.69%)']","[' 479      (Average', ' 1029.54 Max', ' 1581 Sum', ' 493152 Ratio', '   0.31%)']", ,[' 92593   '],[' 5959    '],[' 86714   '],[' 39170   '],"[' 115263   (Atom=Atom', ' 30115 Body=Body', ' 19899 Other', ' 65249)']",[' Yes'],"[' 8118     (Eliminated', '    0 Frozen', ' 8118)']","[' 3562     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.06283'],[' 0'], ,[' 231.216'],[' 0'],[' 13.14'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.77556e+08'],[' 4.80016e+08'],[' 0'],[' 9.61902e+09'],[' 0'],[' 0'],[' 1186 '],[' 2344 '],[' 3410 '],[' 2 '],[' 1 ']
Solving...,TA59_Clus(8), , , , , , , , , , ,[' 1'],[' 4775+'],[' 2391'],"[' 453.725s (Solving', ' 442.75s 1st Model', ' 337.28s Unsat', ' 2.07s)']",[' 451.922s'], ,[' 137389382'],"[' 7615799  (Analyzed', ' 6821026)']","[' 17609    (Average', ' 387.36 Last', ' 1440506)']",[' 4282.6  '],"[' 2391     (Average Length', ' 1219.00 Splits', ' 0)']","[' 6821026  (Deleted', ' 6771614)']","[' 661      (Ratio', '   0.01%)']","[' 14736    (Ratio', '   0.22%)']","[' 6821026  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6821026  (Average', ' 18.95 Max', ' 4508 Sum', ' 129241886)']","[' 6820700  (Average', ' 18.89 Max', ' 4508 Sum', ' 128869519 Ratio', '  99.71%)']","[' 326      (Average', ' 1142.23 Max', ' 1552 Sum', ' 372367 Ratio', '   0.29%)']", ,[' 92116   '],[' 5930    '],[' 86884   '],[' 39149   '],"[' 115121   (Atom=Atom', ' 30279 Body=Body', ' 19779 Other', ' 65063)']",[' Yes'],"[' 8374     (Eliminated', '    0 Frozen', ' 8374)']","[' 1884     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25499'],[' 0'], ,[' 247.922'],[' 0'],[' 11.8189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.62085e+08'],[' 3.75493e+08'],[' 0'],[' 1.21258e+10'],[' 0'],[' 0'],[' 1197 '],[' 2210 '],[' 3485 '],[' 2 '],[' 1 ']
Solving...,TA60_Clus(8), , , , , , , , , , , ,[' 4665'],[' 2336'],"[' 439.998s (Solving', ' 429.53s 1st Model', ' 185.93s Unsat', ' 3.64s)']",[' 437.469s'], ,[' 142527744'],"[' 8200979  (Analyzed', ' 7443511)']","[' 18065    (Average', ' 412.04 Last', ' 470694)']",[' 4146.3  '],"[' 2336     (Average Length', ' 1206.57 Splits', ' 0)']","[' 7443511  (Deleted', ' 7388117)']","[' 775      (Ratio', '   0.01%)']","[' 16011    (Ratio', '   0.22%)']","[' 7443511  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7443511  (Average', ' 18.14 Max', ' 4044 Sum', ' 135030955)']","[' 7443067  (Average', ' 18.07 Max', ' 4044 Sum', ' 134492576 Ratio', '  99.60%)']","[' 444      (Average', ' 1212.57 Max', ' 1841 Sum', ' 538379 Ratio', '   0.40%)']", ,[' 93157   '],[' 5986    '],[' 87523   '],[' 39630   '],"[' 116548   (Atom=Atom', ' 30525 Body=Body', ' 19980 Other', ' 66043)']",[' Yes'],"[' 8415     (Eliminated', '    0 Frozen', ' 8415)']","[' 2667     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.15094'],[' 0'], ,[' 221.632'],[' 0'],[' 11.2031'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.16974e+08'],[' 4.2329e+08'],[' 0'],[' 1.00092e+10'],[' 0'],[' 0'],[' 1166 '],[' 2451 '],[' 3573 '],[' 2 '],[' 1 ']
