Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51_Clus(1), , , , , , , , , ,[' 1'],[' 4565+'],[' 2286'],"[' 603.691s (Solving', ' 590.16s 1st Model', ' 434.52s Unsat', ' 0.00s)']",[' 600.313s'], ,[' 136802621'],"[' 7664569  (Analyzed', ' 6787520)']","[' 18062    (Average', ' 375.79 Last', ' 772284)']",[' 4234.3  '],"[' 2286     (Average Length', ' 1185.30 Splits', ' 0)']","[' 6787520  (Deleted', ' 6741658)']","[' 588      (Ratio', '   0.01%)']","[' 13998    (Ratio', '   0.21%)']","[' 6787520  (Average Length', '   12.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6787520  (Average', ' 18.97 Max', ' 4325 Sum', ' 128762345)']","[' 6787314  (Average', ' 18.94 Max', ' 4325 Sum', ' 128552227 Ratio', '  99.84%)']","[' 206      (Average', ' 1019.99 Max', ' 1778 Sum', ' 210118 Ratio', '   0.16%)']", ,[' 93060   '],[' 5950    '],[' 87255   '],[' 39498   '],"[' 116163   (Atom=Atom', ' 30359 Body=Body', ' 19884 Other', ' 65920)']",[' Yes'],"[' 8323     (Eliminated', '    0 Frozen', ' 8323)']","[' 1224     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.91757'],[' 0'], ,[' 326.061'],[' 0'],[' 15.7995'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.30107e+08'],[' 3.43649e+08'],[' 0'],[' 1.11605e+10'],[' 0'],[' 0'],[' 1126 '],[' 2256 '],[' 3426 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(10), , , , , , , , , ,[' 1'],[' 3977+'],[' 1992'],"[' 603.400s (Solving', ' 590.72s 1st Model', ' 248.32s Unsat', ' 0.00s)']",[' 596.453s'], ,[' 166186212'],"[' 5502950  (Analyzed', ' 5109339)']","[' 12409    (Average', ' 411.74 Last', ' 480937)']",[' 3728.5  '],"[' 1992     (Average Length', ' 1029.26 Splits', ' 0)']","[' 5109339  (Deleted', ' 5055231)']","[' 476      (Ratio', '   0.01%)']","[' 24218    (Ratio', '   0.47%)']","[' 5109339  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5109339  (Average', ' 31.42 Max', ' 3764 Sum', ' 160547209)']","[' 5108937  (Average', ' 31.33 Max', ' 3764 Sum', ' 160084427 Ratio', '  99.71%)']","[' 402      (Average', ' 1151.20 Max', ' 1474 Sum', ' 462782 Ratio', '   0.29%)']", ,[' 92756   '],[' 5984    '],[' 86782   '],[' 39256   '],"[' 115499   (Atom=Atom', ' 30173 Body=Body', ' 19974 Other', ' 65352)']",[' Yes'],"[' 8062     (Eliminated', '    0 Frozen', ' 8062)']","[' 3509     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.69703'],[' 0'], ,[' 288.351'],[' 0'],[' 17.0125'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.26259e+08'],[' 4.39715e+08'],[' 0'],[' 9.36506e+09'],[' 0'],[' 0'],[' 1100 '],[' 2154 '],[' 3297 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(11), , , , , , , , , ,[' 1'],[' 3883+'],[' 1945'],"[' 603.504s (Solving', ' 590.26s 1st Model', ' 196.18s Unsat', ' 0.00s)']",[' 591.281s'], ,[' 155216101'],"[' 5283101  (Analyzed', ' 4690807)']","[' 11510    (Average', ' 407.54 Last', ' 470926)']",[' 3883.7  '],"[' 1945     (Average Length', ' 1035.03 Splits', ' 0)']","[' 4690807  (Deleted', ' 4632382)']","[' 373      (Ratio', '   0.01%)']","[' 24448    (Ratio', '   0.52%)']","[' 4690807  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4690807  (Average', ' 31.78 Max', ' 3883 Sum', ' 149094840)']","[' 4690399  (Average', ' 31.70 Max', ' 3883 Sum', ' 148680570 Ratio', '  99.72%)']","[' 408      (Average', ' 1015.37 Max', ' 1866 Sum', ' 414270 Ratio', '   0.28%)']", ,[' 93300   '],[' 6059    '],[' 87251   '],[' 39645   '],"[' 116546   (Atom=Atom', ' 30426 Body=Body', ' 20199 Other', ' 65921)']",[' Yes'],"[' 8130     (Eliminated', '    0 Frozen', ' 8130)']","[' 3181     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.93544'],[' 0'], ,[' 294.316'],[' 0'],[' 16.7162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.71535e+08'],[' 3.93153e+08'],[' 0'],[' 8.7649e+09'],[' 0'],[' 0'],[' 1163 '],[' 2196 '],[' 3573 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(12), , , , , , , , , ,[' 1'],[' 4179+'],[' 2093'],"[' 603.771s (Solving', ' 590.18s 1st Model', ' 356.06s Unsat', ' 0.00s)']",[' 598.547s'], ,[' 176715229'],"[' 5279116  (Analyzed', ' 4788700)']","[' 13342    (Average', ' 358.92 Last', ' 429363)']",[' 3857.5  '],"[' 2093     (Average Length', ' 1080.08 Splits', ' 0)']","[' 4788700  (Deleted', ' 4734007)']","[' 504      (Ratio', '   0.01%)']","[' 24883    (Ratio', '   0.52%)']","[' 4788700  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4788700  (Average', ' 35.60 Max', ' 3826 Sum', ' 170496302)']","[' 4788296  (Average', ' 35.52 Max', ' 3826 Sum', ' 170076653 Ratio', '  99.75%)']","[' 404      (Average', ' 1038.74 Max', ' 1697 Sum', ' 419649 Ratio', '   0.25%)']", ,[' 92310   '],[' 6007    '],[' 86805   '],[' 39177   '],"[' 115378   (Atom=Atom', ' 30289 Body=Body', ' 20010 Other', ' 65079)']",[' Yes'],"[' 8187     (Eliminated', '    0 Frozen', ' 8187)']","[' 3397     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.99115'],[' 0'], ,[' 279.43'],[' 0'],[' 17.2393'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.7499e+08'],[' 4.84867e+08'],[' 0'],[' 9.33178e+09'],[' 0'],[' 0'],[' 1117 '],[' 2157 '],[' 3304 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(13), , , , , , , , , ,[' 1'],[' 3597+'],[' 1802'],"[' 602.681s (Solving', ' 592.78s 1st Model', ' 82.23s Unsat', ' 0.00s)']",[' 600.359s'], ,[' 194918135'],"[' 5737763  (Analyzed', ' 5389445)']","[' 12123    (Average', ' 444.56 Last', ' 180966)']",[' 3596.0  '],"[' 1802     (Average Length', ' 946.15 Splits', ' 0)']","[' 5389445  (Deleted', ' 5317769)']","[' 396      (Ratio', '   0.01%)']","[' 29431    (Ratio', '   0.55%)']","[' 5389445  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5389445  (Average', ' 35.24 Max', ' 3575 Sum', ' 189918427)']","[' 5388985  (Average', ' 35.15 Max', ' 3575 Sum', ' 189449400 Ratio', '  99.75%)']","[' 460      (Average', ' 1019.62 Max', ' 1164 Sum', ' 469027 Ratio', '   0.25%)']", ,[' 92861   '],[' 6041    '],[' 86776   '],[' 39306   '],"[' 115659   (Atom=Atom', ' 30197 Body=Body', ' 20139 Other', ' 65323)']",[' Yes'],"[' 7972     (Eliminated', '    0 Frozen', ' 7972)']","[' 4134     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14796'],[' 0'], ,[' 285.355'],[' 0'],[' 17.8042'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.30976e+08'],[' 5.33565e+08'],[' 0'],[' 1.0835e+10'],[' 0'],[' 0'],[' 1109 '],[' 2181 '],[' 3353 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(14), , , , , , , , , ,[' 1'],[' 3279+'],[' 1643'],"[' 602.657s (Solving', ' 593.08s 1st Model', ' 23.47s Unsat', ' 0.00s)']",[' 601.031s'], ,[' 167395957'],"[' 6677504  (Analyzed', ' 6319715)']","[' 13057    (Average', ' 484.01 Last', ' 21208)']",[' 3645.3  '],"[' 1643     (Average Length', ' 882.98 Splits', ' 0)']","[' 6319715  (Deleted', ' 6246592)']","[' 402      (Ratio', '   0.01%)']","[' 24476    (Ratio', '   0.39%)']","[' 6319715  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6319715  (Average', ' 25.72 Max', ' 3718 Sum', ' 162568096)']","[' 6319263  (Average', ' 25.66 Max', ' 3718 Sum', ' 162146843 Ratio', '  99.74%)']","[' 452      (Average', ' 931.98 Max', ' 1078 Sum', ' 421253 Ratio', '   0.26%)']", ,[' 92693   '],[' 6035    '],[' 86438   '],[' 39149   '],"[' 115199   (Atom=Atom', ' 30021 Body=Body', ' 20124 Other', ' 65054)']",[' Yes'],"[' 7830     (Eliminated', '    0 Frozen', ' 7830)']","[' 3696     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07941'],[' 0'], ,[' 315.3'],[' 0'],[' 17.2166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.08562e+08'],[' 4.23708e+08'],[' 0'],[' 1.22724e+10'],[' 0'],[' 0'],[' 1169 '],[' 2333 '],[' 3611 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(2), , , , , , , , , ,[' 1'],[' 4213+'],[' 2110'],"[' 603.421s (Solving', ' 590.67s 1st Model', ' 367.30s Unsat', ' 0.00s)']",[' 602.234s'], ,[' 151417660'],"[' 6635307  (Analyzed', ' 5989484)']","[' 15736    (Average', ' 380.62 Last', ' 474918)']",[' 4035.6  '],"[' 2110     (Average Length', ' 1095.06 Splits', ' 0)']","[' 5989484  (Deleted', ' 5941079)']","[' 510      (Ratio', '   0.01%)']","[' 18580    (Ratio', '   0.31%)']","[' 5989484  (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5989484  (Average', ' 24.14 Max', ' 4107 Sum', ' 144579096)']","[' 5989090  (Average', ' 24.07 Max', ' 4107 Sum', ' 144141738 Ratio', '  99.70%)']","[' 394      (Average', ' 1110.05 Max', ' 1353 Sum', ' 437358 Ratio', '   0.30%)']", ,[' 93004   '],[' 6003    '],[' 87121   '],[' 39480   '],"[' 116166   (Atom=Atom', ' 30367 Body=Body', ' 20031 Other', ' 65768)']",[' Yes'],"[' 8187     (Eliminated', '    0 Frozen', ' 8187)']","[' 2691     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.80252'],[' 0'], ,[' 312.301'],[' 0'],[' 16.7475'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.88122e+08'],[' 4.00559e+08'],[' 0'],[' 1.12411e+10'],[' 0'],[' 0'],[' 1118 '],[' 2235 '],[' 3411 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(3), , , , , , , , , ,[' 1'],[' 4675+'],[' 2341'],"[' 603.288s (Solving', ' 590.65s 1st Model', ' 234.10s Unsat', ' 0.00s)']",[' 600.828s'], ,[' 133956560'],"[' 8712305  (Analyzed', ' 7898174)']","[' 18094    (Average', ' 436.51 Last', ' 701262)']",[' 4207.6  '],"[' 2341     (Average Length', ' 1207.97 Splits', ' 0)']","[' 7898174  (Deleted', ' 7839976)']","[' 670      (Ratio', '   0.01%)']","[' 13264    (Ratio', '   0.17%)']","[' 7898174  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7898174  (Average', ' 15.96 Max', ' 4361 Sum', ' 126076225)']","[' 7897909  (Average', ' 15.92 Max', ' 4361 Sum', ' 125750496 Ratio', '  99.74%)']","[' 265      (Average', ' 1229.17 Max', ' 1794 Sum', ' 325729 Ratio', '   0.26%)']", ,[' 92589   '],[' 5917    '],[' 86991   '],[' 39267   '],"[' 115455   (Atom=Atom', ' 30247 Body=Body', ' 19770 Other', ' 65438)']",[' Yes'],"[' 8315     (Eliminated', '    0 Frozen', ' 8315)']","[' 1843     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.71377'],[' 0'], ,[' 341.161'],[' 0'],[' 15.3787'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.33055e+08'],[' 3.44585e+08'],[' 0'],[' 1.28803e+10'],[' 0'],[' 0'],[' 1116 '],[' 2287 '],[' 3488 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(4), , , , , , , , , ,[' 1'],[' 4099+'],[' 2053'],"[' 602.936s (Solving', ' 591.69s 1st Model', ' 192.57s Unsat', ' 0.00s)']",[' 600.953s'], ,[' 156753746'],"[' 7194788  (Analyzed', ' 6540331)']","[' 15363    (Average', ' 425.72 Last', ' 457830)']",[' 3902.0  '],"[' 2053     (Average Length', ' 1065.72 Splits', ' 0)']","[' 6540331  (Deleted', ' 6490527)']","[' 473      (Ratio', '   0.01%)']","[' 21876    (Ratio', '   0.33%)']","[' 6540331  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6540331  (Average', ' 22.99 Max', ' 3804 Sum', ' 150337730)']","[' 6539894  (Average', ' 22.91 Max', ' 3804 Sum', ' 149836050 Ratio', '  99.67%)']","[' 437      (Average', ' 1148.01 Max', ' 1335 Sum', ' 501680 Ratio', '   0.33%)']", ,[' 93358   '],[' 6056    '],[' 87395   '],[' 39711   '],"[' 116812   (Atom=Atom', ' 30522 Body=Body', ' 20190 Other', ' 66100)']",[' Yes'],"[' 8198     (Eliminated', '    0 Frozen', ' 8198)']","[' 3318     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.46034'],[' 0'], ,[' 322.758'],[' 0'],[' 16.6158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.01563e+08'],[' 4.1439e+08'],[' 0'],[' 1.35152e+10'],[' 0'],[' 0'],[' 1099 '],[' 2211 '],[' 3460 '],[' 3 '],[' 0 ']
Solving...,TA51_Clus(5), , , , , , , , , ,[' 1'],[' 4523+'],[' 2265'],"[' 603.317s (Solving', ' 590.67s 1st Model', ' 458.43s Unsat', ' 0.00s)']",[' 596.438s'], ,[' 140042350'],"[' 8658642  (Analyzed', ' 7751013)']","[' 20799    (Average', ' 372.66 Last', ' 906042)']",[' 4257.7  '],"[' 2265     (Average Length', ' 1179.40 Splits', ' 0)']","[' 7751013  (Deleted', ' 7688051)']","[' 656      (Ratio', '   0.01%)']","[' 15079    (Ratio', '   0.19%)']","[' 7751013  (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7751013  (Average', ' 17.05 Max', ' 4272 Sum', ' 132137355)']","[' 7750630  (Average', ' 17.00 Max', ' 4272 Sum', ' 131733963 Ratio', '  99.69%)']","[' 383      (Average', ' 1053.24 Max', ' 1822 Sum', ' 403392 Ratio', '   0.31%)']", ,[' 92856   '],[' 5958    '],[' 87156   '],[' 39431   '],"[' 115954   (Atom=Atom', ' 30342 Body=Body', ' 19896 Other', ' 65716)']",[' Yes'],"[' 8313     (Eliminated', '    0 Frozen', ' 8313)']","[' 1985     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72132'],[' 0'], ,[' 333.182'],[' 0'],[' 15.3726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.51115e+08'],[' 3.60843e+08'],[' 0'],[' 1.2969e+10'],[' 0'],[' 0'],[' 1128 '],[' 2291 '],[' 3389 '],[' 3 '],[' 0 ']
