Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu71_Clus(1), , , , , , , , , , , ,[' 3561+'],[' 1783'],"[' 628.316s (Solving', ' 530.62s 1st Model', ' 191.54s Unsat', ' 0.00s)']",[' 603.813s'], ,[' 16945365'],"[' 652339   (Analyzed', ' 74985)']","[' 1046     (Average', ' 71.69 Last', ' 17461)']",[' 4313.6  '],"[' 1784     (Average Length', ' 938.68 Splits', ' 0)']","[' 74985    (Deleted', ' 61810)']","[' 37       (Ratio', '   0.05%)']","[' 2805     (Ratio', '   3.74%)']","[' 74985    (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 74985    (Average', ' 139.60 Max', ' 5250 Sum', ' 10467687)']","[' 74852    (Average', ' 137.84 Max', ' 5250 Sum', ' 10335634 Ratio', '  98.74%)']","[' 133      (Average', ' 992.88 Max', ' 996 Sum', ' 132053 Ratio', '   1.26%)']", ,[' 92548   '],[' 5990    '],[' 86473   '],[' 39077   '],"[' 115006   (Atom=Atom', ' 29988 Body=Body', ' 19992 Other', ' 65026)']",[' Yes'],"[' 7970     (Eliminated', '    0 Frozen', ' 7970)']","[' 345      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.9247'],[' 0'], ,[' 146.385'],[' 0'],[' 10.7756'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.54226e+07'],[' 2.18616e+07'],[' 0'],[' 4.46341e+08'],[' 0'],[' 0'],[' 2349 '],[' 5801 '],[' 8593 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(10), , , , , , , , , , , ,[' 3351+'],[' 1678'],"[' 621.876s (Solving', ' 543.03s 1st Model', ' 119.98s Unsat', ' 0.00s)']",[' 616.344s'], ,[' 21008310'],"[' 973677   (Analyzed', ' 262676)']","[' 1467     (Average', ' 179.06 Last', ' 5473)']",[' 4305.3  '],"[' 1679     (Average Length', ' 910.81 Splits', ' 0)']","[' 262676   (Deleted', ' 240728)']","[' 82       (Ratio', '   0.03%)']","[' 5753     (Ratio', '   2.19%)']","[' 262676   (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 262676   (Average', ' 56.25 Max', ' 4979 Sum', ' 14775821)']","[' 262412   (Average', ' 55.49 Max', ' 4979 Sum', ' 14577029 Ratio', '  98.65%)']","[' 264      (Average', ' 753.00 Max', ' 753 Sum', ' 198792 Ratio', '   1.35%)']", ,[' 92707   '],[' 6025    '],[' 86510   '],[' 39142   '],"[' 115207   (Atom=Atom', ' 30023 Body=Body', ' 20097 Other', ' 65087)']",[' Yes'],"[' 7898     (Eliminated', '    0 Frozen', ' 7898)']","[' 1073     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.7041'],[' 0'], ,[' 175.512'],[' 0'],[' 12.5712'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.38138e+07'],[' 2.83628e+07'],[' 0'],[' 6.89391e+08'],[' 0'],[' 0'],[' 2732 '],[' 5115 '],[' 7587 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(11), , , , , , , , , , , ,[' 3637+'],[' 1821'],"[' 622.504s (Solving', ' 540.03s 1st Model', ' 139.68s Unsat', ' 0.00s)']",[' 616.422s'], ,[' 22719691'],"[' 797119   (Analyzed', ' 204184)']","[' 1584     (Average', ' 128.90 Last', ' 9708)']",[' 4208.6  '],"[' 1822     (Average Length', ' 989.46 Splits', ' 0)']","[' 204184   (Deleted', ' 180185)']","[' 79       (Ratio', '   0.04%)']","[' 6154     (Ratio', '   3.01%)']","[' 204184   (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 204184   (Average', ' 80.74 Max', ' 4883 Sum', ' 16485201)']","[' 203877   (Average', ' 79.48 Max', ' 4883 Sum', ' 16227628 Ratio', '  98.44%)']","[' 307      (Average', ' 839.00 Max', ' 839 Sum', ' 257573 Ratio', '   1.56%)']", ,[' 92770   '],[' 6013    '],[' 86708   '],[' 39213   '],"[' 115428   (Atom=Atom', ' 30118 Body=Body', ' 20061 Other', ' 65249)']",[' Yes'],"[' 8009     (Eliminated', '    0 Frozen', ' 8009)']","[' 1091     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.5795'],[' 0'], ,[' 161.589'],[' 0'],[' 13.0729'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77335e+07'],[' 3.21107e+07'],[' 0'],[' 5.90304e+08'],[' 0'],[' 0'],[' 2750 '],[' 6117 '],[' 7849 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(12), , , , , , , , , , , ,[' 3627+'],[' 1817'],"[' 623.355s (Solving', ' 539.77s 1st Model', ' 214.85s Unsat', ' 0.00s)']",[' 607.641s'], ,[' 19942506'],"[' 852966   (Analyzed', ' 165218)']","[' 1495     (Average', ' 110.51 Last', ' 55817)']",[' 4122.0  '],"[' 1818     (Average Length', ' 975.88 Splits', ' 0)']","[' 165218   (Deleted', ' 148965)']","[' 55       (Ratio', '   0.03%)']","[' 4840     (Ratio', '   2.93%)']","[' 165218   (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 165218   (Average', ' 83.64 Max', ' 4942 Sum', ' 13819127)']","[' 164923   (Average', ' 81.79 Max', ' 4942 Sum', ' 13513579 Ratio', '  97.79%)']","[' 295      (Average', ' 1035.76 Max', ' 1302 Sum', ' 305548 Ratio', '   2.21%)']", ,[' 92882   '],[' 6029    '],[' 86799   '],[' 39290   '],"[' 115658   (Atom=Atom', ' 30177 Body=Body', ' 20109 Other', ' 65372)']",[' Yes'],"[' 8013     (Eliminated', '    0 Frozen', ' 8013)']","[' 876      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.6442'],[' 0'], ,[' 155.261'],[' 0'],[' 12.1461'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.26149e+07'],[' 2.74804e+07'],[' 0'],[' 5.85598e+08'],[' 0'],[' 0'],[' 2515 '],[' 5177 '],[' 7464 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(13), , , , , , , , , , ,[' 1'],[' 3527+'],[' 1766'],"[' 623.908s (Solving', ' 537.05s 1st Model', ' 190.45s Unsat', ' 0.00s)']",[' 610.906s'], ,[' 21273466'],"[' 733174   (Analyzed', ' 116552)']","[' 1231     (Average', ' 94.68 Last', ' 21605)']",[' 4175.7  '],"[' 1766     (Average Length', ' 944.46 Splits', ' 0)']","[' 116552   (Deleted', ' 99323)']","[' 40       (Ratio', '   0.03%)']","[' 5097     (Ratio', '   4.37%)']","[' 116552   (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 116552   (Average', ' 130.28 Max', ' 4933 Sum', ' 15184096)']","[' 116278   (Average', ' 128.15 Max', ' 4933 Sum', ' 14936400 Ratio', '  98.37%)']","[' 274      (Average', ' 904.00 Max', ' 904 Sum', ' 247696 Ratio', '   1.63%)']", ,[' 92647   '],[' 6006    '],[' 86550   '],[' 39115   '],"[' 115164   (Atom=Atom', ' 30036 Body=Body', ' 20040 Other', ' 65088)']",[' Yes'],"[' 7959     (Eliminated', '    0 Frozen', ' 7959)']","[' 945      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.0847'],[' 0'], ,[' 152.049'],[' 0'],[' 12.7139'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.39474e+07'],[' 2.90176e+07'],[' 0'],[' 5.26585e+08'],[' 0'],[' 0'],[' 2346 '],[' 5134 '],[' 7310 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(14), , , , , , , , , , ,[' 1'],[' 3385+'],[' 1695'],"[' 622.940s (Solving', ' 539.71s 1st Model', ' 150.69s Unsat', ' 0.00s)']",[' 609.641s'], ,[' 20820164'],"[' 697222   (Analyzed', ' 169968)']","[' 1373     (Average', ' 123.79 Last', ' 4988)']",[' 3940.0  '],"[' 1695     (Average Length', ' 914.31 Splits', ' 0)']","[' 169968   (Deleted', ' 149974)']","[' 57       (Ratio', '   0.03%)']","[' 6153     (Ratio', '   3.62%)']","[' 169968   (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 169968   (Average', ' 90.53 Max', ' 4708 Sum', ' 15386960)']","[' 169683   (Average', ' 89.03 Max', ' 4708 Sum', ' 15132740 Ratio', '  98.35%)']","[' 285      (Average', ' 892.00 Max', ' 892 Sum', ' 254220 Ratio', '   1.65%)']", ,[' 92304   '],[' 5963    '],[' 86126   '],[' 38854   '],"[' 114293   (Atom=Atom', ' 29793 Body=Body', ' 19911 Other', ' 64589)']",[' Yes'],"[' 7826     (Eliminated', '    0 Frozen', ' 7826)']","[' 1039     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.0281'],[' 0'], ,[' 149.394'],[' 0'],[' 12.6265'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.47769e+07'],[' 2.93718e+07'],[' 0'],[' 4.99663e+08'],[' 0'],[' 0'],[' 2442 '],[' 4620 '],[' 7853 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(15), , , , , , , , , , , ,[' 3821+'],[' 1914'],"[' 623.903s (Solving', ' 536.35s 1st Model', ' 131.91s Unsat', ' 0.00s)']",[' 616.109s'], ,[' 22683383'],"[' 833513   (Analyzed', ' 178522)']","[' 1354     (Average', ' 131.85 Last', ' 3990)']",[' 4189.8  '],"[' 1915     (Average Length', ' 1017.26 Splits', ' 0)']","[' 178522   (Deleted', ' 154968)']","[' 59       (Ratio', '   0.03%)']","[' 5689     (Ratio', '   3.19%)']","[' 178522   (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 178522   (Average', ' 91.61 Max', ' 4819 Sum', ' 16353861)']","[' 178108   (Average', ' 89.08 Max', ' 4819 Sum', ' 15901931 Ratio', '  97.24%)']","[' 414      (Average', ' 1091.62 Max', ' 1449 Sum', ' 451930 Ratio', '   2.76%)']", ,[' 92971   '],[' 6040    '],[' 87011   '],[' 39405   '],"[' 116150   (Atom=Atom', ' 30318 Body=Body', ' 20142 Other', ' 65690)']",[' Yes'],"[' 8134     (Eliminated', '    0 Frozen', ' 8134)']","[' 1037     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.7927'],[' 0'], ,[' 160.756'],[' 0'],[' 12.7083'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.55123e+07'],[' 3.02725e+07'],[' 0'],[' 6.12354e+08'],[' 0'],[' 0'],[' 2624 '],[' 4847 '],[' 6997 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(2), , , , , , , , , , ,[' 1'],[' 3663+'],[' 1834'],"[' 622.929s (Solving', ' 540.42s 1st Model', ' 222.92s Unsat', ' 0.00s)']",[' 614.984s'], ,[' 22219326'],"[' 837911   (Analyzed', ' 163136)']","[' 1500     (Average', ' 108.76 Last', ' 35512)']",[' 4250.2  '],"[' 1834     (Average Length', ' 981.79 Splits', ' 0)']","[' 163136   (Deleted', ' 139207)']","[' 88       (Ratio', '   0.05%)']","[' 4740     (Ratio', '   2.91%)']","[' 163136   (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 163136   (Average', ' 96.48 Max', ' 4960 Sum', ' 15739435)']","[' 162904   (Average', ' 95.17 Max', ' 4960 Sum', ' 15525531 Ratio', '  98.64%)']","[' 232      (Average', ' 922.00 Max', ' 922 Sum', ' 213904 Ratio', '   1.36%)']", ,[' 92404   '],[' 5957    '],[' 86384   '],[' 38967   '],"[' 114620   (Atom=Atom', ' 29908 Body=Body', ' 19893 Other', ' 64819)']",[' Yes'],"[' 7977     (Eliminated', '    0 Frozen', ' 7977)']","[' 769      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.4038'],[' 0'], ,[' 163.386'],[' 0'],[' 13.0535'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.65461e+07'],[' 3.08342e+07'],[' 0'],[' 6.10863e+08'],[' 0'],[' 0'],[' 2432 '],[' 4773 '],[' 6994 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(3), , , , , , , , , , , ,[' 2661+'],[' 1334'],"[' 421.426s (Solving', ' 360.61s 1st Model', ' 196.98s Unsat', ' 0.00s)']",[' 416.047s'], ,[' 17339446'],"[' 236771   (Analyzed', ' 171549)']","[' 935      (Average', ' 183.47 Last', ' 39894)']",[' 4045.2  '],"[' 1334     (Average Length', ' 667.36 Splits', ' 0)']","[' 171549   (Deleted', ' 154001)']","[' 68       (Ratio', '   0.04%)']","[' 3613     (Ratio', '   2.11%)']","[' 171549   (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 171549   (Average', ' 75.08 Max', ' 5219 Sum', ' 12880160)']","[' 171422   (Average', ' 74.35 Max', ' 5219 Sum', ' 12754557 Ratio', '  99.02%)']","[' 127      (Average', ' 989.00 Max', ' 989 Sum', ' 125603 Ratio', '   0.98%)']", ,[' 91963   '],[' 5973    '],[' 85498   '],[' 38535   '],"[' 113398   (Atom=Atom', ' 29470 Body=Body', ' 19941 Other', ' 63987)']",[' Yes'],"[' 7551     (Eliminated', '    0 Frozen', ' 7551)']","[' 562      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.2262'],[' 0'], ,[' 96.0548'],[' 0'],[' 9.78132'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.81995e+07'],[' 2.39151e+07'],[' 0'],[' 1.88884e+08'],[' 0'],[' 0'],[' 2435 '],[' 18629 '],[' 20802 '],[' 3 '],[' 0 ']
Solving...,Dmu71_Clus(4), , , , , , , , , , , ,[' 3845+'],[' 1925'],"[' 623.369s (Solving', ' 538.37s 1st Model', ' 226.92s Unsat', ' 0.00s)']",[' 617.656s'], ,[' 21397037'],"[' 842451   (Analyzed', ' 161851)']","[' 1524     (Average', ' 106.20 Last', ' 48350)']",[' 4274.5  '],"[' 1926     (Average Length', ' 1026.12 Splits', ' 0)']","[' 161851   (Deleted', ' 147901)']","[' 65       (Ratio', '   0.04%)']","[' 4603     (Ratio', '   2.84%)']","[' 161851   (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 161851   (Average', ' 90.38 Max', ' 4986 Sum', ' 14627338)']","[' 161646   (Average', ' 89.16 Max', ' 4986 Sum', ' 14430948 Ratio', '  98.66%)']","[' 205      (Average', ' 958.00 Max', ' 958 Sum', ' 196390 Ratio', '   1.34%)']", ,[' 92508   '],[' 5966    '],[' 86578   '],[' 39083   '],"[' 115050   (Atom=Atom', ' 30034 Body=Body', ' 19920 Other', ' 65096)']",[' Yes'],"[' 8071     (Eliminated', '    0 Frozen', ' 8071)']","[' 776      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.2432'],[' 0'], ,[' 156.79'],[' 0'],[' 12.2897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.6671e+07'],[' 3.09693e+07'],[' 0'],[' 5.97444e+08'],[' 0'],[' 0'],[' 2333 '],[' 4816 '],[' 8091 '],[' 3 '],[' 0 ']
