Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA52_Clus(1), , , , , ,[' 4281'],[' 2144'],"[' 433.405s (Solving', ' 424.47s 1st Model', ' 367.46s Unsat', ' 0.60s)']",[' 432.281s'], ,[' 151030732'],"[' 7543001  (Analyzed', ' 6978625)']","[' 18040    (Average', ' 386.84 Last', ' 1465993)']",[' 3831.8  '],"[' 2144     (Average Length', ' 1108.01 Splits', ' 0)']","[' 6978625  (Deleted', ' 6932512)']","[' 541      (Ratio', '   0.01%)']","[' 18429    (Ratio', '   0.26%)']","[' 6978625  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6978625  (Average', ' 20.74 Max', ' 3853 Sum', ' 144717527)']","[' 6978183  (Average', ' 20.66 Max', ' 3853 Sum', ' 144211080 Ratio', '  99.65%)']","[' 442      (Average', ' 1145.81 Max', ' 1609 Sum', ' 506447 Ratio', '   0.35%)']", ,[' 92607   '],[' 5943    '],[' 86786   '],[' 39224   '],"[' 115365   (Atom=Atom', ' 30161 Body=Body', ' 19851 Other', ' 65353)']",[' Yes'],"[' 8164     (Eliminated', '    0 Frozen', ' 8164)']","[' 3244     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9493'],[' 0'], ,[' 207.15'],[' 0'],[' 11.1707'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.44782e+08'],[' 4.45288e+08'],[' 0'],[' 8.90588e+09'],[' 0'],[' 0'],[' 1151 '],[' 2166 '],[' 3277 '],[' 2 '],[' 1 ']
Solving...,TA52_Clus(10), , , , ,[' 1'],[' 3507+'],[' 1757'],"[' 602.580s (Solving', ' 593.19s 1st Model', ' 48.41s Unsat', ' 0.00s)']",[' 597.750s'], ,[' 175318076'],"[' 7055868  (Analyzed', ' 6590685)']","[' 13548    (Average', ' 486.47 Last', ' 88806)']",[' 3682.9  '],"[' 1757     (Average Length', ' 940.93 Splits', ' 0)']","[' 6590685  (Deleted', ' 6512806)']","[' 397      (Ratio', '   0.01%)']","[' 30158    (Ratio', '   0.46%)']","[' 6590685  (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6590685  (Average', ' 25.79 Max', ' 3448 Sum', ' 169982199)']","[' 6590193  (Average', ' 25.72 Max', ' 3448 Sum', ' 169516079 Ratio', '  99.73%)']","[' 492      (Average', ' 947.40 Max', ' 1148 Sum', ' 466120 Ratio', '   0.27%)']", ,[' 93015   '],[' 6052    '],[' 86822   '],[' 39365   '],"[' 115836   (Atom=Atom', ' 30210 Body=Body', ' 20178 Other', ' 65448)']",[' Yes'],"[' 7947     (Eliminated', '    0 Frozen', ' 7947)']","[' 4609     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.97248'],[' 0'], ,[' 315.662'],[' 0'],[' 16.6997'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.22823e+08'],[' 4.34354e+08'],[' 0'],[' 1.31691e+10'],[' 0'],[' 0'],[' 1154 '],[' 2252 '],[' 3533 '],[' 3 '],[' 0 ']
Solving...,TA52_Clus(11), , , , ,[' 1'],[' 3927+'],[' 1967'],"[' 598.281s (Solving', ' 586.25s 1st Model', ' 52.91s Unsat', ' 0.00s)']",[' 586.906s'], ,[' 207088233'],"[' 7020281  (Analyzed', ' 6616722)']","[' 14044    (Average', ' 471.14 Last', ' 53863)']",[' 3691.2  '],"[' 1967     (Average Length', ' 1013.89 Splits', ' 0)']","[' 6616722  (Deleted', ' 6531047)']","[' 420      (Ratio', '   0.01%)']","[' 33340    (Ratio', '   0.50%)']","[' 6616722  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6616722  (Average', ' 30.45 Max', ' 3466 Sum', ' 201472793)']","[' 6616226  (Average', ' 30.37 Max', ' 3371 Sum', ' 200960882 Ratio', '  99.75%)']","[' 496      (Average', ' 1032.08 Max', ' 1187 Sum', ' 511911 Ratio', '   0.25%)']", ,[' 92870   '],[' 6008    '],[' 86845   '],[' 39337   '],"[' 115804   (Atom=Atom', ' 30244 Body=Body', ' 20046 Other', ' 65514)']",[' Yes'],"[' 8040     (Eliminated', '    0 Frozen', ' 8040)']","[' 4858     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.22917'],[' 0'], ,[' 276.863'],[' 0'],[' 17.0041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.56155e+08'],[' 5.52037e+08'],[' 0'],[' 1.19822e+10'],[' 0'],[' 0'],[' 1077 '],[' 2198 '],[' 3256 '],[' 3 '],[' 0 ']
Solving...,TA52_Clus(12), , , , ,[' 1'],[' 3013+'],[' 1510'],"[' 402.302s (Solving', ' 394.51s 1st Model', ' 142.77s Unsat', ' 0.00s)']",[' 399.438s'], ,[' 123034132'],"[' 7209623  (Analyzed', ' 5704080)']","[' 13451    (Average', ' 424.06 Last', ' 470607)']",[' 4768.0  '],"[' 1509     (Average Length', ' 845.55 Splits', ' 0)']","[' 5704080  (Deleted', ' 5641915)']","[' 200      (Ratio', '   0.00%)']","[' 14842    (Ratio', '   0.26%)']","[' 5704080  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5704080  (Average', ' 20.24 Max', ' 4813 Sum', ' 115436151)']","[' 5703887  (Average', ' 20.21 Max', ' 4813 Sum', ' 115267209 Ratio', '  99.85%)']","[' 193      (Average', ' 875.35 Max', ' 967 Sum', ' 168942 Ratio', '   0.15%)']", ,[' 92680   '],[' 6040    '],[' 86264   '],[' 39046   '],"[' 114895   (Atom=Atom', ' 29915 Body=Body', ' 20142 Other', ' 64838)']",[' Yes'],"[' 7700     (Eliminated', '    0 Frozen', ' 7700)']","[' 1434     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14792'],[' 0'], ,[' 241.464'],[' 0'],[' 11.1108'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.06966e+08'],[' 2.48285e+08'],[' 0'],[' 1.44261e+10'],[' 0'],[' 0'],[' 3103 '],[' 4009 '],[' 5233 '],[' 3 '],[' 0 ']
Solving...,TA52_Clus(13), , , , ,[' 1'],[' 3797+'],[' 1902'],"[' 602.155s (Solving', ' 593.60s 1st Model', ' 85.23s Unsat', ' 0.00s)']",[' 601.234s'], ,[' 228971791'],"[' 9591627  (Analyzed', ' 9047266)']","[' 17869    (Average', ' 506.31 Last', ' 423303)']",[' 3735.5  '],"[' 1902     (Average Length', ' 1006.91 Splits', ' 0)']","[' 9047266  (Deleted', ' 8963296)']","[' 565      (Ratio', '   0.01%)']","[' 29482    (Ratio', '   0.33%)']","[' 9047266  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9047266  (Average', ' 24.66 Max', ' 3787 Sum', ' 223142838)']","[' 9046850  (Average', ' 24.61 Max', ' 3659 Sum', ' 222686336 Ratio', '  99.80%)']","[' 416      (Average', ' 1097.36 Max', ' 1310 Sum', ' 456502 Ratio', '   0.20%)']", ,[' 93181   '],[' 6062    '],[' 87111   '],[' 39552   '],"[' 116463   (Atom=Atom', ' 30395 Body=Body', ' 20208 Other', ' 65860)']",[' Yes'],"[' 8081     (Eliminated', '    0 Frozen', ' 8081)']","[' 3876     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.70092'],[' 0'], ,[' 314.413'],[' 0'],[' 17.221'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.37169e+08'],[' 6.17122e+08'],[' 0'],[' 1.74396e+10'],[' 0'],[' 0'],[' 1155 '],[' 2275 '],[' 3505 '],[' 3 '],[' 0 ']
Solving...,TA52_Clus(14), , , , ,[' 1'],[' 3429+'],[' 1718'],"[' 601.882s (Solving', ' 594.27s 1st Model', ' 22.97s Unsat', ' 0.00s)']",[' 600.516s'], ,[' 219005418'],"[' 10014999 (Analyzed', ' 9582292)']","[' 19089    (Average', ' 501.98 Last', ' 39447)']",[' 3608.9  '],"[' 1718     (Average Length', ' 915.22 Splits', ' 0)']","[' 9582292  (Deleted', ' 9479470)']","[' 473      (Ratio', '   0.00%)']","[' 30818    (Ratio', '   0.32%)']","[' 9582292  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9582292  (Average', ' 22.32 Max', ' 3422 Sum', ' 213859069)']","[' 9581803  (Average', ' 22.27 Max', ' 3422 Sum', ' 213386801 Ratio', '  99.78%)']","[' 489      (Average', ' 965.78 Max', ' 1104 Sum', ' 472268 Ratio', '   0.22%)']", ,[' 92613   '],[' 6003    '],[' 86407   '],[' 39086   '],"[' 114987   (Atom=Atom', ' 29975 Body=Body', ' 20031 Other', ' 64981)']",[' Yes'],"[' 7863     (Eliminated', '    0 Frozen', ' 7863)']","[' 4848     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58911'],[' 0'], ,[' 319.782'],[' 0'],[' 16.7141'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.10505e+08'],[' 5.92485e+08'],[' 0'],[' 1.8776e+10'],[' 0'],[' 0'],[' 1097 '],[' 2259 '],[' 3373 '],[' 3 '],[' 0 ']
Solving...,TA52_Clus(15), , , , ,[' 1'],[' 4217+'],[' 2112'],"[' 602.251s (Solving', ' 592.33s 1st Model', ' 303.65s Unsat', ' 0.00s)']",[' 601.016s'], ,[' 244622633'],"[' 8739687  (Analyzed', ' 8303799)']","[' 19665    (Average', ' 422.26 Last', ' 429383)']",[' 3818.3  '],"[' 2112     (Average Length', ' 1078.89 Splits', ' 0)']","[' 8303799  (Deleted', ' 8228427)']","[' 525      (Ratio', '   0.01%)']","[' 30302    (Ratio', '   0.36%)']","[' 8303799  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8303799  (Average', ' 28.71 Max', ' 3567 Sum', ' 238362125)']","[' 8303313  (Average', ' 28.64 Max', ' 3567 Sum', ' 237861672 Ratio', '  99.79%)']","[' 486      (Average', ' 1029.74 Max', ' 1633 Sum', ' 500453 Ratio', '   0.21%)']", ,[' 92929   '],[' 5988    '],[' 87035   '],[' 39430   '],"[' 115947   (Atom=Atom', ' 30309 Body=Body', ' 19986 Other', ' 65652)']",[' Yes'],"[' 8165     (Eliminated', '    0 Frozen', ' 8165)']","[' 3950     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95615'],[' 0'], ,[' 288.183'],[' 0'],[' 16.9877'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.37269e+08'],[' 6.9777e+08'],[' 0'],[' 1.41731e+10'],[' 0'],[' 0'],[' 1149 '],[' 2139 '],[' 3184 '],[' 3 '],[' 0 ']
Solving...,TA52_Clus(2), , , , , ,[' 4723'],[' 2365'],"[' 433.605s (Solving', ' 422.83s 1st Model', ' 349.92s Unsat', ' 0.48s)']",[' 432.578s'], ,[' 159960332'],"[' 7587686  (Analyzed', ' 6926845)']","[' 17974    (Average', ' 385.38 Last', ' 990239)']",[' 3983.7  '],"[' 2365     (Average Length', ' 1215.53 Splits', ' 0)']","[' 6926845  (Deleted', ' 6884400)']","[' 635      (Ratio', '   0.01%)']","[' 19055    (Ratio', '   0.28%)']","[' 6926845  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6926845  (Average', ' 22.07 Max', ' 3803 Sum', ' 152865501)']","[' 6926394  (Average', ' 21.99 Max', ' 3803 Sum', ' 152291517 Ratio', '  99.62%)']","[' 451      (Average', ' 1272.69 Max', ' 1524 Sum', ' 573984 Ratio', '   0.38%)']", ,[' 92955   '],[' 5959    '],[' 87325   '],[' 39539   '],"[' 116282   (Atom=Atom', ' 30446 Body=Body', ' 19899 Other', ' 65937)']",[' Yes'],"[' 8386     (Eliminated', '    0 Frozen', ' 8386)']","[' 3194     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.08669'],[' 0'], ,[' 203.289'],[' 0'],[' 11.3816'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.0673e+08'],[' 5.04269e+08'],[' 0'],[' 9.00433e+09'],[' 0'],[' 0'],[' 1148 '],[' 2221 '],[' 3318 '],[' 2 '],[' 1 ']
Solving...,TA52_Clus(3), , , , , ,[' 4667'],[' 2337'],"[' 441.076s (Solving', ' 430.35s 1st Model', ' 295.21s Unsat', ' 1.91s)']",[' 440.203s'], ,[' 172314256'],"[' 7194277  (Analyzed', ' 6675068)']","[' 17609    (Average', ' 379.07 Last', ' 464807)']",[' 4008.0  '],"[' 2337     (Average Length', ' 1190.60 Splits', ' 0)']","[' 6675068  (Deleted', ' 6620914)']","[' 590      (Ratio', '   0.01%)']","[' 20478    (Ratio', '   0.31%)']","[' 6675068  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6675068  (Average', ' 24.76 Max', ' 3886 Sum', ' 165259141)']","[' 6674630  (Average', ' 24.68 Max', ' 3720 Sum', ' 164736352 Ratio', '  99.68%)']","[' 438      (Average', ' 1193.58 Max', ' 1818 Sum', ' 522789 Ratio', '   0.32%)']", ,[' 92944   '],[' 5966    '],[' 87333   '],[' 39499   '],"[' 116268   (Atom=Atom', ' 30446 Body=Body', ' 19920 Other', ' 65902)']",[' Yes'],"[' 8392     (Eliminated', '    0 Frozen', ' 8392)']","[' 3469     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.20206'],[' 0'], ,[' 200.297'],[' 0'],[' 11.9088'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.29532e+08'],[' 5.26288e+08'],[' 0'],[' 8.76925e+09'],[' 0'],[' 0'],[' 1135 '],[' 2218 '],[' 3330 '],[' 2 '],[' 1 ']
Solving...,TA52_Clus(4), , , , , ,[' 4563'],[' 2285'],"[' 454.418s (Solving', ' 444.51s 1st Model', ' 198.54s Unsat', ' 0.42s)']",[' 453.469s'], ,[' 182389901'],"[' 7612144  (Analyzed', ' 7001614)']","[' 16544    (Average', ' 423.21 Last', ' 738274)']",[' 3929.7  '],"[' 2285     (Average Length', ' 1167.62 Splits', ' 0)']","[' 7001614  (Deleted', ' 6946738)']","[' 566      (Ratio', '   0.01%)']","[' 23079    (Ratio', '   0.33%)']","[' 7001614  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7001614  (Average', ' 25.07 Max', ' 3811 Sum', ' 175519778)']","[' 7001166  (Average', ' 24.99 Max', ' 3811 Sum', ' 174983502 Ratio', '  99.69%)']","[' 448      (Average', ' 1197.04 Max', ' 1474 Sum', ' 536276 Ratio', '   0.31%)']", ,[' 93104   '],[' 5996    '],[' 87399   '],[' 39623   '],"[' 116614   (Atom=Atom', ' 30514 Body=Body', ' 20010 Other', ' 66090)']",[' Yes'],"[' 8356     (Eliminated', '    0 Frozen', ' 8356)']","[' 3526     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.05266'],[' 0'], ,[' 211.473'],[' 0'],[' 12.4716'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.3675e+08'],[' 5.29084e+08'],[' 0'],[' 9.53991e+09'],[' 0'],[' 0'],[' 1101 '],[' 2202 '],[' 3286 '],[' 2 '],[' 1 ']
