Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA57_Clus(1), , , , ,[' 1'],[' 4229+'],[' 2118'],"[' 602.948s (Solving', ' 592.55s 1st Model', ' 320.12s Unsat', ' 0.00s)']",[' 601.188s'], ,[' 173979493'],"[' 10449531 (Analyzed', ' 9895414)']","[' 22439    (Average', ' 440.99 Last', ' 992438)']",[' 3943.4  '],"[' 2118     (Average Length', ' 1096.59 Splits', ' 0)']","[' 9895414  (Deleted', ' 9820990)']","[' 673      (Ratio', '   0.01%)']","[' 19232    (Ratio', '   0.19%)']","[' 9895414  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9895414  (Average', ' 16.91 Max', ' 4011 Sum', ' 167303861)']","[' 9895048  (Average', ' 16.87 Max', ' 4011 Sum', ' 166894004 Ratio', '  99.76%)']","[' 366      (Average', ' 1119.83 Max', ' 1374 Sum', ' 409857 Ratio', '   0.24%)']", ,[' 92740   '],[' 5970    '],[' 86934   '],[' 39282   '],"[' 115659   (Atom=Atom', ' 30243 Body=Body', ' 19932 Other', ' 65484)']",[' Yes'],"[' 8194     (Eliminated', '    0 Frozen', ' 8194)']","[' 2903     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.11547'],[' 0'], ,[' 335.442'],[' 0'],[' 15.357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.45002e+08'],[' 5.28485e+08'],[' 0'],[' 1.7529e+10'],[' 0'],[' 0'],[' 1276 '],[' 2418 '],[' 3605 '],[' 3 '],[' 0 ']
Solving...,TA57_Clus(10), , , , ,[' 1'],[' 3959+'],[' 1983'],"[' 602.318s (Solving', ' 592.97s 1st Model', ' 310.89s Unsat', ' 0.00s)']",[' 600.922s'], ,[' 201604905'],"[' 11015075 (Analyzed', ' 10367912)']","[' 23816    (Average', ' 435.33 Last', ' 1406298)']",[' 4033.1  '],"[' 1983     (Average Length', ' 1042.53 Splits', ' 0)']","[' 10367912 (Deleted', ' 10301026)']","[' 715      (Ratio', '   0.01%)']","[' 21667    (Ratio', '   0.21%)']","[' 10367912 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10367912 (Average', ' 18.80 Max', ' 4132 Sum', ' 194896489)']","[' 10367508 (Average', ' 18.76 Max', ' 4132 Sum', ' 194499457 Ratio', '  99.80%)']","[' 404      (Average', ' 982.75 Max', ' 1568 Sum', ' 397032 Ratio', '   0.20%)']", ,[' 93158   '],[' 6022    '],[' 87086   '],[' 39516   '],"[' 116365   (Atom=Atom', ' 30337 Body=Body', ' 20095 Other', ' 65933)']",[' Yes'],"[' 8123     (Eliminated', '    0 Frozen', ' 8123)']","[' 2717     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.83784'],[' 0'], ,[' 327.152'],[' 0'],[' 15.6799'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.01767e+08'],[' 5.70902e+08'],[' 0'],[' 1.6868e+10'],[' 0'],[' 0'],[' 1233 '],[' 2418 '],[' 3608 '],[' 3 '],[' 0 ']
Solving...,TA57_Clus(11), , , , ,[' 1'],[' 3313+'],[' 1660'],"[' 601.567s (Solving', ' 594.22s 1st Model', ' 23.45s Unsat', ' 0.00s)']",[' 600.016s'], ,[' 214087708'],"[' 11078894 (Analyzed', ' 10725216)']","[' 19771    (Average', ' 542.47 Last', ' 54737)']",[' 3581.5  '],"[' 1660     (Average Length', ' 883.48 Splits', ' 0)']","[' 10725216 (Deleted', ' 10621592)']","[' 511      (Ratio', '   0.00%)']","[' 26761    (Ratio', '   0.25%)']","[' 10725216 (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10725216 (Average', ' 19.50 Max', ' 3582 Sum', ' 209135224)']","[' 10724768 (Average', ' 19.46 Max', ' 3582 Sum', ' 208713046 Ratio', '  99.80%)']","[' 448      (Average', ' 942.36 Max', ' 1055 Sum', ' 422178 Ratio', '   0.20%)']", ,[' 92629   '],[' 6014    '],[' 86380   '],[' 39082   '],"[' 114985   (Atom=Atom', ' 29961 Body=Body', ' 20064 Other', ' 64960)']",[' Yes'],"[' 7836     (Eliminated', '    0 Frozen', ' 7836)']","[' 3920     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.52866'],[' 0'], ,[' 337.954'],[' 0'],[' 16.7616'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.42073e+08'],[' 5.29882e+08'],[' 0'],[' 2.01697e+10'],[' 0'],[' 0'],[' 1304 '],[' 2466 '],[' 3670 '],[' 3 '],[' 0 ']
Solving...,TA57_Clus(12), , , , ,[' 1'],[' 4563+'],[' 2285'],"[' 602.001s (Solving', ' 592.46s 1st Model', ' 324.89s Unsat', ' 0.00s)']",[' 600.531s'], ,[' 189677025'],"[' 11584409 (Analyzed', ' 10722929)']","[' 24688    (Average', ' 434.34 Last', ' 1007389)']",[' 4152.8  '],"[' 2285     (Average Length', ' 1177.79 Splits', ' 0)']","[' 10722929 (Deleted', ' 10634714)']","[' 704      (Ratio', '   0.01%)']","[' 20904    (Ratio', '   0.19%)']","[' 10722929 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10722929 (Average', ' 16.97 Max', ' 4138 Sum', ' 181956014)']","[' 10722534 (Average', ' 16.92 Max', ' 4138 Sum', ' 181465845 Ratio', '  99.73%)']","[' 395      (Average', ' 1240.93 Max', ' 3127 Sum', ' 490169 Ratio', '   0.27%)']", ,[' 93024   '],[' 5973    '],[' 87280   '],[' 39562   '],"[' 116305   (Atom=Atom', ' 30429 Body=Body', ' 19946 Other', ' 65930)']",[' Yes'],"[' 8331     (Eliminated', '    0 Frozen', ' 8331)']","[' 2526     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.99896'],[' 0'], ,[' 324.691'],[' 0'],[' 15.5546'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.6645e+08'],[' 5.43915e+08'],[' 0'],[' 1.65472e+10'],[' 0'],[' 0'],[' 1227 '],[' 2486 '],[' 3632 '],[' 3 '],[' 0 ']
Solving...,TA57_Clus(13), , , , ,[' 1'],[' 3919+'],[' 1963'],"[' 601.972s (Solving', ' 593.50s 1st Model', ' 219.69s Unsat', ' 0.00s)']",[' 601.094s'], ,[' 220611741'],"[' 10935686 (Analyzed', ' 10381050)']","[' 21247    (Average', ' 488.59 Last', ' 445935)']",[' 3869.1  '],"[' 1963     (Average Length', ' 1022.94 Splits', ' 0)']","[' 10381050 (Deleted', ' 10292783)']","[' 816      (Ratio', '   0.01%)']","[' 24315    (Ratio', '   0.23%)']","[' 10381050 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10381050 (Average', ' 20.65 Max', ' 4000 Sum', ' 214319370)']","[' 10380581 (Average', ' 20.60 Max', ' 4000 Sum', ' 213881334 Ratio', '  99.80%)']","[' 469      (Average', ' 933.98 Max', ' 1271 Sum', ' 438036 Ratio', '   0.20%)']", ,[' 92487   '],[' 5975    '],[' 86646   '],[' 39094   '],"[' 115168   (Atom=Atom', ' 30073 Body=Body', ' 19918 Other', ' 65177)']",[' Yes'],"[' 8029     (Eliminated', '    0 Frozen', ' 8029)']","[' 3010     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73251'],[' 0'], ,[' 317.724'],[' 0'],[' 16.4314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.35874e+08'],[' 6.08678e+08'],[' 0'],[' 1.631e+10'],[' 0'],[' 0'],[' 1399 '],[' 2553 '],[' 3749 '],[' 3 '],[' 0 ']
Solving...,TA57_Clus(14), , , , ,[' 1'],[' 4089+'],[' 2048'],"[' 602.379s (Solving', ' 592.73s 1st Model', ' 470.93s Unsat', ' 0.00s)']",[' 601.328s'], ,[' 202951500'],"[' 10510003 (Analyzed', ' 9977785)']","[' 24227    (Average', ' 411.85 Last', ' 1869444)']",[' 4010.4  '],"[' 2048     (Average Length', ' 1059.35 Splits', ' 0)']","[' 9977785  (Deleted', ' 9912076)']","[' 718      (Ratio', '   0.01%)']","[' 22344    (Ratio', '   0.22%)']","[' 9977785  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9977785  (Average', ' 19.67 Max', ' 4011 Sum', ' 196300343)']","[' 9977318  (Average', ' 19.63 Max', ' 4011 Sum', ' 195879864 Ratio', '  99.79%)']","[' 467      (Average', ' 900.38 Max', ' 1223 Sum', ' 420479 Ratio', '   0.21%)']", ,[' 93194   '],[' 6017    '],[' 87185   '],[' 39557   '],"[' 116479   (Atom=Atom', ' 30382 Body=Body', ' 20080 Other', ' 66017)']",[' Yes'],"[' 8179     (Eliminated', '    0 Frozen', ' 8179)']","[' 2988     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.91223'],[' 0'], ,[' 321.448'],[' 0'],[' 16.0547'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.35139e+08'],[' 6.02815e+08'],[' 0'],[' 1.6485e+10'],[' 0'],[' 0'],[' 1231 '],[' 2422 '],[' 3573 '],[' 3 '],[' 0 ']
Solving...,TA57_Clus(15), , , , , ,[' 4483'],[' 2245'],"[' 429.795s (Solving', ' 420.16s 1st Model', ' 287.36s Unsat', ' 0.00s)']",[' 428.609s'], ,[' 160543371'],"[' 8968892  (Analyzed', ' 8285680)']","[' 19565    (Average', ' 423.50 Last', ' 1453638)']",[' 4004.0  '],"[' 2245     (Average Length', ' 1143.62 Splits', ' 0)']","[' 8285680  (Deleted', ' 8239088)']","[' 623      (Ratio', '   0.01%)']","[' 17255    (Ratio', '   0.21%)']","[' 8285680  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8285680  (Average', ' 18.52 Max', ' 4107 Sum', ' 153454285)']","[' 8285225  (Average', ' 18.47 Max', ' 4107 Sum', ' 153008183 Ratio', '  99.71%)']","[' 455      (Average', ' 980.44 Max', ' 1648 Sum', ' 446102 Ratio', '   0.29%)']", ,[' 92863   '],[' 5952    '],[' 87045   '],[' 39423   '],"[' 115891   (Atom=Atom', ' 30312 Body=Body', ' 19888 Other', ' 65691)']",[' Yes'],"[' 8250     (Eliminated', '    0 Frozen', ' 8250)']","[' 2394     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.94013'],[' 0'], ,[' 211.325'],[' 0'],[' 11.3067'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.40861e+08'],[' 4.34764e+08'],[' 0'],[' 9.53009e+09'],[' 0'],[' 0'],[' 1244 '],[' 2328 '],[' 3480 '],[' 2 '],[' 1 ']
Solving...,TA57_Clus(2), , , , , ,[' 4205'],[' 2106'],"[' 429.099s (Solving', ' 420.43s 1st Model', ' 244.60s Unsat', ' 2.08s)']",[' 427.797s'], ,[' 138141593'],"[' 9871622  (Analyzed', ' 9225306)']","[' 20279    (Average', ' 454.92 Last', ' 1717365)']",[' 3999.2  '],"[' 2106     (Average Length', ' 1096.28 Splits', ' 0)']","[' 9225306  (Deleted', ' 9169629)']","[' 621      (Ratio', '   0.01%)']","[' 13465    (Ratio', '   0.15%)']","[' 9225306  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9225306  (Average', ' 14.23 Max', ' 4179 Sum', ' 131321613)']","[' 9224951  (Average', ' 14.20 Max', ' 4179 Sum', ' 130956317 Ratio', '  99.72%)']","[' 355      (Average', ' 1029.00 Max', ' 1381 Sum', ' 365296 Ratio', '   0.28%)']", ,[' 92272   '],[' 5936    '],[' 86645   '],[' 39020   '],"[' 114903   (Atom=Atom', ' 30053 Body=Body', ' 19800 Other', ' 65050)']",[' Yes'],"[' 8153     (Eliminated', '    0 Frozen', ' 8153)']","[' 2234     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82524'],[' 0'], ,[' 223.778'],[' 0'],[' 10.7453'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.95183e+08'],[' 3.98044e+08'],[' 0'],[' 1.04973e+10'],[' 0'],[' 0'],[' 1185 '],[' 2388 '],[' 3573 '],[' 2 '],[' 1 ']
Solving...,TA57_Clus(3), , , , ,[' 1'],[' 4669+'],[' 2338'],"[' 421.230s (Solving', ' 410.99s 1st Model', ' 327.58s Unsat', ' 0.18s)']",[' 419.875s'], ,[' 131815126'],"[' 7412699  (Analyzed', ' 6681702)']","[' 17336    (Average', ' 385.42 Last', ' 2030449)']",[' 4240.6  '],"[' 2338     (Average Length', ' 1195.58 Splits', ' 0)']","[' 6681702  (Deleted', ' 6628706)']","[' 568      (Ratio', '   0.01%)']","[' 14181    (Ratio', '   0.21%)']","[' 6681702  (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6681702  (Average', ' 18.55 Max', ' 4709 Sum', ' 123917448)']","[' 6681383  (Average', ' 18.49 Max', ' 4709 Sum', ' 123556117 Ratio', '  99.71%)']","[' 319      (Average', ' 1132.70 Max', ' 1853 Sum', ' 361331 Ratio', '   0.29%)']", ,[' 92239   '],[' 5930    '],[' 86869   '],[' 39156   '],"[' 115161   (Atom=Atom', ' 30247 Body=Body', ' 19788 Other', ' 65126)']",[' Yes'],"[' 8329     (Eliminated', '    0 Frozen', ' 8329)']","[' 1739     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.06053'],[' 0'], ,[' 229.207'],[' 0'],[' 10.9038'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.62596e+08'],[' 3.77749e+08'],[' 0'],[' 1.1555e+10'],[' 0'],[' 0'],[' 1282 '],[' 2478 '],[' 3601 '],[' 2 '],[' 1 ']
Solving...,TA57_Clus(4), , , , , ,[' 4363'],[' 2185'],"[' 451.292s (Solving', ' 441.31s 1st Model', ' 212.01s Unsat', ' 1.89s)']",[' 449.969s'], ,[' 154689637'],"[' 9987818  (Analyzed', ' 9339443)']","[' 19847    (Average', ' 470.57 Last', ' 2508455)']",[' 4112.7  '],"[' 2185     (Average Length', ' 1124.24 Splits', ' 0)']","[' 9339443  (Deleted', ' 9266232)']","[' 716      (Ratio', '   0.01%)']","[' 18240    (Ratio', '   0.20%)']","[' 9339443  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9339443  (Average', ' 15.79 Max', ' 4043 Sum', ' 147501707)']","[' 9339044  (Average', ' 15.75 Max', ' 4043 Sum', ' 147103824 Ratio', '  99.73%)']","[' 399      (Average', ' 997.20 Max', ' 1786 Sum', ' 397883 Ratio', '   0.27%)']", ,[' 92357   '],[' 5945    '],[' 86824   '],[' 39112   '],"[' 115239   (Atom=Atom', ' 30161 Body=Body', ' 19822 Other', ' 65256)']",[' Yes'],"[' 8223     (Eliminated', '    0 Frozen', ' 8223)']","[' 2875     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.04498'],[' 0'], ,[' 228.003'],[' 0'],[' 11.2196'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.27511e+08'],[' 4.24669e+08'],[' 0'],[' 1.06126e+10'],[' 0'],[' 0'],[' 1223 '],[' 2479 '],[' 3583 '],[' 2 '],[' 1 ']
