Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu31, ,[' 1'],[' 3281+'],[' 1643'],"[' 1002.887s (Solving', ' 991.33s 1st Model', ' 963.54s Unsat', ' 0.00s)']",[' 999.984s'], ,[' 409820135'],"[' 2946443  (Analyzed', ' 2223142)']","[' 7587     (Average', ' 293.02 Last', ' 202213)']",[' 5786.2  '],"[' 1643     (Average Length', ' 812.21 Splits', ' 0)']","[' 2223142  (Deleted', ' 2119976)']","[' 577      (Ratio', '   0.03%)']","[' 92658    (Ratio', '   4.17%)']","[' 2223142  (Average Length', '   29.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2223142  (Average', ' 180.34 Max', ' 6512 Sum', ' 400916385)']","[' 2222654  (Average', ' 180.15 Max', ' 5677 Sum', ' 400508905 Ratio', '  99.90%)']","[' 488      (Average', ' 835.00 Max', ' 835 Sum', ' 407480 Ratio', '   0.10%)']", ,[' 92036   '],[' 10614   '],[' 92874   '],[' 61450   '],"[' 184346   (Atom=Atom', ' 51584 Body=Body', ' 29689 Other', ' 103073)']",[' Yes'],"[' 12202    (Eliminated', '    0 Frozen', ' 12202)']","[' 10097    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.24922'],[' 0'], ,[' 350.261'],[' 0'],[' 26.2033'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.0245e+09'],[' 1.88324e+09'],[' 0'],[' 1.61544e+10'],[' 0'],[' 0'],[' 4345 '],[' 7730 '],[' 2 '],[' 0 ']
Solving...,Dmu32, ,[' 1'],[' 3143+'],[' 1574'],"[' 1002.819s (Solving', ' 991.27s 1st Model', ' 957.53s Unsat', ' 0.00s)']",[' 1000.625s'], ,[' 408803557'],"[' 2824928  (Analyzed', ' 2163704)']","[' 7174     (Average', ' 301.60 Last', ' 213714)']",[' 6054.7  '],"[' 1574     (Average Length', ' 781.54 Splits', ' 0)']","[' 2163704  (Deleted', ' 2054326)']","[' 639      (Ratio', '   0.03%)']","[' 97785    (Ratio', '   4.52%)']","[' 2163704  (Average Length', '   30.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2163704  (Average', ' 184.80 Max', ' 6579 Sum', ' 399848674)']","[' 2163138  (Average', ' 184.61 Max', ' 5847 Sum', ' 399434362 Ratio', '  99.90%)']","[' 566      (Average', ' 732.00 Max', ' 732 Sum', ' 414312 Ratio', '   0.10%)']", ,[' 93271   '],[' 11030   '],[' 94070   '],[' 63101   '],"[' 189299   (Atom=Atom', ' 52819 Body=Body', ' 30105 Other', ' 106375)']",[' Yes'],"[' 12579    (Eliminated', '    0 Frozen', ' 12579)']","[' 11359    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1684'],[' 0'], ,[' 343.132'],[' 0'],[' 26.4759'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03896e+09'],[' 1.9017e+09'],[' 0'],[' 1.53718e+10'],[' 0'],[' 0'],[' 4433 '],[' 8089 '],[' 2 '],[' 0 ']
Solving...,Dmu33, ,[' 1'],[' 3835+'],[' 1920'],"[' 1003.248s (Solving', ' 990.06s 1st Model', ' 899.28s Unsat', ' 0.00s)']",[' 1000.469s'], ,[' 408991903'],"[' 2893507  (Analyzed', ' 2277393)']","[' 7667     (Average', ' 297.04 Last', ' 180619)']",[' 6132.6  '],"[' 1920     (Average Length', ' 947.31 Splits', ' 0)']","[' 2277393  (Deleted', ' 2174319)']","[' 581      (Ratio', '   0.03%)']","[' 90780    (Ratio', '   3.99%)']","[' 2277393  (Average Length', '   28.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2277393  (Average', ' 174.97 Max', ' 6750 Sum', ' 398473206)']","[' 2276924  (Average', ' 174.76 Max', ' 6469 Sum', ' 398007020 Ratio', '  99.88%)']","[' 469      (Average', ' 994.00 Max', ' 994 Sum', ' 466186 Ratio', '   0.12%)']", ,[' 93077   '],[' 10854   '],[' 94184   '],[' 62727   '],"[' 188177   (Atom=Atom', ' 52621 Body=Body', ' 29929 Other', ' 105627)']",[' Yes'],"[' 12711    (Eliminated', '    0 Frozen', ' 12711)']","[' 10207    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.48206'],[' 0'], ,[' 346.232'],[' 0'],[' 26.3047'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.05137e+09'],[' 1.90751e+09'],[' 0'],[' 1.50263e+10'],[' 0'],[' 0'],[' 4069 '],[' 7825 '],[' 2 '],[' 0 ']
Solving...,Dmu34, ,[' 1'],[' 3323+'],[' 1664'],"[' 1002.560s (Solving', ' 991.47s 1st Model', ' 951.40s Unsat', ' 0.00s)']",[' 999.594s'], ,[' 394120562'],"[' 3400180  (Analyzed', ' 2742246)']","[' 8939     (Average', ' 306.77 Last', ' 315167)']",[' 5424.3  '],"[' 1664     (Average Length', ' 824.31 Splits', ' 0)']","[' 2742246  (Deleted', ' 2649284)']","[' 738      (Ratio', '   0.03%)']","[' 80811    (Ratio', '   2.95%)']","[' 2742246  (Average Length', '   27.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2742246  (Average', ' 140.69 Max', ' 6008 Sum', ' 385815178)']","[' 2741737  (Average', ' 140.52 Max', ' 5103 Sum', ' 385350036 Ratio', '  99.88%)']","[' 509      (Average', ' 913.83 Max', ' 5402 Sum', ' 465142 Ratio', '   0.12%)']", ,[' 90079   '],[' 9986    '],[' 90936   '],[' 58863   '],"[' 176585   (Atom=Atom', ' 49625 Body=Body', ' 29061 Other', ' 97899)']",[' Yes'],"[' 11593    (Eliminated', '    0 Frozen', ' 11593)']","[' 9159     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.08771'],[' 0'], ,[' 385.894'],[' 0'],[' 25.7798'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.88542e+09'],[' 1.7326e+09'],[' 0'],[' 2.10781e+10'],[' 0'],[' 0'],[' 4199 '],[' 7784 '],[' 2 '],[' 0 ']
Solving...,Dmu35, ,[' 1'],[' 3965+'],[' 1985'],"[' 1003.550s (Solving', ' 989.99s 1st Model', ' 881.48s Unsat', ' 0.00s)']",[' 1001.078s'], ,[' 412838431'],"[' 3018203  (Analyzed', ' 2228466)']","[' 7689     (Average', ' 289.83 Last', ' 192457)']",[' 6034.7  '],"[' 1985     (Average Length', ' 982.69 Splits', ' 0)']","[' 2228466  (Deleted', ' 2123817)']","[' 545      (Ratio', '   0.02%)']","[' 92442    (Ratio', '   4.15%)']","[' 2228466  (Average Length', '   29.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2228466  (Average', ' 180.49 Max', ' 6777 Sum', ' 402213653)']","[' 2227907  (Average', ' 180.22 Max', ' 5688 Sum', ' 401604902 Ratio', '  99.85%)']","[' 559      (Average', ' 1089.00 Max', ' 1089 Sum', ' 608751 Ratio', '   0.15%)']", ,[' 93136   '],[' 10852   '],[' 94320   '],[' 62784   '],"[' 188348   (Atom=Atom', ' 52680 Body=Body', ' 29927 Other', ' 105741)']",[' Yes'],"[' 12786    (Eliminated', '    0 Frozen', ' 12786)']","[' 10349    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.53339'],[' 0'], ,[' 353.926'],[' 0'],[' 26.5215'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.00443e+09'],[' 1.86305e+09'],[' 0'],[' 1.64535e+10'],[' 0'],[' 0'],[' 4143 '],[' 7908 '],[' 2 '],[' 0 ']
Solving...,Dmu71, ,[' 1'],[' 4563+'],[' 2284'],"[' 1003.406s (Solving', ' 988.92s 1st Model', ' 464.95s Unsat', ' 0.00s)']",[' 1000.578s'], ,[' 419850706'],"[' 6981789  (Analyzed', ' 5986590)']","[' 13902    (Average', ' 430.63 Last', ' 127773)']",[' 5458.3  '],"[' 2284     (Average Length', ' 1126.66 Splits', ' 0)']","[' 5986590  (Deleted', ' 5894894)']","[' 421      (Ratio', '   0.01%)']","[' 58731    (Ratio', '   0.98%)']","[' 5986590  (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5986590  (Average', ' 68.27 Max', ' 5886 Sum', ' 408734143)']","[' 5986213  (Average', ' 68.20 Max', ' 4687 Sum', ' 408282120 Ratio', '  99.89%)']","[' 377      (Average', ' 1199.00 Max', ' 1199 Sum', ' 452023 Ratio', '   0.11%)']", ,[' 86271   '],[' 8694    '],[' 87724   '],[' 53867   '],"[' 161597   (Atom=Atom', ' 45921 Body=Body', ' 27769 Other', ' 87907)']",[' Yes'],"[' 10897    (Eliminated', '    0 Frozen', ' 10897)']","[' 6031     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.87394'],[' 0'], ,[' 449.743'],[' 0'],[' 26.895'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61843e+09'],[' 1.42731e+09'],[' 0'],[' 2.61304e+10'],[' 0'],[' 0'],[' 3322 '],[' 5976 '],[' 2 '],[' 0 ']
Solving...,Dmu72, ,[' 1'],[' 4185+'],[' 2095'],"[' 1003.194s (Solving', ' 990.18s 1st Model', ' 847.74s Unsat', ' 0.00s)']",[' 1001.094s'], ,[' 415345061'],"[' 4039155  (Analyzed', ' 3319454)']","[' 10700    (Average', ' 310.23 Last', ' 416645)']",[' 5223.4  '],"[' 2095     (Average Length', ' 1036.73 Splits', ' 0)']","[' 3319454  (Deleted', ' 3248200)']","[' 441      (Ratio', '   0.01%)']","[' 59705    (Ratio', '   1.80%)']","[' 3319454  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3319454  (Average', ' 122.25 Max', ' 5903 Sum', ' 405789747)']","[' 3319000  (Average', ' 122.10 Max', ' 4858 Sum', ' 405315317 Ratio', '  99.88%)']","[' 454      (Average', ' 1045.00 Max', ' 1045 Sum', ' 474430 Ratio', '   0.12%)']", ,[' 85816   '],[' 8609    '],[' 87099   '],[' 53367   '],"[' 160097   (Atom=Atom', ' 45506 Body=Body', ' 27684 Other', ' 86907)']",[' Yes'],"[' 10642    (Eliminated', '    0 Frozen', ' 10642)']","[' 6607     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.66458'],[' 0'], ,[' 390.518'],[' 0'],[' 26.2842'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84152e+09'],[' 1.65533e+09'],[' 0'],[' 2.09736e+10'],[' 0'],[' 0'],[' 2892 '],[' 5848 '],[' 2 '],[' 0 ']
Solving...,Dmu73, ,[' 1'],[' 4645+'],[' 2325'],"[' 1003.684s (Solving', ' 988.25s 1st Model', ' 929.73s Unsat', ' 0.00s)']",[' 1000.484s'], ,[' 427210239'],"[' 4390210  (Analyzed', ' 3548091)']","[' 10931    (Average', ' 324.59 Last', ' 447376)']",[' 5378.4  '],"[' 2325     (Average Length', ' 1149.00 Splits', ' 0)']","[' 3548091  (Deleted', ' 3474967)']","[' 380      (Ratio', '   0.01%)']","[' 58646    (Ratio', '   1.65%)']","[' 3548091  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3548091  (Average', ' 117.36 Max', ' 6092 Sum', ' 416391479)']","[' 3547665  (Average', ' 117.21 Max', ' 5519 Sum', ' 415881131 Ratio', '  99.88%)']","[' 426      (Average', ' 1198.00 Max', ' 1198 Sum', ' 510348 Ratio', '   0.12%)']", ,[' 86092   '],[' 8622    '],[' 87588   '],[' 53626   '],"[' 160874   (Atom=Atom', ' 45752 Body=Body', ' 27697 Other', ' 87425)']",[' Yes'],"[' 10868    (Eliminated', '    0 Frozen', ' 10868)']","[' 6223     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.93941'],[' 0'], ,[' 404.389'],[' 0'],[' 26.8998'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.85102e+09'],[' 1.65851e+09'],[' 0'],[' 2.1902e+10'],[' 0'],[' 0'],[' 2939 '],[' 6014 '],[' 2 '],[' 0 ']
Solving...,Dmu74, ,[' 1'],[' 4869+'],[' 2437'],"[' 1003.758s (Solving', ' 987.52s 1st Model', ' 894.23s Unsat', ' 0.00s)']",[' 1000.234s'], ,[' 416008453'],"[' 4681404  (Analyzed', ' 3553411)']","[' 10981    (Average', ' 323.60 Last', ' 450995)']",[' 5548.8  '],"[' 2437     (Average Length', ' 1200.72 Splits', ' 0)']","[' 3553411  (Deleted', ' 3483074)']","[' 413      (Ratio', '   0.01%)']","[' 57798    (Ratio', '   1.63%)']","[' 3553411  (Average Length', '   20.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3553411  (Average', ' 113.74 Max', ' 6022 Sum', ' 404151270)']","[' 3552980  (Average', ' 113.60 Max', ' 5833 Sum', ' 403670705 Ratio', '  99.88%)']","[' 431      (Average', ' 1115.00 Max', ' 1115 Sum', ' 480565 Ratio', '   0.12%)']", ,[' 86208   '],[' 8633    '],[' 87831   '],[' 53781   '],"[' 161339   (Atom=Atom', ' 45896 Body=Body', ' 27708 Other', ' 87735)']",[' Yes'],"[' 11006    (Eliminated', '    0 Frozen', ' 11006)']","[' 6486     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.21121'],[' 0'], ,[' 410.627'],[' 0'],[' 26.6118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76532e+09'],[' 1.57967e+09'],[' 0'],[' 2.23165e+10'],[' 0'],[' 0'],[' 2846 '],[' 5565 '],[' 2 '],[' 0 ']
Solving...,Dmu75, ,[' 1'],[' 4527+'],[' 2266'],"[' 1003.458s (Solving', ' 989.14s 1st Model', ' 931.01s Unsat', ' 0.00s)']",[' 1000.422s'], ,[' 418201833'],"[' 4209790  (Analyzed', ' 3390092)']","[' 10607    (Average', ' 319.61 Last', ' 212485)']",[' 5348.8  '],"[' 2266     (Average Length', ' 1120.73 Splits', ' 0)']","[' 3390092  (Deleted', ' 3318528)']","[' 343      (Ratio', '   0.01%)']","[' 58489    (Ratio', '   1.73%)']","[' 3390092  (Average Length', '   20.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3390092  (Average', ' 120.30 Max', ' 5956 Sum', ' 407812419)']","[' 3389636  (Average', ' 120.14 Max', ' 4808 Sum', ' 407288931 Ratio', '  99.87%)']","[' 456      (Average', ' 1148.00 Max', ' 1148 Sum', ' 523488 Ratio', '   0.13%)']", ,[' 86173   '],[' 8672    '],[' 87631   '],[' 53781   '],"[' 161339   (Atom=Atom', ' 45857 Body=Body', ' 27747 Other', ' 87735)']",[' Yes'],"[' 10880    (Eliminated', '    0 Frozen', ' 10880)']","[' 6612     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.84552'],[' 0'], ,[' 406.687'],[' 0'],[' 26.4064'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83542e+09'],[' 1.64345e+09'],[' 0'],[' 2.2236e+10'],[' 0'],[' 0'],[' 3017 '],[' 5697 '],[' 2 '],[' 0 ']
