Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 9689+'],[' 4849'],"[' 859.743s (Solving', ' 726.65s 1st Model', ' 516.08s Unsat', ' 0.00s)']",[' 850.781s'], ,[' 362903667'],"[' 2180841  (Analyzed', ' 394706)']","[' 3423     (Average', ' 115.31 Last', ' 37727)']",[' 14203.1 '],"[' 4848     (Average Length', ' 2246.54 Splits', ' 0)']","[' 394706   (Deleted', ' 334851)']","[' 44       (Ratio', '   0.01%)']","[' 37471    (Ratio', '   9.49%)']","[' 394706   (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 394706   (Average', ' 776.49 Max', ' 17824 Sum', ' 306484619)']","[' 393022   (Average', ' 767.67 Max', ' 17824 Sum', ' 303005095 Ratio', '  98.86%)']","[' 1684     (Average', ' 2066.23 Max', ' 3001 Sum', ' 3479524 Ratio', '   1.14%)']", ,[' 413189  '],[' 26493   '],[' 415455  '],[' 249046  '],"[' 747134   (Atom=Atom', ' 224551 Body=Body', ' 127393 Other', ' 395190)']",[' Yes'],"[' 30759    (Eliminated', '    0 Frozen', ' 30759)']","[' 6868     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.5336'],[' 0'], ,[' 306.358'],[' 0'],[' 29.7839'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08141e+09'],[' 1.02563e+09'],[' 0'],[' 8.45105e+09'],[' 0'],[' 0'],[' 1655 '],[' 3835 '],[' 5354 '],[' 7014 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 10133+'],[' 5071'],"[' 1028.196s (Solving', ' 896.50s 1st Model', ' 689.03s Unsat', ' 0.00s)']",[' 1014.813s'], ,[' 413660229'],"[' 2842302  (Analyzed', ' 535328)']","[' 4253     (Average', ' 125.87 Last', ' 58524)']",[' 12269.4 '],"[' 5071     (Average Length', ' 2312.16 Splits', ' 0)']","[' 535328   (Deleted', ' 462925)']","[' 69       (Ratio', '   0.01%)']","[' 51781    (Ratio', '   9.67%)']","[' 535328   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 535328   (Average', ' 687.75 Max', ' 14974 Sum', ' 368170194)']","[' 532392   (Average', ' 673.71 Max', ' 14974 Sum', ' 360653980 Ratio', '  97.96%)']","[' 2936     (Average', ' 2560.02 Max', ' 3378 Sum', ' 7516214 Ratio', '   2.04%)']", ,[' 410851  '],[' 26168   '],[' 413174  '],[' 247057  '],"[' 741167   (Atom=Atom', ' 222887 Body=Body', ' 127068 Other', ' 391212)']",[' Yes'],"[' 30491    (Eliminated', '    0 Frozen', ' 30491)']","[' 8921     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.2531'],[' 0'], ,[' 386.388'],[' 0'],[' 34.7823'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22353e+09'],[' 1.15304e+09'],[' 0'],[' 1.20452e+10'],[' 0'],[' 0'],[' 1435 '],[' 3052 '],[' 4546 '],[' 6146 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 8403+'],[' 4206'],"[' 803.031s (Solving', ' 685.71s 1st Model', ' 436.13s Unsat', ' 0.00s)']",[' 793.328s'], ,[' 352118248'],"[' 1312784  (Analyzed', ' 627143)']","[' 3120     (Average', ' 201.01 Last', ' 38381)']",[' 14575.2 '],"[' 4205     (Average Length', ' 2056.79 Splits', ' 0)']","[' 627143   (Deleted', ' 568435)']","[' 72       (Ratio', '   0.01%)']","[' 38551    (Ratio', '   6.15%)']","[' 627143   (Average Length', '   26.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 627143   (Average', ' 481.03 Max', ' 18345 Sum', ' 301671613)']","[' 625605   (Average', ' 476.21 Max', ' 18345 Sum', ' 298654647 Ratio', '  99.00%)']","[' 1538     (Average', ' 1961.62 Max', ' 2751 Sum', ' 3016966 Ratio', '   1.00%)']", ,[' 412092  '],[' 26408   '],[' 414073  '],[' 248472  '],"[' 745412   (Atom=Atom', ' 224062 Body=Body', ' 127308 Other', ' 394042)']",[' Yes'],"[' 30389    (Eliminated', '    0 Frozen', ' 30389)']","[' 7104     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.7225'],[' 0'], ,[' 293.488'],[' 0'],[' 28.6014'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02303e+09'],[' 9.65802e+08'],[' 0'],[' 8.09723e+09'],[' 0'],[' 0'],[' 1858 '],[' 7857 '],[' 9240 '],[' 10784 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 9475+'],[' 4742'],"[' 1025.005s (Solving', ' 913.34s 1st Model', ' 734.69s Unsat', ' 0.00s)']",[' 1015.375s'], ,[' 454986290'],"[' 2516247  (Analyzed', ' 606507)']","[' 4189     (Average', ' 144.79 Last', ' 83779)']",[' 12093.5 '],"[' 4742     (Average Length', ' 2162.22 Splits', ' 0)']","[' 606507   (Deleted', ' 531899)']","[' 60       (Ratio', '   0.01%)']","[' 58547    (Ratio', '   9.65%)']","[' 606507   (Average Length', '   23.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 606507   (Average', ' 679.95 Max', ' 14581 Sum', ' 412392773)']","[' 603555   (Average', ' 669.01 Max', ' 14581 Sum', ' 405756402 Ratio', '  98.39%)']","[' 2952     (Average', ' 2248.09 Max', ' 2963 Sum', ' 6636371 Ratio', '   1.61%)']", ,[' 410605  '],[' 26253   '],[' 412668  '],[' 246079  '],"[' 738233   (Atom=Atom', ' 221824 Body=Body', ' 127153 Other', ' 389256)']",[' Yes'],"[' 30316    (Eliminated', '    0 Frozen', ' 30316)']","[' 10688    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.0963'],[' 0'], ,[' 396.882'],[' 0'],[' 34.7614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34682e+09'],[' 1.27076e+09'],[' 0'],[' 1.50349e+10'],[' 0'],[' 0'],[' 1567 '],[' 3174 '],[' 4676 '],[' 6185 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 9209+'],[' 4609'],"[' 1021.929s (Solving', ' 927.63s 1st Model', ' 736.73s Unsat', ' 0.00s)']",[' 1019.172s'], ,[' 544028649'],"[' 2356027  (Analyzed', ' 945691)']","[' 5109     (Average', ' 185.10 Last', ' 68048)']",[' 11217.5 '],"[' 4609     (Average Length', ' 2112.12 Splits', ' 0)']","[' 945691   (Deleted', ' 847628)']","[' 135      (Ratio', '   0.01%)']","[' 78216    (Ratio', '   8.27%)']","[' 945691   (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 945691   (Average', ' 536.56 Max', ' 13437 Sum', ' 507423503)']","[' 942564   (Average', ' 529.11 Max', ' 13437 Sum', ' 500376000 Ratio', '  98.61%)']","[' 3127     (Average', ' 2253.76 Max', ' 3121 Sum', ' 7047503 Ratio', '   1.39%)']", ,[' 411186  '],[' 26492   '],[' 413174  '],[' 245365  '],"[' 736091   (Atom=Atom', ' 220871 Body=Body', ' 127392 Other', ' 387828)']",[' Yes'],"[' 30480    (Eliminated', '    0 Frozen', ' 30480)']","[' 14623    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.5556'],[' 0'], ,[' 409.505'],[' 0'],[' 34.0576'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.68085e+09'],[' 1.57832e+09'],[' 0'],[' 2.11716e+10'],[' 0'],[' 0'],[' 1630 '],[' 3233 '],[' 4878 '],[' 6415 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 10595+'],[' 5302'],"[' 1025.503s (Solving', ' 915.51s 1st Model', ' 736.27s Unsat', ' 0.00s)']",[' 1021.266s'], ,[' 535458077'],"[' 2877015  (Analyzed', ' 806634)']","[' 5095     (Average', ' 158.32 Last', ' 51824)']",[' 12342.6 '],"[' 5302     (Average Length', ' 2384.74 Splits', ' 0)']","[' 806634   (Deleted', ' 726472)']","[' 92       (Ratio', '   0.01%)']","[' 69711    (Ratio', '   8.64%)']","[' 806634   (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 806634   (Average', ' 597.29 Max', ' 15833 Sum', ' 481793898)']","[' 805680   (Average', ' 595.44 Max', ' 15833 Sum', ' 480298757 Ratio', '  99.69%)']","[' 954      (Average', ' 1567.23 Max', ' 3318 Sum', ' 1495141 Ratio', '   0.31%)']", ,[' 411629  '],[' 26251   '],[' 414086  '],[' 247531  '],"[' 742589   (Atom=Atom', ' 223278 Body=Body', ' 127151 Other', ' 392160)']",[' Yes'],"[' 30708    (Eliminated', '    0 Frozen', ' 30708)']","[' 6759     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.6952'],[' 0'], ,[' 388.873'],[' 0'],[' 34.1112'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63001e+09'],[' 1.53291e+09'],[' 0'],[' 1.74742e+10'],[' 0'],[' 0'],[' 1615 '],[' 3238 '],[' 4755 '],[' 6313 '],[' 4 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 10303+'],[' 5156'],"[' 1023.665s (Solving', ' 918.45s 1st Model', ' 759.60s Unsat', ' 0.00s)']",[' 1019.453s'], ,[' 542569186'],"[' 3017689  (Analyzed', ' 864785)']","[' 5404     (Average', ' 160.03 Last', ' 46697)']",[' 11673.1 '],"[' 5156     (Average Length', ' 2340.30 Splits', ' 0)']","[' 864785   (Deleted', ' 775086)']","[' 77       (Ratio', '   0.01%)']","[' 72898    (Ratio', '   8.43%)']","[' 864785   (Average Length', '   23.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 864785   (Average', ' 575.77 Max', ' 13882 Sum', ' 497913178)']","[' 862264   (Average', ' 568.85 Max', ' 13882 Sum', ' 491932063 Ratio', '  98.80%)']","[' 2521     (Average', ' 2372.52 Max', ' 3401 Sum', ' 5981115 Ratio', '   1.20%)']", ,[' 410323  '],[' 26221   '],[' 412739  '],[' 245455  '],"[' 736361   (Atom=Atom', ' 221232 Body=Body', ' 127121 Other', ' 388008)']",[' Yes'],"[' 30637    (Eliminated', '    0 Frozen', ' 30637)']","[' 13403    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.6267'],[' 0'], ,[' 396.675'],[' 0'],[' 34.0107'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67665e+09'],[' 1.57279e+09'],[' 0'],[' 1.93621e+10'],[' 0'],[' 0'],[' 1504 '],[' 3048 '],[' 4618 '],[' 6105 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 9495+'],[' 4752'],"[' 1022.750s (Solving', ' 922.12s 1st Model', ' 692.54s Unsat', ' 0.00s)']",[' 1019.328s'], ,[' 528915230'],"[' 2831444  (Analyzed', ' 956627)']","[' 5183     (Average', ' 184.57 Last', ' 121551)']",[' 11699.3 '],"[' 4752     (Average Length', ' 2176.11 Splits', ' 0)']","[' 956627   (Deleted', ' 860544)']","[' 97       (Ratio', '   0.01%)']","[' 76404    (Ratio', '   7.99%)']","[' 956627   (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 956627   (Average', ' 509.81 Max', ' 13929 Sum', ' 487694231)']","[' 953811   (Average', ' 503.30 Max', ' 13929 Sum', ' 481471409 Ratio', '  98.72%)']","[' 2816     (Average', ' 2209.81 Max', ' 3079 Sum', ' 6222822 Ratio', '   1.28%)']", ,[' 411059  '],[' 26408   '],[' 413185  '],[' 245692  '],"[' 737072   (Atom=Atom', ' 221282 Body=Body', ' 127308 Other', ' 388482)']",[' Yes'],"[' 30534    (Eliminated', '    0 Frozen', ' 30534)']","[' 14254    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.8302'],[' 0'], ,[' 416.209'],[' 0'],[' 33.3595'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64145e+09'],[' 1.53725e+09'],[' 0'],[' 2.19592e+10'],[' 0'],[' 0'],[' 1624 '],[' 3115 '],[' 4750 '],[' 6299 '],[' 4 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 10603+'],[' 5306'],"[' 1024.669s (Solving', ' 910.53s 1st Model', ' 615.64s Unsat', ' 0.00s)']",[' 1020.078s'], ,[' 534547543'],"[' 2862796  (Analyzed', ' 829424)']","[' 5176     (Average', ' 160.24 Last', ' 45005)']",[' 11949.9 '],"[' 5306     (Average Length', ' 2412.96 Splits', ' 0)']","[' 829424   (Deleted', ' 735408)']","[' 80       (Ratio', '   0.01%)']","[' 72992    (Ratio', '   8.80%)']","[' 829424   (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 829424   (Average', ' 589.15 Max', ' 13699 Sum', ' 488658395)']","[' 826460   (Average', ' 580.54 Max', ' 13699 Sum', ' 481511421 Ratio', '  98.54%)']","[' 2964     (Average', ' 2411.26 Max', ' 3416 Sum', ' 7146974 Ratio', '   1.46%)']", ,[' 411822  '],[' 26429   '],[' 414345  '],[' 246225  '],"[' 738671   (Atom=Atom', ' 221794 Body=Body', ' 127329 Other', ' 389548)']",[' Yes'],"[' 30952    (Eliminated', '    0 Frozen', ' 30952)']","[' 14076    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.6571'],[' 0'], ,[' 393.224'],[' 0'],[' 33.8767'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65961e+09'],[' 1.55996e+09'],[' 0'],[' 1.82009e+10'],[' 0'],[' 0'],[' 1639 '],[' 3148 '],[' 4627 '],[' 6081 '],[' 4 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 9667+'],[' 4838'],"[' 1022.873s (Solving', ' 921.17s 1st Model', ' 707.78s Unsat', ' 0.00s)']",[' 1018.469s'], ,[' 530967876'],"[' 2749247  (Analyzed', ' 889059)']","[' 4930     (Average', ' 180.34 Last', ' 104234)']",[' 11884.7 '],"[' 4838     (Average Length', ' 2218.90 Splits', ' 0)']","[' 889059   (Deleted', ' 793727)']","[' 84       (Ratio', '   0.01%)']","[' 76044    (Ratio', '   8.55%)']","[' 889059   (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 889059   (Average', ' 549.13 Max', ' 14127 Sum', ' 488205821)']","[' 886389   (Average', ' 542.16 Max', ' 14127 Sum', ' 482009742 Ratio', '  98.73%)']","[' 2670     (Average', ' 2320.63 Max', ' 3150 Sum', ' 6196079 Ratio', '   1.27%)']", ,[' 412308  '],[' 26622   '],[' 414464  '],[' 247938  '],"[' 743810   (Atom=Atom', ' 223314 Body=Body', ' 127522 Other', ' 392974)']",[' Yes'],"[' 30778    (Eliminated', '    0 Frozen', ' 30778)']","[' 13419    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.0148'],[' 0'], ,[' 399.522'],[' 0'],[' 33.9366'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65477e+09'],[' 1.55284e+09'],[' 0'],[' 1.82836e+10'],[' 0'],[' 0'],[' 1608 '],[' 3133 '],[' 4664 '],[' 6216 '],[' 4 '],[' 0 ']
