Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 11233+'],[' 5621'],"[' 1027.778s (Solving', ' 914.54s 1st Model', ' 666.86s Unsat', ' 0.00s)']",[' 1023.109s'], ,[' 549638009'],"[' 1658557  (Analyzed', ' 110221)']","[' 2922     (Average', ' 37.72 Last', ' 6845)']",[' 11927.4 '],"[' 5621     (Average Length', ' 2554.07 Splits', ' 0)']","[' 1123104  (Deleted', ' 895955)']","[' 133      (Ratio', '   0.01%)']","[' 85838    (Ratio', '   7.64%)']","[' 110221   (Average Length', '   33.6 Ratio', '   9.81%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1012883  (Average Length', '   23.4 Ratio', '  90.19%) ']","[' 110221   (Average', ' 74.38 Max', ' 11184 Sum', ' 8198100)']","[' 110221   (Average', ' 74.38 Max', ' 11184 Sum', ' 8198100 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 412185  '],[' 26493   '],[' 414978  '],[' 246266  '],"[' 738794   (Atom=Atom', ' 221771 Body=Body', ' 127393 Other', ' 389630)']",[' Yes'],"[' 31286    (Eliminated', '    0 Frozen', ' 31286)']","[' 15978    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.7197'],[' 0'], ,[' 344.487'],[' 0'],[' 37.4794'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.71093e+09'],[' 1.6036e+09'],[' 0'],[' 1.27281e+10'],[' 0'],[' 0'],[' 1633 '],[' 3278 '],[' 4767 '],[' 6269 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 10795+'],[' 5402'],"[' 1026.841s (Solving', ' 923.11s 1st Model', ' 750.34s Unsat', ' 0.00s)']",[' 1022.781s'], ,[' 535512843'],"[' 1860012  (Analyzed', ' 105632)']","[' 3026     (Average', ' 34.91 Last', ' 10243)']",[' 12012.1 '],"[' 5402     (Average Length', ' 2438.62 Splits', ' 0)']","[' 1099178  (Deleted', ' 869347)']","[' 117      (Ratio', '   0.01%)']","[' 83327    (Ratio', '   7.58%)']","[' 105632   (Average Length', '   31.3 Ratio', '   9.61%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 993546   (Average Length', '   22.2 Ratio', '  90.39%) ']","[' 105632   (Average', ' 75.82 Max', ' 12832 Sum', ' 8008758)']","[' 105632   (Average', ' 75.82 Max', ' 12832 Sum', ' 8008758 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 411576  '],[' 26168   '],[' 414113  '],[' 248176  '],"[' 744524   (Atom=Atom', ' 224006 Body=Body', ' 127068 Other', ' 393450)']",[' Yes'],"[' 30705    (Eliminated', '    0 Frozen', ' 30705)']","[' 12665    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.8364'],[' 0'], ,[' 342.44'],[' 0'],[' 37.4322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64056e+09'],[' 1.53557e+09'],[' 0'],[' 1.21296e+10'],[' 0'],[' 0'],[' 1397 '],[' 2951 '],[' 4344 '],[' 5798 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 12249+'],[' 6129'],"[' 1028.783s (Solving', ' 909.07s 1st Model', ' 482.60s Unsat', ' 0.00s)']",[' 1024.297s'], ,[' 512248039'],"[' 4304574  (Analyzed', ' 418582)']","[' 4042     (Average', ' 103.56 Last', ' 2961)']",[' 12273.7 '],"[' 6129     (Average Length', ' 2702.70 Splits', ' 0)']","[' 2524693  (Deleted', ' 2258945)']","[' 114      (Ratio', '   0.00%)']","[' 76008    (Ratio', '   3.01%)']","[' 418582   (Average Length', '   31.4 Ratio', '  16.58%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2106111  (Average Length', '   26.6 Ratio', '  83.42%) ']","[' 418582   (Average', ' 18.44 Max', ' 11768 Sum', ' 7720596)']","[' 418582   (Average', ' 18.44 Max', ' 11768 Sum', ' 7720596 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 412493  '],[' 26408   '],[' 415479  '],[' 247351  '],"[' 742049   (Atom=Atom', ' 222941 Body=Body', ' 127308 Other', ' 391800)']",[' Yes'],"[' 31394    (Eliminated', '    0 Frozen', ' 31394)']","[' 13805    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.5846'],[' 0'], ,[' 394.859'],[' 0'],[' 36.6302'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50204e+09'],[' 1.40058e+09'],[' 0'],[' 1.71352e+10'],[' 0'],[' 0'],[' 1858 '],[' 3423 '],[' 4901 '],[' 6388 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 11183+'],[' 5596'],"[' 1028.214s (Solving', ' 919.85s 1st Model', ' 682.71s Unsat', ' 0.00s)']",[' 1027.219s'], ,[' 514882643'],"[' 2869430  (Analyzed', ' 106191)']","[' 3270     (Average', ' 32.47 Last', ' 6401)']",[' 11757.3 '],"[' 5596     (Average Length', ' 2506.25 Splits', ' 0)']","[' 1027033  (Deleted', ' 736080)']","[' 96       (Ratio', '   0.01%)']","[' 77482    (Ratio', '   7.54%)']","[' 106191   (Average Length', '   32.3 Ratio', '  10.34%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 920842   (Average Length', '   23.1 Ratio', '  89.66%) ']","[' 106191   (Average', ' 69.77 Max', ' 12003 Sum', ' 7408650)']","[' 106191   (Average', ' 69.77 Max', ' 12003 Sum', ' 7408650 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 410648  '],[' 26253   '],[' 413288  '],[' 245311  '],"[' 735929   (Atom=Atom', ' 221056 Body=Body', ' 127153 Other', ' 387720)']",[' Yes'],"[' 30893    (Eliminated', '    0 Frozen', ' 30893)']","[' 12944    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.5216'],[' 0'], ,[' 356.714'],[' 0'],[' 38.2923'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54005e+09'],[' 1.44185e+09'],[' 0'],[' 1.26781e+10'],[' 0'],[' 0'],[' 1546 '],[' 3066 '],[' 4587 '],[' 6098 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 11233+'],[' 5621'],"[' 1033.512s (Solving', ' 897.33s 1st Model', ' 519.70s Unsat', ' 0.00s)']",[' 1028.391s'], ,[' 424407709'],"[' 3393731  (Analyzed', ' 50541)']","[' 3057     (Average', ' 16.53 Last', ' 7026)']",[' 13097.9 '],"[' 5621     (Average Length', ' 2558.67 Splits', ' 0)']","[' 571216   (Deleted', ' 371115)']","[' 76       (Ratio', '   0.01%)']","[' 53779    (Ratio', '   9.41%)']","[' 50541    (Average Length', '   33.8 Ratio', '   8.85%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 520675   (Average Length', '   23.3 Ratio', '  91.15%) ']","[' 50541    (Average', ' 103.49 Max', ' 13402 Sum', ' 5230301)']","[' 50541    (Average', ' 103.49 Max', ' 13402 Sum', ' 5230301 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 412142  '],[' 26492   '],[' 414906  '],[' 246265  '],"[' 738791   (Atom=Atom', ' 221771 Body=Body', ' 127392 Other', ' 389628)']",[' Yes'],"[' 31256    (Eliminated', '    0 Frozen', ' 31256)']","[' 8229     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.7901'],[' 0'], ,[' 380.919'],[' 0'],[' 39.0295'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21065e+09'],[' 1.14521e+09'],[' 0'],[' 1.2427e+10'],[' 0'],[' 0'],[' 1630 '],[' 3256 '],[' 4819 '],[' 6310 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 10141+'],[' 5075'],"[' 1023.279s (Solving', ' 929.79s 1st Model', ' 719.05s Unsat', ' 0.00s)']",[' 1019.875s'], ,[' 576169383'],"[' 2943872  (Analyzed', ' 141533)']","[' 3134     (Average', ' 45.16 Last', ' 14435)']",[' 11293.9 '],"[' 5075     (Average Length', ' 2289.55 Splits', ' 0)']","[' 1339007  (Deleted', ' 1106023)']","[' 113      (Ratio', '   0.01%)']","[' 91564    (Ratio', '   6.84%)']","[' 141533   (Average Length', '   31.6 Ratio', '  10.57%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1197474  (Average Length', '   22.4 Ratio', '  89.43%) ']","[' 141533   (Average', ' 63.16 Max', ' 12064 Sum', ' 8939849)']","[' 141533   (Average', ' 63.16 Max', ' 12064 Sum', ' 8939849 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 409769  '],[' 26251   '],[' 411972  '],[' 244038  '],"[' 732110   (Atom=Atom', ' 219785 Body=Body', ' 127151 Other', ' 385174)']",[' Yes'],"[' 30454    (Eliminated', '    0 Frozen', ' 30454)']","[' 14988    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.8663'],[' 0'], ,[' 363.508'],[' 0'],[' 38.2056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73069e+09'],[' 1.61119e+09'],[' 0'],[' 1.55296e+10'],[' 0'],[' 0'],[' 1587 '],[' 3135 '],[' 4528 '],[' 5969 '],[' 4 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 11129+'],[' 5569'],"[' 1027.676s (Solving', ' 921.37s 1st Model', ' 774.02s Unsat', ' 0.00s)']",[' 1025.000s'], ,[' 555168821'],"[' 2017783  (Analyzed', ' 112219)']","[' 3149     (Average', ' 35.64 Last', ' 17033)']",[' 11761.6 '],"[' 5569     (Average Length', ' 2489.25 Splits', ' 0)']","[' 1161564  (Deleted', ' 818146)']","[' 123      (Ratio', '   0.01%)']","[' 84959    (Ratio', '   7.31%)']","[' 112219   (Average Length', '   31.4 Ratio', '   9.66%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1049345  (Average Length', '   22.0 Ratio', '  90.34%) ']","[' 112219   (Average', ' 72.83 Max', ' 11216 Sum', ' 8173021)']","[' 112219   (Average', ' 72.83 Max', ' 11216 Sum', ' 8173021 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 410969  '],[' 26221   '],[' 413586  '],[' 246334  '],"[' 738998   (Atom=Atom', ' 222111 Body=Body', ' 127121 Other', ' 389766)']",[' Yes'],"[' 30838    (Eliminated', '    0 Frozen', ' 30838)']","[' 15038    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.0623'],[' 0'], ,[' 343.746'],[' 0'],[' 37.1101'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74042e+09'],[' 1.62812e+09'],[' 0'],[' 1.29302e+10'],[' 0'],[' 0'],[' 1477 '],[' 2981 '],[' 4516 '],[' 6019 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 10237+'],[' 5123'],"[' 1024.614s (Solving', ' 925.93s 1st Model', ' 627.00s Unsat', ' 0.00s)']",[' 1021.844s'], ,[' 558271215'],"[' 2273545  (Analyzed', ' 199526)']","[' 3426     (Average', ' 58.24 Last', ' 15655)']",[' 11746.6 '],"[' 5123     (Average Length', ' 2342.46 Splits', ' 0)']","[' 1534742  (Deleted', ' 1320388)']","[' 149      (Ratio', '   0.01%)']","[' 89852    (Ratio', '   5.85%)']","[' 199526   (Average Length', '   30.8 Ratio', '  13.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1335216  (Average Length', '   23.3 Ratio', '  87.00%) ']","[' 199526   (Average', ' 41.76 Max', ' 11196 Sum', ' 8331940)']","[' 199526   (Average', ' 41.76 Max', ' 11196 Sum', ' 8331940 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 411091  '],[' 26408   '],[' 413482  '],[' 245385  '],"[' 736151   (Atom=Atom', ' 220975 Body=Body', ' 127308 Other', ' 387868)']",[' Yes'],"[' 30799    (Eliminated', '    0 Frozen', ' 30799)']","[' 16020    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.6814'],[' 0'], ,[' 379.293'],[' 0'],[' 37.564'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.71284e+09'],[' 1.59728e+09'],[' 0'],[' 1.80728e+10'],[' 0'],[' 0'],[' 1605 '],[' 3049 '],[' 4659 '],[' 6152 '],[' 4 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 10657+'],[' 5333'],"[' 1027.178s (Solving', ' 915.08s 1st Model', ' 597.29s Unsat', ' 0.00s)']",[' 1020.891s'], ,[' 521074468'],"[' 3004859  (Analyzed', ' 185837)']","[' 3099     (Average', ' 59.97 Last', ' 10827)']",[' 11944.1 '],"[' 5333     (Average Length', ' 2440.63 Splits', ' 0)']","[' 1380488  (Deleted', ' 1162312)']","[' 138      (Ratio', '   0.01%)']","[' 79084    (Ratio', '   5.73%)']","[' 185837   (Average Length', '   32.6 Ratio', '  13.46%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1194651  (Average Length', '   24.4 Ratio', '  86.54%) ']","[' 185837   (Average', ' 41.07 Max', ' 12858 Sum', ' 7632948)']","[' 185837   (Average', ' 41.07 Max', ' 12858 Sum', ' 7632948 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 411839  '],[' 26429   '],[' 414378  '],[' 246232  '],"[' 738692   (Atom=Atom', ' 221801 Body=Body', ' 127329 Other', ' 389562)']",[' Yes'],"[' 30968    (Eliminated', '    0 Frozen', ' 30968)']","[' 14364    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.7467'],[' 0'], ,[' 363.931'],[' 0'],[' 37.3196'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58658e+09'],[' 1.48498e+09'],[' 0'],[' 1.33689e+10'],[' 0'],[' 0'],[' 1632 '],[' 3057 '],[' 4563 '],[' 6021 '],[' 4 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 10393+'],[' 5201'],"[' 1027.623s (Solving', ' 915.56s 1st Model', ' 578.27s Unsat', ' 0.00s)']",[' 1021.141s'], ,[' 478381876'],"[' 2265647  (Analyzed', ' 105265)']","[' 2911     (Average', ' 36.16 Last', ' 2347)']",[' 12066.6 '],"[' 5201     (Average Length', ' 2367.48 Splits', ' 0)']","[' 924549   (Deleted', ' 686062)']","[' 119      (Ratio', '   0.01%)']","[' 70254    (Ratio', '   7.60%)']","[' 105265   (Average Length', '   34.4 Ratio', '  11.39%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 819284   (Average Length', '   24.5 Ratio', '  88.61%) ']","[' 105265   (Average', ' 64.68 Max', ' 12407 Sum', ' 6808890)']","[' 105265   (Average', ' 64.68 Max', ' 12407 Sum', ' 6808890 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 411883  '],[' 26622   '],[' 414304  '],[' 246725  '],"[' 740171   (Atom=Atom', ' 222101 Body=Body', ' 127522 Other', ' 390548)']",[' Yes'],"[' 31043    (Eliminated', '    0 Frozen', ' 31043)']","[' 12897    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.0623'],[' 0'], ,[' 360.489'],[' 0'],[' 37.2527'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38232e+09'],[' 1.29775e+09'],[' 0'],[' 1.13791e+10'],[' 0'],[' 0'],[' 1608 '],[' 3077 '],[' 4636 '],[' 6090 '],[' 4 '],[' 0 ']
