Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,Dmu36, ,[' 1'],[' 7013+'],[' 3509'],"[' 1009.736s (Solving', ' 965.47s 1st Model', ' 805.98s Unsat', ' 0.00s)']",[' 1003.438s'], ,[' 556880285'],"[' 6063710  (Analyzed', ' 636951)']","[' 4771     (Average', ' 133.50 Last', ' 67562)']",[' 14227.3 '],"[' 3509     (Average Length', ' 1735.87 Splits', ' 0)']","[' 636951   (Deleted', ' 558990)']","[' 164      (Ratio', '   0.03%)']","[' 72582    (Ratio', '  11.40%)']","[' 636951   (Average Length', '   37.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 636951   (Average', ' 797.00 Max', ' 15906 Sum', ' 507648898)']","[' 636670   (Average', ' 796.17 Max', ' 15814 Sum', ' 507120337 Ratio', '  99.90%)']","[' 281      (Average', ' 1881.00 Max', ' 1881 Sum', ' 528561 Ratio', '   0.10%)']", ,[' 154613  '],[' 22372   '],[' 157032  '],[' 115445  '],"[' 346331   (Atom=Atom', ' 94071 Body=Body', ' 47822 Other', ' 204438)']",[' Yes'],"[' 25791    (Eliminated', '    0 Frozen', ' 25791)']","[' 2229     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.94995'],[' 0'], ,[' 350.261'],[' 0'],[' 37.4528'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29299e+09'],[' 1.21631e+09'],[' 0'],[' 1.11211e+10'],[' 0'],[' 0'],5753,11363,2,0
Solving...,Dmu37, ,[' 1'],[' 6437+'],[' 3221'],"[' 1008.632s (Solving', ' 968.32s 1st Model', ' 836.32s Unsat', ' 0.00s)']",[' 1002.906s'], ,[' 546627237'],"[' 5081997  (Analyzed', ' 703310)']","[' 4573     (Average', ' 153.80 Last', ' 100582)']",[' 13696.8 '],"[' 3221     (Average Length', ' 1594.44 Splits', ' 0)']","[' 703310   (Deleted', ' 621036)']","[' 255      (Ratio', '   0.04%)']","[' 76798    (Ratio', '  10.92%)']","[' 703310   (Average Length', '   37.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 703310   (Average', ' 715.99 Max', ' 15354 Sum', ' 503561936)']","[' 702838   (Average', ' 714.85 Max', ' 15354 Sum', ' 502761896 Ratio', '  99.84%)']","[' 472      (Average', ' 1695.00 Max', ' 1695 Sum', ' 800040 Ratio', '   0.16%)']", ,[' 152795  '],[' 21862   '],[' 154936  '],[' 113117  '],"[' 339347   (Atom=Atom', ' 92253 Body=Body', ' 47312 Other', ' 199782)']",[' Yes'],"[' 25003    (Eliminated', '    0 Frozen', ' 25003)']","[' 3788     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.26129'],[' 0'], ,[' 341.611'],[' 0'],[' 37.0431'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32516e+09'],[' 1.24524e+09'],[' 0'],[' 9.79652e+09'],[' 0'],[' 0'],5933,11672,2,0
Solving...,Dmu38, ,[' 1'],[' 6461+'],[' 3233'],"[' 1008.720s (Solving', ' 967.62s 1st Model', ' 629.57s Unsat', ' 0.00s)']",[' 1003.953s'], ,[' 532870394'],"[' 5837993  (Analyzed', ' 687079)']","[' 4510     (Average', ' 152.35 Last', ' 96997)']",[' 13274.6 '],"[' 3233     (Average Length', ' 1600.36 Splits', ' 0)']","[' 687079   (Deleted', ' 603896)']","[' 212      (Ratio', '   0.03%)']","[' 76291    (Ratio', '  11.10%)']","[' 687079   (Average Length', '   37.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 687079   (Average', ' 715.63 Max', ' 14763 Sum', ' 491691753)']","[' 685886   (Average', ' 712.60 Max', ' 13648 Sum', ' 489609968 Ratio', '  99.58%)']","[' 1193     (Average', ' 1745.00 Max', ' 1745 Sum', ' 2081785 Ratio', '   0.42%)']", ,[' 151331  '],[' 21370   '],[' 153483  '],[' 111161  '],"[' 333479   (Atom=Atom', ' 90789 Body=Body', ' 46820 Other', ' 195870)']",[' Yes'],"[' 24522    (Eliminated', '    0 Frozen', ' 24522)']","[' 9985     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.32591'],[' 0'], ,[' 357.851'],[' 0'],[' 35.9785'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30966e+09'],[' 1.22979e+09'],[' 0'],[' 1.17329e+10'],[' 0'],[' 0'],5954,11267,2,0
Solving...,Dmu39, ,[' 1'],[' 6625+'],[' 3315'],"[' 1009.347s (Solving', ' 965.31s 1st Model', ' 740.14s Unsat', ' 0.00s)']",[' 1002.969s'], ,[' 540546296'],"[' 5645821  (Analyzed', ' 659089)']","[' 4626     (Average', ' 142.47 Last', ' 87566)']",[' 13858.3 '],"[' 3315     (Average Length', ' 1646.50 Splits', ' 0)']","[' 659089   (Deleted', ' 575102)']","[' 220      (Ratio', '   0.03%)']","[' 74551    (Ratio', '  11.31%)']","[' 659089   (Average Length', '   37.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 659089   (Average', ' 753.04 Max', ' 14967 Sum', ' 496317515)']","[' 657983   (Average', ' 750.25 Max', ' 14405 Sum', ' 494478237 Ratio', '  99.63%)']","[' 1106     (Average', ' 1663.00 Max', ' 1663 Sum', ' 1839278 Ratio', '   0.37%)']", ,[' 153261  '],[' 21986   '],[' 155520  '],[' 113707  '],"[' 341117   (Atom=Atom', ' 92719 Body=Body', ' 47436 Other', ' 200962)']",[' Yes'],"[' 25245    (Eliminated', '    0 Frozen', ' 25245)']","[' 9534     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.75044'],[' 0'], ,[' 351.961'],[' 0'],[' 36.5897'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31045e+09'],[' 1.23159e+09'],[' 0'],[' 1.07045e+10'],[' 0'],[' 0'],5824,11606,2,0
Solving...,Dmu40, ,[' 1'],[' 6179+'],[' 3092'],"[' 1009.534s (Solving', ' 965.32s 1st Model', ' 823.93s Unsat', ' 0.00s)']",[' 1002.484s'], ,[' 529521304'],"[' 5121191  (Analyzed', ' 581440)']","[' 4459     (Average', ' 130.40 Last', ' 97959)']",[' 13997.8 '],"[' 3092     (Average Length', ' 1536.42 Splits', ' 0)']","[' 581440   (Deleted', ' 505137)']","[' 186      (Ratio', '   0.03%)']","[' 69974    (Ratio', '  12.03%)']","[' 581440   (Average Length', '   37.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 581440   (Average', ' 838.14 Max', ' 16160 Sum', ' 487329994)']","[' 580599   (Average', ' 835.81 Max', ' 15047 Sum', ' 485972620 Ratio', '  99.72%)']","[' 841      (Average', ' 1614.00 Max', ' 1614 Sum', ' 1357374 Ratio', '   0.28%)']", ,[' 154754  '],[' 22558   '],[' 156788  '],[' 115772  '],"[' 347312   (Atom=Atom', ' 94212 Body=Body', ' 48008 Other', ' 205092)']",[' Yes'],"[' 25592    (Eliminated', '    0 Frozen', ' 25592)']","[' 7181     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.00531'],[' 0'], ,[' 349.464'],[' 0'],[' 38.8132'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21969e+09'],[' 1.14987e+09'],[' 0'],[' 9.32782e+09'],[' 0'],[' 0'],5885,11388,2,0
Solving...,Dmu76, ,[' 1'],[' 7409+'],[' 3707'],"[' 1007.451s (Solving', ' 968.53s 1st Model', ' 846.69s Unsat', ' 0.00s)']",[' 998.281s'], ,[' 410601063'],"[' 4146245  (Analyzed', ' 1417436)']","[' 6857     (Average', ' 206.71 Last', ' 88429)']",[' 8908.7  '],"[' 3707     (Average Length', ' 1823.32 Splits', ' 0)']","[' 1417436  (Deleted', ' 1351564)']","[' 264      (Ratio', '   0.02%)']","[' 57668    (Ratio', '   4.07%)']","[' 1417436  (Average Length', '   22.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1417436  (Average', ' 269.69 Max', ' 10177 Sum', ' 382266739)']","[' 1416809  (Average', ' 268.87 Max', ' 8602 Sum', ' 381105535 Ratio', '  99.70%)']","[' 627      (Average', ' 1852.00 Max', ' 1852 Sum', ' 1161204 Ratio', '   0.30%)']", ,[' 127217  '],[' 13174   '],[' 129795  '],[' 78851   '],"[' 236549   (Atom=Atom', ' 66675 Body=Body', ' 38624 Other', ' 131250)']",[' Yes'],"[' 16752    (Eliminated', '    0 Frozen', ' 16752)']","[' 6941     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.9559'],[' 0'], ,[' 401.267'],[' 0'],[' 29.9838'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24063e+09'],[' 1.1213e+09'],[' 0'],[' 1.50352e+10'],[' 0'],[' 0'],3847,7106,2,0
Solving...,Dmu77, ,[' 1'],[' 7453+'],[' 3729'],"[' 1007.223s (Solving', ' 970.86s 1st Model', ' 847.92s Unsat', ' 0.00s)']",[' 1001.641s'], ,[' 428853617'],"[' 4739940  (Analyzed', ' 1529430)']","[' 7232     (Average', ' 211.48 Last', ' 89743)']",[' 8773.7  '],"[' 3729     (Average Length', ' 1840.55 Splits', ' 0)']","[' 1529430  (Deleted', ' 1458897)']","[' 379      (Ratio', '   0.02%)']","[' 60770    (Ratio', '   3.97%)']","[' 1529430  (Average Length', '   22.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1529430  (Average', ' 261.97 Max', ' 9299 Sum', ' 400670689)']","[' 1528750  (Average', ' 261.06 Max', ' 7803 Sum', ' 399271929 Ratio', '  99.65%)']","[' 680      (Average', ' 2057.00 Max', ' 2057 Sum', ' 1398760 Ratio', '   0.35%)']", ,[' 127605  '],[' 13296   '],[' 130210  '],[' 79361   '],"[' 238079   (Atom=Atom', ' 67063 Body=Body', ' 38746 Other', ' 132270)']",[' Yes'],"[' 16901    (Eliminated', '    0 Frozen', ' 16901)']","[' 6880     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.46271'],[' 0'], ,[' 412.228'],[' 0'],[' 29.5403'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.317e+09'],[' 1.19037e+09'],[' 0'],[' 1.8237e+10'],[' 0'],[' 0'],3582,7078,2,0
Solving...,Dmu78, ,[' 1'],[' 6853+'],[' 3429'],"[' 1006.499s (Solving', ' 972.74s 1st Model', ' 855.22s Unsat', ' 0.00s)']",[' 1001.281s'], ,[' 415956413'],"[' 4607983  (Analyzed', ' 1550144)']","[' 6695     (Average', ' 231.54 Last', ' 201117)']",[' 8758.6  '],"[' 3429     (Average Length', ' 1697.63 Splits', ' 0)']","[' 1550144  (Deleted', ' 1481529)']","[' 303      (Ratio', '   0.02%)']","[' 59960    (Ratio', '   3.87%)']","[' 1550144  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1550144  (Average', ' 251.22 Max', ' 10014 Sum', ' 389422520)']","[' 1549473  (Average', ' 250.43 Max', ' 8215 Sum', ' 388199958 Ratio', '  99.69%)']","[' 671      (Average', ' 1822.00 Max', ' 1822 Sum', ' 1222562 Ratio', '   0.31%)']", ,[' 126957  '],[' 13180   '],[' 129299  '],[' 78597   '],"[' 235787   (Atom=Atom', ' 66415 Body=Body', ' 38630 Other', ' 130742)']",[' Yes'],"[' 16522    (Eliminated', '    0 Frozen', ' 16522)']","[' 6966     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.00123'],[' 0'], ,[' 403.936'],[' 0'],[' 29.2517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30565e+09'],[' 1.17918e+09'],[' 0'],[' 1.66942e+10'],[' 0'],[' 0'],3577,7209,2,0
Solving...,Dmu79, ,[' 1'],[' 6701+'],[' 3353'],"[' 1006.448s (Solving', ' 971.67s 1st Model', ' 547.65s Unsat', ' 0.00s)']",[' 999.359s'], ,[' 420155520'],"[' 5635475  (Analyzed', ' 1825241)']","[' 7338     (Average', ' 248.74 Last', ' 124964)']",[' 8974.2  '],"[' 3353     (Average Length', ' 1657.31 Splits', ' 0)']","[' 1825241  (Deleted', ' 1758631)']","[' 357      (Ratio', '   0.02%)']","[' 57128    (Ratio', '   3.13%)']","[' 1825241  (Average Length', '   23.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1825241  (Average', ' 214.75 Max', ' 9058 Sum', ' 391965303)']","[' 1824649  (Average', ' 214.19 Max', ' 8221 Sum', ' 390956535 Ratio', '  99.74%)']","[' 592      (Average', ' 1704.00 Max', ' 1704 Sum', ' 1008768 Ratio', '   0.26%)']", ,[' 127001  '],[' 13220   '],[' 129247  '],[' 78681   '],"[' 236039   (Atom=Atom', ' 66459 Body=Body', ' 38670 Other', ' 130910)']",[' Yes'],"[' 16466    (Eliminated', '    0 Frozen', ' 16466)']","[' 6641     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.32307'],[' 0'], ,[' 430.626'],[' 0'],[' 29.9483'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21459e+09'],[' 1.0887e+09'],[' 0'],[' 1.91442e+10'],[' 0'],[' 0'],3864,7533,2,0
