Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 11099+'],[' 5553'],"[' 1032.488s (Solving', ' 888.86s 1st Model', ' 618.77s Unsat', ' 0.00s)']",[' 1027.422s'], ,[' 576896866'],"[' 5785899  (Analyzed', ' 340462)']","[' 4287     (Average', ' 79.42 Last', ' 96487)']",[' 19950.0 '],"[' 5553     (Average Length', ' 2637.41 Splits', ' 0)']","[' 340462   (Deleted', ' 269727)']","[' 95       (Ratio', '   0.03%)']","[' 44396    (Ratio', '  13.04%)']","[' 340462   (Average Length', '   34.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 340462   (Average', ' 1424.21 Max', ' 23956 Sum', ' 484890050)']","[' 336911   (Average', ' 1394.63 Max', ' 23956 Sum', ' 474819496 Ratio', '  97.92%)']","[' 3551     (Average', ' 2835.98 Max', ' 3418 Sum', ' 10070554 Ratio', '   2.08%)']", ,[' 442032  '],[' 35570   '],[' 445025  '],[' 273576  '],"[' 820724   (Atom=Atom', ' 240004 Body=Body', ' 136470 Other', ' 444250)']",[' Yes'],"[' 40563    (Eliminated', '    0 Frozen', ' 40563)']","[' 7918     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.8228'],[' 0'], ,[' 380.474'],[' 0'],[' 37.524'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36214e+09'],[' 1.28809e+09'],[' 0'],[' 1.46245e+10'],[' 0'],[' 0'],[' 2764 '],[' 5244 '],[' 7777 '],[' 3 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 10979+'],[' 5493'],"[' 1031.498s (Solving', ' 894.74s 1st Model', ' 627.30s Unsat', ' 0.00s)']",[' 1021.375s'], ,[' 577960332'],"[' 6608979  (Analyzed', ' 319240)']","[' 4264     (Average', ' 74.87 Last', ' 91252)']",[' 19863.2 '],"[' 5493     (Average Length', ' 2590.06 Splits', ' 0)']","[' 319240   (Deleted', ' 269977)']","[' 61       (Ratio', '   0.02%)']","[' 40796    (Ratio', '  12.78%)']","[' 319240   (Average Length', '   30.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 319240   (Average', ' 1499.66 Max', ' 25791 Sum', ' 478750791)']","[' 317930   (Average', ' 1491.87 Max', ' 25791 Sum', ' 476263727 Ratio', '  99.48%)']","[' 1310     (Average', ' 1898.52 Max', ' 3548 Sum', ' 2487064 Ratio', '   0.52%)']", ,[' 438643  '],[' 35008   '],[' 441459  '],[' 270212  '],"[' 810632   (Atom=Atom', ' 237202 Body=Body', ' 135908 Other', ' 437522)']",[' Yes'],"[' 39824    (Eliminated', '    0 Frozen', ' 39824)']","[' 5506     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.7988'],[' 0'], ,[' 382.159'],[' 0'],[' 37.5151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.34752e+09'],[' 1.27429e+09'],[' 0'],[' 1.52431e+10'],[' 0'],[' 0'],[' 2246 '],[' 4640 '],[' 6891 '],[' 3 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 9771+'],[' 4889'],"[' 1030.141s (Solving', ' 888.44s 1st Model', ' 579.05s Unsat', ' 0.00s)']",[' 1027.188s'], ,[' 486821144'],"[' 8215424  (Analyzed', ' 299872)']","[' 4070     (Average', ' 73.68 Last', ' 65549)']",[' 19609.2 '],"[' 4889     (Average Length', ' 2335.08 Splits', ' 0)']","[' 299872   (Deleted', ' 250235)']","[' 69       (Ratio', '   0.02%)']","[' 36660    (Ratio', '  12.23%)']","[' 299872   (Average Length', '   32.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 299872   (Average', ' 1322.06 Max', ' 27368 Sum', ' 396448102)']","[' 299007   (Average', ' 1312.91 Max', ' 27368 Sum', ' 393705492 Ratio', '  99.31%)']","[' 865      (Average', ' 3170.65 Max', ' 3451 Sum', ' 2742610 Ratio', '   0.69%)']", ,[' 441357  '],[' 35207   '],[' 443818  '],[' 273621  '],"[' 820859   (Atom=Atom', ' 240412 Body=Body', ' 136107 Other', ' 444340)']",[' Yes'],"[' 39668    (Eliminated', '    0 Frozen', ' 39668)']","[' 1167     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 27.2264'],[' 0'], ,[' 392.305'],[' 0'],[' 35.4817'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.06495e+09'],[' 9.98045e+08'],[' 0'],[' 1.84605e+10'],[' 0'],[' 0'],[' 2641 '],[' 5030 '],[' 10095 '],[' 3 '],[' 0 ']
Solving...,TA74, , ,[' 8479+'],[' 4242'],"[' 1044.827s (Solving', ' 852.85s 1st Model', ' 433.39s Unsat', ' 0.00s)']",[' 1032.359s'], ,[' 242188257'],"[' 4768024  (Analyzed', ' 64473)']","[' 2316     (Average', ' 27.84 Last', ' 7662)']",[' 20745.0 '],"[' 4243     (Average Length', ' 2101.89 Splits', ' 0)']","[' 64473    (Deleted', ' 46023)']","[' 32       (Ratio', '   0.05%)']","[' 7874     (Ratio', '  12.21%)']","[' 64473    (Average Length', '   36.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 64473    (Average', ' 2491.23 Max', ' 30203 Sum', ' 160617299)']","[' 63421    (Average', ' 2455.32 Max', ' 30203 Sum', ' 158301847 Ratio', '  98.56%)']","[' 1052     (Average', ' 2201.00 Max', ' 2201 Sum', ' 2315452 Ratio', '   1.44%)']", ,[' 438347  '],[' 35085   '],[' 440495  '],[' 270372  '],"[' 811112   (Atom=Atom', ' 237285 Body=Body', ' 135985 Other', ' 437842)']",[' Yes'],"[' 39233    (Eliminated', '    0 Frozen', ' 39233)']","[' 1117     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 36.2494'],[' 0'], ,[' 423.224'],[' 0'],[' 31.094'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.4791e+08'],[' 5.21336e+08'],[' 0'],[' 9.30254e+09'],[' 0'],[' 0'],[' 2365 '],[' 11220 '],[' 13724 '],[' 3 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 12109+'],[' 6058'],"[' 1032.750s (Solving', ' 891.04s 1st Model', ' 605.55s Unsat', ' 0.00s)']",[' 1028.516s'], ,[' 601746509'],"[' 5982821  (Analyzed', ' 356740)']","[' 4496     (Average', ' 79.35 Last', ' 97470)']",[' 19186.1 '],"[' 6058     (Average Length', ' 2859.59 Splits', ' 0)']","[' 356740   (Deleted', ' 297774)']","[' 86       (Ratio', '   0.02%)']","[' 43616    (Ratio', '  12.23%)']","[' 356740   (Average Length', '   32.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 356740   (Average', ' 1418.25 Max', ' 23994 Sum', ' 505948179)']","[' 353701   (Average', ' 1392.28 Max', ' 23994 Sum', ' 496680381 Ratio', '  98.17%)']","[' 3039     (Average', ' 3049.62 Max', ' 4006 Sum', ' 9267798 Ratio', '   1.83%)']", ,[' 439631  '],[' 35165   '],[' 442950  '],[' 269574  '],"[' 808718   (Atom=Atom', ' 236407 Body=Body', ' 136065 Other', ' 436246)']",[' Yes'],"[' 40484    (Eliminated', '    0 Frozen', ' 40484)']","[' 8365     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.2111'],[' 0'], ,[' 380.612'],[' 0'],[' 38.4219'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39102e+09'],[' 1.31543e+09'],[' 0'],[' 1.48491e+10'],[' 0'],[' 0'],[' 2533 '],[' 4747 '],[' 7096 '],[' 3 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 11877+'],[' 5942'],"[' 1034.870s (Solving', ' 886.51s 1st Model', ' 498.02s Unsat', ' 0.00s)']",[' 1029.219s'], ,[' 496726685'],"[' 8369163  (Analyzed', ' 219977)']","[' 4175     (Average', ' 52.69 Last', ' 31406)']",[' 19818.0 '],"[' 5942     (Average Length', ' 2815.40 Splits', ' 0)']","[' 219977   (Deleted', ' 181541)']","[' 48       (Ratio', '   0.02%)']","[' 26877    (Ratio', '  12.22%)']","[' 219977   (Average Length', '   32.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 219977   (Average', ' 1783.67 Max', ' 27213 Sum', ' 392366901)']","[' 217939   (Average', ' 1758.97 Max', ' 27213 Sum', ' 386932159 Ratio', '  98.61%)']","[' 2038     (Average', ' 2666.70 Max', ' 4032 Sum', ' 5434742 Ratio', '   1.39%)']", ,[' 438886  '],[' 35152   '],[' 442119  '],[' 269681  '],"[' 809039   (Atom=Atom', ' 236527 Body=Body', ' 136052 Other', ' 436460)']",[' Yes'],"[' 40385    (Eliminated', '    0 Frozen', ' 40385)']","[' 4898     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.3986'],[' 0'], ,[' 425.266'],[' 0'],[' 36.6409'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08425e+09'],[' 1.02492e+09'],[' 0'],[' 1.78581e+10'],[' 0'],[' 0'],[' 2347 '],[' 4936 '],[' 7033 '],[' 3 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 11255+'],[' 5631'],"[' 1031.639s (Solving', ' 894.97s 1st Model', ' 564.19s Unsat', ' 0.00s)']",[' 1025.766s'], ,[' 521522761'],"[' 8936377  (Analyzed', ' 262898)']","[' 4474     (Average', ' 58.76 Last', ' 45493)']",[' 19981.6 '],"[' 5631     (Average Length', ' 2672.94 Splits', ' 0)']","[' 262898   (Deleted', ' 222191)']","[' 55       (Ratio', '   0.02%)']","[' 32229    (Ratio', '  12.26%)']","[' 262898   (Average Length', '   31.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 262898   (Average', ' 1590.78 Max', ' 27002 Sum', ' 418211615)']","[' 261231   (Average', ' 1577.58 Max', ' 27002 Sum', ' 414743606 Ratio', '  99.17%)']","[' 1667     (Average', ' 2080.39 Max', ' 5545 Sum', ' 3468009 Ratio', '   0.83%)']", ,[' 438119  '],[' 34989   '],[' 441122  '],[' 269139  '],"[' 807413   (Atom=Atom', ' 236148 Body=Body', ' 135889 Other', ' 435376)']",[' Yes'],"[' 39992    (Eliminated', '    0 Frozen', ' 39992)']","[' 5713     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.5496'],[' 0'], ,[' 422.24'],[' 0'],[' 36.0804'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19083e+09'],[' 1.12534e+09'],[' 0'],[' 1.91666e+10'],[' 0'],[' 0'],[' 2299 '],[' 5437 '],[' 7614 '],[' 3 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 12339+'],[' 6173'],"[' 1034.318s (Solving', ' 886.25s 1st Model', ' 543.25s Unsat', ' 0.00s)']",[' 1030.203s'], ,[' 586478092'],"[' 8781071  (Analyzed', ' 311087)']","[' 4726     (Average', ' 65.82 Last', ' 33296)']",[' 19542.2 '],"[' 6173     (Average Length', ' 2880.63 Splits', ' 0)']","[' 311087   (Deleted', ' 258145)']","[' 63       (Ratio', '   0.02%)']","[' 38118    (Ratio', '  12.25%)']","[' 311087   (Average Length', '   30.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 311087   (Average', ' 1559.43 Max', ' 24057 Sum', ' 485117672)']","[' 307531   (Average', ' 1524.61 Max', ' 24057 Sum', ' 474287472 Ratio', '  97.77%)']","[' 3556     (Average', ' 3045.61 Max', ' 3869 Sum', ' 10830200 Ratio', '   2.23%)']", ,[' 438809  '],[' 34875   '],[' 442208  '],[' 268905  '],"[' 806711   (Atom=Atom', ' 236028 Body=Body', ' 135775 Other', ' 434908)']",[' Yes'],"[' 40274    (Eliminated', '    0 Frozen', ' 40274)']","[' 7335     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.3012'],[' 0'], ,[' 401.531'],[' 0'],[' 36.1451'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.364e+09'],[' 1.28779e+09'],[' 0'],[' 1.97333e+10'],[' 0'],[' 0'],[' 2370 '],[' 4427 '],[' 6729 '],[' 3 '],[' 0 ']
Solving...,TA79, , ,[' 13603+'],[' 6805'],"[' 1038.305s (Solving', ' 873.11s 1st Model', ' 566.20s Unsat', ' 0.00s)']",[' 1034.031s'], ,[' 583905840'],"[' 7052461  (Analyzed', ' 293661)']","[' 4975     (Average', ' 59.03 Last', ' 49897)']",[' 20526.9 '],"[' 6806     (Average Length', ' 3189.44 Splits', ' 0)']","[' 293661   (Deleted', ' 227169)']","[' 61       (Ratio', '   0.02%)']","[' 36148    (Ratio', '  12.31%)']","[' 293661   (Average Length', '   32.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 293661   (Average', ' 1578.33 Max', ' 25865 Sum', ' 463493077)']","[' 291652   (Average', ' 1560.84 Max', ' 25865 Sum', ' 458358640 Ratio', '  98.89%)']","[' 2009     (Average', ' 2555.72 Max', ' 4305 Sum', ' 5134437 Ratio', '   1.11%)']", ,[' 440371  '],[' 35131   '],[' 444297  '],[' 270596  '],"[' 811784   (Atom=Atom', ' 237463 Body=Body', ' 136031 Other', ' 438290)']",[' Yes'],"[' 41057    (Eliminated', '    0 Frozen', ' 41057)']","[' 6469     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.3072'],[' 0'], ,[' 381.634'],[' 0'],[' 35.9625'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36148e+09'],[' 1.28906e+09'],[' 0'],[' 1.62191e+10'],[' 0'],[' 0'],[' 2295 '],[' 4501 '],[' 6763 '],[' 3 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 12047+'],[' 6027'],"[' 1032.677s (Solving', ' 887.47s 1st Model', ' 474.57s Unsat', ' 0.00s)']",[' 1028.422s'], ,[' 591034192'],"[' 7630944  (Analyzed', ' 335711)']","[' 4505     (Average', ' 74.52 Last', ' 37596)']",[' 19788.6 '],"[' 6027     (Average Length', ' 2825.10 Splits', ' 0)']","[' 335711   (Deleted', ' 279469)']","[' 71       (Ratio', '   0.02%)']","[' 41214    (Ratio', '  12.28%)']","[' 335711   (Average Length', '   32.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 335711   (Average', ' 1452.22 Max', ' 24798 Sum', ' 487525553)']","[' 333155   (Average', ' 1432.21 Max', ' 24798 Sum', ' 480808904 Ratio', '  98.62%)']","[' 2556     (Average', ' 2627.80 Max', ' 3806 Sum', ' 6716649 Ratio', '   1.38%)']", ,[' 439016  '],[' 35035   '],[' 442313  '],[' 269285  '],"[' 807851   (Atom=Atom', ' 236248 Body=Body', ' 135935 Other', ' 435668)']",[' Yes'],"[' 40332    (Eliminated', '    0 Frozen', ' 40332)']","[' 7868     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.9602'],[' 0'], ,[' 390.665'],[' 0'],[' 36.4382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39112e+09'],[' 1.31397e+09'],[' 0'],[' 1.7867e+10'],[' 0'],[' 0'],[' 2392 '],[' 4585 '],[' 6681 '],[' 3 '],[' 0 ']
