Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 8745+'],[' 4377'],"[' 1020.694s (Solving', ' 929.76s 1st Model', ' 619.95s Unsat', ' 0.00s)']",[' 1017.750s'], ,[' 559964877'],"[' 3474972  (Analyzed', ' 1206563)']","[' 5216     (Average', ' 231.32 Last', ' 91579)']",[' 12022.1 '],"[' 4377     (Average Length', ' 2017.27 Splits', ' 0)']","[' 1206563  (Deleted', ' 1112112)']","[' 122      (Ratio', '   0.01%)']","[' 77387    (Ratio', '   6.41%)']","[' 1206563  (Average Length', '   30.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1206563  (Average', ' 430.00 Max', ' 14516 Sum', ' 518825444)']","[' 1203952  (Average', ' 425.54 Max', ' 14516 Sum', ' 513441547 Ratio', '  98.96%)']","[' 2611     (Average', ' 2062.01 Max', ' 2955 Sum', ' 5383897 Ratio', '   1.04%)']", ,[' 415678  '],[' 27222   '],[' 417446  '],[' 250645  '],"[' 751931   (Atom=Atom', ' 225421 Body=Body', ' 128122 Other', ' 398388)']",[' Yes'],"[' 30990    (Eliminated', '    0 Frozen', ' 30990)']","[' 14011    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.6514'],[' 0'], ,[' 405.04'],[' 0'],[' 34.9449'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65572e+09'],[' 1.55315e+09'],[' 0'],[' 2.00947e+10'],[' 0'],[' 0'],[' 2286 '],[' 4010 '],[' 5581 '],[' 7224 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 8557+'],[' 4283'],"[' 1021.903s (Solving', ' 924.51s 1st Model', ' 219.64s Unsat', ' 0.00s)']",[' 1018.125s'], ,[' 471274337'],"[' 4335116  (Analyzed', ' 2134599)']","[' 6583     (Average', ' 324.26 Last', ' 13784)']",[' 12262.2 '],"[' 4283     (Average Length', ' 1985.19 Splits', ' 0)']","[' 2134599  (Deleted', ' 2050261)']","[' 129      (Ratio', '   0.01%)']","[' 61353    (Ratio', '   2.87%)']","[' 2134599  (Average Length', '   28.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2134599  (Average', ' 201.87 Max', ' 15341 Sum', ' 430921567)']","[' 2131513  (Average', ' 198.90 Max', ' 15341 Sum', ' 424574045 Ratio', '  98.53%)']","[' 3086     (Average', ' 2056.88 Max', ' 2946 Sum', ' 6347522 Ratio', '   1.47%)']", ,[' 411719  '],[' 26814   '],[' 413476  '],[' 246647  '],"[' 739937   (Atom=Atom', ' 221831 Body=Body', ' 127714 Other', ' 390392)']",[' Yes'],"[' 30571    (Eliminated', '    0 Frozen', ' 30571)']","[' 11611    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.6999'],[' 0'], ,[' 490.094'],[' 0'],[' 33.1977'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33976e+09'],[' 1.24393e+09'],[' 0'],[' 2.71328e+10'],[' 0'],[' 0'],[' 1934 '],[' 3738 '],[' 5411 '],[' 7109 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 9587+'],[' 4798'],"[' 1024.103s (Solving', ' 919.79s 1st Model', ' 491.11s Unsat', ' 0.00s)']",[' 1019.078s'], ,[' 513603003'],"[' 5622772  (Analyzed', ' 2320911)']","[' 7284     (Average', ' 318.63 Last', ' 39729)']",[' 12532.5 '],"[' 4798     (Average Length', ' 2179.88 Splits', ' 0)']","[' 2320911  (Deleted', ' 2229226)']","[' 105      (Ratio', '   0.00%)']","[' 61481    (Ratio', '   2.65%)']","[' 2320911  (Average Length', '   30.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2320911  (Average', ' 201.09 Max', ' 15164 Sum', ' 466701233)']","[' 2317972  (Average', ' 198.08 Max', ' 15164 Sum', ' 459727172 Ratio', '  98.51%)']","[' 2939     (Average', ' 2372.94 Max', ' 3295 Sum', ' 6974061 Ratio', '   1.49%)']", ,[' 413478  '],[' 26790   '],[' 415496  '],[' 248028  '],"[' 744080   (Atom=Atom', ' 223236 Body=Body', ' 127690 Other', ' 393154)']",[' Yes'],"[' 30808    (Eliminated', '    0 Frozen', ' 30808)']","[' 11332    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.9088'],[' 0'], ,[' 450.345'],[' 0'],[' 34.8442'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37948e+09'],[' 1.2855e+09'],[' 0'],[' 2.4058e+10'],[' 0'],[' 0'],[' 2247 '],[' 3875 '],[' 5492 '],[' 7101 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 9109+'],[' 4559'],"[' 1023.177s (Solving', ' 918.63s 1st Model', ' 439.54s Unsat', ' 0.00s)']",[' 1017.578s'], ,[' 453702380'],"[' 2622585  (Analyzed', ' 988566)']","[' 4592     (Average', ' 215.28 Last', ' 85266)']",[' 12168.0 '],"[' 4559     (Average Length', ' 2102.22 Splits', ' 0)']","[' 988566   (Deleted', ' 912461)']","[' 100      (Ratio', '   0.01%)']","[' 57318    (Ratio', '   5.80%)']","[' 988566   (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 988566   (Average', ' 418.10 Max', ' 15343 Sum', ' 413317746)']","[' 985355   (Average', ' 410.67 Max', ' 15343 Sum', ' 405979333 Ratio', '  98.22%)']","[' 3211     (Average', ' 2285.40 Max', ' 2894 Sum', ' 7338413 Ratio', '   1.78%)']", ,[' 412561  '],[' 26765   '],[' 414491  '],[' 247830  '],"[' 743486   (Atom=Atom', ' 223063 Body=Body', ' 127665 Other', ' 392758)']",[' Yes'],"[' 30695    (Eliminated', '    0 Frozen', ' 30695)']","[' 10979    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.9452'],[' 0'], ,[' 455.615'],[' 0'],[' 32.7719'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40879e+09'],[' 1.32736e+09'],[' 0'],[' 2.33814e+10'],[' 0'],[' 0'],[' 1678 '],[' 3525 '],[' 5442 '],[' 6946 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 8559+'],[' 4284'],"[' 1021.241s (Solving', ' 928.12s 1st Model', ' 284.12s Unsat', ' 0.00s)']",[' 1016.828s'], ,[' 443314532'],"[' 3481545  (Analyzed', ' 1005814)']","[' 4539     (Average', ' 221.59 Last', ' 36750)']",[' 12018.8 '],"[' 4284     (Average Length', ' 1985.16 Splits', ' 0)']","[' 1005814  (Deleted', ' 926430)']","[' 84       (Ratio', '   0.01%)']","[' 58946    (Ratio', '   5.86%)']","[' 1005814  (Average Length', '   27.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1005814  (Average', ' 401.20 Max', ' 16251 Sum', ' 403532128)']","[' 1003133  (Average', ' 395.32 Max', ' 16251 Sum', ' 397617495 Ratio', '  98.53%)']","[' 2681     (Average', ' 2206.13 Max', ' 2998 Sum', ' 5914633 Ratio', '   1.47%)']", ,[' 414231  '],[' 26917   '],[' 415930  '],[' 248719  '],"[' 746153   (Atom=Atom', ' 223800 Body=Body', ' 127817 Other', ' 394536)']",[' Yes'],"[' 30616    (Eliminated', '    0 Frozen', ' 30616)']","[' 10739    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.7803'],[' 0'], ,[' 470.448'],[' 0'],[' 32.7219'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32672e+09'],[' 1.24525e+09'],[' 0'],[' 2.57315e+10'],[' 0'],[' 0'],[' 1920 '],[' 3546 '],[' 5614 '],[' 7248 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 9837+'],[' 4923'],"[' 1023.883s (Solving', ' 918.00s 1st Model', ' 317.86s Unsat', ' 0.00s)']",[' 1018.641s'], ,[' 450882124'],"[' 3018443  (Analyzed', ' 999366)']","[' 4766     (Average', ' 209.69 Last', ' 62446)']",[' 12346.1 '],"[' 4923     (Average Length', ' 2264.68 Splits', ' 0)']","[' 999366   (Deleted', ' 920744)']","[' 90       (Ratio', '   0.01%)']","[' 58264    (Ratio', '   5.83%)']","[' 999366   (Average Length', '   27.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 999366   (Average', ' 406.50 Max', ' 15429 Sum', ' 406245148)']","[' 996381   (Average', ' 399.26 Max', ' 15429 Sum', ' 399008880 Ratio', '  98.22%)']","[' 2985     (Average', ' 2424.21 Max', ' 3252 Sum', ' 7236268 Ratio', '   1.78%)']", ,[' 413246  '],[' 26907   '],[' 415503  '],[' 248332  '],"[' 744992   (Atom=Atom', ' 223423 Body=Body', ' 127807 Other', ' 393762)']",[' Yes'],"[' 31164    (Eliminated', '    0 Frozen', ' 31164)']","[' 11504    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.1694'],[' 0'], ,[' 455.627'],[' 0'],[' 31.7475'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39595e+09'],[' 1.31709e+09'],[' 0'],[' 2.77899e+10'],[' 0'],[' 0'],[' 1800 '],[' 3479 '],[' 5304 '],[' 7133 '],[' 4 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 8067+'],[' 4038'],"[' 1018.781s (Solving', ' 940.54s 1st Model', ' 251.79s Unsat', ' 0.00s)']",[' 1016.125s'], ,[' 489660155'],"[' 4307080  (Analyzed', ' 2250249)']","[' 6444     (Average', ' 349.20 Last', ' 14736)']",[' 11789.1 '],"[' 4038     (Average Length', ' 1870.69 Splits', ' 0)']","[' 2250249  (Deleted', ' 2160006)']","[' 138      (Ratio', '   0.01%)']","[' 60914    (Ratio', '   2.71%)']","[' 2250249  (Average Length', '   30.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2250249  (Average', ' 201.46 Max', ' 15392 Sum', ' 453328431)']","[' 2247243  (Average', ' 198.57 Max', ' 15392 Sum', ' 446832597 Ratio', '  98.57%)']","[' 3006     (Average', ' 2160.96 Max', ' 2904 Sum', ' 6495834 Ratio', '   1.43%)']", ,[' 411824  '],[' 26793   '],[' 413337  '],[' 246887  '],"[' 740657   (Atom=Atom', ' 222092 Body=Body', ' 127693 Other', ' 390872)']",[' Yes'],"[' 30306    (Eliminated', '    0 Frozen', ' 30306)']","[' 11600    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.0592'],[' 0'], ,[' 518.744'],[' 0'],[' 32.1398'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36746e+09'],[' 1.27553e+09'],[' 0'],[' 3.61178e+10'],[' 0'],[' 0'],[' 2052 '],[' 4043 '],[' 5841 '],[' 7623 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 9921+'],[' 4965'],"[' 1023.334s (Solving', ' 920.89s 1st Model', ' 445.52s Unsat', ' 0.00s)']",[' 1020.422s'], ,[' 513209308'],"[' 3326255  (Analyzed', ' 1245507)']","[' 5184     (Average', ' 240.26 Last', ' 92520)']",[' 11970.4 '],"[' 4965     (Average Length', ' 2261.60 Splits', ' 0)']","[' 1245507  (Deleted', ' 1149681)']","[' 119      (Ratio', '   0.01%)']","[' 70897    (Ratio', '   5.69%)']","[' 1245507  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1245507  (Average', ' 376.91 Max', ' 14523 Sum', ' 469440480)']","[' 1242613  (Average', ' 371.39 Max', ' 14523 Sum', ' 462571212 Ratio', '  98.54%)']","[' 2894     (Average', ' 2373.62 Max', ' 3273 Sum', ' 6869268 Ratio', '   1.46%)']", ,[' 412443  '],[' 26636   '],[' 414676  '],[' 246811  '],"[' 740429   (Atom=Atom', ' 222173 Body=Body', ' 127536 Other', ' 390720)']",[' Yes'],"[' 30869    (Eliminated', '    0 Frozen', ' 30869)']","[' 13561    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.3469'],[' 0'], ,[' 431.865'],[' 0'],[' 32.9832'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.59165e+09'],[' 1.4908e+09'],[' 0'],[' 2.4561e+10'],[' 0'],[' 0'],[' 1841 '],[' 3424 '],[' 5232 '],[' 6751 '],[' 4 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 8805+'],[' 4407'],"[' 1021.156s (Solving', ' 929.35s 1st Model', ' 534.12s Unsat', ' 0.00s)']",[' 1017.781s'], ,[' 527174975'],"[' 2442301  (Analyzed', ' 996820)']","[' 5028     (Average', ' 198.25 Last', ' 84075)']",[' 11697.7 '],"[' 4407     (Average Length', ' 2047.86 Splits', ' 0)']","[' 996820   (Deleted', ' 901276)']","[' 103      (Ratio', '   0.01%)']","[' 71450    (Ratio', '   7.17%)']","[' 996820   (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 996820   (Average', ' 491.00 Max', ' 14444 Sum', ' 489434227)']","[' 993829   (Average', ' 484.48 Max', ' 14444 Sum', ' 482940695 Ratio', '  98.67%)']","[' 2991     (Average', ' 2171.02 Max', ' 2857 Sum', ' 6493532 Ratio', '   1.33%)']", ,[' 412668  '],[' 26820   '],[' 414528  '],[' 247291  '],"[' 741869   (Atom=Atom', ' 222469 Body=Body', ' 127720 Other', ' 391680)']",[' Yes'],"[' 30680    (Eliminated', '    0 Frozen', ' 30680)']","[' 13092    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.4149'],[' 0'], ,[' 433.517'],[' 0'],[' 33.408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64335e+09'],[' 1.54505e+09'],[' 0'],[' 2.47768e+10'],[' 0'],[' 0'],[' 1632 '],[' 3203 '],[' 5036 '],[' 6639 '],[' 4 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 9085+'],[' 4547'],"[' 1021.843s (Solving', ' 924.98s 1st Model', ' 503.83s Unsat', ' 0.00s)']",[' 1018.922s'], ,[' 541406260'],"[' 3735685  (Analyzed', ' 1216269)']","[' 5229     (Average', ' 232.60 Last', ' 44491)']",[' 12192.1 '],"[' 4547     (Average Length', ' 2089.34 Splits', ' 0)']","[' 1216269  (Deleted', ' 1123981)']","[' 122      (Ratio', '   0.01%)']","[' 74319    (Ratio', '   6.11%)']","[' 1216269  (Average Length', '   28.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1216269  (Average', ' 410.07 Max', ' 14417 Sum', ' 498754195)']","[' 1213274  (Average', ' 404.78 Max', ' 14417 Sum', ' 492324541 Ratio', '  98.71%)']","[' 2995     (Average', ' 2146.80 Max', ' 3023 Sum', ' 6429654 Ratio', '   1.29%)']", ,[' 413132  '],[' 26886   '],[' 415062  '],[' 248053  '],"[' 744155   (Atom=Atom', ' 223165 Body=Body', ' 127786 Other', ' 393204)']",[' Yes'],"[' 30816    (Eliminated', '    0 Frozen', ' 30816)']","[' 14179    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.6036'],[' 0'], ,[' 415.772'],[' 0'],[' 35.2636'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63273e+09'],[' 1.52864e+09'],[' 0'],[' 2.03319e+10'],[' 0'],[' 0'],[' 2062 '],[' 3500 '],[' 5090 '],[' 6533 '],[' 4 '],[' 0 ']
