Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 4583+'],[' 2294'],"[' 1003.883s (Solving', ' 988.20s 1st Model', ' 620.91s Unsat', ' 0.00s)']",[' 1001.250s'], ,[' 444670354'],"[' 4502471  (Analyzed', ' 3304374)']","[' 9528     (Average', ' 346.81 Last', ' 300895)']",[' 6303.8  '],"[' 2294     (Average Length', ' 1123.60 Splits', ' 0)']","[' 3304374  (Deleted', ' 3213964)']","[' 511      (Ratio', '   0.02%)']","[' 71299    (Ratio', '   2.16%)']","[' 3304374  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3304374  (Average', ' 130.54 Max', ' 6685 Sum', ' 431364253)']","[' 3303855  (Average', ' 130.36 Max', ' 5651 Sum', ' 430760137 Ratio', '  99.86%)']","[' 519      (Average', ' 1164.00 Max', ' 1164 Sum', ' 604116 Ratio', '   0.14%)']", ,[' 95458   '],[' 10062   '],[' 96896   '],[' 59365   '],"[' 178091   (Atom=Atom', ' 50051 Body=Body', ' 29137 Other', ' 98903)']",[' Yes'],"[' 12250    (Eliminated', '    0 Frozen', ' 12250)']","[' 8212     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.99676'],[' 0'], ,[' 438.347'],[' 0'],[' 27.1306'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87474e+09'],[' 1.70415e+09'],[' 0'],[' 2.73825e+10'],[' 0'],[' 0'],[' 1687 '],[' 3442 '],[' 2 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 3949+'],[' 1977'],"[' 1003.221s (Solving', ' 989.39s 1st Model', ' 73.89s Unsat', ' 0.00s)']",[' 1001.406s'], ,[' 460918394'],"[' 6385223  (Analyzed', ' 4813592)']","[' 9794     (Average', ' 491.48 Last', ' 120213)']",[' 6669.5  '],"[' 1977     (Average Length', ' 967.83 Splits', ' 0)']","[' 4813592  (Deleted', ' 4718876)']","[' 497      (Ratio', '   0.01%)']","[' 71247    (Ratio', '   1.48%)']","[' 4813592  (Average Length', '   28.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4813592  (Average', ' 92.94 Max', ' 6967 Sum', ' 447375608)']","[' 4813111  (Average', ' 92.85 Max', ' 6052 Sum', ' 446935493 Ratio', '  99.90%)']","[' 481      (Average', ' 915.00 Max', ' 915 Sum', ' 440115 Ratio', '   0.10%)']", ,[' 95327   '],[' 10124   '],[' 96466   '],[' 59296   '],"[' 177884   (Atom=Atom', ' 49920 Body=Body', ' 29199 Other', ' 98765)']",[' Yes'],"[' 12013    (Eliminated', '    0 Frozen', ' 12013)']","[' 7348     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.73264'],[' 0'], ,[' 454.403'],[' 0'],[' 28.0841'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74744e+09'],[' 1.5746e+09'],[' 0'],[' 2.89032e+10'],[' 0'],[' 0'],[' 1867 '],[' 3750 '],[' 2 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4343+'],[' 2174'],"[' 1003.337s (Solving', ' 989.38s 1st Model', ' 349.47s Unsat', ' 0.00s)']",[' 1002.063s'], ,[' 447834017'],"[' 4558256  (Analyzed', ' 3534981)']","[' 9119     (Average', ' 387.65 Last', ' 194190)']",[' 6060.3  '],"[' 2174     (Average Length', ' 1071.94 Splits', ' 0)']","[' 3534981  (Deleted', ' 3448907)']","[' 485      (Ratio', '   0.01%)']","[' 65160    (Ratio', '   1.84%)']","[' 3534981  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3534981  (Average', ' 123.36 Max', ' 6846 Sum', ' 436082297)']","[' 3534506  (Average', ' 123.20 Max', ' 5644 Sum', ' 435511347 Ratio', '  99.87%)']","[' 475      (Average', ' 1202.00 Max', ' 1202 Sum', ' 570950 Ratio', '   0.13%)']", ,[' 94792   '],[' 9880    '],[' 96123   '],[' 58517   '],"[' 175547   (Atom=Atom', ' 49385 Body=Body', ' 28955 Other', ' 97207)']",[' Yes'],"[' 11961    (Eliminated', '    0 Frozen', ' 11961)']","[' 7040     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.69813'],[' 0'], ,[' 443.39'],[' 0'],[' 27.3753'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.85385e+09'],[' 1.68261e+09'],[' 0'],[' 2.75838e+10'],[' 0'],[' 0'],[' 1498 '],[' 3497 '],[' 2 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4297+'],[' 2151'],"[' 1003.363s (Solving', ' 989.60s 1st Model', ' 463.44s Unsat', ' 0.00s)']",[' 1002.031s'], ,[' 444909073'],"[' 4415121  (Analyzed', ' 3364198)']","[' 9104     (Average', ' 369.53 Last', ' 209401)']",[' 6049.1  '],"[' 2151     (Average Length', ' 1056.57 Splits', ' 0)']","[' 3364198  (Deleted', ' 3275306)']","[' 463      (Ratio', '   0.01%)']","[' 70886    (Ratio', '   2.11%)']","[' 3364198  (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3364198  (Average', ' 128.79 Max', ' 6740 Sum', ' 433265816)']","[' 3363690  (Average', ' 128.61 Max', ' 5556 Sum', ' 432664344 Ratio', '  99.86%)']","[' 508      (Average', ' 1184.00 Max', ' 1184 Sum', ' 601472 Ratio', '   0.14%)']", ,[' 95165   '],[' 10012   '],[' 96482   '],[' 59022   '],"[' 177062   (Atom=Atom', ' 49758 Body=Body', ' 29087 Other', ' 98217)']",[' Yes'],"[' 12079    (Eliminated', '    0 Frozen', ' 12079)']","[' 8122     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.73046'],[' 0'], ,[' 445.931'],[' 0'],[' 27.0291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.86595e+09'],[' 1.70273e+09'],[' 0'],[' 2.84549e+10'],[' 0'],[' 0'],[' 1603 '],[' 3489 '],[' 2 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 4289+'],[' 2147'],"[' 1003.971s (Solving', ' 989.45s 1st Model', ' 196.56s Unsat', ' 0.00s)']",[' 1002.922s'], ,[' 438375383'],"[' 4895460  (Analyzed', ' 3816483)']","[' 9148     (Average', ' 417.19 Last', ' 317448)']",[' 6250.5  '],"[' 2147     (Average Length', ' 1052.35 Splits', ' 0)']","[' 3816483  (Deleted', ' 3727084)']","[' 562      (Ratio', '   0.01%)']","[' 70361    (Ratio', '   1.84%)']","[' 3816483  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3816483  (Average', ' 111.66 Max', ' 6999 Sum', ' 426154410)']","[' 3815946  (Average', ' 111.51 Max', ' 5904 Sum', ' 425566395 Ratio', '  99.86%)']","[' 537      (Average', ' 1095.00 Max', ' 1095 Sum', ' 588015 Ratio', '   0.14%)']", ,[' 95203   '],[' 10026   '],[' 96491   '],[' 59074   '],"[' 177218   (Atom=Atom', ' 49796 Body=Body', ' 29101 Other', ' 98321)']",[' Yes'],"[' 12064    (Eliminated', '    0 Frozen', ' 12064)']","[' 7830     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.7475'],[' 0'], ,[' 440.246'],[' 0'],[' 27.0432'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82209e+09'],[' 1.64674e+09'],[' 0'],[' 2.72884e+10'],[' 0'],[' 0'],[' 1762 '],[' 3439 '],[' 2 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 4507+'],[' 2256'],"[' 1004.221s (Solving', ' 988.42s 1st Model', ' 482.23s Unsat', ' 0.00s)']",[' 1002.469s'], ,[' 461938935'],"[' 6665526  (Analyzed', ' 5472642)']","[' 12446    (Average', ' 439.71 Last', ' 187209)']",[' 6184.1  '],"[' 2256     (Average Length', ' 1103.98 Splits', ' 0)']","[' 5472642  (Deleted', ' 5375005)']","[' 552      (Ratio', '   0.01%)']","[' 68448    (Ratio', '   1.25%)']","[' 5472642  (Average Length', '   24.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5472642  (Average', ' 82.08 Max', ' 6472 Sum', ' 449168247)']","[' 5472144  (Average', ' 81.98 Max', ' 6186 Sum', ' 448627419 Ratio', '  99.88%)']","[' 498      (Average', ' 1086.00 Max', ' 1086 Sum', ' 540828 Ratio', '   0.12%)']", ,[' 94940   '],[' 9902    '],[' 96310   '],[' 58687   '],"[' 176057   (Atom=Atom', ' 49533 Body=Body', ' 28977 Other', ' 97547)']",[' Yes'],"[' 12022    (Eliminated', '    0 Frozen', ' 12022)']","[' 7652     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03544'],[' 0'], ,[' 441.775'],[' 0'],[' 28.364'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78357e+09'],[' 1.59755e+09'],[' 0'],[' 2.60475e+10'],[' 0'],[' 0'],[' 1903 '],[' 3471 '],[' 2 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 4235+'],[' 2120'],"[' 1003.454s (Solving', ' 988.57s 1st Model', ' 60.11s Unsat', ' 0.00s)']",[' 1001.531s'], ,[' 445853052'],"[' 5615877  (Analyzed', ' 4449353)']","[' 9181     (Average', ' 484.63 Last', ' 86087)']",[' 6314.8  '],"[' 2120     (Average Length', ' 1040.03 Splits', ' 0)']","[' 4449353  (Deleted', ' 4352874)']","[' 583      (Ratio', '   0.01%)']","[' 70540    (Ratio', '   1.59%)']","[' 4449353  (Average Length', '   26.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4449353  (Average', ' 97.40 Max', ' 6667 Sum', ' 433372556)']","[' 4448861  (Average', ' 97.30 Max', ' 5746 Sum', ' 432919424 Ratio', '  99.90%)']","[' 492      (Average', ' 921.00 Max', ' 921 Sum', ' 453132 Ratio', '   0.10%)']", ,[' 95092   '],[' 9998    '],[' 96382   '],[' 58935   '],"[' 176801   (Atom=Atom', ' 49685 Body=Body', ' 29073 Other', ' 98043)']",[' Yes'],"[' 12038    (Eliminated', '    0 Frozen', ' 12038)']","[' 8075     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.90649'],[' 0'], ,[' 454.759'],[' 0'],[' 27.3726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79488e+09'],[' 1.63189e+09'],[' 0'],[' 2.86076e+10'],[' 0'],[' 0'],[' 1981 '],[' 3779 '],[' 2 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 4483+'],[' 2244'],"[' 1003.510s (Solving', ' 989.14s 1st Model', ' 100.71s Unsat', ' 0.00s)']",[' 1001.922s'], ,[' 455697588'],"[' 4762701  (Analyzed', ' 3731922)']","[' 8418     (Average', ' 443.33 Last', ' 211914)']",[' 6219.9  '],"[' 2244     (Average Length', ' 1100.48 Splits', ' 0)']","[' 3731922  (Deleted', ' 3641386)']","[' 567      (Ratio', '   0.02%)']","[' 74068    (Ratio', '   1.98%)']","[' 3731922  (Average Length', '   26.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3731922  (Average', ' 118.80 Max', ' 6665 Sum', ' 443355968)']","[' 3731367  (Average', ' 118.62 Max', ' 5461 Sum', ' 442687748 Ratio', '  99.85%)']","[' 555      (Average', ' 1204.00 Max', ' 1204 Sum', ' 668220 Ratio', '   0.15%)']", ,[' 95480   '],[' 10086   '],[' 96841   '],[' 59411   '],"[' 178229   (Atom=Atom', ' 50073 Body=Body', ' 29161 Other', ' 98995)']",[' Yes'],"[' 12197    (Eliminated', '    0 Frozen', ' 12197)']","[' 8135     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.88286'],[' 0'], ,[' 427.941'],[' 0'],[' 27.5073'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8837e+09'],[' 1.71373e+09'],[' 0'],[' 2.57262e+10'],[' 0'],[' 0'],[' 1830 '],[' 3777 '],[' 2 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 4259+'],[' 2132'],"[' 1003.526s (Solving', ' 989.33s 1st Model', ' 464.43s Unsat', ' 0.00s)']",[' 1002.188s'], ,[' 448362029'],"[' 4474546  (Analyzed', ' 3552913)']","[' 9498     (Average', ' 374.07 Last', ' 146004)']",[' 6037.8  '],"[' 2132     (Average Length', ' 1043.57 Splits', ' 0)']","[' 3552913  (Deleted', ' 3459979)']","[' 544      (Ratio', '   0.02%)']","[' 74343    (Ratio', '   2.09%)']","[' 3552913  (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3552913  (Average', ' 122.95 Max', ' 6635 Sum', ' 436844776)']","[' 3552406  (Average', ' 122.80 Max', ' 6336 Sum', ' 436314961 Ratio', '  99.88%)']","[' 507      (Average', ' 1045.00 Max', ' 1045 Sum', ' 529815 Ratio', '   0.12%)']", ,[' 94924   '],[' 9938    '],[' 96176   '],[' 58707   '],"[' 176117   (Atom=Atom', ' 49517 Body=Body', ' 29013 Other', ' 97587)']",[' Yes'],"[' 11940    (Eliminated', '    0 Frozen', ' 11940)']","[' 8272     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.7887'],[' 0'], ,[' 412.25'],[' 0'],[' 27.2766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92137e+09'],[' 1.74265e+09'],[' 0'],[' 2.39041e+10'],[' 0'],[' 0'],[' 1642 '],[' 3385 '],[' 2 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 4595+'],[' 2300'],"[' 1003.515s (Solving', ' 988.82s 1st Model', ' 929.15s Unsat', ' 0.00s)']",[' 1001.906s'], ,[' 458157989'],"[' 4088290  (Analyzed', ' 3134407)']","[' 9128     (Average', ' 343.38 Last', ' 723915)']",[' 6129.8  '],"[' 2300     (Average Length', ' 1129.75 Splits', ' 0)']","[' 3134407  (Deleted', ' 3048893)']","[' 447      (Ratio', '   0.01%)']","[' 70693    (Ratio', '   2.26%)']","[' 3134407  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3134407  (Average', ' 142.23 Max', ' 6558 Sum', ' 445806466)']","[' 3133917  (Average', ' 142.04 Max', ' 6558 Sum', ' 445214056 Ratio', '  99.87%)']","[' 490      (Average', ' 1209.00 Max', ' 1209 Sum', ' 592410 Ratio', '   0.13%)']", ,[' 95044   '],[' 9922    '],[' 96483   '],[' 58811   '],"[' 176429   (Atom=Atom', ' 49637 Body=Body', ' 28997 Other', ' 97795)']",[' Yes'],"[' 12111    (Eliminated', '    0 Frozen', ' 12111)']","[' 7742     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.92709'],[' 0'], ,[' 391.838'],[' 0'],[' 27.9369'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.02421e+09'],[' 1.83332e+09'],[' 0'],[' 2.143e+10'],[' 0'],[' 0'],[' 1617 '],[' 3219 '],[' 2 '],[' 0 ']
