Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA41,[' 2207+'],[' 1107'],"[' 1000.748s (Solving', ' 997.35s 1st Model', ' 15.56s Unsat', ' 0.00s)']",[' 1000.266s'], ,[' 126617292'],"[' 30649672 (Analyzed', ' 30464665)']","[' 52703    (Average', ' 578.04 Last', ' 83990)']",[' 1980.5  '],"[' 1107     (Average Length', ' 534.61 Splits', ' 0)']","[' 30464665 (Deleted', ' 30072110)']","[' 183      (Ratio', '   0.00%)']","[' 8867     (Ratio', '   0.03%)']","[' 30464665 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30464665 (Average', '  4.07 Max', ' 1935 Sum', ' 124031012)']","[' 30464458 (Average', '  4.07 Max', ' 1935 Sum', ' 123938557 Ratio', '  99.93%)']","[' 207      (Average', ' 446.64 Max', ' 719 Sum', '  92455 Ratio', '   0.07%)']", ,[' 45285   '],[' 3561    '],[' 45727   '],[' 25339   '],"[' 76013    (Atom=Atom', ' 22376 Body=Body', ' 12831 Other', ' 40806)']",[' Yes'],"[' 4603     (Eliminated', '    0 Frozen', ' 4603)']","[' 1251     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.835245'],[' 0'], ,[' 734.814'],[' 0'],[' 16.1412'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9344e+08'],[' 2.63403e+08'],[' 0'],[' 7.41914e+10'],[' 0'],[' 0'],[' 843 '],[' 1609 '],[' 2533 '],[' 3 '],[' 0 ']
Solving...,TA42, ,[' 2361'],[' 1184'],"[' 492.060s (Solving', ' 488.62s 1st Model', ' 7.06s Unsat', ' 146.72s)']",[' 491.438s'], ,[' 60979236'],"[' 24671919 (Analyzed', ' 24432490)']","[' 41277    (Average', ' 591.92 Last', ' 251674)']",[' 2099.5  '],"[' 1184     (Average Length', ' 558.03 Splits', ' 0)']","[' 24432490 (Deleted', ' 24053881)']","[' 114      (Ratio', '   0.00%)']","[' 4389     (Ratio', '   0.02%)']","[' 24432490 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24432490 (Average', '  2.39 Max', ' 2137 Sum', ' 58382298)']","[' 24432232 (Average', '  2.38 Max', ' 2137 Sum', ' 58263750 Ratio', '  99.80%)']","[' 258      (Average', ' 459.49 Max', ' 751 Sum', ' 118548 Ratio', '   0.20%)']", ,[' 44966   '],[' 3458    '],[' 45426   '],[' 24885   '],"[' 74651    (Atom=Atom', ' 22025 Body=Body', ' 12728 Other', ' 39898)']",[' Yes'],"[' 4518     (Eliminated', '    0 Frozen', ' 4518)']","[' 761      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.904157'],[' 0'], ,[' 321.653'],[' 0'],[' 9.60245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74271e+08'],[' 1.01769e+08'],[' 0'],[' 2.67511e+10'],[' 0'],[' 0'],[' 1039 '],[' 1771 '],[' 2577 '],[' 1 '],[' 2 ']
UNKNOWN,TA43,[' 2627+'],[' 1317'],"[' 1000.679s (Solving', ' 996.55s 1st Model', ' 5.13s Unsat', ' 0.00s)']",[' 998.219s'], ,[' 126821960'],"[' 29152368 (Analyzed', ' 28960288)']","[' 50123    (Average', ' 577.78 Last', ' 21970)']",[' 2149.2  '],"[' 1317     (Average Length', ' 626.00 Splits', ' 0)']","[' 28960288 (Deleted', ' 28583438)']","[' 212      (Ratio', '   0.00%)']","[' 8752     (Ratio', '   0.03%)']","[' 28960288 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28960288 (Average', '  4.28 Max', ' 2047 Sum', ' 123889904)']","[' 28960044 (Average', '  4.27 Max', ' 2047 Sum', ' 123749067 Ratio', '  99.89%)']","[' 244      (Average', ' 577.20 Max', ' 782 Sum', ' 140837 Ratio', '   0.11%)']", ,[' 45673   '],[' 3599    '],[' 46271   '],[' 25729   '],"[' 77183    (Atom=Atom', ' 22728 Body=Body', ' 12869 Other', ' 41586)']",[' Yes'],"[' 4797     (Eliminated', '    0 Frozen', ' 4797)']","[' 1355     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.01513'],[' 0'], ,[' 743.969'],[' 0'],[' 16.186'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9125e+08'],[' 2.68853e+08'],[' 0'],[' 7.41969e+10'],[' 0'],[' 0'],[' 783 '],[' 1617 '],[' 2433 '],[' 3 '],[' 0 ']
UNKNOWN,TA44,[' 1999+'],[' 1003'],"[' 1000.658s (Solving', ' 997.38s 1st Model', ' 3.12s Unsat', ' 0.00s)']",[' 1000.000s'], ,[' 108021727'],"[' 30842890 (Analyzed', ' 30661192)']","[' 53763    (Average', ' 570.30 Last', ' 280832)']",[' 1971.0  '],"[' 1003     (Average Length', ' 486.75 Splits', ' 0)']","[' 30661192 (Deleted', ' 30313956)']","[' 204      (Ratio', '   0.00%)']","[' 9125     (Ratio', '   0.03%)']","[' 30661192 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30661192 (Average', '  3.44 Max', ' 1955 Sum', ' 105475674)']","[' 30660923 (Average', '  3.44 Max', ' 1955 Sum', ' 105353051 Ratio', '  99.88%)']","[' 269      (Average', ' 455.85 Max', ' 662 Sum', ' 122623 Ratio', '   0.12%)']", ,[' 45053   '],[' 3535    '],[' 45400   '],[' 25121   '],"[' 75359    (Atom=Atom', ' 22184 Body=Body', ' 12805 Other', ' 40370)']",[' Yes'],"[' 4482     (Eliminated', '    0 Frozen', ' 4482)']","[' 1303     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.760268'],[' 0'], ,[' 772.68'],[' 0'],[' 15.8491'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.15051e+08'],[' 2.13999e+08'],[' 0'],[' 7.87462e+10'],[' 0'],[' 0'],[' 1014 '],[' 1962 '],[' 2725 '],[' 3 '],[' 0 ']
UNKNOWN,TA45,[' 2389+'],[' 1198'],"[' 1000.715s (Solving', ' 996.78s 1st Model', ' 6.41s Unsat', ' 0.00s)']",[' 999.859s'], ,[' 145697151'],"[' 30090404 (Analyzed', ' 29890403)']","[' 51104    (Average', ' 584.89 Last', ' 250638)']",[' 2031.2  '],"[' 1198     (Average Length', ' 577.68 Splits', ' 0)']","[' 29890403 (Deleted', ' 29466506)']","[' 213      (Ratio', '   0.00%)']","[' 10262    (Ratio', '   0.03%)']","[' 29890403 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29890403 (Average', '  4.78 Max', ' 1906 Sum', ' 142964350)']","[' 29890172 (Average', '  4.78 Max', ' 1906 Sum', ' 142832746 Ratio', '  99.91%)']","[' 231      (Average', ' 569.71 Max', ' 963 Sum', ' 131604 Ratio', '   0.09%)']", ,[' 45213   '],[' 3511    '],[' 45735   '],[' 25224   '],"[' 75668    (Atom=Atom', ' 22311 Body=Body', ' 12781 Other', ' 40576)']",[' Yes'],"[' 4633     (Eliminated', '    0 Frozen', ' 4633)']","[' 1474     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.909122'],[' 0'], ,[' 709.607'],[' 0'],[' 17.0142'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.78259e+08'],[' 3.40642e+08'],[' 0'],[' 7.11686e+10'],[' 0'],[' 0'],[' 839 '],[' 1597 '],[' 2430 '],[' 3 '],[' 0 ']
Solving...,TA46, ,[' 2137'],[' 1072'],"[' 892.846s (Solving', ' 889.10s 1st Model', ' 14.94s Unsat', ' 208.19s)']",[' 890.813s'], ,[' 120691992'],"[' 28144029 (Analyzed', ' 27956763)']","[' 48754    (Average', ' 573.43 Last', ' 136449)']",[' 2082.9  '],"[' 1072     (Average Length', ' 517.60 Splits', ' 0)']","[' 27956763 (Deleted', ' 27638003)']","[' 251      (Ratio', '   0.00%)']","[' 9831     (Ratio', '   0.04%)']","[' 27956763 (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27956763 (Average', '  4.22 Max', ' 2020 Sum', ' 117995540)']","[' 27956446 (Average', '  4.22 Max', ' 2020 Sum', ' 117867933 Ratio', '  99.89%)']","[' 317      (Average', ' 402.55 Max', ' 646 Sum', ' 127607 Ratio', '   0.11%)']", ,[' 45368   '],[' 3593    '],[' 45771   '],[' 25476   '],"[' 76424    (Atom=Atom', ' 22481 Body=Body', ' 12863 Other', ' 41080)']",[' Yes'],"[' 4596     (Eliminated', '    0 Frozen', ' 4596)']","[' 1527     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.863343'],[' 0'], ,[' 653.257'],[' 0'],[' 14.898'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.75881e+08'],[' 2.61606e+08'],[' 0'],[' 6.1002e+10'],[' 0'],[' 0'],[' 1014 '],[' 1985 '],[' 2679 '],[' 2 '],[' 1 ']
Solving...,TA47, ,[' 2163'],[' 1085'],"[' 372.568s (Solving', ' 369.47s 1st Model', ' 5.83s Unsat', ' 26.34s)']",[' 372.219s'], ,[' 65461164'],"[' 20900221 (Analyzed', ' 20731736)']","[' 34509    (Average', ' 600.76 Last', ' 32445)']",[' 2055.4  '],"[' 1085     (Average Length', ' 516.96 Splits', ' 0)']","[' 20731736 (Deleted', ' 20500036)']","[' 118      (Ratio', '   0.00%)']","[' 5086     (Ratio', '   0.02%)']","[' 20731736 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20731736 (Average', '  3.04 Max', ' 2273 Sum', ' 63026458)']","[' 20731534 (Average', '  3.04 Max', ' 2273 Sum', ' 62944631 Ratio', '  99.87%)']","[' 202      (Average', ' 405.08 Max', ' 803 Sum', '  81827 Ratio', '   0.13%)']", ,[' 44899   '],[' 3481    '],[' 45288   '],[' 24759   '],"[' 74273    (Atom=Atom', ' 21876 Body=Body', ' 12751 Other', ' 39646)']",[' Yes'],"[' 4470     (Eliminated', '    0 Frozen', ' 4470)']","[' 638      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.812842'],[' 0'], ,[' 223.681'],[' 0'],[' 6.90595'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.77998e+08'],[' 1.1202e+08'],[' 0'],[' 1.64401e+10'],[' 0'],[' 0'],[' 996 '],[' 1705 '],[' 2521 '],[' 1 '],[' 2 ']
Solving...,TA48, ,[' 2087'],[' 1047'],"[' 799.715s (Solving', ' 796.79s 1st Model', ' 2.95s Unsat', ' 127.13s)']",[' 799.328s'], ,[' 86248599'],"[' 27610700 (Analyzed', ' 27433342)']","[' 47148    (Average', ' 581.86 Last', ' 120782)']",[' 1958.1  '],"[' 1047     (Average Length', ' 500.83 Splits', ' 0)']","[' 27433342 (Deleted', ' 27089407)']","[' 170      (Ratio', '   0.00%)']","[' 6926     (Ratio', '   0.03%)']","[' 27433342 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27433342 (Average', '  3.06 Max', ' 1941 Sum', ' 83878212)']","[' 27433069 (Average', '  3.05 Max', ' 1941 Sum', ' 83753979 Ratio', '  99.85%)']","[' 273      (Average', ' 455.07 Max', ' 648 Sum', ' 124233 Ratio', '   0.15%)']", ,[' 44847   '],[' 3446    '],[' 45213   '],[' 24778   '],"[' 74330    (Atom=Atom', ' 21930 Body=Body', ' 12716 Other', ' 39684)']",[' Yes'],"[' 4412     (Eliminated', '    0 Frozen', ' 4412)']","[' 1113     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.780166'],[' 0'], ,[' 595.029'],[' 0'],[' 12.7649'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.52303e+08'],[' 1.63694e+08'],[' 0'],[' 5.43045e+10'],[' 0'],[' 0'],[' 1006 '],[' 1745 '],[' 2517 '],[' 2 '],[' 1 ']
UNKNOWN,TA49,[' 2253+'],[' 1130'],"[' 1000.601s (Solving', ' 996.76s 1st Model', ' 3.88s Unsat', ' 0.00s)']",[' 999.172s'], ,[' 118252683'],"[' 30164956 (Analyzed', ' 29964889)']","[' 50809    (Average', ' 589.76 Last', ' 386783)']",[' 2026.6  '],"[' 1130     (Average Length', ' 542.91 Splits', ' 0)']","[' 29964889 (Deleted', ' 29615190)']","[' 220      (Ratio', '   0.00%)']","[' 9273     (Ratio', '   0.03%)']","[' 29964889 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29964889 (Average', '  3.86 Max', ' 1923 Sum', ' 115613266)']","[' 29964621 (Average', '  3.85 Max', ' 1923 Sum', ' 115472053 Ratio', '  99.88%)']","[' 268      (Average', ' 526.91 Max', ' 720 Sum', ' 141213 Ratio', '   0.12%)']", ,[' 45306   '],[' 3552    '],[' 45762   '],[' 25321   '],"[' 75959    (Atom=Atom', ' 22367 Body=Body', ' 12822 Other', ' 40770)']",[' Yes'],"[' 4608     (Eliminated', '    0 Frozen', ' 4608)']","[' 1463     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.851616'],[' 0'], ,[' 759.428'],[' 0'],[' 16.5185'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.60239e+08'],[' 2.48496e+08'],[' 0'],[' 7.44076e+10'],[' 0'],[' 0'],[' 978 '],[' 1750 '],[' 2608 '],[' 3 '],[' 0 ']
UNKNOWN,TA50,[' 2397+'],[' 1202'],"[' 499.770s (Solving', ' 496.34s 1st Model', ' 5.94s Unsat', ' 155.16s)']",[' 496.828s'], ,[' 29590766'],"[' 8347006  (Analyzed', ' 8077798)']","[' 16889    (Average', ' 478.29 Last', ' 30987)']",[' 2085.8  '],"[' 1202     (Average Length', ' 582.75 Splits', ' 0)']","[' 8077798  (Deleted', ' 7933564)']","[' 102      (Ratio', '   0.00%)']","[' 4971     (Ratio', '   0.06%)']","[' 8077798  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8077798  (Average', '  3.40 Max', ' 2137 Sum', ' 27446437)']","[' 8077506  (Average', '  3.38 Max', ' 2137 Sum', ' 27268225 Ratio', '  99.35%)']","[' 292      (Average', ' 610.32 Max', ' 841 Sum', ' 178212 Ratio', '   0.65%)']", ,[' 45065   '],[' 3465    '],[' 45591   '],[' 25156   '],"[' 75464    (Atom=Atom', ' 22289 Body=Body', ' 12735 Other', ' 40440)']",[' Yes'],"[' 4591     (Eliminated', '    0 Frozen', ' 4591)']","[' 706      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.856218'],[' 0'], ,[' 427.041'],[' 0'],[' 7.06133'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.31032e+07'],[' 5.80589e+07'],[' 0'],[' 4.83566e+10'],[' 0'],[' 0'],[' 746 '],[' 1501 '],[' 2398 '],[' 1 '],[' 2 ']
