Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
UNKNOWN,TA51,[' 1651+'],[' 831'],"[' 998.444s (Solving', ' 993.88s 1st Model', ' 3.00s Unsat', ' 195.35s)']",[' 994.594s'], ,[' 62082986'],"[' 26747707 (Analyzed', ' 26656390)']","[' 49156    (Average', ' 542.28 Last', ' 65061)']",[' 2146.6  '],"[' 831      (Average Length', ' 395.22 Splits', ' 0)']","[' 26656390 (Deleted', ' 26311476)']","[' 27       (Ratio', '   0.00%)']","[' 4735     (Ratio', '   0.02%)']","[' 26656390 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26656390 (Average', '  2.24 Max', ' 3016 Sum', ' 59806879)']","[' 26655996 (Average', '  2.24 Max', ' 3016 Sum', ' 59679922 Ratio', '  99.79%)']","[' 394      (Average', ' 322.23 Max', ' 628 Sum', ' 126957 Ratio', '   0.21%)']", ,[' 79101   '],[' 4423    '],[' 79136   '],[' 44506   '],"[' 133514   (Atom=Atom', ' 40831 Body=Body', ' 23498 Other', ' 69185)']",[' Yes'],"[' 5208     (Eliminated', '    0 Frozen', ' 5208)']","[' 555      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.968482'],[' 0'], ,[' 779.56'],[' 0'],[' 13.7582'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.73971e+08'],[' 1.08837e+08'],[' 0'],[' 8.43694e+10'],[' 0'],[' 0'],[' 794 '],[' 1467 '],[' 2322 '],[' 2992 '],[' 3956 '],[' 4 '],[' 1 ']
UNKNOWN,TA52,[' 1439+'],[' 725'],"[' 1001.181s (Solving', ' 996.69s 1st Model', ' 3.12s Unsat', ' 0.00s)']",[' 998.250s'], ,[' 52399549'],"[' 24056966 (Analyzed', ' 23983322)']","[' 43607    (Average', ' 549.99 Last', ' 11154)']",[' 2193.7  '],"[' 725      (Average Length', ' 353.54 Splits', ' 0)']","[' 23983322 (Deleted', ' 23719296)']","[' 14       (Ratio', '   0.00%)']","[' 4828     (Ratio', '   0.02%)']","[' 23983322 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23983322 (Average', '  2.10 Max', ' 2794 Sum', ' 50284316)']","[' 23982773 (Average', '  2.09 Max', ' 2794 Sum', ' 50135343 Ratio', '  99.70%)']","[' 549      (Average', ' 271.35 Max', ' 521 Sum', ' 148973 Ratio', '   0.30%)']", ,[' 79290   '],[' 4465    '],[' 79239   '],[' 44234   '],"[' 132698   (Atom=Atom', ' 40517 Body=Body', ' 23540 Other', ' 68641)']",[' Yes'],"[' 5164     (Eliminated', '    0 Frozen', ' 5164)']","[' 708      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.975808'],[' 0'], ,[' 813.484'],[' 0'],[' 13.0194'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40498e+08'],[' 8.31449e+07'],[' 0'],[' 9.74747e+10'],[' 0'],[' 0'],[' 964 '],[' 1734 '],[' 2454 '],[' 3383 '],[' 4022 '],[' 5 '],[' 0 ']
UNKNOWN,TA53,[' 1451+'],[' 731'],"[' 1001.194s (Solving', ' 997.05s 1st Model', ' 3.56s Unsat', ' 0.00s)']",[' 998.109s'], ,[' 47682610'],"[' 25445133 (Analyzed', ' 25345090)']","[' 46423    (Average', ' 545.96 Last', ' 58728)']",[' 2106.4  '],"[' 731      (Average Length', ' 356.33 Splits', ' 0)']","[' 25345090 (Deleted', ' 25019194)']","[' 10       (Ratio', '   0.00%)']","[' 3502     (Ratio', '   0.01%)']","[' 25345090 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25345090 (Average', '  1.80 Max', ' 2733 Sum', ' 45657898)']","[' 25344620 (Average', '  1.80 Max', ' 2733 Sum', ' 45503555 Ratio', '  99.66%)']","[' 470      (Average', ' 328.39 Max', ' 573 Sum', ' 154343 Ratio', '   0.34%)']", ,[' 78348   '],[' 4315    '],[' 78305   '],[' 43726   '],"[' 131174   (Atom=Atom', ' 40159 Body=Body', ' 23390 Other', ' 67625)']",[' Yes'],"[' 5022     (Eliminated', '    0 Frozen', ' 5022)']","[' 650      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.923437'],[' 0'], ,[' 813.363'],[' 0'],[' 13.2322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25545e+08'],[' 6.65739e+07'],[' 0'],[' 9.65285e+10'],[' 0'],[' 0'],[' 910 '],[' 1511 '],[' 2252 '],[' 2886 '],[' 3803 '],[' 5 '],[' 0 ']
UNKNOWN,TA54,[' 1725+'],[' 868'],"[' 1001.098s (Solving', ' 996.48s 1st Model', ' 3.49s Unsat', ' 0.00s)']",[' 998.375s'], ,[' 54696220'],"[' 24002648 (Analyzed', ' 23891252)']","[' 44109    (Average', ' 541.64 Last', ' 57945)']",[' 2076.1  '],"[' 868      (Average Length', ' 415.04 Splits', ' 0)']","[' 23891252 (Deleted', ' 23609824)']","[' 20       (Ratio', '   0.00%)']","[' 5133     (Ratio', '   0.02%)']","[' 23891252 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23891252 (Average', '  2.20 Max', ' 2556 Sum', ' 52469019)']","[' 23890608 (Average', '  2.19 Max', ' 2556 Sum', ' 52230058 Ratio', '  99.54%)']","[' 644      (Average', ' 371.06 Max', ' 617 Sum', ' 238961 Ratio', '   0.46%)']", ,[' 79416   '],[' 4424    '],[' 79490   '],[' 44156   '],"[' 132464   (Atom=Atom', ' 40480 Body=Body', ' 23499 Other', ' 68485)']",[' Yes'],"[' 5248     (Eliminated', '    0 Frozen', ' 5248)']","[' 1093     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.07958'],[' 0'], ,[' 811.875'],[' 0'],[' 12.5804'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45407e+08'],[' 8.53135e+07'],[' 0'],[' 9.72885e+10'],[' 0'],[' 0'],[' 850 '],[' 1480 '],[' 2119 '],[' 2997 '],[' 3732 '],[' 5 '],[' 0 ']
UNKNOWN,TA55,[' 1499+'],[' 755'],"[' 1001.288s (Solving', ' 996.80s 1st Model', ' 3.74s Unsat', ' 0.00s)']",[' 998.188s'], ,[' 59374512'],"[' 26569929 (Analyzed', ' 26495693)']","[' 47667    (Average', ' 555.85 Last', ' 431339)']",[' 2093.1  '],"[' 755      (Average Length', ' 369.05 Splits', ' 0)']","[' 26495693 (Deleted', ' 26147745)']","[' 14       (Ratio', '   0.00%)']","[' 4626     (Ratio', '   0.02%)']","[' 26495693 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26495693 (Average', '  2.16 Max', ' 2888 Sum', ' 57342307)']","[' 26495207 (Average', '  2.16 Max', ' 2888 Sum', ' 57161235 Ratio', '  99.68%)']","[' 486      (Average', ' 372.58 Max', ' 594 Sum', ' 181072 Ratio', '   0.32%)']", ,[' 79355   '],[' 4477    '],[' 79334   '],[' 44840   '],"[' 134516   (Atom=Atom', ' 41111 Body=Body', ' 23552 Other', ' 69853)']",[' Yes'],"[' 5206     (Eliminated', '    0 Frozen', ' 5206)']","[' 683      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03593'],[' 0'], ,[' 791.195'],[' 0'],[' 13.0747'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58715e+08'],[' 8.92402e+07'],[' 0'],[' 8.16475e+10'],[' 0'],[' 0'],[' 773 '],[' 1650 '],[' 2569 '],[' 3168 '],[' 4046 '],[' 5 '],[' 0 ']
UNKNOWN,TA56,[' 1501+'],[' 756'],"[' 1001.227s (Solving', ' 996.88s 1st Model', ' 3.48s Unsat', ' 0.00s)']",[' 996.891s'], ,[' 50890738'],"[' 22012119 (Analyzed', ' 21926831)']","[' 39168    (Average', ' 559.81 Last', ' 306059)']",[' 2050.6  '],"[' 756      (Average Length', ' 359.94 Splits', ' 0)']","[' 21926831 (Deleted', ' 21676721)']","[' 13       (Ratio', '   0.00%)']","[' 6239     (Ratio', '   0.03%)']","[' 21926831 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21926831 (Average', '  2.23 Max', ' 2732 Sum', ' 48802360)']","[' 21926388 (Average', '  2.22 Max', ' 2732 Sum', ' 48679956 Ratio', '  99.75%)']","[' 443      (Average', ' 276.31 Max', ' 578 Sum', ' 122404 Ratio', '   0.25%)']", ,[' 78656   '],[' 4426    '],[' 78623   '],[' 43824   '],"[' 131468   (Atom=Atom', ' 40146 Body=Body', ' 23501 Other', ' 67821)']",[' Yes'],"[' 5143     (Eliminated', '    0 Frozen', ' 5143)']","[' 994      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.976771'],[' 0'], ,[' 808.753'],[' 0'],[' 13.0793'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37458e+08'],[' 8.18428e+07'],[' 0'],[' 8.49502e+10'],[' 0'],[' 0'],[' 1056 '],[' 1681 '],[' 2460 '],[' 3203 '],[' 4069 '],[' 5 '],[' 0 ']
UNKNOWN,TA57,[' 1351+'],[' 681'],"[' 1001.217s (Solving', ' 996.79s 1st Model', ' 3.25s Unsat', ' 0.00s)']",[' 997.969s'], ,[' 54117070'],"[' 22871685 (Analyzed', ' 22790015)']","[' 40106    (Average', ' 568.24 Last', ' 38507)']",[' 2159.5  '],"[' 681      (Average Length', ' 333.79 Splits', ' 0)']","[' 22790015 (Deleted', ' 22553282)']","[' 11       (Ratio', '   0.00%)']","[' 5220     (Ratio', '   0.02%)']","[' 22790015 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22790015 (Average', '  2.29 Max', ' 2779 Sum', ' 52133257)']","[' 22789489 (Average', '  2.28 Max', ' 2779 Sum', ' 51977397 Ratio', '  99.70%)']","[' 526      (Average', ' 296.31 Max', ' 493 Sum', ' 155860 Ratio', '   0.30%)']", ,[' 78833   '],[' 4425    '],[' 78748   '],[' 44296   '],"[' 132884   (Atom=Atom', ' 40619 Body=Body', ' 23500 Other', ' 68765)']",[' Yes'],"[' 5090     (Eliminated', '    0 Frozen', ' 5090)']","[' 961      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.970528'],[' 0'], ,[' 798.166'],[' 0'],[' 13.0248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41865e+08'],[' 8.32903e+07'],[' 0'],[' 8.95775e+10'],[' 0'],[' 0'],[' 966 '],[' 1710 '],[' 2475 '],[' 3269 '],[' 4096 '],[' 5 '],[' 0 ']
Solving...,TA58, ,[' 1587'],[' 799'],"[' 812.683s (Solving', ' 808.27s 1st Model', ' 3.36s Unsat', ' 6.42s)']",[' 810.375s'], ,[' 52705886'],"[' 22945757 (Analyzed', ' 22882604)']","[' 40660    (Average', ' 562.78 Last', ' 56855)']",[' 2151.0  '],"[' 799      (Average Length', ' 387.69 Splits', ' 0)']","[' 22882604 (Deleted', ' 22623030)']","[' 24       (Ratio', '   0.00%)']","[' 4524     (Ratio', '   0.02%)']","[' 22882604 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22882604 (Average', '  2.21 Max', ' 2735 Sum', ' 50599774)']","[' 22882090 (Average', '  2.20 Max', ' 2735 Sum', ' 50431415 Ratio', '  99.67%)']","[' 514      (Average', ' 327.55 Max', ' 566 Sum', ' 168359 Ratio', '   0.33%)']", ,[' 78963   '],[' 4412    '],[' 78983   '],[' 44095   '],"[' 132281   (Atom=Atom', ' 40431 Body=Body', ' 23487 Other', ' 68363)']",[' Yes'],"[' 5182     (Eliminated', '    0 Frozen', ' 5182)']","[' 886      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.05323'],[' 0'], ,[' 639.271'],[' 0'],[' 11.1056'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41023e+08'],[' 8.29354e+07'],[' 0'],[' 6.88652e+10'],[' 0'],[' 0'],[' 761 '],[' 1518 '],[' 2273 '],[' 3209 '],[' 3826 '],[' 4 '],[' 1 ']
UNKNOWN,TA59,[' 1661+'],[' 836'],"[' 1001.248s (Solving', ' 996.48s 1st Model', ' 4.03s Unsat', ' 0.00s)']",[' 997.281s'], ,[' 57807479'],"[' 26896126 (Analyzed', ' 26791446)']","[' 47391    (Average', ' 565.33 Last', ' 342150)']",[' 2165.4  '],"[' 836      (Average Length', ' 401.79 Splits', ' 0)']","[' 26791446 (Deleted', ' 26468188)']","[' 3        (Ratio', '   0.00%)']","[' 4945     (Ratio', '   0.02%)']","[' 26791446 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26791446 (Average', '  2.07 Max', ' 2835 Sum', ' 55500353)']","[' 26790956 (Average', '  2.07 Max', ' 2835 Sum', ' 55335387 Ratio', '  99.70%)']","[' 490      (Average', ' 336.67 Max', ' 638 Sum', ' 164966 Ratio', '   0.30%)']", ,[' 79144   '],[' 4415    '],[' 79185   '],[' 44195   '],"[' 132581   (Atom=Atom', ' 40528 Body=Body', ' 23490 Other', ' 68563)']",[' Yes'],"[' 5206     (Eliminated', '    0 Frozen', ' 5206)']","[' 775      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.07753'],[' 0'], ,[' 795.067'],[' 0'],[' 13.0135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55142e+08'],[' 9.19781e+07'],[' 0'],[' 8.89167e+10'],[' 0'],[' 0'],[' 816 '],[' 1444 '],[' 2279 '],[' 2952 '],[' 3909 '],[' 5 '],[' 0 ']
UNKNOWN,TA60,[' 1629+'],[' 820'],"[' 1001.612s (Solving', ' 996.40s 1st Model', ' 4.04s Unsat', ' 0.00s)']",[' 997.578s'], ,[' 44238128'],"[' 21628358 (Analyzed', ' 21534680)']","[' 38993    (Average', ' 552.27 Last', ' 136519)']",[' 2160.2  '],"[' 820      (Average Length', ' 397.63 Splits', ' 0)']","[' 21534680 (Deleted', ' 21245982)']","[' 17       (Ratio', '   0.00%)']","[' 3998     (Ratio', '   0.02%)']","[' 21534680 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21534680 (Average', '  1.96 Max', ' 2859 Sum', ' 42212048)']","[' 21534232 (Average', '  1.95 Max', ' 2859 Sum', ' 42039633 Ratio', '  99.59%)']","[' 448      (Average', ' 384.85 Max', ' 618 Sum', ' 172415 Ratio', '   0.41%)']", ,[' 79056   '],[' 4452    '],[' 79090   '],[' 44822   '],"[' 134462   (Atom=Atom', ' 41118 Body=Body', ' 23527 Other', ' 69817)']",[' Yes'],"[' 5236     (Eliminated', '    0 Frozen', ' 5236)']","[' 744      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.12574'],[' 0'], ,[' 797.68'],[' 0'],[' 13.705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2539e+08'],[' 7.06165e+07'],[' 0'],[' 8.40855e+10'],[' 0'],[' 0'],[' 661 '],[' 1407 '],[' 2190 '],[' 2889 '],[' 3622 '],[' 5 '],[' 0 ']
