Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 1331+'],[' 672'],"[' 835.843s (Solving', ' 833.09s 1st Model', ' 1.81s Unsat', ' 0.36s)']",[' 835.281s'], ,[' 53117242'],"[' 32748876 (Analyzed', ' 32714588)']","[' 62248    (Average', ' 525.55 Last', ' 16588)']",[' 1789.4  '],"[' 672      (Average Length', ' 323.96 Splits', ' 0)']","[' 32714588 (Deleted', ' 32280765)']","[' 14       (Ratio', '   0.00%)']","[' 3290     (Ratio', '   0.01%)']","[' 32714588 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32714588 (Average', '  1.57 Max', ' 2506 Sum', ' 51213653)']","[' 32714260 (Average', '  1.56 Max', ' 2506 Sum', ' 51114143 Ratio', '  99.81%)']","[' 328      (Average', ' 303.38 Max', ' 553 Sum', '  99510 Ratio', '   0.19%)']", ,[' 77219   '],[' 3839    '],[' 77114   '],[' 43788   '],"[' 131360   (Atom=Atom', ' 40697 Body=Body', ' 22914 Other', ' 67749)']",[' Yes'],"[' 4484     (Eliminated', '    0 Frozen', ' 4484)']","[' 482      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.660459'],[' 0'], ,[' 650.614'],[' 0'],[' 10.7148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45658e+08'],[' 7.20961e+07'],[' 0'],[' 8.94266e+10'],[' 0'],[' 0'],[' 734 '],[' 1457 '],[' 1879 '],[' 2799 '],[' 3245 '],[' 4047 '],[' 5 '],[' 1 ']
Solving...,TA52, , ,[' 1'],[' 1101+'],[' 557'],"[' 1000.736s (Solving', ' 998.12s 1st Model', ' 1.90s Unsat', ' 0.00s)']",[' 999.484s'], ,[' 54905877'],"[' 31331245 (Analyzed', ' 31294780)']","[' 57183    (Average', ' 547.27 Last', ' 32913)']",[' 1810.3  '],"[' 557      (Average Length', ' 271.84 Splits', ' 0)']","[' 31294780 (Deleted', ' 30939600)']","[' 12       (Ratio', '   0.00%)']","[' 3597     (Ratio', '   0.01%)']","[' 31294780 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31294780 (Average', '  1.69 Max', ' 2400 Sum', ' 53023876)']","[' 31294455 (Average', '  1.69 Max', ' 2400 Sum', ' 52959434 Ratio', '  99.88%)']","[' 325      (Average', ' 198.28 Max', ' 410 Sum', '  64442 Ratio', '   0.12%)']", ,[' 77402   '],[' 3822    '],[' 77192   '],[' 43152   '],"[' 129452   (Atom=Atom', ' 40078 Body=Body', ' 22897 Other', ' 66477)']",[' Yes'],"[' 4362     (Eliminated', '    0 Frozen', ' 4362)']","[' 672      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.634314'],[' 0'], ,[' 829.201'],[' 0'],[' 14.0422'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42406e+08'],[' 7.02737e+07'],[' 0'],[' 1.23235e+11'],[' 0'],[' 0'],[' 814 '],[' 1574 '],[' 2199 '],[' 2814 '],[' 3560 '],[' 4147 '],[' 6 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 1095+'],[' 554'],"[' 870.910s (Solving', ' 868.28s 1st Model', ' 1.59s Unsat', ' 36.55s)']",[' 870.297s'], ,[' 39709046'],"[' 23706243 (Analyzed', ' 23663186)']","[' 46562    (Average', ' 508.21 Last', ' 24340)']",[' 1794.9  '],"[' 554      (Average Length', ' 269.74 Splits', ' 0)']","[' 23663186 (Deleted', ' 23307405)']","[' 27       (Ratio', '   0.00%)']","[' 2787     (Ratio', '   0.01%)']","[' 23663186 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23663186 (Average', '  1.61 Max', ' 2556 Sum', ' 38188068)']","[' 23662893 (Average', '  1.61 Max', ' 2556 Sum', ' 38128619 Ratio', '  99.84%)']","[' 293      (Average', ' 202.90 Max', ' 430 Sum', '  59449 Ratio', '   0.16%)']", ,[' 76411   '],[' 3837    '],[' 76199   '],[' 43224   '],"[' 129668   (Atom=Atom', ' 40135 Body=Body', ' 22912 Other', ' 66621)']",[' Yes'],"[' 4375     (Eliminated', '    0 Frozen', ' 4375)']","[' 383      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.587836'],[' 0'], ,[' 733.947'],[' 0'],[' 11.2735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.11294e+08'],[' 5.7474e+07'],[' 0'],[' 1.13892e+11'],[' 0'],[' 0'],[' 696 '],[' 1292 '],[' 1885 '],[' 2576 '],[' 3159 '],[' 3916 '],[' 5 '],[' 1 ']
Solving...,TA54, , ,[' 1'],[' 1159+'],[' 586'],"[' 1000.521s (Solving', ' 998.05s 1st Model', ' 1.42s Unsat', ' 0.00s)']",[' 998.203s'], ,[' 55737581'],"[' 32587801 (Analyzed', ' 32545574)']","[' 61278    (Average', ' 531.11 Last', ' 14468)']",[' 1667.9  '],"[' 586      (Average Length', ' 283.26 Splits', ' 0)']","[' 32545574 (Deleted', ' 32149838)']","[' 8        (Ratio', '   0.00%)']","[' 3860     (Ratio', '   0.01%)']","[' 32545574 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32545574 (Average', '  1.66 Max', ' 2215 Sum', ' 53938167)']","[' 32545141 (Average', '  1.65 Max', ' 2215 Sum', ' 53825783 Ratio', '  99.79%)']","[' 433      (Average', ' 259.55 Max', ' 431 Sum', ' 112384 Ratio', '   0.21%)']", ,[' 76906   '],[' 3775    '],[' 76721   '],[' 42482   '],"[' 127442   (Atom=Atom', ' 39455 Body=Body', ' 22850 Other', ' 65137)']",[' Yes'],"[' 4340     (Eliminated', '    0 Frozen', ' 4340)']","[' 708      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.625996'],[' 0'], ,[' 818.625'],[' 0'],[' 13.9209'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52143e+08'],[' 7.44202e+07'],[' 0'],[' 1.21475e+11'],[' 0'],[' 0'],[' 654 '],[' 1252 '],[' 1897 '],[' 2530 '],[' 3321 '],[' 3925 '],[' 6 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 1183+'],[' 598'],"[' 863.159s (Solving', ' 860.67s 1st Model', ' 1.45s Unsat', ' 28.19s)']",[' 861.672s'], ,[' 47178280'],"[' 29619940 (Analyzed', ' 29563668)']","[' 54423    (Average', ' 543.22 Last', ' 263881)']",[' 1778.8  '],"[' 598      (Average Length', ' 291.58 Splits', ' 0)']","[' 29563668 (Deleted', ' 29215428)']","[' 19       (Ratio', '   0.00%)']","[' 2933     (Ratio', '   0.01%)']","[' 29563668 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29563668 (Average', '  1.54 Max', ' 2476 Sum', ' 45387727)']","[' 29563364 (Average', '  1.53 Max', ' 2476 Sum', ' 45309447 Ratio', '  99.83%)']","[' 304      (Average', ' 257.50 Max', ' 483 Sum', '  78280 Ratio', '   0.17%)']", ,[' 77261   '],[' 3779    '],[' 77089   '],[' 43184   '],"[' 129548   (Atom=Atom', ' 40153 Body=Body', ' 22854 Other', ' 66541)']",[' Yes'],"[' 4357     (Eliminated', '    0 Frozen', ' 4357)']","[' 471      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.619973'],[' 0'], ,[' 700.949'],[' 0'],[' 12.1257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25935e+08'],[' 5.66276e+07'],[' 0'],[' 1.02158e+11'],[' 0'],[' 0'],[' 769 '],[' 1359 '],[' 2155 '],[' 2666 '],[' 3283 '],[' 4029 '],[' 5 '],[' 1 ']
Solving...,TA56, , ,[' 1'],[' 1029+'],[' 521'],"[' 1000.900s (Solving', ' 998.12s 1st Model', ' 1.25s Unsat', ' 0.00s)']",[' 998.672s'], ,[' 54513017'],"[' 32350810 (Analyzed', ' 32302320)']","[' 59875    (Average', ' 539.50 Last', ' 103239)']",[' 1880.6  '],"[' 521      (Average Length', ' 255.04 Splits', ' 0)']","[' 32302320 (Deleted', ' 31904644)']","[' 8        (Ratio', '   0.00%)']","[' 3423     (Ratio', '   0.01%)']","[' 32302320 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32302320 (Average', '  1.63 Max', ' 2391 Sum', ' 52609505)']","[' 32302030 (Average', '  1.63 Max', ' 2391 Sum', ' 52552277 Ratio', '  99.89%)']","[' 290      (Average', ' 197.34 Max', ' 403 Sum', '  57228 Ratio', '   0.11%)']", ,[' 76853   '],[' 3851    '],[' 76606   '],[' 43323   '],"[' 129965   (Atom=Atom', ' 40220 Body=Body', ' 22926 Other', ' 66819)']",[' Yes'],"[' 4354     (Eliminated', '    0 Frozen', ' 4354)']","[' 488      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.599047'],[' 0'], ,[' 825.119'],[' 0'],[' 14.6172'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41808e+08'],[' 6.69836e+07'],[' 0'],[' 1.2365e+11'],[' 0'],[' 0'],[' 917 '],[' 1463 '],[' 2397 '],[' 2986 '],[' 3646 '],[' 4465 '],[' 6 '],[' 0 ']
Solving...,TA57, , , ,[' 1147'],[' 580'],"[' 837.243s (Solving', ' 834.48s 1st Model', ' 2.53s Unsat', ' 0.63s)']",[' 836.875s'], ,[' 57296375'],"[' 35368312 (Analyzed', ' 35333817)']","[' 65838    (Average', ' 536.68 Last', ' 52824)']",[' 1794.8  '],"[' 580      (Average Length', ' 280.91 Splits', ' 0)']","[' 35333817 (Deleted', ' 34916698)']","[' 16       (Ratio', '   0.00%)']","[' 3018     (Ratio', '   0.01%)']","[' 35333817 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35333817 (Average', '  1.57 Max', ' 2347 Sum', ' 55318131)']","[' 35333441 (Average', '  1.56 Max', ' 2347 Sum', ' 55246218 Ratio', '  99.87%)']","[' 376      (Average', ' 191.26 Max', ' 425 Sum', '  71913 Ratio', '   0.13%)']", ,[' 76435   '],[' 3755    '],[' 76248   '],[' 42238   '],"[' 126710   (Atom=Atom', ' 39231 Body=Body', ' 22830 Other', ' 64649)']",[' Yes'],"[' 4318     (Eliminated', '    0 Frozen', ' 4318)']","[' 543      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.668515'],[' 0'], ,[' 645.229'],[' 0'],[' 10.8982'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51627e+08'],[' 7.17644e+07'],[' 0'],[' 8.96863e+10'],[' 0'],[' 0'],[' 884 '],[' 1592 '],[' 2219 '],[' 2777 '],[' 3421 '],[' 3985 '],[' 5 '],[' 1 ']
Solving...,TA58, , , ,[' 1209'],[' 611'],"[' 958.002s (Solving', ' 955.63s 1st Model', ' 1.48s Unsat', ' 121.44s)']",[' 956.188s'], ,[' 54860247'],"[' 33395369 (Analyzed', ' 33361618)']","[' 61770    (Average', ' 540.09 Last', ' 27462)']",[' 1728.2  '],"[' 611      (Average Length', ' 299.60 Splits', ' 0)']","[' 33361618 (Deleted', ' 32936690)']","[' 21       (Ratio', '   0.00%)']","[' 3070     (Ratio', '   0.01%)']","[' 33361618 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33361618 (Average', '  1.59 Max', ' 2330 Sum', ' 53044539)']","[' 33361257 (Average', '  1.59 Max', ' 2330 Sum', ' 52948511 Ratio', '  99.82%)']","[' 361      (Average', ' 266.01 Max', ' 457 Sum', '  96028 Ratio', '   0.18%)']", ,[' 76762   '],[' 3754    '],[' 76612   '],[' 42544   '],"[' 127628   (Atom=Atom', ' 39538 Body=Body', ' 22829 Other', ' 65261)']",[' Yes'],"[' 4354     (Eliminated', '    0 Frozen', ' 4354)']","[' 596      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.638194'],[' 0'], ,[' 774.428'],[' 0'],[' 12.947'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48416e+08'],[' 7.20828e+07'],[' 0'],[' 1.09488e+11'],[' 0'],[' 0'],[' 619 '],[' 1304 '],[' 1878 '],[' 2570 '],[' 3469 '],[' 4084 '],[' 5 '],[' 1 ']
Solving...,TA59, , ,[' 1'],[' 1007+'],[' 510'],"[' 1000.774s (Solving', ' 998.27s 1st Model', ' 1.53s Unsat', ' 0.00s)']",[' 999.891s'], ,[' 64896429'],"[' 36338936 (Analyzed', ' 36296792)']","[' 67171    (Average', ' 540.36 Last', ' 79396)']",[' 1815.6  '],"[' 510      (Average Length', ' 248.71 Splits', ' 0)']","[' 36296792 (Deleted', ' 35839496)']","[' 4        (Ratio', '   0.00%)']","[' 4115     (Ratio', '   0.01%)']","[' 36296792 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36296792 (Average', '  1.73 Max', ' 2485 Sum', ' 62911301)']","[' 36296597 (Average', '  1.73 Max', ' 2485 Sum', ' 62867327 Ratio', '  99.93%)']","[' 195      (Average', ' 225.51 Max', ' 388 Sum', '  43974 Ratio', '   0.07%)']", ,[' 77123   '],[' 3802    '],[' 76871   '],[' 43579   '],"[' 130733   (Atom=Atom', ' 40525 Body=Body', ' 22877 Other', ' 67331)']",[' Yes'],"[' 4300     (Eliminated', '    0 Frozen', ' 4300)']","[' 645      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.569328'],[' 0'], ,[' 799.017'],[' 0'],[' 14.1207'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.7951e+08'],[' 9.57919e+07'],[' 0'],[' 1.12005e+11'],[' 0'],[' 0'],[' 659 '],[' 1285 '],[' 2010 '],[' 2726 '],[' 3371 '],[' 4193 '],[' 6 '],[' 0 ']
Solving...,TA60, , , ,[' 1375'],[' 694'],"[' 839.909s (Solving', ' 837.08s 1st Model', ' 1.91s Unsat', ' 2.80s)']",[' 839.281s'], ,[' 46158992'],"[' 30329001 (Analyzed', ' 30265209)']","[' 56453    (Average', ' 536.11 Last', ' 272715)']",[' 1897.1  '],"[' 694      (Average Length', ' 340.71 Splits', ' 0)']","[' 30265209 (Deleted', ' 29846381)']","[' 17       (Ratio', '   0.00%)']","[' 2595     (Ratio', '   0.01%)']","[' 30265209 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30265209 (Average', '  1.46 Max', ' 2392 Sum', ' 44267838)']","[' 30264941 (Average', '  1.46 Max', ' 2392 Sum', ' 44184446 Ratio', '  99.81%)']","[' 268      (Average', ' 311.16 Max', ' 521 Sum', '  83392 Ratio', '   0.19%)']", ,[' 77281   '],[' 3786    '],[' 77201   '],[' 43557   '],"[' 130667   (Atom=Atom', ' 40519 Body=Body', ' 22861 Other', ' 67287)']",[' Yes'],"[' 4456     (Eliminated', '    0 Frozen', ' 4456)']","[' 533      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.731777'],[' 0'], ,[' 664.844'],[' 0'],[' 11.9118'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29165e+08'],[' 6.04198e+07'],[' 0'],[' 9.31319e+10'],[' 0'],[' 0'],[' 647 '],[' 1205 '],[' 1793 '],[' 2457 '],[' 3147 '],[' 3644 '],[' 5 '],[' 1 ']
