Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 773+'],[' 394'],"[' 900.023s (Solving', ' 898.09s 1st Model', ' 0.95s Unsat', ' 184.41s)']",[' 897.938s'], ,[' 47366074'],"[' 30763055 (Analyzed', ' 30744471)']","[' 59205    (Average', ' 519.29 Last', ' 132071)']",[' 1409.5  '],"[' 394      (Average Length', ' 192.89 Splits', ' 0)']","[' 30744471 (Deleted', ' 30356834)']","[' 38       (Ratio', '   0.00%)']","[' 3642     (Ratio', '   0.01%)']","[' 30744471 (Average Length', '   11.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30744471 (Average', '  1.50 Max', ' 2061 Sum', ' 46083570)']","[' 30744231 (Average', '  1.50 Max', ' 2061 Sum', ' 46048733 Ratio', '  99.92%)']","[' 240      (Average', ' 145.15 Max', ' 338 Sum', '  34837 Ratio', '   0.08%)']", ,[' 75891   '],[' 3364    '],[' 75526   '],[' 42476   '],"[' 127424   (Atom=Atom', ' 39860 Body=Body', ' 22439 Other', ' 65125)']",[' Yes'],"[' 3749     (Eliminated', '    0 Frozen', ' 3749)']","[' 531      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.42163'],[' 0'], ,[' 723.728'],[' 0'],[' 11.9229'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30431e+08'],[' 6.0789e+07'],[' 0'],[' 1.13473e+11'],[' 0'],[' 0'],[' 647 '],[' 1329 '],[' 1778 '],[' 2414 '],[' 2966 '],[' 3603 '],[' 4368 '],[' 5 '],[' 2 ']
Solving...,TA52, , , ,[' 837'],[' 426'],"[' 860.434s (Solving', ' 858.20s 1st Model', ' 1.22s Unsat', ' 0.36s)']",[' 859.281s'], ,[' 47748195'],"[' 31748002 (Analyzed', ' 31727965)']","[' 60259    (Average', ' 526.53 Last', ' 34279)']",[' 1569.3  '],"[' 426      (Average Length', ' 208.17 Splits', ' 0)']","[' 31727965 (Deleted', ' 31328431)']","[' 10       (Ratio', '   0.00%)']","[' 2723     (Ratio', '   0.01%)']","[' 31727965 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 31727965 (Average', '  1.46 Max', ' 2037 Sum', ' 46275111)']","[' 31727683 (Average', '  1.46 Max', ' 2037 Sum', ' 46230781 Ratio', '  99.90%)']","[' 282      (Average', ' 157.20 Max', ' 310 Sum', '  44330 Ratio', '   0.10%)']", ,[' 76673   '],[' 3425    '],[' 76339   '],[' 42707   '],"[' 128117   (Atom=Atom', ' 40030 Body=Body', ' 22500 Other', ' 65587)']",[' Yes'],"[' 3841     (Eliminated', '    0 Frozen', ' 3841)']","[' 547      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.50833'],[' 0'], ,[' 684.94'],[' 0'],[' 12.4139'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29196e+08'],[' 5.69075e+07'],[' 0'],[' 1.02945e+11'],[' 0'],[' 0'],[' 655 '],[' 1385 '],[' 1927 '],[' 2528 '],[' 3191 '],[' 3800 '],[' 4221 '],[' 6 '],[' 1 ']
Solving...,TA53, , , ,[' 807'],[' 411'],"[' 496.116s (Solving', ' 494.13s 1st Model', ' 1.16s Unsat', ' 206.32s)']",[' 495.594s'], ,[' 20886644'],"[' 13359433 (Analyzed', ' 13340798)']","[' 27751    (Average', ' 480.73 Last', ' 23268)']",[' 1668.6  '],"[' 411      (Average Length', ' 201.29 Splits', ' 0)']","[' 13340798 (Deleted', ' 13148721)']","[' 63       (Ratio', '   0.00%)']","[' 2333     (Ratio', '   0.02%)']","[' 13340798 (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13340798 (Average', '  1.50 Max', ' 2203 Sum', ' 19952417)']","[' 13340590 (Average', '  1.49 Max', ' 2203 Sum', ' 19922335 Ratio', '  99.85%)']","[' 208      (Average', ' 144.63 Max', ' 317 Sum', '  30082 Ratio', '   0.15%)']", ,[' 75584   '],[' 3334    '],[' 75236   '],[' 42819   '],"[' 128453   (Atom=Atom', ' 40233 Body=Body', ' 22409 Other', ' 65811)']",[' Yes'],"[' 3736     (Eliminated', '    0 Frozen', ' 3736)']","[' 192      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.494323'],[' 0'], ,[' 416.354'],[' 0'],[' 7.41497'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.02371e+07'],[' 2.941e+07'],[' 0'],[' 6.37845e+10'],[' 0'],[' 0'],[' 612 '],[' 1230 '],[' 1664 '],[' 2202 '],[' 2676 '],[' 3279 '],[' 3814 '],[' 2 '],[' 5 ']
Solving...,TA54, , , ,[' 875'],[' 445'],"[' 685.108s (Solving', ' 683.10s 1st Model', ' 0.95s Unsat', ' 111.32s)']",[' 684.672s'], ,[' 24018948'],"[' 16040311 (Analyzed', ' 16017430)']","[' 32345    (Average', ' 495.21 Last', ' 215033)']",[' 1362.6  '],"[' 445      (Average Length', ' 214.46 Splits', ' 0)']","[' 16017430 (Deleted', ' 15782824)']","[' 67       (Ratio', '   0.00%)']","[' 2392     (Ratio', '   0.01%)']","[' 16017430 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16017430 (Average', '  1.44 Max', ' 2128 Sum', ' 23117826)']","[' 16017157 (Average', '  1.44 Max', ' 2128 Sum', ' 23060498 Ratio', '  99.75%)']","[' 273      (Average', ' 209.99 Max', ' 371 Sum', '  57328 Ratio', '   0.25%)']", ,[' 76486   '],[' 3376    '],[' 76164   '],[' 42879   '],"[' 128633   (Atom=Atom', ' 40251 Body=Body', ' 22451 Other', ' 65931)']",[' Yes'],"[' 3804     (Eliminated', '    0 Frozen', ' 3804)']","[' 370      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.430881'],[' 0'], ,[' 591.075'],[' 0'],[' 9.5496'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.09269e+07'],[' 3.471e+07'],[' 0'],[' 9.32725e+10'],[' 0'],[' 0'],[' 541 '],[' 1061 '],[' 1597 '],[' 2083 '],[' 2548 '],[' 3452 '],[' 3961 '],[' 4 '],[' 3 ']
Solving...,TA55, , , ,[' 897'],[' 456'],"[' 661.062s (Solving', ' 658.87s 1st Model', ' 0.95s Unsat', ' 86.47s)']",[' 660.078s'], ,[' 38727189'],"[' 25592891 (Analyzed', ' 25567502)']","[' 48424    (Average', ' 527.99 Last', ' 33986)']",[' 1485.5  '],"[' 456      (Average Length', ' 221.74 Splits', ' 0)']","[' 25567502 (Deleted', ' 25245255)']","[' 35       (Ratio', '   0.00%)']","[' 2426     (Ratio', '   0.01%)']","[' 25567502 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25567502 (Average', '  1.46 Max', ' 2119 Sum', ' 37404659)']","[' 25567212 (Average', '  1.46 Max', ' 2119 Sum', ' 37349219 Ratio', '  99.85%)']","[' 290      (Average', ' 191.17 Max', ' 393 Sum', '  55440 Ratio', '   0.15%)']", ,[' 76210   '],[' 3414    '],[' 75901   '],[' 43100   '],"[' 129296   (Atom=Atom', ' 40434 Body=Body', ' 22489 Other', ' 66373)']",[' Yes'],"[' 3855     (Eliminated', '    0 Frozen', ' 3855)']","[' 379      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.481183'],[' 0'], ,[' 522.501'],[' 0'],[' 9.93145'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05078e+08'],[' 4.63415e+07'],[' 0'],[' 7.80731e+10'],[' 0'],[' 0'],[' 769 '],[' 1300 '],[' 1850 '],[' 2491 '],[' 2855 '],[' 3350 '],[' 3943 '],[' 4 '],[' 3 ']
Solving...,TA56, , ,[' 1'],[' 773+'],[' 394'],"[' 625.595s (Solving', ' 623.26s 1st Model', ' 0.81s Unsat', ' 51.46s)']",[' 624.938s'], ,[' 39788959'],"[' 25932748 (Analyzed', ' 25910071)']","[' 49462    (Average', ' 523.84 Last', ' 13863)']",[' 1685.1  '],"[' 394      (Average Length', ' 191.94 Splits', ' 0)']","[' 25910071 (Deleted', ' 25576051)']","[' 44       (Ratio', '   0.00%)']","[' 2455     (Ratio', '   0.01%)']","[' 25910071 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25910071 (Average', '  1.48 Max', ' 2278 Sum', ' 38472249)']","[' 25909825 (Average', '  1.48 Max', ' 2278 Sum', ' 38448106 Ratio', '  99.94%)']","[' 246      (Average', ' 98.14 Max', ' 739 Sum', '  24143 Ratio', '   0.06%)']", ,[' 76162   '],[' 3412    '],[' 75795   '],[' 42854   '],"[' 128558   (Atom=Atom', ' 40190 Body=Body', ' 22487 Other', ' 65881)']",[' Yes'],"[' 3795     (Eliminated', '    0 Frozen', ' 3795)']","[' 242      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.492691'],[' 0'], ,[' 482.475'],[' 0'],[' 9.39561'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08904e+08'],[' 5.03728e+07'],[' 0'],[' 6.99718e+10'],[' 0'],[' 0'],[' 865 '],[' 1411 '],[' 2071 '],[' 2612 '],[' 3064 '],[' 3571 '],[' 4239 '],[' 4 '],[' 3 ']
Solving...,TA57, , , ,[' 859'],[' 437'],"[' 638.831s (Solving', ' 636.40s 1st Model', ' 1.39s Unsat', ' 63.61s)']",[' 637.625s'], ,[' 39472862'],"[' 26521858 (Analyzed', ' 26508354)']","[' 50465    (Average', ' 525.28 Last', ' 2487)']",[' 1670.9  '],"[' 437      (Average Length', ' 212.78 Splits', ' 0)']","[' 26508354 (Deleted', ' 26142431)']","[' 54       (Ratio', '   0.00%)']","[' 2558     (Ratio', '   0.01%)']","[' 26508354 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26508354 (Average', '  1.44 Max', ' 2152 Sum', ' 38141822)']","[' 26508046 (Average', '  1.44 Max', ' 2152 Sum', ' 38105939 Ratio', '  99.91%)']","[' 308      (Average', ' 116.50 Max', ' 328 Sum', '  35883 Ratio', '   0.09%)']", ,[' 75468   '],[' 3382    '],[' 75140   '],[' 42131   '],"[' 126389   (Atom=Atom', ' 39497 Body=Body', ' 22457 Other', ' 64435)']",[' Yes'],"[' 3804     (Eliminated', '    0 Frozen', ' 3804)']","[' 371      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.545069'],[' 0'], ,[' 490.855'],[' 0'],[' 8.79427'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07501e+08'],[' 4.71911e+07'],[' 0'],[' 7.29616e+10'],[' 0'],[' 0'],[' 628 '],[' 1404 '],[' 1835 '],[' 2366 '],[' 3072 '],[' 3553 '],[' 4069 '],[' 4 '],[' 3 ']
Solving...,TA58, , ,[' 1'],[' 957+'],[' 486'],"[' 790.834s (Solving', ' 788.58s 1st Model', ' 1.33s Unsat', ' 359.30s)']",[' 790.031s'], ,[' 39142803'],"[' 28854818 (Analyzed', ' 28835355)']","[' 56423    (Average', ' 511.06 Last', ' 279996)']",[' 1460.5  '],"[' 486      (Average Length', ' 234.94 Splits', ' 0)']","[' 28835355 (Deleted', ' 28401256)']","[' 67       (Ratio', '   0.00%)']","[' 2354     (Ratio', '   0.01%)']","[' 28835355 (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28835355 (Average', '  1.31 Max', ' 2057 Sum', ' 37906772)']","[' 28834992 (Average', '  1.31 Max', ' 2057 Sum', ' 37838877 Ratio', '  99.82%)']","[' 363      (Average', ' 187.04 Max', ' 383 Sum', '  67895 Ratio', '   0.18%)']", ,[' 75625   '],[' 3356    '],[' 75343   '],[' 41958   '],"[' 125870   (Atom=Atom', ' 39350 Body=Body', ' 22431 Other', ' 64089)']",[' Yes'],"[' 3824     (Eliminated', '    0 Frozen', ' 3824)']","[' 295      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.51213'],[' 0'], ,[' 624.414'],[' 0'],[' 10.163'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10351e+08'],[' 4.39381e+07'],[' 0'],[' 9.99727e+10'],[' 0'],[' 0'],[' 586 '],[' 1143 '],[' 1684 '],[' 2325 '],[' 2819 '],[' 3498 '],[' 4117 '],[' 3 '],[' 4 ']
Solving...,TA59, , ,[' 1'],[' 753+'],[' 384'],"[' 800.990s (Solving', ' 799.19s 1st Model', ' 1.38s Unsat', ' 85.59s)']",[' 800.359s'], ,[' 30134102'],"[' 20101299 (Analyzed', ' 20077413)']","[' 40627    (Average', ' 494.19 Last', ' 19892)']",[' 1411.2  '],"[' 384      (Average Length', ' 186.75 Splits', ' 0)']","[' 20077413 (Deleted', ' 19776047)']","[' 29       (Ratio', '   0.00%)']","[' 2980     (Ratio', '   0.01%)']","[' 20077413 (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20077413 (Average', '  1.45 Max', ' 2060 Sum', ' 29138756)']","[' 20077172 (Average', '  1.45 Max', ' 2060 Sum', ' 29095296 Ratio', '  99.85%)']","[' 241      (Average', ' 180.33 Max', ' 312 Sum', '  43460 Ratio', '   0.15%)']", ,[' 75596   '],[' 3356    '],[' 75219   '],[' 42600   '],"[' 127796   (Atom=Atom', ' 39992 Body=Body', ' 22431 Other', ' 65373)']",[' Yes'],"[' 3729     (Eliminated', '    0 Frozen', ' 3729)']","[' 384      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.409095'],[' 0'], ,[' 683.769'],[' 0'],[' 11.0299'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.7337e+07'],[' 4.1943e+07'],[' 0'],[' 1.13714e+11'],[' 0'],[' 0'],[' 514 '],[' 1026 '],[' 1553 '],[' 2121 '],[' 2723 '],[' 3418 '],[' 4100 '],[' 5 '],[' 2 ']
Solving...,TA60, , , ,[' 889'],[' 452'],"[' 614.974s (Solving', ' 612.63s 1st Model', ' 1.08s Unsat', ' 39.87s)']",[' 613.734s'], ,[' 38331819'],"[' 26966180 (Analyzed', ' 26937845)']","[' 51646    (Average', ' 521.59 Last', ' 65819)']",[' 1641.5  '],"[' 452      (Average Length', ' 221.48 Splits', ' 0)']","[' 26937845 (Deleted', ' 26570428)']","[' 46       (Ratio', '   0.00%)']","[' 2329     (Ratio', '   0.01%)']","[' 26937845 (Average Length', '   11.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26937845 (Average', '  1.37 Max', ' 2203 Sum', ' 36950602)']","[' 26937584 (Average', '  1.37 Max', ' 2203 Sum', ' 36915026 Ratio', '  99.90%)']","[' 261      (Average', ' 136.31 Max', ' 329 Sum', '  35576 Ratio', '   0.10%)']", ,[' 76277   '],[' 3406    '],[' 75967   '],[' 43148   '],"[' 129440   (Atom=Atom', ' 40490 Body=Body', ' 22481 Other', ' 66469)']",[' Yes'],"[' 3846     (Eliminated', '    0 Frozen', ' 3846)']","[' 397      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.532289'],[' 0'], ,[' 466.828'],[' 0'],[' 7.8274'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0757e+08'],[' 4.66942e+07'],[' 0'],[' 6.78744e+10'],[' 0'],[' 0'],[' 647 '],[' 1184 '],[' 1713 '],[' 2387 '],[' 2902 '],[' 3412 '],[' 3811 '],[' 4 '],[' 3 ']
