Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 3817+'],[' 1917'],"[' 1010.645s (Solving', ' 969.57s 1st Model', ' 45.75s Unsat', ' 0.00s)']",[' 1007.484s'], ,[' 89215179'],"[' 11529147 (Analyzed', ' 11256094)']","[' 21935    (Average', ' 513.16 Last', ' 43572)']",[' 7010.8  '],"[' 1917     (Average Length', ' 926.13 Splits', ' 0)']","[' 11256094 (Deleted', ' 11112910)']","[' 17       (Ratio', '   0.00%)']","[' 9640     (Ratio', '   0.09%)']","[' 11256094 (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11256094 (Average', '  6.94 Max', ' 9931 Sum', ' 78061549)']","[' 11254626 (Average', '  6.82 Max', ' 9931 Sum', ' 76747072 Ratio', '  98.32%)']","[' 1468     (Average', ' 895.42 Max', ' 1499 Sum', ' 1314477 Ratio', '   1.68%)']", ,[' 373275  '],[' 14450   '],[' 373110  '],[' 220013  '],"[' 660035   (Atom=Atom', ' 207561 Body=Body', ' 115350 Other', ' 337124)']",[' Yes'],"[' 16285    (Eliminated', '    0 Frozen', ' 16285)']","[' 1595     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.14869'],[' 0'], ,[' 814.742'],[' 0'],[' 13.7881'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.51051e+08'],[' 3.12988e+08'],[' 0'],[' 9.22103e+10'],[' 0'],[' 0'],[' 1067 '],[' 2270 '],[' 3152 '],[' 3930 '],[' 4960 '],[' 6223 '],[' 7097 '],[' 7903 '],[' 8 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 3387+'],[' 1702'],"[' 1008.421s (Solving', ' 974.49s 1st Model', ' 32.45s Unsat', ' 0.00s)']",[' 1006.219s'], ,[' 78016581'],"[' 11785695 (Analyzed', ' 11545901)']","[' 22559    (Average', ' 511.81 Last', ' 146896)']",[' 6799.7  '],"[' 1702     (Average Length', ' 839.32 Splits', ' 0)']","[' 11545901 (Deleted', ' 11396006)']","[' 28       (Ratio', '   0.00%)']","[' 8942     (Ratio', '   0.08%)']","[' 11545901 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11545901 (Average', '  5.91 Max', ' 9698 Sum', ' 68222383)']","[' 11544172 (Average', '  5.81 Max', ' 9698 Sum', ' 67122670 Ratio', '  98.39%)']","[' 1729     (Average', ' 636.04 Max', ' 1276 Sum', ' 1099713 Ratio', '   1.61%)']", ,[' 367328  '],[' 14400   '],[' 366994  '],[' 215012  '],"[' 645032   (Atom=Atom', ' 202610 Body=Body', ' 115300 Other', ' 327122)']",[' Yes'],"[' 16066    (Eliminated', '    0 Frozen', ' 16066)']","[' 1727     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.94071'],[' 0'], ,[' 850.955'],[' 0'],[' 12.7785'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.15098e+08'],[' 2.78519e+08'],[' 0'],[' 1.10028e+11'],[' 0'],[' 0'],[' 883 '],[' 1854 '],[' 2757 '],[' 3758 '],[' 4736 '],[' 5849 '],[' 6680 '],[' 7542 '],[' 8 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 3725+'],[' 1871'],"[' 1008.244s (Solving', ' 971.57s 1st Model', ' 41.29s Unsat', ' 0.00s)']",[' 1006.375s'], ,[' 80882031'],"[' 10316368 (Analyzed', ' 9989436)']","[' 19859    (Average', ' 503.02 Last', ' 50525)']",[' 6959.6  '],"[' 1871     (Average Length', ' 898.34 Splits', ' 0)']","[' 9989436  (Deleted', ' 9858907)']","[' 22       (Ratio', '   0.00%)']","[' 8888     (Ratio', '   0.09%)']","[' 9989436  (Average Length', '   18.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9989436  (Average', '  7.01 Max', ' 9713 Sum', ' 70006644)']","[' 9987903  (Average', '  6.88 Max', ' 9713 Sum', ' 68731477 Ratio', '  98.18%)']","[' 1533     (Average', ' 831.81 Max', ' 1474 Sum', ' 1275167 Ratio', '   1.82%)']", ,[' 370822  '],[' 14487   '],[' 370593  '],[' 219010  '],"[' 657026   (Atom=Atom', ' 206521 Body=Body', ' 115387 Other', ' 335118)']",[' Yes'],"[' 16258    (Eliminated', '    0 Frozen', ' 16258)']","[' 1715     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.62473'],[' 0'], ,[' 844.152'],[' 0'],[' 13.1913'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.31636e+08'],[' 2.98842e+08'],[' 0'],[' 1.04854e+11'],[' 0'],[' 0'],[' 1084 '],[' 2149 '],[' 3104 '],[' 4029 '],[' 5013 '],[' 6056 '],[' 7010 '],[' 7811 '],[' 8 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 3801+'],[' 1909'],"[' 1009.420s (Solving', ' 969.98s 1st Model', ' 40.96s Unsat', ' 0.00s)']",[' 1004.609s'], ,[' 74917758'],"[' 11103515 (Analyzed', ' 10774712)']","[' 21354    (Average', ' 504.58 Last', ' 39966)']",[' 7014.5  '],"[' 1909     (Average Length', ' 919.19 Splits', ' 0)']","[' 10774712 (Deleted', ' 10636317)']","[' 13       (Ratio', '   0.00%)']","[' 8422     (Ratio', '   0.08%)']","[' 10774712 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10774712 (Average', '  5.89 Max', ' 9834 Sum', ' 63470869)']","[' 10773332 (Average', '  5.80 Max', ' 9834 Sum', ' 62481679 Ratio', '  98.44%)']","[' 1380     (Average', ' 716.80 Max', ' 1437 Sum', ' 989190 Ratio', '   1.56%)']", ,[' 368319  '],[' 14315   '],[' 368126  '],[' 217452  '],"[' 652352   (Atom=Atom', ' 205135 Body=Body', ' 115215 Other', ' 332002)']",[' Yes'],"[' 16122    (Eliminated', '    0 Frozen', ' 16122)']","[' 1546     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.02767'],[' 0'], ,[' 837.26'],[' 0'],[' 13.2648'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.22557e+08'],[' 2.88267e+08'],[' 0'],[' 9.42706e+10'],[' 0'],[' 0'],[' 957 '],[' 1933 '],[' 3120 '],[' 4201 '],[' 5054 '],[' 5974 '],[' 6861 '],[' 7707 '],[' 8 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 3693+'],[' 1855'],"[' 1008.910s (Solving', ' 972.21s 1st Model', ' 35.58s Unsat', ' 0.00s)']",[' 1004.875s'], ,[' 78086350'],"[' 10859194 (Analyzed', ' 10543054)']","[' 20909    (Average', ' 504.24 Last', ' 13918)']",[' 6428.9  '],"[' 1855     (Average Length', ' 889.01 Splits', ' 0)']","[' 10543054 (Deleted', ' 10412252)']","[' 19       (Ratio', '   0.00%)']","[' 9054     (Ratio', '   0.09%)']","[' 10543054 (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10543054 (Average', '  6.47 Max', ' 9725 Sum', ' 68187247)']","[' 10541265 (Average', '  6.35 Max', ' 9725 Sum', ' 66959570 Ratio', '  98.20%)']","[' 1789     (Average', ' 686.24 Max', ' 1432 Sum', ' 1227677 Ratio', '   1.80%)']", ,[' 369860  '],[' 14569   '],[' 369635  '],[' 215660  '],"[' 646976   (Atom=Atom', ' 203089 Body=Body', ' 115469 Other', ' 328418)']",[' Yes'],"[' 16344    (Eliminated', '    0 Frozen', ' 16344)']","[' 1797     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.25001'],[' 0'], ,[' 844.916'],[' 0'],[' 12.5199'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.97766e+08'],[' 2.61979e+08'],[' 0'],[' 1.02928e+11'],[' 0'],[' 0'],[' 1175 '],[' 1941 '],[' 3097 '],[' 3917 '],[' 4916 '],[' 5806 '],[' 6713 '],[' 7684 '],[' 8 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 3699+'],[' 1858'],"[' 1008.986s (Solving', ' 972.45s 1st Model', ' 31.12s Unsat', ' 0.00s)']",[' 1005.375s'], ,[' 83668773'],"[' 12464820 (Analyzed', ' 12113582)']","[' 24341    (Average', ' 497.66 Last', ' 13924)']",[' 6484.7  '],"[' 1858     (Average Length', ' 883.68 Splits', ' 0)']","[' 12113582 (Deleted', ' 11953905)']","[' 32       (Ratio', '   0.00%)']","[' 8454     (Ratio', '   0.07%)']","[' 12113582 (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12113582 (Average', '  6.10 Max', ' 9229 Sum', ' 73857361)']","[' 12111682 (Average', '  5.97 Max', ' 9229 Sum', ' 72314131 Ratio', '  97.91%)']","[' 1900     (Average', ' 812.23 Max', ' 1397 Sum', ' 1543230 Ratio', '   2.09%)']", ,[' 366809  '],[' 14171   '],[' 366581  '],[' 213555  '],"[' 640661   (Atom=Atom', ' 201382 Body=Body', ' 115071 Other', ' 324208)']",[' Yes'],"[' 15943    (Eliminated', '    0 Frozen', ' 15943)']","[' 1688     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.29662'],[' 0'], ,[' 838.431'],[' 0'],[' 13.1588'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.17713e+08'],[' 2.78959e+08'],[' 0'],[' 9.76663e+10'],[' 0'],[' 0'],[' 1151 '],[' 2104 '],[' 3007 '],[' 3884 '],[' 4703 '],[' 5634 '],[' 6660 '],[' 7555 '],[' 8 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 3487+'],[' 1752'],"[' 1009.995s (Solving', ' 971.79s 1st Model', ' 41.60s Unsat', ' 0.00s)']",[' 1005.625s'], ,[' 67076410'],"[' 9806507  (Analyzed', ' 9472925)']","[' 18532    (Average', ' 511.17 Last', ' 31735)']",[' 6757.2  '],"[' 1752     (Average Length', ' 847.81 Splits', ' 0)']","[' 9472925  (Deleted', ' 9334526)']","[' 4        (Ratio', '   0.00%)']","[' 7994     (Ratio', '   0.08%)']","[' 9472925  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9472925  (Average', '  6.00 Max', ' 10068 Sum', ' 56858365)']","[' 9471634  (Average', '  5.91 Max', ' 10068 Sum', ' 55975880 Ratio', '  98.45%)']","[' 1291     (Average', ' 683.57 Max', ' 1451 Sum', ' 882485 Ratio', '   1.55%)']", ,[' 368218  '],[' 14335   '],[' 367900  '],[' 217417  '],"[' 652247   (Atom=Atom', ' 205080 Body=Body', ' 115235 Other', ' 331932)']",[' Yes'],"[' 16017    (Eliminated', '    0 Frozen', ' 16017)']","[' 1526     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.62637'],[' 0'], ,[' 840.732'],[' 0'],[' 13.5719'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.7632e+08'],[' 2.45798e+08'],[' 0'],[' 8.77626e+10'],[' 0'],[' 0'],[' 1116 '],[' 1950 '],[' 3021 '],[' 3989 '],[' 4942 '],[' 5734 '],[' 6715 '],[' 7795 '],[' 8 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 3571+'],[' 1794'],"[' 1009.600s (Solving', ' 969.55s 1st Model', ' 36.75s Unsat', ' 0.00s)']",[' 1004.250s'], ,[' 75581277'],"[' 12062026 (Analyzed', ' 11756754)']","[' 22806    (Average', ' 515.51 Last', ' 14558)']",[' 6937.5  '],"[' 1794     (Average Length', ' 870.78 Splits', ' 0)']","[' 11756754 (Deleted', ' 11609378)']","[' 16       (Ratio', '   0.00%)']","[' 8069     (Ratio', '   0.07%)']","[' 11756754 (Average Length', '   18.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11756754 (Average', '  5.54 Max', ' 9653 Sum', ' 65130562)']","[' 11754958 (Average', '  5.43 Max', ' 9653 Sum', ' 63852217 Ratio', '  98.04%)']","[' 1796     (Average', ' 711.77 Max', ' 1402 Sum', ' 1278345 Ratio', '   1.96%)']", ,[' 367529  '],[' 14376   '],[' 367257  '],[' 215836  '],"[' 647504   (Atom=Atom', ' 203458 Body=Body', ' 115276 Other', ' 328770)']",[' Yes'],"[' 16104    (Eliminated', '    0 Frozen', ' 16104)']","[' 1470     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.14173'],[' 0'], ,[' 823.318'],[' 0'],[' 13.5733'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.10277e+08'],[' 2.72569e+08'],[' 0'],[' 9.04445e+10'],[' 0'],[' 0'],[' 1090 '],[' 1985 '],[' 3057 '],[' 4059 '],[' 4940 '],[' 5731 '],[' 6727 '],[' 7685 '],[' 8 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 3651+'],[' 1834'],"[' 1009.128s (Solving', ' 974.42s 1st Model', ' 43.60s Unsat', ' 0.00s)']",[' 1004.938s'], ,[' 77850526'],"[' 11344668 (Analyzed', ' 11021066)']","[' 22247    (Average', ' 495.40 Last', ' 66894)']",[' 6695.9  '],"[' 1834     (Average Length', ' 883.66 Splits', ' 0)']","[' 11021066 (Deleted', ' 10873549)']","[' 13       (Ratio', '   0.00%)']","[' 8666     (Ratio', '   0.08%)']","[' 11021066 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11021066 (Average', '  6.11 Max', ' 10109 Sum', ' 67290836)']","[' 11019842 (Average', '  6.02 Max', ' 10109 Sum', ' 66379402 Ratio', '  98.65%)']","[' 1224     (Average', ' 744.64 Max', ' 1457 Sum', ' 911434 Ratio', '   1.35%)']", ,[' 369051  '],[' 14382   '],[' 368808  '],[' 219130  '],"[' 657386   (Atom=Atom', ' 206746 Body=Body', ' 115282 Other', ' 335358)']",[' Yes'],"[' 16139    (Eliminated', '    0 Frozen', ' 16139)']","[' 1611     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.89317'],[' 0'], ,[' 847.617'],[' 0'],[' 13.1308'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.07549e+08'],[' 2.70931e+08'],[' 0'],[' 1.04111e+11'],[' 0'],[' 0'],[' 906 '],[' 1814 '],[' 2572 '],[' 3452 '],[' 4336 '],[' 5243 '],[' 6140 '],[' 6907 '],[' 8 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 3663+'],[' 1840'],"[' 1008.770s (Solving', ' 973.05s 1st Model', ' 32.47s Unsat', ' 0.00s)']",[' 1005.609s'], ,[' 79468572'],"[' 10591313 (Analyzed', ' 10271654)']","[' 20364    (Average', ' 504.40 Last', ' 8499)']",[' 6515.2  '],"[' 1840     (Average Length', ' 872.38 Splits', ' 0)']","[' 10271654 (Deleted', ' 10143745)']","[' 19       (Ratio', '   0.00%)']","[' 9075     (Ratio', '   0.09%)']","[' 10271654 (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10271654 (Average', '  6.79 Max', ' 9669 Sum', ' 69716392)']","[' 10269773 (Average', '  6.64 Max', ' 9669 Sum', ' 68249359 Ratio', '  97.90%)']","[' 1881     (Average', ' 779.92 Max', ' 1416 Sum', ' 1467033 Ratio', '   2.10%)']", ,[' 369213  '],[' 14579   '],[' 368955  '],[' 216663  '],"[' 649985   (Atom=Atom', ' 204082 Body=Body', ' 115479 Other', ' 330424)']",[' Yes'],"[' 16321    (Eliminated', '    0 Frozen', ' 16321)']","[' 1689     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.12801'],[' 0'], ,[' 849.796'],[' 0'],[' 12.7935'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.03655e+08'],[' 2.68384e+08'],[' 0'],[' 1.03876e+11'],[' 0'],[' 0'],[' 1189 '],[' 2012 '],[' 2985 '],[' 3659 '],[' 4600 '],[' 5469 '],[' 6404 '],[' 7281 '],[' 8 '],[' 0 ']
