Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 2705+'],[' 1362'],"[' 1006.400s (Solving', ' 981.82s 1st Model', ' 19.90s Unsat', ' 0.00s)']",[' 1005.313s'], ,[' 77932340'],"[' 14148461 (Analyzed', ' 13991107)']","[' 27145    (Average', ' 515.42 Last', ' 17757)']",[' 6065.5  '],"[' 1362     (Average Length', ' 670.64 Splits', ' 0)']","[' 13991107 (Deleted', ' 13822955)']","[' 8        (Ratio', '   0.00%)']","[' 10037    (Ratio', '   0.07%)']","[' 13991107 (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13991107 (Average', '  5.04 Max', ' 8505 Sum', ' 70463451)']","[' 13989629 (Average', '  4.99 Max', ' 8505 Sum', ' 69799365 Ratio', '  99.06%)']","[' 1478     (Average', ' 449.31 Max', ' 1064 Sum', ' 664086 Ratio', '   0.94%)']", ,[' 366739  '],[' 13061   '],[' 366071  '],[' 212162  '],"[' 636482   (Atom=Atom', ' 201099 Body=Body', ' 113961 Other', ' 321422)']",[' Yes'],"[' 14393    (Eliminated', '    0 Frozen', ' 14393)']","[' 2094     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.16647'],[' 0'], ,[' 870.989'],[' 0'],[' 12.5197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.32036e+08'],[' 2.89513e+08'],[' 0'],[' 1.32903e+11'],[' 0'],[' 0'],[' 1001 '],[' 1990 '],[' 3052 '],[' 3846 '],[' 4743 '],[' 6099 '],[' 6785 '],[' 7696 '],[' 8420 '],[' 9 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 3269+'],[' 1644'],"[' 1006.628s (Solving', ' 979.89s 1st Model', ' 23.04s Unsat', ' 0.00s)']",[' 1004.891s'], ,[' 54760590'],"[' 12569443 (Analyzed', ' 12420522)']","[' 25125    (Average', ' 494.35 Last', ' 34851)']",[' 5895.5  '],"[' 1644     (Average Length', ' 801.54 Splits', ' 0)']","[' 12420522 (Deleted', ' 12250843)']","[' 14       (Ratio', '   0.00%)']","[' 7404     (Ratio', '   0.06%)']","[' 12420522 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12420522 (Average', '  3.75 Max', ' 8747 Sum', ' 46559585)']","[' 12419192 (Average', '  3.68 Max', ' 8747 Sum', ' 45737936 Ratio', '  98.24%)']","[' 1330     (Average', ' 617.78 Max', ' 1336 Sum', ' 821649 Ratio', '   1.76%)']", ,[' 364199  '],[' 12974   '],[' 363797  '],[' 213007  '],"[' 639017   (Atom=Atom', ' 202031 Body=Body', ' 113874 Other', ' 323112)']",[' Yes'],"[' 14572    (Eliminated', '    0 Frozen', ' 14572)']","[' 1453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.59302'],[' 0'], ,[' 885.041'],[' 0'],[' 10.8197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.52301e+08'],[' 2.18295e+08'],[' 0'],[' 1.27057e+11'],[' 0'],[' 0'],[' 711 '],[' 1711 '],[' 2624 '],[' 3408 '],[' 4316 '],[' 5145 '],[' 5981 '],[' 6695 '],[' 7520 '],[' 9 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 3023+'],[' 1521'],"[' 1007.215s (Solving', ' 980.80s 1st Model', ' 27.22s Unsat', ' 0.00s)']",[' 1005.906s'], ,[' 69710368'],"[' 14768535 (Analyzed', ' 14625588)']","[' 28891    (Average', ' 506.23 Last', ' 29382)']",[' 6596.1  '],"[' 1521     (Average Length', ' 736.61 Splits', ' 0)']","[' 14625588 (Deleted', ' 14454395)']","[' 7        (Ratio', '   0.00%)']","[' 8076     (Ratio', '   0.06%)']","[' 14625588 (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14625588 (Average', '  4.15 Max', ' 9122 Sum', ' 60636907)']","[' 14624588 (Average', '  4.10 Max', ' 9122 Sum', ' 59994788 Ratio', '  98.94%)']","[' 1000     (Average', ' 642.12 Max', ' 1196 Sum', ' 642119 Ratio', '   1.06%)']", ,[' 368342  '],[' 13038   '],[' 367799  '],[' 219198  '],"[' 657590   (Atom=Atom', ' 208158 Body=Body', ' 113938 Other', ' 335494)']",[' Yes'],"[' 14495    (Eliminated', '    0 Frozen', ' 14495)']","[' 1406     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.63933'],[' 0'], ,[' 871.721'],[' 0'],[' 12.1687'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.9227e+08'],[' 2.4986e+08'],[' 0'],[' 1.37263e+11'],[' 0'],[' 0'],[' 1054 '],[' 2016 '],[' 2858 '],[' 3647 '],[' 4303 '],[' 5050 '],[' 6153 '],[' 6992 '],[' 7726 '],[' 9 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 2811+'],[' 1415'],"[' 1006.894s (Solving', ' 980.43s 1st Model', ' 22.70s Unsat', ' 0.00s)']",[' 1004.063s'], ,[' 71440211'],"[' 15174342 (Analyzed', ' 14988990)']","[' 29380    (Average', ' 510.18 Last', ' 71045)']",[' 5948.1  '],"[' 1415     (Average Length', ' 693.70 Splits', ' 0)']","[' 14988990 (Deleted', ' 14790393)']","[' 13       (Ratio', '   0.00%)']","[' 8149     (Ratio', '   0.05%)']","[' 14988990 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14988990 (Average', '  4.27 Max', ' 8764 Sum', ' 63988828)']","[' 14987699 (Average', '  4.22 Max', ' 8764 Sum', ' 63210905 Ratio', '  98.78%)']","[' 1291     (Average', ' 602.57 Max', ' 1123 Sum', ' 777923 Ratio', '   1.22%)']", ,[' 363945  '],[' 12998   '],[' 363325  '],[' 215444  '],"[' 646328   (Atom=Atom', ' 204444 Body=Body', ' 113898 Other', ' 327986)']",[' Yes'],"[' 14378    (Eliminated', '    0 Frozen', ' 14378)']","[' 1573     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.4082'],[' 0'], ,[' 864.763'],[' 0'],[' 12.8992'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.03141e+08'],[' 2.62351e+08'],[' 0'],[' 1.15443e+11'],[' 0'],[' 0'],[' 885 '],[' 1763 '],[' 2686 '],[' 3485 '],[' 4200 '],[' 5222 '],[' 5916 '],[' 6962 '],[' 7696 '],[' 9 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 3105+'],[' 1562'],"[' 1008.074s (Solving', ' 977.30s 1st Model', ' 29.04s Unsat', ' 0.00s)']",[' 1004.609s'], ,[' 63068418'],"[' 13763719 (Analyzed', ' 13544318)']","[' 26038    (Average', ' 520.18 Last', ' 35960)']",[' 6365.1  '],"[' 1562     (Average Length', ' 753.66 Splits', ' 0)']","[' 13544318 (Deleted', ' 13359058)']","[' 7        (Ratio', '   0.00%)']","[' 7626     (Ratio', '   0.06%)']","[' 13544318 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13544318 (Average', '  3.99 Max', ' 9457 Sum', ' 54016472)']","[' 13543382 (Average', '  3.95 Max', ' 9457 Sum', ' 53541666 Ratio', '  99.12%)']","[' 936      (Average', ' 507.27 Max', ' 1205 Sum', ' 474806 Ratio', '   0.88%)']", ,[' 368313  '],[' 13248   '],[' 367815  '],[' 218945  '],"[' 656831   (Atom=Atom', ' 207695 Body=Body', ' 114148 Other', ' 334988)']",[' Yes'],"[' 14750    (Eliminated', '    0 Frozen', ' 14750)']","[' 1265     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.34124'],[' 0'], ,[' 844.792'],[' 0'],[' 11.9375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.64853e+08'],[' 2.22625e+08'],[' 0'],[' 1.09755e+11'],[' 0'],[' 0'],[' 994 '],[' 1753 '],[' 2749 '],[' 3697 '],[' 4392 '],[' 5102 '],[' 5848 '],[' 6994 '],[' 7762 '],[' 9 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 2873+'],[' 1446'],"[' 1007.169s (Solving', ' 981.14s 1st Model', ' 21.38s Unsat', ' 0.00s)']",[' 1004.813s'], ,[' 56121396'],"[' 12396846 (Analyzed', ' 12191801)']","[' 24716    (Average', ' 493.28 Last', ' 62914)']",[' 5749.1  '],"[' 1446     (Average Length', ' 700.80 Splits', ' 0)']","[' 12191801 (Deleted', ' 12024308)']","[' 13       (Ratio', '   0.00%)']","[' 6906     (Ratio', '   0.06%)']","[' 12191801 (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12191801 (Average', '  4.01 Max', ' 9063 Sum', ' 48831988)']","[' 12190619 (Average', '  3.94 Max', ' 9063 Sum', ' 48082349 Ratio', '  98.46%)']","[' 1182     (Average', ' 634.21 Max', ' 1220 Sum', ' 749639 Ratio', '   1.54%)']", ,[' 365145  '],[' 13001   '],[' 364541  '],[' 215526  '],"[' 646574   (Atom=Atom', ' 204523 Body=Body', ' 113901 Other', ' 328150)']",[' Yes'],"[' 14397    (Eliminated', '    0 Frozen', ' 14397)']","[' 1304     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.32125'],[' 0'], ,[' 863.844'],[' 0'],[' 12.2798'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.28696e+08'],[' 1.93709e+08'],[' 0'],[' 1.13981e+11'],[' 0'],[' 0'],[' 1052 '],[' 1886 '],[' 2754 '],[' 3457 '],[' 4292 '],[' 5225 '],[' 5954 '],[' 6840 '],[' 7689 '],[' 9 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 3103+'],[' 1561'],"[' 1007.942s (Solving', ' 976.82s 1st Model', ' 26.10s Unsat', ' 0.00s)']",[' 1003.672s'], ,[' 52489423'],"[' 11859224 (Analyzed', ' 11636189)']","[' 23883    (Average', ' 487.22 Last', ' 39115)']",[' 6079.2  '],"[' 1561     (Average Length', ' 759.58 Splits', ' 0)']","[' 11636189 (Deleted', ' 11479636)']","[' 11       (Ratio', '   0.00%)']","[' 6414     (Ratio', '   0.06%)']","[' 11636189 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11636189 (Average', '  3.80 Max', ' 8918 Sum', ' 44194361)']","[' 11635125 (Average', '  3.74 Max', ' 8918 Sum', ' 43463411 Ratio', '  98.35%)']","[' 1064     (Average', ' 686.98 Max', ' 1308 Sum', ' 730950 Ratio', '   1.65%)']", ,[' 364566  '],[' 12889   '],[' 364067  '],[' 216391  '],"[' 649169   (Atom=Atom', ' 205500 Body=Body', ' 113789 Other', ' 329880)']",[' Yes'],"[' 14390    (Eliminated', '    0 Frozen', ' 14390)']","[' 1093     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.40805'],[' 0'], ,[' 860.748'],[' 0'],[' 12.1513'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.35338e+08'],[' 2.02511e+08'],[' 0'],[' 1.08977e+11'],[' 0'],[' 0'],[' 941 '],[' 1689 '],[' 2608 '],[' 3366 '],[' 4292 '],[' 5077 '],[' 5923 '],[' 6653 '],[' 7556 '],[' 9 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 3039+'],[' 1529'],"[' 1008.766s (Solving', ' 975.66s 1st Model', ' 29.06s Unsat', ' 0.00s)']",[' 1004.719s'], ,[' 52044103'],"[' 10776762 (Analyzed', ' 10590082)']","[' 20980    (Average', ' 504.77 Last', ' 75504)']",[' 5999.1  '],"[' 1529     (Average Length', ' 735.90 Splits', ' 0)']","[' 10590082 (Deleted', ' 10442689)']","[' 21       (Ratio', '   0.00%)']","[' 6644     (Ratio', '   0.06%)']","[' 10590082 (Average Length', '   16.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10590082 (Average', '  4.18 Max', ' 8701 Sum', ' 44249564)']","[' 10588758 (Average', '  4.10 Max', ' 8701 Sum', ' 43376050 Ratio', '  98.03%)']","[' 1324     (Average', ' 659.75 Max', ' 1230 Sum', ' 873514 Ratio', '   1.97%)']", ,[' 364475  '],[' 12936   '],[' 363941  '],[' 214840  '],"[' 644516   (Atom=Atom', ' 203902 Body=Body', ' 113836 Other', ' 326778)']",[' Yes'],"[' 14402    (Eliminated', '    0 Frozen', ' 14402)']","[' 1288     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.70791'],[' 0'], ,[' 853.929'],[' 0'],[' 12.048'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.33568e+08'],[' 2.03045e+08'],[' 0'],[' 1.00024e+11'],[' 0'],[' 0'],[' 913 '],[' 1857 '],[' 2687 '],[' 3625 '],[' 4348 '],[' 5227 '],[' 6064 '],[' 6823 '],[' 7735 '],[' 9 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 3075+'],[' 1547'],"[' 1008.876s (Solving', ' 974.73s 1st Model', ' 34.30s Unsat', ' 0.00s)']",[' 1006.125s'], ,[' 60329920'],"[' 11783697 (Analyzed', ' 11636862)']","[' 22608    (Average', ' 514.72 Last', ' 72589)']",[' 6427.5  '],"[' 1547     (Average Length', ' 753.17 Splits', ' 0)']","[' 11636862 (Deleted', ' 11476356)']","[' 13       (Ratio', '   0.00%)']","[' 7931     (Ratio', '   0.07%)']","[' 11636862 (Average Length', '   15.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11636862 (Average', '  4.42 Max', ' 9186 Sum', ' 51445935)']","[' 11635978 (Average', '  4.38 Max', ' 9186 Sum', ' 50939702 Ratio', '  99.02%)']","[' 884      (Average', ' 572.66 Max', ' 1241 Sum', ' 506233 Ratio', '   0.98%)']", ,[' 367054  '],[' 12994   '],[' 366537  '],[' 218238  '],"[' 654710   (Atom=Atom', ' 207242 Body=Body', ' 113894 Other', ' 333574)']",[' Yes'],"[' 14477    (Eliminated', '    0 Frozen', ' 14477)']","[' 1370     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.98998'],[' 0'], ,[' 843.227'],[' 0'],[' 12.3966'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.65622e+08'],[' 2.29804e+08'],[' 0'],[' 9.70922e+10'],[' 0'],[' 0'],[' 830 '],[' 1894 '],[' 2576 '],[' 3527 '],[' 4191 '],[' 5068 '],[' 5819 '],[' 6633 '],[' 7262 '],[' 9 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 3475+'],[' 1747'],"[' 1009.157s (Solving', ' 972.48s 1st Model', ' 34.75s Unsat', ' 0.00s)']",[' 1006.672s'], ,[' 60560004'],"[' 9984266  (Analyzed', ' 9685877)']","[' 19466    (Average', ' 497.58 Last', ' 196683)']",[' 6367.2  '],"[' 1747     (Average Length', ' 838.78 Splits', ' 0)']","[' 9685877  (Deleted', ' 9544515)']","[' 10       (Ratio', '   0.00%)']","[' 7954     (Ratio', '   0.08%)']","[' 9685877  (Average Length', '   17.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9685877  (Average', '  5.29 Max', ' 8996 Sum', ' 51198819)']","[' 9684643  (Average', '  5.18 Max', ' 8996 Sum', ' 50167250 Ratio', '  97.99%)']","[' 1234     (Average', ' 835.96 Max', ' 1397 Sum', ' 1031569 Ratio', '   2.01%)']", ,[' 369783  '],[' 13304   '],[' 369456  '],[' 221730  '],"[' 665186   (Atom=Atom', ' 210424 Body=Body', ' 114204 Other', ' 340558)']",[' Yes'],"[' 14977    (Eliminated', '    0 Frozen', ' 14977)']","[' 1634     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.47255'],[' 0'], ,[' 847.455'],[' 0'],[' 13.1356'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.76672e+08'],[' 2.46429e+08'],[' 0'],[' 9.76204e+10'],[' 0'],[' 0'],[' 1061 '],[' 1687 '],[' 2626 '],[' 3491 '],[' 4202 '],[' 5164 '],[' 5817 '],[' 6601 '],[' 7450 '],[' 9 '],[' 0 ']
