Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , ,[' 1'],[' 2279+'],[' 1150'],"[' 1007.136s (Solving', ' 981.29s 1st Model', ' 22.54s Unsat', ' 0.00s)']",[' 1003.531s'], ,[' 57349578'],"[' 14679629 (Analyzed', ' 14555375)']","[' 29878    (Average', ' 487.16 Last', ' 79368)']",[' 5849.3  '],"[' 1150     (Average Length', ' 567.99 Splits', ' 0)']","[' 14555375 (Deleted', ' 14360532)']","[' 9        (Ratio', '   0.00%)']","[' 7012     (Ratio', '   0.05%)']","[' 14555375 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14555375 (Average', '  3.50 Max', ' 8272 Sum', ' 50917434)']","[' 14554484 (Average', '  3.47 Max', ' 8272 Sum', ' 50529670 Ratio', '  99.24%)']","[' 891      (Average', ' 435.20 Max', ' 892 Sum', ' 387764 Ratio', '   0.76%)']", ,[' 365421  '],[' 12029   '],[' 364554  '],[' 216849  '],"[' 650543   (Atom=Atom', ' 206818 Body=Body', ' 112929 Other', ' 330796)']",[' Yes'],"[' 13162    (Eliminated', '    0 Frozen', ' 13162)']","[' 1218     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.35881'],[' 0'], ,[' 850.934'],[' 0'],[' 12.1243'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.5524e+08'],[' 2.1689e+08'],[' 0'],[' 1.03363e+11'],[' 0'],[' 0'],[' 906 '],[' 1852 '],[' 2886 '],[' 3676 '],[' 4422 '],[' 5326 '],[' 6264 '],[' 6905 '],[' 7799 '],[' 8478 '],[' 10 '],[' 0 ']
Solving...,TA72, , ,[' 1'],[' 2219+'],[' 1120'],"[' 1007.070s (Solving', ' 980.70s 1st Model', ' 20.21s Unsat', ' 0.00s)']",[' 1001.234s'], ,[' 45113300'],"[' 15098599 (Analyzed', ' 15000805)']","[' 30479    (Average', ' 492.17 Last', ' 244107)']",[' 5612.4  '],"[' 1120     (Average Length', ' 554.11 Splits', ' 0)']","[' 15000805 (Deleted', ' 14799982)']","[' 12       (Ratio', '   0.00%)']","[' 6051     (Ratio', '   0.04%)']","[' 15000805 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15000805 (Average', '  2.61 Max', ' 8120 Sum', ' 39193804)']","[' 14999723 (Average', '  2.58 Max', ' 8120 Sum', ' 38771628 Ratio', '  98.92%)']","[' 1082     (Average', ' 390.18 Max', ' 845 Sum', ' 422176 Ratio', '   1.08%)']", ,[' 359237  '],[' 11895   '],[' 358340  '],[' 212049  '],"[' 636143   (Atom=Atom', ' 202152 Body=Body', ' 112795 Other', ' 321196)']",[' Yes'],"[' 12998    (Eliminated', '    0 Frozen', ' 12998)']","[' 1029     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.39133'],[' 0'], ,[' 854.573'],[' 0'],[' 11.3756'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.0565e+08'],[' 1.67243e+08'],[' 0'],[' 1.09581e+11'],[' 0'],[' 0'],[' 690 '],[' 1718 '],[' 2536 '],[' 3252 '],[' 4304 '],[' 5026 '],[' 5960 '],[' 6698 '],[' 7379 '],[' 8164 '],[' 10 '],[' 0 ']
Solving...,TA73, , ,[' 1'],[' 2371+'],[' 1196'],"[' 1007.339s (Solving', ' 980.42s 1st Model', ' 19.01s Unsat', ' 0.00s)']",[' 1003.219s'], ,[' 47450850'],"[' 11826664 (Analyzed', ' 11718210)']","[' 23353    (Average', ' 501.79 Last', ' 14443)']",[' 5755.0  '],"[' 1196     (Average Length', ' 579.96 Splits', ' 0)']","[' 11718210 (Deleted', ' 11555804)']","[' 12       (Ratio', '   0.00%)']","[' 6776     (Ratio', '   0.06%)']","[' 11718210 (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11718210 (Average', '  3.50 Max', ' 8198 Sum', ' 41041263)']","[' 11717315 (Average', '  3.47 Max', ' 8198 Sum', ' 40641657 Ratio', '  99.03%)']","[' 895      (Average', ' 446.49 Max', ' 924 Sum', ' 399606 Ratio', '   0.97%)']", ,[' 361455  '],[' 11891   '],[' 360614  '],[' 213811  '],"[' 641429   (Atom=Atom', ' 203918 Body=Body', ' 112791 Other', ' 324720)']",[' Yes'],"[' 13050    (Eliminated', '    0 Frozen', ' 13050)']","[' 1354     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.48952'],[' 0'], ,[' 867.416'],[' 0'],[' 11.6942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.09939e+08'],[' 1.7746e+08'],[' 0'],[' 1.11453e+11'],[' 0'],[' 0'],[' 1054 '],[' 1887 '],[' 2489 '],[' 3379 '],[' 4050 '],[' 4836 '],[' 5586 '],[' 6490 '],[' 7199 '],[' 7975 '],[' 10 '],[' 0 ']
Solving...,TA74, , ,[' 1'],[' 2271+'],[' 1146'],"[' 1007.702s (Solving', ' 981.26s 1st Model', ' 22.40s Unsat', ' 0.00s)']",[' 1002.125s'], ,[' 40777357'],"[' 10812280 (Analyzed', ' 10705045)']","[' 22200    (Average', ' 482.21 Last', ' 12832)']",[' 5832.9  '],"[' 1146     (Average Length', ' 563.03 Splits', ' 0)']","[' 10705045 (Deleted', ' 10556249)']","[' 10       (Ratio', '   0.00%)']","[' 6072     (Ratio', '   0.06%)']","[' 10705045 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10705045 (Average', '  3.22 Max', ' 8331 Sum', ' 34494302)']","[' 10704288 (Average', '  3.20 Max', ' 8331 Sum', ' 34217857 Ratio', '  99.20%)']","[' 757      (Average', ' 365.18 Max', ' 918 Sum', ' 276445 Ratio', '   0.80%)']", ,[' 361474  '],[' 11939   '],[' 360592  '],[' 215887  '],"[' 647657   (Atom=Atom', ' 205946 Body=Body', ' 112839 Other', ' 328872)']",[' Yes'],"[' 13057    (Eliminated', '    0 Frozen', ' 13057)']","[' 1149     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.44898'],[' 0'], ,[' 871.904'],[' 0'],[' 12.0631'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94334e+08'],[' 1.65888e+08'],[' 0'],[' 1.07993e+11'],[' 0'],[' 0'],[' 885 '],[' 1764 '],[' 2518 '],[' 3157 '],[' 4188 '],[' 4908 '],[' 5730 '],[' 6566 '],[' 7302 '],[' 7994 '],[' 10 '],[' 0 ']
Solving...,TA75, , ,[' 1'],[' 2617+'],[' 1319'],"[' 1007.396s (Solving', ' 979.51s 1st Model', ' 22.29s Unsat', ' 0.00s)']",[' 1001.906s'], ,[' 45066655'],"[' 11231773 (Analyzed', ' 11072553)']","[' 21353    (Average', ' 518.55 Last', ' 289916)']",[' 5655.6  '],"[' 1319     (Average Length', ' 645.60 Splits', ' 0)']","[' 11072553 (Deleted', ' 10914822)']","[' 17       (Ratio', '   0.00%)']","[' 6305     (Ratio', '   0.06%)']","[' 11072553 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11072553 (Average', '  3.46 Max', ' 8457 Sum', ' 38350063)']","[' 11071613 (Average', '  3.42 Max', ' 8457 Sum', ' 37878325 Ratio', '  98.77%)']","[' 940      (Average', ' 501.85 Max', ' 1049 Sum', ' 471738 Ratio', '   1.23%)']", ,[' 363439  '],[' 12125   '],[' 362726  '],[' 215970  '],"[' 647906   (Atom=Atom', ' 205843 Body=Body', ' 113025 Other', ' 329038)']",[' Yes'],"[' 13412    (Eliminated', '    0 Frozen', ' 13412)']","[' 1201     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.78295'],[' 0'], ,[' 867.564'],[' 0'],[' 12.1064'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14709e+08'],[' 1.84704e+08'],[' 0'],[' 1.13963e+11'],[' 0'],[' 0'],[' 904 '],[' 1534 '],[' 2309 '],[' 3297 '],[' 3950 '],[' 4844 '],[' 5551 '],[' 6244 '],[' 7158 '],[' 7934 '],[' 10 '],[' 0 ']
Solving...,TA76, , ,[' 1'],[' 2179+'],[' 1100'],"[' 1006.655s (Solving', ' 983.48s 1st Model', ' 17.55s Unsat', ' 0.00s)']",[' 1001.953s'], ,[' 42224358'],"[' 12055211 (Analyzed', ' 11961243)']","[' 24275    (Average', ' 492.74 Last', ' 60791)']",[' 5345.9  '],"[' 1100     (Average Length', ' 541.92 Splits', ' 0)']","[' 11961243 (Deleted', ' 11785222)']","[' 13       (Ratio', '   0.00%)']","[' 6222     (Ratio', '   0.05%)']","[' 11961243 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11961243 (Average', '  3.08 Max', ' 8062 Sum', ' 36847599)']","[' 11960261 (Average', '  3.04 Max', ' 8062 Sum', ' 36380535 Ratio', '  98.73%)']","[' 982      (Average', ' 475.63 Max', ' 914 Sum', ' 467064 Ratio', '   1.27%)']", ,[' 359605  '],[' 11838   '],[' 358684  '],[' 212956  '],"[' 638864   (Atom=Atom', ' 203116 Body=Body', ' 112738 Other', ' 323010)']",[' Yes'],"[' 12917    (Eliminated', '    0 Frozen', ' 12917)']","[' 1107     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.69927'],[' 0'], ,[' 874.264'],[' 0'],[' 12.0045'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.8938e+08'],[' 1.58751e+08'],[' 0'],[' 1.13406e+11'],[' 0'],[' 0'],[' 799 '],[' 1568 '],[' 2293 '],[' 3024 '],[' 3766 '],[' 4533 '],[' 5445 '],[' 6309 '],[' 7138 '],[' 7938 '],[' 10 '],[' 0 ']
Solving...,TA77, , ,[' 1'],[' 2359+'],[' 1190'],"[' 1006.883s (Solving', ' 982.22s 1st Model', ' 17.89s Unsat', ' 0.00s)']",[' 1003.750s'], ,[' 45741012'],"[' 14985978 (Analyzed', ' 14853964)']","[' 29138    (Average', ' 509.78 Last', ' 20223)']",[' 5489.0  '],"[' 1190     (Average Length', ' 585.15 Splits', ' 0)']","[' 14853964 (Deleted', ' 14653981)']","[' 13       (Ratio', '   0.00%)']","[' 5891     (Ratio', '   0.04%)']","[' 14853964 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14853964 (Average', '  2.67 Max', ' 8180 Sum', ' 39697478)']","[' 14853046 (Average', '  2.64 Max', ' 8180 Sum', ' 39250843 Ratio', '  98.87%)']","[' 918      (Average', ' 486.53 Max', ' 976 Sum', ' 446635 Ratio', '   1.13%)']", ,[' 359473  '],[' 11892   '],[' 358636  '],[' 214046  '],"[' 642134   (Atom=Atom', ' 204152 Body=Body', ' 112792 Other', ' 325190)']",[' Yes'],"[' 13055    (Eliminated', '    0 Frozen', ' 13055)']","[' 1038     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.07193'],[' 0'], ,[' 854.95'],[' 0'],[' 11.3315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.06151e+08'],[' 1.68626e+08'],[' 0'],[' 1.11734e+11'],[' 0'],[' 0'],[' 892 '],[' 1509 '],[' 2203 '],[' 3039 '],[' 3919 '],[' 4833 '],[' 5398 '],[' 6278 '],[' 6979 '],[' 7773 '],[' 10 '],[' 0 ']
Solving...,TA78, , ,[' 1'],[' 2497+'],[' 1259'],"[' 1007.220s (Solving', ' 978.99s 1st Model', ' 21.43s Unsat', ' 0.00s)']",[' 1000.203s'], ,[' 40604618'],"[' 12932441 (Analyzed', ' 12803608)']","[' 26410    (Average', ' 484.80 Last', ' 82147)']",[' 5833.8  '],"[' 1259     (Average Length', ' 616.23 Splits', ' 0)']","[' 12803608 (Deleted', ' 12602950)']","[' 12       (Ratio', '   0.00%)']","[' 5396     (Ratio', '   0.04%)']","[' 12803608 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12803608 (Average', '  2.66 Max', ' 8163 Sum', ' 34088022)']","[' 12802544 (Average', '  2.62 Max', ' 8163 Sum', ' 33487536 Ratio', '  98.24%)']","[' 1064     (Average', ' 564.37 Max', ' 985 Sum', ' 600486 Ratio', '   1.76%)']", ,[' 360158  '],[' 11843   '],[' 359386  '],[' 214614  '],"[' 643838   (Atom=Atom', ' 204769 Body=Body', ' 112743 Other', ' 326326)']",[' Yes'],"[' 13071    (Eliminated', '    0 Frozen', ' 13071)']","[' 939      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.00056'],[' 0'], ,[' 863.812'],[' 0'],[' 12.3962'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.05049e+08'],[' 1.72751e+08'],[' 0'],[' 1.17363e+11'],[' 0'],[' 0'],[' 779 '],[' 1565 '],[' 2581 '],[' 3248 '],[' 4079 '],[' 4740 '],[' 5607 '],[' 6571 '],[' 7179 '],[' 7986 '],[' 10 '],[' 0 ']
Solving...,TA79, , ,[' 1'],[' 2525+'],[' 1273'],"[' 1007.401s (Solving', ' 978.01s 1st Model', ' 23.84s Unsat', ' 0.00s)']",[' 1002.047s'], ,[' 47253182'],"[' 14356326 (Analyzed', ' 14182407)']","[' 28551    (Average', ' 496.74 Last', ' 97810)']",[' 5805.3  '],"[' 1273     (Average Length', ' 619.28 Splits', ' 0)']","[' 14182407 (Deleted', ' 13990580)']","[' 12       (Ratio', '   0.00%)']","[' 5981     (Ratio', '   0.04%)']","[' 14182407 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14182407 (Average', '  2.85 Max', ' 8486 Sum', ' 40388178)']","[' 14181624 (Average', '  2.82 Max', ' 8486 Sum', ' 39941643 Ratio', '  98.89%)']","[' 783      (Average', ' 570.29 Max', ' 994 Sum', ' 446535 Ratio', '   1.11%)']", ,[' 361879  '],[' 11936   '],[' 361118  '],[' 216593  '],"[' 649775   (Atom=Atom', ' 206655 Body=Body', ' 112836 Other', ' 330284)']",[' Yes'],"[' 13175    (Eliminated', '    0 Frozen', ' 13175)']","[' 1189     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.18602'],[' 0'], ,[' 853.409'],[' 0'],[' 12.037'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.18117e+08'],[' 1.81677e+08'],[' 0'],[' 9.71974e+10'],[' 0'],[' 0'],[' 797 '],[' 1486 '],[' 2253 '],[' 3187 '],[' 3882 '],[' 4729 '],[' 5304 '],[' 5969 '],[' 6769 '],[' 7405 '],[' 10 '],[' 0 ']
Solving...,TA80, , ,[' 1'],[' 2271+'],[' 1146'],"[' 1007.882s (Solving', ' 979.28s 1st Model', ' 22.91s Unsat', ' 0.00s)']",[' 1001.453s'], ,[' 44661781'],"[' 13481119 (Analyzed', ' 13325213)']","[' 27589    (Average', ' 482.99 Last', ' 289019)']",[' 5895.8  '],"[' 1146     (Average Length', ' 561.78 Splits', ' 0)']","[' 13325213 (Deleted', ' 13134083)']","[' 8        (Ratio', '   0.00%)']","[' 5990     (Ratio', '   0.04%)']","[' 13325213 (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13325213 (Average', '  2.87 Max', ' 8728 Sum', ' 38248494)']","[' 13324504 (Average', '  2.85 Max', ' 8728 Sum', ' 37933647 Ratio', '  99.18%)']","[' 709      (Average', ' 444.07 Max', ' 875 Sum', ' 314847 Ratio', '   0.82%)']", ,[' 364687  '],[' 12099   '],[' 363813  '],[' 218965  '],"[' 656891   (Atom=Atom', ' 208864 Body=Body', ' 112999 Other', ' 335028)']",[' Yes'],"[' 13225    (Eliminated', '    0 Frozen', ' 13225)']","[' 1137     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.9356'],[' 0'], ,[' 835.197'],[' 0'],[' 11.8453'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.99998e+08'],[' 1.6455e+08'],[' 0'],[' 8.9887e+10'],[' 0'],[' 0'],[' 1014 '],[' 1562 '],[' 2404 '],[' 3170 '],[' 3830 '],[' 4673 '],[' 5492 '],[' 6081 '],[' 6816 '],[' 7609 '],[' 10 '],[' 0 ']
