Optimal Found Or Timeout,Instances,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,swv11, , , ,[' 287'],[' 154'],"[' 769.702s (Solving', ' 768.38s 1st Model', ' 0.51s Unsat', ' 167.58s)']",[' 766.563s'], ,[' 44448501'],"[' 33932319 (Analyzed', ' 33924526)']","[' 65349    (Average', ' 519.13 Last', ' 243740)']",[' 1300.2  '],"[' 154      (Average Length', ' 70.40 Splits', ' 0)']","[' 33924526 (Deleted', ' 33469666)']","[' 63       (Ratio', '   0.00%)']","[' 3044     (Ratio', '   0.01%)']","[' 33924526 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33924526 (Average', '  1.28 Max', ' 1628 Sum', ' 43330027)']","[' 33924334 (Average', '  1.28 Max', ' 1628 Sum', ' 43323286 Ratio', '  99.98%)']","[' 192      (Average', ' 35.11 Max', '  92 Sum', '   6741 Ratio', '   0.02%)']", ,[' 67054   '],[' 2516    '],[' 66697   '],[' 36676   '],"[' 110024   (Atom=Atom', ' 34658 Body=Body', ' 15216 Other', ' 60150)']",[' Yes'],"[' 2659     (Eliminated', '    0 Frozen', ' 2659)']","[' 323      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.308048'],[' 0'], ,[' 537.612'],[' 0'],[' 8.57805'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19941e+08'],[' 4.4394e+07'],[' 0'],[' 8.38404e+10'],[' 0'],[' 0'],[' 802 '],[' 1259 '],[' 1719 '],[' 2181 '],[' 2480 '],[' 2949 '],[' 3461 '],[' 3976 '],[' 4627 '],[' 5282 '],[' 6 '],[' 4 ']
Solving...,swv12, , ,[' 1'],[' 243+'],[' 132'],"[' 702.650s (Solving', ' 701.37s 1st Model', ' 0.61s Unsat', ' 1.62s)']",[' 700.141s'], ,[' 48266855'],"[' 33810007 (Analyzed', ' 33802084)']","[' 64349    (Average', ' 525.29 Last', ' 117492)']",[' 1206.8  '],"[' 132      (Average Length', ' 59.87 Splits', ' 0)']","[' 33802084 (Deleted', ' 33415434)']","[' 41       (Ratio', '   0.00%)']","[' 4017     (Ratio', '   0.01%)']","[' 33802084 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33802084 (Average', '  1.39 Max', ' 1610 Sum', ' 46981531)']","[' 33801940 (Average', '  1.39 Max', ' 1610 Sum', ' 46976923 Ratio', '  99.99%)']","[' 144      (Average', ' 32.00 Max', '  85 Sum', '   4608 Ratio', '   0.01%)']", ,[' 67477   '],[' 2550    '],[' 67098   '],[' 36962   '],"[' 110882   (Atom=Atom', ' 34910 Body=Body', ' 15250 Other', ' 60722)']",[' Yes'],"[' 2671     (Eliminated', '    0 Frozen', ' 2671)']","[' 241      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.300151'],[' 0'], ,[' 474.38'],[' 0'],[' 8.17292'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30786e+08'],[' 5.46972e+07'],[' 0'],[' 6.0793e+10'],[' 0'],[' 0'],[' 711 '],[' 1175 '],[' 1873 '],[' 2735 '],[' 3169 '],[' 3250 '],[' 3799 '],[' 4482 '],[' 5173 '],[' 5747 '],[' 7 '],[' 3 ']
Solving...,swv13, , ,[' 1'],[' 223+'],[' 122'],"[' 801.163s (Solving', ' 799.76s 1st Model', ' 0.44s Unsat', ' 0.26s)']",[' 797.719s'], ,[' 38265154'],"[' 27292047 (Analyzed', ' 27288568)']","[' 53291    (Average', ' 512.07 Last', ' 355917)']",[' 1256.7  '],"[' 122      (Average Length', ' 54.58 Splits', ' 0)']","[' 27288568 (Deleted', ' 26949017)']","[' 34       (Ratio', '   0.00%)']","[' 3623     (Ratio', '   0.01%)']","[' 27288568 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27288568 (Average', '  1.36 Max', ' 1639 Sum', ' 37197799)']","[' 27288382 (Average', '  1.36 Max', ' 1639 Sum', ' 37190186 Ratio', '  99.98%)']","[' 186      (Average', ' 40.93 Max', '  86 Sum', '   7613 Ratio', '   0.02%)']", ,[' 68138   '],[' 2593    '],[' 67749   '],[' 37549   '],"[' 112643   (Atom=Atom', ' 35454 Body=Body', ' 15293 Other', ' 61896)']",[' Yes'],"[' 2704     (Eliminated', '    0 Frozen', ' 2704)']","[' 237      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.318011'],[' 0'], ,[' 582.647'],[' 0'],[' 9.24072'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0352e+08'],[' 4.23296e+07'],[' 0'],[' 7.63897e+10'],[' 0'],[' 0'],[' 492 '],[' 1281 '],[' 1914 '],[' 2838 '],[' 3154 '],[' 3501 '],[' 3933 '],[' 4590 '],[' 5271 '],[' 6018 '],[' 8 '],[' 2 ']
Solving...,swv14, , ,[' 1'],[' 191+'],[' 106'],"[' 803.295s (Solving', ' 802.14s 1st Model', ' 0.37s Unsat', ' 2.43s)']",[' 800.078s'], ,[' 49210006'],"[' 34071115 (Analyzed', ' 34063629)']","[' 65806    (Average', ' 517.64 Last', ' 442031)']",[' 1141.2  '],"[' 106      (Average Length', ' 47.21 Splits', ' 0)']","[' 34063629 (Deleted', ' 33648269)']","[' 26       (Ratio', '   0.00%)']","[' 4601     (Ratio', '   0.01%)']","[' 34063629 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34063629 (Average', '  1.41 Max', ' 1670 Sum', ' 47924930)']","[' 34063463 (Average', '  1.41 Max', ' 1670 Sum', ' 47919568 Ratio', '  99.99%)']","[' 166      (Average', ' 32.30 Max', '  62 Sum', '   5362 Ratio', '   0.01%)']", ,[' 67290   '],[' 2588    '],[' 66885   '],[' 36758   '],"[' 110270   (Atom=Atom', ' 34668 Body=Body', ' 15288 Other', ' 60314)']",[' Yes'],"[' 2683     (Eliminated', '    0 Frozen', ' 2683)']","[' 361      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.260111'],[' 0'], ,[' 560.842'],[' 0'],[' 9.1754'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36369e+08'],[' 6.0396e+07'],[' 0'],[' 7.33702e+10'],[' 0'],[' 0'],[' 616 '],[' 1261 '],[' 2012 '],[' 2579 '],[' 3023 '],[' 3295 '],[' 3964 '],[' 4561 '],[' 5197 '],[' 6008 '],[' 8 '],[' 2 ']
Solving...,swv15, , ,[' 1'],[' 217+'],[' 119'],"[' 800.962s (Solving', ' 799.77s 1st Model', ' 0.51s Unsat', ' 0.10s)']",[' 798.563s'], ,[' 52403037'],"[' 30953065 (Analyzed', ' 30947785)']","[' 58145    (Average', ' 532.25 Last', ' 123707)']",[' 1225.4  '],"[' 119      (Average Length', ' 52.97 Splits', ' 0)']","[' 30947785 (Deleted', ' 30611726)']","[' 19       (Ratio', '   0.00%)']","[' 5499     (Ratio', '   0.02%)']","[' 30947785 (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30947785 (Average', '  1.65 Max', ' 1620 Sum', ' 51024979)']","[' 30947618 (Average', '  1.65 Max', ' 1620 Sum', ' 51021421 Ratio', '  99.99%)']","[' 167      (Average', ' 21.31 Max', '  64 Sum', '   3558 Ratio', '   0.01%)']", ,[' 68449   '],[' 2656    '],[' 68057   '],[' 37475   '],"[' 112421   (Atom=Atom', ' 35317 Body=Body', ' 15356 Other', ' 61748)']",[' Yes'],"[' 2764     (Eliminated', '    0 Frozen', ' 2764)']","[' 649      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.307934'],[' 0'], ,[' 584.17'],[' 0'],[' 9.73744'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39028e+08'],[' 6.91115e+07'],[' 0'],[' 8.1367e+10'],[' 0'],[' 0'],[' 914 '],[' 1407 '],[' 2291 '],[' 2780 '],[' 3109 '],[' 3467 '],[' 4098 '],[' 4712 '],[' 5231 '],[' 5969 '],[' 8 '],[' 2 ']
Solving...,swv16, , , ,[' 173'],[' 97'],"[' 60.499s (Solving', ' 59.67s 1st Model', ' 0.21s Unsat', ' 59.05s)']",[' 60.281s'], ,[' 4551525 '],"[' 3610946  (Analyzed', ' 3609131)']","[' 8301     (Average', ' 434.78 Last', ' 87875)']",[' 808.4   '],"[' 97       (Average Length', ' 42.39 Splits', ' 0)']","[' 3609131  (Deleted', ' 3551296)']","[' 113      (Ratio', '   0.00%)']","[' 1302     (Ratio', '   0.04%)']","[' 3609131  (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3609131  (Average', '  1.22 Max', ' 952 Sum', ' 4408741)']","[' 3609001  (Average', '  1.22 Max', ' 952 Sum', ' 4408370 Ratio', '  99.99%)']","[' 130      (Average', '  2.85 Max', '  46 Sum', '    371 Ratio', '   0.01%)']", ,[' 48357   '],[' 1688    '],[' 47943   '],[' 27627   '],"[' 82877    (Atom=Atom', ' 26437 Body=Body', ' 14388 Other', ' 42052)']",[' Yes'],"[' 1774     (Eliminated', '    0 Frozen', ' 1774)']","[' 56       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.178272'],[' 0'], ,[' 34.7628'],[' 0'],[' 0.938405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28856e+07'],[' 4.84961e+06'],[' 0'],[' 3.47965e+09'],[' 0'],[' 0'],[' 499 '],[' 896 '],[' 1513 '],[' 1591 '],[' 1936 '],[' 2366 '],[' 2765 '],[' 2934 '],[' 3248 '],[' 3511 '],[' 0 '],[' 10 ']
Solving...,swv17, , , ,[' 105'],[' 63'],"[' 147.991s (Solving', ' 147.26s 1st Model', ' 0.10s Unsat', ' 46.88s)']",[' 147.516s'], ,[' 7847777 '],"[' 6232335  (Analyzed', ' 6230947)']","[' 14103    (Average', ' 441.82 Last', ' 49461)']",[' 858.7   '],"[' 63       (Average Length', ' 24.78 Splits', ' 0)']","[' 6230947  (Deleted', ' 6129156)']","[' 110      (Ratio', '   0.00%)']","[' 1434     (Ratio', '   0.02%)']","[' 6230947  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6230947  (Average', '  1.23 Max', ' 943 Sum', ' 7648933)']","[' 6230810  (Average', '  1.23 Max', ' 943 Sum', ' 7648578 Ratio', ' 100.00%)']","[' 137      (Average', '  2.59 Max', '  15 Sum', '    355 Ratio', '   0.00%)']", ,[' 48158   '],[' 1698    '],[' 47710   '],[' 27365   '],"[' 82091    (Atom=Atom', ' 26165 Body=Body', ' 14398 Other', ' 41528)']",[' Yes'],"[' 1750     (Eliminated', '    0 Frozen', ' 1750)']","[' 39       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.147082'],[' 0'], ,[' 100.619'],[' 0'],[' 1.97428'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16926e+07'],[' 7.89562e+06'],[' 0'],[' 1.35926e+10'],[' 0'],[' 0'],[' 478 '],[' 777 '],[' 1223 '],[' 1549 '],[' 1840 '],[' 2308 '],[' 2610 '],[' 2904 '],[' 3359 '],[' 3632 '],[' 1 '],[' 9 ']
Solving...,swv18, , , ,[' 161'],[' 91'],"[' 413.888s (Solving', ' 413.06s 1st Model', ' 0.20s Unsat', ' 12.61s)']",[' 412.078s'], ,[' 17904323'],"[' 13751218 (Analyzed', ' 13749749)']","[' 28462    (Average', ' 483.09 Last', ' 17482)']",[' 859.9   '],"[' 91       (Average Length', ' 38.47 Splits', ' 0)']","[' 13749749 (Deleted', ' 13557169)']","[' 54       (Ratio', '   0.00%)']","[' 1874     (Ratio', '   0.01%)']","[' 13749749 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13749749 (Average', '  1.27 Max', ' 1095 Sum', ' 17423353)']","[' 13749669 (Average', '  1.27 Max', ' 1095 Sum', ' 17422675 Ratio', ' 100.00%)']","[' 80       (Average', '  8.47 Max', '  69 Sum', '    678 Ratio', '   0.00%)']", ,[' 49549   '],[' 1784    '],[' 49128   '],[' 28405   '],"[' 85211    (Atom=Atom', ' 27119 Body=Body', ' 14484 Other', ' 43608)']",[' Yes'],"[' 1863     (Eliminated', '    0 Frozen', ' 1863)']","[' 81       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.177515'],[' 0'], ,[' 308.351'],[' 0'],[' 6.52721'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.78575e+07'],[' 1.72723e+07'],[' 0'],[' 3.99327e+10'],[' 0'],[' 0'],[' 497 '],[' 837 '],[' 1197 '],[' 1638 '],[' 2116 '],[' 2256 '],[' 2678 '],[' 3016 '],[' 3231 '],[' 3666 '],[' 4 '],[' 6 ']
Solving...,swv19, , , ,[' 105'],[' 63'],"[' 303.274s (Solving', ' 302.62s 1st Model', ' 0.05s Unsat', ' 2.24s)']",[' 302.016s'], ,[' 17170790'],"[' 13572193 (Analyzed', ' 13570941)']","[' 26298    (Average', ' 516.04 Last', ' 27599)']",[' 760.6   '],"[' 63       (Average Length', ' 25.60 Splits', ' 0)']","[' 13570941 (Deleted', ' 13401371)']","[' 65       (Ratio', '   0.00%)']","[' 1252     (Ratio', '   0.01%)']","[' 13570941 (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13570941 (Average', '  1.24 Max', ' 1074 Sum', ' 16796698)']","[' 13570856 (Average', '  1.24 Max', ' 1074 Sum', ' 16796393 Ratio', ' 100.00%)']","[' 85       (Average', '  3.59 Max', '  34 Sum', '    305 Ratio', '   0.00%)']", ,[' 48951   '],[' 1717    '],[' 48503   '],[' 27546   '],"[' 82634    (Atom=Atom', ' 26327 Body=Body', ' 14417 Other', ' 41890)']",[' Yes'],"[' 1769     (Eliminated', '    0 Frozen', ' 1769)']","[' 92       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.153049'],[' 0'], ,[' 200.999'],[' 0'],[' 4.0819'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.41078e+07'],[' 1.43049e+07'],[' 0'],[' 2.68557e+10'],[' 0'],[' 0'],[' 626 '],[' 1058 '],[' 1308 '],[' 1703 '],[' 2270 '],[' 2475 '],[' 2766 '],[' 3193 '],[' 3581 '],[' 3936 '],[' 3 '],[' 7 ']
Solving...,swv20, , , ,[' 161'],[' 91'],"[' 125.766s (Solving', ' 125.04s 1st Model', ' 0.14s Unsat', ' 24.60s)']",[' 125.156s'], ,[' 4952417 '],"[' 3813691  (Analyzed', ' 3811678)']","[' 8464     (Average', ' 450.34 Last', ' 40416)']",[' 720.2   '],"[' 91       (Average Length', ' 39.68 Splits', ' 0)']","[' 3811678  (Deleted', ' 3739819)']","[' 88       (Ratio', '   0.00%)']","[' 1101     (Ratio', '   0.03%)']","[' 3811678  (Average Length', '   10.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3811678  (Average', '  1.26 Max', ' 1021 Sum', ' 4802132)']","[' 3811578  (Average', '  1.26 Max', ' 1021 Sum', ' 4801602 Ratio', '  99.99%)']","[' 100      (Average', '  5.30 Max', '  58 Sum', '    530 Ratio', '   0.01%)']", ,[' 48301   '],[' 1696    '],[' 47880   '],[' 27537   '],"[' 82607    (Atom=Atom', ' 26339 Body=Body', ' 14396 Other', ' 41872)']",[' Yes'],"[' 1775     (Eliminated', '    0 Frozen', ' 1775)']","[' 48       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.166022'],[' 0'], ,[' 96.2558'],[' 0'],[' 1.56936'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.39201e+07'],[' 5.49109e+06'],[' 0'],[' 1.48623e+10'],[' 0'],[' 0'],[' 432 '],[' 841 '],[' 1223 '],[' 1419 '],[' 1690 '],[' 2032 '],[' 2402 '],[' 2673 '],[' 3116 '],[' 3350 '],[' 1 '],[' 9 ']
