Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 
Solving...,TA31, ,[' 1'],[' 4089+'],[' 2046'],"[' 582.019s (Solving', ' 573.40s 1st Model', ' 500.39s Unsat', ' 0.00s)']",[' 580.578s'], ,[' 318931289'],"[' 2194467  (Analyzed', ' 1987816)']","[' 6828     (Average', ' 291.13 Last', ' 204441)']",[' 7204.1  '],"[' 2046     (Average Length', ' 1022.50 Splits', ' 0)']","[' 1987816  (Deleted', ' 1946309)']","[' 454      (Ratio', '   0.02%)']","[' 36723    (Ratio', '   1.85%)']","[' 1987816  (Average Length', '   25.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1987816  (Average', ' 153.82 Max', ' 6460 Sum', ' 305759394)']","[' 1987816  (Average', ' 153.82 Max', ' 6460 Sum', ' 305759394 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 40070   '],[' 6975    '],[' 41664   '],[' 29015   '],"[' 87041    (Atom=Atom', ' 22488 Body=Body', ' 13920 Other', ' 50633)']",[' Yes'],"[' 9019     (Eliminated', '    0 Frozen', ' 9019)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.88006'],[' 0'], ,[' 180.929'],[' 0'],[' 18.9705'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.33284e+09'],[' 1.21464e+09'],[' 0'],[' 5.95438e+09'],[' 0'],[' 0'],[' 2141 ']
Solving...,TA32, ,[' 1'],[' 3855+'],[' 1929'],"[' 937.156s (Solving', ' 928.36s 1st Model', ' 855.93s Unsat', ' 0.00s)']",[' 935.313s'], ,[' 457794377'],"[' 3275907  (Analyzed', ' 3043474)']","[' 9860     (Average', ' 308.67 Last', ' 165773)']",[' 7041.0  '],"[' 1929     (Average Length', ' 964.00 Splits', ' 0)']","[' 3043474  (Deleted', ' 2995370)']","[' 626      (Ratio', '   0.02%)']","[' 42323    (Ratio', '   1.39%)']","[' 3043474  (Average Length', '   26.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3043474  (Average', ' 146.33 Max', ' 6469 Sum', ' 445358895)']","[' 3043474  (Average', ' 146.33 Max', ' 6469 Sum', ' 445358895 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39953   '],[' 6975    '],[' 41430   '],[' 28898   '],"[' 86690    (Atom=Atom', ' 22371 Body=Body', ' 13920 Other', ' 50399)']",[' Yes'],"[' 8902     (Eliminated', '    0 Frozen', ' 8902)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.81641'],[' 0'], ,[' 294.567'],[' 0'],[' 28.778'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16834e+09'],[' 1.97801e+09'],[' 0'],[' 9.59185e+09'],[' 0'],[' 0'],[' 2199 ']
Solving...,TA33, ,[' 1'],[' 799+'],[' 401'],"[' 6.984s (Solving', ' 5.28s 1st Model', ' 2.80s Unsat', ' 0.00s)']",[' 6.750s'], ,[' 5553267 '],"[' 26308    (Analyzed', ' 1777)']","[' 145      (Average', ' 12.26 Last', ' 212)']",[' 6696.9  '],"[' 400      (Average Length', ' 199.50 Splits', ' 0)']","[' 1777     (Deleted', ' 0)']","[' 1        (Ratio', '   0.06%)']","[' 123      (Ratio', '   6.92%)']","[' 1777     (Average Length', '   29.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1777     (Average', ' 1650.55 Max', ' 6464 Sum', ' 2933031)']","[' 1776     (Average', ' 1650.44 Max', ' 6464 Sum', ' 2932838 Ratio', '  99.99%)']","[' 1        (Average', ' 193.00 Max', ' 193 Sum', '    193 Ratio', '   0.01%)']", ,[' 38425   '],[' 6975    '],[' 38374   '],[' 27370   '],"[' 82106    (Atom=Atom', ' 20843 Body=Body', ' 13920 Other', ' 47343)']",[' Yes'],"[' 7374     (Eliminated', '    0 Frozen', ' 7374)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.40709'],[' 0'], ,[' 1.46321'],[' 0'],[' 0.207503'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.31096e+06'],[' 5.84467e+06'],[' 0'],[' 2.37349e+07'],[' 0'],[' 0'],[' 11196 ']
Solving...,TA34, ,[' 1'],[' 3009+'],[' 1506'],"[' 555.230s (Solving', ' 548.87s 1st Model', ' 478.72s Unsat', ' 0.00s)']",[' 554.031s'], ,[' 299926718'],"[' 2026534  (Analyzed', ' 1838770)']","[' 6021     (Average', ' 305.39 Last', ' 191683)']",[' 6985.2  '],"[' 1506     (Average Length', ' 752.50 Splits', ' 0)']","[' 1838770  (Deleted', ' 1794770)']","[' 490      (Ratio', '   0.03%)']","[' 37560    (Ratio', '   2.04%)']","[' 1838770  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1838770  (Average', ' 157.75 Max', ' 6457 Sum', ' 290075018)']","[' 1838770  (Average', ' 157.75 Max', ' 6457 Sum', ' 290075018 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39530   '],[' 6975    '],[' 40584   '],[' 28475   '],"[' 85421    (Atom=Atom', ' 21948 Body=Body', ' 13920 Other', ' 49553)']",[' Yes'],"[' 8479     (Eliminated', '    0 Frozen', ' 8479)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42544'],[' 0'], ,[' 182.218'],[' 0'],[' 17.9449'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26538e+09'],[' 1.157e+09'],[' 0'],[' 5.52327e+09'],[' 0'],[' 0'],[' 2226 ']
Solving...,TA35, ,[' 1'],[' 3791+'],[' 1897'],"[' 496.376s (Solving', ' 488.20s 1st Model', ' 415.80s Unsat', ' 0.00s)']",[' 495.266s'], ,[' 282037461'],"[' 1843040  (Analyzed', ' 1668278)']","[' 5595     (Average', ' 298.17 Last', ' 165433)']",[' 7163.5  '],"[' 1897     (Average Length', ' 948.00 Splits', ' 0)']","[' 1668278  (Deleted', ' 1623642)']","[' 568      (Ratio', '   0.03%)']","[' 39754    (Ratio', '   2.38%)']","[' 1668278  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1668278  (Average', ' 161.74 Max', ' 6472 Sum', ' 269832917)']","[' 1668278  (Average', ' 161.74 Max', ' 6472 Sum', ' 269832917 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39921   '],[' 6975    '],[' 41366   '],[' 28866   '],"[' 86594    (Atom=Atom', ' 22339 Body=Body', ' 13920 Other', ' 50335)']",[' Yes'],"[' 8870     (Eliminated', '    0 Frozen', ' 8870)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.76011'],[' 0'], ,[' 154.222'],[' 0'],[' 16.5417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.1234e+09'],[' 1.02744e+09'],[' 0'],[' 5.0703e+09'],[' 0'],[' 0'],[' 2248 ']
Solving...,TA36, ,[' 1'],[' 3341+'],[' 1672'],"[' 336.282s (Solving', ' 328.59s 1st Model', ' 257.72s Unsat', ' 0.00s)']",[' 334.578s'], ,[' 200432338'],"[' 1294088  (Analyzed', ' 1061909)']","[' 4112     (Average', ' 258.25 Last', ' 94668)']",[' 7064.4  '],"[' 1672     (Average Length', ' 835.50 Splits', ' 0)']","[' 1061909  (Deleted', ' 1023174)']","[' 330      (Ratio', '   0.03%)']","[' 30522    (Ratio', '   2.87%)']","[' 1061909  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1061909  (Average', ' 178.57 Max', ' 6471 Sum', ' 189622021)']","[' 1061909  (Average', ' 178.57 Max', ' 6471 Sum', ' 189622021 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39696   '],[' 6975    '],[' 40916   '],[' 28641   '],"[' 85919    (Atom=Atom', ' 22114 Body=Body', ' 13920 Other', ' 49885)']",[' Yes'],"[' 8645     (Eliminated', '    0 Frozen', ' 8645)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.57092'],[' 0'], ,[' 106.947'],[' 0'],[' 11.6722'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.65408e+08'],[' 6.01543e+08'],[' 0'],[' 3.13166e+09'],[' 0'],[' 0'],[' 2240 ']
Solving...,TA37, ,[' 1'],[' 3223+'],[' 1613'],"[' 543.311s (Solving', ' 535.70s 1st Model', ' 464.01s Unsat', ' 0.00s)']",[' 541.219s'], ,[' 267831121'],"[' 1788898  (Analyzed', ' 1612752)']","[' 5547     (Average', ' 290.74 Last', ' 151918)']",[' 7001.6  '],"[' 1613     (Average Length', ' 806.00 Splits', ' 0)']","[' 1612752  (Deleted', ' 1571439)']","[' 400      (Ratio', '   0.02%)']","[' 32425    (Ratio', '   2.01%)']","[' 1612752  (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1612752  (Average', ' 159.62 Max', ' 6472 Sum', ' 257423412)']","[' 1612752  (Average', ' 159.62 Max', ' 6472 Sum', ' 257423412 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39637   '],[' 6975    '],[' 40798   '],[' 28582   '],"[' 85742    (Atom=Atom', ' 22055 Body=Body', ' 13920 Other', ' 49767)']",[' Yes'],"[' 8586     (Eliminated', '    0 Frozen', ' 8586)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.69544'],[' 0'], ,[' 175.156'],[' 0'],[' 17.4096'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02632e+09'],[' 9.31202e+08'],[' 0'],[' 4.66289e+09'],[' 0'],[' 0'],[' 2168 ']
Solving...,TA38, ,[' 1'],[' 3317+'],[' 1660'],"[' 851.143s (Solving', ' 843.03s 1st Model', ' 770.36s Unsat', ' 0.00s)']",[' 848.484s'], ,[' 368132373'],"[' 2585987  (Analyzed', ' 2400951)']","[' 7855     (Average', ' 305.66 Last', ' 172782)']",[' 7026.5  '],"[' 1660     (Average Length', ' 829.50 Splits', ' 0)']","[' 2400951  (Deleted', ' 2355069)']","[' 534      (Ratio', '   0.02%)']","[' 38156    (Ratio', '   1.59%)']","[' 2400951  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2400951  (Average', ' 148.81 Max', ' 6470 Sum', ' 357282345)']","[' 2400951  (Average', ' 148.81 Max', ' 6470 Sum', ' 357282345 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39684   '],[' 6975    '],[' 40892   '],[' 28629   '],"[' 85883    (Atom=Atom', ' 22102 Body=Body', ' 13920 Other', ' 49861)']",[' Yes'],"[' 8633     (Eliminated', '    0 Frozen', ' 8633)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.75525'],[' 0'], ,[' 265.509'],[' 0'],[' 25.2299'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.66694e+09'],[' 1.52566e+09'],[' 0'],[' 7.16635e+09'],[' 0'],[' 0'],[' 2048 ']
Solving...,TA39, ,[' 1'],[' 3505+'],[' 1754'],"[' 692.907s (Solving', ' 684.46s 1st Model', ' 611.48s Unsat', ' 0.00s)']",[' 690.188s'], ,[' 313714991'],"[' 2150213  (Analyzed', ' 1980977)']","[' 6645     (Average', ' 298.12 Last', ' 133684)']",[' 7074.9  '],"[' 1754     (Average Length', ' 876.50 Splits', ' 0)']","[' 1980977  (Deleted', ' 1932953)']","[' 555      (Ratio', '   0.03%)']","[' 39802    (Ratio', '   2.01%)']","[' 1980977  (Average Length', '   26.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1980977  (Average', ' 152.64 Max', ' 6479 Sum', ' 302376390)']","[' 1980976  (Average', ' 152.64 Max', ' 6479 Sum', ' 302376310 Ratio', ' 100.00%)']","[' 1        (Average', ' 80.00 Max', '  80 Sum', '     80 Ratio', '   0.00%)']", ,[' 39778   '],[' 6975    '],[' 41080   '],[' 28723   '],"[' 86165    (Atom=Atom', ' 22196 Body=Body', ' 13920 Other', ' 50049)']",[' Yes'],"[' 8727     (Eliminated', '    0 Frozen', ' 8727)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.83149'],[' 0'], ,[' 215.706'],[' 0'],[' 21.1283'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28228e+09'],[' 1.17157e+09'],[' 0'],[' 5.93577e+09'],[' 0'],[' 0'],[' 2146 ']
Solving...,TA40, ,[' 1'],[' 3709+'],[' 1856'],"[' 474.134s (Solving', ' 464.74s 1st Model', ' 391.03s Unsat', ' 0.00s)']",[' 472.563s'], ,[' 234670030'],"[' 1496286  (Analyzed', ' 1303481)']","[' 4786     (Average', ' 272.35 Last', ' 149880)']",[' 7155.3  '],"[' 1856     (Average Length', ' 927.50 Splits', ' 0)']","[' 1303481  (Deleted', ' 1266232)']","[' 367      (Ratio', '   0.03%)']","[' 32041    (Ratio', '   2.46%)']","[' 1303481  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1303481  (Average', ' 170.86 Max', ' 6333 Sum', ' 222710334)']","[' 1303481  (Average', ' 170.86 Max', ' 6333 Sum', ' 222710334 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 39880   '],[' 6975    '],[' 41284   '],[' 28825   '],"[' 86471    (Atom=Atom', ' 22298 Body=Body', ' 13920 Other', ' 50253)']",[' Yes'],"[' 8829     (Eliminated', '    0 Frozen', ' 8829)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.93498'],[' 0'], ,[' 149.496'],[' 0'],[' 15.4779'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.60057e+08'],[' 7.82526e+08'],[' 0'],[' 3.7982e+09'],[' 0'],[' 0'],[' 2091 ']
