Optimal Found Or Timeout,Instances,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1687,Completion Time for Window 2 is 3456
Models       ,TA51,"[' 444.783s (Solving', ' 426.98s 1st Model', ' 269.97s Unsat', ' 0.00s)']",[' 442.219s'], ,[' 237863768'],"[' 2660640  (Analyzed', ' 1162781)']","[' 4921     (Average', ' 236.29 Last', ' 103049)']",[' 6268.4  '],"[' 2306     (Average Length', ' 1127.95 Splits', ' 0)']","[' 1162781  (Deleted', ' 1101319)']","[' 223      (Ratio', '   0.02%)']","[' 49333    (Ratio', '   4.24%)']","[' 1162781  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1162781  (Average', ' 193.42 Max', ' 7063 Sum', ' 224900665)']","[' 1162262  (Average', ' 192.90 Max', ' 5899 Sum', ' 224296549 Ratio', '  99.73%)']","[' 519      (Average', ' 1164.00 Max', ' 1164 Sum', ' 604116 Ratio', '   0.27%)']", ,[' 95470   '],[' 10062   '],[' 96913   '],[' 59377   '],"[' 178127   (Atom=Atom', ' 50063 Body=Body', ' 29137 Other', ' 98927)']",[' Yes'],"[' 12255    (Eliminated', '    0 Frozen', ' 12255)']","[' 6377     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.46301'],[' 0'], ,[' 171.352'],[' 0'],[' 13.603'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.79227e+08'],[' 7.06531e+08'],[' 0'],[' 8.45103e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA52,"[' 250.504s (Solving', ' 236.56s 1st Model', ' 84.50s Unsat', ' 0.00s)']",[' 248.641s'], ,[' 153792835'],"[' 2420458  (Analyzed', ' 706767)']","[' 3221     (Average', ' 219.42 Last', ' 120213)']",[' 6553.6  '],"[' 1915     (Average Length', ' 937.85 Splits', ' 0)']","[' 706767   (Deleted', ' 659583)']","[' 139      (Ratio', '   0.02%)']","[' 35893    (Ratio', '   5.08%)']","[' 706767   (Average Length', '   26.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 706767   (Average', ' 200.38 Max', ' 6887 Sum', ' 141624159)']","[' 706232   (Average', ' 199.69 Max', ' 6130 Sum', ' 141134634 Ratio', '  99.65%)']","[' 535      (Average', ' 915.00 Max', ' 915 Sum', ' 489525 Ratio', '   0.35%)']", ,[' 95265   '],[' 10124   '],[' 96344   '],[' 59234   '],"[' 177698   (Atom=Atom', ' 49858 Body=Body', ' 29199 Other', ' 98641)']",[' Yes'],"[' 11953    (Eliminated', '    0 Frozen', ' 11953)']","[' 4600     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.78283'],[' 0'], ,[' 101.275'],[' 0'],[' 8.44134'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.77275e+08'],[' 3.37314e+08'],[' 0'],[' 5.33718e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA53,"[' 491.569s (Solving', ' 476.84s 1st Model', ' 329.44s Unsat', ' 0.00s)']",[' 488.859s'], ,[' 251566407'],"[' 2459021  (Analyzed', ' 1374759)']","[' 5322     (Average', ' 258.32 Last', ' 194190)']",[' 6072.9  '],"[' 2131     (Average Length', ' 1050.46 Splits', ' 0)']","[' 1374759  (Deleted', ' 1318930)']","[' 241      (Ratio', '   0.02%)']","[' 46702    (Ratio', '   3.40%)']","[' 1374759  (Average Length', '   21.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1374759  (Average', ' 174.66 Max', ' 6843 Sum', ' 240110188)']","[' 1374260  (Average', ' 174.22 Max', ' 6843 Sum', ' 239512386 Ratio', '  99.75%)']","[' 499      (Average', ' 1198.00 Max', ' 1198 Sum', ' 597802 Ratio', '   0.25%)']", ,[' 94749   '],[' 9880    '],[' 96039   '],[' 58474   '],"[' 175418   (Atom=Atom', ' 49342 Body=Body', ' 28955 Other', ' 97121)']",[' Yes'],"[' 11920    (Eliminated', '    0 Frozen', ' 11920)']","[' 6167     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.89661'],[' 0'], ,[' 173.479'],[' 0'],[' 15.2032'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.81247e+08'],[' 7.93891e+08'],[' 0'],[' 6.88984e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA54,"[' 535.854s (Solving', ' 519.63s 1st Model', ' 370.60s Unsat', ' 0.00s)']",[' 532.469s'], ,[' 256872926'],"[' 2462739  (Analyzed', ' 1354884)']","[' 5213     (Average', ' 259.90 Last', ' 140398)']",[' 6181.0  '],"[' 2194     (Average Length', ' 1073.65 Splits', ' 0)']","[' 1354884  (Deleted', ' 1289694)']","[' 238      (Ratio', '   0.02%)']","[' 52953    (Ratio', '   3.91%)']","[' 1354884  (Average Length', '   24.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1354884  (Average', ' 180.76 Max', ' 6912 Sum', ' 244915184)']","[' 1354345  (Average', ' 180.30 Max', ' 5739 Sum', ' 244282937 Ratio', '  99.74%)']","[' 539      (Average', ' 1173.00 Max', ' 1173 Sum', ' 632247 Ratio', '   0.26%)']", ,[' 95208   '],[' 10012   '],[' 96554   '],[' 59065   '],"[' 177191   (Atom=Atom', ' 49801 Body=Body', ' 29087 Other', ' 98303)']",[' Yes'],"[' 12108    (Eliminated', '    0 Frozen', ' 12108)']","[' 6640     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.10319'],[' 0'], ,[' 211.399'],[' 0'],[' 16.0521'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.59948e+08'],[' 7.80434e+08'],[' 0'],[' 9.95171e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA55,"[' 260.053s (Solving', ' 244.94s 1st Model', ' 89.73s Unsat', ' 0.00s)']",[' 258.922s'], ,[' 147519336'],"[' 2419909  (Analyzed', ' 639821)']","[' 3010     (Average', ' 212.57 Last', ' 43632)']",[' 6414.0  '],"[' 2070     (Average Length', ' 1016.90 Splits', ' 0)']","[' 639821   (Deleted', ' 591465)']","[' 166      (Ratio', '   0.03%)']","[' 36392    (Ratio', '   5.69%)']","[' 639821   (Average Length', '   23.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 639821   (Average', ' 211.06 Max', ' 7351 Sum', ' 135040301)']","[' 639292   (Average', ' 210.15 Max', ' 6430 Sum', ' 134461046 Ratio', '  99.57%)']","[' 529      (Average', ' 1095.00 Max', ' 1095 Sum', ' 579255 Ratio', '   0.43%)']", ,[' 95126   '],[' 10026   '],[' 96339   '],[' 58997   '],"[' 176987   (Atom=Atom', ' 49719 Body=Body', ' 29101 Other', ' 98167)']",[' Yes'],"[' 11989    (Eliminated', '    0 Frozen', ' 11989)']","[' 4141     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.96082'],[' 0'], ,[' 108.649'],[' 0'],[' 8.39004'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.6813e+08'],[' 3.29257e+08'],[' 0'],[' 5.83812e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA56,"[' 541.851s (Solving', ' 523.98s 1st Model', ' 360.89s Unsat', ' 0.00s)']",[' 538.953s'], ,[' 240326057'],"[' 3632342  (Analyzed', ' 1354829)']","[' 5501     (Average', ' 246.29 Last', ' 134351)']",[' 6716.9  '],"[' 2369     (Average Length', ' 1159.69 Splits', ' 0)']","[' 1354829  (Deleted', ' 1296662)']","[' 265      (Ratio', '   0.02%)']","[' 46153    (Ratio', '   3.41%)']","[' 1354829  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1354829  (Average', ' 166.17 Max', ' 7105 Sum', ' 225131851)']","[' 1354305  (Average', ' 165.75 Max', ' 6296 Sum', ' 224562787 Ratio', '  99.75%)']","[' 524      (Average', ' 1086.00 Max', ' 1086 Sum', ' 569064 Ratio', '   0.25%)']", ,[' 95053   '],[' 9902    '],[' 96532   '],[' 58800   '],"[' 176396   (Atom=Atom', ' 49646 Body=Body', ' 28977 Other', ' 97773)']",[' Yes'],"[' 12131    (Eliminated', '    0 Frozen', ' 12131)']","[' 3529     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.55431'],[' 0'], ,[' 253.245'],[' 0'],[' 15.1634'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.41661e+08'],[' 6.66672e+08'],[' 0'],[' 1.5215e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA57,"[' 233.392s (Solving', ' 217.36s 1st Model', ' 62.04s Unsat', ' 0.00s)']",[' 231.984s'], ,[' 148195239'],"[' 2428343  (Analyzed', ' 606768)']","[' 3103     (Average', ' 195.54 Last', ' 86087)']",[' 6663.0  '],"[' 2059     (Average Length', ' 1007.93 Splits', ' 0)']","[' 606768   (Deleted', ' 561926)']","[' 156      (Ratio', '   0.03%)']","[' 32853    (Ratio', '   5.41%)']","[' 606768   (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 606768   (Average', ' 222.42 Max', ' 7289 Sum', ' 134957254)']","[' 606170   (Average', ' 221.51 Max', ' 6368 Sum', ' 134406496 Ratio', '  99.59%)']","[' 598      (Average', ' 921.00 Max', ' 921 Sum', ' 550758 Ratio', '   0.41%)']", ,[' 95031   '],[' 9998    '],[' 96253   '],[' 58874   '],"[' 176618   (Atom=Atom', ' 49624 Body=Body', ' 29073 Other', ' 97921)']",[' Yes'],"[' 11970    (Eliminated', '    0 Frozen', ' 11970)']","[' 4364     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.02876'],[' 0'], ,[' 94.387'],[' 0'],[' 8.04496'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52977e+08'],[' 3.18694e+08'],[' 0'],[' 5.06505e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA58,"[' 301.454s (Solving', ' 286.09s 1st Model', ' 134.49s Unsat', ' 0.00s)']",[' 300.406s'], ,[' 187541109'],"[' 2344961  (Analyzed', ' 749544)']","[' 3422     (Average', ' 219.04 Last', ' 211914)']",[' 6474.9  '],"[' 2277     (Average Length', ' 1118.57 Splits', ' 0)']","[' 749544   (Deleted', ' 696456)']","[' 202      (Ratio', '   0.03%)']","[' 41699    (Ratio', '   5.56%)']","[' 749544   (Average Length', '   24.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 749544   (Average', ' 232.51 Max', ' 7317 Sum', ' 174274891)']","[' 748941   (Average', ' 231.54 Max', ' 6382 Sum', ' 173548879 Ratio', '  99.58%)']","[' 603      (Average', ' 1204.00 Max', ' 1204 Sum', ' 726012 Ratio', '   0.42%)']", ,[' 95513   '],[' 10086   '],[' 96919   '],[' 59444   '],"[' 178328   (Atom=Atom', ' 50106 Body=Body', ' 29161 Other', ' 99061)']",[' Yes'],"[' 12242    (Eliminated', '    0 Frozen', ' 12242)']","[' 4925     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.00871'],[' 0'], ,[' 118.894'],[' 0'],[' 10.1354'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.96133e+08'],[' 4.49111e+08'],[' 0'],[' 6.23421e+09'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA59,"[' 656.245s (Solving', ' 640.24s 1st Model', ' 492.15s Unsat', ' 0.00s)']",[' 653.469s'], ,[' 302099312'],"[' 2833208  (Analyzed', ' 1727822)']","[' 6312     (Average', ' 273.74 Last', ' 131260)']",[' 6194.7  '],"[' 2123     (Average Length', ' 1039.22 Splits', ' 0)']","[' 1727822  (Deleted', ' 1655389)']","[' 356      (Ratio', '   0.02%)']","[' 60295    (Ratio', '   3.49%)']","[' 1727822  (Average Length', '   24.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1727822  (Average', ' 167.97 Max', ' 6672 Sum', ' 290222757)']","[' 1727333  (Average', ' 167.67 Max', ' 6332 Sum', ' 289711752 Ratio', '  99.82%)']","[' 489      (Average', ' 1045.00 Max', ' 1045 Sum', ' 511005 Ratio', '   0.18%)']", ,[' 94915   '],[' 9938    '],[' 96156   '],[' 58698   '],"[' 176090   (Atom=Atom', ' 49508 Body=Body', ' 29013 Other', ' 97569)']",[' Yes'],"[' 11929    (Eliminated', '    0 Frozen', ' 11929)']","[' 5656     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.13499'],[' 0'], ,[' 283.254'],[' 0'],[' 19.0814'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05621e+09'],[' 9.56319e+08'],[' 0'],[' 1.58091e+10'],[' 0'],[' 0'], ,[' '],[' ']
Models       ,TA60,"[' 536.023s (Solving', ' 518.76s 1st Model', ' 365.53s Unsat', ' 0.00s)']",[' 533.609s'], ,[' 254952056'],"[' 2553668  (Analyzed', ' 1236468)']","[' 5006     (Average', ' 247.00 Last', ' 149600)']",[' 6263.8  '],"[' 2276     (Average Length', ' 1116.37 Splits', ' 0)']","[' 1236468  (Deleted', ' 1175780)']","[' 220      (Ratio', '   0.02%)']","[' 52569    (Ratio', '   4.25%)']","[' 1236468  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1236468  (Average', ' 195.99 Max', ' 7170 Sum', ' 242336353)']","[' 1235896  (Average', ' 195.43 Max', ' 6878 Sum', ' 241645641 Ratio', '  99.71%)']","[' 572      (Average', ' 1207.54 Max', ' 1515 Sum', ' 690712 Ratio', '   0.29%)']", ,[' 95020   '],[' 9922    '],[' 96420   '],[' 58787   '],"[' 176357   (Atom=Atom', ' 49613 Body=Body', ' 28997 Other', ' 97747)']",[' Yes'],"[' 12072    (Eliminated', '    0 Frozen', ' 12072)']","[' 5590     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.3598'],[' 0'], ,[' 215.764'],[' 0'],[' 16.0646'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.43625e+08'],[' 7.61304e+08'],[' 0'],[' 1.03009e+10'],[' 0'],[' 0'], ,[' '],[' ']
