Optimal Found Or Timeout,Instances,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Completion Time for Window 1 is 1230,Completion Time for Window 2 is 2525,Completion Time for Window 3 is 3810
Calls        ,TA51,[' 216.281s'], ,[' 74178610'],"[' 2984295  (Analyzed', ' 2536782)']","[' 6184     (Average', ' 410.22 Last', ' 51540)']",[' 3527.1  '],"[' 1536     (Average Length', ' 747.16 Splits', ' 0)']","[' 2536782  (Deleted', ' 2485132)']","[' 129      (Ratio', '   0.01%)']","[' 22383    (Ratio', '   0.88%)']","[' 2536782  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2536782  (Average', ' 27.49 Max', ' 3727 Sum', ' 69729051)']","[' 2536180  (Average', ' 27.29 Max', ' 3727 Sum', ' 69229261 Ratio', '  99.28%)']","[' 602      (Average', ' 830.22 Max', ' 1058 Sum', ' 499790 Ratio', '   0.72%)']", ,[' 87179   '],[' 6883    '],[' 87873   '],[' 51109   '],"[' 153323   (Atom=Atom', ' 44974 Body=Body', ' 25958 Other', ' 82391)']",[' Yes'],"[' 8327     (Eliminated', '    0 Frozen', ' 8327)']","[' 3823     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6305'],[' 0'], ,[' 144.116'],[' 0'],[' 4.81678'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.08151e+08'],[' 1.77945e+08'],[' 0'],[' 1.40792e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA52,[' 207.172s'], ,[' 74887844'],"[' 2922299  (Analyzed', ' 2596422)']","[' 6352     (Average', ' 408.76 Last', ' 14327)']",[' 3544.1  '],"[' 1368     (Average Length', ' 658.49 Splits', ' 0)']","[' 2596422  (Deleted', ' 2537760)']","[' 129      (Ratio', '   0.00%)']","[' 22834    (Ratio', '   0.88%)']","[' 2596422  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2596422  (Average', ' 27.29 Max', ' 3788 Sum', ' 70853669)']","[' 2595760  (Average', ' 27.11 Max', ' 3788 Sum', ' 70400018 Ratio', '  99.36%)']","[' 662      (Average', ' 685.27 Max', ' 842 Sum', ' 453651 Ratio', '   0.64%)']", ,[' 87105   '],[' 6921    '],[' 87639   '],[' 50973   '],"[' 152915   (Atom=Atom', ' 44800 Body=Body', ' 25996 Other', ' 82119)']",[' Yes'],"[' 8205     (Eliminated', '    0 Frozen', ' 8205)']","[' 3650     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54629'],[' 0'], ,[' 135.633'],[' 0'],[' 4.83877'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.10286e+08'],[' 1.79549e+08'],[' 0'],[' 1.31391e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA53,[' 206.125s'], ,[' 64386255'],"[' 3627215  (Analyzed', ' 3322940)']","[' 7603     (Average', ' 437.06 Last', ' 31170)']",[' 3656.2  '],"[' 1321     (Average Length', ' 643.70 Splits', ' 0)']","[' 3322940  (Deleted', ' 3263432)']","[' 102      (Ratio', '   0.00%)']","[' 17265    (Ratio', '   0.52%)']","[' 3322940  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3322940  (Average', ' 18.13 Max', ' 3863 Sum', ' 60238171)']","[' 3322264  (Average', ' 18.01 Max', ' 3863 Sum', ' 59836173 Ratio', '  99.33%)']","[' 676      (Average', ' 594.67 Max', ' 751 Sum', ' 401998 Ratio', '   0.67%)']", ,[' 86479   '],[' 6817    '],[' 86987   '],[' 50486   '],"[' 151454   (Atom=Atom', ' 44417 Body=Body', ' 25892 Other', ' 81145)']",[' Yes'],"[' 8075     (Eliminated', '    0 Frozen', ' 8075)']","[' 3165     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54637'],[' 0'], ,[' 142.579'],[' 0'],[' 4.39372'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65401e+08'],[' 1.38011e+08'],[' 0'],[' 1.42563e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA54,[' 218.688s'], ,[' 85023753'],"[' 3425932  (Analyzed', ' 2947622)']","[' 7066     (Average', ' 417.16 Last', ' 26126)']",[' 3603.3  '],"[' 1584     (Average Length', ' 761.81 Splits', ' 0)']","[' 2947622  (Deleted', ' 2885997)']","[' 154      (Ratio', '   0.01%)']","[' 25197    (Ratio', '   0.85%)']","[' 2947622  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2947622  (Average', ' 27.18 Max', ' 3522 Sum', ' 80112940)']","[' 2947067  (Average', ' 27.04 Max', ' 3522 Sum', ' 79697807 Ratio', '  99.48%)']","[' 555      (Average', ' 747.99 Max', ' 1033 Sum', ' 415133 Ratio', '   0.52%)']", ,[' 87607   '],[' 6907    '],[' 88311   '],[' 51369   '],"[' 154103   (Atom=Atom', ' 45210 Body=Body', ' 25982 Other', ' 82911)']",[' Yes'],"[' 8361     (Eliminated', '    0 Frozen', ' 8361)']","[' 4556     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.76484'],[' 0'], ,[' 136.668'],[' 0'],[' 5.37656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43333e+08'],[' 2.08877e+08'],[' 0'],[' 1.32459e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA55,[' 211.188s'], ,[' 75155144'],"[' 2491683  (Analyzed', ' 2225790)']","[' 5474     (Average', ' 406.61 Last', ' 48482)']",[' 3464.7  '],"[' 1410     (Average Length', ' 684.29 Splits', ' 0)']","[' 2225790  (Deleted', ' 2177126)']","[' 149      (Ratio', '   0.01%)']","[' 21380    (Ratio', '   0.96%)']","[' 2225790  (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2225790  (Average', ' 32.03 Max', ' 3977 Sum', ' 71296281)']","[' 2225132  (Average', ' 31.79 Max', ' 3977 Sum', ' 70764468 Ratio', '  99.25%)']","[' 658      (Average', ' 808.23 Max', ' 975 Sum', ' 531813 Ratio', '   0.75%)']", ,[' 87307   '],[' 6931    '],[' 87883   '],[' 51085   '],"[' 153251   (Atom=Atom', ' 44902 Body=Body', ' 26006 Other', ' 82343)']",[' Yes'],"[' 8257     (Eliminated', '    0 Frozen', ' 8257)']","[' 3116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43888'],[' 0'], ,[' 135.31'],[' 0'],[' 4.8151'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.27346e+08'],[' 1.96424e+08'],[' 0'],[' 1.27795e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA56,[' 230.359s'], ,[' 74902229'],"[' 3687773  (Analyzed', ' 3292855)']","[' 7785     (Average', ' 422.97 Last', ' 33668)']",[' 3622.4  '],"[' 1430     (Average Length', ' 682.80 Splits', ' 0)']","[' 3292855  (Deleted', ' 3229930)']","[' 115      (Ratio', '   0.00%)']","[' 21046    (Ratio', '   0.64%)']","[' 3292855  (Average Length', '   19.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3292855  (Average', ' 21.44 Max', ' 3958 Sum', ' 70587535)']","[' 3292078  (Average', ' 21.28 Max', ' 3958 Sum', ' 70064880 Ratio', '  99.26%)']","[' 777      (Average', ' 672.66 Max', ' 858 Sum', ' 522655 Ratio', '   0.74%)']", ,[' 86665   '],[' 6812    '],[' 87234   '],[' 50524   '],"[' 151568   (Atom=Atom', ' 44460 Body=Body', ' 25887 Other', ' 81221)']",[' Yes'],"[' 8131     (Eliminated', '    0 Frozen', ' 8131)']","[' 2785     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6083'],[' 0'], ,[' 160.505'],[' 0'],[' 5.08405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89957e+08'],[' 1.59447e+08'],[' 0'],[' 1.61868e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA57,[' 212.797s'], ,[' 69617355'],"[' 3596615  (Analyzed', ' 3150114)']","[' 7338     (Average', ' 429.29 Last', ' 21801)']",[' 3626.0  '],"[' 1349     (Average Length', ' 653.41 Splits', ' 0)']","[' 3150114  (Deleted', ' 3091073)']","[' 96       (Ratio', '   0.00%)']","[' 20614    (Ratio', '   0.65%)']","[' 3150114  (Average Length', '   19.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3150114  (Average', ' 20.69 Max', ' 3758 Sum', ' 65187889)']","[' 3149534  (Average', ' 20.58 Max', ' 3758 Sum', ' 64833804 Ratio', '  99.46%)']","[' 580      (Average', ' 610.49 Max', ' 857 Sum', ' 354085 Ratio', '   0.54%)']", ,[' 86973   '],[' 6871    '],[' 87501   '],[' 50718   '],"[' 152150   (Atom=Atom', ' 44595 Body=Body', ' 25946 Other', ' 81609)']",[' Yes'],"[' 8149     (Eliminated', '    0 Frozen', ' 8149)']","[' 3735     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5389'],[' 0'], ,[' 145.266'],[' 0'],[' 4.73152'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.82123e+08'],[' 1.52356e+08'],[' 0'],[' 1.45328e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA58,[' 206.281s'], ,[' 65744813'],"[' 3384394  (Analyzed', ' 3004294)']","[' 7037     (Average', ' 426.93 Last', ' 3198)']",[' 3508.3  '],"[' 1505     (Average Length', ' 722.25 Splits', ' 0)']","[' 3004294  (Deleted', ' 2947610)']","[' 135      (Ratio', '   0.00%)']","[' 19575    (Ratio', '   0.65%)']","[' 3004294  (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3004294  (Average', ' 20.43 Max', ' 3623 Sum', ' 61381705)']","[' 3003676  (Average', ' 20.27 Max', ' 3623 Sum', ' 60886584 Ratio', '  99.19%)']","[' 618      (Average', ' 801.17 Max', ' 1037 Sum', ' 495121 Ratio', '   0.81%)']", ,[' 87064   '],[' 6859    '],[' 87699   '],[' 50838   '],"[' 152510   (Atom=Atom', ' 44727 Body=Body', ' 25934 Other', ' 81849)']",[' Yes'],"[' 8244     (Eliminated', '    0 Frozen', ' 8244)']","[' 3492     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.57687'],[' 0'], ,[' 140.914'],[' 0'],[' 4.33922'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69641e+08'],[' 1.41453e+08'],[' 0'],[' 1.4009e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA59,[' 214.578s'], ,[' 80421941'],"[' 3386832  (Analyzed', ' 3023792)']","[' 7202     (Average', ' 419.85 Last', ' 16195)']",[' 3578.2  '],"[' 1372     (Average Length', ' 661.08 Splits', ' 0)']","[' 3023792  (Deleted', ' 2967458)']","[' 117      (Ratio', '   0.00%)']","[' 24909    (Ratio', '   0.82%)']","[' 3023792  (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3023792  (Average', ' 25.17 Max', ' 3752 Sum', ' 76102327)']","[' 3023274  (Average', ' 25.06 Max', ' 3752 Sum', ' 75772499 Ratio', '  99.57%)']","[' 518      (Average', ' 636.73 Max', ' 846 Sum', ' 329828 Ratio', '   0.43%)']", ,[' 86912   '],[' 6892    '],[' 87452   '],[' 50876   '],"[' 152624   (Atom=Atom', ' 44732 Body=Body', ' 25967 Other', ' 81925)']",[' Yes'],"[' 8182     (Eliminated', '    0 Frozen', ' 8182)']","[' 3813     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.55501'],[' 0'], ,[' 140.419'],[' 0'],[' 5.10189'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15321e+08'],[' 1.83991e+08'],[' 0'],[' 1.35294e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
Calls        ,TA60,[' 255.797s'], ,[' 108166628'],"[' 3169573  (Analyzed', ' 2762791)']","[' 7104     (Average', ' 388.91 Last', ' 145030)']",[' 3586.0  '],"[' 1756     (Average Length', ' 841.39 Splits', ' 0)']","[' 2762791  (Deleted', ' 2704710)']","[' 179      (Ratio', '   0.01%)']","[' 30133    (Ratio', '   1.09%)']","[' 2762791  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2762791  (Average', ' 37.34 Max', ' 3443 Sum', ' 103167889)']","[' 2762240  (Average', ' 37.18 Max', ' 3443 Sum', ' 102708431 Ratio', '  99.55%)']","[' 551      (Average', ' 833.86 Max', ' 1109 Sum', ' 459458 Ratio', '   0.45%)']", ,[' 87474   '],[' 6895    '],[' 88337   '],[' 51485   '],"[' 154451   (Atom=Atom', ' 45338 Body=Body', ' 25970 Other', ' 83143)']",[' Yes'],"[' 8508     (Eliminated', '    0 Frozen', ' 8508)']","[' 4695     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95795'],[' 0'], ,[' 145.594'],[' 0'],[' 6.57392'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.43111e+08'],[' 2.95076e+08'],[' 0'],[' 1.26758e+10'],[' 0'],[' 0'], ,[' '],[' '],[' ']
