Optimal Found Or Timeout,Instances,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Optimum Found,Optimum Found,Completion Time for Window 1 is 658,Completion Time for Window 2 is 1283,Completion Time for Window 3 is 2026,Completion Time for Window 4 is 2760
CPU Time     ,TA41,[' 9921877 '],"[' 4025993  (Analyzed', ' 3922123)']","[' 9111     (Average', ' 430.48 Last', ' 43217)']",[' 1587.6  '],"[' 843      (Average Length', ' 403.81 Splits', ' 0)']","[' 3922123  (Deleted', ' 3837144)']","[' 20       (Ratio', '   0.00%)']","[' 2125     (Ratio', '   0.05%)']","[' 3922123  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3922123  (Average', '  2.25 Max', ' 1774 Sum', ' 8805802)']","[' 3921915  (Average', '  2.22 Max', ' 1774 Sum', ' 8711169 Ratio', '  98.93%)']","[' 208      (Average', ' 454.97 Max', ' 620 Sum', '  94633 Ratio', '   1.07%)']", ,[' 43142   '],[' 2801    '],[' 43331   '],[' 23610   '],"[' 70826    (Atom=Atom', ' 21407 Body=Body', ' 12071 Other', ' 37348)']",[' Yes'],"[' 3590     (Eliminated', '    0 Frozen', ' 3590)']","[' 245      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.572952'],[' 0'], ,[' 157.878'],[' 0'],[' 2.64684'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.18485e+07'],[' 2.12288e+07'],[' 0'],[' 1.79901e+10'],[' 0'],[' 0'], , ,[' '],[' '],[' '],[' ']
Conflicts    ,TA42,[' 1575.2  '],"[' 789      (Average Length', ' 378.26 Splits', ' 0)']","[' 1180003  (Deleted', ' 1149297)']","[' 58       (Ratio', '   0.00%)']","[' 1137     (Ratio', '   0.10%)']","[' 1180003  (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1180003  (Average', '  2.12 Max', ' 1822 Sum', ' 2495969)']","[' 1179817  (Average', '  2.06 Max', ' 1822 Sum', ' 2431556 Ratio', '  97.42%)']","[' 186      (Average', ' 346.31 Max', ' 560 Sum', '  64413 Ratio', '   2.58%)']", ,[' 42655   '],[' 2698    '],[' 42788   '],[' 23107   '],"[' 69317    (Atom=Atom', ' 21007 Body=Body', ' 11968 Other', ' 36342)']",[' Yes'],"[' 3431     (Eliminated', '    0 Frozen', ' 3431)']","[' 65       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.569173'],[' 0'], ,[' 17.1662'],[' 0'],[' 0.419511'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26323e+07'],[' 9.11068e+06'],[' 0'],[' 1.69045e+09'],[' 0'],[' 0'], , , , , ,[' '],[' '],[' '],[' ']
,TA43,"[' 2754631  (Analyzed', ' 2674648)']","[' 6858     (Average', ' 390.00 Last', ' 770)']",[' 1520.6  '],"[' 809      (Average Length', ' 390.01 Splits', ' 0)']","[' 2674648  (Deleted', ' 2604353)']","[' 47       (Ratio', '   0.00%)']","[' 1898     (Ratio', '   0.07%)']","[' 2674648  (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2674648  (Average', '  2.21 Max', ' 1740 Sum', ' 5898315)']","[' 2674373  (Average', '  2.17 Max', ' 1740 Sum', ' 5806586 Ratio', '  98.44%)']","[' 275      (Average', ' 333.56 Max', ' 551 Sum', '  91729 Ratio', '   1.56%)']", ,[' 42906   '],[' 2778    '],[' 43076   '],[' 23101   '],"[' 69299    (Atom=Atom', ' 20921 Body=Body', ' 12048 Other', ' 36330)']",[' Yes'],"[' 3548     (Eliminated', '    0 Frozen', ' 3548)']","[' 261      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.565286'],[' 0'], ,[' 128.107'],[' 0'],[' 2.16477'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.23709e+07'],[' 1.44185e+07'],[' 0'],[' 1.61865e+10'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' ']
CPU Time     ,TA44,[' 15257908'],"[' 7184772  (Analyzed', ' 7125448)']","[' 14461    (Average', ' 492.74 Last', ' 66503)']",[' 1545.2  '],"[' 752      (Average Length', ' 362.85 Splits', ' 0)']","[' 7125448  (Deleted', ' 7015933)']","[' 26       (Ratio', '   0.00%)']","[' 2650     (Ratio', '   0.04%)']","[' 7125448  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7125448  (Average', '  1.99 Max', ' 1720 Sum', ' 14166745)']","[' 7125219  (Average', '  1.98 Max', ' 1720 Sum', ' 14104425 Ratio', '  99.56%)']","[' 229      (Average', ' 272.14 Max', ' 510 Sum', '  62320 Ratio', '   0.44%)']", ,[' 42726   '],[' 2782    '],[' 42822   '],[' 23138   '],"[' 69410    (Atom=Atom', ' 20954 Body=Body', ' 12052 Other', ' 36404)']",[' Yes'],"[' 3478     (Eliminated', '    0 Frozen', ' 3478)']","[' 361      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.568563'],[' 0'], ,[' 140.483'],[' 0'],[' 2.96256'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70461e+07'],[' 2.86417e+07'],[' 0'],[' 1.50011e+10'],[' 0'],[' 0'], , ,[' '],[' '],[' '],[' ']
,TA45,"[' 3310527  (Analyzed', ' 3206540)']","[' 7270     (Average', ' 441.06 Last', ' 119009)']",[' 1676.1  '],"[' 962      (Average Length', ' 465.12 Splits', ' 0)']","[' 3206540  (Deleted', ' 3134631)']","[' 47       (Ratio', '   0.00%)']","[' 1836     (Ratio', '   0.06%)']","[' 3206540  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3206540  (Average', '  2.18 Max', ' 1710 Sum', ' 6979117)']","[' 3206261  (Average', '  2.14 Max', ' 1710 Sum', ' 6867841 Ratio', '  98.41%)']","[' 279      (Average', ' 398.84 Max', ' 635 Sum', ' 111276 Ratio', '   1.59%)']", ,[' 43171   '],[' 2789    '],[' 43477   '],[' 23457   '],"[' 70367    (Atom=Atom', ' 21266 Body=Body', ' 12059 Other', ' 37042)']",[' Yes'],"[' 3695     (Eliminated', '    0 Frozen', ' 3695)']","[' 319      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.717361'],[' 0'], ,[' 105.896'],[' 0'],[' 1.81109'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.75889e+07'],[' 1.88504e+07'],[' 0'],[' 1.12356e+10'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' ']
CPU Time     ,TA46,[' 18180076'],"[' 7937810  (Analyzed', ' 7866020)']","[' 15216    (Average', ' 516.96 Last', ' 142208)']",[' 1559.1  '],"[' 865      (Average Length', ' 417.61 Splits', ' 0)']","[' 7866020  (Deleted', ' 7746684)']","[' 43       (Ratio', '   0.00%)']","[' 3592     (Ratio', '   0.05%)']","[' 7866020  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7866020  (Average', '  2.16 Max', ' 1681 Sum', ' 16979164)']","[' 7865774  (Average', '  2.15 Max', ' 1681 Sum', ' 16891700 Ratio', '  99.48%)']","[' 246      (Average', ' 355.54 Max', ' 564 Sum', '  87464 Ratio', '   0.52%)']", ,[' 43182   '],[' 2825    '],[' 43403   '],[' 23486   '],"[' 70454    (Atom=Atom', ' 21259 Body=Body', ' 12095 Other', ' 37100)']",[' Yes'],"[' 3646     (Eliminated', '    0 Frozen', ' 3646)']","[' 528      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.653331'],[' 0'], ,[' 146.443'],[' 0'],[' 3.07404'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.60437e+07'],[' 3.43407e+07'],[' 0'],[' 1.53067e+10'],[' 0'],[' 0'], , ,[' '],[' '],[' '],[' ']
,TA47,"[' 5846188  (Analyzed', ' 5752814)']","[' 11504    (Average', ' 500.07 Last', ' 131881)']",[' 1536.8  '],"[' 904      (Average Length', ' 427.97 Splits', ' 0)']","[' 5752814  (Deleted', ' 5639967)']","[' 34       (Ratio', '   0.00%)']","[' 1809     (Ratio', '   0.03%)']","[' 5752814  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5752814  (Average', '  1.97 Max', ' 1748 Sum', ' 11335722)']","[' 5752553  (Average', '  1.95 Max', ' 1748 Sum', ' 11231278 Ratio', '  99.08%)']","[' 261      (Average', ' 400.17 Max', ' 643 Sum', ' 104444 Ratio', '   0.92%)']", ,[' 43081   '],[' 2811    '],[' 43313   '],[' 23431   '],"[' 70289    (Atom=Atom', ' 21218 Body=Body', ' 12081 Other', ' 36990)']",[' Yes'],"[' 3643     (Eliminated', '    0 Frozen', ' 3643)']","[' 297      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.622103'],[' 0'], ,[' 90.0613'],[' 0'],[' 2.11383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.9447e+07'],[' 2.45539e+07'],[' 0'],[' 8.96742e+09'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' ']
Choices      ,TA48,"[' 8767     (Average', ' 507.77 Last', ' 144732)']",[' 1594.9  '],"[' 836      (Average Length', ' 394.96 Splits', ' 0)']","[' 4451596  (Deleted', ' 4377524)']","[' 53       (Ratio', '   0.00%)']","[' 2204     (Ratio', '   0.05%)']","[' 4451596  (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4451596  (Average', '  2.15 Max', ' 1678 Sum', ' 9592153)']","[' 4451377  (Average', '  2.14 Max', ' 1678 Sum', ' 9527189 Ratio', '  99.32%)']","[' 219      (Average', ' 296.64 Max', ' 559 Sum', '  64964 Ratio', '   0.68%)']", ,[' 42742   '],[' 2738    '],[' 42911   '],[' 23030   '],"[' 69086    (Atom=Atom', ' 20890 Body=Body', ' 12008 Other', ' 36188)']",[' Yes'],"[' 3507     (Eliminated', '    0 Frozen', ' 3507)']","[' 367      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.642457'],[' 0'], ,[' 40.0174'],[' 0'],[' 1.21941'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.58815e+07'],[' 2.29576e+07'],[' 0'],[' 2.55221e+09'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' ']
,TA49,"[' 6359214  (Analyzed', ' 6254336)']","[' 13437    (Average', ' 465.46 Last', ' 58307)']",[' 1619.5  '],"[' 875      (Average Length', ' 421.10 Splits', ' 0)']","[' 6254336  (Deleted', ' 6127684)']","[' 41       (Ratio', '   0.00%)']","[' 2409     (Ratio', '   0.04%)']","[' 6254336  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6254336  (Average', '  2.06 Max', ' 1858 Sum', ' 12871438)']","[' 6254117  (Average', '  2.05 Max', ' 1858 Sum', ' 12790258 Ratio', '  99.37%)']","[' 219      (Average', ' 370.68 Max', ' 618 Sum', '  81180 Ratio', '   0.63%)']", ,[' 43414   '],[' 2858    '],[' 43629   '],[' 23741   '],"[' 71219    (Atom=Atom', ' 21481 Body=Body', ' 12128 Other', ' 37610)']",[' Yes'],"[' 3673     (Eliminated', '    0 Frozen', ' 3673)']","[' 239      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.613779'],[' 0'], ,[' 138.199'],[' 0'],[' 2.79225'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.45829e+07'],[' 2.7788e+07'],[' 0'],[' 1.6346e+10'],[' 0'],[' 0'], , , ,[' '],[' '],[' '],[' ']
Choices      ,TA50,"[' 8279     (Average', ' 452.71 Last', ' 11114)']",[' 1549.0  '],"[' 868      (Average Length', ' 419.48 Splits', ' 0)']","[' 3747995  (Deleted', ' 3673314)']","[' 59       (Ratio', '   0.00%)']","[' 1801     (Ratio', '   0.05%)']","[' 3747995  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3747995  (Average', '  1.91 Max', ' 1785 Sum', ' 7173402)']","[' 3747806  (Average', '  1.89 Max', ' 1785 Sum', ' 7094420 Ratio', '  98.90%)']","[' 189      (Average', ' 417.89 Max', ' 644 Sum', '  78982 Ratio', '   1.10%)']", ,[' 42712   '],[' 2731    '],[' 42917   '],[' 23255   '],"[' 69761    (Atom=Atom', ' 21122 Body=Body', ' 12001 Other', ' 36638)']",[' Yes'],"[' 3536     (Eliminated', '    0 Frozen', ' 3536)']","[' 232      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.580875'],[' 0'], ,[' 115.477'],[' 0'],[' 1.97166'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.74977e+07'],[' 1.74583e+07'],[' 0'],[' 1.29136e+10'],[' 0'],[' 0'], , , , ,[' '],[' '],[' '],[' ']
