Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 is 1148,Completion Time for Window 2 is 2554,Completion Time for Window 3 is 3543,Completion Time for Window 4 is 4448,Completion Time for Window 5 is 5838,Completion Time for Window 6 is 7076,Completion Time for Window 7 is 8003
Solving...,TA71, ,[' 1'],[' 4493+'],[' 2254'],"[' 558.375s (Solving', ' 512.98s 1st Model', ' 48.48s Unsat', ' 0.00s)']",[' 554.609s'], ,[' 88649407'],"[' 4508081  (Analyzed', ' 4137897)']","[' 9245     (Average', ' 447.58 Last', ' 4002)']",[' 7624.6  '],"[' 2254     (Average Length', ' 1068.64 Splits', ' 0)']","[' 4137897  (Deleted', ' 4056815)']","[' 31       (Ratio', '   0.00%)']","[' 14153    (Ratio', '   0.34%)']","[' 4137897  (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4137897  (Average', ' 18.13 Max', ' 10714 Sum', ' 75018511)']","[' 4135904  (Average', ' 17.70 Max', ' 10714 Sum', ' 73226024 Ratio', '  97.61%)']","[' 1993     (Average', ' 899.39 Max', ' 1639 Sum', ' 1792487 Ratio', '   2.39%)']", ,[' 378224  '],[' 16357   '],[' 378353  '],[' 220922  '],"[' 662762   (Atom=Atom', ' 206563 Body=Body', ' 117257 Other', ' 338942)']",[' Yes'],"[' 18486    (Eliminated', '    0 Frozen', ' 18486)']","[' 2591     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.17876'],[' 0'], ,[' 417.577'],[' 0'],[' 8.81345'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.61516e+08'],[' 3.35852e+08'],[' 0'],[' 4.84807e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA72, ,[' 1'],[' 4493+'],[' 2254'],"[' 551.073s (Solving', ' 508.57s 1st Model', ' 46.42s Unsat', ' 0.00s)']",[' 548.406s'], ,[' 76650700'],"[' 5331408  (Analyzed', ' 4902195)']","[' 11182    (Average', ' 438.40 Last', ' 24533)']",[' 7795.3  '],"[' 2254     (Average Length', ' 1075.81 Splits', ' 0)']","[' 4902195  (Deleted', ' 4811911)']","[' 27       (Ratio', '   0.00%)']","[' 9055     (Ratio', '   0.18%)']","[' 4902195  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4902195  (Average', ' 12.77 Max', ' 10911 Sum', ' 62592531)']","[' 4900117  (Average', ' 12.41 Max', ' 10911 Sum', ' 60832661 Ratio', '  97.19%)']","[' 2078     (Average', ' 846.91 Max', ' 1709 Sum', ' 1759870 Ratio', '   2.81%)']", ,[' 375712  '],[' 16302   '],[' 375834  '],[' 220703  '],"[' 662105   (Atom=Atom', ' 206399 Body=Body', ' 117202 Other', ' 338504)']",[' Yes'],"[' 18424    (Eliminated', '    0 Frozen', ' 18424)']","[' 1957     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.56335'],[' 0'], ,[' 419.142'],[' 0'],[' 8.33883'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.39466e+08'],[' 3.1837e+08'],[' 0'],[' 4.6711e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA73, ,[' 1'],[' 4501+'],[' 2258'],"[' 561.338s (Solving', ' 516.54s 1st Model', ' 53.70s Unsat', ' 0.00s)']",[' 558.734s'], ,[' 83184282'],"[' 5236841  (Analyzed', ' 4809928)']","[' 10622    (Average', ' 452.83 Last', ' 11973)']",[' 7877.3  '],"[' 2258     (Average Length', ' 1066.24 Splits', ' 0)']","[' 4809928  (Deleted', ' 4727468)']","[' 27       (Ratio', '   0.00%)']","[' 9484     (Ratio', '   0.20%)']","[' 4809928  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4809928  (Average', ' 14.31 Max', ' 10590 Sum', ' 68821079)']","[' 4807742  (Average', ' 13.95 Max', ' 10590 Sum', ' 67101756 Ratio', '  97.50%)']","[' 2186     (Average', ' 786.52 Max', ' 1656 Sum', ' 1719323 Ratio', '   2.50%)']", ,[' 375168  '],[' 16050   '],[' 375268  '],[' 217605  '],"[' 652811   (Atom=Atom', ' 203553 Body=Body', ' 116950 Other', ' 332308)']",[' Yes'],"[' 18150    (Eliminated', '    0 Frozen', ' 18150)']","[' 1623     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.22784'],[' 0'], ,[' 428.491'],[' 0'],[' 8.30542'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.50812e+08'],[' 3.26889e+08'],[' 0'],[' 4.93097e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA74, ,[' 1'],[' 4511+'],[' 2263'],"[' 558.173s (Solving', ' 515.58s 1st Model', ' 52.37s Unsat', ' 0.00s)']",[' 555.922s'], ,[' 81422563'],"[' 4955820  (Analyzed', ' 4489119)']","[' 10167    (Average', ' 441.54 Last', ' 9867)']",[' 7585.9  '],"[' 2263     (Average Length', ' 1081.70 Splits', ' 0)']","[' 4489119  (Deleted', ' 4401339)']","[' 22       (Ratio', '   0.00%)']","[' 9789     (Ratio', '   0.22%)']","[' 4489119  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4489119  (Average', ' 15.19 Max', ' 10366 Sum', ' 68201116)']","[' 4486810  (Average', ' 14.71 Max', ' 10366 Sum', ' 66022526 Ratio', '  96.81%)']","[' 2309     (Average', ' 943.52 Max', ' 1685 Sum', ' 2178590 Ratio', '   3.19%)']", ,[' 372904  '],[' 15958   '],[' 373045  '],[' 217114  '],"[' 651338   (Atom=Atom', ' 203154 Body=Body', ' 116858 Other', ' 331326)']",[' Yes'],"[' 18099    (Eliminated', '    0 Frozen', ' 18099)']","[' 1430     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.80516'],[' 0'], ,[' 424.022'],[' 0'],[' 8.84281'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.5969e+08'],[' 3.38737e+08'],[' 0'],[' 4.82374e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA75, ,[' 1'],[' 4209+'],[' 2112'],"[' 524.741s (Solving', ' 489.79s 1st Model', ' 36.47s Unsat', ' 0.00s)']",[' 523.516s'], ,[' 75679290'],"[' 4752559  (Analyzed', ' 4250443)']","[' 9793     (Average', ' 434.03 Last', ' 1932)']",[' 6790.2  '],"[' 2112     (Average Length', ' 994.95 Splits', ' 0)']","[' 4250443  (Deleted', ' 4164525)']","[' 23       (Ratio', '   0.00%)']","[' 10764    (Ratio', '   0.25%)']","[' 4250443  (Average Length', '   20.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4250443  (Average', ' 15.47 Max', ' 9731 Sum', ' 65748009)']","[' 4247447  (Average', ' 14.75 Max', ' 9731 Sum', ' 62683024 Ratio', '  95.34%)']","[' 2996     (Average', ' 1023.03 Max', ' 1629 Sum', ' 3064985 Ratio', '   4.66%)']", ,[' 375395  '],[' 16259   '],[' 375391  '],[' 216600  '],"[' 649796   (Atom=Atom', ' 202339 Body=Body', ' 117159 Other', ' 330298)']",[' Yes'],"[' 18255    (Eliminated', '    0 Frozen', ' 18255)']","[' 2008     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.0443'],[' 0'], ,[' 415.081'],[' 0'],[' 7.46775'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.08875e+08'],[' 2.87407e+08'],[' 0'],[' 5.08963e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA76, ,[' 1'],[' 4621+'],[' 2318'],"[' 546.435s (Solving', ' 503.53s 1st Model', ' 42.65s Unsat', ' 0.00s)']",[' 542.922s'], ,[' 73983779'],"[' 4781299  (Analyzed', ' 4395403)']","[' 9579     (Average', ' 458.86 Last', ' 5721)']",[' 7427.2  '],"[' 2318     (Average Length', ' 1091.28 Splits', ' 0)']","[' 4395403  (Deleted', ' 4312849)']","[' 14       (Ratio', '   0.00%)']","[' 9050     (Ratio', '   0.21%)']","[' 4395403  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4395403  (Average', ' 13.88 Max', ' 10485 Sum', ' 61003955)']","[' 4393106  (Average', ' 13.35 Max', ' 10485 Sum', ' 58687495 Ratio', '  96.20%)']","[' 2297     (Average', ' 1008.47 Max', ' 1792 Sum', ' 2316460 Ratio', '   3.80%)']", ,[' 373973  '],[' 16002   '],[' 374117  '],[' 217471  '],"[' 652409   (Atom=Atom', ' 203467 Body=Body', ' 116902 Other', ' 332040)']",[' Yes'],"[' 18146    (Eliminated', '    0 Frozen', ' 18146)']","[' 1826     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.67159'],[' 0'], ,[' 417.174'],[' 0'],[' 8.30155'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.18174e+08'],[' 2.97442e+08'],[' 0'],[' 4.73235e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA77, ,[' 1'],[' 4613+'],[' 2314'],"[' 542.582s (Solving', ' 501.61s 1st Model', ' 39.91s Unsat', ' 0.00s)']",[' 539.438s'], ,[' 77993005'],"[' 5033475  (Analyzed', ' 4474071)']","[' 10065    (Average', ' 444.52 Last', ' 9883)']",[' 7640.2  '],"[' 2314     (Average Length', ' 1090.95 Splits', ' 0)']","[' 4474071  (Deleted', ' 4386957)']","[' 17       (Ratio', '   0.00%)']","[' 8603     (Ratio', '   0.19%)']","[' 4474071  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4474071  (Average', ' 14.50 Max', ' 10433 Sum', ' 64883883)']","[' 4471572  (Average', ' 13.87 Max', ' 10433 Sum', ' 62049891 Ratio', '  95.63%)']","[' 2499     (Average', ' 1134.05 Max', ' 1841 Sum', ' 2833992 Ratio', '   4.37%)']", ,[' 373455  '],[' 16035   '],[' 373599  '],[' 218932  '],"[' 656792   (Atom=Atom', ' 204895 Body=Body', ' 116935 Other', ' 334962)']",[' Yes'],"[' 18179    (Eliminated', '    0 Frozen', ' 18179)']","[' 1578     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.46398'],[' 0'], ,[' 414.826'],[' 0'],[' 7.91165'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.36276e+08'],[' 3.14853e+08'],[' 0'],[' 4.91361e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA78, ,[' 1'],[' 4137+'],[' 2076'],"[' 531.849s (Solving', ' 495.44s 1st Model', ' 40.06s Unsat', ' 0.00s)']",[' 530.406s'], ,[' 77145163'],"[' 5761192  (Analyzed', ' 5267462)']","[' 12030    (Average', ' 437.86 Last', ' 14460)']",[' 7592.2  '],"[' 2076     (Average Length', ' 993.30 Splits', ' 0)']","[' 5267462  (Deleted', ' 5170899)']","[' 16       (Ratio', '   0.00%)']","[' 9370     (Ratio', '   0.18%)']","[' 5267462  (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5267462  (Average', ' 12.25 Max', ' 10898 Sum', ' 64528004)']","[' 5265412  (Average', ' 11.90 Max', ' 10898 Sum', ' 62674933 Ratio', '  97.13%)']","[' 2050     (Average', ' 903.94 Max', ' 1624 Sum', ' 1853071 Ratio', '   2.87%)']", ,[' 374553  '],[' 16160   '],[' 374522  '],[' 220413  '],"[' 661235   (Atom=Atom', ' 206251 Body=Body', ' 117060 Other', ' 337924)']",[' Yes'],"[' 18129    (Eliminated', '    0 Frozen', ' 18129)']","[' 1941     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.45989'],[' 0'], ,[' 413.326'],[' 0'],[' 7.8624'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.30697e+08'],[' 3.08979e+08'],[' 0'],[' 4.98405e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA79, ,[' 1'],[' 4971+'],[' 2493'],"[' 548.715s (Solving', ' 506.02s 1st Model', ' 43.95s Unsat', ' 0.00s)']",[' 546.422s'], ,[' 71579663'],"[' 4982941  (Analyzed', ' 4504033)']","[' 9841     (Average', ' 457.68 Last', ' 12304)']",[' 7258.7  '],"[' 2493     (Average Length', ' 1172.43 Splits', ' 0)']","[' 4504033  (Deleted', ' 4419139)']","[' 27       (Ratio', '   0.00%)']","[' 9954     (Ratio', '   0.22%)']","[' 4504033  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4504033  (Average', ' 12.79 Max', ' 10573 Sum', ' 57627647)']","[' 4501970  (Average', ' 12.37 Max', ' 10573 Sum', ' 55705512 Ratio', '  96.66%)']","[' 2063     (Average', ' 931.72 Max', ' 1918 Sum', ' 1922135 Ratio', '   3.34%)']", ,[' 373306  '],[' 16007   '],[' 373617  '],[' 216711  '],"[' 650129   (Atom=Atom', ' 202702 Body=Body', ' 116907 Other', ' 330520)']",[' Yes'],"[' 18318    (Eliminated', '    0 Frozen', ' 18318)']","[' 1878     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.79345'],[' 0'], ,[' 421.59'],[' 0'],[' 7.58501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.20851e+08'],[' 2.99859e+08'],[' 0'],[' 5.0061e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
Solving...,TA80, ,[' 1'],[' 4137+'],[' 2076'],"[' 694.408s (Solving', ' 611.36s 1st Model', ' 101.36s Unsat', ' 0.00s)']",[' 684.609s'], ,[' 80238984'],"[' 4392986  (Analyzed', ' 3919798)']","[' 8410     (Average', ' 466.09 Last', ' 10222)']",[' 7279.5  '],"[' 2076     (Average Length', ' 988.30 Splits', ' 0)']","[' 3919798  (Deleted', ' 3839228)']","[' 26       (Ratio', '   0.00%)']","[' 11554    (Ratio', '   0.29%)']","[' 3919798  (Average Length', '   22.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3919798  (Average', ' 17.48 Max', ' 10644 Sum', ' 68502042)']","[' 3917286  (Average', ' 16.96 Max', ' 10644 Sum', ' 66475180 Ratio', '  97.04%)']","[' 2512     (Average', ' 806.87 Max', ' 1543 Sum', ' 2026862 Ratio', '   2.96%)']", ,[' 374902  '],[' 16476   '],[' 374859  '],[' 218105  '],"[' 654311   (Atom=Atom', ' 203627 Body=Body', ' 117376 Other', ' 333308)']",[' Yes'],"[' 18433    (Eliminated', '    0 Frozen', ' 18433)']","[' 2123     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.0043'],[' 0'], ,[' 458.621'],[' 0'],[' 12.2656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.21741e+08'],[' 2.99816e+08'],[' 0'],[' 2.96052e+10'],[' 0'],[' 0'],[' '],[' '],[' '],[' '],[' '],[' '],[' ']
