Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 
Solving...,TA61, , ,[' 805'],[' 412'],"[' 195.902s (Solving', ' 193.01s 1st Model', ' 1.23s Unsat', ' 8.66s)']",[' 195.047s'], ,[' 8178307 '],"[' 4763002  (Analyzed', ' 4747927)']","[' 10717    (Average', ' 443.03 Last', ' 20085)']",[' 1590.0  '],"[' 412      (Average Length', ' 199.40 Splits', ' 0)']","[' 4747927  (Deleted', ' 4668391)']","[' 57       (Ratio', '   0.00%)']","[' 1848     (Ratio', '   0.04%)']","[' 4747927  (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4747927  (Average', '  1.57 Max', ' 2399 Sum', ' 7472640)']","[' 4747748  (Average', '  1.57 Max', ' 2399 Sum', ' 7450765 Ratio', '  99.71%)']","[' 179      (Average', ' 122.21 Max', ' 338 Sum', '  21875 Ratio', '   0.29%)']", ,[' 98761   '],[' 3678    '],[' 98158   '],[' 55801   '],"[' 167399   (Atom=Atom', ' 53121 Body=Body', ' 29128 Other', ' 85150)']",[' Yes'],"[' 4075     (Eliminated', '    0 Frozen', ' 4075)']","[' 193      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.726139'],[' 0'], ,[' 160.612'],[' 0'],[' 2.98979'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.82047e+07'],[' 1.67018e+07'],[' 0'],[' 2.01504e+10'],[' 0'],[' 0'],[' 525 '],[' 1048 '],[' 1459 '],[' 2108 '],[' 2415 '],[' 2857 '],[' 3348 '],[' 3987 '],[' 4399 ']
Solving...,TA62, , ,[' 1187'],[' 603'],"[' 220.833s (Solving', ' 217.00s 1st Model', ' 1.73s Unsat', ' 30.88s)']",[' 220.016s'], ,[' 13699376'],"[' 8381623  (Analyzed', ' 8353760)']","[' 17771    (Average', ' 470.08 Last', ' 969)']",[' 1680.4  '],"[' 603      (Average Length', ' 291.23 Splits', ' 0)']","[' 8353760  (Deleted', ' 8217839)']","[' 61       (Ratio', '   0.00%)']","[' 1756     (Ratio', '   0.02%)']","[' 8353760  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8353760  (Average', '  1.52 Max', ' 2406 Sum', ' 12677477)']","[' 8353539  (Average', '  1.51 Max', ' 2406 Sum', ' 12623607 Ratio', '  99.58%)']","[' 221      (Average', ' 243.76 Max', ' 506 Sum', '  53870 Ratio', '   0.42%)']", ,[' 100603  '],[' 3754    '],[' 100180  '],[' 56980   '],"[' 170936   (Atom=Atom', ' 54224 Body=Body', ' 29204 Other', ' 87508)']",[' Yes'],"[' 4331     (Eliminated', '    0 Frozen', ' 4331)']","[' 162      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.934206'],[' 0'], ,[' 158.027'],[' 0'],[' 3.27443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.56235e+07'],[' 2.66329e+07'],[' 0'],[' 1.96098e+10'],[' 0'],[' 0'],[' 570 '],[' 1065 '],[' 1587 '],[' 1961 '],[' 2328 '],[' 2775 '],[' 3192 '],[' 3807 '],[' 4246 ']
Solving...,TA63, , ,[' 825'],[' 422'],"[' 245.677s (Solving', ' 242.92s 1st Model', ' 1.08s Unsat', ' 58.93s)']",[' 245.266s'], ,[' 10823993'],"[' 7318500  (Analyzed', ' 7296721)']","[' 15257    (Average', ' 478.25 Last', ' 35812)']",[' 1541.8  '],"[' 422      (Average Length', ' 205.70 Splits', ' 0)']","[' 7296721  (Deleted', ' 7183762)']","[' 83       (Ratio', '   0.00%)']","[' 2050     (Ratio', '   0.03%)']","[' 7296721  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7296721  (Average', '  1.39 Max', ' 2352 Sum', ' 10119889)']","[' 7296514  (Average', '  1.38 Max', ' 2352 Sum', ' 10087455 Ratio', '  99.68%)']","[' 207      (Average', ' 156.69 Max', ' 337 Sum', '  32434 Ratio', '   0.32%)']", ,[' 98621   '],[' 3683    '],[' 98031   '],[' 55822   '],"[' 167462   (Atom=Atom', ' 53137 Body=Body', ' 29133 Other', ' 85192)']",[' Yes'],"[' 4093     (Eliminated', '    0 Frozen', ' 4093)']","[' 158      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.670897'],[' 0'], ,[' 192.538'],[' 0'],[' 3.40478'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.6031e+07'],[' 1.93908e+07'],[' 0'],[' 2.81395e+10'],[' 0'],[' 0'],[' 585 '],[' 960 '],[' 1526 '],[' 1939 '],[' 2380 '],[' 2866 '],[' 3558 '],[' 4246 '],[' 4654 ']
Solving...,TA64, , ,[' 1085'],[' 552'],"[' 252.350s (Solving', ' 248.70s 1st Model', ' 1.60s Unsat', ' 62.85s)']",[' 251.859s'], ,[' 11835766'],"[' 7850674  (Analyzed', ' 7826276)']","[' 17121    (Average', ' 457.12 Last', ' 55965)']",[' 1773.5  '],"[' 552      (Average Length', ' 268.68 Splits', ' 0)']","[' 7826276  (Deleted', ' 7695090)']","[' 70       (Ratio', '   0.00%)']","[' 1603     (Ratio', '   0.02%)']","[' 7826276  (Average Length', '   10.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7826276  (Average', '  1.38 Max', ' 2323 Sum', ' 10818874)']","[' 7826085  (Average', '  1.38 Max', ' 2323 Sum', ' 10785541 Ratio', '  99.69%)']","[' 191      (Average', ' 174.52 Max', ' 446 Sum', '  33333 Ratio', '   0.31%)']", ,[' 98609   '],[' 3668    '],[' 98143   '],[' 56199   '],"[' 168593   (Atom=Atom', ' 53529 Body=Body', ' 29118 Other', ' 85946)']",[' Yes'],"[' 4202     (Eliminated', '    0 Frozen', ' 4202)']","[' 163      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.924798'],[' 0'], ,[' 194.697'],[' 0'],[' 3.95544'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.09853e+07'],[' 2.27348e+07'],[' 0'],[' 2.68394e+10'],[' 0'],[' 0'],[' 627 '],[' 1032 '],[' 1386 '],[' 1981 '],[' 2419 '],[' 2824 '],[' 3471 '],[' 3855 '],[' 4241 ']
Solving...,TA65, , ,[' 911'],[' 465'],"[' 288.953s (Solving', ' 285.76s 1st Model', ' 1.45s Unsat', ' 100.26s)']",[' 288.016s'], ,[' 9693361 '],"[' 5897264  (Analyzed', ' 5819089)']","[' 13682    (Average', ' 425.31 Last', ' 53864)']",[' 1749.6  '],"[' 465      (Average Length', ' 225.82 Splits', ' 0)']","[' 5819089  (Deleted', ' 5708577)']","[' 70       (Ratio', '   0.00%)']","[' 2432     (Ratio', '   0.04%)']","[' 5819089  (Average Length', '   11.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5819089  (Average', '  1.51 Max', ' 2418 Sum', ' 8783187)']","[' 5818923  (Average', '  1.51 Max', ' 2418 Sum', ' 8763680 Ratio', '  99.78%)']","[' 166      (Average', ' 117.51 Max', ' 436 Sum', '  19507 Ratio', '   0.22%)']", ,[' 98721   '],[' 3764    '],[' 98170   '],[' 56688   '],"[' 170060   (Atom=Atom', ' 53922 Body=Body', ' 29214 Other', ' 86924)']",[' Yes'],"[' 4213     (Eliminated', '    0 Frozen', ' 4213)']","[' 234      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.803006'],[' 0'], ,[' 240.946'],[' 0'],[' 4.31608'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.64072e+07'],[' 2.27206e+07'],[' 0'],[' 3.37635e+10'],[' 0'],[' 0'],[' 499 '],[' 1028 '],[' 1395 '],[' 1801 '],[' 2417 '],[' 2849 '],[' 3359 '],[' 3872 '],[' 4235 ']
Solving...,TA66, , ,[' 1045'],[' 532'],"[' 258.492s (Solving', ' 255.13s 1st Model', ' 1.44s Unsat', ' 9.67s)']",[' 257.609s'], ,[' 10225477'],"[' 6157313  (Analyzed', ' 6100262)']","[' 13950    (Average', ' 437.29 Last', ' 23745)']",[' 1664.8  '],"[' 532      (Average Length', ' 257.64 Splits', ' 0)']","[' 6100262  (Deleted', ' 5992093)']","[' 57       (Ratio', '   0.00%)']","[' 1966     (Ratio', '   0.03%)']","[' 6100262  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6100262  (Average', '  1.53 Max', ' 2357 Sum', ' 9318399)']","[' 6100013  (Average', '  1.52 Max', ' 2357 Sum', ' 9257352 Ratio', '  99.34%)']","[' 249      (Average', ' 245.17 Max', ' 431 Sum', '  61047 Ratio', '   0.66%)']", ,[' 99794   '],[' 3750    '],[' 99308   '],[' 56413   '],"[' 169235   (Atom=Atom', ' 53661 Body=Body', ' 29200 Other', ' 86374)']",[' Yes'],"[' 4264     (Eliminated', '    0 Frozen', ' 4264)']","[' 286      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.834058'],[' 0'], ,[' 211.806'],[' 0'],[' 3.95288'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.66976e+07'],[' 2.25098e+07'],[' 0'],[' 2.89746e+10'],[' 0'],[' 0'],[' 588 '],[' 1157 '],[' 1470 '],[' 2062 '],[' 2537 '],[' 2972 '],[' 3417 '],[' 4002 '],[' 4490 ']
Solving...,TA67, , ,[' 881'],[' 450'],"[' 314.296s (Solving', ' 311.11s 1st Model', ' 1.37s Unsat', ' 6.19s)']",[' 313.078s'], ,[' 19023563'],"[' 12084941 (Analyzed', ' 12064560)']","[' 25585    (Average', ' 471.55 Last', ' 37561)']",[' 1811.2  '],"[' 450      (Average Length', ' 218.31 Splits', ' 0)']","[' 12064560 (Deleted', ' 11895026)']","[' 51       (Ratio', '   0.00%)']","[' 2197     (Ratio', '   0.02%)']","[' 12064560 (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12064560 (Average', '  1.49 Max', ' 2509 Sum', ' 17920649)']","[' 12064428 (Average', '  1.48 Max', ' 2509 Sum', ' 17908662 Ratio', '  99.93%)']","[' 132      (Average', ' 90.81 Max', ' 251 Sum', '  11987 Ratio', '   0.07%)']", ,[' 100007  '],[' 3771    '],[' 99443   '],[' 57384   '],"[' 172148   (Atom=Atom', ' 54611 Body=Body', ' 29221 Other', ' 88316)']",[' Yes'],"[' 4207     (Eliminated', '    0 Frozen', ' 4207)']","[' 175      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.809362'],[' 0'], ,[' 237.459'],[' 0'],[' 4.94404'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.6375e+07'],[' 2.87074e+07'],[' 0'],[' 2.82267e+10'],[' 0'],[' 0'],[' 683 '],[' 1291 '],[' 1879 '],[' 2318 '],[' 2842 '],[' 3414 '],[' 3760 '],[' 4206 '],[' 4664 ']
Solving...,TA68, , ,[' 1029'],[' 524'],"[' 145.041s (Solving', ' 141.65s 1st Model', ' 1.53s Unsat', ' 15.70s)']",[' 144.484s'], ,[' 4919700 '],"[' 2585725  (Analyzed', ' 2495114)']","[' 6343     (Average', ' 393.36 Last', ' 5970)']",[' 1719.3  '],"[' 524      (Average Length', ' 255.02 Splits', ' 0)']","[' 2495114  (Deleted', ' 2445927)']","[' 70       (Ratio', '   0.00%)']","[' 1512     (Ratio', '   0.06%)']","[' 2495114  (Average Length', '   11.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2495114  (Average', '  1.61 Max', ' 2355 Sum', ' 4016032)']","[' 2494965  (Average', '  1.60 Max', ' 2355 Sum', ' 3993103 Ratio', '  99.43%)']","[' 149      (Average', ' 153.89 Max', ' 425 Sum', '  22929 Ratio', '   0.57%)']", ,[' 98046   '],[' 3631    '],[' 97552   '],[' 55592   '],"[' 166772   (Atom=Atom', ' 52959 Body=Body', ' 29081 Other', ' 84732)']",[' Yes'],"[' 4137     (Eliminated', '    0 Frozen', ' 4137)']","[' 127      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.857107'],[' 0'], ,[' 121.323'],[' 0'],[' 2.14436'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24634e+07'],[' 1.62459e+07'],[' 0'],[' 1.73836e+10'],[' 0'],[' 0'],[' 432 '],[' 891 '],[' 1459 '],[' 1955 '],[' 2314 '],[' 2830 '],[' 3321 '],[' 3692 '],[' 4146 ']
Solving...,TA69, , ,[' 995'],[' 507'],"[' 253.693s (Solving', ' 250.08s 1st Model', ' 1.53s Unsat', ' 64.44s)']",[' 252.578s'], ,[' 15271476'],"[' 9834630  (Analyzed', ' 9817703)']","[' 21038    (Average', ' 466.67 Last', ' 8268)']",[' 1769.3  '],"[' 507      (Average Length', ' 246.84 Splits', ' 0)']","[' 9817703  (Deleted', ' 9671428)']","[' 70       (Ratio', '   0.00%)']","[' 1929     (Ratio', '   0.02%)']","[' 9817703  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9817703  (Average', '  1.45 Max', ' 2396 Sum', ' 14282581)']","[' 9817497  (Average', '  1.45 Max', ' 2396 Sum', ' 14260751 Ratio', '  99.85%)']","[' 206      (Average', ' 105.97 Max', ' 386 Sum', '  21830 Ratio', '   0.15%)']", ,[' 98387   '],[' 3682    '],[' 97881   '],[' 55372   '],"[' 166112   (Atom=Atom', ' 52688 Body=Body', ' 29132 Other', ' 84292)']",[' Yes'],"[' 4176     (Eliminated', '    0 Frozen', ' 4176)']","[' 117      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.91601'],[' 0'], ,[' 184.917'],[' 0'],[' 3.98708'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.94637e+07'],[' 2.66636e+07'],[' 0'],[' 2.30436e+10'],[' 0'],[' 0'],[' 622 '],[' 1162 '],[' 1541 '],[' 2139 '],[' 2517 '],[' 3210 '],[' 3578 '],[' 4104 '],[' 4551 ']
Solving...,TA70, , ,[' 821'],[' 420'],"[' 261.368s (Solving', ' 258.73s 1st Model', ' 1.08s Unsat', ' 74.74s)']",[' 260.703s'], ,[' 7491472 '],"[' 4723843  (Analyzed', ' 4680532)']","[' 10922    (Average', ' 428.54 Last', ' 22199)']",[' 1517.5  '],"[' 420      (Average Length', ' 203.10 Splits', ' 0)']","[' 4680532  (Deleted', ' 4598685)']","[' 68       (Ratio', '   0.00%)']","[' 1973     (Ratio', '   0.04%)']","[' 4680532  (Average Length', '   10.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4680532  (Average', '  1.45 Max', ' 2447 Sum', ' 6794703)']","[' 4680364  (Average', '  1.45 Max', ' 2447 Sum', ' 6769701 Ratio', '  99.63%)']","[' 168      (Average', ' 148.82 Max', ' 353 Sum', '  25002 Ratio', '   0.37%)']", ,[' 99551   '],[' 3748    '],[' 98953   '],[' 56459   '],"[' 169373   (Atom=Atom', ' 53709 Body=Body', ' 29198 Other', ' 86466)']",[' Yes'],"[' 4150     (Eliminated', '    0 Frozen', ' 4150)']","[' 146      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.649678'],[' 0'], ,[' 225.121'],[' 0'],[' 3.68421'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.58571e+07'],[' 1.50472e+07'],[' 0'],[' 3.34738e+10'],[' 0'],[' 0'],[' 499 '],[' 964 '],[' 1469 '],[' 1920 '],[' 2556 '],[' 3013 '],[' 3509 '],[' 3926 '],[' 4512 ']
