Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
Solving...,TA51, , ,[' 285'],[' 153'],"[' 181.766s (Solving', ' 180.69s 1st Model', ' 0.24s Unsat', ' 59.38s)']",[' 181.313s'], ,[' 6764730 '],"[' 4427950  (Analyzed', ' 4390077)']","[' 10099    (Average', ' 434.70 Last', ' 2790)']",[' 1122.2  '],"[' 153      (Average Length', ' 71.12 Splits', ' 0)']","[' 4390077  (Deleted', ' 4324566)']","[' 99       (Ratio', '   0.00%)']","[' 1836     (Ratio', '   0.04%)']","[' 4390077  (Average Length', '   11.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4390077  (Average', '  1.47 Max', ' 1718 Sum', ' 6446801)']","[' 4389958  (Average', '  1.47 Max', ' 1718 Sum', ' 6444698 Ratio', '  99.97%)']","[' 119      (Average', ' 17.67 Max', ' 276 Sum', '   2103 Ratio', '   0.03%)']", ,[' 73241   '],[' 2618    '],[' 72633   '],[' 42278   '],"[' 126830   (Atom=Atom', ' 40408 Body=Body', ' 21693 Other', ' 64729)']",[' Yes'],"[' 2760     (Eliminated', '    0 Frozen', ' 2760)']","[' 31       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.267193'],[' 0'], ,[' 154.087'],[' 0'],[' 2.19992'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.14548e+07'],[' 1.12078e+07'],[' 0'],[' 2.4526e+10'],[' 0'],[' 0'],[' 446 '],[' 841 '],[' 1326 '],[' 1606 '],[' 1910 '],[' 2558 '],[' 3008 '],[' 3289 '],[' 3803 '],[' 4269 ']
Solving...,TA52, , ,[' 351'],[' 186'],"[' 159.812s (Solving', ' 158.47s 1st Model', ' 0.53s Unsat', ' 96.88s)']",[' 159.359s'], ,[' 7213509 '],"[' 5492291  (Analyzed', ' 5485374)']","[' 13052    (Average', ' 420.27 Last', ' 8176)']",[' 1302.6  '],"[' 186      (Average Length', ' 86.50 Splits', ' 0)']","[' 5485374  (Deleted', ' 5391166)']","[' 131      (Ratio', '   0.00%)']","[' 2316     (Ratio', '   0.04%)']","[' 5485374  (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5485374  (Average', '  1.25 Max', ' 1656 Sum', ' 6868637)']","[' 5485212  (Average', '  1.25 Max', ' 1656 Sum', ' 6865587 Ratio', '  99.96%)']","[' 162      (Average', ' 18.83 Max', ' 130 Sum', '   3050 Ratio', '   0.04%)']", ,[' 74441   '],[' 2647    '],[' 73862   '],[' 42856   '],"[' 128564   (Atom=Atom', ' 40957 Body=Body', ' 21722 Other', ' 65885)']",[' Yes'],"[' 2818     (Eliminated', '    0 Frozen', ' 2818)']","[' 53       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.335556'],[' 0'], ,[' 124.877'],[' 0'],[' 2.31101'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.29153e+07'],[' 1.06109e+07'],[' 0'],[' 2.01622e+10'],[' 0'],[' 0'],[' 557 '],[' 964 '],[' 1381 '],[' 1748 '],[' 2115 '],[' 2531 '],[' 2979 '],[' 3486 '],[' 3852 '],[' 4126 ']
Solving...,TA53, , ,[' 325'],[' 173'],"[' 136.770s (Solving', ' 135.42s 1st Model', ' 0.28s Unsat', ' 14.12s)']",[' 136.563s'], ,[' 7846371 '],"[' 5573972  (Analyzed', ' 5563721)']","[' 10753    (Average', ' 517.41 Last', ' 506159)']",[' 1184.1  '],"[' 173      (Average Length', ' 79.62 Splits', ' 0)']","[' 5563721  (Deleted', ' 5475789)']","[' 86       (Ratio', '   0.00%)']","[' 1717     (Ratio', '   0.03%)']","[' 5563721  (Average Length', '   11.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5563721  (Average', '  1.35 Max', ' 1601 Sum', ' 7493728)']","[' 5563567  (Average', '  1.35 Max', ' 1601 Sum', ' 7489518 Ratio', '  99.94%)']","[' 154      (Average', ' 27.34 Max', ' 103 Sum', '   4210 Ratio', '   0.06%)']", ,[' 71948   '],[' 2578    '],[' 71359   '],[' 41356   '],"[' 124064   (Atom=Atom', ' 39526 Body=Body', ' 21653 Other', ' 62885)']",[' Yes'],"[' 2739     (Eliminated', '    0 Frozen', ' 2739)']","[' 106      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.308853'],[' 0'], ,[' 104.937'],[' 0'],[' 2.15461'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.28608e+07'],[' 1.06472e+07'],[' 0'],[' 1.66619e+10'],[' 0'],[' 0'],[' 423 '],[' 1150 '],[' 1503 '],[' 1852 '],[' 2130 '],[' 2601 '],[' 2946 '],[' 3395 '],[' 3733 '],[' 4169 ']
Solving...,TA54, , ,[' 395'],[' 208'],"[' 129.016s (Solving', ' 127.63s 1st Model', ' 0.43s Unsat', ' 6.18s)']",[' 128.781s'], ,[' 3619201 '],"[' 2289107  (Analyzed', ' 2270238)']","[' 5617     (Average', ' 404.17 Last', ' 1242)']",[' 1075.1  '],"[' 208      (Average Length', ' 98.40 Splits', ' 0)']","[' 2270238  (Deleted', ' 2229901)']","[' 101      (Ratio', '   0.00%)']","[' 1596     (Ratio', '   0.07%)']","[' 2270238  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2270238  (Average', '  1.47 Max', ' 1654 Sum', ' 3344045)']","[' 2270115  (Average', '  1.47 Max', ' 1654 Sum', ' 3341006 Ratio', '  99.91%)']","[' 123      (Average', ' 24.71 Max', ' 155 Sum', '   3039 Ratio', '   0.09%)']", ,[' 73345   '],[' 2544    '],[' 72791   '],[' 41469   '],"[' 124403   (Atom=Atom', ' 39673 Body=Body', ' 21619 Other', ' 63111)']",[' Yes'],"[' 2740     (Eliminated', '    0 Frozen', ' 2740)']","[' 45       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.314454'],[' 0'], ,[' 111.968'],[' 0'],[' 1.86472'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27294e+07'],[' 7.41932e+06'],[' 0'],[' 1.97765e+10'],[' 0'],[' 0'],[' 445 '],[' 883 '],[' 1221 '],[' 1596 '],[' 1981 '],[' 2311 '],[' 2641 '],[' 3258 '],[' 3665 '],[' 4024 ']
Solving...,TA55, , ,[' 325'],[' 173'],"[' 141.108s (Solving', ' 139.90s 1st Model', ' 0.36s Unsat', ' 18.43s)']",[' 140.922s'], ,[' 10461682'],"[' 8002902  (Analyzed', ' 7977901)']","[' 17067    (Average', ' 467.45 Last', ' 19794)']",[' 1156.4  '],"[' 173      (Average Length', ' 80.14 Splits', ' 0)']","[' 7977901  (Deleted', ' 7864020)']","[' 86       (Ratio', '   0.00%)']","[' 1505     (Ratio', '   0.02%)']","[' 7977901  (Average Length', '   10.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7977901  (Average', '  1.26 Max', ' 1682 Sum', ' 10050845)']","[' 7977765  (Average', '  1.26 Max', ' 1682 Sum', ' 10046616 Ratio', '  99.96%)']","[' 136      (Average', ' 31.10 Max', ' 113 Sum', '   4229 Ratio', '   0.04%)']", ,[' 73619   '],[' 2623    '],[' 73030   '],[' 42269   '],"[' 126803   (Atom=Atom', ' 40394 Body=Body', ' 21698 Other', ' 64711)']",[' Yes'],"[' 2784     (Eliminated', '    0 Frozen', ' 2784)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.300562'],[' 0'], ,[' 94.9749'],[' 0'],[' 2.0161'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.07514e+07'],[' 1.3006e+07'],[' 0'],[' 1.38459e+10'],[' 0'],[' 0'],[' 643 '],[' 924 '],[' 1409 '],[' 1884 '],[' 2265 '],[' 2666 '],[' 3092 '],[' 3499 '],[' 4037 '],[' 4388 ']
Solving...,TA56, ,[' 1'],[' 319+'],[' 170'],"[' 132.585s (Solving', ' 131.46s 1st Model', ' 0.36s Unsat', ' 9.80s)']",[' 132.188s'], ,[' 5023942 '],"[' 3622036  (Analyzed', ' 3578674)']","[' 8043     (Average', ' 444.94 Last', ' 107359)']",[' 1189.0  '],"[' 170      (Average Length', ' 79.10 Splits', ' 0)']","[' 3578674  (Deleted', ' 3524642)']","[' 125      (Ratio', '   0.00%)']","[' 1573     (Ratio', '   0.04%)']","[' 3578674  (Average Length', '   10.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3578674  (Average', '  1.32 Max', ' 1699 Sum', ' 4715649)']","[' 3578527  (Average', '  1.32 Max', ' 1699 Sum', ' 4713586 Ratio', '  99.96%)']","[' 147      (Average', ' 14.03 Max', ' 128 Sum', '   2063 Ratio', '   0.04%)']", ,[' 72974   '],[' 2571    '],[' 72383   '],[' 41572   '],"[' 124712   (Atom=Atom', ' 39749 Body=Body', ' 21646 Other', ' 63317)']",[' Yes'],"[' 2730     (Eliminated', '    0 Frozen', ' 2730)']","[' 4        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.285163'],[' 0'], ,[' 110.75'],[' 0'],[' 1.95764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.64233e+07'],[' 8.14558e+06'],[' 0'],[' 1.95926e+10'],[' 0'],[' 0'],[' 586 '],[' 1056 '],[' 1435 '],[' 1820 '],[' 2365 '],[' 2723 '],[' 3017 '],[' 3331 '],[' 3604 '],[' 4181 ']
Solving...,TA57, , ,[' 277'],[' 149'],"[' 129.742s (Solving', ' 128.54s 1st Model', ' 0.22s Unsat', ' 7.03s)']",[' 129.500s'], ,[' 2678110 '],"[' 1807355  (Analyzed', ' 1750627)']","[' 4837     (Average', ' 361.92 Last', ' 12258)']",[' 1248.1  '],"[' 149      (Average Length', ' 68.11 Splits', ' 0)']","[' 1750627  (Deleted', ' 1716390)']","[' 91       (Ratio', '   0.01%)']","[' 1591     (Ratio', '   0.09%)']","[' 1750627  (Average Length', '   10.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1750627  (Average', '  1.37 Max', ' 1644 Sum', ' 2401155)']","[' 1750511  (Average', '  1.37 Max', ' 1644 Sum', ' 2398889 Ratio', '  99.91%)']","[' 116      (Average', ' 19.53 Max', '  86 Sum', '   2266 Ratio', '   0.09%)']", ,[' 72620   '],[' 2545    '],[' 72008   '],[' 41145   '],"[' 123431   (Atom=Atom', ' 39348 Body=Body', ' 21620 Other', ' 62463)']",[' Yes'],"[' 2683     (Eliminated', '    0 Frozen', ' 2683)']","[' 34       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.26746'],[' 0'], ,[' 117.482'],[' 0'],[' 1.72105'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.92915e+06'],[' 5.82938e+06'],[' 0'],[' 2.32206e+10'],[' 0'],[' 0'],[' 445 '],[' 966 '],[' 1249 '],[' 1669 '],[' 1981 '],[' 2398 '],[' 2693 '],[' 3183 '],[' 3611 '],[' 3958 ']
Solving...,TA58, , ,[' 359'],[' 190'],"[' 92.332s (Solving', ' 91.21s 1st Model', ' 0.38s Unsat', ' 29.87s)']",[' 92.188s'], ,[' 3533464 '],"[' 2410746  (Analyzed', ' 2389154)']","[' 6018     (Average', ' 397.00 Last', ' 500)']",[' 1176.0  '],"[' 190      (Average Length', ' 89.30 Splits', ' 0)']","[' 2389154  (Deleted', ' 2346212)']","[' 98       (Ratio', '   0.00%)']","[' 1465     (Ratio', '   0.06%)']","[' 2389154  (Average Length', '   10.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2389154  (Average', '  1.36 Max', ' 1672 Sum', ' 3259607)']","[' 2389016  (Average', '  1.36 Max', ' 1672 Sum', ' 3255092 Ratio', '  99.86%)']","[' 138      (Average', ' 32.72 Max', ' 134 Sum', '   4515 Ratio', '   0.14%)']", ,[' 73246   '],[' 2619    '],[' 72675   '],[' 41866   '],"[' 125594   (Atom=Atom', ' 39995 Body=Body', ' 21694 Other', ' 63905)']",[' Yes'],"[' 2798     (Eliminated', '    0 Frozen', ' 2798)']","[' 18       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.277264'],[' 0'], ,[' 77.6721'],[' 0'],[' 1.20597'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2732e+07'],[' 7.26191e+06'],[' 0'],[' 1.51583e+10'],[' 0'],[' 0'],[' 555 '],[' 1002 '],[' 1419 '],[' 1697 '],[' 2100 '],[' 2425 '],[' 2894 '],[' 3399 '],[' 3702 '],[' 4109 ']
Solving...,TA59, ,[' 1'],[' 367+'],[' 194'],"[' 286.058s (Solving', ' 285.02s 1st Model', ' 0.17s Unsat', ' 42.78s)']",[' 285.516s'], ,[' 13787247'],"[' 10329384 (Analyzed', ' 10195814)']","[' 21976    (Average', ' 463.95 Last', ' 32985)']",[' 1021.5  '],"[' 194      (Average Length', ' 92.13 Splits', ' 0)']","[' 10195814 (Deleted', ' 10070620)']","[' 89       (Ratio', '   0.00%)']","[' 2295     (Ratio', '   0.02%)']","[' 10195814 (Average Length', '   10.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10195814 (Average', '  1.30 Max', ' 1616 Sum', ' 13260165)']","[' 10195713 (Average', '  1.30 Max', ' 1616 Sum', ' 13258197 Ratio', '  99.99%)']","[' 101      (Average', ' 19.49 Max', ' 154 Sum', '   1968 Ratio', '   0.01%)']", ,[' 72910   '],[' 2575    '],[' 72343   '],[' 41750   '],"[' 125246   (Atom=Atom', ' 39923 Body=Body', ' 21650 Other', ' 63673)']",[' Yes'],"[' 2758     (Eliminated', '    0 Frozen', ' 2758)']","[' 56       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.252287'],[' 0'], ,[' 227.288'],[' 0'],[' 4.26621'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.92197e+07'],[' 1.61669e+07'],[' 0'],[' 4.08503e+10'],[' 0'],[' 0'],[' 417 '],[' 880 '],[' 1135 '],[' 1463 '],[' 1963 '],[' 2463 '],[' 2794 '],[' 3222 '],[' 3762 '],[' 4265 ']
Solving...,TA60, , ,[' 505'],[' 263'],"[' 24.145s (Solving', ' 22.91s 1st Model', ' 0.23s Unsat', ' 19.45s)']",[' 24.016s'], ,[' 2074452 '],"[' 1450554  (Analyzed', ' 1249907)']","[' 3386     (Average', ' 369.14 Last', ' 930)']",[' 1149.2  '],"[' 263      (Average Length', ' 126.21 Splits', ' 0)']","[' 1249907  (Deleted', ' 1226617)']","[' 105      (Ratio', '   0.01%)']","[' 1321     (Ratio', '   0.11%)']","[' 1249907  (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1249907  (Average', '  1.27 Max', ' 381 Sum', ' 1586798)']","[' 1249802  (Average', '  1.27 Max', ' 381 Sum', ' 1586693 Ratio', '  99.99%)']","[' 105      (Average', '  1.00 Max', '   1 Sum', '    105 Ratio', '   0.01%)']", ,[' 73284   '],[' 2569    '],[' 72786   '],[' 41935   '],"[' 125801   (Atom=Atom', ' 40114 Body=Body', ' 21644 Other', ' 64043)']",[' Yes'],"[' 2821     (Eliminated', '    0 Frozen', ' 2821)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.328069'],[' 0'], ,[' 15.4425'],[' 0'],[' 0.340123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.09302e+06'],[' 5.92111e+06'],[' 0'],[' 2.09826e+09'],[' 0'],[' 0'],[' 452 '],[' 682 '],[' 1079 '],[' 1466 '],[' 1856 '],[' 2325 '],[' 2600 '],[' 3024 '],[' 3490 '],[' 3825 ']
