Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 
Solving...,TA71, ,[' 1'],[' 17559+'],[' 8781'],"[' 5037.140s (Solving', ' 4520.75s 1st Model', ' 4025.51s Unsat', ' 0.00s)']",[' 5017.141s'], ,[' 4352735090'],"[' 3543313  (Analyzed', ' 298230)']","[' 8566     (Average', ' 34.82 Last', ' 7048)']",[' 101108.0'],"[' 8781     (Average Length', ' 4390.00 Splits', ' 0)']","[' 298230   (Deleted', ' 248591)']","[' 114      (Ratio', '   0.04%)']","[' 35821    (Ratio', '  12.01%)']","[' 298230   (Average Length', '   89.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 298230   (Average', ' 11735.92 Max', ' 98830 Sum', ' 3500002051)']","[' 298230   (Average', ' 11735.92 Max', ' 98830 Sum', ' 3500002051 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 527720  '],[' 101000  '],[' 534499  '],[' 408680  '],"[' 1226036  (Atom=Atom', ' 309678 Body=Body', ' 201900 Other', ' 714458)']",[' Yes'],"[' 109779   (Eliminated', '    0 Frozen', ' 109779)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 70.5477'],[' 0'], ,[' 1718.06'],[' 0'],[' 309.813'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.67829e+09'],[' 4.53059e+09'],[' 0'],[' 1.37774e+10'],[' 0'],[' 0'],[' 26460 ']
Solving...,TA72, ,[' 1'],[' 18565+'],[' 9284'],"[' 5058.426s (Solving', ' 4486.00s 1st Model', ' 4025.15s Unsat', ' 0.00s)']",[' 5038.484s'], ,[' 3794118620'],"[' 2041821  (Analyzed', ' 336751)']","[' 8131     (Average', ' 41.42 Last', ' 4877)']",[' 101140.4'],"[' 9284     (Average Length', ' 4641.50 Splits', ' 0)']","[' 336751   (Deleted', ' 274273)']","[' 123      (Ratio', '   0.04%)']","[' 39172    (Ratio', '  11.63%)']","[' 336751   (Average Length', '   86.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 336751   (Average', ' 8600.90 Max', ' 98840 Sum', ' 2896362957)']","[' 336751   (Average', ' 8600.90 Max', ' 98840 Sum', ' 2896362957 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 528223  '],[' 101000  '],[' 535505  '],[' 409183  '],"[' 1227545  (Atom=Atom', ' 310181 Body=Body', ' 201900 Other', ' 715464)']",[' Yes'],"[' 110282   (Eliminated', '    0 Frozen', ' 110282)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 80.1605'],[' 0'], ,[' 1679.38'],[' 0'],[' 309.983'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.18561e+09'],[' 4.04586e+09'],[' 0'],[' 9.46253e+09'],[' 0'],[' 0'],[' 27933 ']
Solving...,TA73, ,[' 1'],[' 17101+'],[' 8552'],"[' 5037.409s (Solving', ' 4527.89s 1st Model', ' 4092.87s Unsat', ' 0.00s)']",[' 5021.156s'], ,[' 3867522865'],"[' 2266468  (Analyzed', ' 312508)']","[' 7933     (Average', ' 39.39 Last', ' 10721)']",[' 100870.0'],"[' 8552     (Average Length', ' 4275.50 Splits', ' 0)']","[' 312508   (Deleted', ' 267050)']","[' 124      (Ratio', '   0.04%)']","[' 40266    (Ratio', '  12.88%)']","[' 312508   (Average Length', '   86.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 312508   (Average', ' 9725.59 Max', ' 98830 Sum', ' 3039324642)']","[' 312508   (Average', ' 9725.59 Max', ' 98830 Sum', ' 3039324642 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 527491  '],[' 101000  '],[' 534041  '],[' 408451  '],"[' 1225349  (Atom=Atom', ' 309449 Body=Body', ' 201900 Other', ' 714000)']",[' Yes'],"[' 109550   (Eliminated', '    0 Frozen', ' 109550)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 70.5127'],[' 0'], ,[' 1690.93'],[' 0'],[' 323.726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.2441e+09'],[' 4.0988e+09'],[' 0'],[' 9.92869e+09'],[' 0'],[' 0'],[' 20386 ']
Solving...,TA74, ,[' 1'],[' 17729+'],[' 8866'],"[' 5051.130s (Solving', ' 4513.39s 1st Model', ' 4052.09s Unsat', ' 0.00s)']",[' 5024.906s'], ,[' 4371136579'],"[' 2399952  (Analyzed', ' 313210)']","[' 7847     (Average', ' 39.91 Last', ' 8315)']",[' 101431.7'],"[' 8866     (Average Length', ' 4432.50 Splits', ' 0)']","[' 313210   (Deleted', ' 270707)']","[' 151      (Ratio', '   0.05%)']","[' 37359    (Ratio', '  11.93%)']","[' 313210   (Average Length', '   88.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 313210   (Average', ' 11202.87 Max', ' 98847 Sum', ' 3508851617)']","[' 313210   (Average', ' 11202.87 Max', ' 98847 Sum', ' 3508851617 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 527805  '],[' 101000  '],[' 534669  '],[' 408765  '],"[' 1226291  (Atom=Atom', ' 309763 Body=Body', ' 201900 Other', ' 714628)']",[' Yes'],"[' 109864   (Eliminated', '    0 Frozen', ' 109864)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 73.1864'],[' 0'], ,[' 1696.57'],[' 0'],[' 312.355'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.70565e+09'],[' 4.55876e+09'],[' 0'],[' 1.18777e+10'],[' 0'],[' 0'],[' 30210 ']
Solving...,TA75, ,[' 1'],[' 17525+'],[' 8764'],"[' 5049.354s (Solving', ' 4497.78s 1st Model', ' 4040.63s Unsat', ' 0.00s)']",[' 5029.406s'], ,[' 3698982900'],"[' 2264716  (Analyzed', ' 329388)']","[' 7954     (Average', ' 41.41 Last', ' 7327)']",[' 100922.6'],"[' 8764     (Average Length', ' 4381.50 Splits', ' 0)']","[' 329388   (Deleted', ' 281080)']","[' 147      (Ratio', '   0.04%)']","[' 40344    (Ratio', '  12.25%)']","[' 329388   (Average Length', '   89.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 329388   (Average', ' 8654.79 Max', ' 98755 Sum', ' 2850783172)']","[' 329388   (Average', ' 8654.79 Max', ' 98755 Sum', ' 2850783172 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 527703  '],[' 101000  '],[' 534465  '],[' 408663  '],"[' 1225985  (Atom=Atom', ' 309661 Body=Body', ' 201900 Other', ' 714424)']",[' Yes'],"[' 109762   (Eliminated', '    0 Frozen', ' 109762)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 77.3783'],[' 0'], ,[' 1679.95'],[' 0'],[' 310.626'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08433e+09'],[' 3.95279e+09'],[' 0'],[' 9.3451e+09'],[' 0'],[' 0'],[' 28734 ']
Solving...,TA76, ,[' 1'],[' 20223+'],[' 10113'],"[' 5059.203s (Solving', ' 4484.60s 1st Model', ' 4005.39s Unsat', ' 0.00s)']",[' 5048.000s'], ,[' 4989695866'],"[' 2754433  (Analyzed', ' 352220)']","[' 9281     (Average', ' 37.95 Last', ' 8607)']",[' 101626.0'],"[' 10113    (Average Length', ' 5056.00 Splits', ' 0)']","[' 352220   (Deleted', ' 306485)']","[' 135      (Ratio', '   0.04%)']","[' 41706    (Ratio', '  11.84%)']","[' 352220   (Average Length', '   87.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 352220   (Average', ' 11386.14 Max', ' 98877 Sum', ' 4010426670)']","[' 352220   (Average', ' 11386.14 Max', ' 98877 Sum', ' 4010426670 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 529052  '],[' 101000  '],[' 537163  '],[' 410012  '],"[' 1230032  (Atom=Atom', ' 311010 Body=Body', ' 201900 Other', ' 717122)']",[' Yes'],"[' 111111   (Eliminated', '    0 Frozen', ' 111111)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 76.0172'],[' 0'], ,[' 1657.05'],[' 0'],[' 282.569'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.39675e+09'],[' 5.22235e+09'],[' 0'],[' 1.40952e+10'],[' 0'],[' 0'],[' 28915 ']
Solving...,TA77, ,[' 1'],[' 9385+'],[' 4694'],"[' 1120.725s (Solving', ' 868.15s 1st Model', ' 658.40s Unsat', ' 0.00s)']",[' 1117.656s'], ,[' 964497255'],"[' 1208567  (Analyzed', ' 53391)']","[' 4196     (Average', ' 12.72 Last', ' 1955)']",[' 100940.7'],"[' 4693     (Average Length', ' 2346.00 Splits', ' 0)']","[' 53391    (Deleted', ' 36857)']","[' 28       (Ratio', '   0.05%)']","[' 5760     (Ratio', '  10.79%)']","[' 53391    (Average Length', '   87.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 53391    (Average', ' 9377.18 Max', ' 98814 Sum', ' 500657234)']","[' 53391    (Average', ' 9377.18 Max', ' 98814 Sum', ' 500657234 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 523633  '],[' 101000  '],[' 526325  '],[' 404593  '],"[' 1213775  (Atom=Atom', ' 305591 Body=Body', ' 201900 Other', ' 706284)']",[' Yes'],"[' 105692   (Eliminated', '    0 Frozen', ' 105692)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 33.8753'],[' 0'], ,[' 322.911'],[' 0'],[' 46.7068'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01528e+09'],[' 9.8465e+08'],[' 0'],[' 3.66609e+09'],[' 0'],[' 0'],[' 44573 ']
Solving...,TA78, ,[' 1'],[' 19177+'],[' 9590'],"[' 5046.712s (Solving', ' 4512.37s 1st Model', ' 4074.05s Unsat', ' 0.00s)']",[' 5037.016s'], ,[' 4610961367'],"[' 2660886  (Analyzed', ' 393269)']","[' 8779     (Average', ' 44.80 Last', ' 6520)']",[' 100883.6'],"[' 9590     (Average Length', ' 4794.50 Splits', ' 0)']","[' 393269   (Deleted', ' 340071)']","[' 154      (Ratio', '   0.04%)']","[' 49879    (Ratio', '  12.68%)']","[' 393269   (Average Length', '   87.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 393269   (Average', ' 9375.19 Max', ' 98855 Sum', ' 3686972767)']","[' 393269   (Average', ' 9375.19 Max', ' 98855 Sum', ' 3686972767 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 528529  '],[' 101000  '],[' 536117  '],[' 409489  '],"[' 1228463  (Atom=Atom', ' 310487 Body=Body', ' 201900 Other', ' 716076)']",[' Yes'],"[' 110588   (Eliminated', '    0 Frozen', ' 110588)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 72.5576'],[' 0'], ,[' 1654.78'],[' 0'],[' 289.333'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.13739e+09'],[' 4.96549e+09'],[' 0'],[' 1.18825e+10'],[' 0'],[' 0'],[' 21784 ']
Solving...,TA79, ,[' 1'],[' 20213+'],[' 10108'],"[' 5053.820s (Solving', ' 4502.24s 1st Model', ' 4043.13s Unsat', ' 0.00s)']",[' 5044.578s'], ,[' 5203449271'],"[' 2662824  (Analyzed', ' 392739)']","[' 9200     (Average', ' 42.69 Last', ' 6075)']",[' 101342.3'],"[' 10108    (Average Length', ' 5053.50 Splits', ' 0)']","[' 392739   (Deleted', ' 344856)']","[' 175      (Ratio', '   0.04%)']","[' 44665    (Ratio', '  11.37%)']","[' 392739   (Average Length', '   88.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 392739   (Average', ' 10764.46 Max', ' 98887 Sum', ' 4227623641)']","[' 392739   (Average', ' 10764.46 Max', ' 98887 Sum', ' 4227623641 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 529047  '],[' 101000  '],[' 537153  '],[' 410007  '],"[' 1230017  (Atom=Atom', ' 311005 Body=Body', ' 201900 Other', ' 717112)']",[' Yes'],"[' 111106   (Eliminated', '    0 Frozen', ' 111106)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 72.6263'],[' 0'], ,[' 1649.95'],[' 0'],[' 282.424'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.66296e+09'],[' 5.48211e+09'],[' 0'],[' 1.45101e+10'],[' 0'],[' 0'],[' 26435 ']
Solving...,TA80, ,[' 1'],[' 19275+'],[' 9639'],"[' 5047.806s (Solving', ' 4523.45s 1st Model', ' 4063.99s Unsat', ' 0.00s)']",[' 5037.359s'], ,[' 5159795267'],"[' 2579699  (Analyzed', ' 389298)']","[' 9134     (Average', ' 42.62 Last', ' 7407)']",[' 100994.5'],"[' 9639     (Average Length', ' 4819.00 Splits', ' 0)']","[' 389298   (Deleted', ' 338499)']","[' 191      (Ratio', '   0.05%)']","[' 45201    (Ratio', '  11.61%)']","[' 389298   (Average Length', '   89.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 389298   (Average', ' 10866.45 Max', ' 98868 Sum', ' 4230288297)']","[' 389298   (Average', ' 10866.45 Max', ' 98868 Sum', ' 4230288297 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 528578  '],[' 101000  '],[' 536215  '],[' 409538  '],"[' 1228610  (Atom=Atom', ' 310536 Body=Body', ' 201900 Other', ' 716174)']",[' Yes'],"[' 110637   (Eliminated', '    0 Frozen', ' 110637)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 69.9103'],[' 0'], ,[' 1650.65'],[' 0'],[' 285.463'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.63242e+09'],[' 5.45518e+09'],[' 0'],[' 1.39745e+10'],[' 0'],[' 0'],[' 26979 ']
