Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,swv11, ,[' 1'],[' 2473+'],[' 1239'],"[' 625.726s (Solving', ' 618.72s 1st Model', ' 373.32s Unsat', ' 0.00s)']",[' 624.438s'], ,[' 304300980'],"[' 2068656  (Analyzed', ' 1537661)']","[' 4820     (Average', ' 319.02 Last', ' 196708)']",[' 5857.7  '],"[' 1239     (Average Length', ' 613.84 Splits', ' 0)']","[' 1537661  (Deleted', ' 1423557)']","[' 276      (Ratio', '   0.02%)']","[' 101342   (Ratio', '   6.59%)']","[' 1537661  (Average Length', '   37.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1537661  (Average', ' 193.34 Max', ' 6400 Sum', ' 297293241)']","[' 1537161  (Average', ' 193.14 Max', ' 6148 Sum', ' 296986641 Ratio', '  99.90%)']","[' 500      (Average', ' 613.20 Max', ' 4206 Sum', ' 306600 Ratio', '   0.10%)']", ,[' 75055   '],[' 10616   '],[' 75755   '],[' 54901   '],"[' 164699   (Atom=Atom', ' 44783 Body=Body', ' 23316 Other', ' 96600)']",[' Yes'],"[' 11816    (Eliminated', '    0 Frozen', ' 11816)']","[' 10404    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34212'],[' 0'], ,[' 189.102'],[' 0'],[' 18.2775'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.47433e+09'],[' 1.3983e+09'],[' 0'],[' 7.65736e+09'],[' 0'],[' 0'],[' 2386 '],[' 4813 ']
Solving...,swv12, ,[' 1'],[' 2065+'],[' 1035'],"[' 625.530s (Solving', ' 619.50s 1st Model', ' 83.80s Unsat', ' 0.00s)']",[' 624.203s'], ,[' 294334711'],"[' 2757886  (Analyzed', ' 2225383)']","[' 4984     (Average', ' 446.51 Last', ' 52337)']",[' 5838.4  '],"[' 1035     (Average Length', ' 511.05 Splits', ' 0)']","[' 2225383  (Deleted', ' 2109417)']","[' 293      (Ratio', '   0.01%)']","[' 97726    (Ratio', '   4.39%)']","[' 2225383  (Average Length', '   41.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2225383  (Average', ' 129.51 Max', ' 6383 Sum', ' 288209426)']","[' 2224921  (Average', ' 129.41 Max', ' 5893 Sum', ' 287983046 Ratio', '  99.92%)']","[' 462      (Average', ' 490.00 Max', ' 490 Sum', ' 226380 Ratio', '   0.08%)']", ,[' 74347   '],[' 10448   '],[' 74851   '],[' 54025   '],"[' 162071   (Atom=Atom', ' 44075 Body=Body', ' 23148 Other', ' 94848)']",[' Yes'],"[' 11452    (Eliminated', '    0 Frozen', ' 11452)']","[' 9939     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13167'],[' 0'], ,[' 205.789'],[' 0'],[' 17.935'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36199e+09'],[' 1.27703e+09'],[' 0'],[' 9.40691e+09'],[' 0'],[' 0'],[' 2652 '],[' 5125 ']
Solving...,swv13, ,[' 1'],[' 1981+'],[' 993'],"[' 625.412s (Solving', ' 619.49s 1st Model', ' 132.07s Unsat', ' 0.00s)']",[' 623.953s'], ,[' 299206361'],"[' 2845261  (Analyzed', ' 2365921)']","[' 5267     (Average', ' 449.20 Last', ' 81515)']",[' 5814.7  '],"[' 993      (Average Length', ' 492.05 Splits', ' 0)']","[' 2365921  (Deleted', ' 2247735)']","[' 423      (Ratio', '   0.02%)']","[' 97892    (Ratio', '   4.14%)']","[' 2365921  (Average Length', '   42.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2365921  (Average', ' 124.00 Max', ' 6244 Sum', ' 293367736)']","[' 2365401  (Average', ' 123.90 Max', ' 5783 Sum', ' 293128016 Ratio', '  99.92%)']","[' 520      (Average', ' 461.00 Max', ' 461 Sum', ' 239720 Ratio', '   0.08%)']", ,[' 74317   '],[' 10452   '],[' 74779   '],[' 53999   '],"[' 161993   (Atom=Atom', ' 44045 Body=Body', ' 23152 Other', ' 94796)']",[' Yes'],"[' 11414    (Eliminated', '    0 Frozen', ' 11414)']","[' 10462    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09588'],[' 0'], ,[' 213.821'],[' 0'],[' 18.746'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35801e+09'],[' 1.27597e+09'],[' 0'],[' 1.06301e+10'],[' 0'],[' 0'],[' 2727 '],[' 5402 ']
Solving...,swv14, ,[' 1'],[' 2467+'],[' 1236'],"[' 625.815s (Solving', ' 618.39s 1st Model', ' 384.39s Unsat', ' 0.00s)']",[' 624.484s'], ,[' 294586882'],"[' 2183872  (Analyzed', ' 1682302)']","[' 4780     (Average', ' 351.95 Last', ' 184335)']",[' 5736.0  '],"[' 1236     (Average Length', ' 611.23 Splits', ' 0)']","[' 1682302  (Deleted', ' 1565348)']","[' 274      (Ratio', '   0.02%)']","[' 101195   (Ratio', '   6.02%)']","[' 1682302  (Average Length', '   38.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1682302  (Average', ' 171.06 Max', ' 6267 Sum', ' 287777623)']","[' 1681771  (Average', ' 170.88 Max', ' 5999 Sum', ' 287465926 Ratio', '  99.89%)']","[' 531      (Average', ' 587.00 Max', ' 587 Sum', ' 311697 Ratio', '   0.11%)']", ,[' 74380   '],[' 10392   '],[' 75086   '],[' 54002   '],"[' 162002   (Atom=Atom', ' 44108 Body=Body', ' 23092 Other', ' 94802)']",[' Yes'],"[' 11598    (Eliminated', '    0 Frozen', ' 11598)']","[' 10190    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.33957'],[' 0'], ,[' 194.59'],[' 0'],[' 17.9276'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43867e+09'],[' 1.36003e+09'],[' 0'],[' 8.5317e+09'],[' 0'],[' 0'],[' 2423 '],[' 4793 ']
Solving...,swv15, ,[' 1'],[' 2135+'],[' 1070'],"[' 625.676s (Solving', ' 619.26s 1st Model', ' 397.13s Unsat', ' 0.00s)']",[' 624.484s'], ,[' 303921715'],"[' 1968006  (Analyzed', ' 1559741)']","[' 4963     (Average', ' 314.27 Last', ' 91996)']",[' 5589.2  '],"[' 1070     (Average Length', ' 528.61 Splits', ' 0)']","[' 1559741  (Deleted', ' 1447437)']","[' 317      (Ratio', '   0.02%)']","[' 100781   (Ratio', '   6.46%)']","[' 1559741  (Average Length', '   39.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1559741  (Average', ' 191.14 Max', ' 6302 Sum', ' 298132234)']","[' 1559143  (Average', ' 190.94 Max', ' 5930 Sum', ' 297812902 Ratio', '  99.89%)']","[' 598      (Average', ' 534.00 Max', ' 534 Sum', ' 319332 Ratio', '   0.11%)']", ,[' 74886   '],[' 10616   '],[' 75413   '],[' 54732   '],"[' 164192   (Atom=Atom', ' 44614 Body=Body', ' 23316 Other', ' 96262)']",[' Yes'],"[' 11643    (Eliminated', '    0 Frozen', ' 11643)']","[' 9945     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.15818'],[' 0'], ,[' 193.57'],[' 0'],[' 18.3471'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4381e+09'],[' 1.35982e+09'],[' 0'],[' 8.64231e+09'],[' 0'],[' 0'],[' 2531 '],[' 4908 ']
Solving...,swv16, ,[' 1'],[' 2497+'],[' 1251'],"[' 625.364s (Solving', ' 619.50s 1st Model', ' 193.18s Unsat', ' 0.00s)']",[' 624.234s'], ,[' 243780047'],"[' 5560119  (Analyzed', ' 5255297)']","[' 11260    (Average', ' 466.72 Last', ' 105091)']",[' 3855.4  '],"[' 1251     (Average Length', ' 614.25 Splits', ' 0)']","[' 5255297  (Deleted', ' 5164398)']","[' 405      (Ratio', '   0.01%)']","[' 55140    (Ratio', '   1.05%)']","[' 5255297  (Average Length', '   22.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5255297  (Average', ' 45.49 Max', ' 4134 Sum', ' 239087174)']","[' 5254946  (Average', ' 45.46 Max', ' 3573 Sum', ' 238890263 Ratio', '  99.92%)']","[' 351      (Average', ' 561.00 Max', ' 561 Sum', ' 196911 Ratio', '   0.08%)']", ,[' 62875   '],[' 6552    '],[' 63567   '],[' 38657   '],"[' 115967   (Atom=Atom', ' 32603 Body=Body', ' 19252 Other', ' 64112)']",[' Yes'],"[' 7744     (Eliminated', '    0 Frozen', ' 7744)']","[' 5706     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.18614'],[' 0'], ,[' 276.47'],[' 0'],[' 16.0679'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.10299e+09'],[' 9.82339e+08'],[' 0'],[' 1.65273e+10'],[' 0'],[' 0'],[' 1641 '],[' 2997 ']
Solving...,swv17, ,[' 1'],[' 1983+'],[' 994'],"[' 625.039s (Solving', ' 620.33s 1st Model', ' 14.23s Unsat', ' 0.00s)']",[' 622.797s'], ,[' 234350234'],"[' 7215877  (Analyzed', ' 6837660)']","[' 12204    (Average', ' 560.28 Last', ' 2271)']",[' 4075.1  '],"[' 994      (Average Length', ' 493.21 Splits', ' 0)']","[' 6837660  (Deleted', ' 6746471)']","[' 381      (Ratio', '   0.01%)']","[' 53012    (Ratio', '   0.78%)']","[' 6837660  (Average Length', '   28.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6837660  (Average', ' 33.62 Max', ' 4056 Sum', ' 229861055)']","[' 6837299  (Average', ' 33.59 Max', ' 3583 Sum', ' 229690302 Ratio', '  99.93%)']","[' 361      (Average', ' 473.00 Max', ' 473 Sum', ' 170753 Ratio', '   0.07%)']", ,[' 62912   '],[' 6650    '],[' 63380   '],[' 38792   '],"[' 116372   (Atom=Atom', ' 32640 Body=Body', ' 19350 Other', ' 64382)']",[' Yes'],"[' 7618     (Eliminated', '    0 Frozen', ' 7618)']","[' 5679     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.940707'],[' 0'], ,[' 327.415'],[' 0'],[' 16.173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.91639e+08'],[' 7.87047e+08'],[' 0'],[' 2.16328e+10'],[' 0'],[' 0'],[' 1759 '],[' 3384 ']
Solving...,swv18, ,[' 1'],[' 2127+'],[' 1066'],"[' 625.314s (Solving', ' 620.43s 1st Model', ' 32.48s Unsat', ' 0.00s)']",[' 620.031s'], ,[' 221121446'],"[' 4285132  (Analyzed', ' 4006404)']","[' 7528     (Average', ' 532.20 Last', ' 50400)']",[' 3847.3  '],"[' 1066     (Average Length', ' 521.19 Splits', ' 0)']","[' 4006404  (Deleted', ' 3917642)']","[' 322      (Ratio', '   0.01%)']","[' 57109    (Ratio', '   1.43%)']","[' 4006404  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4006404  (Average', ' 54.19 Max', ' 4108 Sum', ' 217120222)']","[' 4006030  (Average', ' 54.14 Max', ' 3572 Sum', ' 216919913 Ratio', '  99.91%)']","[' 374      (Average', ' 535.59 Max', ' 536 Sum', ' 200309 Ratio', '   0.09%)']", ,[' 63050   '],[' 6672    '],[' 63567   '],[' 38952   '],"[' 116852   (Atom=Atom', ' 32778 Body=Body', ' 19372 Other', ' 64702)']",[' Yes'],"[' 7689     (Eliminated', '    0 Frozen', ' 7689)']","[' 6314     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06995'],[' 0'], ,[' 279.952'],[' 0'],[' 15.6383'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.96622e+08'],[' 8.94073e+08'],[' 0'],[' 1.56934e+10'],[' 0'],[' 0'],[' 1651 '],[' 3070 ']
Solving...,swv19, ,[' 1'],[' 2243+'],[' 1124'],"[' 625.452s (Solving', ' 619.84s 1st Model', ' 23.80s Unsat', ' 0.00s)']",[' 619.828s'], ,[' 206273031'],"[' 3784140  (Analyzed', ' 3473145)']","[' 7535     (Average', ' 460.93 Last', ' 31471)']",[' 3797.2  '],"[' 1124     (Average Length', ' 555.22 Splits', ' 0)']","[' 3473145  (Deleted', ' 3397199)']","[' 355      (Ratio', '   0.01%)']","[' 52397    (Ratio', '   1.51%)']","[' 3473145  (Average Length', '   26.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3473145  (Average', ' 58.22 Max', ' 4228 Sum', ' 202197429)']","[' 3472776  (Average', ' 58.15 Max', ' 3611 Sum', ' 201968095 Ratio', '  99.89%)']","[' 369      (Average', ' 621.50 Max', ' 2278 Sum', ' 229334 Ratio', '   0.11%)']", ,[' 62886   '],[' 6598    '],[' 63467   '],[' 38714   '],"[' 116138   (Atom=Atom', ' 32614 Body=Body', ' 19298 Other', ' 64226)']",[' Yes'],"[' 7679     (Eliminated', '    0 Frozen', ' 7679)']","[' 6058     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.14698'],[' 0'], ,[' 293.997'],[' 0'],[' 15.4293'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.70026e+08'],[' 7.79495e+08'],[' 0'],[' 1.65227e+10'],[' 0'],[' 0'],[' 1704 '],[' 3289 ']
Solving...,swv20, ,[' 1'],[' 2359+'],[' 1182'],"[' 626.170s (Solving', ' 615.76s 1st Model', ' 27.29s Unsat', ' 0.00s)']",[' 615.672s'], ,[' 167087741'],"[' 2907592  (Analyzed', ' 2590997)']","[' 5801     (Average', ' 446.65 Last', ' 10694)']",[' 3827.1  '],"[' 1182     (Average Length', ' 581.97 Splits', ' 0)']","[' 2590997  (Deleted', ' 2520490)']","[' 253      (Ratio', '   0.01%)']","[' 45202    (Ratio', '   1.74%)']","[' 2590997  (Average Length', '   25.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2590997  (Average', ' 62.86 Max', ' 4068 Sum', ' 162872136)']","[' 2590634  (Average', ' 62.78 Max', ' 3446 Sum', ' 162661702 Ratio', '  99.87%)']","[' 363      (Average', ' 579.71 Max', ' 3732 Sum', ' 210434 Ratio', '   0.13%)']", ,[' 62800   '],[' 6550    '],[' 63431   '],[' 38580   '],"[' 115736   (Atom=Atom', ' 32528 Body=Body', ' 19250 Other', ' 63958)']",[' Yes'],"[' 7681     (Eliminated', '    0 Frozen', ' 7681)']","[' 6022     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.49986'],[' 0'], ,[' 282.767'],[' 0'],[' 16.7718'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.94099e+08'],[' 6.23812e+08'],[' 0'],[' 8.45199e+09'],[' 0'],[' 0'],[' 1508 '],[' 3100 ']
