Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 
Solving...,TA51, ,[' 1'],[' 2803+'],[' 1405'],"[' 257.168s (Solving', ' 248.87s 1st Model', ' 14.34s Unsat', ' 0.00s)']",[' 255.750s'], ,[' 75658047'],"[' 3069560  (Analyzed', ' 2728473)']","[' 6426     (Average', ' 424.60 Last', ' 8123)']",[' 3427.6  '],"[' 1405     (Average Length', ' 679.99 Splits', ' 0)']","[' 2728473  (Deleted', ' 2679801)']","[' 141      (Ratio', '   0.01%)']","[' 22444    (Ratio', '   0.82%)']","[' 2728473  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2728473  (Average', ' 26.26 Max', ' 3688 Sum', ' 71656155)']","[' 2727883  (Average', ' 26.10 Max', ' 3688 Sum', ' 71223667 Ratio', '  99.40%)']","[' 590      (Average', ' 733.03 Max', ' 940 Sum', ' 432488 Ratio', '   0.60%)']", ,[' 86926   '],[' 6883    '],[' 87500   '],[' 50734   '],"[' 152198   (Atom=Atom', ' 44599 Body=Body', ' 25958 Other', ' 81641)']",[' Yes'],"[' 8207     (Eliminated', '    0 Frozen', ' 8207)']","[' 3985     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.7398'],[' 0'], ,[' 167.148'],[' 0'],[' 5.58379'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.12346e+08'],[' 1.80757e+08'],[' 0'],[' 1.43155e+10'],[' 0'],[' 0'],[' 1230 '],[' 2525 '],[' 3802 ']
Solving...,TA52, ,[' 1'],[' 2821+'],[' 1414'],"[' 256.794s (Solving', ' 248.28s 1st Model', ' 16.09s Unsat', ' 0.00s)']",[' 255.719s'], ,[' 85903472'],"[' 3392358  (Analyzed', ' 3061152)']","[' 7277     (Average', ' 420.66 Last', ' 14327)']",[' 3563.6  '],"[' 1414     (Average Length', ' 684.40 Splits', ' 0)']","[' 3061152  (Deleted', ' 3001082)']","[' 135      (Ratio', '   0.00%)']","[' 25532    (Ratio', '   0.83%)']","[' 3061152  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3061152  (Average', ' 26.69 Max', ' 3784 Sum', ' 81695666)']","[' 3060535  (Average', ' 26.54 Max', ' 3784 Sum', ' 81252036 Ratio', '  99.46%)']","[' 617      (Average', ' 719.01 Max', ' 880 Sum', ' 443630 Ratio', '   0.54%)']", ,[' 87201   '],[' 6921    '],[' 87773   '],[' 51119   '],"[' 153353   (Atom=Atom', ' 44946 Body=Body', ' 25996 Other', ' 82411)']",[' Yes'],"[' 8243     (Eliminated', '    0 Frozen', ' 8243)']","[' 3790     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77235'],[' 0'], ,[' 160.954'],[' 0'],[' 5.97399'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.44894e+08'],[' 2.08873e+08'],[' 0'],[' 1.34829e+10'],[' 0'],[' 0'],[' 1242 '],[' 2391 '],[' 3614 ']
Solving...,TA53, ,[' 1'],[' 2579+'],[' 1293'],"[' 257.068s (Solving', ' 249.15s 1st Model', ' 12.31s Unsat', ' 0.00s)']",[' 256.000s'], ,[' 78790890'],"[' 4175158  (Analyzed', ' 3850317)']","[' 8256     (Average', ' 466.37 Last', ' 9129)']",[' 3573.6  '],"[' 1293     (Average Length', ' 632.86 Splits', ' 0)']","[' 3850317  (Deleted', ' 3786889)']","[' 120      (Ratio', '   0.00%)']","[' 20959    (Ratio', '   0.54%)']","[' 3850317  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3850317  (Average', ' 19.41 Max', ' 3774 Sum', ' 74743328)']","[' 3849723  (Average', ' 19.31 Max', ' 3774 Sum', ' 74361290 Ratio', '  99.49%)']","[' 594      (Average', ' 643.16 Max', ' 811 Sum', ' 382038 Ratio', '   0.51%)']", ,[' 86516   '],[' 6817    '],[' 87003   '],[' 50588   '],"[' 151760   (Atom=Atom', ' 44519 Body=Body', ' 25892 Other', ' 81349)']",[' Yes'],"[' 8054     (Eliminated', '    0 Frozen', ' 8054)']","[' 3395     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.70092'],[' 0'], ,[' 170.286'],[' 0'],[' 5.68333'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.08126e+08'],[' 1.75314e+08'],[' 0'],[' 1.42025e+10'],[' 0'],[' 0'],[' 1155 '],[' 2406 '],[' 3585 ']
Solving...,TA54, ,[' 1'],[' 2879+'],[' 1443'],"[' 257.018s (Solving', ' 247.88s 1st Model', ' 37.02s Unsat', ' 0.00s)']",[' 255.797s'], ,[' 86549298'],"[' 3645546  (Analyzed', ' 3289396)']","[' 7514     (Average', ' 437.77 Last', ' 121511)']",[' 3513.7  '],"[' 1443     (Average Length', ' 696.28 Splits', ' 0)']","[' 3289396  (Deleted', ' 3229546)']","[' 157      (Ratio', '   0.00%)']","[' 25448    (Ratio', '   0.77%)']","[' 3289396  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3289396  (Average', ' 24.98 Max', ' 3415 Sum', ' 82165149)']","[' 3288787  (Average', ' 24.86 Max', ' 3415 Sum', ' 81771693 Ratio', '  99.52%)']","[' 609      (Average', ' 646.07 Max', ' 884 Sum', ' 393456 Ratio', '   0.48%)']", ,[' 87327   '],[' 6907    '],[' 87923   '],[' 50950   '],"[' 152846   (Atom=Atom', ' 44791 Body=Body', ' 25982 Other', ' 82073)']",[' Yes'],"[' 8253     (Eliminated', '    0 Frozen', ' 8253)']","[' 4501     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.86709'],[' 0'], ,[' 158.694'],[' 0'],[' 6.05412'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.45459e+08'],[' 2.08928e+08'],[' 0'],[' 1.38592e+10'],[' 0'],[' 0'],[' 1228 '],[' 2249 '],[' 3444 ']
Solving...,TA55, ,[' 1'],[' 3007+'],[' 1507'],"[' 257.050s (Solving', ' 248.26s 1st Model', ' 17.38s Unsat', ' 0.00s)']",[' 256.141s'], ,[' 79867961'],"[' 2930323  (Analyzed', ' 2641061)']","[' 5963     (Average', ' 442.91 Last', ' 34519)']",[' 3531.0  '],"[' 1507     (Average Length', ' 727.34 Splits', ' 0)']","[' 2641061  (Deleted', ' 2588851)']","[' 146      (Ratio', '   0.01%)']","[' 21473    (Ratio', '   0.81%)']","[' 2641061  (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2641061  (Average', ' 28.65 Max', ' 3907 Sum', ' 75658869)']","[' 2640422  (Average', ' 28.45 Max', ' 3907 Sum', ' 75128364 Ratio', '  99.30%)']","[' 639      (Average', ' 830.21 Max', ' 1025 Sum', ' 530505 Ratio', '   0.70%)']", ,[' 87395   '],[' 6931    '],[' 88047   '],[' 51164   '],"[' 153488   (Atom=Atom', ' 44981 Body=Body', ' 26006 Other', ' 82501)']",[' Yes'],"[' 8333     (Eliminated', '    0 Frozen', ' 8333)']","[' 3458     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.80054'],[' 0'], ,[' 162.751'],[' 0'],[' 5.60259'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43099e+08'],[' 2.0947e+08'],[' 0'],[' 1.41278e+10'],[' 0'],[' 0'],[' 1088 '],[' 2355 '],[' 3762 ']
Solving...,TA56, ,[' 1'],[' 2925+'],[' 1466'],"[' 256.922s (Solving', ' 247.98s 1st Model', ' 76.26s Unsat', ' 0.00s)']",[' 255.891s'], ,[' 79752497'],"[' 4109085  (Analyzed', ' 3742304)']","[' 8373     (Average', ' 446.95 Last', ' 131022)']",[' 3635.2  '],"[' 1466     (Average Length', ' 703.58 Splits', ' 0)']","[' 3742304  (Deleted', ' 3681588)']","[' 119      (Ratio', '   0.00%)']","[' 22501    (Ratio', '   0.60%)']","[' 3742304  (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3742304  (Average', ' 20.11 Max', ' 3831 Sum', ' 75242899)']","[' 3741603  (Average', ' 19.98 Max', ' 3831 Sum', ' 74781240 Ratio', '  99.39%)']","[' 701      (Average', ' 658.57 Max', ' 864 Sum', ' 461659 Ratio', '   0.61%)']", ,[' 86616   '],[' 6812    '],[' 87226   '],[' 50390   '],"[' 151166   (Atom=Atom', ' 44326 Body=Body', ' 25887 Other', ' 80953)']",[' Yes'],"[' 8172     (Eliminated', '    0 Frozen', ' 8172)']","[' 3090     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.8953'],[' 0'], ,[' 168.045'],[' 0'],[' 5.7102'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01541e+08'],[' 1.68055e+08'],[' 0'],[' 1.40382e+10'],[' 0'],[' 0'],[' 1361 '],[' 2533 '],[' 3600 ']
Solving...,TA57, ,[' 1'],[' 2581+'],[' 1294'],"[' 256.691s (Solving', ' 249.09s 1st Model', ' 13.82s Unsat', ' 0.00s)']",[' 256.016s'], ,[' 78105855'],"[' 4192050  (Analyzed', ' 3757975)']","[' 8264     (Average', ' 454.74 Last', ' 6374)']",[' 3530.0  '],"[' 1294     (Average Length', ' 624.35 Splits', ' 0)']","[' 3757975  (Deleted', ' 3694345)']","[' 113      (Ratio', '   0.00%)']","[' 21769    (Ratio', '   0.58%)']","[' 3757975  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3757975  (Average', ' 19.68 Max', ' 3677 Sum', ' 73954641)']","[' 3757419  (Average', ' 19.59 Max', ' 3677 Sum', ' 73611867 Ratio', '  99.54%)']","[' 556      (Average', ' 616.50 Max', ' 851 Sum', ' 342774 Ratio', '   0.46%)']", ,[' 86957   '],[' 6871    '],[' 87417   '],[' 50741   '],"[' 152219   (Atom=Atom', ' 44618 Body=Body', ' 25946 Other', ' 81655)']",[' Yes'],"[' 8081     (Eliminated', '    0 Frozen', ' 8081)']","[' 3719     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.65493'],[' 0'], ,[' 168.996'],[' 0'],[' 5.6709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.06637e+08'],[' 1.72293e+08'],[' 0'],[' 1.4873e+10'],[' 0'],[' 0'],[' 1392 '],[' 2408 '],[' 3713 ']
Solving...,TA58, ,[' 1'],[' 2975+'],[' 1491'],"[' 257.158s (Solving', ' 248.57s 1st Model', ' 10.95s Unsat', ' 0.00s)']",[' 255.703s'], ,[' 73427598'],"[' 3896297  (Analyzed', ' 3487530)']","[' 7406     (Average', ' 470.91 Last', ' 64400)']",[' 3578.9  '],"[' 1491     (Average Length', ' 715.39 Splits', ' 0)']","[' 3487530  (Deleted', ' 3428434)']","[' 144      (Ratio', '   0.00%)']","[' 20266    (Ratio', '   0.58%)']","[' 3487530  (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3487530  (Average', ' 19.75 Max', ' 3721 Sum', ' 68888805)']","[' 3486888  (Average', ' 19.61 Max', ' 3721 Sum', ' 68403843 Ratio', '  99.30%)']","[' 642      (Average', ' 755.39 Max', ' 964 Sum', ' 484962 Ratio', '   0.70%)']", ,[' 87058   '],[' 6859    '],[' 87682   '],[' 50840   '],"[' 152516   (Atom=Atom', ' 44729 Body=Body', ' 25934 Other', ' 81853)']",[' Yes'],"[' 8233     (Eliminated', '    0 Frozen', ' 8233)']","[' 3694     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82496'],[' 0'], ,[' 172.509'],[' 0'],[' 5.35697'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.91021e+08'],[' 1.59629e+08'],[' 0'],[' 1.55659e+10'],[' 0'],[' 0'],[' 1256 '],[' 2389 '],[' 3757 ']
Solving...,TA59, ,[' 1'],[' 2811+'],[' 1409'],"[' 256.904s (Solving', ' 248.51s 1st Model', ' 10.81s Unsat', ' 0.00s)']",[' 255.719s'], ,[' 82728029'],"[' 3838475  (Analyzed', ' 3419726)']","[' 7175     (Average', ' 476.62 Last', ' 17150)']",[' 3531.1  '],"[' 1409     (Average Length', ' 682.82 Splits', ' 0)']","[' 3419726  (Deleted', ' 3357349)']","[' 132      (Ratio', '   0.00%)']","[' 25173    (Ratio', '   0.74%)']","[' 3419726  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3419726  (Average', ' 22.94 Max', ' 3643 Sum', ' 78433240)']","[' 3419152  (Average', ' 22.82 Max', ' 3643 Sum', ' 78046454 Ratio', '  99.51%)']","[' 574      (Average', ' 673.84 Max', ' 872 Sum', ' 386786 Ratio', '   0.49%)']", ,[' 87001   '],[' 6892    '],[' 87585   '],[' 51017   '],"[' 153047   (Atom=Atom', ' 44873 Body=Body', ' 25967 Other', ' 82207)']",[' Yes'],"[' 8226     (Eliminated', '    0 Frozen', ' 8226)']","[' 3978     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82276'],[' 0'], ,[' 162.884'],[' 0'],[' 6.15408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.24523e+08'],[' 1.91547e+08'],[' 0'],[' 1.3685e+10'],[' 0'],[' 0'],[' 1166 '],[' 2322 '],[' 3682 ']
Solving...,TA60, ,[' 1'],[' 3235+'],[' 1621'],"[' 257.379s (Solving', ' 247.67s 1st Model', ' 50.56s Unsat', ' 0.00s)']",[' 255.938s'], ,[' 98413178'],"[' 3127868  (Analyzed', ' 2725684)']","[' 6991     (Average', ' 389.88 Last', ' 84729)']",[' 3514.8  '],"[' 1621     (Average Length', ' 779.29 Splits', ' 0)']","[' 2725684  (Deleted', ' 2667942)']","[' 165      (Ratio', '   0.01%)']","[' 28372    (Ratio', '   1.04%)']","[' 2725684  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2725684  (Average', ' 34.38 Max', ' 3376 Sum', ' 93716822)']","[' 2725112  (Average', ' 34.22 Max', ' 3376 Sum', ' 93270856 Ratio', '  99.52%)']","[' 572      (Average', ' 779.66 Max', ' 1053 Sum', ' 445966 Ratio', '   0.48%)']", ,[' 87223   '],[' 6895    '],[' 87961   '],[' 51118   '],"[' 153350   (Atom=Atom', ' 44971 Body=Body', ' 25970 Other', ' 82409)']",[' Yes'],"[' 8383     (Eliminated', '    0 Frozen', ' 8383)']","[' 4346     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.01674'],[' 0'], ,[' 144.653'],[' 0'],[' 6.52224'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.92745e+08'],[' 2.50115e+08'],[' 0'],[' 1.16335e+10'],[' 0'],[' 0'],[' 1136 '],[' 2172 '],[' 3346 ']
