Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 
Solving...,TA51, ,[' 1'],[' 2265+'],[' 1137'],"[' 264.817s (Solving', ' 259.81s 1st Model', ' 4.49s Unsat', ' 0.00s)']",[' 264.234s'], ,[' 35951708'],"[' 6749147  (Analyzed', ' 6493259)']","[' 13333    (Average', ' 487.01 Last', ' 29700)']",[' 2644.2  '],"[' 1137     (Average Length', ' 544.01 Splits', ' 0)']","[' 6493259  (Deleted', ' 6400574)']","[' 23       (Ratio', '   0.00%)']","[' 8361     (Ratio', '   0.13%)']","[' 6493259  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6493259  (Average', '  5.14 Max', ' 3211 Sum', ' 33376451)']","[' 6492555  (Average', '  5.08 Max', ' 3211 Sum', ' 32964720 Ratio', '  98.77%)']","[' 704      (Average', ' 584.85 Max', ' 819 Sum', ' 411731 Ratio', '   1.23%)']", ,[' 82733   '],[' 5402    '],[' 83042   '],[' 47042   '],"[' 141122   (Atom=Atom', ' 42388 Body=Body', ' 24477 Other', ' 74257)']",[' Yes'],"[' 6461     (Eliminated', '    0 Frozen', ' 6461)']","[' 1508     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.13257'],[' 0'], ,[' 210.996'],[' 0'],[' 4.11875'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.45779e+07'],[' 7.21513e+07'],[' 0'],[' 2.49557e+10'],[' 0'],[' 0'],[' 1132 '],[' 1886 '],[' 2922 '],[' 3952 ']
Solving...,TA52, ,[' 1'],[' 1973+'],[' 991'],"[' 18223.616s (Solving', ' 18219.52s 1st Model', ' 4.06s Unsat', ' 0.00s)']",[' 263.484s'], ,[' 33144038'],"[' 6063300  (Analyzed', ' 5901802)']","[' 12273    (Average', ' 480.88 Last', ' 12680)']",[' 2496.6  '],"[' 991      (Average Length', ' 477.30 Splits', ' 0)']","[' 5901802  (Deleted', ' 5823673)']","[' 44       (Ratio', '   0.00%)']","[' 9951     (Ratio', '   0.17%)']","[' 5901802  (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5901802  (Average', '  5.26 Max', ' 3171 Sum', ' 31032294)']","[' 5901116  (Average', '  5.20 Max', ' 3171 Sum', ' 30663194 Ratio', '  98.81%)']","[' 686      (Average', ' 538.05 Max', ' 731 Sum', ' 369100 Ratio', '   1.19%)']", ,[' 82802   '],[' 5410    '],[' 82993   '],[' 47096   '],"[' 141284   (Atom=Atom', ' 42434 Body=Body', ' 24485 Other', ' 74365)']",[' Yes'],"[' 6351     (Eliminated', '    0 Frozen', ' 6351)']","[' 1682     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.957786'],[' 0'], ,[' 18178.6'],[' 0'],[' 3.69725'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.0901e+07'],[' 6.80113e+07'],[' 0'],[' 2.24039e+10'],[' 0'],[' 0'],[' 1044 '],[' 1882 '],[' 2927 '],[' 3930 ']
Solving...,TA53, ,[' 1'],[' 2141+'],[' 1075'],"[' 265.359s (Solving', ' 260.14s 1st Model', ' 4.87s Unsat', ' 0.00s)']",[' 264.547s'], ,[' 27861370'],"[' 7712253  (Analyzed', ' 7440799)']","[' 14496    (Average', ' 513.30 Last', ' 331651)']",[' 2735.9  '],"[' 1075     (Average Length', ' 518.75 Splits', ' 0)']","[' 7440799  (Deleted', ' 7340168)']","[' 12       (Ratio', '   0.00%)']","[' 5209     (Ratio', '   0.07%)']","[' 7440799  (Average Length', '   13.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7440799  (Average', '  3.39 Max', ' 3386 Sum', ' 25230161)']","[' 7440239  (Average', '  3.35 Max', ' 3386 Sum', ' 24932915 Ratio', '  98.82%)']","[' 560      (Average', ' 530.80 Max', ' 779 Sum', ' 297246 Ratio', '   1.18%)']", ,[' 81693   '],[' 5219    '],[' 81961   '],[' 46373   '],"[' 139115   (Atom=Atom', ' 41902 Body=Body', ' 24294 Other', ' 72919)']",[' Yes'],"[' 6237     (Eliminated', '    0 Frozen', ' 6237)']","[' 880      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06498'],[' 0'], ,[' 210.909'],[' 0'],[' 3.85322'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.47516e+07'],[' 5.34608e+07'],[' 0'],[' 2.44728e+10'],[' 0'],[' 0'],[' 951 '],[' 1684 '],[' 2584 '],[' 3606 ']
Solving...,TA54, ,[' 1'],[' 1977+'],[' 993'],"[' 264.936s (Solving', ' 260.15s 1st Model', ' 4.35s Unsat', ' 0.00s)']",[' 264.406s'], ,[' 34871989'],"[' 7177154  (Analyzed', ' 6981051)']","[' 14199    (Average', ' 491.66 Last', ' 8693)']",[' 2789.5  '],"[' 993      (Average Length', ' 482.89 Splits', ' 0)']","[' 6981051  (Deleted', ' 6892258)']","[' 19       (Ratio', '   0.00%)']","[' 7183     (Ratio', '   0.10%)']","[' 6981051  (Average Length', '   18.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6981051  (Average', '  4.63 Max', ' 3298 Sum', ' 32309825)']","[' 6980373  (Average', '  4.59 Max', ' 3298 Sum', ' 32018440 Ratio', '  99.10%)']","[' 678      (Average', ' 429.77 Max', ' 2031 Sum', ' 291385 Ratio', '   0.90%)']", ,[' 82640   '],[' 5424    '],[' 82834   '],[' 47246   '],"[' 141734   (Atom=Atom', ' 42570 Body=Body', ' 24499 Other', ' 74665)']",[' Yes'],"[' 6368     (Eliminated', '    0 Frozen', ' 6368)']","[' 1287     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0792'],[' 0'], ,[' 211.287'],[' 0'],[' 4.05825'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.93974e+07'],[' 6.65646e+07'],[' 0'],[' 2.5365e+10'],[' 0'],[' 0'],[' 997 '],[' 1906 '],[' 2834 '],[' 3773 ']
Solving...,TA55, ,[' 1'],[' 2055+'],[' 1032'],"[' 265.194s (Solving', ' 260.59s 1st Model', ' 3.67s Unsat', ' 0.00s)']",[' 264.688s'], ,[' 36242937'],"[' 6899266  (Analyzed', ' 6792364)']","[' 13571    (Average', ' 500.51 Last', ' 20243)']",[' 2494.7  '],"[' 1032     (Average Length', ' 503.20 Splits', ' 0)']","[' 6792364  (Deleted', ' 6704373)']","[' 52       (Ratio', '   0.00%)']","[' 8701     (Ratio', '   0.13%)']","[' 6792364  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6792364  (Average', '  5.02 Max', ' 3126 Sum', ' 34115730)']","[' 6791670  (Average', '  4.97 Max', ' 3126 Sum', ' 33763760 Ratio', '  98.97%)']","[' 694      (Average', ' 507.16 Max', ' 782 Sum', ' 351970 Ratio', '   1.03%)']", ,[' 82181   '],[' 5335    '],[' 82421   '],[' 46434   '],"[' 139298   (Atom=Atom', ' 41847 Body=Body', ' 24410 Other', ' 73041)']",[' Yes'],"[' 6325     (Eliminated', '    0 Frozen', ' 6325)']","[' 1550     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.0418'],[' 0'], ,[' 208.22'],[' 0'],[' 4.01171'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02194e+08'],[' 7.55331e+07'],[' 0'],[' 2.47625e+10'],[' 0'],[' 0'],[' 846 '],[' 1928 '],[' 2732 '],[' 3790 ']
Solving...,TA56, ,[' 1'],[' 1887+'],[' 948'],"[' 264.939s (Solving', ' 260.04s 1st Model', ' 4.33s Unsat', ' 0.00s)']",[' 264.438s'], ,[' 32338647'],"[' 6806843  (Analyzed', ' 6658938)']","[' 13583    (Average', ' 490.24 Last', ' 6180)']",[' 2764.1  '],"[' 948      (Average Length', ' 462.50 Splits', ' 0)']","[' 6658938  (Deleted', ' 6577532)']","[' 23       (Ratio', '   0.00%)']","[' 7649     (Ratio', '   0.11%)']","[' 6658938  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6658938  (Average', '  4.50 Max', ' 3306 Sum', ' 29948069)']","[' 6658314  (Average', '  4.46 Max', ' 3306 Sum', ' 29682005 Ratio', '  99.11%)']","[' 624      (Average', ' 426.38 Max', ' 640 Sum', ' 266064 Ratio', '   0.89%)']", ,[' 82083   '],[' 5315    '],[' 82240   '],[' 46476   '],"[' 139424   (Atom=Atom', ' 41909 Body=Body', ' 24390 Other', ' 73125)']",[' Yes'],"[' 6222     (Eliminated', '    0 Frozen', ' 6222)']","[' 1359     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.03739'],[' 0'], ,[' 213.409'],[' 0'],[' 3.91984'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.48188e+07'],[' 6.40292e+07'],[' 0'],[' 2.44788e+10'],[' 0'],[' 0'],[' 1157 '],[' 2346 '],[' 3260 '],[' 4157 ']
Solving...,TA57, ,[' 1'],[' 1845+'],[' 927'],"[' 264.869s (Solving', ' 260.64s 1st Model', ' 6.80s Unsat', ' 0.00s)']",[' 264.563s'], ,[' 31865201'],"[' 7214255  (Analyzed', ' 7013027)']","[' 13999    (Average', ' 500.97 Last', ' 40183)']",[' 2569.1  '],"[' 927      (Average Length', ' 450.96 Splits', ' 0)']","[' 7013027  (Deleted', ' 6923642)']","[' 20       (Ratio', '   0.00%)']","[' 7153     (Ratio', '   0.10%)']","[' 7013027  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7013027  (Average', '  4.23 Max', ' 3061 Sum', ' 29696508)']","[' 7012227  (Average', '  4.19 Max', ' 3061 Sum', ' 29368283 Ratio', '  98.89%)']","[' 800      (Average', ' 410.28 Max', ' 680 Sum', ' 328225 Ratio', '   1.11%)']", ,[' 81848   '],[' 5309    '],[' 81976   '],[' 46019   '],"[' 138053   (Atom=Atom', ' 41458 Body=Body', ' 24384 Other', ' 72211)']",[' Yes'],"[' 6187     (Eliminated', '    0 Frozen', ' 6187)']","[' 1225     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.974093'],[' 0'], ,[' 213.748'],[' 0'],[' 3.8952'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.09458e+07'],[' 5.91056e+07'],[' 0'],[' 2.62449e+10'],[' 0'],[' 0'],[' 1230 '],[' 2151 '],[' 3050 '],[' 4230 ']
Solving...,TA58, ,[' 1'],[' 2045+'],[' 1027'],"[' 265.066s (Solving', ' 260.29s 1st Model', ' 4.00s Unsat', ' 0.00s)']",[' 264.719s'], ,[' 34258029'],"[' 7088840  (Analyzed', ' 6921741)']","[' 13791    (Average', ' 501.90 Last', ' 61254)']",[' 2616.0  '],"[' 1027     (Average Length', ' 495.09 Splits', ' 0)']","[' 6921741  (Deleted', ' 6831147)']","[' 38       (Ratio', '   0.00%)']","[' 8289     (Ratio', '   0.12%)']","[' 6921741  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6921741  (Average', '  4.61 Max', ' 3059 Sum', ' 31923701)']","[' 6921073  (Average', '  4.57 Max', ' 3059 Sum', ' 31598884 Ratio', '  98.98%)']","[' 668      (Average', ' 486.25 Max', ' 737 Sum', ' 324817 Ratio', '   1.02%)']", ,[' 82400   '],[' 5324    '],[' 82620   '],[' 46616   '],"[' 139844   (Atom=Atom', ' 42040 Body=Body', ' 24399 Other', ' 73405)']",[' Yes'],"[' 6294     (Eliminated', '    0 Frozen', ' 6294)']","[' 1673     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.06727'],[' 0'], ,[' 210.771'],[' 0'],[' 4.00947'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.05061e+07'],[' 6.73494e+07'],[' 0'],[' 2.50488e+10'],[' 0'],[' 0'],[' 915 '],[' 1892 '],[' 2746 '],[' 3694 ']
Solving...,TA59, ,[' 1'],[' 1799+'],[' 904'],"[' 264.870s (Solving', ' 261.04s 1st Model', ' 3.95s Unsat', ' 0.00s)']",[' 264.531s'], ,[' 36260188'],"[' 8235573  (Analyzed', ' 8069450)']","[' 15477    (Average', ' 521.38 Last', ' 5052)']",[' 2698.9  '],"[' 904      (Average Length', ' 440.76 Splits', ' 0)']","[' 8069450  (Deleted', ' 7969737)']","[' 21       (Ratio', '   0.00%)']","[' 7484     (Ratio', '   0.09%)']","[' 8069450  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8069450  (Average', '  4.22 Max', ' 3163 Sum', ' 34026670)']","[' 8068608  (Average', '  4.18 Max', ' 3163 Sum', ' 33693235 Ratio', '  99.02%)']","[' 842      (Average', ' 396.00 Max', ' 610 Sum', ' 333435 Ratio', '   0.98%)']", ,[' 81989   '],[' 5365    '],[' 82109   '],[' 46390   '],"[' 139166   (Atom=Atom', ' 41773 Body=Body', ' 24440 Other', ' 72953)']",[' Yes'],"[' 6235     (Eliminated', '    0 Frozen', ' 6235)']","[' 1119     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.990946'],[' 0'], ,[' 207.21'],[' 0'],[' 4.00282'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.45843e+07'],[' 6.99064e+07'],[' 0'],[' 2.52241e+10'],[' 0'],[' 0'],[' 987 '],[' 1856 '],[' 2907 '],[' 4038 ']
Solving...,TA60, ,[' 1'],[' 2513+'],[' 1261'],"[' 265.461s (Solving', ' 259.20s 1st Model', ' 7.68s Unsat', ' 0.00s)']",[' 264.891s'], ,[' 43136818'],"[' 6457942  (Analyzed', ' 6299108)']","[' 13663    (Average', ' 461.03 Last', ' 19661)']",[' 2467.7  '],"[' 1261     (Average Length', ' 591.92 Splits', ' 0)']","[' 6299108  (Deleted', ' 6203908)']","[' 79       (Ratio', '   0.00%)']","[' 13150    (Ratio', '   0.21%)']","[' 6299108  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6299108  (Average', '  6.45 Max', ' 2620 Sum', ' 40639583)']","[' 6298496  (Average', '  6.39 Max', ' 2620 Sum', ' 40282620 Ratio', '  99.12%)']","[' 612      (Average', ' 583.27 Max', ' 1408 Sum', ' 356963 Ratio', '   0.88%)']", ,[' 82308   '],[' 5308    '],[' 82710   '],[' 46728   '],"[' 140180   (Atom=Atom', ' 42168 Body=Body', ' 24383 Other', ' 73629)']",[' Yes'],"[' 6460     (Eliminated', '    0 Frozen', ' 6460)']","[' 2403     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.286'],[' 0'], ,[' 204.627'],[' 0'],[' 4.37531'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.21858e+08'],[' 9.3958e+07'],[' 0'],[' 2.39986e+10'],[' 0'],[' 0'],[' 874 '],[' 1679 '],[' 2469 '],[' 3396 ']
