Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 
Solving...,TA51, ,[' 1'],[' 1257+'],[' 635'],"[' 372.712s (Solving', ' 369.94s 1st Model', ' 2.01s Unsat', ' 0.00s)']",[' 372.172s'], ,[' 22333923'],"[' 12294589 (Analyzed', ' 12255175)']","[' 25344    (Average', ' 483.55 Last', ' 40806)']",[' 1725.9  '],"[' 635      (Average Length', ' 308.30 Splits', ' 0)']","[' 12255175 (Deleted', ' 12070057)']","[' 9        (Ratio', '   0.00%)']","[' 3395     (Ratio', '   0.03%)']","[' 12255175 (Average Length', '   12.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12255175 (Average', '  1.72 Max', ' 2470 Sum', ' 21088627)']","[' 12254863 (Average', '  1.71 Max', ' 2470 Sum', ' 21000633 Ratio', '  99.58%)']","[' 312      (Average', ' 282.03 Max', ' 526 Sum', '  87994 Ratio', '   0.42%)']", ,[' 77090   '],[' 3839    '],[' 76954   '],[' 43567   '],"[' 130697   (Atom=Atom', ' 40476 Body=Body', ' 22914 Other', ' 67307)']",[' Yes'],"[' 4453     (Eliminated', '    0 Frozen', ' 4453)']","[' 506      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.610356'],[' 0'], ,[' 302.99'],[' 0'],[' 5.28387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.62446e+07'],[' 3.77092e+07'],[' 0'],[' 4.39637e+10'],[' 0'],[' 0'],[' 734 '],[' 1457 '],[' 1999 '],[' 2750 '],[' 3258 '],[' 4071 ']
Solving...,TA52, ,[' 1'],[' 1099+'],[' 556'],"[' 372.745s (Solving', ' 370.05s 1st Model', ' 1.25s Unsat', ' 0.00s)']",[' 372.547s'], ,[' 25444983'],"[' 14336611 (Analyzed', ' 14301387)']","[' 28435    (Average', ' 502.95 Last', ' 204154)']",[' 1907.5  '],"[' 556      (Average Length', ' 271.76 Splits', ' 0)']","[' 14301387 (Deleted', ' 14097607)']","[' 6        (Ratio', '   0.00%)']","[' 3013     (Ratio', '   0.02%)']","[' 14301387 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14301387 (Average', '  1.68 Max', ' 2433 Sum', ' 24085515)']","[' 14301059 (Average', '  1.68 Max', ' 2433 Sum', ' 24019853 Ratio', '  99.73%)']","[' 328      (Average', ' 200.19 Max', ' 393 Sum', '  65662 Ratio', '   0.27%)']", ,[' 77479   '],[' 3822    '],[' 77270   '],[' 43307   '],"[' 129917   (Atom=Atom', ' 40233 Body=Body', ' 22897 Other', ' 66787)']",[' Yes'],"[' 4363     (Eliminated', '    0 Frozen', ' 4363)']","[' 462      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.641652'],[' 0'], ,[' 296.358'],[' 0'],[' 4.98995'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.08191e+07'],[' 3.76782e+07'],[' 0'],[' 4.25914e+10'],[' 0'],[' 0'],[' 814 '],[' 1574 '],[' 2199 '],[' 2737 '],[' 3467 '],[' 4091 ']
Solving...,TA53, ,[' 1'],[' 1039+'],[' 526'],"[' 347.720s (Solving', ' 345.33s 1st Model', ' 1.40s Unsat', ' 36.76s)']",[' 347.359s'], ,[' 18572066'],"[' 10078047 (Analyzed', ' 10034259)']","[' 21835    (Average', ' 459.55 Last', ' 99289)']",[' 1750.9  '],"[' 526      (Average Length', ' 255.49 Splits', ' 0)']","[' 10034259 (Deleted', ' 9851859)']","[' 28       (Ratio', '   0.00%)']","[' 2864     (Ratio', '   0.03%)']","[' 10034259 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10034259 (Average', '  1.74 Max', ' 2453 Sum', ' 17497077)']","[' 10033977 (Average', '  1.74 Max', ' 2453 Sum', ' 17434729 Ratio', '  99.64%)']","[' 282      (Average', ' 221.09 Max', ' 401 Sum', '  62348 Ratio', '   0.36%)']", ,[' 76520   '],[' 3837    '],[' 76281   '],[' 43470   '],"[' 130406   (Atom=Atom', ' 40381 Body=Body', ' 22912 Other', ' 67113)']",[' Yes'],"[' 4348     (Eliminated', '    0 Frozen', ' 4348)']","[' 425      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.533283'],[' 0'], ,[' 289.259'],[' 0'],[' 4.68342'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.54323e+07'],[' 3.23658e+07'],[' 0'],[' 4.42219e+10'],[' 0'],[' 0'],[' 696 '],[' 1292 '],[' 1885 '],[' 2570 '],[' 3284 '],[' 4011 ']
Solving...,TA54, , ,[' 1121'],[' 567'],"[' 312.972s (Solving', ' 310.52s 1st Model', ' 1.67s Unsat', ' 0.23s)']",[' 312.531s'], ,[' 22689828'],"[' 12581839 (Analyzed', ' 12536654)']","[' 25450    (Average', ' 492.60 Last', ' 11698)']",[' 1656.5  '],"[' 567      (Average Length', ' 274.84 Splits', ' 0)']","[' 12536654 (Deleted', ' 12367251)']","[' 14       (Ratio', '   0.00%)']","[' 3028     (Ratio', '   0.02%)']","[' 12536654 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12536654 (Average', '  1.72 Max', ' 2389 Sum', ' 21503240)']","[' 12536327 (Average', '  1.71 Max', ' 2389 Sum', ' 21422978 Ratio', '  99.63%)']","[' 327      (Average', ' 245.45 Max', ' 443 Sum', '  80262 Ratio', '   0.37%)']", ,[' 77103   '],[' 3775    '],[' 76901   '],[' 42895   '],"[' 128681   (Atom=Atom', ' 39868 Body=Body', ' 22850 Other', ' 65963)']",[' Yes'],"[' 4323     (Eliminated', '    0 Frozen', ' 4323)']","[' 499      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.559181'],[' 0'], ,[' 245.264'],[' 0'],[' 4.60462'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.54299e+07'],[' 3.47398e+07'],[' 0'],[' 3.38968e+10'],[' 0'],[' 0'],[' 654 '],[' 1252 '],[' 1885 '],[' 2461 '],[' 3252 '],[' 3790 ']
Solving...,TA55, ,[' 1'],[' 1221+'],[' 617'],"[' 372.751s (Solving', ' 370.09s 1st Model', ' 1.72s Unsat', ' 0.00s)']",[' 371.750s'], ,[' 21542255'],"[' 12382298 (Analyzed', ' 12331580)']","[' 25127    (Average', ' 490.77 Last', ' 1955)']",[' 1862.2  '],"[' 617      (Average Length', ' 300.85 Splits', ' 0)']","[' 12331580 (Deleted', ' 12160315)']","[' 3        (Ratio', '   0.00%)']","[' 2794     (Ratio', '   0.02%)']","[' 12331580 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12331580 (Average', '  1.64 Max', ' 2482 Sum', ' 20184012)']","[' 12331299 (Average', '  1.63 Max', ' 2482 Sum', ' 20119004 Ratio', '  99.68%)']","[' 281      (Average', ' 231.35 Max', ' 476 Sum', '  65008 Ratio', '   0.32%)']", ,[' 77244   '],[' 3779    '],[' 77095   '],[' 43131   '],"[' 129389   (Atom=Atom', ' 40100 Body=Body', ' 22854 Other', ' 66435)']",[' Yes'],"[' 4380     (Eliminated', '    0 Frozen', ' 4380)']","[' 387      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.65212'],[' 0'], ,[' 305.872'],[' 0'],[' 5.18153'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.09814e+07'],[' 3.2104e+07'],[' 0'],[' 4.50561e+10'],[' 0'],[' 0'],[' 769 '],[' 1359 '],[' 2066 '],[' 2615 '],[' 3186 '],[' 3911 ']
Solving...,TA56, ,[' 1'],[' 975+'],[' 494'],"[' 372.673s (Solving', ' 370.44s 1st Model', ' 1.46s Unsat', ' 0.00s)']",[' 372.219s'], ,[' 23228464'],"[' 12818104 (Analyzed', ' 12772288)']","[' 25391    (Average', ' 503.02 Last', ' 22444)']",[' 1822.6  '],"[' 494      (Average Length', ' 241.73 Splits', ' 0)']","[' 12772288 (Deleted', ' 12604281)']","[' 7        (Ratio', '   0.00%)']","[' 3182     (Ratio', '   0.02%)']","[' 12772288 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12772288 (Average', '  1.72 Max', ' 2488 Sum', ' 22019115)']","[' 12771977 (Average', '  1.72 Max', ' 2488 Sum', ' 21966018 Ratio', '  99.76%)']","[' 311      (Average', ' 170.73 Max', ' 400 Sum', '  53097 Ratio', '   0.24%)']", ,[' 76778   '],[' 3851    '],[' 76508   '],[' 43200   '],"[' 129596   (Atom=Atom', ' 40097 Body=Body', ' 22926 Other', ' 66573)']",[' Yes'],"[' 4331     (Eliminated', '    0 Frozen', ' 4331)']","[' 475      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.553319'],[' 0'], ,[' 305.557'],[' 0'],[' 5.23968'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.3665e+07'],[' 3.38049e+07'],[' 0'],[' 4.474e+10'],[' 0'],[' 0'],[' 917 '],[' 1463 '],[' 2380 '],[' 2987 '],[' 3585 '],[' 4398 ']
Solving...,TA57, , ,[' 1019'],[' 516'],"[' 313.981s (Solving', ' 311.67s 1st Model', ' 1.37s Unsat', ' 1.20s)']",[' 313.547s'], ,[' 21394905'],"[' 11926664 (Analyzed', ' 11892297)']","[' 24326    (Average', ' 488.87 Last', ' 12680)']",[' 1754.3  '],"[' 516      (Average Length', ' 251.15 Splits', ' 0)']","[' 11892297 (Deleted', ' 11733396)']","[' 19       (Ratio', '   0.00%)']","[' 2729     (Ratio', '   0.02%)']","[' 11892297 (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11892297 (Average', '  1.70 Max', ' 2418 Sum', ' 20212486)']","[' 11891998 (Average', '  1.69 Max', ' 2418 Sum', ' 20155946 Ratio', '  99.72%)']","[' 299      (Average', ' 189.10 Max', ' 382 Sum', '  56540 Ratio', '   0.28%)']", ,[' 76629   '],[' 3755    '],[' 76377   '],[' 42690   '],"[' 128066   (Atom=Atom', ' 39683 Body=Body', ' 22830 Other', ' 65553)']",[' Yes'],"[' 4253     (Eliminated', '    0 Frozen', ' 4253)']","[' 482      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.550181'],[' 0'], ,[' 251.253'],[' 0'],[' 4.48314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.91948e+07'],[' 3.15781e+07'],[' 0'],[' 3.53729e+10'],[' 0'],[' 0'],[' 884 '],[' 1592 '],[' 2178 '],[' 2756 '],[' 3432 '],[' 3996 ']
Solving...,TA58, ,[' 1'],[' 1197+'],[' 605'],"[' 372.639s (Solving', ' 369.98s 1st Model', ' 1.38s Unsat', ' 0.00s)']",[' 371.875s'], ,[' 20901162'],"[' 12021603 (Analyzed', ' 11980875)']","[' 24881    (Average', ' 481.53 Last', ' 9374)']",[' 1715.1  '],"[' 605      (Average Length', ' 295.31 Splits', ' 0)']","[' 11980875 (Deleted', ' 11794405)']","[' 3        (Ratio', '   0.00%)']","[' 2669     (Ratio', '   0.02%)']","[' 11980875 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11980875 (Average', '  1.64 Max', ' 2421 Sum', ' 19699046)']","[' 11980581 (Average', '  1.64 Max', ' 2421 Sum', ' 19623593 Ratio', '  99.62%)']","[' 294      (Average', ' 256.64 Max', ' 463 Sum', '  75453 Ratio', '   0.38%)']", ,[' 76859   '],[' 3754    '],[' 76699   '],[' 42744   '],"[' 128228   (Atom=Atom', ' 39738 Body=Body', ' 22829 Other', ' 65661)']",[' Yes'],"[' 4344     (Eliminated', '    0 Frozen', ' 4344)']","[' 468      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.599301'],[' 0'], ,[' 305.908'],[' 0'],[' 5.15706'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.07963e+07'],[' 3.2781e+07'],[' 0'],[' 4.47904e+10'],[' 0'],[' 0'],[' 619 '],[' 1304 '],[' 1878 '],[' 2493 '],[' 3345 '],[' 3964 ']
Solving...,TA59, ,[' 1'],[' 941+'],[' 477'],"[' 372.537s (Solving', ' 370.37s 1st Model', ' 1.76s Unsat', ' 0.00s)']",[' 371.797s'], ,[' 25405049'],"[' 13856265 (Analyzed', ' 13814415)']","[' 28256    (Average', ' 488.90 Last', ' 18024)']",[' 1803.4  '],"[' 477      (Average Length', ' 233.47 Splits', ' 0)']","[' 13814415 (Deleted', ' 13621904)']","[' 8        (Ratio', '   0.00%)']","[' 3543     (Ratio', '   0.03%)']","[' 13814415 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 13814415 (Average', '  1.75 Max', ' 2510 Sum', ' 24173544)']","[' 13814185 (Average', '  1.75 Max', ' 2510 Sum', ' 24123236 Ratio', '  99.79%)']","[' 230      (Average', ' 218.73 Max', ' 344 Sum', '  50308 Ratio', '   0.21%)']", ,[' 77036   '],[' 3802    '],[' 76753   '],[' 43438   '],"[' 130310   (Atom=Atom', ' 40384 Body=Body', ' 22877 Other', ' 67049)']",[' Yes'],"[' 4269     (Eliminated', '    0 Frozen', ' 4269)']","[' 566      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.521124'],[' 0'], ,[' 298.205'],[' 0'],[' 5.43579'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.3077e+07'],[' 4.0579e+07'],[' 0'],[' 4.20378e+10'],[' 0'],[' 0'],[' 659 '],[' 1285 '],[' 2066 '],[' 2867 '],[' 3635 '],[' 4403 ']
Solving...,TA60, , ,[' 1319'],[' 666'],"[' 334.604s (Solving', ' 331.85s 1st Model', ' 1.87s Unsat', ' 20.92s)']",[' 334.125s'], ,[' 20242170'],"[' 11852876 (Analyzed', ' 11796590)']","[' 24515    (Average', ' 481.20 Last', ' 8291)']",[' 1802.1  '],"[' 666      (Average Length', ' 322.80 Splits', ' 0)']","[' 11796590 (Deleted', ' 11615669)']","[' 20       (Ratio', '   0.00%)']","[' 2817     (Ratio', '   0.02%)']","[' 11796590 (Average Length', '   11.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11796590 (Average', '  1.61 Max', ' 2323 Sum', ' 18943610)']","[' 11796217 (Average', '  1.60 Max', ' 2323 Sum', ' 18834361 Ratio', '  99.42%)']","[' 373      (Average', ' 292.89 Max', ' 485 Sum', ' 109249 Ratio', '   0.58%)']", ,[' 77069   '],[' 3786    '],[' 76961   '],[' 43161   '],"[' 129479   (Atom=Atom', ' 40123 Body=Body', ' 22861 Other', ' 66495)']",[' Yes'],"[' 4428     (Eliminated', '    0 Frozen', ' 4428)']","[' 443      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.683001'],[' 0'], ,[' 267.624'],[' 0'],[' 4.65203'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.10449e+07'],[' 3.33986e+07'],[' 0'],[' 3.73969e+10'],[' 0'],[' 0'],[' 647 '],[' 1205 '],[' 1817 '],[' 2397 '],[' 3088 '],[' 3626 ']
