Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA71, ,[' 1'],[' 4233+'],[' 2124'],"[' 688.268s (Solving', ' 649.28s 1st Model', ' 42.52s Unsat', ' 0.00s)']",[' 684.281s'], ,[' 110069393'],"[' 6497906  (Analyzed', ' 6173601)']","[' 13199    (Average', ' 467.73 Last', ' 11512)']",[' 7509.4  '],"[' 2124     (Average Length', ' 1017.29 Splits', ' 0)']","[' 6173601  (Deleted', ' 6073776)']","[' 25       (Ratio', '   0.00%)']","[' 15482    (Ratio', '   0.25%)']","[' 6173601  (Average Length', '   22.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6173601  (Average', ' 15.79 Max', ' 10395 Sum', ' 97461557)']","[' 6171575  (Average', ' 15.47 Max', ' 10395 Sum', ' 95516537 Ratio', '  98.00%)']","[' 2026     (Average', ' 960.03 Max', ' 1565 Sum', ' 1945020 Ratio', '   2.00%)']", ,[' 378887  '],[' 16357   '],[' 378899  '],[' 222378  '],"[' 667130   (Atom=Atom', ' 208019 Body=Body', ' 117257 Other', ' 341854)']",[' Yes'],"[' 18369    (Eliminated', '    0 Frozen', ' 18369)']","[' 2977     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.91034'],[' 0'], ,[' 539.544'],[' 0'],[' 10.7036'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.08479e+08'],[' 3.75142e+08'],[' 0'],[' 6.62125e+10'],[' 0'],[' 0'],1148,2554,3579,4562,5937,7175,8126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA72, ,[' 1'],[' 4625+'],[' 2320'],"[' 689.430s (Solving', ' 643.07s 1st Model', ' 44.38s Unsat', ' 0.00s)']",[' 686.828s'], ,[' 81595822'],"[' 7394649  (Analyzed', ' 6986938)']","[' 14378    (Average', ' 485.95 Last', ' 97264)']",[' 8244.0  '],"[' 2320     (Average Length', ' 1114.02 Splits', ' 0)']","[' 6986938  (Deleted', ' 6881809)']","[' 20       (Ratio', '   0.00%)']","[' 8830     (Ratio', '   0.13%)']","[' 6986938  (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6986938  (Average', '  9.48 Max', ' 10831 Sum', ' 66224975)']","[' 6984689  (Average', '  9.21 Max', ' 10831 Sum', ' 64328716 Ratio', '  97.14%)']","[' 2249     (Average', ' 843.16 Max', ' 1659 Sum', ' 1896259 Ratio', '   2.86%)']", ,[' 375738  '],[' 16302   '],[' 375933  '],[' 220689  '],"[' 662063   (Atom=Atom', ' 206385 Body=Body', ' 117202 Other', ' 338476)']",[' Yes'],"[' 18497    (Eliminated', '    0 Frozen', ' 18497)']","[' 1644     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.41179'],[' 0'], ,[' 541.223'],[' 0'],[' 10.0617'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.60256e+08'],[' 3.32676e+08'],[' 0'],[' 6.14553e+10'],[' 0'],[' 0'],957,2071,3108,4237,5362,6370,7502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA73, ,[' 1'],[' 4503+'],[' 2259'],"[' 688.870s (Solving', ' 646.06s 1st Model', ' 47.55s Unsat', ' 0.00s)']",[' 684.203s'], ,[' 99745225'],"[' 7278920  (Analyzed', ' 6807262)']","[' 14429    (Average', ' 471.78 Last', ' 57210)']",[' 7753.9  '],"[' 2259     (Average Length', ' 1065.90 Splits', ' 0)']","[' 6807262  (Deleted', ' 6711757)']","[' 21       (Ratio', '   0.00%)']","[' 10581    (Ratio', '   0.16%)']","[' 6807262  (Average Length', '   21.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6807262  (Average', ' 12.57 Max', ' 10884 Sum', ' 85562804)']","[' 6805204  (Average', ' 12.31 Max', ' 10884 Sum', ' 83764543 Ratio', '  97.90%)']","[' 2058     (Average', ' 873.79 Max', ' 1713 Sum', ' 1798261 Ratio', '   2.10%)']", ,[' 375783  '],[' 16050   '],[' 375897  '],[' 218834  '],"[' 656498   (Atom=Atom', ' 204782 Body=Body', ' 116950 Other', ' 334766)']",[' Yes'],"[' 18164    (Eliminated', '    0 Frozen', ' 18164)']","[' 1495     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.81641'],[' 0'], ,[' 538.989'],[' 0'],[' 10.5236'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.7641e+08'],[' 3.44952e+08'],[' 0'],[' 6.19645e+10'],[' 0'],[' 0'],1319,2438,3485,4535,5437,6627,7543
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA74, ,[' 1'],[' 4657+'],[' 2336'],"[' 688.461s (Solving', ' 647.40s 1st Model', ' 43.39s Unsat', ' 0.00s)']",[' 687.297s'], ,[' 88568299'],"[' 8292109  (Analyzed', ' 7833109)']","[' 15777    (Average', ' 496.49 Last', ' 35992)']",[' 7457.4  '],"[' 2336     (Average Length', ' 1114.00 Splits', ' 0)']","[' 7833109  (Deleted', ' 7722938)']","[' 24       (Ratio', '   0.00%)']","[' 10960    (Ratio', '   0.14%)']","[' 7833109  (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7833109  (Average', '  9.63 Max', ' 10156 Sum', ' 75465584)']","[' 7830451  (Average', '  9.31 Max', ' 10156 Sum', ' 72933387 Ratio', '  96.64%)']","[' 2658     (Average', ' 952.67 Max', ' 1697 Sum', ' 2532197 Ratio', '   3.36%)']", ,[' 371920  '],[' 15958   '],[' 372121  '],[' 215073  '],"[' 645215   (Atom=Atom', ' 201113 Body=Body', ' 116858 Other', ' 327244)']",[' Yes'],"[' 18159    (Eliminated', '    0 Frozen', ' 18159)']","[' 1861     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.51459'],[' 0'], ,[' 546.636'],[' 0'],[' 9.66336'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.7257e+08'],[' 3.42071e+08'],[' 0'],[' 6.69492e+10'],[' 0'],[' 0'],997,2058,3117,4148,5654,6564,7439
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA75, ,[' 1'],[' 4317+'],[' 2166'],"[' 687.334s (Solving', ' 651.90s 1st Model', ' 34.76s Unsat', ' 0.00s)']",[' 685.953s'], ,[' 87218401'],"[' 6890375  (Analyzed', ' 6396732)']","[' 13661    (Average', ' 468.25 Last', ' 7759)']",[' 7066.2  '],"[' 2166     (Average Length', ' 1025.83 Splits', ' 0)']","[' 6396732  (Deleted', ' 6296772)']","[' 33       (Ratio', '   0.00%)']","[' 10539    (Ratio', '   0.16%)']","[' 6396732  (Average Length', '   20.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6396732  (Average', ' 11.83 Max', ' 10552 Sum', ' 75660163)']","[' 6394300  (Average', ' 11.46 Max', ' 10552 Sum', ' 73279143 Ratio', '  96.85%)']","[' 2432     (Average', ' 979.04 Max', ' 1686 Sum', ' 2381020 Ratio', '   3.15%)']", ,[' 376258  '],[' 16259   '],[' 376316  '],[' 218272  '],"[' 654812   (Atom=Atom', ' 204011 Body=Body', ' 117159 Other', ' 333642)']",[' Yes'],"[' 18317    (Eliminated', '    0 Frozen', ' 18317)']","[' 1927     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.21258'],[' 0'], ,[' 560.945'],[' 0'],[' 9.69168'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.34382e+08'],[' 3.06198e+08'],[' 0'],[' 7.21528e+10'],[' 0'],[' 0'],1175,2145,3361,4412,5354,6549,7783
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA76, ,[' 1'],[' 4791+'],[' 2403'],"[' 688.201s (Solving', ' 645.65s 1st Model', ' 44.95s Unsat', ' 0.00s)']",[' 685.422s'], ,[' 91510740'],"[' 7220683  (Analyzed', ' 6852793)']","[' 14393    (Average', ' 476.12 Last', ' 11682)']",[' 7514.3  '],"[' 2403     (Average Length', ' 1129.62 Splits', ' 0)']","[' 6852793  (Deleted', ' 6750259)']","[' 26       (Ratio', '   0.00%)']","[' 10658    (Ratio', '   0.16%)']","[' 6852793  (Average Length', '   18.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6852793  (Average', ' 11.31 Max', ' 10346 Sum', ' 77534383)']","[' 6850569  (Average', ' 11.01 Max', ' 10346 Sum', ' 75435705 Ratio', '  97.29%)']","[' 2224     (Average', ' 943.65 Max', ' 1822 Sum', ' 2098678 Ratio', '   2.71%)']", ,[' 373742  '],[' 16002   '],[' 373950  '],[' 216924  '],"[' 650768   (Atom=Atom', ' 202920 Body=Body', ' 116902 Other', ' 330946)']",[' Yes'],"[' 18210    (Eliminated', '    0 Frozen', ' 18210)']","[' 2151     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.6215'],[' 0'], ,[' 546.512'],[' 0'],[' 10.0271'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.68493e+08'],[' 3.39396e+08'],[' 0'],[' 6.59836e+10'],[' 0'],[' 0'],1151,2290,3253,4086,5152,6267,7274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
