Optimal Found Or Timeout,Instances,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 
Solving...,TA41, , ,[' 911'],[' 463'],"[' 5.310s (Solving', ' 4.00s 1st Model', ' 0.45s Unsat', ' 1.61s)']",[' 5.172s'], ,[' 698147  '],"[' 116728   (Analyzed', ' 93876)']","[' 364      (Average', ' 257.90 Last', ' 217)']",[' 914.9   '],"[' 463      (Average Length', ' 222.72 Splits', ' 0)']","[' 93876    (Deleted', ' 87237)']","[' 72       (Ratio', '   0.08%)']","[' 497      (Ratio', '   0.53%)']","[' 93876    (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 93876    (Average', '  3.83 Max', ' 1187 Sum', ' 359576)']","[' 93797    (Average', '  3.81 Max', ' 1187 Sum', ' 357748 Ratio', '  99.49%)']","[' 79       (Average', ' 23.14 Max', ' 1008 Sum', '   1828 Ratio', '   0.51%)']", ,[' 40415   '],[' 1853    '],[' 40248   '],[' 21649   '],"[' 64943    (Atom=Atom', ' 20394 Body=Body', ' 11123 Other', ' 33426)']",[' Yes'],"[' 2286     (Eliminated', '    0 Frozen', ' 2286)']","[' 8        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.334231'],[' 0'], ,[' 1.78819'],[' 0'],[' 0.0561944'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.36208e+06'],[' 3.90023e+06'],[' 0'],[' 1.42365e+08'],[' 0'],[' 0'],[' 390 '],[' 818 '],[' 1166 '],[' 1536 '],[' 1968 '],[' 2331 '],[' 2759 ']
Solving...,TA42, , ,[' 721'],[' 368'],"[' 3.649s (Solving', ' 2.61s 1st Model', ' 0.40s Unsat', ' 0.31s)']",[' 3.578s'], ,[' 458434  '],"[' 100494   (Analyzed', ' 12699)']","[' 426      (Average', ' 29.81 Last', ' 137)']",[' 833.6   '],"[' 368      (Average Length', ' 176.09 Splits', ' 0)']","[' 12699    (Deleted', ' 4123)']","[' 49       (Ratio', '   0.39%)']","[' 369      (Ratio', '   2.91%)']","[' 12699    (Average Length', '    7.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12699    (Average', ' 10.98 Max', ' 836 Sum', ' 139455)']","[' 12629    (Average', ' 10.47 Max', ' 836 Sum', ' 132959 Ratio', '  95.34%)']","[' 70       (Average', ' 92.80 Max', ' 307 Sum', '   6496 Ratio', '   4.66%)']", ,[' 39419   '],[' 1817    '],[' 39168   '],[' 21044   '],"[' 63128    (Atom=Atom', ' 19825 Body=Body', ' 11087 Other', ' 32216)']",[' Yes'],"[' 2166     (Eliminated', '    0 Frozen', ' 2166)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.251883'],[' 0'], ,[' 1.30636'],[' 0'],[' 0.0290148'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11561e+06'],[' 2.80914e+06'],[' 0'],[' 1.36088e+08'],[' 0'],[' 0'],[' 585 '],[' 902 '],[' 1210 '],[' 1565 '],[' 1947 '],[' 2332 '],[' 2810 ']
Solving...,TA43, , ,[' 777'],[' 396'],"[' 6.955s (Solving', ' 5.92s 1st Model', ' 0.23s Unsat', ' 2.56s)']",[' 6.969s'], ,[' 678966  '],"[' 287604   (Analyzed', ' 106552)']","[' 767      (Average', ' 138.92 Last', ' 761)']",[' 903.0   '],"[' 396      (Average Length', ' 193.34 Splits', ' 0)']","[' 106552   (Deleted', ' 99113)']","[' 58       (Ratio', '   0.05%)']","[' 622      (Ratio', '   0.58%)']","[' 106552   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 106552   (Average', '  2.06 Max', ' 519 Sum', ' 219439)']","[' 106491   (Average', '  2.04 Max', ' 344 Sum', ' 217152 Ratio', '  98.96%)']","[' 61       (Average', ' 37.49 Max', ' 319 Sum', '   2287 Ratio', '   1.04%)']", ,[' 40279   '],[' 1862    '],[' 40060   '],[' 21689   '],"[' 65063    (Atom=Atom', ' 20425 Body=Body', ' 11132 Other', ' 33506)']",[' Yes'],"[' 2243     (Eliminated', '    0 Frozen', ' 2243)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.286732'],[' 0'], ,[' 3.64952'],[' 0'],[' 0.0733719'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.26595e+06'],[' 3.638e+06'],[' 0'],[' 4.24495e+08'],[' 0'],[' 0'],[' 467 '],[' 834 '],[' 1126 '],[' 1585 '],[' 1970 '],[' 2410 '],[' 2757 ']
Solving...,TA44, , ,[' 649'],[' 332'],"[' 6.989s (Solving', ' 6.03s 1st Model', ' 0.36s Unsat', ' 0.20s)']",[' 6.969s'], ,[' 595971  '],"[' 195783   (Analyzed', ' 142910)']","[' 604      (Average', ' 236.61 Last', ' 843)']",[' 866.0   '],"[' 332      (Average Length', ' 160.53 Splits', ' 0)']","[' 142910   (Deleted', ' 135280)']","[' 51       (Ratio', '   0.04%)']","[' 487      (Ratio', '   0.34%)']","[' 142910   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 142910   (Average', '  2.18 Max', ' 1117 Sum', ' 312155)']","[' 142844   (Average', '  2.17 Max', ' 1117 Sum', ' 309627 Ratio', '  99.19%)']","[' 66       (Average', ' 38.30 Max', ' 251 Sum', '   2528 Ratio', '   0.81%)']", ,[' 40054   '],[' 1811    '],[' 39774   '],[' 21182   '],"[' 63542    (Atom=Atom', ' 19969 Body=Body', ' 11081 Other', ' 32492)']",[' Yes'],"[' 2131     (Eliminated', '    0 Frozen', ' 2131)']","[' 42       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.266779'],[' 0'], ,[' 3.87471'],[' 0'],[' 0.0857688'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.75662e+06'],[' 3.20102e+06'],[' 0'],[' 4.37983e+08'],[' 0'],[' 0'],[' 437 '],[' 879 '],[' 1298 '],[' 1840 '],[' 2211 '],[' 2461 '],[' 2829 ']
Solving...,TA45, , ,[' 711'],[' 363'],"[' 9.324s (Solving', ' 7.06s 1st Model', ' 1.06s Unsat', ' 1.63s)']",[' 9.266s'], ,[' 588315  '],"[' 113290   (Analyzed', ' 71622)']","[' 394      (Average', ' 181.78 Last', ' 157)']",[' 944.2   '],"[' 363      (Average Length', ' 175.66 Splits', ' 0)']","[' 71622    (Deleted', ' 61556)']","[' 72       (Ratio', '   0.10%)']","[' 455      (Ratio', '   0.64%)']","[' 71622    (Average Length', '    8.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 71622    (Average', '  3.83 Max', ' 1178 Sum', ' 274044)']","[' 71538    (Average', '  3.79 Max', ' 1178 Sum', ' 271607 Ratio', '  99.11%)']","[' 84       (Average', ' 29.01 Max', ' 232 Sum', '   2437 Ratio', '   0.89%)']", ,[' 40165   '],[' 1857    '],[' 39909   '],[' 21703   '],"[' 65105    (Atom=Atom', ' 20444 Body=Body', ' 11127 Other', ' 33534)']",[' Yes'],"[' 2201     (Eliminated', '    0 Frozen', ' 2201)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.679112'],[' 0'], ,[' 2.26682'],[' 0'],[' 0.0761486'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.87362e+06'],[' 3.47566e+06'],[' 0'],[' 5.72818e+07'],[' 0'],[' 0'],[' 571 '],[' 944 '],[' 1420 '],[' 1827 '],[' 2215 '],[' 2597 '],[' 2943 ']
Solving...,TA46, , ,[' 631'],[' 323'],"[' 9.573s (Solving', ' 7.98s 1st Model', ' 0.56s Unsat', ' 1.02s)']",[' 9.484s'], ,[' 746590  '],"[' 263633   (Analyzed', ' 202113)']","[' 828      (Average', ' 244.10 Last', ' 3471)']",[' 967.6   '],"[' 323      (Average Length', ' 156.51 Splits', ' 0)']","[' 202113   (Deleted', ' 192341)']","[' 48       (Ratio', '   0.02%)']","[' 680      (Ratio', '   0.34%)']","[' 202113   (Average Length', '    9.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 202113   (Average', '  2.09 Max', ' 1232 Sum', ' 421990)']","[' 202059   (Average', '  2.08 Max', ' 1232 Sum', ' 420648 Ratio', '  99.68%)']","[' 54       (Average', ' 24.85 Max', ' 136 Sum', '   1342 Ratio', '   0.32%)']", ,[' 40686   '],[' 1911    '],[' 40396   '],[' 22001   '],"[' 65999    (Atom=Atom', ' 20688 Body=Body', ' 11181 Other', ' 34130)']",[' Yes'],"[' 2221     (Eliminated', '    0 Frozen', ' 2221)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.430904'],[' 0'], ,[' 3.76368'],[' 0'],[' 0.108413'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.33502e+06'],[' 3.60365e+06'],[' 0'],[' 1.52557e+08'],[' 0'],[' 0'],[' 581 '],[' 1108 '],[' 1461 '],[' 1960 '],[' 2303 '],[' 2675 '],[' 3046 ']
Solving...,TA47, , ,[' 859'],[' 437'],"[' 6.681s (Solving', ' 4.83s 1st Model', ' 0.74s Unsat', ' 1.34s)']",[' 6.609s'], ,[' 653422  '],"[' 92547    (Analyzed', ' 45925)']","[' 328      (Average', ' 140.02 Last', ' 691)']",[' 953.7   '],"[' 437      (Average Length', ' 208.47 Splits', ' 0)']","[' 45925    (Deleted', ' 40156)']","[' 63       (Ratio', '   0.14%)']","[' 500      (Ratio', '   1.09%)']","[' 45925    (Average Length', '    8.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45925    (Average', '  6.30 Max', ' 1210 Sum', ' 289326)']","[' 45851    (Average', '  6.21 Max', ' 1210 Sum', ' 285277 Ratio', '  98.60%)']","[' 74       (Average', ' 54.72 Max', ' 283 Sum', '   4049 Ratio', '   1.40%)']", ,[' 40219   '],[' 1872    '],[' 40033   '],[' 21566   '],"[' 64694    (Atom=Atom', ' 20292 Body=Body', ' 11142 Other', ' 33260)']",[' Yes'],"[' 2286     (Eliminated', '    0 Frozen', ' 2286)']","[' 1        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.478316'],[' 0'], ,[' 2.13431'],[' 0'],[' 0.0633752'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.44619e+06'],[' 4.06109e+06'],[' 0'],[' 1.42004e+08'],[' 0'],[' 0'],[' 420 '],[' 919 '],[' 1256 '],[' 1635 '],[' 1999 '],[' 2442 '],[' 2932 ']
Solving...,TA48, , ,[' 671'],[' 343'],"[' 6.039s (Solving', ' 4.59s 1st Model', ' 0.47s Unsat', ' 1.50s)']",[' 5.953s'], ,[' 527549  '],"[' 158655   (Analyzed', ' 60767)']","[' 516      (Average', ' 117.77 Last', ' 571)']",[' 881.6   '],"[' 343      (Average Length', ' 166.33 Splits', ' 0)']","[' 60767    (Deleted', ' 52324)']","[' 63       (Ratio', '   0.10%)']","[' 571      (Ratio', '   0.94%)']","[' 60767    (Average Length', '    7.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 60767    (Average', '  3.11 Max', ' 1173 Sum', ' 188929)']","[' 60694    (Average', '  3.07 Max', ' 1173 Sum', ' 186714 Ratio', '  98.83%)']","[' 73       (Average', ' 30.34 Max', ' 236 Sum', '   2215 Ratio', '   1.17%)']", ,[' 39737   '],[' 1833    '],[' 39466   '],[' 21277   '],"[' 63827    (Atom=Atom', ' 20042 Body=Body', ' 11103 Other', ' 32682)']",[' Yes'],"[' 2162     (Eliminated', '    0 Frozen', ' 2162)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.388622'],[' 0'], ,[' 2.41228'],[' 0'],[' 0.0594195'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.48424e+06'],[' 3.07037e+06'],[' 0'],[' 1.79026e+08'],[' 0'],[' 0'],[' 465 '],[' 897 '],[' 1429 '],[' 1732 '],[' 2056 '],[' 2476 '],[' 2919 ']
Solving...,TA49, , ,[' 757'],[' 386'],"[' 5.174s (Solving', ' 3.47s 1st Model', ' 0.57s Unsat', ' 0.42s)']",[' 5.031s'], ,[' 532151  '],"[' 45320    (Analyzed', ' 16933)']","[' 178      (Average', ' 95.13 Last', ' 100)']",[' 933.8   '],"[' 386      (Average Length', ' 186.15 Splits', ' 0)']","[' 16933    (Deleted', ' 8354)']","[' 53       (Ratio', '   0.31%)']","[' 341      (Ratio', '   2.01%)']","[' 16933    (Average Length', '    7.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16933    (Average', ' 13.24 Max', ' 1183 Sum', ' 224241)']","[' 16857    (Average', ' 13.00 Max', ' 1183 Sum', ' 220129 Ratio', '  98.17%)']","[' 76       (Average', ' 54.11 Max', ' 312 Sum', '   4112 Ratio', '   1.83%)']", ,[' 40345   '],[' 1862    '],[' 40114   '],[' 21523   '],"[' 64565    (Atom=Atom', ' 20259 Body=Body', ' 11132 Other', ' 33174)']",[' Yes'],"[' 2231     (Eliminated', '    0 Frozen', ' 2231)']","[' 3        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.440358'],[' 0'], ,[' 1.18242'],[' 0'],[' 0.0428315'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.73994e+06'],[' 3.466e+06'],[' 0'],[' 4.71135e+07'],[' 0'],[' 0'],[' 539 '],[' 978 '],[' 1291 '],[' 1631 '],[' 2017 '],[' 2382 '],[' 2806 ']
Solving...,TA50, , ,[' 695'],[' 355'],"[' 4.196s (Solving', ' 3.14s 1st Model', ' 0.37s Unsat', ' 0.37s)']",[' 4.234s'], ,[' 400975  '],"[' 71273    (Analyzed', ' 11673)']","[' 151      (Average', ' 77.30 Last', ' 226)']",[' 759.9   '],"[' 355      (Average Length', ' 169.75 Splits', ' 0)']","[' 11673    (Deleted', ' 7965)']","[' 68       (Ratio', '   0.58%)']","[' 383      (Ratio', '   3.28%)']","[' 11673    (Average Length', '    6.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11673    (Average', ' 11.74 Max', ' 800 Sum', ' 136986)']","[' 11601    (Average', ' 11.62 Max', ' 800 Sum', ' 135591 Ratio', '  98.98%)']","[' 72       (Average', ' 19.38 Max', ' 307 Sum', '   1395 Ratio', '   1.02%)']", ,[' 39476   '],[' 1816    '],[' 39210   '],[' 21148   '],"[' 63440    (Atom=Atom', ' 19930 Body=Body', ' 11086 Other', ' 32424)']",[' Yes'],"[' 2150     (Eliminated', '    0 Frozen', ' 2150)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.317211'],[' 0'], ,[' 1.44632'],[' 0'],[' 0.0334425'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.56475e+06'],[' 2.31792e+06'],[' 0'],[' 9.88044e+07'],[' 0'],[' 0'],[' 444 '],[' 750 '],[' 1101 '],[' 1462 '],[' 1881 '],[' 2250 '],[' 2807 ']
