Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 
Solving...,TA71, ,[' 1'],[' 2761+'],[' 1390'],"[' 674.155s (Solving', ' 645.29s 1st Model', ' 23.70s Unsat', ' 0.00s)']",[' 671.172s'], ,[' 47471652'],"[' 7723715  (Analyzed', ' 7573767)']","[' 16384    (Average', ' 462.27 Last', ' 5943)']",[' 6161.1  '],"[' 1390     (Average Length', ' 678.04 Splits', ' 0)']","[' 7573767  (Deleted', ' 7471638)']","[' 10       (Ratio', '   0.00%)']","[' 8046     (Ratio', '   0.11%)']","[' 7573767  (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7573767  (Average', '  5.27 Max', ' 8764 Sum', ' 39935853)']","[' 7572530  (Average', '  5.20 Max', ' 8764 Sum', ' 39357687 Ratio', '  98.55%)']","[' 1237     (Average', ' 467.39 Max', ' 1087 Sum', ' 578166 Ratio', '   1.45%)']", ,[' 367995  '],[' 13061   '],[' 367342  '],[' 214646  '],"[' 643934   (Atom=Atom', ' 203583 Body=Body', ' 113961 Other', ' 326390)']",[' Yes'],"[' 14408    (Eliminated', '    0 Frozen', ' 14408)']","[' 1578     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.01156'],[' 0'], ,[' 561.724'],[' 0'],[' 8.90217'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.26578e+08'],[' 2.02088e+08'],[' 0'],[' 7.23939e+10'],[' 0'],[' 0'],[' 1001 '],[' 1990 '],[' 3052 '],[' 3741 '],[' 4556 '],[' 5912 '],[' 6626 '],[' 7541 '],[' 8226 ']
Solving...,TA72, ,[' 1'],[' 3253+'],[' 1636'],"[' 674.162s (Solving', ' 643.20s 1st Model', ' 26.63s Unsat', ' 0.00s)']",[' 672.141s'], ,[' 43682061'],"[' 7761177  (Analyzed', ' 7605795)']","[' 15781    (Average', ' 481.96 Last', ' 45510)']",[' 5750.4  '],"[' 1636     (Average Length', ' 799.36 Splits', ' 0)']","[' 7605795  (Deleted', ' 7485210)']","[' 18       (Ratio', '   0.00%)']","[' 6277     (Ratio', '   0.08%)']","[' 7605795  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7605795  (Average', '  4.72 Max', ' 8761 Sum', ' 35898438)']","[' 7604497  (Average', '  4.62 Max', ' 8761 Sum', ' 35124494 Ratio', '  97.84%)']","[' 1298     (Average', ' 596.26 Max', ' 1345 Sum', ' 773944 Ratio', '   2.16%)']", ,[' 363993  '],[' 12974   '],[' 363583  '],[' 212603  '],"[' 637805   (Atom=Atom', ' 201627 Body=Body', ' 113874 Other', ' 322304)']",[' Yes'],"[' 14564    (Eliminated', '    0 Frozen', ' 14564)']","[' 1375     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.30375'],[' 0'], ,[' 562.21'],[' 0'],[' 8.24913'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19336e+08'],[' 1.96969e+08'],[' 0'],[' 7.30181e+10'],[' 0'],[' 0'],[' 711 '],[' 1711 '],[' 2582 '],[' 3319 '],[' 4175 '],[' 5049 '],[' 5929 '],[' 6603 '],[' 7523 ']
Solving...,TA73, ,[' 1'],[' 2979+'],[' 1499'],"[' 673.415s (Solving', ' 642.46s 1st Model', ' 27.37s Unsat', ' 0.00s)']",[' 671.266s'], ,[' 51430951'],"[' 8894055  (Analyzed', ' 8716500)']","[' 17305    (Average', ' 503.70 Last', ' 1633)']",[' 6590.9  '],"[' 1499     (Average Length', ' 736.09 Splits', ' 0)']","[' 8716500  (Deleted', ' 8589058)']","[' 22       (Ratio', '   0.00%)']","[' 6823     (Ratio', '   0.08%)']","[' 8716500  (Average Length', '   17.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8716500  (Average', '  4.89 Max', ' 9214 Sum', ' 42658714)']","[' 8715455  (Average', '  4.83 Max', ' 9214 Sum', ' 42111049 Ratio', '  98.72%)']","[' 1045     (Average', ' 524.08 Max', ' 1214 Sum', ' 547665 Ratio', '   1.28%)']", ,[' 367320  '],[' 13038   '],[' 366782  '],[' 217176  '],"[' 651524   (Atom=Atom', ' 206136 Body=Body', ' 113938 Other', ' 331450)']",[' Yes'],"[' 14500    (Eliminated', '    0 Frozen', ' 14500)']","[' 1262     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.48277'],[' 0'], ,[' 552.784'],[' 0'],[' 8.69849'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.49294e+08'],[' 2.22847e+08'],[' 0'],[' 7.15825e+10'],[' 0'],[' 0'],[' 1054 '],[' 2016 '],[' 2873 '],[' 3643 '],[' 4426 '],[' 5176 '],[' 6275 '],[' 7060 '],[' 7949 ']
Solving...,TA74, ,[' 1'],[' 2887+'],[' 1453'],"[' 673.013s (Solving', ' 645.77s 1st Model', ' 25.15s Unsat', ' 0.00s)']",[' 670.547s'], ,[' 46650003'],"[' 7819484  (Analyzed', ' 7590878)']","[' 16569    (Average', ' 458.14 Last', ' 38293)']",[' 6023.3  '],"[' 1453     (Average Length', ' 704.65 Splits', ' 0)']","[' 7590878  (Deleted', ' 7472227)']","[' 15       (Ratio', '   0.00%)']","[' 6732     (Ratio', '   0.09%)']","[' 7590878  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7590878  (Average', '  5.12 Max', ' 9193 Sum', ' 38885164)']","[' 7590034  (Average', '  5.05 Max', ' 9193 Sum', ' 38369900 Ratio', '  98.67%)']","[' 844      (Average', ' 610.50 Max', ' 1188 Sum', ' 515264 Ratio', '   1.33%)']", ,[' 365892  '],[' 12998   '],[' 365296  '],[' 219300  '],"[' 657896   (Atom=Atom', ' 208300 Body=Body', ' 113898 Other', ' 335698)']",[' Yes'],"[' 14402    (Eliminated', '    0 Frozen', ' 14402)']","[' 1161     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.57982'],[' 0'], ,[' 562.697'],[' 0'],[' 9.02528'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20446e+08'],[' 1.98013e+08'],[' 0'],[' 7.32604e+10'],[' 0'],[' 0'],[' 885 '],[' 1763 '],[' 2593 '],[' 3465 '],[' 4215 '],[' 4991 '],[' 5720 '],[' 6719 '],[' 7565 ']
Solving...,TA75, ,[' 1'],[' 2923+'],[' 1471'],"[' 673.064s (Solving', ' 644.29s 1st Model', ' 25.91s Unsat', ' 0.00s)']",[' 671.203s'], ,[' 51860525'],"[' 10152102 (Analyzed', ' 9931228)']","[' 21054    (Average', ' 471.70 Last', ' 44960)']",[' 6270.9  '],"[' 1471     (Average Length', ' 719.04 Splits', ' 0)']","[' 9931228  (Deleted', ' 9786154)']","[' 8        (Ratio', '   0.00%)']","[' 6657     (Ratio', '   0.07%)']","[' 9931228  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9931228  (Average', '  4.40 Max', ' 9354 Sum', ' 43682291)']","[' 9930129  (Average', '  4.33 Max', ' 9354 Sum', ' 43045514 Ratio', '  98.54%)']","[' 1099     (Average', ' 579.41 Max', ' 1195 Sum', ' 636777 Ratio', '   1.46%)']", ,[' 368283  '],[' 13248   '],[' 367715  '],[' 218976  '],"[' 656924   (Atom=Atom', ' 207726 Body=Body', ' 114148 Other', ' 335050)']",[' Yes'],"[' 14680    (Eliminated', '    0 Frozen', ' 14680)']","[' 1233     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.89697'],[' 0'], ,[' 549.902'],[' 0'],[' 8.30032'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.31527e+08'],[' 2.00144e+08'],[' 0'],[' 7.18905e+10'],[' 0'],[' 0'],[' 994 '],[' 1753 '],[' 2712 '],[' 3650 '],[' 4499 '],[' 5202 '],[' 6033 '],[' 7126 '],[' 7881 ']
Solving...,TA76, ,[' 1'],[' 2993+'],[' 1506'],"[' 673.556s (Solving', ' 644.50s 1st Model', ' 25.18s Unsat', ' 0.00s)']",[' 670.719s'], ,[' 45405864'],"[' 8164937  (Analyzed', ' 7970003)']","[' 17208    (Average', ' 463.16 Last', ' 17379)']",[' 6253.0  '],"[' 1506     (Average Length', ' 732.75 Splits', ' 0)']","[' 7970003  (Deleted', ' 7843458)']","[' 12       (Ratio', '   0.00%)']","[' 5987     (Ratio', '   0.08%)']","[' 7970003  (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7970003  (Average', '  4.64 Max', ' 9363 Sum', ' 37007965)']","[' 7969170  (Average', '  4.59 Max', ' 9363 Sum', ' 36547290 Ratio', '  98.76%)']","[' 833      (Average', ' 553.03 Max', ' 1210 Sum', ' 460675 Ratio', '   1.24%)']", ,[' 366181  '],[' 13001   '],[' 365643  '],[' 217538  '],"[' 652610   (Atom=Atom', ' 206535 Body=Body', ' 113901 Other', ' 332174)']",[' Yes'],"[' 14463    (Eliminated', '    0 Frozen', ' 14463)']","[' 1096     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.98698'],[' 0'], ,[' 558.13'],[' 0'],[' 8.6632'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15715e+08'],[' 1.9158e+08'],[' 0'],[' 6.93286e+10'],[' 0'],[' 0'],[' 1052 '],[' 1886 '],[' 2758 '],[' 3480 '],[' 4247 '],[' 5313 '],[' 6072 '],[' 6873 '],[' 7684 ']
Solving...,TA77, ,[' 1'],[' 3351+'],[' 1685'],"[' 674.431s (Solving', ' 643.33s 1st Model', ' 28.14s Unsat', ' 0.00s)']",[' 671.609s'], ,[' 47659823'],"[' 10057385 (Analyzed', ' 9840513)']","[' 20100    (Average', ' 489.58 Last', ' 205551)']",[' 6160.2  '],"[' 1685     (Average Length', ' 806.80 Splits', ' 0)']","[' 9840513  (Deleted', ' 9696488)']","[' 7        (Ratio', '   0.00%)']","[' 5929     (Ratio', '   0.06%)']","[' 9840513  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9840513  (Average', '  3.92 Max', ' 9174 Sum', ' 38558204)']","[' 9839629  (Average', '  3.87 Max', ' 9174 Sum', ' 38038858 Ratio', '  98.65%)']","[' 884      (Average', ' 587.50 Max', ' 1388 Sum', ' 519346 Ratio', '   1.35%)']", ,[' 364644  '],[' 12889   '],[' 364253  '],[' 216423  '],"[' 649265   (Atom=Atom', ' 205532 Body=Body', ' 113789 Other', ' 329944)']",[' Yes'],"[' 14498    (Eliminated', '    0 Frozen', ' 14498)']","[' 1107     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.45023'],[' 0'], ,[' 548.797'],[' 0'],[' 8.27783'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.28551e+08'],[' 2.00354e+08'],[' 0'],[' 6.97652e+10'],[' 0'],[' 0'],[' 941 '],[' 1689 '],[' 2498 '],[' 3326 '],[' 4168 '],[' 4849 '],[' 5665 '],[' 6475 '],[' 7342 ']
Solving...,TA78, ,[' 1'],[' 2889+'],[' 1454'],"[' 673.532s (Solving', ' 644.94s 1st Model', ' 22.01s Unsat', ' 0.00s)']",[' 670.469s'], ,[' 42283933'],"[' 7744362  (Analyzed', ' 7517687)']","[' 16218    (Average', ' 463.54 Last', ' 42203)']",[' 6068.5  '],"[' 1454     (Average Length', ' 708.60 Splits', ' 0)']","[' 7517687  (Deleted', ' 7406900)']","[' 28       (Ratio', '   0.00%)']","[' 6070     (Ratio', '   0.08%)']","[' 7517687  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7517687  (Average', '  4.64 Max', ' 8825 Sum', ' 34874055)']","[' 7516293  (Average', '  4.52 Max', ' 8825 Sum', ' 33946142 Ratio', '  97.34%)']","[' 1394     (Average', ' 665.65 Max', ' 1136 Sum', ' 927913 Ratio', '   2.66%)']", ,[' 364508  '],[' 12936   '],[' 363917  '],[' 214981  '],"[' 644939   (Atom=Atom', ' 204043 Body=Body', ' 113836 Other', ' 327060)']",[' Yes'],"[' 14345    (Eliminated', '    0 Frozen', ' 14345)']","[' 1101     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.83328'],[' 0'], ,[' 563.605'],[' 0'],[' 8.63947'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.07899e+08'],[' 1.85173e+08'],[' 0'],[' 7.43055e+10'],[' 0'],[' 0'],[' 913 '],[' 1857 '],[' 2933 '],[' 3875 '],[' 4652 '],[' 5538 '],[' 6345 '],[' 7211 '],[' 8067 ']
Solving...,TA79, ,[' 1'],[' 2861+'],[' 1440'],"[' 673.584s (Solving', ' 645.39s 1st Model', ' 25.65s Unsat', ' 0.00s)']",[' 671.609s'], ,[' 44989094'],"[' 7093658  (Analyzed', ' 6953466)']","[' 14699    (Average', ' 473.06 Last', ' 109787)']",[' 6111.6  '],"[' 1440     (Average Length', ' 705.51 Splits', ' 0)']","[' 6953466  (Deleted', ' 6840842)']","[' 14       (Ratio', '   0.00%)']","[' 6442     (Ratio', '   0.09%)']","[' 6953466  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6953466  (Average', '  5.38 Max', ' 8995 Sum', ' 37393219)']","[' 6952369  (Average', '  5.29 Max', ' 8995 Sum', ' 36771168 Ratio', '  98.34%)']","[' 1097     (Average', ' 567.05 Max', ' 1158 Sum', ' 622051 Ratio', '   1.66%)']", ,[' 366308  '],[' 12994   '],[' 365706  '],[' 216853  '],"[' 650555   (Atom=Atom', ' 205857 Body=Body', ' 113894 Other', ' 330804)']",[' Yes'],"[' 14392    (Eliminated', '    0 Frozen', ' 14392)']","[' 1069     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.76783'],[' 0'], ,[' 568.498'],[' 0'],[' 8.10373'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.1353e+08'],[' 1.90811e+08'],[' 0'],[' 6.73938e+10'],[' 0'],[' 0'],[' 830 '],[' 1894 '],[' 2543 '],[' 3496 '],[' 4219 '],[' 5119 '],[' 6084 '],[' 6930 '],[' 7575 ']
Solving...,TA80, ,[' 1'],[' 3159+'],[' 1589'],"[' 673.368s (Solving', ' 644.37s 1st Model', ' 23.49s Unsat', ' 0.00s)']",[' 670.875s'], ,[' 53980980'],"[' 7825562  (Analyzed', ' 7552577)']","[' 16181    (Average', ' 466.76 Last', ' 11883)']",[' 5950.2  '],"[' 1589     (Average Length', ' 761.20 Splits', ' 0)']","[' 7552577  (Deleted', ' 7434099)']","[' 12       (Ratio', '   0.00%)']","[' 6899     (Ratio', '   0.09%)']","[' 7552577  (Average Length', '   18.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7552577  (Average', '  6.11 Max', ' 8906 Sum', ' 46139156)']","[' 7551162  (Average', '  5.97 Max', ' 8906 Sum', ' 45099474 Ratio', '  97.75%)']","[' 1415     (Average', ' 734.76 Max', ' 1300 Sum', ' 1039682 Ratio', '   2.25%)']", ,[' 368675  '],[' 13304   '],[' 368193  '],[' 219672  '],"[' 659012   (Atom=Atom', ' 208366 Body=Body', ' 114204 Other', ' 336442)']",[' Yes'],"[' 14822    (Eliminated', '    0 Frozen', ' 14822)']","[' 1007     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.96326'],[' 0'], ,[' 559.996'],[' 0'],[' 8.95848'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.49304e+08'],[' 2.25224e+08'],[' 0'],[' 7.0448e+10'],[' 0'],[' 0'],[' 1061 '],[' 1687 '],[' 2656 '],[' 3388 '],[' 4204 '],[' 5179 '],[' 5823 '],[' 6630 '],[' 7552 ']
