Optimal Found Or Timeout,Instances,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 
,TA41,"[' 5119     (Analyzed', ' 2829)']","[' 27       (Average', ' 104.78 Last', ' 101)']",[' 623.2   '],"[' 207      (Average Length', ' 97.14 Splits', ' 0)']","[' 2829     (Deleted', ' 0)']","[' 55       (Ratio', '   1.94%)']","[' 264      (Ratio', '   9.33%)']","[' 2829     (Average Length', '    5.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2829     (Average', ' 23.33 Max', ' 816 Sum', '  65996)']","[' 2746     (Average', ' 23.05 Max', ' 816 Sum', '  65206 Ratio', '  98.80%)']","[' 83       (Average', '  9.52 Max', ' 150 Sum', '    790 Ratio', '   1.20%)']", ,[' 38733   '],[' 1513    '],[' 38327   '],[' 20526   '],"[' 61574    (Atom=Atom', ' 19611 Body=Body', ' 10783 Other', ' 31180)']",[' Yes'],"[' 1707     (Eliminated', '    0 Frozen', ' 1707)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.180999'],[' 0'], ,[' 0.296133'],[' 0'],[' 0.0095243'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93445e+06'],[' 1.82888e+06'],[' 0'],[' 1.26473e+07'],[' 0'],[' 0'],[' 316 '],[' 610 '],[' 902 '],[' 1220 '],[' 1414 '],[' 1724 '],[' 2151 '],[' 2344 '],[' 2660 '],[' 2960 ']
,TA42,"[' 30891    (Analyzed', ' 29552)']","[' 120      (Average', ' 246.27 Last', ' 389)']",[' 520.2   '],"[' 164      (Average Length', ' 76.33 Splits', ' 0)']","[' 29552    (Deleted', ' 25038)']","[' 59       (Ratio', '   0.20%)']","[' 355      (Ratio', '   1.20%)']","[' 29552    (Average Length', '    9.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29552    (Average', '  2.85 Max', ' 739 Sum', '  84270)']","[' 29470    (Average', '  2.83 Max', ' 739 Sum', '  83766 Ratio', '  99.40%)']","[' 82       (Average', '  6.15 Max', ' 115 Sum', '    504 Ratio', '   0.60%)']", ,[' 37497   '],[' 1428    '],[' 37049   '],[' 19418   '],"[' 58250    (Atom=Atom', ' 18588 Body=Body', ' 10698 Other', ' 28964)']",[' Yes'],"[' 1580     (Eliminated', '    0 Frozen', ' 1580)']","[' 9        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.143259'],[' 0'], ,[' 1.84981'],[' 0'],[' 0.0344062'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49529e+06'],[' 1.35297e+06'],[' 0'],[' 3.00938e+08'],[' 0'],[' 0'],[' 346 '],[' 724 '],[' 976 '],[' 1210 '],[' 1494 '],[' 1855 '],[' 2116 '],[' 2456 '],[' 2601 '],[' 3120 ']
,TA43,"[' 4268     (Analyzed', ' 3122)']","[' 23       (Average', ' 135.74 Last', ' 93)']",[' 540.1   '],"[' 189      (Average Length', ' 88.60 Splits', ' 0)']","[' 3122     (Deleted', ' 0)']","[' 69       (Ratio', '   2.21%)']","[' 282      (Ratio', '   9.03%)']","[' 3122     (Average Length', '    5.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3122     (Average', ' 17.43 Max', ' 731 Sum', '  54426)']","[' 3034     (Average', ' 17.30 Max', ' 731 Sum', '  54007 Ratio', '  99.23%)']","[' 88       (Average', '  4.76 Max', ' 154 Sum', '    419 Ratio', '   0.77%)']", ,[' 38165   '],[' 1428    '],[' 37742   '],[' 19647   '],"[' 58937    (Atom=Atom', ' 18817 Body=Body', ' 10698 Other', ' 29422)']",[' Yes'],"[' 1605     (Eliminated', '    0 Frozen', ' 1605)']","[' 5        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.164039'],[' 0'], ,[' 0.324715'],[' 0'],[' 0.0098314'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.57507e+06'],[' 1.48288e+06'],[' 0'],[' 2.06229e+07'],[' 0'],[' 0'],[' 354 '],[' 605 '],[' 871 '],[' 1134 '],[' 1357 '],[' 1654 '],[' 1951 '],[' 2231 '],[' 2566 '],[' 2849 ']
,TA44,"[' 163134   (Analyzed', ' 159182)']","[' 569      (Average', ' 279.76 Last', ' 3546)']",[' 605.9   '],"[' 188      (Average Length', ' 88.22 Splits', ' 0)']","[' 159182   (Deleted', ' 148508)']","[' 55       (Ratio', '   0.03%)']","[' 426      (Ratio', '   0.27%)']","[' 159182   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 159182   (Average', '  1.65 Max', ' 797 Sum', ' 263095)']","[' 159116   (Average', '  1.65 Max', ' 797 Sum', ' 262705 Ratio', '  99.85%)']","[' 66       (Average', '  5.91 Max', '  93 Sum', '    390 Ratio', '   0.15%)']", ,[' 38612   '],[' 1457    '],[' 38189   '],[' 20377   '],"[' 61127    (Atom=Atom', ' 19518 Body=Body', ' 10727 Other', ' 30882)']",[' Yes'],"[' 1634     (Eliminated', '    0 Frozen', ' 1634)']","[' 23       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.182197'],[' 0'], ,[' 1.40312'],[' 0'],[' 0.0275339'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.41375e+06'],[' 1.94316e+06'],[' 0'],[' 1.3288e+08'],[' 0'],[' 0'],[' 433 '],[' 679 '],[' 1029 '],[' 1224 '],[' 1655 '],[' 1977 '],[' 2265 '],[' 2479 '],[' 2792 '],[' 3051 ']
,TA45,"[' 5222     (Analyzed', ' 3697)']","[' 26       (Average', ' 142.19 Last', ' 46)']",[' 541.1   '],"[' 176      (Average Length', ' 82.09 Splits', ' 0)']","[' 3697     (Deleted', ' 1265)']","[' 61       (Ratio', '   1.65%)']","[' 261      (Ratio', '   7.06%)']","[' 3697     (Average Length', '    5.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3697     (Average', ' 14.28 Max', ' 791 Sum', '  52801)']","[' 3617     (Average', ' 14.14 Max', ' 791 Sum', '  52294 Ratio', '  99.04%)']","[' 80       (Average', '  6.34 Max', ' 150 Sum', '    507 Ratio', '   0.96%)']", ,[' 38209   '],[' 1463    '],[' 37773   '],[' 20241   '],"[' 60719    (Atom=Atom', ' 19376 Body=Body', ' 10733 Other', ' 30610)']",[' Yes'],"[' 1627     (Eliminated', '    0 Frozen', ' 1627)']","[' 12       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.151956'],[' 0'], ,[' 0.273226'],[' 0'],[' 0.0082973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.41529e+06'],[' 1.33003e+06'],[' 0'],[' 1.81296e+07'],[' 0'],[' 0'],[' 346 '],[' 571 '],[' 912 '],[' 1238 '],[' 1471 '],[' 1747 '],[' 2124 '],[' 2384 '],[' 2623 '],[' 2923 ']
,TA46,"[' 407317   (Analyzed', ' 404486)']","[' 1299     (Average', ' 311.38 Last', ' 4487)']",[' 632.2   '],"[' 179      (Average Length', ' 83.31 Splits', ' 0)']","[' 404486   (Deleted', ' 389040)']","[' 53       (Ratio', '   0.01%)']","[' 534      (Ratio', '   0.13%)']","[' 404486   (Average Length', '    9.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 404486   (Average', '  1.42 Max', ' 779 Sum', ' 572998)']","[' 404406   (Average', '  1.41 Max', ' 779 Sum', ' 572299 Ratio', '  99.88%)']","[' 80       (Average', '  8.74 Max', ' 136 Sum', '    699 Ratio', '   0.12%)']", ,[' 39084   '],[' 1504    '],[' 38652   '],[' 20473   '],"[' 61415    (Atom=Atom', ' 19567 Body=Body', ' 10774 Other', ' 31074)']",[' Yes'],"[' 1672     (Eliminated', '    0 Frozen', ' 1672)']","[' 52       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.188836'],[' 0'], ,[' 2.40948'],[' 0'],[' 0.0620281'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.35242e+06'],[' 2.34722e+06'],[' 0'],[' 2.14419e+08'],[' 0'],[' 0'],[' 528 '],[' 884 '],[' 1217 '],[' 1510 '],[' 1992 '],[' 2159 '],[' 2359 '],[' 2675 '],[' 2975 '],[' 3332 ']
,TA47,"[' 5190     (Analyzed', ' 2389)']","[' 24       (Average', ' 99.54 Last', ' 116)']",[' 565.1   '],"[' 216      (Average Length', ' 102.17 Splits', ' 0)']","[' 2389     (Deleted', ' 0)']","[' 62       (Ratio', '   2.60%)']","[' 230      (Ratio', '   9.63%)']","[' 2389     (Average Length', '    5.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2389     (Average', ' 26.19 Max', ' 794 Sum', '  62560)']","[' 2309     (Average', ' 25.43 Max', ' 794 Sum', '  60747 Ratio', '  97.10%)']","[' 80       (Average', ' 22.66 Max', ' 168 Sum', '   1813 Ratio', '   2.90%)']", ,[' 38467   '],[' 1457    '],[' 38070   '],[' 20141   '],"[' 60419    (Atom=Atom', ' 19282 Body=Body', ' 10727 Other', ' 30410)']",[' Yes'],"[' 1660     (Eliminated', '    0 Frozen', ' 1660)']","[' 6        (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.172082'],[' 0'], ,[' 0.305935'],[' 0'],[' 0.0101121'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72289e+06'],[' 1.62232e+06'],[' 0'],[' 1.32062e+07'],[' 0'],[' 0'],[' 321 '],[' 631 '],[' 923 '],[' 1080 '],[' 1377 '],[' 1735 '],[' 2003 '],[' 2245 '],[' 2560 '],[' 2929 ']
,TA48,"[' 30032    (Analyzed', ' 28192)']","[' 138      (Average', ' 204.29 Last', ' 446)']",[' 552.3   '],"[' 130      (Average Length', ' 57.80 Splits', ' 0)']","[' 28192    (Deleted', ' 21175)']","[' 65       (Ratio', '   0.23%)']","[' 376      (Ratio', '   1.33%)']","[' 28192    (Average Length', '    7.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28192    (Average', '  2.58 Max', ' 744 Sum', '  72659)']","[' 28098    (Average', '  2.56 Max', ' 744 Sum', '  72213 Ratio', '  99.39%)']","[' 94       (Average', '  4.74 Max', '  29 Sum', '    446 Ratio', '   0.61%)']", ,[' 37451   '],[' 1432    '],[' 36967   '],[' 19286   '],"[' 57854    (Atom=Atom', ' 18452 Body=Body', ' 10702 Other', ' 28700)']",[' Yes'],"[' 1548     (Eliminated', '    0 Frozen', ' 1548)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.139845'],[' 0'], ,[' 0.372353'],[' 0'],[' 0.0116028'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32305e+06'],[' 1.19425e+06'],[' 0'],[' 2.42836e+07'],[' 0'],[' 0'],[' 370 '],[' 740 '],[' 966 '],[' 1348 '],[' 1515 '],[' 1786 '],[' 2079 '],[' 2280 '],[' 2572 '],[' 2905 ']
,TA49,"[' 5924     (Analyzed', ' 2013)']","[' 33       (Average', ' 61.00 Last', ' 154)']",[' 605.0   '],"[' 177      (Average Length', ' 82.97 Splits', ' 0)']","[' 2013     (Deleted', ' 0)']","[' 68       (Ratio', '   3.38%)']","[' 200      (Ratio', '   9.94%)']","[' 2013     (Average Length', '    5.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2013     (Average', ' 28.86 Max', ' 823 Sum', '  58086)']","[' 1935     (Average', ' 28.61 Max', ' 823 Sum', '  57598 Ratio', '  99.16%)']","[' 78       (Average', '  6.26 Max', ' 102 Sum', '    488 Ratio', '   0.84%)']", ,[' 38776   '],[' 1499    '],[' 38342   '],[' 20716   '],"[' 62144    (Atom=Atom', ' 19815 Body=Body', ' 10769 Other', ' 31560)']",[' Yes'],"[' 1665     (Eliminated', '    0 Frozen', ' 1665)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.179494'],[' 0'], ,[' 0.284615'],[' 0'],[' 0.0094748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.61474e+06'],[' 1.52619e+06'],[' 0'],[' 1.14995e+07'],[' 0'],[' 0'],[' 291 '],[' 613 '],[' 995 '],[' 1236 '],[' 1469 '],[' 1772 '],[' 2029 '],[' 2346 '],[' 2685 '],[' 2971 ']
,TA50,"[' 3769     (Analyzed', ' 1818)']","[' 15       (Average', ' 121.20 Last', ' 45)']",[' 567.2   '],"[' 229      (Average Length', ' 108.94 Splits', ' 0)']","[' 1818     (Deleted', ' 0)']","[' 60       (Ratio', '   3.30%)']","[' 270      (Ratio', '  14.85%)']","[' 1818     (Average Length', '    4.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1818     (Average', ' 37.05 Max', ' 747 Sum', '  67361)']","[' 1750     (Average', ' 36.97 Max', ' 747 Sum', '  67213 Ratio', '  99.78%)']","[' 68       (Average', '  2.18 Max', '  11 Sum', '    148 Ratio', '   0.22%)']", ,[' 37927   '],[' 1441    '],[' 37543   '],[' 20068   '],"[' 60200    (Atom=Atom', ' 19225 Body=Body', ' 10711 Other', ' 30264)']",[' Yes'],"[' 1657     (Eliminated', '    0 Frozen', ' 1657)']","[' 14       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.186896'],[' 0'], ,[' 0.285141'],[' 0'],[' 0.0101238'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81741e+06'],[' 1.71344e+06'],[' 0'],[' 9.22545e+06'],[' 0'],[' 0'],[' 400 '],[' 633 '],[' 855 '],[' 1133 '],[' 1393 '],[' 1694 '],[' 1933 '],[' 2154 '],[' 2410 '],[' 2815 ']
