Optimal Found Or Timeout,Instances,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Total Completion Time
,TA31,[' 2415+'],[' 1210'],"[' 600.708s (Solving', ' 596.92s 1st Model', ' 15.17s Unsat', ' 0.00s)']",[' 599.063s'], ,[' 172324663'],"[' 9708804  (Analyzed', ' 9414633)']","[' 17212    (Average', ' 546.98 Last', ' 29451)']",[' 2442.8  '],"[' 1210     (Average Length', ' 593.92 Splits', ' 0)']","[' 9414633  (Deleted', ' 9334048)']","[' 401      (Ratio', '   0.00%)']","[' 17075    (Ratio', '   0.18%)']","[' 9414633  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9414633  (Average', ' 17.99 Max', ' 2530 Sum', ' 169393044)']","[' 9414443  (Average', ' 17.98 Max', ' 1929 Sum', ' 169279018 Ratio', '  99.93%)']","[' 190      (Average', ' 600.14 Max', ' 601 Sum', ' 114026 Ratio', '   0.07%)']", ,[' 36512   '],[' 3668    '],[' 37214   '],[' 21475   '],"[' 64421    (Atom=Atom', ' 18255 Body=Body', ' 10613 Other', ' 35553)']",[' Yes'],"[' 4820     (Eliminated', '    0 Frozen', ' 4820)']","[' 1864     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.87829'],[' 0'], ,[' 360.557'],[' 0'],[' 13.5043'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.41537e+08'],[' 5.27311e+08'],[' 0'],[' 2.41672e+10'],[' 0'],[' 0'],[' 2128']
,TA32,[' 2345+'],[' 1175'],"[' 600.743s (Solving', ' 597.05s 1st Model', ' 9.80s Unsat', ' 0.00s)']",[' 600.063s'], ,[' 157522014'],"[' 12340603 (Analyzed', ' 11997943)']","[' 22383    (Average', ' 536.03 Last', ' 77497)']",[' 2567.4  '],"[' 1175     (Average Length', ' 575.16 Splits', ' 0)']","[' 11997943 (Deleted', ' 11893368)']","[' 445      (Ratio', '   0.00%)']","[' 19934    (Ratio', '   0.17%)']","[' 11997943 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11997943 (Average', ' 12.86 Max', ' 2650 Sum', ' 154288548)']","[' 11997719 (Average', ' 12.85 Max', ' 2027 Sum', ' 154148996 Ratio', '  99.91%)']","[' 224      (Average', ' 623.00 Max', ' 623 Sum', ' 139552 Ratio', '   0.09%)']", ,[' 37017   '],[' 3848    '],[' 37677   '],[' 22160   '],"[' 66476    (Atom=Atom', ' 18760 Body=Body', ' 10793 Other', ' 36923)']",[' Yes'],"[' 4958     (Eliminated', '    0 Frozen', ' 4958)']","[' 2029     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.86713'],[' 0'], ,[' 372.31'],[' 0'],[' 13.8937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.32174e+08'],[' 4.26988e+08'],[' 0'],[' 2.42591e+10'],[' 0'],[' 0'],[' 2420']
,TA33,[' 2151+'],[' 1078'],"[' 600.823s (Solving', ' 597.55s 1st Model', ' 33.02s Unsat', ' 0.00s)']",[' 600.203s'], ,[' 155382686'],"[' 12074063 (Analyzed', ' 11690692)']","[' 21098    (Average', ' 554.11 Last', ' 76639)']",[' 2531.1  '],"[' 1078     (Average Length', ' 528.75 Splits', ' 0)']","[' 11690692 (Deleted', ' 11598345)']","[' 392      (Ratio', '   0.00%)']","[' 17187    (Ratio', '   0.15%)']","[' 11690692 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11690692 (Average', ' 13.03 Max', ' 2690 Sum', ' 152281664)']","[' 11690484 (Average', ' 13.02 Max', ' 2202 Sum', ' 152180001 Ratio', '  99.93%)']","[' 208      (Average', ' 488.76 Max', ' 685 Sum', ' 101663 Ratio', '   0.07%)']", ,[' 36566   '],[' 3730    '],[' 37148   '],[' 21591   '],"[' 64769    (Atom=Atom', ' 18309 Body=Body', ' 10675 Other', ' 35785)']",[' Yes'],"[' 4762     (Eliminated', '    0 Frozen', ' 4762)']","[' 1769     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.81345'],[' 0'], ,[' 369.866'],[' 0'],[' 13.3598'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.41262e+08'],[' 4.2999e+08'],[' 0'],[' 2.33264e+10'],[' 0'],[' 0'],[' 2241']
,TA34,[' 2151+'],[' 1078'],"[' 600.724s (Solving', ' 597.09s 1st Model', ' 8.10s Unsat', ' 0.00s)']",[' 600.125s'], ,[' 148273114'],"[' 11292605 (Analyzed', ' 10986044)']","[' 20307    (Average', ' 541.00 Last', ' 57774)']",[' 2433.6  '],"[' 1078     (Average Length', ' 532.40 Splits', ' 0)']","[' 10986044 (Deleted', ' 10876867)']","[' 419      (Ratio', '   0.00%)']","[' 16258    (Ratio', '   0.15%)']","[' 10986044 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10986044 (Average', ' 13.24 Max', ' 2718 Sum', ' 145465012)']","[' 10985835 (Average', ' 13.23 Max', ' 2170 Sum', ' 145350480 Ratio', '  99.92%)']","[' 209      (Average', ' 548.00 Max', ' 548 Sum', ' 114532 Ratio', '   0.08%)']", ,[' 36470   '],[' 3698    '],[' 37060   '],[' 21463   '],"[' 64385    (Atom=Atom', ' 18213 Body=Body', ' 10643 Other', ' 35529)']",[' Yes'],"[' 4738     (Eliminated', '    0 Frozen', ' 4738)']","[' 1889     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.778032'],[' 0'], ,[' 380.14'],[' 0'],[' 12.7364'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.24231e+08'],[' 4.23459e+08'],[' 0'],[' 2.61854e+10'],[' 0'],[' 0'],[' 2334']
,TA35,[' 2049+'],[' 1027'],"[' 600.625s (Solving', ' 597.09s 1st Model', ' 14.05s Unsat', ' 0.00s)']",[' 599.750s'], ,[' 151500788'],"[' 11726078 (Analyzed', ' 11351783)']","[' 20660    (Average', ' 549.46 Last', ' 33689)']",[' 2539.3  '],"[' 1027     (Average Length', ' 501.77 Splits', ' 0)']","[' 11351783 (Deleted', ' 11246963)']","[' 459      (Ratio', '   0.00%)']","[' 17781    (Ratio', '   0.16%)']","[' 11351783 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11351783 (Average', ' 13.08 Max', ' 2669 Sum', ' 148462693)']","[' 11351599 (Average', ' 13.07 Max', ' 2216 Sum', ' 148379341 Ratio', '  99.94%)']","[' 184      (Average', ' 453.00 Max', ' 453 Sum', '  83352 Ratio', '   0.06%)']", ,[' 36515   '],[' 3730    '],[' 37036   '],[' 21540   '],"[' 64616    (Atom=Atom', ' 18258 Body=Body', ' 10675 Other', ' 35683)']",[' Yes'],"[' 4701     (Eliminated', '    0 Frozen', ' 4701)']","[' 1958     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.845637'],[' 0'], ,[' 374.265'],[' 0'],[' 12.9479'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.25655e+08'],[' 4.23862e+08'],[' 0'],[' 2.42135e+10'],[' 0'],[' 0'],[' 2304']
,TA36,[' 2433+'],[' 1219'],"[' 600.762s (Solving', ' 597.17s 1st Model', ' 80.40s Unsat', ' 0.00s)']",[' 599.969s'], ,[' 166580908'],"[' 9909905  (Analyzed', ' 9651682)']","[' 18213    (Average', ' 529.93 Last', ' 258953)']",[' 2458.6  '],"[' 1219     (Average Length', ' 596.88 Splits', ' 0)']","[' 9651682  (Deleted', ' 9574296)']","[' 440      (Ratio', '   0.00%)']","[' 17448    (Ratio', '   0.18%)']","[' 9651682  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9651682  (Average', ' 16.95 Max', ' 2677 Sum', ' 163618982)']","[' 9651512  (Average', ' 16.94 Max', ' 2086 Sum', ' 163518512 Ratio', '  99.94%)']","[' 170      (Average', ' 591.00 Max', ' 591 Sum', ' 100470 Ratio', '   0.06%)']", ,[' 36653   '],[' 3712    '],[' 37360   '],[' 21660   '],"[' 64976    (Atom=Atom', ' 18396 Body=Body', ' 10657 Other', ' 35923)']",[' Yes'],"[' 4869     (Eliminated', '    0 Frozen', ' 4869)']","[' 1956     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.853852'],[' 0'], ,[' 351.952'],[' 0'],[' 13.6664'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.39829e+08'],[' 5.24382e+08'],[' 0'],[' 2.24815e+10'],[' 0'],[' 0'],[' 2175']
,TA37,[' 2079+'],[' 1042'],"[' 600.621s (Solving', ' 597.32s 1st Model', ' 9.45s Unsat', ' 0.00s)']",[' 599.719s'], ,[' 166584544'],"[' 10236662 (Analyzed', ' 10004813)']","[' 18386    (Average', ' 544.15 Last', ' 11391)']",[' 2354.6  '],"[' 1042     (Average Length', ' 513.89 Splits', ' 0)']","[' 10004813 (Deleted', ' 9912635)']","[' 389      (Ratio', '   0.00%)']","[' 15559    (Ratio', '   0.16%)']","[' 10004813 (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10004813 (Average', ' 16.39 Max', ' 2577 Sum', ' 164027647)']","[' 10004627 (Average', ' 16.38 Max', ' 2010 Sum', ' 163922751 Ratio', '  99.94%)']","[' 186      (Average', ' 563.96 Max', ' 567 Sum', ' 104896 Ratio', '   0.06%)']", ,[' 36308   '],[' 3656    '],[' 36863   '],[' 21259   '],"[' 63773    (Atom=Atom', ' 18051 Body=Body', ' 10601 Other', ' 35121)']",[' Yes'],"[' 4661     (Eliminated', '    0 Frozen', ' 4661)']","[' 1633     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.695828'],[' 0'], ,[' 374.708'],[' 0'],[' 13.8041'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.70515e+08'],[' 4.6363e+08'],[' 0'],[' 2.5028e+10'],[' 0'],[' 0'],[' 2238']
,TA38,[' 2279+'],[' 1142'],"[' 600.761s (Solving', ' 597.35s 1st Model', ' 11.17s Unsat', ' 0.00s)']",[' 600.250s'], ,[' 185148010'],"[' 9439818  (Analyzed', ' 9179105)']","[' 16059    (Average', ' 571.59 Last', ' 24726)']",[' 2341.6  '],"[' 1142     (Average Length', ' 560.51 Splits', ' 0)']","[' 9179105  (Deleted', ' 9101824)']","[' 457      (Ratio', '   0.00%)']","[' 18253    (Ratio', '   0.20%)']","[' 9179105  (Average Length', '   15.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9179105  (Average', ' 19.88 Max', ' 2556 Sum', ' 182479802)']","[' 9178889  (Average', ' 19.87 Max', ' 1924 Sum', ' 182343290 Ratio', '  99.93%)']","[' 216      (Average', ' 632.00 Max', ' 632 Sum', ' 136512 Ratio', '   0.07%)']", ,[' 36402   '],[' 3654    '],[' 37033   '],[' 21351   '],"[' 64049    (Atom=Atom', ' 18145 Body=Body', ' 10599 Other', ' 35305)']",[' Yes'],"[' 4735     (Eliminated', '    0 Frozen', ' 4735)']","[' 1841     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.743706'],[' 0'], ,[' 340.54'],[' 0'],[' 14.404'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.14289e+08'],[' 5.98461e+08'],[' 0'],[' 2.11742e+10'],[' 0'],[' 0'],[' 2095']
,TA39,[' 2039+'],[' 1022'],"[' 600.635s (Solving', ' 596.97s 1st Model', ' 14.65s Unsat', ' 0.00s)']",[' 600.016s'], ,[' 155408437'],"[' 12808006 (Analyzed', ' 12503801)']","[' 23289    (Average', ' 536.90 Last', ' 62588)']",[' 2424.0  '],"[' 1022     (Average Length', ' 498.45 Splits', ' 0)']","[' 12503801 (Deleted', ' 12391636)']","[' 507      (Ratio', '   0.00%)']","[' 18943    (Ratio', '   0.15%)']","[' 12503801 (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12503801 (Average', ' 12.20 Max', ' 2627 Sum', ' 152516594)']","[' 12503599 (Average', ' 12.19 Max', ' 2164 Sum', ' 152423068 Ratio', '  99.94%)']","[' 202      (Average', ' 463.00 Max', ' 463 Sum', '  93526 Ratio', '   0.06%)']", ,[' 36588   '],[' 3756    '],[' 37098   '],[' 21639   '],"[' 64913    (Atom=Atom', ' 18331 Body=Body', ' 10701 Other', ' 35881)']",[' Yes'],"[' 4716     (Eliminated', '    0 Frozen', ' 4716)']","[' 1972     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.781576'],[' 0'], ,[' 376.717'],[' 0'],[' 13.1688'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.02781e+08'],[' 4.03934e+08'],[' 0'],[' 2.57239e+10'],[' 0'],[' 0'],[' 2370']
,TA40,[' 2227+'],[' 1116'],"[' 600.631s (Solving', ' 597.18s 1st Model', ' 50.12s Unsat', ' 0.00s)']",[' 599.078s'], ,[' 159188587'],"[' 9147182  (Analyzed', ' 8820278)']","[' 15871    (Average', ' 555.75 Last', ' 113731)']",[' 2446.3  '],"[' 1116     (Average Length', ' 549.10 Splits', ' 0)']","[' 8820278  (Deleted', ' 8757442)']","[' 396      (Ratio', '   0.00%)']","[' 16505    (Ratio', '   0.19%)']","[' 8820278  (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8820278  (Average', ' 17.73 Max', ' 2474 Sum', ' 156346295)']","[' 8820090  (Average', ' 17.71 Max', ' 1956 Sum', ' 156248911 Ratio', '  99.94%)']","[' 188      (Average', ' 518.00 Max', ' 518 Sum', '  97384 Ratio', '   0.06%)']", ,[' 36568   '],[' 3718    '],[' 37191   '],[' 21581   '],"[' 64739    (Atom=Atom', ' 18311 Body=Body', ' 10663 Other', ' 35765)']",[' Yes'],"[' 4791     (Eliminated', '    0 Frozen', ' 4791)']","[' 1942     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.826624'],[' 0'], ,[' 352.384'],[' 0'],[' 13.7444'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.51424e+08'],[' 5.37188e+08'],[' 0'],[' 2.24472e+10'],[' 0'],[' 0'],[' 1984']
