Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 10009+'],[' 5009'],"[' 1028.898s (Solving', ' 911.18s 1st Model', ' 536.25s Unsat', ' 0.00s)']",[' 1023.625s'], ,[' 526042764'],"[' 1281143  (Analyzed', ' 915139)']","[' 4733     (Average', ' 193.35 Last', ' 26795)']",[' 14632.8 '],"[' 5009     (Average Length', ' 2253.31 Splits', ' 0)']","[' 915139   (Deleted', ' 830455)']","[' 1293     (Ratio', '   0.14%)']","[' 59402    (Ratio', '   6.49%)']","[' 915139   (Average Length', '   31.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 915139   (Average', ' 511.00 Max', ' 19482 Sum', ' 467632306)']","[' 912994   (Average', ' 506.50 Max', ' 19482 Sum', ' 463513531 Ratio', '  99.12%)']","[' 2145     (Average', ' 1920.17 Max', ' 4163 Sum', ' 4118775 Ratio', '   0.88%)']", ,[' 388344  '],[' 34711   '],[' 386968  '],[' 267844  '],"[' 803528   (Atom=Atom', ' 238669 Body=Body', ' 132073 Other', ' 432786)']",[' Yes'],"[' 35335    (Eliminated', '    0 Frozen', ' 35335)']","[' 9238     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.7512'],[' 0'], ,[' 375.848'],[' 0'],[' 38.4319'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40979e+09'],[' 1.32455e+09'],[' 0'],[' 9.81322e+09'],[' 0'],[' 0'],[' 2286 '],[' 3827 '],[' 5227 '],[' 6734 '],[' 4 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 7275+'],[' 3642'],"[' 789.457s (Solving', ' 707.98s 1st Model', ' 314.55s Unsat', ' 0.00s)']",[' 785.672s'], ,[' 401356284'],"[' 1910818  (Analyzed', ' 1589475)']","[' 5259     (Average', ' 302.24 Last', ' 33777)']",[' 13953.5 '],"[' 3641     (Average Length', ' 1739.30 Splits', ' 0)']","[' 1589475  (Deleted', ' 1515629)']","[' 722      (Ratio', '   0.05%)']","[' 51590    (Ratio', '   3.25%)']","[' 1589475  (Average Length', '   28.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1589475  (Average', ' 225.94 Max', ' 20249 Sum', ' 359131791)']","[' 1587751  (Average', ' 224.21 Max', ' 20249 Sum', ' 356379357 Ratio', '  99.23%)']","[' 1724     (Average', ' 1596.54 Max', ' 3442 Sum', ' 2752434 Ratio', '   0.77%)']", ,[' 380863  '],[' 34196   '],[' 377649  '],[' 262423  '],"[' 787265   (Atom=Atom', ' 234882 Body=Body', ' 130439 Other', ' 421944)']",[' Yes'],"[' 32982    (Eliminated', '    0 Frozen', ' 32982)']","[' 8900     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.3356'],[' 0'], ,[' 312.125'],[' 0'],[' 28.6203'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03106e+09'],[' 9.50465e+08'],[' 0'],[' 1.00127e+10'],[' 0'],[' 0'],[' 1934 '],[' 3496 '],[' 9987 '],[' 10959 '],[' 4 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 9675+'],[' 4842'],"[' 1027.525s (Solving', ' 919.21s 1st Model', ' 516.28s Unsat', ' 0.00s)']",[' 1020.984s'], ,[' 521789201'],"[' 2602593  (Analyzed', ' 2227343)']","[' 6892     (Average', ' 323.18 Last', ' 57371)']",[' 14509.3 '],"[' 4842     (Average Length', ' 2190.78 Splits', ' 0)']","[' 2227343  (Deleted', ' 2132520)']","[' 1463     (Ratio', '   0.07%)']","[' 52686    (Ratio', '   2.37%)']","[' 2227343  (Average Length', '   31.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2227343  (Average', ' 210.08 Max', ' 19263 Sum', ' 467915694)']","[' 2224605  (Average', ' 207.20 Max', ' 19263 Sum', ' 461515274 Ratio', '  98.63%)']","[' 2738     (Average', ' 2337.63 Max', ' 4034 Sum', ' 6400420 Ratio', '   1.37%)']", ,[' 383665  '],[' 34309   '],[' 382111  '],[' 267282  '],"[' 801842   (Atom=Atom', ' 238586 Body=Body', ' 131594 Other', ' 431662)']",[' Yes'],"[' 34735    (Eliminated', '    0 Frozen', ' 34735)']","[' 9204     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.9169'],[' 0'], ,[' 409.147'],[' 0'],[' 39.0975'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32587e+09'],[' 1.23857e+09'],[' 0'],[' 1.25674e+10'],[' 0'],[' 0'],[' 2247 '],[' 3644 '],[' 5252 '],[' 6775 '],[' 4 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 9747+'],[' 4878'],"[' 1026.710s (Solving', ' 919.16s 1st Model', ' 609.76s Unsat', ' 0.00s)']",[' 1020.328s'], ,[' 521506996'],"[' 1376419  (Analyzed', ' 816899)']","[' 4461     (Average', ' 183.12 Last', ' 85266)']",[' 13893.7 '],"[' 4878     (Average Length', ' 2240.54 Splits', ' 0)']","[' 816899   (Deleted', ' 739374)']","[' 1581     (Ratio', '   0.19%)']","[' 55985    (Ratio', '   6.85%)']","[' 816899   (Average Length', '   27.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 816899   (Average', ' 575.80 Max', ' 18763 Sum', ' 470368423)']","[' 814247   (Average', ' 567.94 Max', ' 18763 Sum', ' 463947348 Ratio', '  98.63%)']","[' 2652     (Average', ' 2421.22 Max', ' 4180 Sum', ' 6421075 Ratio', '   1.37%)']", ,[' 386668  '],[' 34094   '],[' 385451  '],[' 266944  '],"[' 800828   (Atom=Atom', ' 238248 Body=Body', ' 131594 Other', ' 430986)']",[' Yes'],"[' 34873    (Eliminated', '    0 Frozen', ' 34873)']","[' 9588     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.9803'],[' 0'], ,[' 384.487'],[' 0'],[' 38.7578'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4464e+09'],[' 1.36354e+09'],[' 0'],[' 1.02953e+10'],[' 0'],[' 0'],[' 1679 '],[' 3482 '],[' 4786 '],[' 6127 '],[' 4 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 8691+'],[' 4350'],"[' 1024.739s (Solving', ' 927.43s 1st Model', ' 404.70s Unsat', ' 0.00s)']",[' 1019.172s'], ,[' 517635630'],"[' 1275386  (Analyzed', ' 975883)']","[' 4115     (Average', ' 237.15 Last', ' 36750)']",[' 14093.0 '],"[' 4350     (Average Length', ' 2014.87 Splits', ' 0)']","[' 975883   (Deleted', ' 894335)']","[' 1658     (Ratio', '   0.17%)']","[' 56146    (Ratio', '   5.75%)']","[' 975883   (Average Length', '   28.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 975883   (Average', ' 482.21 Max', ' 19633 Sum', ' 470582023)']","[' 973240   (Average', ' 476.15 Max', ' 19633 Sum', ' 464665681 Ratio', '  98.74%)']","[' 2643     (Average', ' 2238.49 Max', ' 3755 Sum', ' 5916342 Ratio', '   1.26%)']", ,[' 387547  '],[' 34381   '],[' 385884  '],[' 268909  '],"[' 806723   (Atom=Atom', ' 239948 Body=Body', ' 131859 Other', ' 434916)']",[' Yes'],"[' 34713    (Eliminated', '    0 Frozen', ' 34713)']","[' 9618     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.1278'],[' 0'], ,[' 405.952'],[' 0'],[' 38.6561'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43041e+09'],[' 1.34934e+09'],[' 0'],[' 1.22163e+10'],[' 0'],[' 0'],[' 1920 '],[' 3518 '],[' 5252 '],[' 6566 '],[' 4 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 9939+'],[' 4974'],"[' 1027.438s (Solving', ' 916.51s 1st Model', ' 592.02s Unsat', ' 0.00s)']",[' 1020.438s'], ,[' 509458296'],"[' 1072217  (Analyzed', ' 698880)']","[' 4267     (Average', ' 163.79 Last', ' 81085)']",[' 13493.5 '],"[' 4974     (Average Length', ' 2274.02 Splits', ' 0)']","[' 698880   (Deleted', ' 620480)']","[' 1354     (Ratio', '   0.19%)']","[' 60491    (Ratio', '   8.66%)']","[' 698880   (Average Length', '   25.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 698880   (Average', ' 658.84 Max', ' 18211 Sum', ' 460450199)']","[' 696003   (Average', ' 648.39 Max', ' 18211 Sum', ' 453148263 Ratio', '  98.41%)']","[' 2877     (Average', ' 2538.04 Max', ' 4238 Sum', ' 7301936 Ratio', '   1.59%)']", ,[' 383983  '],[' 34279   '],[' 382580  '],[' 266339  '],"[' 799013   (Atom=Atom', ' 237704 Body=Body', ' 131533 Other', ' 429776)']",[' Yes'],"[' 34875    (Eliminated', '    0 Frozen', ' 34875)']","[' 11037    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.4238'],[' 0'], ,[' 371.598'],[' 0'],[' 38.0761'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42233e+09'],[' 1.33775e+09'],[' 0'],[' 9.65561e+09'],[' 0'],[' 0'],[' 1800 '],[' 3251 '],[' 4867 '],[' 6530 '],[' 4 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 9531+'],[' 4770'],"[' 1027.814s (Solving', ' 914.03s 1st Model', ' 344.66s Unsat', ' 0.00s)']",[' 1021.141s'], ,[' 489660882'],"[' 2027600  (Analyzed', ' 1676917)']","[' 5350     (Average', ' 313.44 Last', ' 94000)']",[' 14206.2 '],"[' 4770     (Average Length', ' 2175.36 Splits', ' 0)']","[' 1676917  (Deleted', ' 1588392)']","[' 1613     (Ratio', '   0.10%)']","[' 54521    (Ratio', '   3.25%)']","[' 1676917  (Average Length', '   30.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1676917  (Average', ' 261.77 Max', ' 18843 Sum', ' 438958463)']","[' 1673786  (Average', ' 257.47 Max', ' 18843 Sum', ' 431762254 Ratio', '  98.36%)']","[' 3131     (Average', ' 2298.37 Max', ' 4001 Sum', ' 7196209 Ratio', '   1.64%)']", ,[' 382100  '],[' 34283   '],[' 380405  '],[' 264835  '],"[' 794501   (Atom=Atom', ' 236288 Body=Body', ' 131445 Other', ' 426768)']",[' Yes'],"[' 34557    (Eliminated', '    0 Frozen', ' 34557)']","[' 8684     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 20.2632'],[' 0'], ,[' 412.656'],[' 0'],[' 38.2487'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.28963e+09'],[' 1.2042e+09'],[' 0'],[' 1.20686e+10'],[' 0'],[' 0'],[' 2052 '],[' 3710 '],[' 5437 '],[' 6825 '],[' 4 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 9649+'],[' 4829'],"[' 1026.804s (Solving', ' 920.16s 1st Model', ' 545.67s Unsat', ' 0.00s)']",[' 1019.750s'], ,[' 479718821'],"[' 1445999  (Analyzed', ' 931412)']","[' 4645     (Average', ' 200.52 Last', ' 56257)']",[' 13362.0 '],"[' 4829     (Average Length', ' 2211.18 Splits', ' 0)']","[' 931412   (Deleted', ' 845944)']","[' 1221     (Ratio', '   0.13%)']","[' 56185    (Ratio', '   6.03%)']","[' 931412   (Average Length', '   26.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 931412   (Average', ' 463.80 Max', ' 18451 Sum', ' 431993344)']","[' 928698   (Average', ' 456.49 Max', ' 18451 Sum', ' 425183026 Ratio', '  98.42%)']","[' 2714     (Average', ' 2509.33 Max', ' 4071 Sum', ' 6810318 Ratio', '   1.58%)']", ,[' 382438  '],[' 34100   '],[' 380661  '],[' 264779  '],"[' 794333   (Atom=Atom', ' 236535 Body=Body', ' 131142 Other', ' 426656)']",[' Yes'],"[' 34323    (Eliminated', '    0 Frozen', ' 34323)']","[' 10289    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.8884'],[' 0'], ,[' 400.417'],[' 0'],[' 36.8945'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32892e+09'],[' 1.24551e+09'],[' 0'],[' 1.28837e+10'],[' 0'],[' 0'],[' 1841 '],[' 3393 '],[' 5021 '],[' 6506 '],[' 4 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 9471+'],[' 4740'],"[' 1026.488s (Solving', ' 917.44s 1st Model', ' 621.53s Unsat', ' 0.00s)']",[' 1021.953s'], ,[' 513233763'],"[' 1062890  (Analyzed', ' 729345)']","[' 4194     (Average', ' 173.90 Last', ' 82379)']",[' 13886.6 '],"[' 4740     (Average Length', ' 2200.78 Splits', ' 0)']","[' 729345   (Deleted', ' 641842)']","[' 1407     (Ratio', '   0.19%)']","[' 58875    (Ratio', '   8.07%)']","[' 729345   (Average Length', '   25.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 729345   (Average', ' 635.73 Max', ' 18121 Sum', ' 463669854)']","[' 726526   (Average', ' 627.10 Max', ' 18121 Sum', ' 457374247 Ratio', '  98.64%)']","[' 2819     (Average', ' 2233.28 Max', ' 4142 Sum', ' 6295607 Ratio', '   1.36%)']", ,[' 384626  '],[' 34263   '],[' 382965  '],[' 265017  '],"[' 795047   (Atom=Atom', ' 236594 Body=Body', ' 131321 Other', ' 427132)']",[' Yes'],"[' 34578    (Eliminated', '    0 Frozen', ' 34578)']","[' 11422    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.2453'],[' 0'], ,[' 376.75'],[' 0'],[' 37.4454'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48585e+09'],[' 1.39954e+09'],[' 0'],[' 1.04925e+10'],[' 0'],[' 0'],[' 1633 '],[' 3193 '],[' 4935 '],[' 6422 '],[' 4 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 9199+'],[' 4604'],"[' 1026.087s (Solving', ' 919.84s 1st Model', ' 572.69s Unsat', ' 0.00s)']",[' 1020.438s'], ,[' 523375392'],"[' 1381841  (Analyzed', ' 1017090)']","[' 4449     (Average', ' 228.61 Last', ' 41431)']",[' 14046.2 '],"[' 4604     (Average Length', ' 2088.59 Splits', ' 0)']","[' 1017090  (Deleted', ' 928878)']","[' 1331     (Ratio', '   0.13%)']","[' 63195    (Ratio', '   6.21%)']","[' 1017090  (Average Length', '   28.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1017090  (Average', ' 465.67 Max', ' 18486 Sum', ' 473625968)']","[' 1014383  (Average', ' 459.95 Max', ' 18486 Sum', ' 467812691 Ratio', '  98.77%)']","[' 2707     (Average', ' 2147.50 Max', ' 3895 Sum', ' 5813277 Ratio', '   1.23%)']", ,[' 386023  '],[' 34251   '],[' 384273  '],[' 265756  '],"[' 797264   (Atom=Atom', ' 237176 Body=Body', ' 131478 Other', ' 428610)']",[' Yes'],"[' 34501    (Eliminated', '    0 Frozen', ' 34501)']","[' 11504    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.8282'],[' 0'], ,[' 376.739'],[' 0'],[' 38.8408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.4473e+09'],[' 1.35562e+09'],[' 0'],[' 9.94951e+09'],[' 0'],[' 0'],[' 2062 '],[' 3406 '],[' 4941 '],[' 6275 '],[' 4 '],[' 0 ']
