Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, ,[' 1'],[' 4555+'],[' 2280'],"[' 1004.159s (Solving', ' 987.95s 1st Model', ' 643.25s Unsat', ' 0.00s)']",[' 999.469s'], ,[' 420404908'],"[' 3305896  (Analyzed', ' 3040732)']","[' 8975     (Average', ' 338.80 Last', ' 378555)']",[' 6327.2  '],"[' 2280     (Average Length', ' 1114.75 Splits', ' 0)']","[' 3040732  (Deleted', ' 2948680)']","[' 670      (Ratio', '   0.02%)']","[' 68654    (Ratio', '   2.26%)']","[' 3040732  (Average Length', '   24.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3040732  (Average', ' 134.31 Max', ' 7400 Sum', ' 408413028)']","[' 3040243  (Average', ' 134.12 Max', ' 6847 Sum', ' 407836388 Ratio', '  99.86%)']","[' 489      (Average', ' 1179.22 Max', ' 2169 Sum', ' 576640 Ratio', '   0.14%)']", ,[' 89387   '],[' 10970   '],[' 90304   '],[' 60551   '],"[' 181649   (Atom=Atom', ' 50837 Body=Body', ' 29537 Other', ' 101275)']",[' Yes'],"[' 12637    (Eliminated', '    0 Frozen', ' 12637)']","[' 7699     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.27303'],[' 0'], ,[' 412.909'],[' 0'],[' 28.2652'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72189e+09'],[' 1.5649e+09'],[' 0'],[' 1.9397e+10'],[' 0'],[' 0'],[' 1687 '],[' 3377 '],[' 2 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 4165+'],[' 2085'],"[' 1003.593s (Solving', ' 988.47s 1st Model', ' 162.08s Unsat', ' 0.00s)']",[' 999.047s'], ,[' 417595233'],"[' 3905074  (Analyzed', ' 3562258)']","[' 8612     (Average', ' 413.64 Last', ' 120213)']",[' 6638.3  '],"[' 2085     (Average Length', ' 1015.99 Splits', ' 0)']","[' 3562258  (Deleted', ' 3470713)']","[' 824      (Ratio', '   0.02%)']","[' 68956    (Ratio', '   1.94%)']","[' 3562258  (Average Length', '   27.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3562258  (Average', ' 113.85 Max', ' 7473 Sum', ' 405575358)']","[' 3561773  (Average', ' 113.72 Max', ' 7386 Sum', ' 405116960 Ratio', '  99.89%)']","[' 485      (Average', ' 945.15 Max', ' 1984 Sum', ' 458398 Ratio', '   0.11%)']", ,[' 88940   '],[' 11009   '],[' 89719   '],[' 60697   '],"[' 182087   (Atom=Atom', ' 50890 Body=Body', ' 29630 Other', ' 101567)']",[' Yes'],"[' 12538    (Eliminated', '    0 Frozen', ' 12538)']","[' 6677     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03018'],[' 0'], ,[' 404.706'],[' 0'],[' 28.8384'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54711e+09'],[' 1.39464e+09'],[' 0'],[' 1.78766e+10'],[' 0'],[' 0'],[' 1867 '],[' 3532 '],[' 2 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4549+'],[' 2277'],"[' 1004.077s (Solving', ' 987.88s 1st Model', ' 461.29s Unsat', ' 0.00s)']",[' 999.406s'], ,[' 412760114'],"[' 3371490  (Analyzed', ' 2999935)']","[' 8372     (Average', ' 358.33 Last', ' 194190)']",[' 6341.9  '],"[' 2277     (Average Length', ' 1120.52 Splits', ' 0)']","[' 2999935  (Deleted', ' 2917889)']","[' 685      (Ratio', '   0.02%)']","[' 62409    (Ratio', '   2.08%)']","[' 2999935  (Average Length', '   23.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2999935  (Average', ' 133.57 Max', ' 7448 Sum', ' 400706116)']","[' 2999440  (Average', ' 133.37 Max', ' 6802 Sum', ' 400101506 Ratio', '  99.85%)']","[' 495      (Average', ' 1221.43 Max', ' 2171 Sum', ' 604610 Ratio', '   0.15%)']", ,[' 88383   '],[' 10797   '],[' 89366   '],[' 60060   '],"[' 180176   (Atom=Atom', ' 50448 Body=Body', ' 29435 Other', ' 100293)']",[' Yes'],"[' 12530    (Eliminated', '    0 Frozen', ' 12530)']","[' 6712     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.13622'],[' 0'], ,[' 413.786'],[' 0'],[' 29.0598'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.62501e+09'],[' 1.47023e+09'],[' 0'],[' 1.77031e+10'],[' 0'],[' 0'],[' 1498 '],[' 3345 '],[' 2 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4557+'],[' 2281'],"[' 1003.634s (Solving', ' 987.12s 1st Model', ' 508.49s Unsat', ' 0.00s)']",[' 999.188s'], ,[' 415214604'],"[' 3388303  (Analyzed', ' 3025600)']","[' 8408     (Average', ' 359.85 Last', ' 209401)']",[' 6401.6  '],"[' 2281     (Average Length', ' 1115.43 Splits', ' 0)']","[' 3025600  (Deleted', ' 2936647)']","[' 751      (Ratio', '   0.02%)']","[' 66805    (Ratio', '   2.21%)']","[' 3025600  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3025600  (Average', ' 133.20 Max', ' 7238 Sum', ' 403008644)']","[' 3025090  (Average', ' 133.00 Max', ' 7238 Sum', ' 402401603 Ratio', '  99.85%)']","[' 510      (Average', ' 1190.28 Max', ' 2171 Sum', ' 607041 Ratio', '   0.15%)']", ,[' 89228   '],[' 10920   '],[' 90302   '],[' 60838   '],"[' 182510   (Atom=Atom', ' 51012 Body=Body', ' 29649 Other', ' 101849)']",[' Yes'],"[' 12744    (Eliminated', '    0 Frozen', ' 12744)']","[' 7556     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.17467'],[' 0'], ,[' 416.058'],[' 0'],[' 28.3257'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67004e+09'],[' 1.52321e+09'],[' 0'],[' 1.92381e+10'],[' 0'],[' 0'],[' 1604 '],[' 3253 '],[' 2 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 4245+'],[' 2125'],"[' 1003.798s (Solving', ' 989.34s 1st Model', ' 463.20s Unsat', ' 0.00s)']",[' 997.953s'], ,[' 413451281'],"[' 3648633  (Analyzed', ' 3046597)']","[' 8131     (Average', ' 374.69 Last', ' 216217)']",[' 6353.0  '],"[' 2125     (Average Length', ' 1039.59 Splits', ' 0)']","[' 3046597  (Deleted', ' 2954756)']","[' 741      (Ratio', '   0.02%)']","[' 69838    (Ratio', '   2.29%)']","[' 3046597  (Average Length', '   24.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3046597  (Average', ' 131.85 Max', ' 7171 Sum', ' 401707799)']","[' 3046098  (Average', ' 131.67 Max', ' 6833 Sum', ' 401155081 Ratio', '  99.86%)']","[' 499      (Average', ' 1107.65 Max', ' 2003 Sum', ' 552718 Ratio', '   0.14%)']", ,[' 88462   '],[' 10936   '],[' 89263   '],[' 60408   '],"[' 181220   (Atom=Atom', ' 50678 Body=Body', ' 29553 Other', ' 100989)']",[' Yes'],"[' 12487    (Eliminated', '    0 Frozen', ' 12487)']","[' 7420     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.87325'],[' 0'], ,[' 387.284'],[' 0'],[' 28.6193'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.69121e+09'],[' 1.52776e+09'],[' 0'],[' 1.60522e+10'],[' 0'],[' 0'],[' 1762 '],[' 3359 '],[' 2 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 4603+'],[' 2304'],"[' 1005.217s (Solving', ' 965.47s 1st Model', ' 410.43s Unsat', ' 0.00s)']",[' 985.844s'], ,[' 200512718'],"[' 3180371  (Analyzed', ' 1461094)']","[' 4640     (Average', ' 314.89 Last', ' 65334)']",[' 6916.8  '],"[' 2304     (Average Length', ' 1132.60 Splits', ' 0)']","[' 1461094  (Deleted', ' 1406004)']","[' 405      (Ratio', '   0.03%)']","[' 42331    (Ratio', '   2.90%)']","[' 1461094  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1461094  (Average', ' 126.89 Max', ' 7626 Sum', ' 185403721)']","[' 1460536  (Average', ' 126.48 Max', ' 6840 Sum', ' 184795933 Ratio', '  99.67%)']","[' 558      (Average', ' 1089.23 Max', ' 1901 Sum', ' 607788 Ratio', '   0.33%)']", ,[' 88515   '],[' 10832   '],[' 89442   '],[' 60019   '],"[' 180053   (Atom=Atom', ' 50437 Body=Body', ' 29405 Other', ' 100211)']",[' Yes'],"[' 12509    (Eliminated', '    0 Frozen', ' 12509)']","[' 4631     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 9.4253'],[' 0'], ,[' 426.46'],[' 0'],[' 33.7407'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.12493e+08'],[' 4.55196e+08'],[' 0'],[' 7.47062e+09'],[' 0'],[' 0'],[' 1903 '],[' 3438 '],[' 2 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 3691+'],[' 1848'],"[' 1004.848s (Solving', ' 983.48s 1st Model', ' 135.95s Unsat', ' 0.00s)']",[' 994.797s'], ,[' 307616725'],"[' 3201452  (Analyzed', ' 2610324)']","[' 6186     (Average', ' 421.97 Last', ' 86087)']",[' 6446.9  '],"[' 1848     (Average Length', ' 908.00 Splits', ' 0)']","[' 2610324  (Deleted', ' 2529990)']","[' 712      (Ratio', '   0.03%)']","[' 52892    (Ratio', '   2.03%)']","[' 2610324  (Average Length', '   26.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2610324  (Average', ' 113.78 Max', ' 7393 Sum', ' 297012657)']","[' 2609796  (Average', ' 113.59 Max', ' 6804 Sum', ' 296514937 Ratio', '  99.83%)']","[' 528      (Average', ' 942.65 Max', ' 6626 Sum', ' 497720 Ratio', '   0.17%)']", ,[' 88423   '],[' 10905   '],[' 88988   '],[' 59998   '],"[' 179990   (Atom=Atom', ' 50303 Body=Body', ' 29518 Other', ' 100169)']",[' Yes'],"[' 12220    (Eliminated', '    0 Frozen', ' 12220)']","[' 5440     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.70681'],[' 0'], ,[' 451.979'],[' 0'],[' 31.9361'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.76944e+08'],[' 8.90238e+08'],[' 0'],[' 2.06043e+10'],[' 0'],[' 0'],[' 1981 '],[' 3668 '],[' 2 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 4627+'],[' 2316'],"[' 1003.930s (Solving', ' 988.11s 1st Model', ' 402.32s Unsat', ' 0.00s)']",[' 1000.516s'], ,[' 451872897'],"[' 3795140  (Analyzed', ' 3426337)']","[' 8149     (Average', ' 420.46 Last', ' 734347)']",[' 6466.9  '],"[' 2316     (Average Length', ' 1132.87 Splits', ' 0)']","[' 3426337  (Deleted', ' 3331823)']","[' 928      (Ratio', '   0.03%)']","[' 73002    (Ratio', '   2.13%)']","[' 3426337  (Average Length', '   25.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3426337  (Average', ' 128.21 Max', ' 7220 Sum', ' 439278972)']","[' 3425902  (Average', ' 128.05 Max', ' 7220 Sum', ' 438746861 Ratio', '  99.88%)']","[' 435      (Average', ' 1223.24 Max', ' 2173 Sum', ' 532111 Ratio', '   0.12%)']", ,[' 89243   '],[' 10982   '],[' 90271   '],[' 60983   '],"[' 182945   (Atom=Atom', ' 51145 Body=Body', ' 29661 Other', ' 102139)']",[' Yes'],"[' 12760    (Eliminated', '    0 Frozen', ' 12760)']","[' 7626     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.99046'],[' 0'], ,[' 385.522'],[' 0'],[' 28.426'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89717e+09'],[' 1.72562e+09'],[' 0'],[' 1.81627e+10'],[' 0'],[' 0'],[' 1830 '],[' 3518 '],[' 2 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 4285+'],[' 2145'],"[' 1003.514s (Solving', ' 988.57s 1st Model', ' 599.46s Unsat', ' 0.00s)']",[' 1001.469s'], ,[' 446746617'],"[' 3673006  (Analyzed', ' 3376736)']","[' 8759     (Average', ' 385.52 Last', ' 444320)']",[' 6273.1  '],"[' 2145     (Average Length', ' 1045.89 Splits', ' 0)']","[' 3376736  (Deleted', ' 3283893)']","[' 870      (Ratio', '   0.03%)']","[' 74679    (Ratio', '   2.21%)']","[' 3376736  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3376736  (Average', ' 128.92 Max', ' 7079 Sum', ' 435320873)']","[' 3376253  (Average', ' 128.76 Max', ' 6650 Sum', ' 434803761 Ratio', '  99.88%)']","[' 483      (Average', ' 1070.63 Max', ' 1924 Sum', ' 517112 Ratio', '   0.12%)']", ,[' 88049   '],[' 10862   '],[' 88845   '],[' 60139   '],"[' 180413   (Atom=Atom', ' 50476 Body=Body', ' 29486 Other', ' 100451)']",[' Yes'],"[' 12408    (Eliminated', '    0 Frozen', ' 12408)']","[' 7864     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.83264'],[' 0'], ,[' 388.988'],[' 0'],[' 28.0912'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89476e+09'],[' 1.72088e+09'],[' 0'],[' 1.86656e+10'],[' 0'],[' 0'],[' 1642 '],[' 3380 '],[' 2 '],[' 0 ']
Solving...,TA60, ,[' 1'],[' 4643+'],[' 2324'],"[' 1003.838s (Solving', ' 988.82s 1st Model', ' 815.53s Unsat', ' 0.00s)']",[' 1001.203s'], ,[' 451064764'],"[' 3415893  (Analyzed', ' 3037282)']","[' 8613     (Average', ' 352.64 Last', ' 723915)']",[' 6306.2  '],"[' 2324     (Average Length', ' 1136.15 Splits', ' 0)']","[' 3037282  (Deleted', ' 2950090)']","[' 653      (Ratio', '   0.02%)']","[' 68451    (Ratio', '   2.25%)']","[' 3037282  (Average Length', '   22.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3037282  (Average', ' 144.48 Max', ' 7524 Sum', ' 438831164)']","[' 3036799  (Average', ' 144.29 Max', ' 6773 Sum', ' 438240297 Ratio', '  99.87%)']","[' 483      (Average', ' 1223.33 Max', ' 2094 Sum', ' 590867 Ratio', '   0.13%)']", ,[' 88163   '],[' 10856   '],[' 89096   '],[' 60119   '],"[' 180353   (Atom=Atom', ' 50517 Body=Body', ' 29425 Other', ' 100411)']",[' Yes'],"[' 12539    (Eliminated', '    0 Frozen', ' 12539)']","[' 7604     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.97392'],[' 0'], ,[' 373.057'],[' 0'],[' 28.5615'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.96633e+09'],[' 1.78131e+09'],[' 0'],[' 1.64367e+10'],[' 0'],[' 0'],[' 1618 '],[' 3102 '],[' 2 '],[' 0 ']
