Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, ,[' 1'],[' 12557+'],[' 6282'],"[' 1034.929s (Solving', ' 890.90s 1st Model', ' 514.10s Unsat', ' 0.00s)']",[' 1031.750s'], ,[' 689813647'],"[' 1551514  (Analyzed', ' 440875)']","[' 4977     (Average', ' 88.58 Last', ' 31407)']",[' 20336.7 '],"[' 6282     (Average Length', ' 2938.77 Splits', ' 0)']","[' 440875   (Deleted', ' 353361)']","[' 711      (Ratio', '   0.16%)']","[' 54456    (Ratio', '  12.35%)']","[' 440875   (Average Length', '   36.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 440875   (Average', ' 1339.28 Max', ' 24826 Sum', ' 590453746)']","[' 437233   (Average', ' 1313.93 Max', ' 24826 Sum', ' 579277409 Ratio', '  98.11%)']","[' 3642     (Average', ' 3068.74 Max', ' 5488 Sum', ' 11176337 Ratio', '   1.89%)']", ,[' 401731  '],[' 39961   '],[' 403069  '],[' 280462  '],"[' 841382   (Atom=Atom', ' 244675 Body=Body', ' 138685 Other', ' 458022)']",[' Yes'],"[' 43299    (Eliminated', '    0 Frozen', ' 43299)']","[' 10345    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.3019'],[' 0'], ,[' 334.211'],[' 0'],[' 40.421'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51542e+09'],[' 1.43035e+09'],[' 0'],[' 7.98438e+09'],[' 0'],[' 0'],[' 2712 '],[' 5099 '],[' 7274 '],[' 3 '],[' 0 ']
Solving...,TA72, ,[' 1'],[' 12657+'],[' 6332'],"[' 1033.273s (Solving', ' 887.41s 1st Model', ' 624.25s Unsat', ' 0.00s)']",[' 1030.359s'], ,[' 679393310'],"[' 2486087  (Analyzed', ' 392415)']","[' 5146     (Average', ' 76.26 Last', ' 42215)']",[' 20607.5 '],"[' 6332     (Average Length', ' 2970.97 Splits', ' 0)']","[' 392415   (Deleted', ' 312438)']","[' 618      (Ratio', '   0.16%)']","[' 49759    (Ratio', '  12.68%)']","[' 392415   (Average Length', '   31.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 392415   (Average', ' 1469.76 Max', ' 24719 Sum', ' 576757517)']","[' 388613   (Average', ' 1440.72 Max', ' 24719 Sum', ' 565360895 Ratio', '  98.02%)']","[' 3802     (Average', ' 2997.53 Max', ' 5008 Sum', ' 11396622 Ratio', '   1.98%)']", ,[' 398078  '],[' 39449   '],[' 399658  '],[' 279475  '],"[' 838421   (Atom=Atom', ' 244037 Body=Body', ' 138336 Other', ' 456048)']",[' Yes'],"[' 43022    (Eliminated', '    0 Frozen', ' 43022)']","[' 9860     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 25.032'],[' 0'], ,[' 333.285'],[' 0'],[' 39.8802'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51443e+09'],[' 1.43268e+09'],[' 0'],[' 8.60926e+09'],[' 0'],[' 0'],[' 2233 '],[' 4377 '],[' 6771 '],[' 3 '],[' 0 ']
Solving...,TA73, ,[' 1'],[' 11897+'],[' 5952'],"[' 1031.876s (Solving', ' 899.23s 1st Model', ' 580.29s Unsat', ' 0.00s)']",[' 1028.797s'], ,[' 705843448'],"[' 1089633  (Analyzed', ' 436504)']","[' 4320     (Average', ' 101.04 Last', ' 90974)']",[' 19985.9 '],"[' 5952     (Average Length', ' 2763.51 Splits', ' 0)']","[' 436504   (Deleted', ' 367433)']","[' 534      (Ratio', '   0.12%)']","[' 53133    (Ratio', '  12.17%)']","[' 436504   (Average Length', '   33.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 436504   (Average', ' 1402.61 Max', ' 24790 Sum', ' 612243992)']","[' 433068   (Average', ' 1380.49 Max', ' 24790 Sum', ' 602590583 Ratio', '  98.42%)']","[' 3436     (Average', ' 2809.49 Max', ' 5229 Sum', ' 9653409 Ratio', '   1.58%)']", ,[' 400701  '],[' 39612   '],[' 401537  '],[' 277995  '],"[' 833981   (Atom=Atom', ' 242773 Body=Body', ' 138120 Other', ' 453088)']",[' Yes'],"[' 42448    (Eliminated', '    0 Frozen', ' 42448)']","[' 10103    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.5836'],[' 0'], ,[' 327.999'],[' 0'],[' 41.694'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55609e+09'],[' 1.47241e+09'],[' 0'],[' 6.71778e+09'],[' 0'],[' 0'],[' 2539 '],[' 4530 '],[' 6984 '],[' 3 '],[' 0 ']
Solving...,TA74, ,[' 1'],[' 11977+'],[' 5992'],"[' 1031.145s (Solving', ' 903.65s 1st Model', ' 702.36s Unsat', ' 0.00s)']",[' 1028.828s'], ,[' 700965844'],"[' 2446564  (Analyzed', ' 403951)']","[' 4737     (Average', ' 85.28 Last', ' 41140)']",[' 19547.0 '],"[' 5992     (Average Length', ' 2801.96 Splits', ' 0)']","[' 403951   (Deleted', ' 334848)']","[' 545      (Ratio', '   0.13%)']","[' 49744    (Ratio', '  12.31%)']","[' 403951   (Average Length', '   30.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 403951   (Average', ' 1503.44 Max', ' 24926 Sum', ' 607315366)']","[' 400877   (Average', ' 1481.23 Max', ' 24926 Sum', ' 598345882 Ratio', '  98.52%)']","[' 3074     (Average', ' 2917.85 Max', ' 9689 Sum', ' 8969484 Ratio', '   1.48%)']", ,[' 397080  '],[' 39248   '],[' 397972  '],[' 276513  '],"[' 829535   (Atom=Atom', ' 241569 Body=Body', ' 137842 Other', ' 450124)']",[' Yes'],"[' 42140    (Eliminated', '    0 Frozen', ' 42140)']","[' 9266     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.663'],[' 0'], ,[' 341.062'],[' 0'],[' 41.4029'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.52937e+09'],[' 1.44822e+09'],[' 0'],[' 8.98179e+09'],[' 0'],[' 0'],[' 2154 '],[' 4174 '],[' 6392 '],[' 3 '],[' 0 ']
Solving...,TA75, ,[' 1'],[' 11615+'],[' 5811'],"[' 1029.576s (Solving', ' 904.53s 1st Model', ' 697.45s Unsat', ' 0.00s)']",[' 1027.188s'], ,[' 697244413'],"[' 2779589  (Analyzed', ' 384515)']","[' 4688     (Average', ' 82.02 Last', ' 72270)']",[' 19795.1 '],"[' 5811     (Average Length', ' 2767.30 Splits', ' 0)']","[' 384515   (Deleted', ' 317158)']","[' 468      (Ratio', '   0.12%)']","[' 48451    (Ratio', '  12.60%)']","[' 384515   (Average Length', '   32.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 384515   (Average', ' 1574.60 Max', ' 25253 Sum', ' 605456696)']","[' 381177   (Average', ' 1548.95 Max', ' 25253 Sum', ' 595596222 Ratio', '  98.37%)']","[' 3338     (Average', ' 2954.01 Max', ' 5274 Sum', ' 9860474 Ratio', '   1.63%)']", ,[' 400919  '],[' 39902   '],[' 402083  '],[' 279868  '],"[' 839600   (Atom=Atom', ' 244078 Body=Body', ' 138688 Other', ' 456834)']",[' Yes'],"[' 43066    (Eliminated', '    0 Frozen', ' 43066)']","[' 9005     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 21.3842'],[' 0'], ,[' 350.589'],[' 0'],[' 40.8294'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48763e+09'],[' 1.41058e+09'],[' 0'],[' 9.90388e+09'],[' 0'],[' 0'],[' 2334 '],[' 4374 '],[' 6841 '],[' 3 '],[' 0 ']
Solving...,TA76, ,[' 1'],[' 12087+'],[' 6047'],"[' 1031.806s (Solving', ' 900.94s 1st Model', ' 727.34s Unsat', ' 0.00s)']",[' 1029.156s'], ,[' 721695861'],"[' 932760   (Analyzed', ' 397461)']","[' 4275     (Average', ' 92.97 Last', ' 60857)']",[' 20076.2 '],"[' 6047     (Average Length', ' 2845.92 Splits', ' 0)']","[' 397461   (Deleted', ' 320291)']","[' 511      (Ratio', '   0.13%)']","[' 50774    (Ratio', '  12.77%)']","[' 397461   (Average Length', '   32.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 397461   (Average', ' 1569.16 Max', ' 25680 Sum', ' 623681174)']","[' 394960   (Average', ' 1551.98 Max', ' 25680 Sum', ' 616853414 Ratio', '  98.91%)']","[' 2501     (Average', ' 2730.01 Max', ' 5320 Sum', ' 6827760 Ratio', '   1.09%)']", ,[' 400020  '],[' 39639   '],[' 401314  '],[' 279350  '],"[' 838046   (Atom=Atom', ' 243750 Body=Body', ' 138498 Other', ' 455798)']",[' Yes'],"[' 42933    (Eliminated', '    0 Frozen', ' 42933)']","[' 8699     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.3228'],[' 0'], ,[' 323.385'],[' 0'],[' 41.903'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.54397e+09'],[' 1.46358e+09'],[' 0'],[' 6.31032e+09'],[' 0'],[' 0'],[' 2323 '],[' 4564 '],[' 6909 '],[' 3 '],[' 0 ']
Solving...,TA77, ,[' 1'],[' 12433+'],[' 6220'],"[' 1033.541s (Solving', ' 894.48s 1st Model', ' 410.92s Unsat', ' 0.00s)']",[' 1031.266s'], ,[' 596025434'],"[' 7164502  (Analyzed', ' 424794)']","[' 4850     (Average', ' 87.59 Last', ' 18959)']",[' 20585.2 '],"[' 6220     (Average Length', ' 2923.11 Splits', ' 0)']","[' 424794   (Deleted', ' 351554)']","[' 426      (Ratio', '   0.10%)']","[' 42930    (Ratio', '  10.11%)']","[' 424794   (Average Length', '   33.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 424794   (Average', ' 1145.65 Max', ' 26449 Sum', ' 486664608)']","[' 422162   (Average', ' 1126.72 Max', ' 26449 Sum', ' 478624483 Ratio', '  98.35%)']","[' 2632     (Average', ' 3054.76 Max', ' 13359 Sum', ' 8040125 Ratio', '   1.65%)']", ,[' 397598  '],[' 39247   '],[' 398944  '],[' 278241  '],"[' 834719   (Atom=Atom', ' 243151 Body=Body', ' 137988 Other', ' 453580)']",[' Yes'],"[' 42593    (Eliminated', '    0 Frozen', ' 42593)']","[' 8264     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.7956'],[' 0'], ,[' 403.055'],[' 0'],[' 35.6656'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29532e+09'],[' 1.21564e+09'],[' 0'],[' 1.89827e+10'],[' 0'],[' 0'],[' 2332 '],[' 4597 '],[' 7213 '],[' 3 '],[' 0 ']
Solving...,TA78, ,[' 1'],[' 12393+'],[' 6200'],"[' 1031.516s (Solving', ' 893.57s 1st Model', ' 645.49s Unsat', ' 0.00s)']",[' 1028.609s'], ,[' 636912727'],"[' 2911784  (Analyzed', ' 339720)']","[' 4721     (Average', ' 71.96 Last', ' 95608)']",[' 20386.3 '],"[' 6200     (Average Length', ' 2906.55 Splits', ' 0)']","[' 339720   (Deleted', ' 278139)']","[' 635      (Ratio', '   0.19%)']","[' 45104    (Ratio', '  13.28%)']","[' 339720   (Average Length', '   31.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 339720   (Average', ' 1577.76 Max', ' 25216 Sum', ' 535997149)']","[' 336427   (Average', ' 1546.95 Max', ' 25216 Sum', ' 525529511 Ratio', '  98.05%)']","[' 3293     (Average', ' 3178.75 Max', ' 5430 Sum', ' 10467638 Ratio', '   1.95%)']", ,[' 398002  '],[' 39436   '],[' 399132  '],[' 279102  '],"[' 837302   (Atom=Atom', ' 243963 Body=Body', ' 138037 Other', ' 455302)']",[' Yes'],"[' 42566    (Eliminated', '    0 Frozen', ' 42566)']","[' 8192     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.6261'],[' 0'], ,[' 344.718'],[' 0'],[' 40.1625'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37496e+09'],[' 1.30129e+09'],[' 0'],[' 9.60301e+09'],[' 0'],[' 0'],[' 2267 '],[' 4332 '],[' 6793 '],[' 3 '],[' 0 ']
Solving...,TA79, ,[' 1'],[' 13077+'],[' 6542'],"[' 1033.852s (Solving', ' 891.26s 1st Model', ' 712.18s Unsat', ' 0.00s)']",[' 1030.297s'], ,[' 696491581'],"[' 1684283  (Analyzed', ' 396306)']","[' 5021     (Average', ' 78.93 Last', ' 71969)']",[' 20102.8 '],"[' 6542     (Average Length', ' 3058.84 Splits', ' 0)']","[' 396306   (Deleted', ' 313575)']","[' 609      (Ratio', '   0.15%)']","[' 50098    (Ratio', '  12.64%)']","[' 396306   (Average Length', '   31.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 396306   (Average', ' 1500.68 Max', ' 24868 Sum', ' 594727906)']","[' 392920   (Average', ' 1472.53 Max', ' 24868 Sum', ' 583574162 Ratio', '  98.12%)']","[' 3386     (Average', ' 3294.08 Max', ' 5604 Sum', ' 11153744 Ratio', '   1.88%)']", ,[' 399168  '],[' 39506   '],[' 401039  '],[' 280205  '],"[' 840611   (Atom=Atom', ' 244523 Body=Body', ' 138580 Other', ' 457508)']",[' Yes'],"[' 43377    (Eliminated', '    0 Frozen', ' 43377)']","[' 9847     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.3324'],[' 0'], ,[' 325.752'],[' 0'],[' 41.4397'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.50941e+09'],[' 1.42795e+09'],[' 0'],[' 6.99393e+09'],[' 0'],[' 0'],[' 2220 '],[' 4272 '],[' 6730 '],[' 3 '],[' 0 ']
Solving...,TA80, ,[' 1'],[' 11525+'],[' 5766'],"[' 1030.261s (Solving', ' 900.92s 1st Model', ' 675.01s Unsat', ' 0.00s)']",[' 1027.516s'], ,[' 664986738'],"[' 4719125  (Analyzed', ' 378657)']","[' 4719     (Average', ' 80.24 Last', ' 80189)']",[' 20556.7 '],"[' 5766     (Average Length', ' 2707.25 Splits', ' 0)']","[' 378657   (Deleted', ' 299264)']","[' 536      (Ratio', '   0.14%)']","[' 48075    (Ratio', '  12.70%)']","[' 378657   (Average Length', '   33.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 378657   (Average', ' 1495.81 Max', ' 25751 Sum', ' 566398469)']","[' 375431   (Average', ' 1471.38 Max', ' 25751 Sum', ' 557148060 Ratio', '  98.37%)']","[' 3226     (Average', ' 2867.45 Max', ' 5055 Sum', ' 9250409 Ratio', '   1.63%)']", ,[' 400464  '],[' 39752   '],[' 401453  '],[' 280921  '],"[' 842759   (Atom=Atom', ' 245263 Body=Body', ' 138556 Other', ' 458940)']",[' Yes'],"[' 42741    (Eliminated', '    0 Frozen', ' 42741)']","[' 8840     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 22.6476'],[' 0'], ,[' 362.543'],[' 0'],[' 39.2643'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46536e+09'],[' 1.38491e+09'],[' 0'],[' 1.28772e+10'],[' 0'],[' 0'],[' 2330 '],[' 4545 '],[' 6791 '],[' 3 '],[' 0 ']
