Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA51, ,[' 1'],[' 4819+'],[' 2412'],"[' 1005.747s (Solving', ' 982.70s 1st Model', ' 726.17s Unsat', ' 0.00s)']", 1003.203s, ,[' 285399762'],"[' 4367451  (Analyzed', ' 4178066)']","[' 11413    (Average', ' 366.08 Last', ' 899158)']",[' 6896.2  '],"[' 2412     (Average Length', ' 1178.62 Splits', ' 0)']","[' 4178066  (Deleted', ' 4067857)']","[' 606      (Ratio', '   0.01%)']","[' 50987    (Ratio', '   1.22%)']","[' 4178066  (Average Length', '   38.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4178066  (Average', ' 64.99 Max', ' 8059 Sum', ' 271553147)']","[' 4177527  (Average', ' 64.84 Max', ' 7819 Sum', ' 270908797 Ratio', '  99.76%)']","[' 539      (Average', ' 1195.45 Max', ' 2204 Sum', ' 644350 Ratio', '   0.24%)']", ,[' 93516   '],[' 12795   '],[' 93470   '],[' 62930   '],"[' 188786   (Atom=Atom', ' 52467 Body=Body', ' 30286 Other', ' 106033)']",[' Yes'],"[' 13499    (Eliminated', '    0 Frozen', ' 13499)']","[' 6904     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.29662'],[' 0'], ,[' 467.466'],[' 0'],[' 25.1394'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04887e+09'],[' 9.54297e+08'],[' 0'],[' 1.69392e+10'],[' 0'],[' 0'],1687,3437,[' 2 '],[' 0 ']
Solving...,TA52, ,[' 1'],[' 4085+'],[' 2045'],"[' 1004.772s (Solving', ' 985.53s 1st Model', ' 505.67s Unsat', ' 0.00s)']", 1001.063s, ,[' 364521514'],"[' 2858030  (Analyzed', ' 2727325)']","[' 6987     (Average', ' 390.34 Last', ' 120213)']",[' 7129.9  '],"[' 2045     (Average Length', ' 1002.65 Splits', ' 0)']","[' 2727325  (Deleted', ' 2644509)']","[' 1073     (Ratio', '   0.04%)']","[' 63183    (Ratio', '   2.32%)']","[' 2727325  (Average Length', '   27.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2727325  (Average', ' 129.04 Max', ' 7915 Sum', ' 351947259)']","[' 2726877  (Average', ' 128.89 Max', ' 7915 Sum', ' 351522366 Ratio', '  99.88%)']","[' 448      (Average', ' 948.42 Max', ' 1972 Sum', ' 424893 Ratio', '   0.12%)']", ,[' 93607   '],[' 12836   '],[' 93533   '],[' 63612   '],"[' 190832   (Atom=Atom', ' 52820 Body=Body', ' 30615 Other', ' 107397)']",[' Yes'],"[' 13512    (Eliminated', '    0 Frozen', ' 13512)']","[' 5443     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.72966'],[' 0'], ,[' 384.285'],[' 0'],[' 29.6726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30282e+09'],[' 1.1773e+09'],[' 0'],[' 1.17275e+10'],[' 0'],[' 0'],1867,3462,[' 2 '],[' 0 ']
Solving...,TA53, ,[' 1'],[' 4341+'],[' 2173'],"[' 1004.762s (Solving', ' 985.89s 1st Model', ' 933.11s Unsat', ' 0.00s)']", 999.328s, ,[' 347886483'],"[' 2056608  (Analyzed', ' 1799144)']","[' 6268     (Average', ' 287.04 Last', ' 194190)']",[' 6694.7  '],"[' 2173     (Average Length', ' 1070.33 Splits', ' 0)']","[' 1799144  (Deleted', ' 1730900)']","[' 782      (Ratio', '   0.04%)']","[' 57016    (Ratio', '   3.17%)']","[' 1799144  (Average Length', '   23.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1799144  (Average', ' 186.57 Max', ' 8186 Sum', ' 335662675)']","[' 1798709  (Average', ' 186.27 Max', ' 7827 Sum', ' 335117890 Ratio', '  99.84%)']","[' 435      (Average', ' 1252.38 Max', ' 2043 Sum', ' 544785 Ratio', '   0.16%)']", ,[' 92692   '],[' 12654   '],[' 92604   '],[' 62587   '],"[' 187757   (Atom=Atom', ' 52098 Body=Body', ' 30312 Other', ' 105347)']",[' Yes'],"[' 13316    (Eliminated', '    0 Frozen', ' 13316)']","[' 5905     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.65606'],[' 0'], ,[' 366.858'],[' 0'],[' 30.258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31385e+09'],[' 1.19546e+09'],[' 0'],[' 9.33588e+09'],[' 0'],[' 0'],1499,3221,[' 2 '],[' 0 ']
Solving...,TA54, ,[' 1'],[' 4549+'],[' 2277'],"[' 1006.325s (Solving', ' 980.53s 1st Model', ' 824.21s Unsat', ' 0.00s)']", 980.844s, ,[' 299881680'],"[' 1550701  (Analyzed', ' 1372886)']","[' 5072     (Average', ' 270.68 Last', ' 140398)']",[' 6778.4  '],"[' 2277     (Average Length', ' 1118.32 Splits', ' 0)']","[' 1372886  (Deleted', ' 1304409)']","[' 656      (Ratio', '   0.05%)']","[' 56814    (Ratio', '   4.14%)']","[' 1372886  (Average Length', '   25.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1372886  (Average', ' 209.15 Max', ' 8240 Sum', ' 287139607)']","[' 1372420  (Average', ' 208.75 Max', ' 7988 Sum', ' 286586589 Ratio', '  99.81%)']","[' 466      (Average', ' 1186.73 Max', ' 2165 Sum', ' 553018 Ratio', '   0.19%)']", ,[' 92721   '],[' 12746   '],[' 92561   '],[' 62580   '],"[' 187736   (Atom=Atom', ' 52172 Body=Body', ' 30231 Other', ' 105333)']",[' Yes'],"[' 13336    (Eliminated', '    0 Frozen', ' 13336)']","[' 5744     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.08873'],[' 0'], ,[' 363.661'],[' 0'],[' 30.3702'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0428e+09'],[' 9.51304e+08'],[' 0'],[' 7.36378e+09'],[' 0'],[' 0'],1617,3323,[' 2 '],[' 0 ']
Solving...,TA55, ,[' 1'],[' 4435+'],[' 2220'],"[' 1006.088s (Solving', ' 981.41s 1st Model', ' 524.31s Unsat', ' 0.00s)']", 981.188s, ,[' 284448800'],"[' 2066182  (Analyzed', ' 1914208)']","[' 6305     (Average', ' 303.60 Last', ' 100475)']",[' 7038.7  '],"[' 2220     (Average Length', ' 1089.35 Splits', ' 0)']","[' 1914208  (Deleted', ' 1838462)']","[' 755      (Ratio', '   0.04%)']","[' 54548    (Ratio', '   2.85%)']","[' 1914208  (Average Length', '   28.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1914208  (Average', ' 141.73 Max', ' 8477 Sum', ' 271295791)']","[' 1913786  (Average', ' 141.47 Max', ' 8477 Sum', ' 270812205 Ratio', '  99.82%)']","[' 422      (Average', ' 1145.94 Max', ' 2090 Sum', ' 483586 Ratio', '   0.18%)']", ,[' 93005   '],[' 12789   '],[' 92940   '],[' 63173   '],"[' 189515   (Atom=Atom', ' 52553 Body=Body', ' 30443 Other', ' 106519)']",[' Yes'],"[' 13474    (Eliminated', '    0 Frozen', ' 13474)']","[' 5619     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.99341'],[' 0'], ,[' 410.077'],[' 0'],[' 28.8527'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.48456e+08'],[' 8.61488e+08'],[' 0'],[' 1.08213e+10'],[' 0'],[' 0'],1762,3347,[' 2 '],[' 0 ']
Solving...,TA56, ,[' 1'],[' 2273+'],[' 1139'],"[' 1003.239s (Solving', ' 993.84s 1st Model', ' 38.14s Unsat', ' 0.00s)']", 981.125s, ,[' 165979364'],"[' 6768325  (Analyzed', ' 6713785)']","[' 13233    (Average', ' 507.35 Last', ' 7221)']",[' 5124.0  '],"[' 1139     (Average Length', ' 568.96 Splits', ' 0)']","[' 6713785  (Deleted', ' 6611367)']","[' 341      (Ratio', '   0.01%)']","[' 29717    (Ratio', '   0.44%)']","[' 6713785  (Average Length', '   43.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6713785  (Average', ' 23.91 Max', ' 7816 Sum', ' 160534004)']","[' 6713367  (Average', ' 23.84 Max', ' 7816 Sum', ' 160079329 Ratio', '  99.72%)']","[' 418      (Average', ' 1087.74 Max', ' 1137 Sum', ' 454675 Ratio', '   0.28%)']", ,[' 91727   '],[' 12668   '],[' 90647   '],[' 61470   '],"[' 184406   (Atom=Atom', ' 51016 Body=Body', ' 30277 Other', ' 103113)']",[' Yes'],"[' 12338    (Eliminated', '    0 Frozen', ' 12338)']","[' 5441     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.82116'],[' 0'], ,[' 588.162'],[' 0'],[' 22.2712'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.23372e+08'],[' 4.54038e+08'],[' 0'],[' 2.19343e+10'],[' 0'],[' 0'],1903,13523,[' 2 '],[' 0 ']
Solving...,TA57, ,[' 1'],[' 3927+'],[' 1966'],"[' 1004.974s (Solving', ' 984.41s 1st Model', ' 510.99s Unsat', ' 0.00s)']", 996.234s, ,[' 334946257'],"[' 2679892  (Analyzed', ' 2505254)']","[' 6263     (Average', ' 400.01 Last', ' 282489)']",[' 6935.4  '],"[' 1966     (Average Length', ' 962.20 Splits', ' 0)']","[' 2505254  (Deleted', ' 2420493)']","[' 1182     (Ratio', '   0.05%)']","[' 58232    (Ratio', '   2.32%)']","[' 2505254  (Average Length', '   27.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2505254  (Average', ' 129.01 Max', ' 7877 Sum', ' 323196494)']","[' 2504796  (Average', ' 128.83 Max', ' 7632 Sum', ' 322749140 Ratio', '  99.86%)']","[' 458      (Average', ' 976.76 Max', ' 1872 Sum', ' 447354 Ratio', '   0.14%)']", ,[' 93107   '],[' 12702   '],[' 92924   '],[' 62960   '],"[' 188876   (Atom=Atom', ' 52317 Body=Body', ' 30466 Other', ' 106093)']",[' Yes'],"[' 13269    (Eliminated', '    0 Frozen', ' 13269)']","[' 5913     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.16939'],[' 0'], ,[' 393.968'],[' 0'],[' 30.2512'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.18294e+09'],[' 1.07748e+09'],[' 0'],[' 1.08625e+10'],[' 0'],[' 0'],1981,3615,[' 2 '],[' 0 ']
Solving...,TA58, ,[' 1'],[' 4623+'],[' 2314'],"[' 1005.444s (Solving', ' 983.75s 1st Model', ' 579.23s Unsat', ' 0.00s)']", 990.266s, ,[' 240606036'],"[' 3283749  (Analyzed', ' 3117552)']","[' 8178     (Average', ' 381.21 Last', ' 1757952)']",[' 6965.4  '],"[' 2314     (Average Length', ' 1134.40 Splits', ' 0)']","[' 3117552  (Deleted', ' 3028493)']","[' 590      (Ratio', '   0.02%)']","[' 43164    (Ratio', '   1.38%)']","[' 3117552  (Average Length', '   29.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3117552  (Average', ' 72.88 Max', ' 8192 Sum', ' 227213367)']","[' 3117104  (Average', ' 72.70 Max', ' 8192 Sum', ' 226657962 Ratio', '  99.76%)']","[' 448      (Average', ' 1239.74 Max', ' 2161 Sum', ' 555405 Ratio', '   0.24%)']", ,[' 93709   '],[' 12789   '],[' 93841   '],[' 63717   '],"[' 191147   (Atom=Atom', ' 52967 Body=Body', ' 30573 Other', ' 107607)']",[' Yes'],"[' 13671    (Eliminated', '    0 Frozen', ' 13671)']","[' 6465     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.3071'],[' 0'], ,[' 528.649'],[' 0'],[' 23.2961'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.17078e+08'],[' 7.3982e+08'],[' 0'],[' 2.11535e+10'],[' 0'],[' 0'],1830,3553,[' 2 '],[' 0 ']
Solving...,TA59, ,[' 1'],[' 5005+'],[' 2505'],"[' 1006.724s (Solving', ' 980.04s 1st Model', ' 666.85s Unsat', ' 0.00s)']", 996.938s, ,[' 314392514'],"[' 1934374  (Analyzed', ' 1670382)']","[' 5546     (Average', ' 301.19 Last', ' 104712)']",[' 7184.4  '],"[' 2505     (Average Length', ' 1218.78 Splits', ' 0)']","[' 1670382  (Deleted', ' 1597250)']","[' 883      (Ratio', '   0.05%)']","[' 59277    (Ratio', '   3.55%)']","[' 1670382  (Average Length', '   25.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1670382  (Average', ' 179.27 Max', ' 8161 Sum', ' 299443695)']","[' 1669922  (Average', ' 178.96 Max', ' 7760 Sum', ' 298939243 Ratio', '  99.83%)']","[' 460      (Average', ' 1096.63 Max', ' 2303 Sum', ' 504452 Ratio', '   0.17%)']", ,[' 92814   '],[' 12747   '],[' 92927   '],[' 63094   '],"[' 189278   (Atom=Atom', ' 52566 Body=Body', ' 30351 Other', ' 106361)']",[' Yes'],"[' 13610    (Eliminated', '    0 Frozen', ' 13610)']","[' 6099     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.28547'],[' 0'], ,[' 368.13'],[' 0'],[' 29.1995'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12559e+09'],[' 1.02635e+09'],[' 0'],[' 8.85675e+09'],[' 0'],[' 0'],1642,3264,[' 2 '],[' 0 ']
