Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, ,[' 1'],[' 7559+'],[' 3782'],"[' 1008.808s (Solving', ' 966.86s 1st Model', ' 851.59s Unsat', ' 0.00s)']",[' 1006.578s'], ,[' 427735558'],"[' 2235387  (Analyzed', ' 1519093)']","[' 6823     (Average', ' 222.64 Last', ' 159926)']",[' 10090.5 '],"[' 3782     (Average Length', ' 1842.18 Splits', ' 0)']","[' 1519093  (Deleted', ' 1455167)']","[' 754      (Ratio', '   0.05%)']","[' 53086    (Ratio', '   3.49%)']","[' 1519093  (Average Length', '   23.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1519093  (Average', ' 261.03 Max', ' 12063 Sum', ' 396524915)']","[' 1518538  (Average', ' 260.39 Max', ' 11179 Sum', ' 395549203 Ratio', '  99.75%)']","[' 555      (Average', ' 1758.04 Max', ' 3552 Sum', ' 975712 Ratio', '   0.25%)']", ,[' 124689  '],[' 16864   '],[' 125489  '],[' 84710   '],"[' 254126   (Atom=Atom', ' 70600 Body=Body', ' 40558 Other', ' 142968)']",[' Yes'],"[' 18664    (Eliminated', '    0 Frozen', ' 18664)']","[' 5789     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.62439'],[' 0'], ,[' 368.036'],[' 0'],[' 32.8298'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22776e+09'],[' 1.10503e+09'],[' 0'],[' 9.76214e+09'],[' 0'],[' 0'],[' 1839 '],[' 3551 '],[' 2 '],[' 0 ']
Solving...,TA62, ,[' 1'],[' 7755+'],[' 3880'],"[' 1008.970s (Solving', ' 967.25s 1st Model', ' 825.22s Unsat', ' 0.00s)']",[' 1005.000s'], ,[' 430562667'],"[' 1832376  (Analyzed', ' 1231608)']","[' 6296     (Average', ' 195.62 Last', ' 74774)']",[' 9740.9  '],"[' 3880     (Average Length', ' 1895.68 Splits', ' 0)']","[' 1231608  (Deleted', ' 1166292)']","[' 579      (Ratio', '   0.05%)']","[' 55079    (Ratio', '   4.47%)']","[' 1231608  (Average Length', '   24.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1231608  (Average', ' 325.14 Max', ' 11423 Sum', ' 400439875)']","[' 1231041  (Average', ' 324.18 Max', ' 11179 Sum', ' 399268120 Ratio', '  99.71%)']","[' 567      (Average', ' 2066.59 Max', ' 3588 Sum', ' 1171755 Ratio', '   0.29%)']", ,[' 124897  '],[' 17050   '],[' 125440  '],[' 84560   '],"[' 253676   (Atom=Atom', ' 70582 Body=Body', ' 40426 Other', ' 142668)']",[' Yes'],"[' 18593    (Eliminated', '    0 Frozen', ' 18593)']","[' 5858     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 8.44484'],[' 0'], ,[' 357.031'],[' 0'],[' 33.4245'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25775e+09'],[' 1.14673e+09'],[' 0'],[' 8.63574e+09'],[' 0'],[' 0'],[' 1810 '],[' 3640 '],[' 2 '],[' 0 ']
Solving...,TA63, ,[' 1'],[' 3811+'],[' 1908'],"[' 1003.905s (Solving', ' 990.47s 1st Model', ' 431.80s Unsat', ' 0.00s)']",[' 1000.094s'], ,[' 234435493'],"[' 3719004  (Analyzed', ' 3565057)']","[' 8644     (Average', ' 412.43 Last', ' 261340)']",[' 6893.3  '],"[' 1908     (Average Length', ' 953.47 Splits', ' 0)']","[' 3565057  (Deleted', ' 3486048)']","[' 224      (Ratio', '   0.01%)']","[' 30984    (Ratio', '   0.87%)']","[' 3565057  (Average Length', '   45.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3565057  (Average', ' 62.71 Max', ' 12098 Sum', ' 223554271)']","[' 3564498  (Average', ' 62.42 Max', ' 10756 Sum', ' 222519651 Ratio', '  99.54%)']","[' 559      (Average', ' 1850.84 Max', ' 1906 Sum', ' 1034620 Ratio', '   0.46%)']", ,[' 122845  '],[' 16823   '],[' 121904  '],[' 82383   '],"[' 247145   (Atom=Atom', ' 68404 Body=Body', ' 40427 Other', ' 138314)']",[' Yes'],"[' 16882    (Eliminated', '    0 Frozen', ' 16882)']","[' 5803     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.7599'],[' 0'], ,[' 608.761'],[' 0'],[' 22.4979'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.35092e+08'],[' 6.55803e+08'],[' 0'],[' 3.57623e+10'],[' 0'],[' 0'],[' 1676 '],[' 15599 '],[' 2 '],[' 0 ']
Solving...,TA64, ,[' 1'],[' 6645+'],[' 3325'],"[' 1007.536s (Solving', ' 972.07s 1st Model', ' 880.73s Unsat', ' 0.00s)']",[' 1004.547s'], ,[' 464953078'],"[' 1829975  (Analyzed', ' 1542030)']","[' 6331     (Average', ' 243.57 Last', ' 231434)']",[' 9939.5  '],"[' 3325     (Average Length', ' 1629.49 Splits', ' 0)']","[' 1542030  (Deleted', ' 1468498)']","[' 742      (Ratio', '   0.05%)']","[' 57989    (Ratio', '   3.76%)']","[' 1542030  (Average Length', '   24.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1542030  (Average', ' 283.74 Max', ' 11259 Sum', ' 437537369)']","[' 1541491  (Average', ' 283.23 Max', ' 10634 Sum', ' 436755576 Ratio', '  99.82%)']","[' 539      (Average', ' 1450.45 Max', ' 3077 Sum', ' 781793 Ratio', '   0.18%)']", ,[' 124059  '],[' 16891   '],[' 124339  '],[' 83985   '],"[' 251951   (Atom=Atom', ' 69977 Body=Body', ' 40456 Other', ' 141518)']",[' Yes'],"[' 18171    (Eliminated', '    0 Frozen', ' 18171)']","[' 6430     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.19603'],[' 0'], ,[' 360.003'],[' 0'],[' 33.4012'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.42104e+09'],[' 1.29406e+09'],[' 0'],[' 9.56379e+09'],[' 0'],[' 0'],[' 1765 '],[' 3379 '],[' 2 '],[' 0 ']
Solving...,TA65, ,[' 1'],[' 3761+'],[' 1883'],"[' 1003.343s (Solving', ' 991.40s 1st Model', ' 465.65s Unsat', ' 0.00s)']",[' 1000.625s'], ,[' 250023970'],"[' 3827224  (Analyzed', ' 3664400)']","[' 9004     (Average', ' 406.97 Last', ' 148679)']",[' 6939.4  '],"[' 1883     (Average Length', ' 940.99 Splits', ' 0)']","[' 3664400  (Deleted', ' 3581285)']","[' 241      (Ratio', '   0.01%)']","[' 34165    (Ratio', '   0.93%)']","[' 3664400  (Average Length', '   48.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3664400  (Average', ' 65.23 Max', ' 11407 Sum', ' 239028201)']","[' 3663897  (Average', ' 64.98 Max', ' 10987 Sum', ' 238095765 Ratio', '  99.61%)']","[' 503      (Average', ' 1853.75 Max', ' 1881 Sum', ' 932436 Ratio', '   0.39%)']", ,[' 123119  '],[' 16852   '],[' 122220  '],[' 82790   '],"[' 248366   (Atom=Atom', ' 68715 Body=Body', ' 40523 Other', ' 139128)']",[' Yes'],"[' 16953    (Eliminated', '    0 Frozen', ' 16953)']","[' 5709     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.56899'],[' 0'], ,[' 608.323'],[' 0'],[' 22.9526'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.03789e+08'],[' 7.20859e+08'],[' 0'],[' 3.748e+10'],[' 0'],[' 0'],[' 1705 '],[' 17720 '],[' 2 '],[' 0 ']
Solving...,TA66, ,[' 1'],[' 5643+'],[' 2824'],"[' 1005.259s (Solving', ' 979.73s 1st Model', ' 492.43s Unsat', ' 0.00s)']",[' 1002.266s'], ,[' 263244556'],"[' 3601658  (Analyzed', ' 3438415)']","[' 9159     (Average', ' 375.41 Last', ' 91950)']",[' 8939.8  '],"[' 2824     (Average Length', ' 1403.39 Splits', ' 0)']","[' 3438415  (Deleted', ' 3348334)']","[' 268      (Ratio', '   0.01%)']","[' 35012    (Ratio', '   1.02%)']","[' 3438415  (Average Length', '   35.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3438415  (Average', ' 70.51 Max', ' 12521 Sum', ' 242443916)']","[' 3437832  (Average', ' 70.21 Max', ' 11902 Sum', ' 241404913 Ratio', '  99.57%)']","[' 583      (Average', ' 1782.17 Max', ' 2734 Sum', ' 1039003 Ratio', '   0.43%)']", ,[' 123963  '],[' 16944   '],[' 123849  '],[' 83870   '],"[' 251606   (Atom=Atom', ' 69772 Body=Body', ' 40546 Other', ' 141288)']",[' Yes'],"[' 17830    (Eliminated', '    0 Frozen', ' 17830)']","[' 6453     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.38694'],[' 0'], ,[' 577.343'],[' 0'],[' 22.5702'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.43465e+08'],[' 7.58467e+08'],[' 0'],[' 3.22043e+10'],[' 0'],[' 0'],[' 1724 '],[' 5341 '],[' 2 '],[' 0 ']
Solving...,TA67, ,[' 1'],[' 5203+'],[' 2604'],"[' 1005.114s (Solving', ' 984.30s 1st Model', ' 465.68s Unsat', ' 0.00s)']",[' 1002.281s'], ,[' 296260968'],"[' 4324426  (Analyzed', ' 4135937)']","[' 11376    (Average', ' 363.57 Last', ' 255360)']",[' 8523.6  '],"[' 2604     (Average Length', ' 1297.12 Splits', ' 0)']","[' 4135937  (Deleted', ' 4040906)']","[' 330      (Ratio', '   0.01%)']","[' 36797    (Ratio', '   0.89%)']","[' 4135937  (Average Length', '   36.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4135937  (Average', ' 67.13 Max', ' 11606 Sum', ' 277658891)']","[' 4135422  (Average', ' 66.91 Max', ' 11606 Sum', ' 276752930 Ratio', '  99.67%)']","[' 515      (Average', ' 1759.15 Max', ' 2552 Sum', ' 905961 Ratio', '   0.33%)']", ,[' 123430  '],[' 16837   '],[' 123152  '],[' 83222   '],"[' 249662   (Atom=Atom', ' 69216 Body=Body', ' 40454 Other', ' 139992)']",[' Yes'],"[' 17559    (Eliminated', '    0 Frozen', ' 17559)']","[' 6682     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.34241'],[' 0'], ,[' 595.932'],[' 0'],[' 22.7387'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00472e+09'],[' 9.01678e+08'],[' 0'],[' 3.85758e+10'],[' 0'],[' 0'],[' 1817 '],[' 7940 '],[' 2 '],[' 0 ']
Solving...,TA68, ,[' 1'],[' 6351+'],[' 3178'],"[' 1006.820s (Solving', ' 979.09s 1st Model', ' 940.42s Unsat', ' 0.00s)']",[' 1004.484s'], ,[' 364118639'],"[' 4242751  (Analyzed', ' 3965832)']","[' 11903    (Average', ' 333.18 Last', ' 2010576)']",[' 9918.6  '],"[' 3178     (Average Length', ' 1552.48 Splits', ' 0)']","[' 3965832  (Deleted', ' 3874421)']","[' 427      (Ratio', '   0.01%)']","[' 41894    (Ratio', '   1.06%)']","[' 3965832  (Average Length', '   36.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3965832  (Average', ' 85.03 Max', ' 11127 Sum', ' 337197258)']","[' 3965531  (Average', ' 84.91 Max', ' 11127 Sum', ' 336741800 Ratio', '  99.86%)']","[' 301      (Average', ' 1513.15 Max', ' 2991 Sum', ' 455458 Ratio', '   0.14%)']", ,[' 124656  '],[' 16884   '],[' 124948  '],[' 84273   '],"[' 252815   (Atom=Atom', ' 70130 Body=Body', ' 40591 Other', ' 142094)']",[' Yes'],"[' 18176    (Eliminated', '    0 Frozen', ' 18176)']","[' 4729     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.77637'],[' 0'], ,[' 555.538'],[' 0'],[' 25.2043'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.22157e+09'],[' 1.10571e+09'],[' 0'],[' 3.495e+10'],[' 0'],[' 0'],[' 1796 '],[' 3611 '],[' 2 '],[' 0 ']
Solving...,TA69, ,[' 1'],[' 7881+'],[' 3943'],"[' 1010.531s (Solving', ' 970.98s 1st Model', ' 591.98s Unsat', ' 0.00s)']",[' 1007.953s'], ,[' 559862015'],"[' 2658250  (Analyzed', ' 2088424)']","[' 7845     (Average', ' 266.21 Last', ' 204948)']",[' 10452.3 '],"[' 3943     (Average Length', ' 1930.28 Splits', ' 0)']","[' 2088424  (Deleted', ' 2003087)']","[' 916      (Ratio', '   0.04%)']","[' 67600    (Ratio', '   3.24%)']","[' 2088424  (Average Length', '   26.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2088424  (Average', ' 251.91 Max', ' 10753 Sum', ' 526097389)']","[' 2087928  (Average', ' 251.57 Max', ' 10583 Sum', ' 525375496 Ratio', '  99.86%)']","[' 496      (Average', ' 1455.43 Max', ' 3709 Sum', ' 721893 Ratio', '   0.14%)']", ,[' 125422  '],[' 16997   '],[' 126343  '],[' 85210   '],"[' 255626   (Atom=Atom', ' 71029 Body=Body', ' 40629 Other', ' 143968)']",[' Yes'],"[' 18918    (Eliminated', '    0 Frozen', ' 18918)']","[' 7116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.76018'],[' 0'], ,[' 360.397'],[' 0'],[' 33.3501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.87306e+09'],[' 1.71211e+09'],[' 0'],[' 1.30178e+10'],[' 0'],[' 0'],[' 1977 '],[' 3730 '],[' 2 '],[' 0 ']
Solving...,TA70, ,[' 1'],[' 3621+'],[' 1813'],"[' 1002.889s (Solving', ' 993.01s 1st Model', ' 398.09s Unsat', ' 0.00s)']",[' 1000.547s'], ,[' 299843516'],"[' 4877644  (Analyzed', ' 4764999)']","[' 11567    (Average', ' 411.95 Last', ' 1766546)']",[' 6949.7  '],"[' 1813     (Average Length', ' 905.98 Splits', ' 0)']","[' 4764999  (Deleted', ' 4653382)']","[' 432      (Ratio', '   0.01%)']","[' 41106    (Ratio', '   0.86%)']","[' 4764999  (Average Length', '   47.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4764999  (Average', ' 60.67 Max', ' 11483 Sum', ' 289108103)']","[' 4764461  (Average', ' 60.47 Max', ' 10898 Sum', ' 288151872 Ratio', '  99.67%)']","[' 538      (Average', ' 1777.38 Max', ' 1809 Sum', ' 956231 Ratio', '   0.33%)']", ,[' 123800  '],[' 16983   '],[' 122922  '],[' 83486   '],"[' 250454   (Atom=Atom', ' 69189 Body=Body', ' 40745 Other', ' 140520)']",[' Yes'],"[' 17105    (Eliminated', '    0 Frozen', ' 17105)']","[' 7844     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.99441'],[' 0'], ,[' 621.625'],[' 0'],[' 22.957'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.03853e+09'],[' 9.29719e+08'],[' 0'],[' 4.78594e+10'],[' 0'],[' 0'],[' 1975 '],[' 19142 '],[' 2 '],[' 0 ']
