Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solving...,TA71, ,[' 1'],[' 7897+'],[' 3953'],"[' 1024.226s (Solving', ' 929.52s 1st Model', ' 374.08s Unsat', ' 0.00s)']",[' 1019.672s'], ,[' 473860343'],"[' 2667762  (Analyzed', ' 2420492)']","[' 7246     (Average', ' 334.05 Last', ' 24157)']",[' 18221.5 '],"[' 3953     (Average Length', ' 1944.44 Splits', ' 0)']","[' 2420492  (Deleted', ' 2333649)']","[' 934      (Ratio', '   0.04%)']","[' 47098    (Ratio', '   1.95%)']","[' 2420492  (Average Length', '   48.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2420492  (Average', ' 169.61 Max', ' 23530 Sum', ' 410547344)']","[' 2419403  (Average', ' 168.94 Max', ' 23530 Sum', ' 408929932 Ratio', '  99.61%)']","[' 1089     (Average', ' 1485.23 Max', ' 3757 Sum', ' 1617412 Ratio', '   0.39%)']", ,[' 394869  '],[' 38294   '],[' 389988  '],[' 273597  '],"[' 820787   (Atom=Atom', ' 244025 Body=Body', ' 132470 Other', ' 444292)']",[' Yes'],"[' 35328    (Eliminated', '    0 Frozen', ' 35328)']","[' 6721     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.3908'],[' 0'], ,[' 514.97'],[' 0'],[' 32.4248'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30344e+09'],[' 1.21819e+09'],[' 0'],[' 2.69528e+10'],[' 0'],[' 0'],1977,9859,8598,10099,4,0
Solving...,TA72, ,[' 1'],[' 9345+'],[' 4677'],"[' 1025.907s (Solving', ' 922.22s 1st Model', ' 651.65s Unsat', ' 0.00s)']",[' 1023.141s'], ,[' 528123404'],"[' 1639810  (Analyzed', ' 1315561)']","[' 5894     (Average', ' 223.20 Last', ' 138882)']",[' 15190.5 '],"[' 4677     (Average Length', ' 2152.02 Splits', ' 0)']","[' 1315561  (Deleted', ' 1228241)']","[' 2049     (Ratio', '   0.16%)']","[' 55684    (Ratio', '   4.23%)']","[' 1315561  (Average Length', '   36.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1315561  (Average', ' 359.14 Max', ' 20720 Sum', ' 472470694)']","[' 1312853  (Average', ' 354.64 Max', ' 20720 Sum', ' 466555146 Ratio', '  98.75%)']","[' 2708     (Average', ' 2184.47 Max', ' 4070 Sum', ' 5915548 Ratio', '   1.25%)']", ,[' 396136  '],[' 37851   '],[' 392923  '],[' 274955  '],"[' 824861   (Atom=Atom', ' 244387 Body=Body', ' 133466 Other', ' 447008)']",[' Yes'],"[' 36638    (Eliminated', '    0 Frozen', ' 36638)']","[' 9670     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.4323'],[' 0'], ,[' 422.018'],[' 0'],[' 36.3889'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.48408e+09'],[' 1.3941e+09'],[' 0'],[' 1.56978e+10'],[' 0'],[' 0'],1631,3212,4857,6406,4,0
Solving...,TA73, ,[' 1'],[' 7535+'],[' 3772'],"[' 1021.834s (Solving', ' 938.53s 1st Model', ' 254.22s Unsat', ' 0.00s)']",[' 1019.516s'], ,[' 381008083'],"[' 3435250  (Analyzed', ' 3165347)']","[' 8616     (Average', ' 367.38 Last', ' 10933)']",[' 17473.4 '],"[' 3772     (Average Length', ' 1866.96 Splits', ' 0)']","[' 3165347  (Deleted', ' 3075380)']","[' 479      (Ratio', '   0.02%)']","[' 37383    (Ratio', '   1.18%)']","[' 3165347  (Average Length', '   46.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3165347  (Average', ' 102.23 Max', ' 23200 Sum', ' 323587803)']","[' 3164183  (Average', ' 101.56 Max', ' 23200 Sum', ' 321463074 Ratio', '  99.34%)']","[' 1164     (Average', ' 1825.37 Max', ' 3616 Sum', ' 2124729 Ratio', '   0.66%)']", ,[' 395186  '],[' 38123   '],[' 389892  '],[' 272993  '],"[' 818975   (Atom=Atom', ' 243832 Body=Body', ' 132059 Other', ' 443084)']",[' Yes'],"[' 34774    (Eliminated', '    0 Frozen', ' 34774)']","[' 5412     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.3419'],[' 0'], ,[' 598.954'],[' 0'],[' 26.8152'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.44676e+08'],[' 8.7166e+08'],[' 0'],[' 4.0399e+10'],[' 0'],[' 0'],2099,10061,9891,13048,4,0
Solving...,TA74, ,[' 1'],[' 9875+'],[' 4942'],"[' 1025.768s (Solving', ' 924.12s 1st Model', ' 523.59s Unsat', ' 0.00s)']",[' 1024.313s'], ,[' 499629276'],"[' 2159805  (Analyzed', ' 1870886)']","[' 6591     (Average', ' 283.85 Last', ' 104625)']",[' 17093.2 '],"[' 4942     (Average Length', ' 2322.69 Splits', ' 0)']","[' 1870886  (Deleted', ' 1787423)']","[' 1678     (Ratio', '   0.09%)']","[' 47870    (Ratio', '   2.56%)']","[' 1870886  (Average Length', '   40.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1870886  (Average', ' 229.31 Max', ' 22378 Sum', ' 429018126)']","[' 1869532  (Average', ' 227.75 Max', ' 22378 Sum', ' 426086835 Ratio', '  99.32%)']","[' 1354     (Average', ' 2164.91 Max', ' 4345 Sum', ' 2931291 Ratio', '   0.68%)']", ,[' 393299  '],[' 37780   '],[' 389271  '],[' 272950  '],"[' 818846   (Atom=Atom', ' 243602 Body=Body', ' 132246 Other', ' 442998)']",[' Yes'],"[' 35690    (Eliminated', '    0 Frozen', ' 35690)']","[' 8014     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.9581'],[' 0'], ,[' 486.319'],[' 0'],[' 32.0212'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.44873e+09'],[' 1.36363e+09'],[' 0'],[' 2.45168e+10'],[' 0'],[' 0'],1647,5446,5491,6903,4,0
Solving...,TA75, ,[' 1'],[' 9095+'],[' 4552'],"[' 1026.447s (Solving', ' 922.09s 1st Model', ' 361.49s Unsat', ' 0.00s)']",[' 1023.172s'], ,[' 481337848'],"[' 2582857  (Analyzed', ' 2277819)']","[' 7109     (Average', ' 320.41 Last', ' 34079)']",[' 17852.1 '],"[' 4552     (Average Length', ' 2230.16 Splits', ' 0)']","[' 2277819  (Deleted', ' 2196452)']","[' 840      (Ratio', '   0.04%)']","[' 46008    (Ratio', '   2.02%)']","[' 2277819  (Average Length', '   52.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2277819  (Average', ' 180.32 Max', ' 23162 Sum', ' 410742954)']","[' 2276932  (Average', ' 179.82 Max', ' 23162 Sum', ' 409594814 Ratio', '  99.72%)']","[' 887      (Average', ' 1294.41 Max', ' 4242 Sum', ' 1148140 Ratio', '   0.28%)']", ,[' 393675  '],[' 38192   '],[' 389027  '],[' 272223  '],"[' 816665   (Atom=Atom', ' 242948 Body=Body', ' 132173 Other', ' 441544)']",[' Yes'],"[' 35514    (Eliminated', '    0 Frozen', ' 35514)']","[' 6232     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 19.0041'],[' 0'], ,[' 489.212'],[' 0'],[' 32.3999'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31776e+09'],[' 1.23588e+09'],[' 0'],[' 2.40873e+10'],[' 0'],[' 0'],1824,11604,11392,13048,4,0
Solving...,TA76, ,[' 1'],[' 8393+'],[' 4201'],"[' 1026.747s (Solving', ' 927.82s 1st Model', ' 431.30s Unsat', ' 0.00s)']",[' 1021.641s'], ,[' 463852232'],"[' 2253048  (Analyzed', ' 1948934)']","[' 6590     (Average', ' 295.74 Last', ' 39970)']",[' 17633.9 '],"[' 4201     (Average Length', ' 2072.80 Splits', ' 0)']","[' 1948934  (Deleted', ' 1859918)']","[' 778      (Ratio', '   0.04%)']","[' 44528    (Ratio', '   2.28%)']","[' 1948934  (Average Length', '   55.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1948934  (Average', ' 204.94 Max', ' 23095 Sum', ' 399413731)']","[' 1947996  (Average', ' 204.15 Max', ' 23095 Sum', ' 397871793 Ratio', '  99.61%)']","[' 938      (Average', ' 1643.86 Max', ' 3921 Sum', ' 1541938 Ratio', '   0.39%)']", ,[' 391411  '],[' 37781   '],[' 386464  '],[' 270710  '],"[' 812126   (Atom=Atom', ' 241911 Body=Body', ' 131697 Other', ' 438518)']",[' Yes'],"[' 34749    (Eliminated', '    0 Frozen', ' 34749)']","[' 6199     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 17.97'],[' 0'], ,[' 488.379'],[' 0'],[' 32.4234'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30176e+09'],[' 1.22108e+09'],[' 0'],[' 2.41944e+10'],[' 0'],[' 0'],1762,10718,10407,12044,4,0
Solving...,TA77, ,[' 1'],[' 8393+'],[' 4201'],"[' 1023.226s (Solving', ' 934.91s 1st Model', ' 553.18s Unsat', ' 0.00s)']",[' 1019.047s'], ,[' 479957524'],"[' 2377847  (Analyzed', ' 2068321)']","[' 6698     (Average', ' 308.80 Last', ' 73092)']",[' 14596.7 '],"[' 4201     (Average Length', ' 1959.46 Splits', ' 0)']","[' 2068321  (Deleted', ' 1978823)']","[' 1661     (Ratio', '   0.08%)']","[' 52649    (Ratio', '   2.55%)']","[' 2068321  (Average Length', '   31.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2068321  (Average', ' 208.00 Max', ' 21447 Sum', ' 430215535)']","[' 2066393  (Average', ' 206.11 Max', ' 21447 Sum', ' 426301555 Ratio', '  99.09%)']","[' 1928     (Average', ' 2030.07 Max', ' 3744 Sum', ' 3913980 Ratio', '   0.91%)']", ,[' 396870  '],[' 37770   '],[' 393287  '],[' 276057  '],"[' 828167   (Atom=Atom', ' 245611 Body=Body', ' 133344 Other', ' 449212)']",[' Yes'],"[' 36187    (Eliminated', '    0 Frozen', ' 36187)']","[' 8275     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.6176'],[' 0'], ,[' 488.178'],[' 0'],[' 32.9408'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2332e+09'],[' 1.14159e+09'],[' 0'],[' 2.48991e+10'],[' 0'],[' 0'],1711,3188,4678,8361,4,0
Solving...,TA78, ,[' 1'],[' 8399+'],[' 4204'],"[' 1022.479s (Solving', ' 935.56s 1st Model', ' 289.81s Unsat', ' 0.00s)']",[' 1019.656s'], ,[' 491151188'],"[' 2280915  (Analyzed', ' 2010042)']","[' 6356     (Average', ' 316.24 Last', ' 15300)']",[' 15344.8 '],"[' 4204     (Average Length', ' 2002.08 Splits', ' 0)']","[' 2010042  (Deleted', ' 1923458)']","[' 1492     (Ratio', '   0.07%)']","[' 58635    (Ratio', '   2.92%)']","[' 2010042  (Average Length', '   37.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2010042  (Average', ' 217.50 Max', ' 21726 Sum', ' 437188326)']","[' 2008577  (Average', ' 216.17 Max', ' 21726 Sum', ' 434503912 Ratio', '  99.39%)']","[' 1465     (Average', ' 1832.36 Max', ' 2514 Sum', ' 2684414 Ratio', '   0.61%)']", ,[' 393927  '],[' 37911   '],[' 389441  '],[' 273579  '],"[' 820733   (Atom=Atom', ' 244126 Body=Body', ' 132351 Other', ' 444256)']",[' Yes'],"[' 35389    (Eliminated', '    0 Frozen', ' 35389)']","[' 8937     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.5405'],[' 0'], ,[' 501.101'],[' 0'],[' 31.6958'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.35483e+09'],[' 1.25763e+09'],[' 0'],[' 2.83375e+10'],[' 0'],[' 0'],1801,3339,9796,10321,4,0
Solving...,TA79, ,[' 1'],[' 9083+'],[' 4546'],"[' 1025.022s (Solving', ' 923.57s 1st Model', ' 405.91s Unsat', ' 0.00s)']",[' 1022.484s'], ,[' 449830952'],"[' 2355184  (Analyzed', ' 2047156)']","[' 7352     (Average', ' 278.45 Last', ' 19594)']",[' 18032.6 '],"[' 4546     (Average Length', ' 2243.38 Splits', ' 0)']","[' 2047156  (Deleted', ' 1963727)']","[' 794      (Ratio', '   0.04%)']","[' 42045    (Ratio', '   2.05%)']","[' 2047156  (Average Length', '   53.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2047156  (Average', ' 185.29 Max', ' 23648 Sum', ' 379318589)']","[' 2046147  (Average', ' 184.36 Max', ' 23648 Sum', ' 377422677 Ratio', '  99.50%)']","[' 1009     (Average', ' 1879.00 Max', ' 4313 Sum', ' 1895912 Ratio', '   0.50%)']", ,[' 394118  '],[' 37925   '],[' 390189  '],[' 274029  '],"[' 822083   (Atom=Atom', ' 244470 Body=Body', ' 132457 Other', ' 445156)']",[' Yes'],"[' 35880    (Eliminated', '    0 Frozen', ' 35880)']","[' 6351     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 18.6844'],[' 0'], ,[' 495.407'],[' 0'],[' 31.0064'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.26286e+09'],[' 1.18863e+09'],[' 0'],[' 2.59743e+10'],[' 0'],[' 0'],1730,10436,9281,10797,4,0
