Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA31, ,[' 1'],[' 2379+'],[' 1192'],"[' 270.918s (Solving', ' 267.36s 1st Model', ' 23.79s Unsat', ' 0.00s)']",[' 268.516s'], ,[' 95742779'],"[' 4265576  (Analyzed', ' 4171375)']","[' 8636     (Average', ' 483.02 Last', ' 71562)']",[' 2520.7  '],"[' 1192     (Average Length', ' 588.22 Splits', ' 0)']","[' 4171375  (Deleted', ' 4116898)']","[' 442      (Ratio', '   0.01%)']","[' 15459    (Ratio', '   0.37%)']","[' 4171375  (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4171375  (Average', ' 22.34 Max', ' 2852 Sum', ' 93202218)']","[' 4171201  (Average', ' 22.32 Max', ' 2794 Sum', ' 93093926 Ratio', '  99.88%)']","[' 174      (Average', ' 622.37 Max', ' 1138 Sum', ' 108292 Ratio', '   0.12%)']", ,[' 34425   '],[' 4137    '],[' 34851   '],[' 22081   '],"[' 66239    (Atom=Atom', ' 18653 Body=Body', ' 10821 Other', ' 36765)']",[' Yes'],"[' 5013     (Eliminated', '    0 Frozen', ' 5013)']","[' 1748     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.840783'],[' 0'], ,[' 150.581'],[' 0'],[' 6.88259'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.25565e+08'],[' 2.68691e+08'],[' 0'],[' 8.86286e+09'],[' 0'],[' 0'],[' 1054 '],[' 2128 ']
Solving...,TA32, ,[' 1'],[' 2475+'],[' 1240'],"[' 270.978s (Solving', ' 266.89s 1st Model', ' 23.91s Unsat', ' 0.00s)']",[' 269.578s'], ,[' 89113270'],"[' 5709935  (Analyzed', ' 5592752)']","[' 11943    (Average', ' 468.29 Last', ' 53786)']",[' 2705.0  '],"[' 1240     (Average Length', ' 607.54 Splits', ' 0)']","[' 5592752  (Deleted', ' 5522116)']","[' 446      (Ratio', '   0.01%)']","[' 16779    (Ratio', '   0.30%)']","[' 5592752  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5592752  (Average', ' 15.41 Max', ' 3137 Sum', ' 86192635)']","[' 5592559  (Average', ' 15.39 Max', ' 2796 Sum', ' 86069311 Ratio', '  99.86%)']","[' 193      (Average', ' 638.98 Max', ' 1172 Sum', ' 123324 Ratio', '   0.14%)']", ,[' 35310   '],[' 4297    '],[' 35855   '],[' 23044   '],"[' 69128    (Atom=Atom', ' 19371 Body=Body', ' 11066 Other', ' 38691)']",[' Yes'],"[' 5292     (Eliminated', '    0 Frozen', ' 5292)']","[' 1763     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.900065'],[' 0'], ,[' 152.33'],[' 0'],[' 6.90781'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.76945e+08'],[' 2.22193e+08'],[' 0'],[' 8.73705e+09'],[' 0'],[' 0'],[' 1273 '],[' 2306 ']
Solving...,TA33, ,[' 1'],[' 2081+'],[' 1043'],"[' 273.914s (Solving', ' 270.84s 1st Model', ' 71.20s Unsat', ' 0.00s)']",[' 265.984s'], ,[' 85999153'],"[' 5445774  (Analyzed', ' 5352343)']","[' 10750    (Average', ' 497.89 Last', ' 281550)']",[' 2575.9  '],"[' 1043     (Average Length', ' 512.78 Splits', ' 0)']","[' 5352343  (Deleted', ' 5295195)']","[' 370      (Ratio', '   0.01%)']","[' 15419    (Ratio', '   0.29%)']","[' 5352343  (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5352343  (Average', ' 15.61 Max', ' 2906 Sum', ' 83552273)']","[' 5352137  (Average', ' 15.59 Max', ' 2501 Sum', ' 83449685 Ratio', '  99.88%)']","[' 206      (Average', ' 498.00 Max', ' 1000 Sum', ' 102588 Ratio', '   0.12%)']", ,[' 34466   '],[' 4180    '],[' 34802   '],[' 22267   '],"[' 66797    (Atom=Atom', ' 18748 Body=Body', ' 10912 Other', ' 37137)']",[' Yes'],"[' 4966     (Eliminated', '    0 Frozen', ' 4966)']","[' 1567     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.731737'],[' 0'], ,[' 152.087'],[' 0'],[' 6.79768'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.70728e+08'],[' 2.15603e+08'],[' 0'],[' 8.90481e+09'],[' 0'],[' 0'],[' 1211 '],[' 2216 ']
Solving...,TA34, ,[' 1'],[' 2325+'],[' 1165'],"[' 275.720s (Solving', ' 271.60s 1st Model', ' 22.24s Unsat', ' 0.00s)']",[' 268.547s'], ,[' 84107758'],"[' 4711792  (Analyzed', ' 4613019)']","[' 9985     (Average', ' 461.99 Last', ' 115134)']",[' 2616.8  '],"[' 1165     (Average Length', ' 572.79 Splits', ' 0)']","[' 4613019  (Deleted', ' 4554378)']","[' 428      (Ratio', '   0.01%)']","[' 14796    (Ratio', '   0.32%)']","[' 4613019  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4613019  (Average', ' 17.66 Max', ' 3046 Sum', ' 81486595)']","[' 4612805  (Average', ' 17.64 Max', ' 2591 Sum', ' 81364768 Ratio', '  99.85%)']","[' 214      (Average', ' 569.29 Max', ' 1119 Sum', ' 121827 Ratio', '   0.15%)']", ,[' 34855   '],[' 4183    '],[' 35289   '],[' 22303   '],"[' 66905    (Atom=Atom', ' 18802 Body=Body', ' 10894 Other', ' 37209)']",[' Yes'],"[' 5067     (Eliminated', '    0 Frozen', ' 5067)']","[' 1655     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.862392'],[' 0'], ,[' 156.438'],[' 0'],[' 6.65283'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.71622e+08'],[' 2.19899e+08'],[' 0'],[' 9.25498e+09'],[' 0'],[' 0'],[' 1179 '],[' 2233 ']
Solving...,TA35, ,[' 1'],[' 1907+'],[' 956'],"[' 270.613s (Solving', ' 267.88s 1st Model', ' 62.39s Unsat', ' 0.00s)']",[' 269.922s'], ,[' 91003283'],"[' 5654290  (Analyzed', ' 5523131)']","[' 12031    (Average', ' 459.07 Last', ' 185220)']",[' 2510.5  '],"[' 956      (Average Length', ' 471.89 Splits', ' 0)']","[' 5523131  (Deleted', ' 5455959)']","[' 413      (Ratio', '   0.01%)']","[' 16537    (Ratio', '   0.30%)']","[' 5523131  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5523131  (Average', ' 16.06 Max', ' 2730 Sum', ' 88689067)']","[' 5522935  (Average', ' 16.04 Max', ' 2570 Sum', ' 88597512 Ratio', '  99.90%)']","[' 196      (Average', ' 467.12 Max', ' 918 Sum', '  91555 Ratio', '   0.10%)']", ,[' 34592   '],[' 4204    '],[' 34830   '],[' 22183   '],"[' 66545    (Atom=Atom', ' 18663 Body=Body', ' 10913 Other', ' 36969)']",[' Yes'],"[' 4892     (Eliminated', '    0 Frozen', ' 4892)']","[' 1562     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.627358'],[' 0'], ,[' 155.577'],[' 0'],[' 6.75737'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.93371e+08'],[' 2.36869e+08'],[' 0'],[' 9.61151e+09'],[' 0'],[' 0'],[' 1185 '],[' 2241 ']
Solving...,TA36, ,[' 1'],[' 2491+'],[' 1248'],"[' 270.697s (Solving', ' 266.89s 1st Model', ' 133.35s Unsat', ' 0.00s)']",[' 270.188s'], ,[' 95960843'],"[' 4597203  (Analyzed', ' 4434720)']","[' 10194    (Average', ' 435.03 Last', ' 691615)']",[' 2611.8  '],"[' 1248     (Average Length', ' 615.40 Splits', ' 0)']","[' 4434720  (Deleted', ' 4380720)']","[' 437      (Ratio', '   0.01%)']","[' 15681    (Ratio', '   0.35%)']","[' 4434720  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4434720  (Average', ' 21.00 Max', ' 3009 Sum', ' 93126660)']","[' 4434535  (Average', ' 20.97 Max', ' 2669 Sum', ' 93012983 Ratio', '  99.88%)']","[' 185      (Average', ' 614.47 Max', ' 1160 Sum', ' 113677 Ratio', '   0.12%)']", ,[' 34738   '],[' 4190    '],[' 35269   '],[' 22469   '],"[' 67403    (Atom=Atom', ' 18945 Body=Body', ' 10917 Other', ' 37541)']",[' Yes'],"[' 5171     (Eliminated', '    0 Frozen', ' 5171)']","[' 1841     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.894629'],[' 0'], ,[' 149.447'],[' 0'],[' 6.87016'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.3487e+08'],[' 2.74542e+08'],[' 0'],[' 8.91126e+09'],[' 0'],[' 0'],[' 1125 '],[' 2110 ']
Solving...,TA37, ,[' 1'],[' 2069+'],[' 1037'],"[' 270.608s (Solving', ' 267.87s 1st Model', ' 13.02s Unsat', ' 0.00s)']",[' 270.094s'], ,[' 98924851'],"[' 5159072  (Analyzed', ' 5082536)']","[' 10443    (Average', ' 486.69 Last', ' 54409)']",[' 2458.1  '],"[' 1037     (Average Length', ' 510.58 Splits', ' 0)']","[' 5082536  (Deleted', ' 5014722)']","[' 450      (Ratio', '   0.01%)']","[' 14061    (Ratio', '   0.28%)']","[' 5082536  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5082536  (Average', ' 19.02 Max', ' 2944 Sum', ' 96663166)']","[' 5082343  (Average', ' 19.00 Max', ' 2765 Sum', ' 96550358 Ratio', '  99.88%)']","[' 193      (Average', ' 584.50 Max', ' 990 Sum', ' 112808 Ratio', '   0.12%)']", ,[' 34158   '],[' 4131    '],[' 34461   '],[' 21944   '],"[' 65828    (Atom=Atom', ' 18506 Body=Body', ' 10831 Other', ' 36491)']",[' Yes'],"[' 4884     (Eliminated', '    0 Frozen', ' 4884)']","[' 1566     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.651442'],[' 0'], ,[' 159.353'],[' 0'],[' 7.07264'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.11415e+08'],[' 2.53281e+08'],[' 0'],[' 1.03071e+10'],[' 0'],[' 0'],[' 1095 '],[' 2230 ']
Solving...,TA38, ,[' 1'],[' 2323+'],[' 1164'],"[' 270.614s (Solving', ' 267.67s 1st Model', ' 12.38s Unsat', ' 0.00s)']",[' 270.359s'], ,[' 109962110'],"[' 4468943  (Analyzed', ' 4292972)']","[' 8534     (Average', ' 503.04 Last', ' 32167)']",[' 2502.9  '],"[' 1164     (Average Length', ' 571.31 Splits', ' 0)']","[' 4292972  (Deleted', ' 4241306)']","[' 489      (Ratio', '   0.01%)']","[' 16638    (Ratio', '   0.39%)']","[' 4292972  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4292972  (Average', ' 25.02 Max', ' 2891 Sum', ' 107406589)']","[' 4292752  (Average', ' 24.99 Max', ' 2891 Sum', ' 107265640 Ratio', '  99.87%)']","[' 220      (Average', ' 640.68 Max', ' 1013 Sum', ' 140949 Ratio', '   0.13%)']", ,[' 34549   '],[' 4141    '],[' 34968   '],[' 22117   '],"[' 66347    (Atom=Atom', ' 18663 Body=Body', ' 10847 Other', ' 36837)']",[' Yes'],"[' 5010     (Eliminated', '    0 Frozen', ' 5010)']","[' 1810     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.704902'],[' 0'], ,[' 142.823'],[' 0'],[' 7.3239'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.94016e+08'],[' 3.30829e+08'],[' 0'],[' 8.71568e+09'],[' 0'],[' 0'],[' 1058 '],[' 2046 ']
Solving...,TA39, ,[' 1'],[' 1977+'],[' 991'],"[' 270.660s (Solving', ' 267.83s 1st Model', ' 115.32s Unsat', ' 0.00s)']",[' 270.234s'], ,[' 85057633'],"[' 6010020  (Analyzed', ' 5934792)']","[' 12251    (Average', ' 484.43 Last', ' 489821)']",[' 2533.7  '],"[' 991      (Average Length', ' 486.28 Splits', ' 0)']","[' 5934792  (Deleted', ' 5870632)']","[' 455      (Ratio', '   0.01%)']","[' 15352    (Ratio', '   0.26%)']","[' 5934792  (Average Length', '   18.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5934792  (Average', ' 13.93 Max', ' 2661 Sum', ' 82683324)']","[' 5934585  (Average', ' 13.92 Max', ' 2661 Sum', ' 82586249 Ratio', '  99.88%)']","[' 207      (Average', ' 468.96 Max', ' 893 Sum', '  97075 Ratio', '   0.12%)']", ,[' 34932   '],[' 4242    '],[' 35184   '],[' 22319   '],"[' 66953    (Atom=Atom', ' 18774 Body=Body', ' 10938 Other', ' 37241)']",[' Yes'],"[' 4944     (Eliminated', '    0 Frozen', ' 4944)']","[' 1899     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.674098'],[' 0'], ,[' 164.183'],[' 0'],[' 6.3761'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.64856e+08'],[' 2.10852e+08'],[' 0'],[' 1.11997e+10'],[' 0'],[' 0'],[' 1424 '],[' 2184 ']
Solving...,TA40, ,[' 1'],[' 2179+'],[' 1092'],"[' 270.660s (Solving', ' 267.45s 1st Model', ' 77.07s Unsat', ' 0.00s)']",[' 269.953s'], ,[' 95446067'],"[' 4404130  (Analyzed', ' 4276682)']","[' 8901     (Average', ' 480.47 Last', ' 297579)']",[' 2531.2  '],"[' 1092     (Average Length', ' 538.47 Splits', ' 0)']","[' 4276682  (Deleted', ' 4230616)']","[' 441      (Ratio', '   0.01%)']","[' 15298    (Ratio', '   0.36%)']","[' 4276682  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4276682  (Average', ' 21.74 Max', ' 2967 Sum', ' 92978935)']","[' 4276460  (Average', ' 21.71 Max', ' 2560 Sum', ' 92857882 Ratio', '  99.87%)']","[' 222      (Average', ' 545.28 Max', ' 1131 Sum', ' 121053 Ratio', '   0.13%)']", ,[' 34518   '],[' 4168    '],[' 34890   '],[' 22235   '],"[' 66701    (Atom=Atom', ' 18739 Body=Body', ' 10889 Other', ' 37073)']",[' Yes'],"[' 4990     (Eliminated', '    0 Frozen', ' 4990)']","[' 1699     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.697487'],[' 0'], ,[' 150.312'],[' 0'],[' 6.78533'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.55824e+08'],[' 2.93972e+08'],[' 0'],[' 9.34962e+09'],[' 0'],[' 0'],[' 1034 '],[' 1970 ']
