Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA31, ,[' 1'],[' 2279+'],[' 1142'],"[' 146.678s (Solving', ' 143.85s 1st Model', ' 18.67s Unsat', ' 0.00s)']",[' 146.422s'], ,[' 63049335'],"[' 2424706  (Analyzed', ' 2341311)']","[' 5567     (Average', ' 420.57 Last', ' 29451)']",[' 2491.3  '],"[' 1142     (Average Length', ' 562.18 Splits', ' 0)']","[' 2341311  (Deleted', ' 2303657)']","[' 355      (Ratio', '   0.02%)']","[' 13882    (Ratio', '   0.59%)']","[' 2341311  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2341311  (Average', ' 25.94 Max', ' 2853 Sum', ' 60727921)']","[' 2341114  (Average', ' 25.89 Max', ' 2811 Sum', ' 60606110 Ratio', '  99.80%)']","[' 197      (Average', ' 618.33 Max', ' 1086 Sum', ' 121811 Ratio', '   0.20%)']", ,[' 34375   '],[' 4137    '],[' 34749   '],[' 22031   '],"[' 66089    (Atom=Atom', ' 18603 Body=Body', ' 10821 Other', ' 36665)']",[' Yes'],"[' 4961     (Eliminated', '    0 Frozen', ' 4961)']","[' 1574     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.664809'],[' 0'], ,[' 80.5777'],[' 0'],[' 4.03221'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94807e+08'],[' 1.60475e+08'],[' 0'],[' 5.1552e+09'],[' 0'],[' 0'],[' 1054 '],[' 2128 ']
Solving...,TA32, ,[' 1'],[' 2281+'],[' 1143'],"[' 137.162s (Solving', ' 134.14s 1st Model', ' 9.74s Unsat', ' 0.00s)']",[' 136.922s'], ,[' 55983471'],"[' 3209455  (Analyzed', ' 3136906)']","[' 6533     (Average', ' 480.16 Last', ' 131019)']",[' 2676.2  '],"[' 1143     (Average Length', ' 560.68 Splits', ' 0)']","[' 3136906  (Deleted', ' 3086751)']","[' 348      (Ratio', '   0.01%)']","[' 14531    (Ratio', '   0.46%)']","[' 3136906  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3136906  (Average', ' 17.04 Max', ' 3236 Sum', ' 53457174)']","[' 3136693  (Average', ' 17.00 Max', ' 2894 Sum', ' 53320841 Ratio', '  99.74%)']","[' 213      (Average', ' 640.06 Max', ' 1458 Sum', ' 136333 Ratio', '   0.26%)']", ,[' 35213   '],[' 4297    '],[' 35669   '],[' 22947   '],"[' 68837    (Atom=Atom', ' 19274 Body=Body', ' 11066 Other', ' 38497)']",[' Yes'],"[' 5203     (Eliminated', '    0 Frozen', ' 5203)']","[' 1403     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.678196'],[' 0'], ,[' 77.265'],[' 0'],[' 3.71976'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.55316e+08'],[' 1.24381e+08'],[' 0'],[' 5.01414e+09'],[' 0'],[' 0'],[' 1273 '],[' 2306 ']
Solving...,TA33, ,[' 1'],[' 2163+'],[' 1084'],"[' 200.612s (Solving', ' 197.42s 1st Model', ' 72.22s Unsat', ' 0.00s)']",[' 199.938s'], ,[' 70448533'],"[' 3626596  (Analyzed', ' 3521942)']","[' 8043     (Average', ' 437.89 Last', ' 452014)']",[' 2651.2  '],"[' 1084     (Average Length', ' 533.84 Splits', ' 0)']","[' 3521942  (Deleted', ' 3479774)']","[' 326      (Ratio', '   0.01%)']","[' 14436    (Ratio', '   0.41%)']","[' 3521942  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3521942  (Average', ' 19.29 Max', ' 2726 Sum', ' 67934023)']","[' 3521726  (Average', ' 19.26 Max', ' 2627 Sum', ' 67826361 Ratio', '  99.84%)']","[' 216      (Average', ' 498.44 Max', ' 1044 Sum', ' 107662 Ratio', '   0.16%)']", ,[' 34507   '],[' 4180    '],[' 34887   '],[' 22308   '],"[' 66920    (Atom=Atom', ' 18789 Body=Body', ' 10912 Other', ' 37219)']",[' Yes'],"[' 5010     (Eliminated', '    0 Frozen', ' 5010)']","[' 1308     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.696708'],[' 0'], ,[' 119.387'],[' 0'],[' 5.07766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13561e+08'],[' 1.71488e+08'],[' 0'],[' 7.78291e+09'],[' 0'],[' 0'],[' 1211 '],[' 2216 ']
Solving...,TA34, ,[' 1'],[' 2247+'],[' 1126'],"[' 138.555s (Solving', ' 135.38s 1st Model', ' 10.22s Unsat', ' 0.00s)']",[' 137.906s'], ,[' 50887300'],"[' 2363128  (Analyzed', ' 2293825)']","[' 5519     (Average', ' 415.62 Last', ' 16469)']",[' 2600.8  '],"[' 1126     (Average Length', ' 553.40 Splits', ' 0)']","[' 2293825  (Deleted', ' 2254055)']","[' 324      (Ratio', '   0.01%)']","[' 12844    (Ratio', '   0.56%)']","[' 2293825  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2293825  (Average', ' 21.14 Max', ' 2748 Sum', ' 48496451)']","[' 2293604  (Average', ' 21.09 Max', ' 2470 Sum', ' 48371999 Ratio', '  99.74%)']","[' 221      (Average', ' 563.13 Max', ' 1077 Sum', ' 124452 Ratio', '   0.26%)']", ,[' 34816   '],[' 4183    '],[' 35208   '],[' 22264   '],"[' 66788    (Atom=Atom', ' 18763 Body=Body', ' 10894 Other', ' 37131)']",[' Yes'],"[' 5025     (Eliminated', '    0 Frozen', ' 5025)']","[' 1503     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.709693'],[' 0'], ,[' 80.0468'],[' 0'],[' 3.56589'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46692e+08'],[' 1.18923e+08'],[' 0'],[' 5.00131e+09'],[' 0'],[' 0'],[' 1179 '],[' 2233 ']
Solving...,TA35, ,[' 1'],[' 1955+'],[' 980'],"[' 228.275s (Solving', ' 225.48s 1st Model', ' 100.66s Unsat', ' 0.00s)']",[' 227.453s'], ,[' 73681151'],"[' 3561955  (Analyzed', ' 3459301)']","[' 8322     (Average', ' 415.68 Last', ' 354427)']",[' 2575.5  '],"[' 980      (Average Length', ' 482.05 Splits', ' 0)']","[' 3459301  (Deleted', ' 3413410)']","[' 355      (Ratio', '   0.01%)']","[' 15107    (Ratio', '   0.44%)']","[' 3459301  (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3459301  (Average', ' 20.64 Max', ' 2809 Sum', ' 71399525)']","[' 3459100  (Average', ' 20.61 Max', ' 2552 Sum', ' 71304312 Ratio', '  99.87%)']","[' 201      (Average', ' 473.70 Max', ' 1097 Sum', '  95213 Ratio', '   0.13%)']", ,[' 34616   '],[' 4204    '],[' 34873   '],[' 22207   '],"[' 66617    (Atom=Atom', ' 18687 Body=Body', ' 10913 Other', ' 37017)']",[' Yes'],"[' 4911     (Eliminated', '    0 Frozen', ' 4911)']","[' 1467     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.671689'],[' 0'], ,[' 136.456'],[' 0'],[' 5.67934'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.36857e+08'],[' 1.933e+08'],[' 0'],[' 8.52885e+09'],[' 0'],[' 0'],[' 1185 '],[' 2230 ']
Solving...,TA36, ,[' 1'],[' 2473+'],[' 1239'],"[' 252.966s (Solving', ' 249.10s 1st Model', ' 121.86s Unsat', ' 0.00s)']",[' 252.109s'], ,[' 77974881'],"[' 3572565  (Analyzed', ' 3362669)']","[' 8562     (Average', ' 392.74 Last', ' 468610)']",[' 2650.4  '],"[' 1239     (Average Length', ' 608.35 Splits', ' 0)']","[' 3362669  (Deleted', ' 3317112)']","[' 436      (Ratio', '   0.01%)']","[' 14883    (Ratio', '   0.44%)']","[' 3362669  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3362669  (Average', ' 22.33 Max', ' 3061 Sum', ' 75090116)']","[' 3362471  (Average', ' 22.29 Max', ' 2861 Sum', ' 74968392 Ratio', '  99.84%)']","[' 198      (Average', ' 614.77 Max', ' 1178 Sum', ' 121724 Ratio', '   0.16%)']", ,[' 34729   '],[' 4190    '],[' 35248   '],[' 22460   '],"[' 67376    (Atom=Atom', ' 18936 Body=Body', ' 10917 Other', ' 37523)']",[' Yes'],"[' 5159     (Eliminated', '    0 Frozen', ' 5159)']","[' 1734     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.918967'],[' 0'], ,[' 151.979'],[' 0'],[' 6.12351'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.61233e+08'],[' 2.14069e+08'],[' 0'],[' 9.46644e+09'],[' 0'],[' 0'],[' 1125 '],[' 2108 ']
Solving...,TA37, ,[' 1'],[' 2111+'],[' 1058'],"[' 138.585s (Solving', ' 135.17s 1st Model', ' 10.12s Unsat', ' 0.00s)']",[' 138.109s'], ,[' 48991228'],"[' 2126792  (Analyzed', ' 2059195)']","[' 4645     (Average', ' 443.31 Last', ' 19099)']",[' 2534.0  '],"[' 1058     (Average Length', ' 520.58 Splits', ' 0)']","[' 2059195  (Deleted', ' 2021985)']","[' 306      (Ratio', '   0.01%)']","[' 11785    (Ratio', '   0.57%)']","[' 2059195  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2059195  (Average', ' 22.72 Max', ' 3093 Sum', ' 46794372)']","[' 2058994  (Average', ' 22.67 Max', ' 2867 Sum', ' 46676524 Ratio', '  99.75%)']","[' 201      (Average', ' 586.31 Max', ' 1011 Sum', ' 117848 Ratio', '   0.25%)']", ,[' 34179   '],[' 4131    '],[' 34502   '],[' 21965   '],"[' 65891    (Atom=Atom', ' 18527 Body=Body', ' 10831 Other', ' 36533)']",[' Yes'],"[' 4904     (Eliminated', '    0 Frozen', ' 4904)']","[' 1341     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.757734'],[' 0'], ,[' 78.1072'],[' 0'],[' 3.81667'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.32843e+08'],[' 1.07736e+08'],[' 0'],[' 4.42719e+09'],[' 0'],[' 0'],[' 1095 '],[' 2230 ']
Solving...,TA38, ,[' 1'],[' 2531+'],[' 1268'],"[' 160.179s (Solving', ' 155.74s 1st Model', ' 26.37s Unsat', ' 0.00s)']",[' 159.672s'], ,[' 66327715'],"[' 2328508  (Analyzed', ' 2026420)']","[' 5112     (Average', ' 396.40 Last', ' 35401)']",[' 2615.3  '],"[' 1268     (Average Length', ' 621.65 Splits', ' 0)']","[' 2026420  (Deleted', ' 1991792)']","[' 384      (Ratio', '   0.02%)']","[' 14217    (Ratio', '   0.70%)']","[' 2026420  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2026420  (Average', ' 31.32 Max', ' 3105 Sum', ' 63472362)']","[' 2026213  (Average', ' 31.26 Max', ' 2824 Sum', ' 63340540 Ratio', '  99.79%)']","[' 207      (Average', ' 636.82 Max', ' 1122 Sum', ' 131822 Ratio', '   0.21%)']", ,[' 34653   '],[' 4141    '],[' 35169   '],[' 22221   '],"[' 66659    (Atom=Atom', ' 18767 Body=Body', ' 10847 Other', ' 37045)']",[' Yes'],"[' 5107     (Eliminated', '    0 Frozen', ' 5107)']","[' 1516     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.02391'],[' 0'], ,[' 82.3132'],[' 0'],[' 4.50614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.09909e+08'],[' 1.75964e+08'],[' 0'],[' 4.67171e+09'],[' 0'],[' 0'],[' 1058 '],[' 2046 ']
Solving...,TA39, ,[' 1'],[' 2133+'],[' 1069'],"[' 189.995s (Solving', ' 187.07s 1st Model', ' 61.83s Unsat', ' 0.00s)']",[' 189.656s'], ,[' 60751831'],"[' 3474258  (Analyzed', ' 3416385)']","[' 7886     (Average', ' 433.22 Last', ' 266660)']",[' 2624.9  '],"[' 1069     (Average Length', ' 520.28 Splits', ' 0)']","[' 3416385  (Deleted', ' 3365583)']","[' 389      (Ratio', '   0.01%)']","[' 13829    (Ratio', '   0.40%)']","[' 3416385  (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3416385  (Average', ' 17.07 Max', ' 3221 Sum', ' 58314525)']","[' 3416178  (Average', ' 17.04 Max', ' 2595 Sum', ' 58213564 Ratio', '  99.83%)']","[' 207      (Average', ' 487.73 Max', ' 3203 Sum', ' 100961 Ratio', '   0.17%)']", ,[' 35010   '],[' 4242    '],[' 35324   '],[' 22397   '],"[' 67187    (Atom=Atom', ' 18852 Body=Body', ' 10938 Other', ' 37397)']",[' Yes'],"[' 5006     (Eliminated', '    0 Frozen', ' 5006)']","[' 1710     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.735389'],[' 0'], ,[' 118.372'],[' 0'],[' 4.52615'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80347e+08'],[' 1.4465e+08'],[' 0'],[' 8.15523e+09'],[' 0'],[' 0'],[' 1424 '],[' 2176 ']
Solving...,TA40, ,[' 1'],[' 2227+'],[' 1116'],"[' 267.397s (Solving', ' 264.24s 1st Model', ' 139.02s Unsat', ' 0.00s)']",[' 266.781s'], ,[' 88984136'],"[' 3632472  (Analyzed', ' 3513912)']","[' 8536     (Average', ' 411.66 Last', ' 585256)']",[' 2570.4  '],"[' 1116     (Average Length', ' 547.41 Splits', ' 0)']","[' 3513912  (Deleted', ' 3475048)']","[' 450      (Ratio', '   0.01%)']","[' 14976    (Ratio', '   0.43%)']","[' 3513912  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3513912  (Average', ' 24.60 Max', ' 3018 Sum', ' 86457763)']","[' 3513700  (Average', ' 24.57 Max', ' 3018 Sum', ' 86342526 Ratio', '  99.87%)']","[' 212      (Average', ' 543.57 Max', ' 1063 Sum', ' 115237 Ratio', '   0.13%)']", ,[' 34542   '],[' 4168    '],[' 34930   '],[' 22259   '],"[' 66773    (Atom=Atom', ' 18763 Body=Body', ' 10889 Other', ' 37121)']",[' Yes'],"[' 5006     (Eliminated', '    0 Frozen', ' 5006)']","[' 1637     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.712659'],[' 0'], ,[' 158.343'],[' 0'],[' 6.57501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.17232e+08'],[' 2.6243e+08'],[' 0'],[' 1.01361e+10'],[' 0'],[' 0'],[' 1034 '],[' 1970 ']
