Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA41, , ,[' 1'],[' 3005+'],[' 1505'],"[' 407.497s (Solving', ' 401.35s 1st Model', ' 269.10s Unsat', ' 0.00s)']",[' 406.438s'], ,[' 169274448'],"[' 4210417  (Analyzed', ' 3907155)']","[' 10525    (Average', ' 371.23 Last', ' 447838)']",[' 3606.8  '],"[' 1505     (Average Length', ' 741.24 Splits', ' 0)']","[' 3907155  (Deleted', ' 3867530)']","[' 410      (Ratio', '   0.01%)']","[' 18173    (Ratio', '   0.47%)']","[' 3907155  (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3907155  (Average', ' 42.10 Max', ' 4070 Sum', ' 164500786)']","[' 3906915  (Average', ' 42.06 Max', ' 3808 Sum', ' 164332228 Ratio', '  99.90%)']","[' 240      (Average', ' 702.33 Max', ' 1387 Sum', ' 168558 Ratio', '   0.10%)']", ,[' 46786   '],[' 5664    '],[' 47283   '],[' 29904   '],"[' 89708    (Atom=Atom', ' 25197 Body=Body', ' 14575 Other', ' 49936)']",[' Yes'],"[' 6761     (Eliminated', '    0 Frozen', ' 6761)']","[' 1722     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.42302'],[' 0'], ,[' 216.682'],[' 0'],[' 11.8501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.64344e+08'],[' 4.7444e+08'],[' 0'],[' 1.2177e+10'],[' 0'],[' 0'],[' 1162 '],[' 2368 ']
Solving...,TA42, , ,[' 1'],[' 3751+'],[' 1878'],"[' 637.811s (Solving', ' 630.38s 1st Model', ' 494.66s Unsat', ' 0.00s)']",[' 635.906s'], ,[' 194289729'],"[' 6238125  (Analyzed', ' 5777828)']","[' 15064    (Average', ' 383.55 Last', ' 338623)']",[' 3789.3  '],"[' 1878     (Average Length', ' 911.97 Splits', ' 0)']","[' 5777828  (Deleted', ' 5721436)']","[' 490      (Ratio', '   0.01%)']","[' 15261    (Ratio', '   0.26%)']","[' 5777828  (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5777828  (Average', ' 32.58 Max', ' 3804 Sum', ' 188212806)']","[' 5777588  (Average', ' 32.54 Max', ' 3509 Sum', ' 188010110 Ratio', '  99.89%)']","[' 240      (Average', ' 844.57 Max', ' 1760 Sum', ' 202696 Ratio', '   0.11%)']", ,[' 46704   '],[' 5555    '],[' 47549   '],[' 29973   '],"[' 89915    (Atom=Atom', ' 25330 Body=Body', ' 14511 Other', ' 50074)']",[' Yes'],"[' 7000     (Eliminated', '    0 Frozen', ' 7000)']","[' 1419     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.78394'],[' 0'], ,[' 408.412'],[' 0'],[' 16.1942'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.32125e+08'],[' 5.24745e+08'],[' 0'],[' 2.59722e+10'],[' 0'],[' 0'],[' 1319 '],[' 2328 ']
Solving...,TA43, , ,[' 1'],[' 3601+'],[' 1803'],"[' 754.306s (Solving', ' 747.32s 1st Model', ' 611.29s Unsat', ' 0.00s)']",[' 752.703s'], ,[' 239035329'],"[' 8149858  (Analyzed', ' 7542994)']","[' 19694    (Average', ' 383.01 Last', ' 587709)']",[' 3661.4  '],"[' 1803     (Average Length', ' 885.91 Splits', ' 0)']","[' 7542994  (Deleted', ' 7487277)']","[' 531      (Ratio', '   0.01%)']","[' 17288    (Ratio', '   0.23%)']","[' 7542994  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7542994  (Average', ' 30.89 Max', ' 4264 Sum', ' 233037327)']","[' 7542747  (Average', ' 30.87 Max', ' 3590 Sum', ' 232831767 Ratio', '  99.91%)']","[' 247      (Average', ' 832.23 Max', ' 1647 Sum', ' 205560 Ratio', '   0.09%)']", ,[' 46648   '],[' 5606    '],[' 47426   '],[' 30050   '],"[' 90146    (Atom=Atom', ' 25369 Body=Body', ' 14549 Other', ' 50228)']",[' Yes'],"[' 6984     (Eliminated', '    0 Frozen', ' 6984)']","[' 1868     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.63274'],[' 0'], ,[' 462.073'],[' 0'],[' 19.0173'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.25112e+08'],[' 6.82313e+08'],[' 0'],[' 2.81388e+10'],[' 0'],[' 0'],[' 1069 '],[' 2147 ']
Solving...,TA44, , ,[' 1'],[' 3147+'],[' 1576'],"[' 332.071s (Solving', ' 326.40s 1st Model', ' 195.41s Unsat', ' 0.00s)']",[' 331.297s'], ,[' 127078843'],"[' 3062652  (Analyzed', ' 2934724)']","[' 8113     (Average', ' 361.73 Last', ' 200812)']",[' 3540.3  '],"[' 1576     (Average Length', ' 772.85 Splits', ' 0)']","[' 2934724  (Deleted', ' 2897939)']","[' 397      (Ratio', '   0.01%)']","[' 16099    (Ratio', '   0.55%)']","[' 2934724  (Average Length', '   14.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2934724  (Average', ' 41.75 Max', ' 3962 Sum', ' 122538979)']","[' 2934489  (Average', ' 41.69 Max', ' 3962 Sum', ' 122350092 Ratio', '  99.85%)']","[' 235      (Average', ' 803.77 Max', ' 1491 Sum', ' 188887 Ratio', '   0.15%)']", ,[' 46180   '],[' 5580    '],[' 46786   '],[' 29854   '],"[' 89558    (Atom=Atom', ' 25156 Body=Body', ' 14566 Other', ' 49836)']",[' Yes'],"[' 6786     (Eliminated', '    0 Frozen', ' 6786)']","[' 1757     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.38615'],[' 0'], ,[' 186.925'],[' 0'],[' 9.23271'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.91568e+08'],[' 3.25508e+08'],[' 0'],[' 1.07186e+10'],[' 0'],[' 0'],[' 1266 '],[' 2339 ']
Solving...,TA45, , ,[' 1'],[' 3517+'],[' 1761'],"[' 407.241s (Solving', ' 400.76s 1st Model', ' 268.00s Unsat', ' 0.00s)']",[' 405.547s'], ,[' 141519343'],"[' 3530031  (Analyzed', ' 3328292)']","[' 9018     (Average', ' 369.07 Last', ' 322841)']",[' 3609.2  '],"[' 1761     (Average Length', ' 860.28 Splits', ' 0)']","[' 3328292  (Deleted', ' 3289360)']","[' 439      (Ratio', '   0.01%)']","[' 15995    (Ratio', '   0.48%)']","[' 3328292  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3328292  (Average', ' 41.01 Max', ' 4216 Sum', ' 136504901)']","[' 3327974  (Average', ' 40.92 Max', ' 4216 Sum', ' 136203848 Ratio', '  99.78%)']","[' 318      (Average', ' 946.71 Max', ' 1619 Sum', ' 301053 Ratio', '   0.22%)']", ,[' 46384   '],[' 5628    '],[' 47089   '],[' 30078   '],"[' 90230    (Atom=Atom', ' 25385 Body=Body', ' 14561 Other', ' 50284)']",[' Yes'],"[' 6933     (Eliminated', '    0 Frozen', ' 6933)']","[' 1556     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.63118'],[' 0'], ,[' 238.875'],[' 0'],[' 10.7752'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.43274e+08'],[' 3.70752e+08'],[' 0'],[' 1.41399e+10'],[' 0'],[' 0'],[' 1268 '],[' 2361 ']
Solving...,TA46, , ,[' 1'],[' 3125+'],[' 1565'],"[' 419.561s (Solving', ' 412.94s 1st Model', ' 281.48s Unsat', ' 0.00s)']",[' 417.891s'], ,[' 154910128'],"[' 4561868  (Analyzed', ' 4367932)']","[' 11724    (Average', ' 372.56 Last', ' 302426)']",[' 3486.4  '],"[' 1565     (Average Length', ' 765.43 Splits', ' 0)']","[' 4367932  (Deleted', ' 4322977)']","[' 500      (Ratio', '   0.01%)']","[' 18210    (Ratio', '   0.42%)']","[' 4367932  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4367932  (Average', ' 34.41 Max', ' 4129 Sum', ' 150293220)']","[' 4367706  (Average', ' 34.37 Max', ' 3558 Sum', ' 150112171 Ratio', '  99.88%)']","[' 226      (Average', ' 801.10 Max', ' 1465 Sum', ' 181049 Ratio', '   0.12%)']", ,[' 46600   '],[' 5643    '],[' 47152   '],[' 29993   '],"[' 89975    (Atom=Atom', ' 25271 Body=Body', ' 14590 Other', ' 50114)']",[' Yes'],"[' 6795     (Eliminated', '    0 Frozen', ' 6795)']","[' 2212     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.50541'],[' 0'], ,[' 229.42'],[' 0'],[' 11.7413'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.96039e+08'],[' 4.11862e+08'],[' 0'],[' 1.24896e+10'],[' 0'],[' 0'],[' 1370 '],[' 2386 ']
Solving...,TA47, , ,[' 1'],[' 3347+'],[' 1676'],"[' 794.128s (Solving', ' 787.51s 1st Model', ' 653.83s Unsat', ' 0.00s)']",[' 791.938s'], ,[' 232504114'],"[' 7503901  (Analyzed', ' 7135401)']","[' 17910    (Average', ' 398.40 Last', ' 470286)']",[' 3644.7  '],"[' 1676     (Average Length', ' 822.61 Splits', ' 0)']","[' 7135401  (Deleted', ' 7074305)']","[' 475      (Ratio', '   0.01%)']","[' 15750    (Ratio', '   0.22%)']","[' 7135401  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7135401  (Average', ' 31.83 Max', ' 4307 Sum', ' 227129603)']","[' 7135149  (Average', ' 31.80 Max', ' 3735 Sum', ' 226926852 Ratio', '  99.91%)']","[' 252      (Average', ' 804.57 Max', ' 1589 Sum', ' 202751 Ratio', '   0.09%)']", ,[' 46742   '],[' 5631    '],[' 47414   '],[' 30031   '],"[' 90089    (Atom=Atom', ' 25332 Body=Body', ' 14567 Other', ' 50190)']",[' Yes'],"[' 6903     (Eliminated', '    0 Frozen', ' 6903)']","[' 1547     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.54175'],[' 0'], ,[' 505.471'],[' 0'],[' 19.6402'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.68684e+08'],[' 6.31973e+08'],[' 0'],[' 3.06326e+10'],[' 0'],[' 0'],[' 1222 '],[' 2260 ']
Solving...,TA48, , ,[' 1'],[' 3169+'],[' 1587'],"[' 340.462s (Solving', ' 334.07s 1st Model', ' 202.67s Unsat', ' 0.00s)']",[' 339.438s'], ,[' 122414860'],"[' 3735442  (Analyzed', ' 3536181)']","[' 9484     (Average', ' 372.86 Last', ' 232739)']",[' 3620.4  '],"[' 1587     (Average Length', ' 776.25 Splits', ' 0)']","[' 3536181  (Deleted', ' 3492011)']","[' 410      (Ratio', '   0.01%)']","[' 15678    (Ratio', '   0.44%)']","[' 3536181  (Average Length', '   15.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3536181  (Average', ' 33.27 Max', ' 3817 Sum', ' 117639613)']","[' 3535913  (Average', ' 33.21 Max', ' 3405 Sum', ' 117446869 Ratio', '  99.84%)']","[' 268      (Average', ' 719.19 Max', ' 1476 Sum', ' 192744 Ratio', '   0.16%)']", ,[' 46269   '],[' 5631    '],[' 46779   '],[' 29720   '],"[' 89156    (Atom=Atom', ' 25083 Body=Body', ' 14505 Other', ' 49568)']",[' Yes'],"[' 6741     (Eliminated', '    0 Frozen', ' 6741)']","[' 1671     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.50988'],[' 0'], ,[' 201.897'],[' 0'],[' 9.22948'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.52781e+08'],[' 2.89604e+08'],[' 0'],[' 1.21956e+10'],[' 0'],[' 0'],[' 1407 '],[' 2430 ']
Solving...,TA49, , ,[' 1'],[' 3257+'],[' 1631'],"[' 367.377s (Solving', ' 360.81s 1st Model', ' 228.96s Unsat', ' 0.00s)']",[' 366.547s'], ,[' 135202973'],"[' 3221322  (Analyzed', ' 2980483)']","[' 8180     (Average', ' 364.36 Last', ' 461780)']",[' 3661.0  '],"[' 1631     (Average Length', ' 795.07 Splits', ' 0)']","[' 2980483  (Deleted', ' 2939644)']","[' 511      (Ratio', '   0.02%)']","[' 18039    (Ratio', '   0.61%)']","[' 2980483  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2980483  (Average', ' 43.69 Max', ' 4305 Sum', ' 130207274)']","[' 2980269  (Average', ' 43.63 Max', ' 3944 Sum', ' 130038689 Ratio', '  99.87%)']","[' 214      (Average', ' 787.78 Max', ' 1420 Sum', ' 168585 Ratio', '   0.13%)']", ,[' 46867   '],[' 5669    '],[' 47527   '],[' 30234   '],"[' 90698    (Atom=Atom', ' 25455 Body=Body', ' 14647 Other', ' 50596)']",[' Yes'],"[' 6929     (Eliminated', '    0 Frozen', ' 6929)']","[' 1682     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.5374'],[' 0'], ,[' 205.986'],[' 0'],[' 9.99176'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.48963e+08'],[' 3.80492e+08'],[' 0'],[' 1.19424e+10'],[' 0'],[' 0'],[' 1314 '],[' 2386 ']
Solving...,TA50, , ,[' 1'],[' 3871+'],[' 1938'],"[' 441.377s (Solving', ' 434.14s 1st Model', ' 298.13s Unsat', ' 0.00s)']",[' 439.844s'], ,[' 168185160'],"[' 5420706  (Analyzed', ' 4914392)']","[' 13022    (Average', ' 377.39 Last', ' 467682)']",[' 3658.0  '],"[' 1938     (Average Length', ' 947.84 Splits', ' 0)']","[' 4914392  (Deleted', ' 4872689)']","[' 430      (Ratio', '   0.01%)']","[' 14962    (Ratio', '   0.30%)']","[' 4914392  (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4914392  (Average', ' 33.02 Max', ' 4141 Sum', ' 162281259)']","[' 4914172  (Average', ' 32.97 Max', ' 3884 Sum', ' 162051415 Ratio', '  99.86%)']","[' 220      (Average', ' 1044.75 Max', ' 1832 Sum', ' 229844 Ratio', '   0.14%)']", ,[' 46572   '],[' 5577    '],[' 47476   '],[' 30071   '],"[' 90209    (Atom=Atom', ' 25422 Body=Body', ' 14517 Other', ' 50270)']",[' Yes'],"[' 7081     (Eliminated', '    0 Frozen', ' 7081)']","[' 1614     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.72526'],[' 0'], ,[' 241.47'],[' 0'],[' 12.3135'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.44632e+08'],[' 4.47413e+08'],[' 0'],[' 1.2824e+10'],[' 0'],[' 0'],[' 1079 '],[' 2216 ']
