Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA41, ,[' 1'],[' 3473+'],[' 1739'],"[' 743.372s (Solving', ' 736.36s 1st Model', ' 489.79s Unsat', ' 0.00s)']",[' 742.672s'], ,[' 283867101'],"[' 8329428  (Analyzed', ' 7843181)']","[' 18953    (Average', ' 413.82 Last', ' 956862)']",[' 3803.9  '],"[' 1739     (Average Length', ' 856.65 Splits', ' 0)']","[' 7843181  (Deleted', ' 7786608)']","[' 561      (Ratio', '   0.01%)']","[' 19898    (Ratio', '   0.25%)']","[' 7843181  (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7843181  (Average', ' 35.42 Max', ' 4075 Sum', ' 277816467)']","[' 7842953  (Average', ' 35.40 Max', ' 3613 Sum', ' 277653136 Ratio', '  99.94%)']","[' 228      (Average', ' 716.36 Max', ' 1671 Sum', ' 163331 Ratio', '   0.06%)']", ,[' 47528   '],[' 5893    '],[' 48115   '],[' 30432   '],"[' 91292    (Atom=Atom', ' 25627 Body=Body', ' 14673 Other', ' 50992)']",[' Yes'],"[' 7080     (Eliminated', '    0 Frozen', ' 7080)']","[' 1870     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.69469'],[' 0'], ,[' 392.342'],[' 0'],[' 20.7742'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04193e+09'],[' 8.76601e+08'],[' 0'],[' 2.10615e+10'],[' 0'],[' 0'],[' 1161 '],[' 2321 ']
Solving...,TA42, ,[' 1'],[' 3275+'],[' 1640'],"[' 743.154s (Solving', ' 737.11s 1st Model', ' 337.62s Unsat', ' 0.00s)']",[' 742.281s'], ,[' 257616308'],"[' 11942822 (Analyzed', ' 11702497)']","[' 23316    (Average', ' 501.91 Last', ' 207936)']",[' 3536.3  '],"[' 1640     (Average Length', ' 805.94 Splits', ' 0)']","[' 11702497 (Deleted', ' 11587999)']","[' 620      (Ratio', '   0.01%)']","[' 17540    (Ratio', '   0.15%)']","[' 11702497 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11702497 (Average', ' 21.58 Max', ' 3950 Sum', ' 252487532)']","[' 11702281 (Average', ' 21.56 Max', ' 3847 Sum', ' 252301200 Ratio', '  99.93%)']","[' 216      (Average', ' 862.65 Max', ' 1556 Sum', ' 186332 Ratio', '   0.07%)']", ,[' 46978   '],[' 5785    '],[' 47492   '],[' 30032   '],"[' 90092    (Atom=Atom', ' 25290 Body=Body', ' 14610 Other', ' 50192)']",[' Yes'],"[' 6899     (Eliminated', '    0 Frozen', ' 6899)']","[' 1872     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.4529'],[' 0'], ,[' 435.043'],[' 0'],[' 19.7254'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.07172e+08'],[' 6.59146e+08'],[' 0'],[' 2.53806e+10'],[' 0'],[' 0'],[' 1319 '],[' 2339 ']
Solving...,TA43, ,[' 1'],[' 3667+'],[' 1836'],"[' 743.675s (Solving', ' 735.74s 1st Model', ' 667.09s Unsat', ' 0.00s)']",[' 740.656s'], ,[' 259208906'],"[' 8073601  (Analyzed', ' 7863954)']","[' 20158    (Average', ' 390.12 Last', ' 1029791)']",[' 3708.3  '],"[' 1836     (Average Length', ' 901.76 Splits', ' 0)']","[' 7863954  (Deleted', ' 7812700)']","[' 600      (Ratio', '   0.01%)']","[' 17927    (Ratio', '   0.23%)']","[' 7863954  (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7863954  (Average', ' 32.23 Max', ' 4386 Sum', ' 253420645)']","[' 7863728  (Average', ' 32.20 Max', ' 3797 Sum', ' 253230840 Ratio', '  99.93%)']","[' 226      (Average', ' 839.85 Max', ' 1712 Sum', ' 189805 Ratio', '   0.07%)']", ,[' 47199   '],[' 5821    '],[' 47904   '],[' 30401   '],"[' 91199    (Atom=Atom', ' 25614 Body=Body', ' 14655 Other', ' 50930)']",[' Yes'],"[' 7126     (Eliminated', '    0 Frozen', ' 7126)']","[' 1894     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.84982'],[' 0'], ,[' 395.769'],[' 0'],[' 20.2974'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.44071e+08'],[' 7.89545e+08'],[' 0'],[' 1.97395e+10'],[' 0'],[' 0'],[' 1058 '],[' 2165 ']
Solving...,TA44, ,[' 1'],[' 3765+'],[' 1885'],"[' 743.842s (Solving', ' 735.17s 1st Model', ' 330.28s Unsat', ' 0.00s)']",[' 742.453s'], ,[' 263380268'],"[' 8343869  (Analyzed', ' 8101020)']","[' 17159    (Average', ' 472.11 Last', ' 316814)']",[' 3779.9  '],"[' 1885     (Average Length', ' 921.91 Splits', ' 0)']","[' 8101020  (Deleted', ' 8034014)']","[' 668      (Ratio', '   0.01%)']","[' 20377    (Ratio', '   0.25%)']","[' 8101020  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8101020  (Average', ' 31.78 Max', ' 4318 Sum', ' 257419789)']","[' 8100791  (Average', ' 31.75 Max', ' 3744 Sum', ' 257236382 Ratio', '  99.93%)']","[' 229      (Average', ' 800.90 Max', ' 1747 Sum', ' 183407 Ratio', '   0.07%)']", ,[' 47055   '],[' 5801    '],[' 47851   '],[' 30523   '],"[' 91565    (Atom=Atom', ' 25705 Body=Body', ' 14686 Other', ' 51174)']",[' Yes'],"[' 7197     (Eliminated', '    0 Frozen', ' 7197)']","[' 2105     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07471'],[' 0'], ,[' 388.685'],[' 0'],[' 20.7759'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.28171e+08'],[' 7.78364e+08'],[' 0'],[' 1.9757e+10'],[' 0'],[' 0'],[' 1266 '],[' 2348 ']
Solving...,TA45, ,[' 1'],[' 3609+'],[' 1807'],"[' 743.280s (Solving', ' 736.57s 1st Model', ' 287.71s Unsat', ' 0.00s)']",[' 741.984s'], ,[' 278561201'],"[' 9154368  (Analyzed', ' 8962601)']","[' 18038    (Average', ' 496.87 Last', ' 479446)']",[' 3634.0  '],"[' 1807     (Average Length', ' 889.19 Splits', ' 0)']","[' 8962601  (Deleted', ' 8879931)']","[' 625      (Ratio', '   0.01%)']","[' 19146    (Ratio', '   0.21%)']","[' 8962601  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8962601  (Average', ' 30.47 Max', ' 4258 Sum', ' 273115208)']","[' 8962349  (Average', ' 30.45 Max', ' 3820 Sum', ' 272877615 Ratio', '  99.91%)']","[' 252      (Average', ' 942.83 Max', ' 1714 Sum', ' 237593 Ratio', '   0.09%)']", ,[' 46999   '],[' 5837    '],[' 47695   '],[' 30499   '],"[' 91493    (Atom=Atom', ' 25681 Body=Body', ' 14686 Other', ' 51126)']",[' Yes'],"[' 7133     (Eliminated', '    0 Frozen', ' 7133)']","[' 2051     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.61434'],[' 0'], ,[' 402.321'],[' 0'],[' 20.958'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.47937e+08'],[' 7.91937e+08'],[' 0'],[' 2.13264e+10'],[' 0'],[' 0'],[' 1268 '],[' 2352 ']
Solving...,TA46, ,[' 1'],[' 3209+'],[' 1607'],"[' 743.406s (Solving', ' 736.54s 1st Model', ' 706.69s Unsat', ' 0.00s)']",[' 740.125s'], ,[' 238863840'],"[' 8315488  (Analyzed', ' 8185143)']","[' 18849    (Average', ' 434.25 Last', ' 3723954)']",[' 3561.7  '],"[' 1607     (Average Length', ' 789.61 Splits', ' 0)']","[' 8185143  (Deleted', ' 8121601)']","[' 617      (Ratio', '   0.01%)']","[' 20076    (Ratio', '   0.25%)']","[' 8185143  (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8185143  (Average', ' 28.58 Max', ' 4407 Sum', ' 233898214)']","[' 8184920  (Average', ' 28.55 Max', ' 4407 Sum', ' 233718671 Ratio', '  99.92%)']","[' 223      (Average', ' 805.13 Max', ' 1522 Sum', ' 179543 Ratio', '   0.08%)']", ,[' 47158   '],[' 5856    '],[' 47656   '],[' 30353   '],"[' 91055    (Atom=Atom', ' 25525 Body=Body', ' 14696 Other', ' 50834)']",[' Yes'],"[' 6954     (Eliminated', '    0 Frozen', ' 6954)']","[' 2357     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.64049'],[' 0'], ,[' 411.468'],[' 0'],[' 19.4805'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.37621e+08'],[' 6.99078e+08'],[' 0'],[' 2.16919e+10'],[' 0'],[' 0'],[' 1368 '],[' 2396 ']
Solving...,TA47, ,[' 1'],[' 3551+'],[' 1778'],"[' 743.441s (Solving', ' 736.08s 1st Model', ' 365.40s Unsat', ' 0.00s)']",[' 741.469s'], ,[' 246739775'],"[' 10486664 (Analyzed', ' 10170267)']","[' 20703    (Average', ' 491.25 Last', ' 315894)']",[' 3686.2  '],"[' 1778     (Average Length', ' 872.40 Splits', ' 0)']","[' 10170267 (Deleted', ' 10068328)']","[' 567      (Ratio', '   0.01%)']","[' 17418    (Ratio', '   0.17%)']","[' 10170267 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10170267 (Average', ' 23.70 Max', ' 3990 Sum', ' 241070448)']","[' 10170021 (Average', ' 23.68 Max', ' 3755 Sum', ' 240862070 Ratio', '  99.91%)']","[' 246      (Average', ' 847.07 Max', ' 1698 Sum', ' 208378 Ratio', '   0.09%)']", ,[' 47333   '],[' 5841    '],[' 47990   '],[' 30427   '],"[' 91277    (Atom=Atom', ' 25630 Body=Body', ' 14665 Other', ' 50982)']",[' Yes'],"[' 7098     (Eliminated', '    0 Frozen', ' 7098)']","[' 2108     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73717'],[' 0'], ,[' 431.918'],[' 0'],[' 19.7715'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.88212e+08'],[' 6.47126e+08'],[' 0'],[' 2.35101e+10'],[' 0'],[' 0'],[' 1222 '],[' 2278 ']
Solving...,TA48, ,[' 1'],[' 3395+'],[' 1700'],"[' 743.462s (Solving', ' 736.32s 1st Model', ' 362.26s Unsat', ' 0.00s)']",[' 740.453s'], ,[' 242580585'],"[' 10310787 (Analyzed', ' 10144105)']","[' 20609    (Average', ' 492.22 Last', ' 690540)']",[' 3706.2  '],"[' 1700     (Average Length', ' 830.76 Splits', ' 0)']","[' 10144105 (Deleted', ' 10050650)']","[' 638      (Ratio', '   0.01%)']","[' 19323    (Ratio', '   0.19%)']","[' 10144105 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10144105 (Average', ' 23.38 Max', ' 3954 Sum', ' 237120607)']","[' 10143868 (Average', ' 23.36 Max', ' 3591 Sum', ' 236946121 Ratio', '  99.93%)']","[' 237      (Average', ' 736.23 Max', ' 1489 Sum', ' 174486 Ratio', '   0.07%)']", ,[' 46879   '],[' 5846    '],[' 47374   '],[' 30130   '],"[' 90386    (Atom=Atom', ' 25394 Body=Body', ' 14604 Other', ' 50388)']",[' Yes'],"[' 6941     (Eliminated', '    0 Frozen', ' 6941)']","[' 2209     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.71174'],[' 0'], ,[' 428.846'],[' 0'],[' 19.6491'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.67144e+08'],[' 6.30411e+08'],[' 0'],[' 2.33915e+10'],[' 0'],[' 0'],[' 1407 '],[' 2434 ']
Solving...,TA49, ,[' 1'],[' 3385+'],[' 1695'],"[' 743.536s (Solving', ' 736.80s 1st Model', ' 286.45s Unsat', ' 0.00s)']",[' 741.422s'], ,[' 270011305'],"[' 8844716  (Analyzed', ' 8494811)']","[' 17062    (Average', ' 497.88 Last', ' 350335)']",[' 3732.7  '],"[' 1695     (Average Length', ' 826.58 Splits', ' 0)']","[' 8494811  (Deleted', ' 8416195)']","[' 774      (Ratio', '   0.01%)']","[' 21984    (Ratio', '   0.26%)']","[' 8494811  (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8494811  (Average', ' 31.12 Max', ' 4330 Sum', ' 264325609)']","[' 8494626  (Average', ' 31.10 Max', ' 3770 Sum', ' 264180995 Ratio', '  99.95%)']","[' 185      (Average', ' 781.70 Max', ' 1599 Sum', ' 144614 Ratio', '   0.05%)']", ,[' 47423   '],[' 5879    '],[' 48022   '],[' 30595   '],"[' 91781    (Atom=Atom', ' 25717 Body=Body', ' 14746 Other', ' 51318)']",[' Yes'],"[' 7078     (Eliminated', '    0 Frozen', ' 7078)']","[' 2254     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.62517'],[' 0'], ,[' 399.11'],[' 0'],[' 20.0508'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.8864e+08'],[' 8.37042e+08'],[' 0'],[' 2.23253e+10'],[' 0'],[' 0'],[' 1314 '],[' 2388 ']
Solving...,TA50, ,[' 1'],[' 3797+'],[' 1901'],"[' 743.572s (Solving', ' 736.23s 1st Model', ' 684.02s Unsat', ' 0.00s)']",[' 740.891s'], ,[' 272656366'],"[' 8758983  (Analyzed', ' 8541433)']","[' 21052    (Average', ' 405.73 Last', ' 1013641)']",[' 3672.9  '],"[' 1901     (Average Length', ' 929.92 Splits', ' 0)']","[' 8541433  (Deleted', ' 8481378)']","[' 668      (Ratio', '   0.01%)']","[' 16987    (Ratio', '   0.20%)']","[' 8541433  (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8541433  (Average', ' 31.24 Max', ' 4690 Sum', ' 266819672)']","[' 8541228  (Average', ' 31.21 Max', ' 4109 Sum', ' 266600832 Ratio', '  99.92%)']","[' 205      (Average', ' 1067.51 Max', ' 1800 Sum', ' 218840 Ratio', '   0.08%)']", ,[' 47250   '],[' 5812    '],[' 48052   '],[' 30529   '],"[' 91583    (Atom=Atom', ' 25715 Body=Body', ' 14682 Other', ' 51186)']",[' Yes'],"[' 7214     (Eliminated', '    0 Frozen', ' 7214)']","[' 1718     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.76083'],[' 0'], ,[' 409.224'],[' 0'],[' 20.5495'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.60523e+08'],[' 7.93297e+08'],[' 0'],[' 2.19486e+10'],[' 0'],[' 0'],[' 1073 '],[' 2186 ']
