Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 
Solving...,TA71, ,[' 1'],[' 13665+'],[' 6836'],"[' 1444.351s (Solving', ' 1251.64s 1st Model', ' 893.08s Unsat', ' 0.00s)']",[' 1437.781s'], ,[' 833903211'],"[' 1527245  (Analyzed', ' 453561)']","[' 5835     (Average', ' 77.73 Last', ' 46639)']",[' 24555.2 '],"[' 6836     (Average Length', ' 3183.07 Splits', ' 0)']","[' 453561   (Deleted', ' 396473)']","[' 2094     (Ratio', '   0.46%)']","[' 40607    (Ratio', '   8.95%)']","[' 453561   (Average Length', '   42.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 453561   (Average', ' 1534.63 Max', ' 31429 Sum', ' 696049684)']","[' 450514   (Average', ' 1513.77 Max', ' 31429 Sum', ' 686588911 Ratio', '  98.64%)']","[' 3047     (Average', ' 3104.95 Max', ' 5986 Sum', ' 9460773 Ratio', '   1.36%)']", ,[' 428954  '],[' 48734   '],[' 426471  '],[' 299513  '],"[' 898535   (Atom=Atom', ' 259245 Body=Body', ' 143166 Other', ' 496124)']",[' Yes'],"[' 48251    (Eliminated', '    0 Frozen', ' 48251)']","[' 5640     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 32.2815'],[' 0'], ,[' 533.494'],[' 0'],[' 64.7025'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81868e+09'],[' 1.73705e+09'],[' 0'],[' 1.28351e+10'],[' 0'],[' 0'],[' 2712 '],[' 5116 '],[' 6960 ']
Solving...,TA72, ,[' 1'],[' 11009+'],[' 5508'],"[' 1111.883s (Solving', ' 973.42s 1st Model', ' 729.33s Unsat', ' 0.00s)']",[' 1108.031s'], ,[' 604270876'],"[' 1225063  (Analyzed', ' 650117)']","[' 5423     (Average', ' 119.88 Last', ' 42215)']",[' 22188.0 '],"[' 5507     (Average Length', ' 2617.32 Splits', ' 0)']","[' 650117   (Deleted', ' 588808)']","[' 896      (Ratio', '   0.14%)']","[' 42689    (Ratio', '   6.57%)']","[' 650117   (Average Length', '   45.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 650117   (Average', ' 767.04 Max', ' 32041 Sum', ' 498664521)']","[' 648700   (Average', ' 762.50 Max', ' 32041 Sum', ' 495716762 Ratio', '  99.41%)']","[' 1417     (Average', ' 2080.28 Max', ' 4933 Sum', ' 2947759 Ratio', '   0.59%)']", ,[' 421438  '],[' 48192   '],[' 417372  '],[' 294391  '],"[' 883169   (Atom=Atom', ' 255195 Body=Body', ' 142094 Other', ' 485880)']",[' Yes'],"[' 46126    (Eliminated', '    0 Frozen', ' 46126)']","[' 6892     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 23.3652'],[' 0'], ,[' 409.06'],[' 0'],[' 40.3989'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27351e+09'],[' 1.19661e+09'],[' 0'],[' 1.34142e+10'],[' 0'],[' 0'],[' 2233 '],[' 4608 '],[' 7270 ']
Solving...,TA73, ,[' 1'],[' 10911+'],[' 5459'],"[' 1568.471s (Solving', ' 1398.91s 1st Model', ' 1066.69s Unsat', ' 0.00s)']",[' 1563.250s'], ,[' 912648564'],"[' 1101426  (Analyzed', ' 604958)']","[' 4560     (Average', ' 132.67 Last', ' 41295)']",[' 26894.5 '],"[' 5459     (Average Length', ' 2719.46 Splits', ' 0)']","[' 604958   (Deleted', ' 543724)']","[' 925      (Ratio', '   0.15%)']","[' 45390    (Ratio', '   7.50%)']","[' 604958   (Average Length', '   52.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 604958   (Average', ' 1294.01 Max', ' 32841 Sum', ' 782820058)']","[' 603498   (Average', ' 1289.40 Max', ' 32841 Sum', ' 780030080 Ratio', '  99.64%)']","[' 1460     (Average', ' 1910.94 Max', ' 4651 Sum', ' 2789978 Ratio', '   0.36%)']", ,[' 421707  '],[' 48594   '],[' 416122  '],[' 290774  '],"[' 872318   (Atom=Atom', ' 253152 Body=Body', ' 140520 Other', ' 478646)']",[' Yes'],"[' 45004    (Eliminated', '    0 Frozen', ' 45004)']","[' 3501     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 29.1977'],[' 0'], ,[' 606.743'],[' 0'],[' 71.3468'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.03406e+09'],[' 1.94801e+09'],[' 0'],[' 1.62886e+10'],[' 0'],[' 0'],[' 2542 '],[' 16879 '],[' 13592 ']
Solving...,TA74, ,[' 1'],[' 12449+'],[' 6228'],"[' 1855.848s (Solving', ' 1669.03s 1st Model', ' 1300.46s Unsat', ' 0.00s)']",[' 1846.969s'], ,[' 1071049373'],"[' 1674868  (Analyzed', ' 675825)']","[' 5928     (Average', ' 114.01 Last', ' 11617)']",[' 26832.2 '],"[' 6228     (Average Length', ' 3102.73 Splits', ' 0)']","[' 675825   (Deleted', ' 614253)']","[' 898      (Ratio', '   0.13%)']","[' 47992    (Ratio', '   7.10%)']","[' 675825   (Average Length', '   45.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 675825   (Average', ' 1370.64 Max', ' 32870 Sum', ' 926309732)']","[' 673931   (Average', ' 1364.37 Max', ' 32870 Sum', ' 922077296 Ratio', '  99.54%)']","[' 1894     (Average', ' 2234.65 Max', ' 2315 Sum', ' 4232436 Ratio', '   0.46%)']", ,[' 417068  '],[' 48065   '],[' 412299  '],[' 288157  '],"[' 864467   (Atom=Atom', ' 251077 Body=Body', ' 139978 Other', ' 473412)']",[' Yes'],"[' 45214    (Eliminated', '    0 Frozen', ' 45214)']","[' 2462     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 31.9355'],[' 0'], ,[' 741.835'],[' 0'],[' 81.1344'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.43358e+09'],[' 2.32723e+09'],[' 0'],[' 2.30026e+10'],[' 0'],[' 0'],[' 2182 '],[' 16051 '],[' 13145 ']
Solving...,TA75, ,[' 1'],[' 11229+'],[' 5618'],"[' 1625.110s (Solving', ' 1457.48s 1st Model', ' 1127.35s Unsat', ' 0.00s)']",[' 1617.203s'], ,[' 944626119'],"[' 1277758  (Analyzed', ' 681142)']","[' 5231     (Average', ' 130.21 Last', ' 36853)']",[' 25502.8 '],"[' 5618     (Average Length', ' 2805.09 Splits', ' 0)']","[' 681142   (Deleted', ' 619805)']","[' 894      (Ratio', '   0.13%)']","[' 49360    (Ratio', '   7.25%)']","[' 681142   (Average Length', '   53.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 681142   (Average', ' 1204.38 Max', ' 32783 Sum', ' 820352907)']","[' 679445   (Average', ' 1198.44 Max', ' 32783 Sum', ' 816304764 Ratio', '  99.51%)']","[' 1697     (Average', ' 2385.47 Max', ' 2497 Sum', ' 4048143 Ratio', '   0.49%)']", ,[' 421361  '],[' 48781   '],[' 416236  '],[' 292022  '],"[' 876062   (Atom=Atom', ' 253967 Body=Body', ' 140953 Other', ' 481142)']",[' Yes'],"[' 45633    (Eliminated', '    0 Frozen', ' 45633)']","[' 3876     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 28.3595'],[' 0'], ,[' 653.22'],[' 0'],[' 71.3275'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.08683e+09'],[' 1.99729e+09'],[' 0'],[' 2.08819e+10'],[' 0'],[' 0'],[' 2340 '],[' 17198 '],[' 14627 ']
Solving...,TA76, ,[' 1'],[' 10817+'],[' 5412'],"[' 1478.022s (Solving', ' 1321.71s 1st Model', ' 1004.54s Unsat', ' 0.00s)']",[' 1474.500s'], ,[' 910654474'],"[' 1153303  (Analyzed', ' 627756)']","[' 4853     (Average', ' 129.35 Last', ' 26732)']",[' 25723.3 '],"[' 5412     (Average Length', ' 2701.97 Splits', ' 0)']","[' 627756   (Deleted', ' 569284)']","[' 1088     (Ratio', '   0.17%)']","[' 47053    (Ratio', '   7.50%)']","[' 627756   (Average Length', '   49.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 627756   (Average', ' 1256.53 Max', ' 32009 Sum', ' 788797329)']","[' 626170   (Average', ' 1251.08 Max', ' 32009 Sum', ' 785372373 Ratio', '  99.57%)']","[' 1586     (Average', ' 2159.49 Max', ' 5230 Sum', ' 3424956 Ratio', '   0.43%)']", ,[' 417749  '],[' 48385   '],[' 412115  '],[' 288883  '],"[' 866645   (Atom=Atom', ' 251543 Body=Body', ' 140238 Other', ' 474864)']",[' Yes'],"[' 44713    (Eliminated', '    0 Frozen', ' 44713)']","[' 4104     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.7766'],[' 0'], ,[' 577.998'],[' 0'],[' 67.2389'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.01489e+09'],[' 1.92631e+09'],[' 0'],[' 1.7137e+10'],[' 0'],[' 0'],[' 2361 '],[' 17447 '],[' 14450 ']
Solving...,TA77, ,[' 1'],[' 13633+'],[' 6820'],"[' 1101.383s (Solving', ' 944.27s 1st Model', ' 626.51s Unsat', ' 0.00s)']",[' 1099.047s'], ,[' 755526146'],"[' 1353500  (Analyzed', ' 435592)']","[' 5619     (Average', ' 77.52 Last', ' 23682)']",[' 23295.7 '],"[' 6820     (Average Length', ' 3170.98 Splits', ' 0)']","[' 435592   (Deleted', ' 382610)']","[' 1924     (Ratio', '   0.44%)']","[' 36496    (Ratio', '   8.38%)']","[' 435592   (Average Length', '   40.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 435592   (Average', ' 1445.78 Max', ' 30261 Sum', ' 629770459)']","[' 431899   (Average', ' 1416.98 Max', ' 30261 Sum', ' 617226729 Ratio', '  98.01%)']","[' 3693     (Average', ' 3396.62 Max', ' 5863 Sum', ' 12543730 Ratio', '   1.99%)']", ,[' 425655  '],[' 48027   '],[' 423380  '],[' 297358  '],"[' 892070   (Atom=Atom', ' 257487 Body=Body', ' 142769 Other', ' 491814)']",[' Yes'],"[' 47731    (Eliminated', '    0 Frozen', ' 47731)']","[' 5791     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 26.4048'],[' 0'], ,[' 400.682'],[' 0'],[' 43.8369'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.58141e+09'],[' 1.50701e+09'],[' 0'],[' 1.29985e+10'],[' 0'],[' 0'],[' 2332 '],[' 4473 '],[' 6564 ']
Solving...,TA78, ,[' 1'],[' 8197+'],[' 4102'],"[' 1017.062s (Solving', ' 927.41s 1st Model', ' 670.54s Unsat', ' 0.00s)']",[' 1015.297s'], ,[' 760057135'],"[' 995028   (Analyzed', ' 631892)']","[' 4222     (Average', ' 149.67 Last', ' 36105)']",[' 22420.1 '],"[' 4102     (Average Length', ' 2049.57 Splits', ' 0)']","[' 631892   (Deleted', ' 571031)']","[' 419      (Ratio', '   0.07%)']","[' 46664    (Ratio', '   7.38%)']","[' 631892   (Average Length', '   58.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 631892   (Average', ' 1075.21 Max', ' 32000 Sum', ' 679416602)']","[' 630309   (Average', ' 1069.76 Max', ' 32000 Sum', ' 675974566 Ratio', '  99.49%)']","[' 1583     (Average', ' 2174.38 Max', ' 2230 Sum', ' 3442036 Ratio', '   0.51%)']", ,[' 415160  '],[' 48311   '],[' 408315  '],[' 287166  '],"[' 861494   (Atom=Atom', ' 249813 Body=Body', ' 140251 Other', ' 471430)']",[' Yes'],"[' 43449    (Eliminated', '    0 Frozen', ' 43449)']","[' 4401     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.0134'],[' 0'], ,[' 411.688'],[' 0'],[' 43.4043'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.63328e+09'],[' 1.55758e+09'],[' 0'],[' 1.69722e+10'],[' 0'],[' 0'],[' 2291 '],[' 17451 '],[' 19065 ']
Solving...,TA79, ,[' 1'],[' 11841+'],[' 5924'],"[' 1484.343s (Solving', ' 1339.98s 1st Model', ' 1025.06s Unsat', ' 0.00s)']",[' 1481.656s'], ,[' 1044617046'],"[' 1442431  (Analyzed', ' 719753)']","[' 5685     (Average', ' 126.61 Last', ' 43202)']",[' 24900.9 '],"[' 5924     (Average Length', ' 2956.77 Splits', ' 0)']","[' 719753   (Deleted', ' 649996)']","[' 771      (Ratio', '   0.11%)']","[' 56667    (Ratio', '   7.87%)']","[' 719753   (Average Length', '   50.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 719753   (Average', ' 1275.31 Max', ' 31836 Sum', ' 917905368)']","[' 718119   (Average', ' 1269.44 Max', ' 31836 Sum', ' 913682289 Ratio', '  99.54%)']","[' 1634     (Average', ' 2584.50 Max', ' 5798 Sum', ' 4223079 Ratio', '   0.46%)']", ,[' 416619  '],[' 48297   '],[' 411568  '],[' 289299  '],"[' 867893   (Atom=Atom', ' 251935 Body=Body', ' 140262 Other', ' 475696)']",[' Yes'],"[' 45239    (Eliminated', '    0 Frozen', ' 45239)']","[' 4869     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 24.8847'],[' 0'], ,[' 578.412'],[' 0'],[' 62.1709'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.38288e+09'],[' 2.27711e+09'],[' 0'],[' 2.14969e+10'],[' 0'],[' 0'],[' 2237 '],[' 17118 '],[' 14427 ']
Solving...,TA80, ,[' 1'],[' 13153+'],[' 6580'],"[' 1951.731s (Solving', ' 1774.12s 1st Model', ' 1400.98s Unsat', ' 0.00s)']",[' 1949.484s'], ,[' 1279092632'],"[' 2382863  (Analyzed', ' 1014826)']","[' 7537     (Average', ' 134.65 Last', ' 18323)']",[' 27672.7 '],"[' 6580     (Average Length', ' 3235.76 Splits', ' 0)']","[' 1014826  (Deleted', ' 932404)']","[' 1586     (Ratio', '   0.16%)']","[' 65145    (Ratio', '   6.42%)']","[' 1014826  (Average Length', '   49.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1014826  (Average', ' 1103.24 Max', ' 32767 Sum', ' 1119595510)']","[' 1013273  (Average', ' 1100.31 Max', ' 32767 Sum', ' 1116619168 Ratio', '  99.73%)']","[' 1553     (Average', ' 1916.51 Max', ' 5941 Sum', ' 2976342 Ratio', '   0.27%)']", ,[' 420127  '],[' 48456   '],[' 415812  '],[' 291735  '],"[' 875201   (Atom=Atom', ' 253977 Body=Body', ' 140656 Other', ' 480568)']",[' Yes'],"[' 46080    (Eliminated', '    0 Frozen', ' 46080)']","[' 3356     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 31.2887'],[' 0'], ,[' 806.654'],[' 0'],[' 77.6911'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.07941e+09'],[' 2.94663e+09'],[' 0'],[' 3.51748e+10'],[' 0'],[' 0'],[' 2341 '],[' 14779 '],[' 10925 ']
