Optimal Found Or Timeout,Instances,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 
Solving...,TA41, ,[' 1'],[' 3769+'],[' 1887'],"[' 601.965s (Solving', ' 593.40s 1st Model', ' 458.51s Unsat', ' 0.00s)']",[' 600.078s'], ,[' 245790390'],"[' 4644757  (Analyzed', ' 4403544)']","[' 12544    (Average', ' 351.05 Last', ' 274370)']",[' 4247.8  '],"[' 1887     (Average Length', ' 921.61 Splits', ' 0)']","[' 4403544  (Deleted', ' 4362057)']","[' 779      (Ratio', '   0.02%)']","[' 20306    (Ratio', '   0.46%)']","[' 4403544  (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4403544  (Average', ' 54.27 Max', ' 4529 Sum', ' 238975109)']","[' 4403378  (Average', ' 54.24 Max', ' 4479 Sum', ' 238849713 Ratio', '  99.95%)']","[' 166      (Average', ' 755.40 Max', ' 1755 Sum', ' 125396 Ratio', '   0.05%)']", ,[' 50191   '],[' 6953    '],[' 50349   '],[' 32110   '],"[' 96326    (Atom=Atom', ' 26795 Body=Body', ' 15183 Other', ' 54348)']",[' Yes'],"[' 7711     (Eliminated', '    0 Frozen', ' 7711)']","[' 1546     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95264'],[' 0'], ,[' 298.094'],[' 0'],[' 17.8484'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.71851e+08'],[' 8.47392e+08'],[' 0'],[' 1.47059e+10'],[' 0'],[' 0'],[' 1162 '],[' 2361 ']
Solving...,TA42, ,[' 1'],[' 3899+'],[' 1952'],"[' 360.124s (Solving', ' 351.76s 1st Model', ' 217.39s Unsat', ' 0.00s)']",[' 359.109s'], ,[' 151053769'],"[' 3561911  (Analyzed', ' 3367651)']","[' 9194     (Average', ' 366.29 Last', ' 124065)']",[' 4204.7  '],"[' 1952     (Average Length', ' 957.08 Splits', ' 0)']","[' 3367651  (Deleted', ' 3328247)']","[' 646      (Ratio', '   0.02%)']","[' 15427    (Ratio', '   0.46%)']","[' 3367651  (Average Length', '   15.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3367651  (Average', ' 42.88 Max', ' 4580 Sum', ' 144413215)']","[' 3367481  (Average', ' 42.84 Max', ' 4405 Sum', ' 144265924 Ratio', '  99.90%)']","[' 170      (Average', ' 866.42 Max', ' 1826 Sum', ' 147291 Ratio', '   0.10%)']", ,[' 49885   '],[' 6901    '],[' 50089   '],[' 31898   '],"[' 95690    (Atom=Atom', ' 26638 Body=Body', ' 15128 Other', ' 53924)']",[' Yes'],"[' 7705     (Eliminated', '    0 Frozen', ' 7705)']","[' 1150     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.95474'],[' 0'], ,[' 189.266'],[' 0'],[' 11.1353'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.8326e+08'],[' 4.12965e+08'],[' 0'],[' 9.9963e+09'],[' 0'],[' 0'],[' 1319 '],[' 2301 ']
Solving...,TA43, ,[' 1'],[' 5037+'],[' 2521'],"[' 616.740s (Solving', ' 604.19s 1st Model', ' 461.67s Unsat', ' 0.00s)']",[' 612.969s'], ,[' 230206221'],"[' 5081793  (Analyzed', ' 4616014)']","[' 13616    (Average', ' 339.01 Last', ' 587709)']",[' 4611.5  '],"[' 2521     (Average Length', ' 1237.51 Splits', ' 0)']","[' 4616014  (Deleted', ' 4578010)']","[' 788      (Ratio', '   0.02%)']","[' 18746    (Ratio', '   0.41%)']","[' 4616014  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4616014  (Average', ' 47.87 Max', ' 4939 Sum', ' 220946648)']","[' 4615841  (Average', ' 47.83 Max', ' 4417 Sum', ' 220797459 Ratio', '  99.93%)']","[' 173      (Average', ' 862.36 Max', ' 2388 Sum', ' 149189 Ratio', '   0.07%)']", ,[' 50521   '],[' 6913    '],[' 51323   '],[' 32706   '],"[' 98114    (Atom=Atom', ' 27379 Body=Body', ' 15195 Other', ' 55540)']",[' Yes'],"[' 8315     (Eliminated', '    0 Frozen', ' 8315)']","[' 1522     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.82402'],[' 0'], ,[' 299.828'],[' 0'],[' 17.8735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.82706e+08'],[' 7.63757e+08'],[' 0'],[' 1.33203e+10'],[' 0'],[' 0'],[' 1069 '],[' 2228 ']
Solving...,TA44, ,[' 1'],[' 4007+'],[' 2006'],"[' 552.701s (Solving', ' 543.31s 1st Model', ' 406.35s Unsat', ' 0.00s)']",[' 550.563s'], ,[' 213982729'],"[' 3687418  (Analyzed', ' 3402456)']","[' 10420    (Average', ' 326.53 Last', ' 192940)']",[' 4328.4  '],"[' 2006     (Average Length', ' 985.06 Splits', ' 0)']","[' 3402456  (Deleted', ' 3358415)']","[' 937      (Ratio', '   0.03%)']","[' 20139    (Ratio', '   0.59%)']","[' 3402456  (Average Length', '   17.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3402456  (Average', ' 60.78 Max', ' 4557 Sum', ' 206785993)']","[' 3402270  (Average', ' 60.73 Max', ' 4310 Sum', ' 206630606 Ratio', '  99.92%)']","[' 186      (Average', ' 835.41 Max', ' 1905 Sum', ' 155387 Ratio', '   0.08%)']", ,[' 50021   '],[' 6885    '],[' 50468   '],[' 32480   '],"[' 97436    (Atom=Atom', ' 27050 Body=Body', ' 15298 Other', ' 55088)']",[' Yes'],"[' 7932     (Eliminated', '    0 Frozen', ' 7932)']","[' 1310     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.14181'],[' 0'], ,[' 274.135'],[' 0'],[' 15.7981'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.12803e+08'],[' 7.1128e+08'],[' 0'],[' 1.3604e+10'],[' 0'],[' 0'],[' 1266 '],[' 2339 ']
Solving...,TA45, ,[' 1'],[' 4391+'],[' 2198'],"[' 547.361s (Solving', ' 537.34s 1st Model', ' 394.59s Unsat', ' 0.00s)']",[' 544.797s'], ,[' 207801615'],"[' 4057118  (Analyzed', ' 3433191)']","[' 10141    (Average', ' 338.55 Last', ' 222360)']",[' 4392.5  '],"[' 2198     (Average Length', ' 1076.75 Splits', ' 0)']","[' 3433191  (Deleted', ' 3397371)']","[' 807      (Ratio', '   0.02%)']","[' 17825    (Ratio', '   0.52%)']","[' 3433191  (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3433191  (Average', ' 58.18 Max', ' 4953 Sum', ' 199743912)']","[' 3432949  (Average', ' 58.11 Max', ' 4953 Sum', ' 199514275 Ratio', '  99.89%)']","[' 242      (Average', ' 948.91 Max', ' 1994 Sum', ' 229637 Ratio', '   0.11%)']", ,[' 50222   '],[' 6923    '],[' 50794   '],[' 32711   '],"[' 98129    (Atom=Atom', ' 27286 Body=Body', ' 15293 Other', ' 55550)']",[' Yes'],"[' 8095     (Eliminated', '    0 Frozen', ' 8095)']","[' 1355     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25524'],[' 0'], ,[' 282.777'],[' 0'],[' 15.4585'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.84572e+08'],[' 6.8371e+08'],[' 0'],[' 1.46567e+10'],[' 0'],[' 0'],[' 1268 '],[' 2345 ']
Solving...,TA46, ,[' 1'],[' 1873+'],[' 939'],"[' 253.652s (Solving', ' 250.49s 1st Model', ' 125.63s Unsat', ' 0.00s)']",[' 252.969s'], ,[' 82836539'],"[' 3538790  (Analyzed', ' 3501119)']","[' 8726     (Average', ' 401.23 Last', ' 215088)']",[' 2887.7  '],"[' 939      (Average Length', ' 468.83 Splits', ' 0)']","[' 3501119  (Deleted', ' 3454688)']","[' 290      (Ratio', '   0.01%)']","[' 11009    (Ratio', '   0.31%)']","[' 3501119  (Average Length', '   20.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3501119  (Average', ' 22.96 Max', ' 4806 Sum', ' 80387710)']","[' 3500955  (Average', ' 22.92 Max', ' 4278 Sum', ' 80259029 Ratio', '  99.84%)']","[' 164      (Average', ' 784.64 Max', ' 937 Sum', ' 128681 Ratio', '   0.16%)']", ,[' 48825   '],[' 6928    '],[' 48105   '],[' 31023   '],"[' 93065    (Atom=Atom', ' 25749 Body=Body', ' 15142 Other', ' 52174)']",[' Yes'],"[' 6808     (Eliminated', '    0 Frozen', ' 6808)']","[' 1720     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.683418'],[' 0'], ,[' 138.068'],[' 0'],[' 6.53198'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.69194e+08'],[' 2.21902e+08'],[' 0'],[' 7.75744e+09'],[' 0'],[' 0'],[' 1370 '],[' 10076 ']
Solving...,TA47, ,[' 1'],[' 4147+'],[' 2076'],"[' 687.350s (Solving', ' 677.75s 1st Model', ' 540.50s Unsat', ' 0.00s)']",[' 684.313s'], ,[' 245067785'],"[' 5407307  (Analyzed', ' 5098011)']","[' 13848    (Average', ' 368.14 Last', ' 317439)']",[' 4308.1  '],"[' 2076     (Average Length', ' 1019.27 Splits', ' 0)']","[' 5098011  (Deleted', ' 5046922)']","[' 756      (Ratio', '   0.01%)']","[' 16526    (Ratio', '   0.32%)']","[' 5098011  (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5098011  (Average', ' 46.61 Max', ' 4723 Sum', ' 237643414)']","[' 5097831  (Average', ' 46.58 Max', ' 4723 Sum', ' 237489623 Ratio', '  99.94%)']","[' 180      (Average', ' 854.39 Max', ' 1865 Sum', ' 153791 Ratio', '   0.06%)']", ,[' 49968   '],[' 6909    '],[' 50297   '],[' 32069   '],"[' 96203    (Atom=Atom', ' 26824 Body=Body', ' 15113 Other', ' 54266)']",[' Yes'],"[' 7838     (Eliminated', '    0 Frozen', ' 7838)']","[' 1162     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1436'],[' 0'], ,[' 382.604'],[' 0'],[' 19.1467'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.06025e+08'],[' 7.80209e+08'],[' 0'],[' 2.09078e+10'],[' 0'],[' 0'],[' 1222 '],[' 2281 ']
Solving...,TA48, ,[' 1'],[' 3861+'],[' 1933'],"[' 392.764s (Solving', ' 383.77s 1st Model', ' 248.91s Unsat', ' 0.00s)']",[' 390.641s'], ,[' 153205306'],"[' 3288603  (Analyzed', ' 3111870)']","[' 8795     (Average', ' 353.82 Last', ' 270912)']",[' 4373.2  '],"[' 1933     (Average Length', ' 950.78 Splits', ' 0)']","[' 3111870  (Deleted', ' 3070054)']","[' 726      (Ratio', '   0.02%)']","[' 17418    (Ratio', '   0.56%)']","[' 3111870  (Average Length', '   17.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3111870  (Average', ' 47.01 Max', ' 4814 Sum', ' 146291620)']","[' 3111690  (Average', ' 46.97 Max', ' 4437 Sum', ' 146157902 Ratio', '  99.91%)']","[' 180      (Average', ' 742.88 Max', ' 1842 Sum', ' 133718 Ratio', '   0.09%)']", ,[' 50048   '],[' 6922    '],[' 50362   '],[' 32298   '],"[' 96890    (Atom=Atom', ' 26917 Body=Body', ' 15249 Other', ' 54724)']",[' Yes'],"[' 7836     (Eliminated', '    0 Frozen', ' 7836)']","[' 1237     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.05181'],[' 0'], ,[' 209.382'],[' 0'],[' 11.1912'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.91111e+08'],[' 4.2221e+08'],[' 0'],[' 1.1168e+10'],[' 0'],[' 0'],[' 1407 '],[' 2391 ']
Solving...,TA49, ,[' 1'],[' 3507+'],[' 1756'],"[' 385.983s (Solving', ' 378.13s 1st Model', ' 245.68s Unsat', ' 0.00s)']",[' 384.375s'], ,[' 156762977'],"[' 2483824  (Analyzed', ' 2354062)']","[' 6774     (Average', ' 347.51 Last', ' 212421)']",[' 4095.8  '],"[' 1756     (Average Length', ' 855.17 Splits', ' 0)']","[' 2354062  (Deleted', ' 2312269)']","[' 829      (Ratio', '   0.04%)']","[' 19672    (Ratio', '   0.84%)']","[' 2354062  (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 2354062  (Average', ' 64.08 Max', ' 4398 Sum', ' 150841376)']","[' 2353894  (Average', ' 64.02 Max', ' 4398 Sum', ' 150706404 Ratio', '  99.91%)']","[' 168      (Average', ' 803.40 Max', ' 1651 Sum', ' 134972 Ratio', '   0.09%)']", ,[' 49749   '],[' 6899    '],[' 49833   '],[' 31976   '],"[' 95924    (Atom=Atom', ' 26658 Body=Body', ' 15186 Other', ' 54080)']",[' Yes'],"[' 7583     (Eliminated', '    0 Frozen', ' 7583)']","[' 1348     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.80785'],[' 0'], ,[' 190.304'],[' 0'],[' 11.3696'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.85964e+08'],[' 5.16058e+08'],[' 0'],[' 9.45044e+09'],[' 0'],[' 0'],[' 1314 '],[' 2400 ']
Solving...,TA50, ,[' 1'],[' 4235+'],[' 2120'],"[' 699.095s (Solving', ' 690.02s 1st Model', ' 553.78s Unsat', ' 0.00s)']",[' 696.703s'], ,[' 267782808'],"[' 6058424  (Analyzed', ' 5820696)']","[' 15315    (Average', ' 380.07 Last', ' 467682)']",[' 4137.5  '],"[' 2120     (Average Length', ' 1030.65 Splits', ' 0)']","[' 5820696  (Deleted', ' 5781245)']","[' 870      (Ratio', '   0.01%)']","[' 17675    (Ratio', '   0.30%)']","[' 5820696  (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5820696  (Average', ' 44.78 Max', ' 4863 Sum', ' 260624142)']","[' 5820540  (Average', ' 44.75 Max', ' 4863 Sum', ' 260459012 Ratio', '  99.94%)']","[' 156      (Average', ' 1058.53 Max', ' 1984 Sum', ' 165130 Ratio', '   0.06%)']", ,[' 49915   '],[' 6875    '],[' 50329   '],[' 32206   '],"[' 96614    (Atom=Atom', ' 26906 Body=Body', ' 15168 Other', ' 54540)']",[' Yes'],"[' 7889     (Eliminated', '    0 Frozen', ' 7889)']","[' 1301     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.07309'],[' 0'], ,[' 359.08'],[' 0'],[' 20.2329'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.02741e+09'],[' 8.80711e+08'],[' 0'],[' 1.7458e+10'],[' 0'],[' 0'],[' 1079 '],[' 2236 ']
