Optimal Found Or Timeout,Instances,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , ,[' 1'],[' 2725+'],[' 1366'],"[' 1001.922s (Solving', ' 995.30s 1st Model', ' 11.07s Unsat', ' 0.00s)']",[' 995.344s'], ,[' 221055801'],"[' 17147848 (Analyzed', ' 16880583)']","[' 30762    (Average', ' 548.75 Last', ' 106222)']",[' 3328.0  '],"[' 1366     (Average Length', ' 747.33 Splits', ' 0)']","[' 16880583 (Deleted', ' 16724645)']","[' 216      (Ratio', '   0.00%)']","[' 29269    (Ratio', '   0.17%)']","[' 16880583 (Average Length', '   22.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16880583 (Average', ' 12.84 Max', ' 3562 Sum', ' 216733101)']","[' 16879997 (Average', ' 12.81 Max', ' 3562 Sum', ' 216207935 Ratio', '  99.76%)']","[' 586      (Average', ' 896.19 Max', ' 988 Sum', ' 525166 Ratio', '   0.24%)']", ,[' 92837   '],[' 6133    '],[' 86147   '],[' 39389   '],"[' 116054   (Atom=Atom', ' 30157 Body=Body', ' 20429 Other', ' 65468)']",[' Yes'],"[' 7655     (Eliminated', '    0 Frozen', ' 7655)']","[' 5053     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.4019'],[' 0'], ,[' 632.557'],[' 0'],[' 25.8933'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.15634e+08'],[' 4.95639e+08'],[' 0'],[' 3.54416e+10'],[' 0'],[' 0'],[' 1230 '],[' 2553 '],[' 3755 '],[' 3 '],[' 0 ']
Solving...,TA52, , ,[' 1'],[' 3045+'],[' 1526'],"[' 1002.101s (Solving', ' 994.24s 1st Model', ' 15.61s Unsat', ' 0.00s)']",[' 999.234s'], ,[' 249629998'],"[' 19373831 (Analyzed', ' 19128225)']","[' 33649    (Average', ' 568.46 Last', ' 14467)']",[' 3481.0  '],"[' 1526     (Average Length', ' 810.42 Splits', ' 0)']","[' 19128225 (Deleted', ' 18968187)']","[' 264      (Ratio', '   0.00%)']","[' 33664    (Ratio', '   0.18%)']","[' 19128225 (Average Length', '   19.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19128225 (Average', ' 12.80 Max', ' 3430 Sum', ' 244795701)']","[' 19127610 (Average', ' 12.77 Max', ' 3430 Sum', ' 244253868 Ratio', '  99.78%)']","[' 615      (Average', ' 881.03 Max', ' 968 Sum', ' 541833 Ratio', '   0.22%)']", ,[' 93520   '],[' 6171    '],[' 86976   '],[' 39720   '],"[' 117092   (Atom=Atom', ' 30469 Body=Body', ' 20543 Other', ' 66080)']",[' Yes'],"[' 7826     (Eliminated', '    0 Frozen', ' 7826)']","[' 5220     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.81567'],[' 0'], ,[' 621.843'],[' 0'],[' 25.1027'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.83692e+08'],[' 5.48464e+08'],[' 0'],[' 3.53269e+10'],[' 0'],[' 0'],[' 1242 '],[' 2389 '],[' 3521 '],[' 3 '],[' 0 ']
Solving...,TA53, , ,[' 1'],[' 2885+'],[' 1446'],"[' 1002.044s (Solving', ' 994.48s 1st Model', ' 13.11s Unsat', ' 0.00s)']",[' 999.734s'], ,[' 263826538'],"[' 20915349 (Analyzed', ' 20600465)']","[' 37017    (Average', ' 556.51 Last', ' 17148)']",[' 3547.6  '],"[' 1446     (Average Length', ' 776.10 Splits', ' 0)']","[' 20600465 (Deleted', ' 20424151)']","[' 267      (Ratio', '   0.00%)']","[' 30364    (Ratio', '   0.15%)']","[' 20600465 (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20600465 (Average', ' 12.56 Max', ' 3466 Sum', ' 258730761)']","[' 20599891 (Average', ' 12.54 Max', ' 3466 Sum', ' 258268069 Ratio', '  99.82%)']","[' 574      (Average', ' 806.08 Max', ' 1193 Sum', ' 462692 Ratio', '   0.18%)']", ,[' 92565   '],[' 6067    '],[' 85999   '],[' 39128   '],"[' 115304   (Atom=Atom', ' 29973 Body=Body', ' 20231 Other', ' 65100)']",[' Yes'],"[' 7661     (Eliminated', '    0 Frozen', ' 7661)']","[' 4564     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6066'],[' 0'], ,[' 632.164'],[' 0'],[' 26.1334'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.69878e+08'],[' 5.31304e+08'],[' 0'],[' 3.64588e+10'],[' 0'],[' 0'],[' 1155 '],[' 2335 '],[' 3350 '],[' 3 '],[' 0 ']
Solving...,TA54, , ,[' 1'],[' 2979+'],[' 1493'],"[' 1001.971s (Solving', ' 994.58s 1st Model', ' 13.61s Unsat', ' 0.00s)']",[' 998.125s'], ,[' 252640850'],"[' 18512308 (Analyzed', ' 18184263)']","[' 32042    (Average', ' 567.51 Last', ' 28417)']",[' 3523.6  '],"[' 1493     (Average Length', ' 828.66 Splits', ' 0)']","[' 18184263 (Deleted', ' 18020524)']","[' 319      (Ratio', '   0.00%)']","[' 34588    (Ratio', '   0.19%)']","[' 18184263 (Average Length', '   20.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18184263 (Average', ' 13.62 Max', ' 3314 Sum', ' 247645086)']","[' 18183699 (Average', ' 13.59 Max', ' 3314 Sum', ' 247170824 Ratio', '  99.81%)']","[' 564      (Average', ' 840.89 Max', ' 1008 Sum', ' 474262 Ratio', '   0.19%)']", ,[' 93180   '],[' 6157    '],[' 86632   '],[' 39597   '],"[' 116680   (Atom=Atom', ' 30380 Body=Body', ' 20501 Other', ' 65799)']",[' Yes'],"[' 7815     (Eliminated', '    0 Frozen', ' 7815)']","[' 5693     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.58832'],[' 0'], ,[' 614.175'],[' 0'],[' 26.2876'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.19975e+08'],[' 5.84146e+08'],[' 0'],[' 3.37421e+10'],[' 0'],[' 0'],[' 1228 '],[' 2257 '],[' 3377 '],[' 3 '],[' 0 ']
Solving...,TA55, , ,[' 1'],[' 3255+'],[' 1631'],"[' 1002.012s (Solving', ' 994.53s 1st Model', ' 14.82s Unsat', ' 0.00s)']",[' 1000.531s'], ,[' 283915046'],"[' 16542870 (Analyzed', ' 16282589)']","[' 28498    (Average', ' 571.36 Last', ' 4660)']",[' 3426.3  '],"[' 1631     (Average Length', ' 863.63 Splits', ' 0)']","[' 16282589 (Deleted', ' 16141422)']","[' 363      (Ratio', '   0.00%)']","[' 36203    (Ratio', '   0.22%)']","[' 16282589 (Average Length', '   20.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16282589 (Average', ' 17.14 Max', ' 3488 Sum', ' 279060823)']","[' 16282013 (Average', ' 17.10 Max', ' 3410 Sum', ' 278477857 Ratio', '  99.79%)']","[' 576      (Average', ' 1012.09 Max', ' 1119 Sum', ' 582966 Ratio', '   0.21%)']", ,[' 93670   '],[' 6181    '],[' 87166   '],[' 39970   '],"[' 117621   (Atom=Atom', ' 30614 Body=Body', ' 20573 Other', ' 66434)']",[' Yes'],"[' 7936     (Eliminated', '    0 Frozen', ' 7936)']","[' 4721     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.65843'],[' 0'], ,[' 586.768'],[' 0'],[' 26.4884'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.68649e+08'],[' 7.21198e+08'],[' 0'],[' 3.32972e+10'],[' 0'],[' 0'],[' 1088 '],[' 2346 '],[' 3626 '],[' 3 '],[' 0 ']
Solving...,TA56, , ,[' 1'],[' 3021+'],[' 1514'],"[' 1002.037s (Solving', ' 994.52s 1st Model', ' 13.75s Unsat', ' 0.00s)']",[' 998.516s'], ,[' 302330476'],"[' 19645882 (Analyzed', ' 19262101)']","[' 32573    (Average', ' 591.35 Last', ' 197817)']",[' 3594.4  '],"[' 1514     (Average Length', ' 808.11 Splits', ' 0)']","[' 19262101 (Deleted', ' 19099649)']","[' 331      (Ratio', '   0.00%)']","[' 35715    (Ratio', '   0.19%)']","[' 19262101 (Average Length', '   19.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19262101 (Average', ' 15.42 Max', ' 3440 Sum', ' 296997391)']","[' 19261530 (Average', ' 15.39 Max', ' 3440 Sum', ' 296523068 Ratio', '  99.84%)']","[' 571      (Average', ' 830.69 Max', ' 939 Sum', ' 474323 Ratio', '   0.16%)']", ,[' 92403   '],[' 6062    '],[' 85878   '],[' 39153   '],"[' 115378   (Atom=Atom', ' 30021 Body=Body', ' 20216 Other', ' 65141)']",[' Yes'],"[' 7708     (Eliminated', '    0 Frozen', ' 7708)']","[' 4812     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.6518'],[' 0'], ,[' 566.317'],[' 0'],[' 26.6291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.52295e+08'],[' 6.92388e+08'],[' 0'],[' 2.93767e+10'],[' 0'],[' 0'],[' 1361 '],[' 2352 '],[' 3357 '],[' 3 '],[' 0 ']
Solving...,TA57, , ,[' 1'],[' 2821+'],[' 1414'],"[' 1001.847s (Solving', ' 994.93s 1st Model', ' 17.69s Unsat', ' 0.00s)']",[' 999.891s'], ,[' 261995626'],"[' 18721094 (Analyzed', ' 18333045)']","[' 32032    (Average', ' 572.34 Last', ' 122119)']",[' 3511.2  '],"[' 1414     (Average Length', ' 774.15 Splits', ' 0)']","[' 18333045 (Deleted', ' 18172423)']","[' 239      (Ratio', '   0.00%)']","[' 30788    (Ratio', '   0.17%)']","[' 18333045 (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18333045 (Average', ' 14.02 Max', ' 3375 Sum', ' 257058034)']","[' 18332498 (Average', ' 14.00 Max', ' 3375 Sum', ' 256624752 Ratio', '  99.83%)']","[' 547      (Average', ' 792.11 Max', ' 912 Sum', ' 433282 Ratio', '   0.17%)']", ,[' 92892   '],[' 6121    '],[' 86238   '],[' 39406   '],"[' 115994   (Atom=Atom', ' 30157 Body=Body', ' 20393 Other', ' 65444)']",[' Yes'],"[' 7683     (Eliminated', '    0 Frozen', ' 7683)']","[' 5404     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.51237'],[' 0'], ,[' 589.831'],[' 0'],[' 25.2893'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.38406e+08'],[' 6.80137e+08'],[' 0'],[' 3.19788e+10'],[' 0'],[' 0'],[' 1392 '],[' 2318 '],[' 3619 '],[' 3 '],[' 0 ']
Solving...,TA58, , ,[' 1'],[' 2837+'],[' 1422'],"[' 1002.034s (Solving', ' 994.79s 1st Model', ' 11.23s Unsat', ' 0.00s)']",[' 997.625s'], ,[' 254276254'],"[' 17893675 (Analyzed', ' 17600732)']","[' 31345    (Average', ' 561.52 Last', ' 6811)']",[' 3483.7  '],"[' 1422     (Average Length', ' 770.37 Splits', ' 0)']","[' 17600732 (Deleted', ' 17438102)']","[' 307      (Ratio', '   0.00%)']","[' 33121    (Ratio', '   0.19%)']","[' 17600732 (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17600732 (Average', ' 14.17 Max', ' 3198 Sum', ' 249436276)']","[' 17600206 (Average', ' 14.15 Max', ' 3198 Sum', ' 249032444 Ratio', '  99.84%)']","[' 526      (Average', ' 767.74 Max', ' 862 Sum', ' 403832 Ratio', '   0.16%)']", ,[' 92869   '],[' 6109    '],[' 86265   '],[' 39328   '],"[' 115810   (Atom=Atom', ' 30117 Body=Body', ' 20357 Other', ' 65336)']",[' Yes'],"[' 7696     (Eliminated', '    0 Frozen', ' 7696)']","[' 5623     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.57868'],[' 0'], ,[' 600.848'],[' 0'],[' 25.9929'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.38046e+08'],[' 5.96448e+08'],[' 0'],[' 3.22267e+10'],[' 0'],[' 0'],[' 1256 '],[' 2318 '],[' 3582 '],[' 3 '],[' 0 ']
Solving...,TA59, , ,[' 1'],[' 2641+'],[' 1324'],"[' 1001.801s (Solving', ' 995.36s 1st Model', ' 8.58s Unsat', ' 0.00s)']",[' 995.422s'], ,[' 225561782'],"[' 20204837 (Analyzed', ' 19963129)']","[' 35015    (Average', ' 570.13 Last', ' 85486)']",[' 3503.9  '],"[' 1324     (Average Length', ' 718.28 Splits', ' 0)']","[' 19963129 (Deleted', ' 19801672)']","[' 243      (Ratio', '   0.00%)']","[' 29069    (Ratio', '   0.15%)']","[' 19963129 (Average Length', '   21.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19963129 (Average', ' 11.07 Max', ' 3654 Sum', ' 220933695)']","[' 19962577 (Average', ' 11.05 Max', ' 3654 Sum', ' 220514541 Ratio', '  99.81%)']","[' 552      (Average', ' 759.34 Max', ' 821 Sum', ' 419154 Ratio', '   0.19%)']", ,[' 92878   '],[' 6142    '],[' 86165   '],[' 39395   '],"[' 116102   (Atom=Atom', ' 30151 Body=Body', ' 20456 Other', ' 65495)']",[' Yes'],"[' 7641     (Eliminated', '    0 Frozen', ' 7641)']","[' 4655     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.40791'],[' 0'], ,[' 648.065'],[' 0'],[' 25.1701'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.72946e+08'],[' 4.52887e+08'],[' 0'],[' 3.61966e+10'],[' 0'],[' 0'],[' 1166 '],[' 2335 '],[' 3549 '],[' 3 '],[' 0 ']
Solving...,TA60, , ,[' 1'],[' 3293+'],[' 1650'],"[' 1002.924s (Solving', ' 992.55s 1st Model', ' 54.83s Unsat', ' 0.00s)']",[' 995.156s'], ,[' 279501607'],"[' 12464701 (Analyzed', ' 12160913)']","[' 22501    (Average', ' 540.46 Last', ' 61270)']",[' 3514.3  '],"[' 1650     (Average Length', ' 887.76 Splits', ' 0)']","[' 12160913 (Deleted', ' 12032088)']","[' 337      (Ratio', '   0.00%)']","[' 40125    (Ratio', '   0.33%)']","[' 12160913 (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 12160913 (Average', ' 22.58 Max', ' 3271 Sum', ' 274544150)']","[' 12160396 (Average', ' 22.54 Max', ' 3182 Sum', ' 274102140 Ratio', '  99.84%)']","[' 517      (Average', ' 854.95 Max', ' 1018 Sum', ' 442010 Ratio', '   0.16%)']", ,[' 93201   '],[' 6145    '],[' 86784   '],[' 39679   '],"[' 117047   (Atom=Atom', ' 30489 Body=Body', ' 20465 Other', ' 66093)']",[' Yes'],"[' 7916     (Eliminated', '    0 Frozen', ' 7916)']","[' 5516     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.19733'],[' 0'], ,[' 492.325'],[' 0'],[' 26.5671'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.16072e+08'],[' 7.6346e+08'],[' 0'],[' 1.88687e+10'],[' 0'],[' 0'],[' 1136 '],[' 2128 '],[' 3185 '],[' 3 '],[' 0 ']
