Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 3315+'],[' 1662'],"[' 1002.350s (Solving', ' 993.74s 1st Model', ' 10.39s Unsat', ' 0.00s)']",[' 1001.313s'], ,[' 171186629'],"[' 24114213 (Analyzed', ' 23859948)']","[' 41837    (Average', ' 570.31 Last', ' 108208)']",[' 3587.8  '],"[' 1662     (Average Length', ' 925.28 Splits', ' 0)']","[' 23859948 (Deleted', ' 23657540)']","[' 176      (Ratio', '   0.00%)']","[' 19794    (Ratio', '   0.08%)']","[' 23859948 (Average Length', '   17.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23859948 (Average', '  6.96 Max', ' 4181 Sum', ' 166097584)']","[' 23859216 (Average', '  6.93 Max', ' 3872 Sum', ' 165414394 Ratio', '  99.59%)']","[' 732      (Average', ' 933.32 Max', ' 1180 Sum', ' 683190 Ratio', '   0.41%)']", ,[' 108275  '],[' 6106    '],[' 99654   '],[' 42915   '],"[' 119690   (Atom=Atom', ' 32349 Body=Body', ' 21128 Other', ' 66213)']",[' Yes'],"[' 8117     (Eliminated', '    0 Frozen', ' 8117)']","[' 3157     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.977'],[' 0'], ,[' 705.966'],[' 0'],[' 23.5764'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.99798e+08'],[' 2.95524e+08'],[' 0'],[' 4.33627e+10'],[' 0'],[' 0'],[' 1053 '],[' 2060 '],[' 2862 '],[' 3640 '],[' 4 '],[' 0 ']
Solving...,TA62, , , ,[' 1'],[' 3701+'],[' 1855'],"[' 1002.794s (Solving', ' 992.74s 1st Model', ' 41.73s Unsat', ' 0.00s)']",[' 1001.016s'], ,[' 230379798'],"[' 23998109 (Analyzed', ' 23685443)']","[' 42589    (Average', ' 556.14 Last', ' 80621)']",[' 3543.6  '],"[' 1855     (Average Length', ' 988.46 Splits', ' 0)']","[' 23685443 (Deleted', ' 23474127)']","[' 234      (Ratio', '   0.00%)']","[' 26497    (Ratio', '   0.11%)']","[' 23685443 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23685443 (Average', '  9.50 Max', ' 3892 Sum', ' 224944577)']","[' 23684698 (Average', '  9.47 Max', ' 3892 Sum', ' 224212240 Ratio', '  99.67%)']","[' 745      (Average', ' 983.00 Max', ' 1204 Sum', ' 732337 Ratio', '   0.33%)']", ,[' 109683  '],[' 6179    '],[' 101070  '],[' 43604   '],"[' 121325   (Atom=Atom', ' 32834 Body=Body', ' 21347 Other', ' 67144)']",[' Yes'],"[' 8354     (Eliminated', '    0 Frozen', ' 8354)']","[' 4000     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.26609'],[' 0'], ,[' 640.906'],[' 0'],[' 24.0865'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.00552e+08'],[' 4.59488e+08'],[' 0'],[' 3.72409e+10'],[' 0'],[' 0'],[' 1111 '],[' 1917 '],[' 2700 '],[' 3544 '],[' 4 '],[' 0 ']
Solving...,TA63, , , ,[' 1'],[' 3635+'],[' 1822'],"[' 1002.571s (Solving', ' 993.02s 1st Model', ' 10.32s Unsat', ' 0.00s)']",[' 1000.375s'], ,[' 147471670'],"[' 26306592 (Analyzed', ' 25981754)']","[' 45556    (Average', ' 570.33 Last', ' 1797)']",[' 3536.9  '],"[' 1822     (Average Length', ' 972.03 Splits', ' 0)']","[' 25981754 (Deleted', ' 25742182)']","[' 113      (Ratio', '   0.00%)']","[' 16939    (Ratio', '   0.07%)']","[' 25981754 (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25981754 (Average', '  5.47 Max', ' 4565 Sum', ' 142241717)']","[' 25980995 (Average', '  5.44 Max', ' 3755 Sum', ' 141460825 Ratio', '  99.45%)']","[' 759      (Average', ' 1028.84 Max', ' 1223 Sum', ' 780892 Ratio', '   0.55%)']", ,[' 108695  '],[' 6096    '],[' 100230  '],[' 43083   '],"[' 119991   (Atom=Atom', ' 32469 Body=Body', ' 21098 Other', ' 66424)']",[' Yes'],"[' 8239     (Eliminated', '    0 Frozen', ' 8239)']","[' 3041     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.16956'],[' 0'], ,[' 701.8'],[' 0'],[' 21.7505'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.28924e+08'],[' 2.3226e+08'],[' 0'],[' 4.04352e+10'],[' 0'],[' 0'],[' 1031 '],[' 1906 '],[' 2606 '],[' 3606 '],[' 4 '],[' 0 ']
Solving...,TA64, , , ,[' 1'],[' 3745+'],[' 1877'],"[' 1002.589s (Solving', ' 992.76s 1st Model', ' 13.47s Unsat', ' 0.00s)']",[' 1000.547s'], ,[' 155253385'],"[' 27274277 (Analyzed', ' 26852624)']","[' 47628    (Average', ' 563.80 Last', ' 210832)']",[' 3691.7  '],"[' 1877     (Average Length', ' 985.97 Splits', ' 0)']","[' 26852624 (Deleted', ' 26580432)']","[' 110      (Ratio', '   0.00%)']","[' 16840    (Ratio', '   0.06%)']","[' 26852624 (Average Length', '   16.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26852624 (Average', '  5.56 Max', ' 4242 Sum', ' 149393150)']","[' 26851921 (Average', '  5.54 Max', ' 4242 Sum', ' 148679966 Ratio', '  99.52%)']","[' 703      (Average', ' 1014.49 Max', ' 1210 Sum', ' 713184 Ratio', '   0.48%)']", ,[' 108031  '],[' 6066    '],[' 99797   '],[' 42676   '],"[' 119739   (Atom=Atom', ' 32404 Body=Body', ' 21008 Other', ' 66327)']",[' Yes'],"[' 8201     (Eliminated', '    0 Frozen', ' 8201)']","[' 3167     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.23808'],[' 0'], ,[' 699.763'],[' 0'],[' 21.5423'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.39173e+08'],[' 2.3871e+08'],[' 0'],[' 4.18283e+10'],[' 0'],[' 0'],[' 1244 '],[' 1854 '],[' 2595 '],[' 3411 '],[' 4 '],[' 0 ']
Solving...,TA65, , , ,[' 1'],[' 3327+'],[' 1668'],"[' 1002.455s (Solving', ' 993.51s 1st Model', ' 11.47s Unsat', ' 0.00s)']",[' 999.844s'], ,[' 127650677'],"[' 28960606 (Analyzed', ' 28652255)']","[' 51998    (Average', ' 551.03 Last', ' 9434)']",[' 3449.9  '],"[' 1668     (Average Length', ' 910.86 Splits', ' 0)']","[' 28652255 (Deleted', ' 28360695)']","[' 112      (Ratio', '   0.00%)']","[' 15039    (Ratio', '   0.05%)']","[' 28652255 (Average Length', '   14.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28652255 (Average', '  4.29 Max', ' 4701 Sum', ' 122778013)']","[' 28651567 (Average', '  4.26 Max', ' 3845 Sum', ' 122096653 Ratio', '  99.45%)']","[' 688      (Average', ' 990.35 Max', ' 1210 Sum', ' 681360 Ratio', '   0.55%)']", ,[' 108735  '],[' 6042    '],[' 99853   '],[' 42970   '],"[' 118837   (Atom=Atom', ' 32099 Body=Body', ' 20936 Other', ' 65802)']",[' Yes'],"[' 8021     (Eliminated', '    0 Frozen', ' 8021)']","[' 2703     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.02498'],[' 0'], ,[' 703.342'],[' 0'],[' 20.3224'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.89002e+08'],[' 1.92605e+08'],[' 0'],[' 4.11017e+10'],[' 0'],[' 0'],[' 918 '],[' 1796 '],[' 2592 '],[' 3474 '],[' 4 '],[' 0 ']
Solving...,TA66, , , ,[' 1'],[' 3475+'],[' 1742'],"[' 1002.304s (Solving', ' 993.87s 1st Model', ' 9.76s Unsat', ' 0.00s)']",[' 1000.781s'], ,[' 160645949'],"[' 28037571 (Analyzed', ' 27713343)']","[' 48020    (Average', ' 577.12 Last', ' 176257)']",[' 3579.5  '],"[' 1742     (Average Length', ' 943.19 Splits', ' 0)']","[' 27713343 (Deleted', ' 27451954)']","[' 127      (Ratio', '   0.00%)']","[' 18636    (Ratio', '   0.07%)']","[' 27713343 (Average Length', '   16.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27713343 (Average', '  5.61 Max', ' 4202 Sum', ' 155357707)']","[' 27712649 (Average', '  5.58 Max', ' 3892 Sum', ' 154645533 Ratio', '  99.54%)']","[' 694      (Average', ' 1026.19 Max', ' 1240 Sum', ' 712174 Ratio', '   0.46%)']", ,[' 109409  '],[' 6211    '],[' 100777  '],[' 43477   '],"[' 121602   (Atom=Atom', ' 32849 Body=Body', ' 21443 Other', ' 67310)']",[' Yes'],"[' 8283     (Eliminated', '    0 Frozen', ' 8283)']","[' 3596     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.9362'],[' 0'], ,[' 689.839'],[' 0'],[' 21.1131'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.8517e+08'],[' 2.75356e+08'],[' 0'],[' 4.41809e+10'],[' 0'],[' 0'],[' 1081 '],[' 1754 '],[' 2683 '],[' 3686 '],[' 4 '],[' 0 ']
Solving...,TA67, , , ,[' 1'],[' 3215+'],[' 1612'],"[' 1003.388s (Solving', ' 992.26s 1st Model', ' 12.34s Unsat', ' 0.00s)']",[' 989.578s'], ,[' 124281068'],"[' 21391629 (Analyzed', ' 21129674)']","[' 38343    (Average', ' 551.07 Last', ' 3533)']",[' 3404.0  '],"[' 1612     (Average Length', ' 868.97 Splits', ' 0)']","[' 21129674 (Deleted', ' 20948480)']","[' 133      (Ratio', '   0.00%)']","[' 16031    (Ratio', '   0.08%)']","[' 21129674 (Average Length', '   17.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21129674 (Average', '  5.67 Max', ' 3848 Sum', ' 119766898)']","[' 21128866 (Average', '  5.63 Max', ' 3848 Sum', ' 118951354 Ratio', '  99.32%)']","[' 808      (Average', ' 1009.34 Max', ' 1132 Sum', ' 815544 Ratio', '   0.68%)']", ,[' 108286  '],[' 6160    '],[' 99625   '],[' 42991   '],"[' 120348   (Atom=Atom', ' 32515 Body=Body', ' 21290 Other', ' 66543)']",[' Yes'],"[' 8105     (Eliminated', '    0 Frozen', ' 8105)']","[' 2962     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.40934'],[' 0'], ,[' 679.666'],[' 0'],[' 20.1725'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.82733e+08'],[' 1.9982e+08'],[' 0'],[' 3.00036e+10'],[' 0'],[' 0'],[' 1163 '],[' 2124 '],[' 3023 '],[' 3804 '],[' 4 '],[' 0 ']
Solving...,TA68, , , ,[' 1'],[' 3305+'],[' 1657'],"[' 1003.876s (Solving', ' 989.80s 1st Model', ' 18.38s Unsat', ' 0.00s)']",[' 992.250s'], ,[' 90618294'],"[' 19170900 (Analyzed', ' 18787200)']","[' 34565    (Average', ' 543.53 Last', ' 494276)']",[' 4115.6  '],"[' 1657     (Average Length', ' 895.11 Splits', ' 0)']","[' 18787200 (Deleted', ' 18590839)']","[' 46       (Ratio', '   0.00%)']","[' 8517     (Ratio', '   0.05%)']","[' 18787200 (Average Length', '   14.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 18787200 (Average', '  4.52 Max', ' 4757 Sum', ' 84952513)']","[' 18786364 (Average', '  4.48 Max', ' 4488 Sum', ' 84234599 Ratio', '  99.15%)']","[' 836      (Average', ' 858.75 Max', ' 1046 Sum', ' 717914 Ratio', '   0.85%)']", ,[' 108185  '],[' 6003    '],[' 99408   '],[' 42637   '],"[' 118209   (Atom=Atom', ' 31932 Body=Body', ' 20819 Other', ' 65458)']",[' Yes'],"[' 7989     (Eliminated', '    0 Frozen', ' 7989)']","[' 1288     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.10803'],[' 0'], ,[' 689.807'],[' 0'],[' 20.8679'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76561e+08'],[' 1.20158e+08'],[' 0'],[' 3.06499e+10'],[' 0'],[' 0'],[' 1051 '],[' 1992 '],[' 2721 '],[' 3505 '],[' 4 '],[' 0 ']
Solving...,TA69, , , ,[' 1'],[' 3333+'],[' 1671'],"[' 1003.245s (Solving', ' 991.41s 1st Model', ' 14.23s Unsat', ' 0.00s)']",[' 993.797s'], ,[' 107546606'],"[' 20994741 (Analyzed', ' 20464494)']","[' 37807    (Average', ' 541.29 Last', ' 93209)']",[' 3898.0  '],"[' 1671     (Average Length', ' 924.31 Splits', ' 0)']","[' 20464494 (Deleted', ' 20287644)']","[' 43       (Ratio', '   0.00%)']","[' 11390    (Ratio', '   0.06%)']","[' 20464494 (Average Length', '   16.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20464494 (Average', '  4.98 Max', ' 5101 Sum', ' 101847859)']","[' 20463730 (Average', '  4.94 Max', ' 4390 Sum', ' 101161146 Ratio', '  99.33%)']","[' 764      (Average', ' 898.84 Max', ' 1126 Sum', ' 686713 Ratio', '   0.67%)']", ,[' 108775  '],[' 6146    '],[' 100134  '],[' 43119   '],"[' 120365   (Atom=Atom', ' 32518 Body=Body', ' 21248 Other', ' 66599)']",[' Yes'],"[' 8128     (Eliminated', '    0 Frozen', ' 8128)']","[' 1867     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.57894'],[' 0'], ,[' 702.53'],[' 0'],[' 20.795'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.22484e+08'],[' 1.51413e+08'],[' 0'],[' 3.3411e+10'],[' 0'],[' 0'],[' 1214 '],[' 2049 '],[' 2928 '],[' 3743 '],[' 4 '],[' 0 ']
Solving...,TA70, , , ,[' 1'],[' 3343+'],[' 1676'],"[' 1003.151s (Solving', ' 991.70s 1st Model', ' 20.63s Unsat', ' 0.00s)']",[' 993.172s'], ,[' 125939526'],"[' 20505900 (Analyzed', ' 20297549)']","[' 36952    (Average', ' 549.30 Last', ' 48540)']",[' 3534.4  '],"[' 1676     (Average Length', ' 914.22 Splits', ' 0)']","[' 20297549 (Deleted', ' 20102393)']","[' 129      (Ratio', '   0.00%)']","[' 14834    (Ratio', '   0.07%)']","[' 20297549 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20297549 (Average', '  5.97 Max', ' 4299 Sum', ' 121202082)']","[' 20296842 (Average', '  5.94 Max', ' 3985 Sum', ' 120505393 Ratio', '  99.43%)']","[' 707      (Average', ' 985.42 Max', ' 1177 Sum', ' 696689 Ratio', '   0.57%)']", ,[' 108576  '],[' 6056    '],[' 99781   '],[' 42946   '],"[' 119094   (Atom=Atom', ' 32163 Body=Body', ' 20978 Other', ' 65953)']",[' Yes'],"[' 8074     (Eliminated', '    0 Frozen', ' 8074)']","[' 2928     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.52347'],[' 0'], ,[' 670.912'],[' 0'],[' 21.1554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.04461e+08'],[' 2.18308e+08'],[' 0'],[' 3.19717e+10'],[' 0'],[' 0'],[' 889 '],[' 2063 '],[' 2795 '],[' 3742 '],[' 4 '],[' 0 ']
