Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 2551+'],[' 1281'],"[' 1001.670s (Solving', ' 995.92s 1st Model', ' 5.45s Unsat', ' 0.00s)']",[' 997.375s'], ,[' 91052022'],"[' 37309437 (Analyzed', ' 37191976)']","[' 66201    (Average', ' 561.80 Last', ' 82540)']",[' 2932.2  '],"[' 1281     (Average Length', ' 718.36 Splits', ' 0)']","[' 37191976 (Deleted', ' 36820689)']","[' 29       (Ratio', '   0.00%)']","[' 6236     (Ratio', '   0.02%)']","[' 37191976 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37191976 (Average', '  2.35 Max', ' 3995 Sum', ' 87419767)']","[' 37191263 (Average', '  2.34 Max', ' 3488 Sum', ' 86915173 Ratio', '  99.42%)']","[' 713      (Average', ' 707.71 Max', ' 916 Sum', ' 504594 Ratio', '   0.58%)']", ,[' 97974   '],[' 4824    '],[' 89987   '],[' 36211   '],"[' 97899    (Atom=Atom', ' 27189 Body=Body', ' 17352 Other', ' 53358)']",[' Yes'],"[' 6584     (Eliminated', '    0 Frozen', ' 6584)']","[' 1027     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.28497'],[' 0'], ,[' 723.415'],[' 0'],[' 18.1819'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.16103e+08'],[' 1.19712e+08'],[' 0'],[' 4.73749e+10'],[' 0'],[' 0'],[' 861 '],[' 1673 '],[' 2248 '],[' 2913 '],[' 3644 '],[' 5 '],[' 0 ']
Solving...,TA62, , , , , ,[' 2435'],[' 1223'],"[' 642.701s (Solving', ' 636.78s 1st Model', ' 4.62s Unsat', ' 26.68s)']",[' 641.000s'], ,[' 74055058'],"[' 28751730 (Analyzed', ' 28603434)']","[' 51589    (Average', ' 554.45 Last', ' 97488)']",[' 2858.5  '],"[' 1223     (Average Length', ' 671.68 Splits', ' 0)']","[' 28603434 (Deleted', ' 28276184)']","[' 70       (Ratio', '   0.00%)']","[' 6980     (Ratio', '   0.02%)']","[' 28603434 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28603434 (Average', '  2.48 Max', ' 3642 Sum', ' 70894714)']","[' 28602617 (Average', '  2.46 Max', ' 3453 Sum', ' 70320237 Ratio', '  99.19%)']","[' 817      (Average', ' 703.15 Max', ' 931 Sum', ' 574477 Ratio', '   0.81%)']", ,[' 98961   '],[' 4950    '],[' 90898   '],[' 36735   '],"[' 99753    (Atom=Atom', ' 27635 Body=Body', ' 17730 Other', ' 54388)']",[' Yes'],"[' 6698     (Eliminated', '    0 Frozen', ' 6698)']","[' 1381     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.24548'],[' 0'], ,[' 421.452'],[' 0'],[' 11.607'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.86715e+08'],[' 1.08193e+08'],[' 0'],[' 2.69606e+10'],[' 0'],[' 0'],[' 865 '],[' 1660 '],[' 2254 '],[' 4769 '],[' 3602 '],[' 4 '],[' 1 ']
Solving...,TA63, , , , ,[' 1'],[' 2387+'],[' 1199'],"[' 1001.813s (Solving', ' 995.76s 1st Model', ' 4.82s Unsat', ' 0.00s)']",[' 998.813s'], ,[' 101453716'],"[' 39845813 (Analyzed', ' 39669181)']","[' 68462    (Average', ' 579.43 Last', ' 214667)']",[' 3011.0  '],"[' 1199     (Average Length', ' 686.26 Splits', ' 0)']","[' 39669181 (Deleted', ' 39319298)']","[' 15       (Ratio', '   0.00%)']","[' 6014     (Ratio', '   0.02%)']","[' 39669181 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 39669181 (Average', '  2.46 Max', ' 3885 Sum', ' 97672321)']","[' 39668416 (Average', '  2.45 Max', ' 3718 Sum', ' 97147437 Ratio', '  99.46%)']","[' 765      (Average', ' 686.12 Max', ' 902 Sum', ' 524884 Ratio', '   0.54%)']", ,[' 98755   '],[' 4931    '],[' 90649   '],[' 36690   '],"[' 99331    (Atom=Atom', ' 27535 Body=Body', ' 17673 Other', ' 54123)']",[' Yes'],"[' 6655     (Eliminated', '    0 Frozen', ' 6655)']","[' 908      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.21883'],[' 0'], ,[' 710.499'],[' 0'],[' 17.9122'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.32501e+08'],[' 1.26572e+08'],[' 0'],[' 4.75452e+10'],[' 0'],[' 0'],[' 913 '],[' 1640 '],[' 2173 '],[' 3088 '],[' 3835 '],[' 5 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 2945+'],[' 1478'],"[' 1001.718s (Solving', ' 994.65s 1st Model', ' 6.09s Unsat', ' 0.00s)']",[' 999.469s'], ,[' 90500016'],"[' 34348560 (Analyzed', ' 34182485)']","[' 59660    (Average', ' 572.95 Last', ' 191198)']",[' 3141.7  '],"[' 1478     (Average Length', ' 799.77 Splits', ' 0)']","[' 34182485 (Deleted', ' 33836082)']","[' 56       (Ratio', '   0.00%)']","[' 7051     (Ratio', '   0.02%)']","[' 34182485 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34182485 (Average', '  2.53 Max', ' 3973 Sum', ' 86339670)']","[' 34181784 (Average', '  2.51 Max', ' 3517 Sum', ' 85807432 Ratio', '  99.38%)']","[' 701      (Average', ' 759.26 Max', ' 1000 Sum', ' 532238 Ratio', '   0.62%)']", ,[' 98401   '],[' 4890    '],[' 90729   '],[' 36527   '],"[' 99533    (Atom=Atom', ' 27650 Body=Body', ' 17550 Other', ' 54333)']",[' Yes'],"[' 6816     (Eliminated', '    0 Frozen', ' 6816)']","[' 1286     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.53603'],[' 0'], ,[' 729.718'],[' 0'],[' 20.8937'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.19416e+08'],[' 1.27976e+08'],[' 0'],[' 4.9443e+10'],[' 0'],[' 0'],[' 874 '],[' 1636 '],[' 2094 '],[' 2890 '],[' 3342 '],[' 5 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 2745+'],[' 1378'],"[' 1001.750s (Solving', ' 995.54s 1st Model', ' 6.41s Unsat', ' 0.00s)']",[' 998.922s'], ,[' 81776174'],"[' 33204875 (Analyzed', ' 33014010)']","[' 61314    (Average', ' 538.44 Last', ' 153553)']",[' 2962.1  '],"[' 1378     (Average Length', ' 769.18 Splits', ' 0)']","[' 33014010 (Deleted', ' 32576857)']","[' 26       (Ratio', '   0.00%)']","[' 5698     (Ratio', '   0.02%)']","[' 33014010 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33014010 (Average', '  2.37 Max', ' 4110 Sum', ' 78194706)']","[' 33013249 (Average', '  2.35 Max', ' 3543 Sum', ' 77609643 Ratio', '  99.25%)']","[' 761      (Average', ' 768.81 Max', ' 1017 Sum', ' 585063 Ratio', '   0.75%)']", ,[' 98312   '],[' 4804    '],[' 90287   '],[' 36403   '],"[' 97985    (Atom=Atom', ' 27206 Body=Body', ' 17292 Other', ' 53487)']",[' Yes'],"[' 6651     (Eliminated', '    0 Frozen', ' 6651)']","[' 843      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.34729'],[' 0'], ,[' 733.32'],[' 0'],[' 20.7489'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.97373e+08'],[' 1.15098e+08'],[' 0'],[' 4.68445e+10'],[' 0'],[' 0'],[' 734 '],[' 1385 '],[' 2188 '],[' 2786 '],[' 3397 '],[' 5 '],[' 0 ']
Solving...,TA66, , , , ,[' 1'],[' 2789+'],[' 1400'],"[' 1001.742s (Solving', ' 995.47s 1st Model', ' 5.94s Unsat', ' 0.00s)']",[' 997.734s'], ,[' 91546634'],"[' 36751277 (Analyzed', ' 36604292)']","[' 65521    (Average', ' 558.67 Last', ' 258780)']",[' 3068.0  '],"[' 1400     (Average Length', ' 764.42 Splits', ' 0)']","[' 36604292 (Deleted', ' 36228770)']","[' 38       (Ratio', '   0.00%)']","[' 6464     (Ratio', '   0.02%)']","[' 36604292 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 36604292 (Average', '  2.39 Max', ' 4056 Sum', ' 87586622)']","[' 36603596 (Average', '  2.38 Max', ' 3643 Sum', ' 87046782 Ratio', '  99.38%)']","[' 696      (Average', ' 775.63 Max', ' 989 Sum', ' 539840 Ratio', '   0.62%)']", ,[' 99641   '],[' 4962    '],[' 91449   '],[' 37263   '],"[' 100424   (Atom=Atom', ' 27860 Body=Body', ' 17766 Other', ' 54798)']",[' Yes'],"[' 6841     (Eliminated', '    0 Frozen', ' 6841)']","[' 1171     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.43613'],[' 0'], ,[' 710.379'],[' 0'],[' 17.3527'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.17727e+08'],[' 1.22814e+08'],[' 0'],[' 4.54119e+10'],[' 0'],[' 0'],[' 822 '],[' 1404 '],[' 2122 '],[' 2766 '],[' 3545 '],[' 5 '],[' 0 ']
Solving...,TA67, , , , ,[' 1'],[' 2629+'],[' 1320'],"[' 1001.850s (Solving', ' 995.47s 1st Model', ' 5.84s Unsat', ' 0.00s)']",[' 997.969s'], ,[' 90798820'],"[' 32604619 (Analyzed', ' 32445767)']","[' 57344    (Average', ' 565.81 Last', ' 7859)']",[' 3008.6  '],"[' 1320     (Average Length', ' 735.42 Splits', ' 0)']","[' 32445767 (Deleted', ' 32155102)']","[' 49       (Ratio', '   0.00%)']","[' 7155     (Ratio', '   0.02%)']","[' 32445767 (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32445767 (Average', '  2.69 Max', ' 3455 Sum', ' 87118763)']","[' 32444983 (Average', '  2.67 Max', ' 3419 Sum', ' 86565299 Ratio', '  99.36%)']","[' 784      (Average', ' 705.95 Max', ' 921 Sum', ' 553464 Ratio', '   0.64%)']", ,[' 97960   '],[' 4882    '],[' 90168   '],[' 36263   '],"[' 98891    (Atom=Atom', ' 27460 Body=Body', ' 17526 Other', ' 53905)']",[' Yes'],"[' 6667     (Eliminated', '    0 Frozen', ' 6667)']","[' 1310     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.44865'],[' 0'], ,[' 728.006'],[' 0'],[' 20.5443'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.20279e+08'],[' 1.30131e+08'],[' 0'],[' 4.50104e+10'],[' 0'],[' 0'],[' 1014 '],[' 1729 '],[' 2200 '],[' 2823 '],[' 3525 '],[' 5 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 2595+'],[' 1303'],"[' 1001.706s (Solving', ' 995.62s 1st Model', ' 4.82s Unsat', ' 0.00s)']",[' 999.063s'], ,[' 87048716'],"[' 38653623 (Analyzed', ' 38491124)']","[' 68912    (Average', ' 558.55 Last', ' 227055)']",[' 3000.0  '],"[' 1303     (Average Length', ' 727.07 Splits', ' 0)']","[' 38491124 (Deleted', ' 38037359)']","[' 15       (Ratio', '   0.00%)']","[' 4758     (Ratio', '   0.01%)']","[' 38491124 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38491124 (Average', '  2.17 Max', ' 4331 Sum', ' 83435012)']","[' 38490316 (Average', '  2.15 Max', ' 3623 Sum', ' 82839468 Ratio', '  99.29%)']","[' 808      (Average', ' 737.06 Max', ' 957 Sum', ' 595544 Ratio', '   0.71%)']", ,[' 98196   '],[' 4804    '],[' 90087   '],[' 36343   '],"[' 97726    (Atom=Atom', ' 27131 Body=Body', ' 17292 Other', ' 53303)']",[' Yes'],"[' 6595     (Eliminated', '    0 Frozen', ' 6595)']","[' 677      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.31554'],[' 0'], ,[' 701.708'],[' 0'],[' 17.7727'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.02917e+08'],[' 1.0878e+08'],[' 0'],[' 4.48971e+10'],[' 0'],[' 0'],[' 809 '],[' 1509 '],[' 2110 '],[' 2872 '],[' 3557 '],[' 5 '],[' 0 ']
Solving...,TA69, , , , ,[' 1'],[' 2591+'],[' 1301'],"[' 1001.970s (Solving', ' 995.92s 1st Model', ' 6.03s Unsat', ' 0.02s)']",[' 997.391s'], ,[' 81085735'],"[' 34246449 (Analyzed', ' 34117778)']","[' 60602    (Average', ' 562.98 Last', ' 14845)']",[' 2944.3  '],"[' 1301     (Average Length', ' 722.28 Splits', ' 0)']","[' 34117778 (Deleted', ' 33772176)']","[' 22       (Ratio', '   0.00%)']","[' 5490     (Ratio', '   0.02%)']","[' 34117778 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34117778 (Average', '  2.27 Max', ' 4223 Sum', ' 77553663)']","[' 34117076 (Average', '  2.26 Max', ' 3518 Sum', ' 77013757 Ratio', '  99.30%)']","[' 702      (Average', ' 769.10 Max', ' 936 Sum', ' 539906 Ratio', '   0.70%)']", ,[' 98152   '],[' 4814    '],[' 90166   '],[' 36263   '],"[' 97876    (Atom=Atom', ' 27169 Body=Body', ' 17322 Other', ' 53385)']",[' Yes'],"[' 6611     (Eliminated', '    0 Frozen', ' 6611)']","[' 1018     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.35351'],[' 0'], ,[' 719.309'],[' 0'],[' 18.1739'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.93357e+08'],[' 1.02699e+08'],[' 0'],[' 4.3425e+10'],[' 0'],[' 0'],[' 905 '],[' 1666 '],[' 2359 '],[' 2929 '],[' 3732 '],[' 5 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 2473+'],[' 1242'],"[' 1001.888s (Solving', ' 996.02s 1st Model', ' 5.49s Unsat', ' 0.00s)']",[' 999.438s'], ,[' 91679169'],"[' 35570164 (Analyzed', ' 35440790)']","[' 66121    (Average', ' 536.00 Last', ' 10995)']",[' 2908.0  '],"[' 1242     (Average Length', ' 701.80 Splits', ' 0)']","[' 35440790 (Deleted', ' 35065464)']","[' 43       (Ratio', '   0.00%)']","[' 7502     (Ratio', '   0.02%)']","[' 35440790 (Average Length', '   14.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35440790 (Average', '  2.49 Max', ' 3724 Sum', ' 88235484)']","[' 35440015 (Average', '  2.47 Max', ' 3474 Sum', ' 87663661 Ratio', '  99.35%)']","[' 775      (Average', ' 737.84 Max', ' 883 Sum', ' 571823 Ratio', '   0.65%)']", ,[' 98826   '],[' 4905    '],[' 90708   '],[' 36697   '],"[' 99141    (Atom=Atom', ' 27474 Body=Body', ' 17595 Other', ' 54072)']",[' Yes'],"[' 6663     (Eliminated', '    0 Frozen', ' 6663)']","[' 1199     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26079'],[' 0'], ,[' 715.134'],[' 0'],[' 17.9169'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.30953e+08'],[' 1.3443e+08'],[' 0'],[' 4.4934e+10'],[' 0'],[' 0'],[' 791 '],[' 1504 '],[' 2283 '],[' 2957 '],[' 3694 '],[' 5 '],[' 0 ']
