Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 1'],[' 1221+'],[' 617'],"[' 987.935s (Solving', ' 985.50s 1st Model', ' 1.56s Unsat', ' 152.66s)']",[' 983.719s'], ,[' 73643776'],"[' 45238630 (Analyzed', ' 45201706)']","[' 82768    (Average', ' 546.13 Last', ' 412334)']",[' 1816.5  '],"[' 617      (Average Length', ' 382.21 Splits', ' 0)']","[' 45201706 (Deleted', ' 44695736)']","[' 9        (Ratio', '   0.00%)']","[' 3922     (Ratio', '   0.01%)']","[' 45201706 (Average Length', '   13.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45201706 (Average', '  1.58 Max', ' 2370 Sum', ' 71540674)']","[' 45201208 (Average', '  1.58 Max', ' 2270 Sum', ' 71350447 Ratio', '  99.73%)']","[' 498      (Average', ' 381.98 Max', ' 494 Sum', ' 190227 Ratio', '   0.27%)']", ,[' 68429   '],[' 3089    '],[' 62826   '],[' 23943   '],"[' 64027    (Atom=Atom', ' 18104 Body=Body', ' 11467 Other', ' 34456)']",[' Yes'],"[' 4186     (Eliminated', '    0 Frozen', ' 4186)']","[' 697      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.498761'],[' 0'], ,[' 659.659'],[' 0'],[' 16.4011'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.79607e+08'],[' 7.62041e+07'],[' 0'],[' 3.98861e+10'],[' 0'],[' 0'],[' 734 '],[' 1261 '],[' 1890 '],[' 2498 '],[' 2863 '],[' 3591 '],[' 5 '],[' 1 ']
Solving...,TA52, , , , ,[' 1'],[' 1079+'],[' 546'],"[' 880.091s (Solving', ' 877.75s 1st Model', ' 1.65s Unsat', ' 44.15s)']",[' 877.703s'], ,[' 70321378'],"[' 41777876 (Analyzed', ' 41741671)']","[' 75848    (Average', ' 550.33 Last', ' 411597)']",[' 1873.7  '],"[' 546      (Average Length', ' 340.63 Splits', ' 0)']","[' 41741671 (Deleted', ' 41292542)']","[' 7        (Ratio', '   0.00%)']","[' 3464     (Ratio', '   0.01%)']","[' 41741671 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 41741671 (Average', '  1.64 Max', ' 2306 Sum', ' 68310640)']","[' 41741217 (Average', '  1.63 Max', ' 2306 Sum', ' 68165100 Ratio', '  99.79%)']","[' 454      (Average', ' 320.57 Max', ' 428 Sum', ' 145540 Ratio', '   0.21%)']", ,[' 68080   '],[' 3072    '],[' 62587   '],[' 23600   '],"[' 63592    (Atom=Atom', ' 17965 Body=Body', ' 11416 Other', ' 34211)']",[' Yes'],"[' 4091     (Eliminated', '    0 Frozen', ' 4091)']","[' 583      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.476122'],[' 0'], ,[' 586.449'],[' 0'],[' 14.9654'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.74823e+08'],[' 7.76028e+07'],[' 0'],[' 3.51911e+10'],[' 0'],[' 0'],[' 814 '],[' 1455 '],[' 1941 '],[' 2355 '],[' 2946 '],[' 3476 '],[' 5 '],[' 1 ']
Solving...,TA53, , , , ,[' 1'],[' 1027+'],[' 520'],"[' 725.816s (Solving', ' 723.73s 1st Model', ' 1.52s Unsat', ' 56.04s)']",[' 724.766s'], ,[' 68153101'],"[' 34819270 (Analyzed', ' 34778355)']","[' 63836    (Average', ' 544.81 Last', ' 152919)']",[' 1770.7  '],"[' 520      (Average Length', ' 329.52 Splits', ' 0)']","[' 34778355 (Deleted', ' 34410684)']","[' 21       (Ratio', '   0.00%)']","[' 4171     (Ratio', '   0.01%)']","[' 34778355 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34778355 (Average', '  1.91 Max', ' 2453 Sum', ' 66418718)']","[' 34777871 (Average', '  1.91 Max', ' 2283 Sum', ' 66255042 Ratio', '  99.75%)']","[' 484      (Average', ' 338.17 Max', ' 464 Sum', ' 163676 Ratio', '   0.25%)']", ,[' 68243   '],[' 3087    '],[' 62599   '],[' 23802   '],"[' 63684    (Atom=Atom', ' 17999 Body=Body', ' 11461 Other', ' 34224)']",[' Yes'],"[' 4088     (Eliminated', '    0 Frozen', ' 4088)']","[' 630      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.412433'],[' 0'], ,[' 484.405'],[' 0'],[' 10.197'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.6236e+08'],[' 7.58767e+07'],[' 0'],[' 2.99844e+10'],[' 0'],[' 0'],[' 696 '],[' 1233 '],[' 1630 '],[' 2313 '],[' 3059 '],[' 3581 '],[' 4 '],[' 2 ']
Solving...,TA54, , , , , ,[' 1295'],[' 654'],"[' 838.544s (Solving', ' 835.97s 1st Model', ' 1.52s Unsat', ' 0.03s)']",[' 836.516s'], ,[' 77849347'],"[' 45727085 (Analyzed', ' 45686186)']","[' 81788    (Average', ' 558.59 Last', ' 84175)']",[' 1781.4  '],"[' 654      (Average Length', ' 385.34 Splits', ' 0)']","[' 45686186 (Deleted', ' 45241712)']","[' 17       (Ratio', '   0.00%)']","[' 3148     (Ratio', '   0.01%)']","[' 45686186 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45686186 (Average', '  1.66 Max', ' 2181 Sum', ' 75736467)']","[' 45685616 (Average', '  1.65 Max', ' 2181 Sum', ' 75518015 Ratio', '  99.71%)']","[' 570      (Average', ' 383.25 Max', ' 525 Sum', ' 218452 Ratio', '   0.29%)']", ,[' 68086   '],[' 3025    '],[' 62558   '],[' 23674   '],"[' 63230    (Atom=Atom', ' 17885 Body=Body', ' 11275 Other', ' 34070)']",[' Yes'],"[' 4149     (Eliminated', '    0 Frozen', ' 4149)']","[' 584      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.529532'],[' 0'], ,[' 523.31'],[' 0'],[' 12.4277'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.89596e+08'],[' 8.29175e+07'],[' 0'],[' 3.12572e+10'],[' 0'],[' 0'],[' 654 '],[' 1228 '],[' 1744 '],[' 2320 '],[' 2883 '],[' 3296 '],[' 5 '],[' 1 ']
Solving...,TA55, , , , ,[' 1'],[' 1081+'],[' 547'],"[' 873.300s (Solving', ' 871.05s 1st Model', ' 1.35s Unsat', ' 37.56s)']",[' 870.594s'], ,[' 71837517'],"[' 45652824 (Analyzed', ' 45607807)']","[' 84159    (Average', ' 541.92 Last', ' 112973)']",[' 1757.4  '],"[' 547      (Average Length', ' 350.62 Splits', ' 0)']","[' 45607807 (Deleted', ' 45060878)']","[' 4        (Ratio', '   0.00%)']","[' 2751     (Ratio', '   0.01%)']","[' 45607807 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45607807 (Average', '  1.53 Max', ' 2632 Sum', ' 69891759)']","[' 45607237 (Average', '  1.53 Max', ' 2209 Sum', ' 69683768 Ratio', '  99.70%)']","[' 570      (Average', ' 364.90 Max', ' 470 Sum', ' 207991 Ratio', '   0.30%)']", ,[' 67821   '],[' 3029    '],[' 62292   '],[' 23469   '],"[' 62923    (Atom=Atom', ' 17794 Body=Body', ' 11287 Other', ' 33842)']",[' Yes'],"[' 4053     (Eliminated', '    0 Frozen', ' 4053)']","[' 395      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.442796'],[' 0'], ,[' 557.789'],[' 0'],[' 12.1074'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72628e+08'],[' 6.60595e+07'],[' 0'],[' 3.32943e+10'],[' 0'],[' 0'],[' 769 '],[' 1311 '],[' 1919 '],[' 2336 '],[' 2955 '],[' 3570 '],[' 5 '],[' 1 ']
Solving...,TA56, , , , ,[' 1'],[' 869+'],[' 441'],"[' 1000.771s (Solving', ' 998.81s 1st Model', ' 1.38s Unsat', ' 0.00s)']",[' 997.734s'], ,[' 78784242'],"[' 48673695 (Analyzed', ' 48642925)']","[' 89117    (Average', ' 545.83 Last', ' 212627)']",[' 1825.9  '],"[' 441      (Average Length', ' 294.32 Splits', ' 0)']","[' 48642925 (Deleted', ' 48141805)']","[' 3        (Ratio', '   0.00%)']","[' 3645     (Ratio', '   0.01%)']","[' 48642925 (Average Length', '   14.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 48642925 (Average', '  1.58 Max', ' 2649 Sum', ' 76667170)']","[' 48642426 (Average', '  1.57 Max', ' 2323 Sum', ' 76526316 Ratio', '  99.82%)']","[' 499      (Average', ' 282.27 Max', ' 371 Sum', ' 140854 Ratio', '   0.18%)']", ,[' 67659   '],[' 3101    '],[' 62196   '],[' 23455   '],"[' 63698    (Atom=Atom', ' 17976 Body=Body', ' 11503 Other', ' 34219)']",[' Yes'],"[' 4023     (Eliminated', '    0 Frozen', ' 4023)']","[' 563      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.385899'],[' 0'], ,[' 667.734'],[' 0'],[' 16.2589'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94314e+08'],[' 8.15549e+07'],[' 0'],[' 4.00011e+10'],[' 0'],[' 0'],[' 917 '],[' 1536 '],[' 1997 '],[' 2540 '],[' 3010 '],[' 3674 '],[' 6 '],[' 0 ']
Solving...,TA57, , , , , ,[' 1051'],[' 532'],"[' 838.290s (Solving', ' 836.08s 1st Model', ' 1.28s Unsat', ' 0.89s)']",[' 836.703s'], ,[' 69581205'],"[' 47199884 (Analyzed', ' 47159701)']","[' 85384    (Average', ' 552.32 Last', ' 618190)']",[' 1818.3  '],"[' 532      (Average Length', ' 332.91 Splits', ' 0)']","[' 47159701 (Deleted', ' 46615166)']","[' 15       (Ratio', '   0.00%)']","[' 2453     (Ratio', '   0.01%)']","[' 47159701 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 47159701 (Average', '  1.43 Max', ' 2648 Sum', ' 67633256)']","[' 47159169 (Average', '  1.43 Max', ' 2266 Sum', ' 67458962 Ratio', '  99.74%)']","[' 532      (Average', ' 327.62 Max', ' 433 Sum', ' 174294 Ratio', '   0.26%)']", ,[' 67878   '],[' 3005    '],[' 62257   '],[' 23449   '],"[' 62507    (Atom=Atom', ' 17683 Body=Body', ' 11215 Other', ' 33609)']",[' Yes'],"[' 4017     (Eliminated', '    0 Frozen', ' 4017)']","[' 477      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.451087'],[' 0'], ,[' 502.275'],[' 0'],[' 10.7612'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76033e+08'],[' 6.68336e+07'],[' 0'],[' 2.9745e+10'],[' 0'],[' 0'],[' 884 '],[' 1397 '],[' 1981 '],[' 2394 '],[' 3045 '],[' 3461 '],[' 5 '],[' 1 ']
Solving...,TA58, , , , , ,[' 1239'],[' 626'],"[' 838.144s (Solving', ' 835.67s 1st Model', ' 1.54s Unsat', ' 0.16s)']",[' 835.984s'], ,[' 74497696'],"[' 45850291 (Analyzed', ' 45800195)']","[' 84875    (Average', ' 539.62 Last', ' 30671)']",[' 1732.4  '],"[' 626      (Average Length', ' 376.20 Splits', ' 0)']","[' 45800195 (Deleted', ' 45303229)']","[' 13       (Ratio', '   0.00%)']","[' 2628     (Ratio', '   0.01%)']","[' 45800195 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 45800195 (Average', '  1.58 Max', ' 2354 Sum', ' 72504732)']","[' 45799682 (Average', '  1.58 Max', ' 2205 Sum', ' 72295831 Ratio', '  99.71%)']","[' 513      (Average', ' 407.21 Max', ' 532 Sum', ' 208901 Ratio', '   0.29%)']", ,[' 67956   '],[' 3004    '],[' 62501   '],[' 23484   '],"[' 62782    (Atom=Atom', ' 17773 Body=Body', ' 11212 Other', ' 33797)']",[' Yes'],"[' 4110     (Eliminated', '    0 Frozen', ' 4110)']","[' 526      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.492548'],[' 0'], ,[' 507.637'],[' 0'],[' 11.9442'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.86183e+08'],[' 8.03892e+07'],[' 0'],[' 3.04488e+10'],[' 0'],[' 0'],[' 619 '],[' 1275 '],[' 1830 '],[' 2425 '],[' 3109 '],[' 3564 '],[' 5 '],[' 1 ']
Solving...,TA59, , , , ,[' 1'],[' 963+'],[' 488'],"[' 1000.819s (Solving', ' 998.79s 1st Model', ' 1.32s Unsat', ' 0.00s)']",[' 998.188s'], ,[' 77787681'],"[' 46078418 (Analyzed', ' 46038917)']","[' 81584    (Average', ' 564.31 Last', ' 252434)']",[' 1722.2  '],"[' 488      (Average Length', ' 317.61 Splits', ' 0)']","[' 46038917 (Deleted', ' 45560411)']","[' 5        (Ratio', '   0.00%)']","[' 4169     (Ratio', '   0.01%)']","[' 46038917 (Average Length', '   13.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 46038917 (Average', '  1.65 Max', ' 2528 Sum', ' 75840513)']","[' 46038416 (Average', '  1.64 Max', ' 2258 Sum', ' 75673102 Ratio', '  99.78%)']","[' 501      (Average', ' 334.15 Max', ' 435 Sum', ' 167411 Ratio', '   0.22%)']", ,[' 68161   '],[' 3052    '],[' 62469   '],[' 23668   '],"[' 63053    (Atom=Atom', ' 17827 Body=Body', ' 11356 Other', ' 33870)']",[' Yes'],"[' 4029     (Eliminated', '    0 Frozen', ' 4029)']","[' 740      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.393068'],[' 0'], ,[' 678.148'],[' 0'],[' 18.2517'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92289e+08'],[' 8.72431e+07'],[' 0'],[' 4.2251e+10'],[' 0'],[' 0'],[' 659 '],[' 1175 '],[' 1717 '],[' 2316 '],[' 2858 '],[' 3420 '],[' 6 '],[' 0 ']
Solving...,TA60, , , , , ,[' 1533'],[' 773'],"[' 554.602s (Solving', ' 551.60s 1st Model', ' 2.14s Unsat', ' 45.76s)']",[' 551.484s'], ,[' 45173877'],"[' 30388706 (Analyzed', ' 30326406)']","[' 57556    (Average', ' 526.90 Last', ' 110992)']",[' 2013.0  '],"[' 773      (Average Length', ' 446.62 Splits', ' 0)']","[' 30326406 (Deleted', ' 29945220)']","[' 27       (Ratio', '   0.00%)']","[' 2222     (Ratio', '   0.01%)']","[' 30326406 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30326406 (Average', '  1.43 Max', ' 2645 Sum', ' 43272651)']","[' 30326006 (Average', '  1.42 Max', ' 2397 Sum', ' 43094541 Ratio', '  99.59%)']","[' 400      (Average', ' 445.27 Max', ' 573 Sum', ' 178110 Ratio', '   0.41%)']", ,[' 68652   '],[' 3036    '],[' 63129   '],[' 23986   '],"[' 63730    (Atom=Atom', ' 18048 Body=Body', ' 11308 Other', ' 34374)']",[' Yes'],"[' 4262     (Eliminated', '    0 Frozen', ' 4262)']","[' 377      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.631539'],[' 0'], ,[' 330.828'],[' 0'],[' 7.24138'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.17068e+08'],[' 4.81961e+07'],[' 0'],[' 1.8762e+10'],[' 0'],[' 0'],[' 647 '],[' 1152 '],[' 1698 '],[' 2190 '],[' 2772 '],[' 3214 '],[' 3 '],[' 3 ']
