Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 2239'],[' 1126'],"[' 688.713s (Solving', ' 683.29s 1st Model', ' 4.08s Unsat', ' 169.46s)']",[' 686.828s'], ,[' 56498725'],"[' 26633969 (Analyzed', ' 26520068)']","[' 49293    (Average', ' 538.01 Last', ' 19110)']",[' 2623.3  '],"[' 1126     (Average Length', ' 632.66 Splits', ' 0)']","[' 26520068 (Deleted', ' 26197588)']","[' 30       (Ratio', '   0.00%)']","[' 3138     (Ratio', '   0.01%)']","[' 26520068 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26520068 (Average', '  2.02 Max', ' 3673 Sum', ' 53682116)']","[' 26519468 (Average', '  2.01 Max', ' 3148 Sum', ' 53327938 Ratio', '  99.34%)']","[' 600      (Average', ' 590.30 Max', ' 868 Sum', ' 354178 Ratio', '   0.66%)']", ,[' 91655   '],[' 4047    '],[' 84372   '],[' 32054   '],"[' 85196    (Atom=Atom', ' 24170 Body=Body', ' 15080 Other', ' 45946)']",[' Yes'],"[' 5731     (Eliminated', '    0 Frozen', ' 5731)']","[' 476      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.18186'],[' 0'], ,[' 479.446'],[' 0'],[' 11.892'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.30617e+08'],[' 6.59188e+07'],[' 0'],[' 2.73965e+10'],[' 0'],[' 0'],[' 832 '],[' 1351 '],[' 2103 '],[' 2406 '],[' 2943 '],[' 3586 '],[' 3 '],[' 3 ']
Solving...,TA62, , , , , ,[' 2381'],[' 1197'],"[' 860.589s (Solving', ' 854.57s 1st Model', ' 4.58s Unsat', ' 15.92s)']",[' 858.156s'], ,[' 64117936'],"[' 34706747 (Analyzed', ' 34570780)']","[' 66138    (Average', ' 522.71 Last', ' 420313)']",[' 2760.0  '],"[' 1197     (Average Length', ' 662.76 Splits', ' 0)']","[' 34570780 (Deleted', ' 34170563)']","[' 23       (Ratio', '   0.00%)']","[' 3166     (Ratio', '   0.01%)']","[' 34570780 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34570780 (Average', '  1.76 Max', ' 3609 Sum', ' 60931256)']","[' 34570134 (Average', '  1.75 Max', ' 3226 Sum', ' 60505391 Ratio', '  99.30%)']","[' 646      (Average', ' 659.23 Max', ' 862 Sum', ' 425865 Ratio', '   0.70%)']", ,[' 92902   '],[' 4170    '],[' 85513   '],[' 32848   '],"[' 87445    (Atom=Atom', ' 24733 Body=Body', ' 15449 Other', ' 47263)']",[' Yes'],"[' 5932     (Eliminated', '    0 Frozen', ' 5932)']","[' 625      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.31848'],[' 0'], ,[' 581.672'],[' 0'],[' 13.3032'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56812e+08'],[' 7.68461e+07'],[' 0'],[' 3.24541e+10'],[' 0'],[' 0'],[' 835 '],[' 1424 '],[' 1973 '],[' 2445 '],[' 3031 '],[' 3606 '],[' 5 '],[' 1 ']
Solving...,TA63, , , , ,[' 1'],[' 2137+'],[' 1075'],"[' 657.002s (Solving', ' 651.77s 1st Model', ' 4.00s Unsat', ' 142.45s)']",[' 656.109s'], ,[' 48326761'],"[' 23307305 (Analyzed', ' 23192448)']","[' 42125    (Average', ' 550.56 Last', ' 238903)']",[' 2709.5  '],"[' 1075     (Average Length', ' 608.49 Splits', ' 0)']","[' 23192448 (Deleted', ' 22925248)']","[' 12       (Ratio', '   0.00%)']","[' 3229     (Ratio', '   0.01%)']","[' 23192448 (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23192448 (Average', '  1.97 Max', ' 4081 Sum', ' 45604608)']","[' 23191920 (Average', '  1.95 Max', ' 3300 Sum', ' 45300629 Ratio', '  99.33%)']","[' 528      (Average', ' 575.72 Max', ' 808 Sum', ' 303979 Ratio', '   0.67%)']", ,[' 91710   '],[' 4106    '],[' 84503   '],[' 32114   '],"[' 85977    (Atom=Atom', ' 24355 Body=Body', ' 15257 Other', ' 46365)']",[' Yes'],"[' 5746     (Eliminated', '    0 Frozen', ' 5746)']","[' 472      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.16371'],[' 0'], ,[' 463.413'],[' 0'],[' 11.6602'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.13963e+08'],[' 5.84079e+07'],[' 0'],[' 2.54607e+10'],[' 0'],[' 0'],[' 863 '],[' 1365 '],[' 1751 '],[' 2207 '],[' 2986 '],[' 3436 '],[' 3 '],[' 3 ']
Solving...,TA64, , , , ,[' 1'],[' 2063+'],[' 1038'],"[' 838.618s (Solving', ' 833.24s 1st Model', ' 3.63s Unsat', ' 0.01s)']",[' 834.875s'], ,[' 58217551'],"[' 30778636 (Analyzed', ' 30670351)']","[' 57617    (Average', ' 532.31 Last', ' 67432)']",[' 2612.2  '],"[' 1038     (Average Length', ' 610.21 Splits', ' 0)']","[' 30670351 (Deleted', ' 30316542)']","[' 10       (Ratio', '   0.00%)']","[' 3045     (Ratio', '   0.01%)']","[' 30670351 (Average Length', '   13.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30670351 (Average', '  1.81 Max', ' 3157 Sum', ' 55440547)']","[' 30669745 (Average', '  1.80 Max', ' 3157 Sum', ' 55078681 Ratio', '  99.35%)']","[' 606      (Average', ' 597.14 Max', ' 813 Sum', ' 361866 Ratio', '   0.65%)']", ,[' 91371   '],[' 4041    '],[' 84061   '],[' 31889   '],"[' 84835    (Atom=Atom', ' 24058 Body=Body', ' 15062 Other', ' 45715)']",[' Yes'],"[' 5656     (Eliminated', '    0 Frozen', ' 5656)']","[' 603      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.17592'],[' 0'], ,[' 590.871'],[' 0'],[' 12.9743'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.45323e+08'],[' 6.9035e+07'],[' 0'],[' 3.41556e+10'],[' 0'],[' 0'],[' 874 '],[' 1313 '],[' 1984 '],[' 2333 '],[' 2952 '],[' 3490 '],[' 5 '],[' 1 ']
Solving...,TA65, , , , , ,[' 2127'],[' 1070'],"[' 841.252s (Solving', ' 836.02s 1st Model', ' 4.35s Unsat', ' 163.56s)']",[' 839.641s'], ,[' 48321070'],"[' 27929581 (Analyzed', ' 27822039)']","[' 54191    (Average', ' 513.41 Last', ' 151318)']",[' 2573.0  '],"[' 1070     (Average Length', ' 614.57 Splits', ' 0)']","[' 27822039 (Deleted', ' 27501861)']","[' 58       (Ratio', '   0.00%)']","[' 3004     (Ratio', '   0.01%)']","[' 27822039 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27822039 (Average', '  1.65 Max', ' 3684 Sum', ' 45825121)']","[' 27821398 (Average', '  1.63 Max', ' 3236 Sum', ' 45434238 Ratio', '  99.15%)']","[' 641      (Average', ' 609.80 Max', ' 844 Sum', ' 390883 Ratio', '   0.85%)']", ,[' 92101   '],[' 4115    '],[' 84700   '],[' 32395   '],"[' 86097    (Atom=Atom', ' 24386 Body=Body', ' 15284 Other', ' 46427)']",[' Yes'],"[' 5775     (Eliminated', '    0 Frozen', ' 5775)']","[' 427      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.11455'],[' 0'], ,[' 611.906'],[' 0'],[' 13.8386'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.24685e+08'],[' 5.79718e+07'],[' 0'],[' 3.61282e+10'],[' 0'],[' 0'],[' 610 '],[' 1181 '],[' 1818 '],[' 2396 '],[' 2942 '],[' 3385 '],[' 4 '],[' 2 ']
Solving...,TA66, , , , ,[' 1'],[' 2543+'],[' 1278'],"[' 826.287s (Solving', ' 820.28s 1st Model', ' 4.47s Unsat', ' 148.84s)']",[' 824.641s'], ,[' 61894015'],"[' 26928628 (Analyzed', ' 26786900)']","[' 51293    (Average', ' 522.23 Last', ' 74109)']",[' 2601.0  '],"[' 1278     (Average Length', ' 703.72 Splits', ' 0)']","[' 26786900 (Deleted', ' 26498496)']","[' 38       (Ratio', '   0.00%)']","[' 4929     (Ratio', '   0.02%)']","[' 26786900 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26786900 (Average', '  2.20 Max', ' 3435 Sum', ' 59011590)']","[' 26786339 (Average', '  2.19 Max', ' 3078 Sum', ' 58600701 Ratio', '  99.30%)']","[' 561      (Average', ' 732.42 Max', ' 973 Sum', ' 410889 Ratio', '   0.70%)']", ,[' 92526   '],[' 4116    '],[' 85172   '],[' 32678   '],"[' 86811    (Atom=Atom', ' 24598 Body=Body', ' 15287 Other', ' 46926)']",[' Yes'],"[' 5925     (Eliminated', '    0 Frozen', ' 5925)']","[' 872      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.32524'],[' 0'], ,[' 592.275'],[' 0'],[' 14.1346'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.51383e+08'],[' 8.48148e+07'],[' 0'],[' 3.46666e+10'],[' 0'],[' 0'],[' 675 '],[' 1213 '],[' 1772 '],[' 2354 '],[' 2795 '],[' 3573 '],[' 4 '],[' 2 ']
Solving...,TA67, , , , ,[' 1'],[' 2283+'],[' 1148'],"[' 1001.880s (Solving', ' 996.19s 1st Model', ' 4.35s Unsat', ' 0.00s)']",[' 997.813s'], ,[' 73570675'],"[' 35424238 (Analyzed', ' 35326760)']","[' 64948    (Average', ' 543.92 Last', ' 205771)']",[' 2623.7  '],"[' 1148     (Average Length', ' 655.51 Splits', ' 0)']","[' 35326760 (Deleted', ' 34949017)']","[' 12       (Ratio', '   0.00%)']","[' 4482     (Ratio', '   0.01%)']","[' 35326760 (Average Length', '   14.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 35326760 (Average', '  2.00 Max', ' 3831 Sum', ' 70491214)']","[' 35326144 (Average', '  1.98 Max', ' 3112 Sum', ' 70123313 Ratio', '  99.48%)']","[' 616      (Average', ' 597.24 Max', ' 873 Sum', ' 367901 Ratio', '   0.52%)']", ,[' 91783   '],[' 4141    '],[' 84712   '],[' 32210   '],"[' 86709    (Atom=Atom', ' 24568 Body=Body', ' 15362 Other', ' 46779)']",[' Yes'],"[' 5846     (Eliminated', '    0 Frozen', ' 5846)']","[' 824      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.26234'],[' 0'], ,[' 712.184'],[' 0'],[' 18.1123'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.84406e+08'],[' 9.50833e+07'],[' 0'],[' 4.23107e+10'],[' 0'],[' 0'],[' 904 '],[' 1667 '],[' 1955 '],[' 2494 '],[' 2965 '],[' 3575 '],[' 6 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 2239+'],[' 1126'],"[' 680.905s (Solving', ' 675.56s 1st Model', ' 4.04s Unsat', ' 169.49s)']",[' 679.234s'], ,[' 40862100'],"[' 22113323 (Analyzed', ' 22012729)']","[' 42770    (Average', ' 514.68 Last', ' 35658)']",[' 2589.4  '],"[' 1126     (Average Length', ' 623.80 Splits', ' 0)']","[' 22012729 (Deleted', ' 21750565)']","[' 21       (Ratio', '   0.00%)']","[' 2771     (Ratio', '   0.01%)']","[' 22012729 (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22012729 (Average', '  1.74 Max', ' 3723 Sum', ' 38384621)']","[' 22012113 (Average', '  1.72 Max', ' 3186 Sum', ' 37961558 Ratio', '  98.90%)']","[' 616      (Average', ' 686.79 Max', ' 872 Sum', ' 423063 Ratio', '   1.10%)']", ,[' 91818   '],[' 4073    '],[' 84513   '],[' 32235   '],"[' 85674    (Atom=Atom', ' 24274 Body=Body', ' 15158 Other', ' 46242)']",[' Yes'],"[' 5786     (Eliminated', '    0 Frozen', ' 5786)']","[' 360      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.18662'],[' 0'], ,[' 495.017'],[' 0'],[' 10.9648'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.92322e+07'],[' 4.65933e+07'],[' 0'],[' 2.96814e+10'],[' 0'],[' 0'],[' 592 '],[' 1348 '],[' 1921 '],[' 2403 '],[' 2982 '],[' 3525 '],[' 3 '],[' 3 ']
Solving...,TA69, , , , ,[' 1'],[' 2057+'],[' 1035'],"[' 1001.649s (Solving', ' 996.60s 1st Model', ' 3.43s Unsat', ' 0.00s)']",[' 998.219s'], ,[' 67030922'],"[' 38943672 (Analyzed', ' 38820499)']","[' 71458    (Average', ' 543.26 Last', ' 559309)']",[' 2529.8  '],"[' 1035     (Average Length', ' 593.21 Splits', ' 0)']","[' 38820499 (Deleted', ' 38355363)']","[' 6        (Ratio', '   0.00%)']","[' 3282     (Ratio', '   0.01%)']","[' 38820499 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 38820499 (Average', '  1.66 Max', ' 3499 Sum', ' 64260717)']","[' 38819868 (Average', '  1.65 Max', ' 3116 Sum', ' 63869902 Ratio', '  99.39%)']","[' 631      (Average', ' 619.36 Max', ' 791 Sum', ' 390815 Ratio', '   0.61%)']", ,[' 91568   '],[' 4067    '],[' 84308   '],[' 31982   '],"[' 85368    (Atom=Atom', ' 24159 Body=Body', ' 15140 Other', ' 46069)']",[' Yes'],"[' 5699     (Eliminated', '    0 Frozen', ' 5699)']","[' 551      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.08373'],[' 0'], ,[' 692.152'],[' 0'],[' 16.02'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.67389e+08'],[' 7.53346e+07'],[' 0'],[' 3.97003e+10'],[' 0'],[' 0'],[' 789 '],[' 1412 '],[' 2108 '],[' 2640 '],[' 2958 '],[' 3707 '],[' 6 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 2073+'],[' 1043'],"[' 841.084s (Solving', ' 836.01s 1st Model', ' 3.79s Unsat', ' 0.01s)']",[' 839.531s'], ,[' 67182506'],"[' 33205358 (Analyzed', ' 33115400)']","[' 59584    (Average', ' 555.78 Last', ' 26004)']",[' 2474.8  '],"[' 1043     (Average Length', ' 608.34 Splits', ' 0)']","[' 33115400 (Deleted', ' 32746587)']","[' 11       (Ratio', '   0.00%)']","[' 3389     (Ratio', '   0.01%)']","[' 33115400 (Average Length', '   13.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33115400 (Average', '  1.95 Max', ' 3471 Sum', ' 64544518)']","[' 33114717 (Average', '  1.94 Max', ' 3105 Sum', ' 64154720 Ratio', '  99.40%)']","[' 683      (Average', ' 570.71 Max', ' 848 Sum', ' 389798 Ratio', '   0.60%)']", ,[' 91961   '],[' 4107    '],[' 84607   '],[' 32293   '],"[' 85985    (Atom=Atom', ' 24327 Body=Body', ' 15260 Other', ' 46398)']",[' Yes'],"[' 5750     (Eliminated', '    0 Frozen', ' 5750)']","[' 645      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09535'],[' 0'], ,[' 582.294'],[' 0'],[' 14.5568'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.65454e+08'],[' 8.60207e+07'],[' 0'],[' 3.51874e+10'],[' 0'],[' 0'],[' 660 '],[' 1301 '],[' 2012 '],[' 2461 '],[' 3044 '],[' 3741 '],[' 5 '],[' 1 ']
