Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 4403+'],[' 2209'],"[' 1011.594s (Solving', ' 976.26s 1st Model', ' 45.52s Unsat', ' 0.00s)']",[' 1005.531s'], ,[' 184123353'],"[' 15842974 (Analyzed', ' 15506770)']","[' 30061    (Average', ' 515.84 Last', ' 38750)']",[' 7509.1  '],"[' 2209     (Average Length', ' 1216.73 Splits', ' 0)']","[' 15506770 (Deleted', ' 15344464)']","[' 25       (Ratio', '   0.00%)']","[' 21191    (Ratio', '   0.14%)']","[' 15506770 (Average Length', '   22.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15506770 (Average', ' 11.10 Max', ' 9954 Sum', ' 172096877)']","[' 15504074 (Average', ' 10.90 Max', ' 9954 Sum', ' 168973676 Ratio', '  98.19%)']","[' 2696     (Average', ' 1158.46 Max', ' 1581 Sum', ' 3123201 Ratio', '   1.81%)']", ,[' 296783  '],[' 14357   '],[' 269795  '],[' 101902  '],"[' 267968   (Atom=Atom', ' 73659 Body=Body', ' 48911 Other', ' 145398)']",[' Yes'],"[' 17793    (Eliminated', '    0 Frozen', ' 17793)']","[' 3781     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.97007'],[' 0'], ,[' 644.174'],[' 0'],[' 21.9365'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.87826e+08'],[' 2.2609e+08'],[' 0'],[' 3.3342e+10'],[' 0'],[' 0'],[' 1148 '],[' 2554 '],[' 3592 '],[' 3852 '],[' 4967 '],[' 5818 '],[' 6450 '],[' 7 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 4353+'],[' 2184'],"[' 1009.390s (Solving', ' 980.48s 1st Model', ' 33.43s Unsat', ' 0.00s)']",[' 1003.328s'], ,[' 150538952'],"[' 20563249 (Analyzed', ' 20141399)']","[' 38806    (Average', ' 519.03 Last', ' 310797)']",[' 7579.4  '],"[' 2184     (Average Length', ' 1223.65 Splits', ' 0)']","[' 20141399 (Deleted', ' 19943270)']","[' 28       (Ratio', '   0.00%)']","[' 13109    (Ratio', '   0.07%)']","[' 20141399 (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20141399 (Average', '  6.87 Max', ' 10417 Sum', ' 138335586)']","[' 20138741 (Average', '  6.72 Max', ' 10353 Sum', ' 135262852 Ratio', '  97.78%)']","[' 2658     (Average', ' 1156.03 Max', ' 1641 Sum', ' 3072734 Ratio', '   2.22%)']", ,[' 299199  '],[' 14302   '],[' 271648  '],[' 102552  '],"[' 266870   (Atom=Atom', ' 73414 Body=Body', ' 48746 Other', ' 144710)']",[' Yes'],"[' 17750    (Eliminated', '    0 Frozen', ' 17750)']","[' 2409     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.43683'],[' 0'], ,[' 691.997'],[' 0'],[' 19.5034'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.37398e+08'],[' 1.7269e+08'],[' 0'],[' 4.20883e+10'],[' 0'],[' 0'],[' 957 '],[' 1986 '],[' 2801 '],[' 3783 '],[' 4531 '],[' 5204 '],[' 6234 '],[' 7 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 4647+'],[' 2331'],"[' 1008.627s (Solving', ' 979.93s 1st Model', ' 33.02s Unsat', ' 0.00s)']",[' 1006.547s'], ,[' 182834407'],"[' 24297702 (Analyzed', ' 23799105)']","[' 43923    (Average', ' 541.84 Last', ' 44537)']",[' 8116.7  '],"[' 2331     (Average Length', ' 1275.85 Splits', ' 0)']","[' 23799105 (Deleted', ' 23581599)']","[' 14       (Ratio', '   0.00%)']","[' 12045    (Ratio', '   0.05%)']","[' 23799105 (Average Length', '   19.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23799105 (Average', '  7.07 Max', ' 10424 Sum', ' 168332759)']","[' 23796470 (Average', '  6.94 Max', ' 10424 Sum', ' 165252494 Ratio', '  98.17%)']","[' 2635     (Average', ' 1168.98 Max', ' 1652 Sum', ' 3080265 Ratio', '   1.83%)']", ,[' 296579  '],[' 14050   '],[' 269835  '],[' 100893  '],"[' 263527   (Atom=Atom', ' 72553 Body=Body', ' 47990 Other', ' 142984)']",[' Yes'],"[' 17612    (Eliminated', '    0 Frozen', ' 17612)']","[' 2094     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.5943'],[' 0'], ,[' 679.371'],[' 0'],[' 18.7706'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.78004e+08'],[' 2.00854e+08'],[' 0'],[' 4.21031e+10'],[' 0'],[' 0'],[' 1319 '],[' 2317 '],[' 3391 '],[' 3900 '],[' 4655 '],[' 5507 '],[' 6414 '],[' 7 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 4635+'],[' 2325'],"[' 1008.271s (Solving', ' 981.28s 1st Model', ' 32.55s Unsat', ' 0.00s)']",[' 1004.625s'], ,[' 162749413'],"[' 21828169 (Analyzed', ' 21343998)']","[' 40703    (Average', ' 524.38 Last', ' 22121)']",[' 7401.6  '],"[' 2325     (Average Length', ' 1270.15 Splits', ' 0)']","[' 21343998 (Deleted', ' 21138350)']","[' 16       (Ratio', '   0.00%)']","[' 15539    (Ratio', '   0.07%)']","[' 21343998 (Average Length', '   18.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21343998 (Average', '  7.04 Max', ' 10061 Sum', ' 150366915)']","[' 21341312 (Average', '  6.89 Max', ' 10061 Sum', ' 147023939 Ratio', '  97.78%)']","[' 2686     (Average', ' 1244.59 Max', ' 1699 Sum', ' 3342976 Ratio', '   2.22%)']", ,[' 297488  '],[' 13958   '],[' 269854  '],[' 101523  '],"[' 261954   (Atom=Atom', ' 72179 Body=Body', ' 47714 Other', ' 142061)']",[' Yes'],"[' 17526    (Eliminated', '    0 Frozen', ' 17526)']","[' 2658     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.12589'],[' 0'], ,[' 689.284'],[' 0'],[' 18.9501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.63533e+08'],[' 1.94164e+08'],[' 0'],[' 4.13266e+10'],[' 0'],[' 0'],[' 997 '],[' 1988 '],[' 2815 '],[' 3732 '],[' 4840 '],[' 5369 '],[' 5947 '],[' 7 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 4327+'],[' 2171'],"[' 1007.956s (Solving', ' 982.28s 1st Model', ' 29.34s Unsat', ' 0.00s)']",[' 1004.406s'], ,[' 169495304'],"[' 23697804 (Analyzed', ' 23114563)']","[' 42467    (Average', ' 544.29 Last', ' 9417)']",[' 7757.7  '],"[' 2171     (Average Length', ' 1183.65 Splits', ' 0)']","[' 23114563 (Deleted', ' 22900921)']","[' 25       (Ratio', '   0.00%)']","[' 12071    (Ratio', '   0.05%)']","[' 23114563 (Average Length', '   19.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23114563 (Average', '  6.76 Max', ' 10895 Sum', ' 156298493)']","[' 23112263 (Average', '  6.64 Max', ' 10881 Sum', ' 153539523 Ratio', '  98.23%)']","[' 2300     (Average', ' 1199.55 Max', ' 1642 Sum', ' 2758970 Ratio', '   1.77%)']", ,[' 299620  '],[' 14259   '],[' 271994  '],[' 102505  '],"[' 266050   (Atom=Atom', ' 73229 Body=Body', ' 48617 Other', ' 144204)']",[' Yes'],"[' 17699    (Eliminated', '    0 Frozen', ' 17699)']","[' 2116     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.93199'],[' 0'], ,[' 696.161'],[' 0'],[' 17.8918'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.60878e+08'],[' 1.8694e+08'],[' 0'],[' 4.20167e+10'],[' 0'],[' 0'],[' 1175 '],[' 1999 '],[' 3082 '],[' 3910 '],[' 4531 '],[' 5651 '],[' 6331 '],[' 7 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 4707+'],[' 2361'],"[' 1008.323s (Solving', ' 981.08s 1st Model', ' 30.42s Unsat', ' 0.00s)']",[' 1005.141s'], ,[' 175292050'],"[' 20185170 (Analyzed', ' 19789233)']","[' 38018    (Average', ' 520.52 Last', ' 28385)']",[' 7417.5  '],"[' 2361     (Average Length', ' 1290.09 Splits', ' 0)']","[' 19789233 (Deleted', ' 19602444)']","[' 29       (Ratio', '   0.00%)']","[' 14341    (Ratio', '   0.07%)']","[' 19789233 (Average Length', '   19.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19789233 (Average', '  8.21 Max', ' 11871 Sum', ' 162425266)']","[' 19786729 (Average', '  8.06 Max', ' 10154 Sum', ' 159420063 Ratio', '  98.15%)']","[' 2504     (Average', ' 1200.16 Max', ' 1791 Sum', ' 3005203 Ratio', '   1.85%)']", ,[' 297917  '],[' 14002   '],[' 270192  '],[' 101857  '],"[' 262780   (Atom=Atom', ' 72391 Body=Body', ' 47846 Other', ' 142543)']",[' Yes'],"[' 17574    (Eliminated', '    0 Frozen', ' 17574)']","[' 2919     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.36417'],[' 0'], ,[' 694.694'],[' 0'],[' 21.3053'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.75537e+08'],[' 2.07977e+08'],[' 0'],[' 4.26728e+10'],[' 0'],[' 0'],[' 1151 '],[' 2207 '],[' 2726 '],[' 3547 '],[' 4539 '],[' 5657 '],[' 6338 '],[' 7 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 4611+'],[' 2313'],"[' 1008.325s (Solving', ' 981.29s 1st Model', ' 34.50s Unsat', ' 0.00s)']",[' 1004.938s'], ,[' 158235481'],"[' 24759534 (Analyzed', ' 24168123)']","[' 44424    (Average', ' 544.03 Last', ' 160786)']",[' 7865.7  '],"[' 2313     (Average Length', ' 1274.56 Splits', ' 0)']","[' 24168123 (Deleted', ' 23936397)']","[' 22       (Ratio', '   0.00%)']","[' 12207    (Ratio', '   0.05%)']","[' 24168123 (Average Length', '   19.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24168123 (Average', '  5.98 Max', ' 10784 Sum', ' 144461543)']","[' 24165746 (Average', '  5.85 Max', ' 10523 Sum', ' 141337394 Ratio', '  97.84%)']","[' 2377     (Average', ' 1314.32 Max', ' 1795 Sum', ' 3124149 Ratio', '   2.16%)']", ,[' 297811  '],[' 14035   '],[' 270372  '],[' 101684  '],"[' 263017   (Atom=Atom', ' 72475 Body=Body', ' 47945 Other', ' 142597)']",[' Yes'],"[' 17559    (Eliminated', '    0 Frozen', ' 17559)']","[' 2175     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.37767'],[' 0'], ,[' 680.407'],[' 0'],[' 18.2732'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.51072e+08'],[' 1.78189e+08'],[' 0'],[' 4.27472e+10'],[' 0'],[' 0'],[' 1227 '],[' 1927 '],[' 2916 '],[' 3790 '],[' 4390 '],[' 5242 '],[' 6294 '],[' 7 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 4437+'],[' 2226'],"[' 1008.684s (Solving', ' 980.81s 1st Model', ' 34.29s Unsat', ' 0.00s)']",[' 1004.406s'], ,[' 181846659'],"[' 22148849 (Analyzed', ' 21641026)']","[' 41651    (Average', ' 519.58 Last', ' 74717)']",[' 7782.8  '],"[' 2226     (Average Length', ' 1226.25 Splits', ' 0)']","[' 21641026 (Deleted', ' 21423902)']","[' 22       (Ratio', '   0.00%)']","[' 13231    (Ratio', '   0.06%)']","[' 21641026 (Average Length', '   19.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21641026 (Average', '  7.80 Max', ' 11729 Sum', ' 168796925)']","[' 21638371 (Average', '  7.66 Max', ' 10240 Sum', ' 165678567 Ratio', '  98.15%)']","[' 2655     (Average', ' 1174.52 Max', ' 1622 Sum', ' 3118358 Ratio', '   1.85%)']", ,[' 298447  '],[' 14160   '],[' 270771  '],[' 102141  '],"[' 264748   (Atom=Atom', ' 72888 Body=Body', ' 48320 Other', ' 143540)']",[' Yes'],"[' 17614    (Eliminated', '    0 Frozen', ' 17614)']","[' 2249     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.37276'],[' 0'], ,[' 681.245'],[' 0'],[' 20.1654'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.73683e+08'],[' 2.04259e+08'],[' 0'],[' 4.04575e+10'],[' 0'],[' 0'],[' 1110 '],[' 2181 '],[' 3095 '],[' 3704 '],[' 4663 '],[' 5426 '],[' 6187 '],[' 7 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 4849+'],[' 2432'],"[' 1008.533s (Solving', ' 980.59s 1st Model', ' 31.59s Unsat', ' 0.00s)']",[' 1004.266s'], ,[' 164474755'],"[' 19902679 (Analyzed', ' 19427138)']","[' 38366    (Average', ' 506.36 Last', ' 57387)']",[' 7203.0  '],"[' 2432     (Average Length', ' 1316.20 Splits', ' 0)']","[' 19427138 (Deleted', ' 19236274)']","[' 22       (Ratio', '   0.00%)']","[' 15584    (Ratio', '   0.08%)']","[' 19427138 (Average Length', '   18.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19427138 (Average', '  7.82 Max', ' 10194 Sum', ' 151951054)']","[' 19424537 (Average', '  7.65 Max', ' 9913 Sum', ' 148696199 Ratio', '  97.86%)']","[' 2601     (Average', ' 1251.39 Max', ' 1826 Sum', ' 3254855 Ratio', '   2.14%)']", ,[' 298481  '],[' 14007   '],[' 270885  '],[' 101907  '],"[' 263102   (Atom=Atom', ' 72482 Body=Body', ' 47861 Other', ' 142759)']",[' Yes'],"[' 17628    (Eliminated', '    0 Frozen', ' 17628)']","[' 2955     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.32545'],[' 0'], ,[' 695.381'],[' 0'],[' 20.3159'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.64786e+08'],[' 1.98752e+08'],[' 0'],[' 4.26489e+10'],[' 0'],[' 0'],[' 976 '],[' 1916 '],[' 2687 '],[' 3626 '],[' 4432 '],[' 5210 '],[' 6063 '],[' 7 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 4023+'],[' 2019'],"[' 1007.842s (Solving', ' 982.57s 1st Model', ' 32.94s Unsat', ' 0.00s)']",[' 1005.188s'], ,[' 176530511'],"[' 19585895 (Analyzed', ' 19128831)']","[' 35687    (Average', ' 536.02 Last', ' 4766)']",[' 7725.9  '],"[' 2019     (Average Length', ' 1126.84 Splits', ' 0)']","[' 19128831 (Deleted', ' 18944806)']","[' 27       (Ratio', '   0.00%)']","[' 17558    (Ratio', '   0.09%)']","[' 19128831 (Average Length', '   21.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19128831 (Average', '  8.61 Max', ' 11195 Sum', ' 164714650)']","[' 19126261 (Average', '  8.46 Max', ' 10596 Sum', ' 161749561 Ratio', '  98.20%)']","[' 2570     (Average', ' 1153.73 Max', ' 1514 Sum', ' 2965089 Ratio', '   1.80%)']", ,[' 299533  '],[' 14476   '],[' 271864  '],[' 103055  '],"[' 268896   (Atom=Atom', ' 73945 Body=Body', ' 49268 Other', ' 145683)']",[' Yes'],"[' 17763    (Eliminated', '    0 Frozen', ' 17763)']","[' 3177     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.92448'],[' 0'], ,[' 695.93'],[' 0'],[' 21.6291'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.8349e+08'],[' 2.14841e+08'],[' 0'],[' 4.25922e+10'],[' 0'],[' 0'],[' 1264 '],[' 2267 '],[' 2983 '],[' 3667 '],[' 4503 '],[' 5426 '],[' 6232 '],[' 7 '],[' 0 ']
