Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , , ,[' 1533'],[' 774'],"[' 610.539s (Solving', ' 606.87s 1st Model', ' 2.56s Unsat', ' 26.98s)']",[' 609.531s'], ,[' 52970744'],"[' 28712688 (Analyzed', ' 28669618)']","[' 52183    (Average', ' 549.41 Last', ' 23066)']",[' 2215.1  '],"[' 774      (Average Length', ' 471.98 Splits', ' 0)']","[' 28669618 (Deleted', ' 28339244)']","[' 18       (Ratio', '   0.00%)']","[' 3126     (Ratio', '   0.01%)']","[' 28669618 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28669618 (Average', '  1.78 Max', ' 2975 Sum', ' 51073846)']","[' 28669015 (Average', '  1.77 Max', ' 2634 Sum', ' 50818468 Ratio', '  99.50%)']","[' 603      (Average', ' 423.51 Max', ' 616 Sum', ' 255378 Ratio', '   0.50%)']", ,[' 86196   '],[' 3495    '],[' 79614   '],[' 28438   '],"[' 75580    (Atom=Atom', ' 21770 Body=Body', ' 13465 Other', ' 40345)']",[' Yes'],"[' 4940     (Eliminated', '    0 Frozen', ' 4940)']","[' 559      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.777362'],[' 0'], ,[' 392.448'],[' 0'],[' 11.0503'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46111e+08'],[' 7.48501e+07'],[' 0'],[' 2.42597e+10'],[' 0'],[' 0'],[' 666 '],[' 1173 '],[' 1778 '],[' 2162 '],[' 2893 '],[' 3089 '],[' 3549 '],[' 4 '],[' 3 ']
Solving...,TA62, , , , ,[' 1'],[' 1813+'],[' 914'],"[' 592.927s (Solving', ' 588.51s 1st Model', ' 3.53s Unsat', ' 11.54s)']",[' 590.547s'], ,[' 47458850'],"[' 24541771 (Analyzed', ' 24491806)']","[' 46105    (Average', ' 531.22 Last', ' 107273)']",[' 2336.5  '],"[' 914      (Average Length', ' 528.90 Splits', ' 0)']","[' 24491806 (Deleted', ' 24173081)']","[' 5        (Ratio', '   0.00%)']","[' 2666     (Ratio', '   0.01%)']","[' 24491806 (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24491806 (Average', '  1.85 Max', ' 2870 Sum', ' 45280846)']","[' 24491310 (Average', '  1.84 Max', ' 2811 Sum', ' 45044408 Ratio', '  99.48%)']","[' 496      (Average', ' 476.69 Max', ' 711 Sum', ' 236438 Ratio', '   0.52%)']", ,[' 87144   '],[' 3531    '],[' 80424   '],[' 29027   '],"[' 76655    (Atom=Atom', ' 22054 Body=Body', ' 13573 Other', ' 41028)']",[' Yes'],"[' 5089     (Eliminated', '    0 Frozen', ' 5089)']","[' 327      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.948265'],[' 0'], ,[' 405.796'],[' 0'],[' 10.7969'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15902e+08'],[' 5.87928e+07'],[' 0'],[' 2.3997e+10'],[' 0'],[' 0'],[' 751 '],[' 1378 '],[' 1797 '],[' 2132 '],[' 2587 '],[' 3069 '],[' 3594 '],[' 4 '],[' 3 ']
Solving...,TA63, , , , , ,[' 1523'],[' 769'],"[' 630.471s (Solving', ' 626.99s 1st Model', ' 1.84s Unsat', ' 48.37s)']",[' 628.750s'], ,[' 48020264'],"[' 28413542 (Analyzed', ' 28349257)']","[' 51277    (Average', ' 552.86 Last', ' 537412)']",[' 2017.0  '],"[' 769      (Average Length', ' 455.47 Splits', ' 0)']","[' 28349257 (Deleted', ' 28013081)']","[' 29       (Ratio', '   0.00%)']","[' 2817     (Ratio', '   0.01%)']","[' 28349257 (Average Length', '   13.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28349257 (Average', '  1.63 Max', ' 2673 Sum', ' 46201369)']","[' 28348704 (Average', '  1.62 Max', ' 2673 Sum', ' 45948867 Ratio', '  99.45%)']","[' 553      (Average', ' 456.60 Max', ' 651 Sum', ' 252502 Ratio', '   0.55%)']", ,[' 86300   '],[' 3474    '],[' 79611   '],[' 28462   '],"[' 75214    (Atom=Atom', ' 21676 Body=Body', ' 13390 Other', ' 40148)']",[' Yes'],"[' 4903     (Eliminated', '    0 Frozen', ' 4903)']","[' 526      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.712471'],[' 0'], ,[' 431.064'],[' 0'],[' 9.85614'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.20823e+08'],[' 5.58747e+07'],[' 0'],[' 2.61185e+10'],[' 0'],[' 0'],[' 833 '],[' 1170 '],[' 1717 '],[' 2112 '],[' 2649 '],[' 3157 '],[' 3546 '],[' 4 '],[' 3 ']
Solving...,TA64, , , , , ,[' 1623'],[' 819'],"[' 447.980s (Solving', ' 443.86s 1st Model', ' 2.51s Unsat', ' 5.04s)']",[' 443.828s'], ,[' 37198573'],"[' 23822242 (Analyzed', ' 23784220)']","[' 44937    (Average', ' 529.28 Last', ' 71349)']",[' 2207.7  '],"[' 819      (Average Length', ' 489.04 Splits', ' 0)']","[' 23784220 (Deleted', ' 23466414)']","[' 15       (Ratio', '   0.00%)']","[' 1970     (Ratio', '   0.01%)']","[' 23784220 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 23784220 (Average', '  1.49 Max', ' 2879 Sum', ' 35370558)']","[' 23783651 (Average', '  1.48 Max', ' 2717 Sum', ' 35148421 Ratio', '  99.37%)']","[' 569      (Average', ' 390.40 Max', ' 651 Sum', ' 222137 Ratio', '   0.63%)']", ,[' 86253   '],[' 3467    '],[' 79599   '],[' 28512   '],"[' 75297    (Atom=Atom', ' 21703 Body=Body', ' 13381 Other', ' 40213)']",[' Yes'],"[' 4951     (Eliminated', '    0 Frozen', ' 4951)']","[' 291      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.852286'],[' 0'], ,[' 263.917'],[' 0'],[' 5.89491'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.68809e+07'],[' 4.18419e+07'],[' 0'],[' 1.4715e+10'],[' 0'],[' 0'],[' 731 '],[' 1275 '],[' 1649 '],[' 2000 '],[' 2558 '],[' 3058 '],[' 3481 '],[' 3 '],[' 4 ']
Solving...,TA65, , , , , ,[' 1921'],[' 968'],"[' 339.641s (Solving', ' 334.27s 1st Model', ' 3.28s Unsat', ' 33.57s)']",[' 337.328s'], ,[' 19043927'],"[' 11787145 (Analyzed', ' 11709288)']","[' 22885    (Average', ' 511.66 Last', ' 10339)']",[' 2302.0  '],"[' 968      (Average Length', ' 557.49 Splits', ' 0)']","[' 11709288 (Deleted', ' 11566156)']","[' 31       (Ratio', '   0.00%)']","[' 1571     (Ratio', '   0.01%)']","[' 11709288 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 11709288 (Average', '  1.48 Max', ' 3361 Sum', ' 17305681)']","[' 11708745 (Average', '  1.45 Max', ' 2806 Sum', ' 17011346 Ratio', '  98.30%)']","[' 543      (Average', ' 542.05 Max', ' 765 Sum', ' 294335 Ratio', '   1.70%)']", ,[' 86731   '],[' 3505    '],[' 80201   '],[' 28840   '],"[' 76285    (Atom=Atom', ' 22002 Body=Body', ' 13494 Other', ' 40789)']",[' Yes'],"[' 5121     (Eliminated', '    0 Frozen', ' 5121)']","[' 196      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.09729'],[' 0'], ,[' 230.181'],[' 0'],[' 5.09633'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.89854e+07'],[' 2.17667e+07'],[' 0'],[' 1.39465e+10'],[' 0'],[' 0'],[' 592 '],[' 1075 '],[' 1806 '],[' 2146 '],[' 2526 '],[' 3010 '],[' 3465 '],[' 3 '],[' 4 ']
Solving...,TA66, , , , , ,[' 1637'],[' 826'],"[' 501.113s (Solving', ' 497.37s 1st Model', ' 2.12s Unsat', ' 59.67s)']",[' 500.094s'], ,[' 45417456'],"[' 27729483 (Analyzed', ' 27674155)']","[' 51253    (Average', ' 539.95 Last', ' 438979)']",[' 2231.1  '],"[' 826      (Average Length', ' 495.68 Splits', ' 0)']","[' 27674155 (Deleted', ' 27386476)']","[' 39       (Ratio', '   0.00%)']","[' 2276     (Ratio', '   0.01%)']","[' 27674155 (Average Length', '   13.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27674155 (Average', '  1.57 Max', ' 3194 Sum', ' 43407828)']","[' 27673633 (Average', '  1.56 Max', ' 2769 Sum', ' 43169480 Ratio', '  99.45%)']","[' 522      (Average', ' 456.61 Max', ' 658 Sum', ' 238348 Ratio', '   0.55%)']", ,[' 86419   '],[' 3464    '],[' 79663   '],[' 28614   '],"[' 75293    (Atom=Atom', ' 21698 Body=Body', ' 13372 Other', ' 40223)']",[' Yes'],"[' 4956     (Eliminated', '    0 Frozen', ' 4956)']","[' 291      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.77932'],[' 0'], ,[' 313.253'],[' 0'],[' 6.48672'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.12607e+08'],[' 4.79214e+07'],[' 0'],[' 2.028e+10'],[' 0'],[' 0'],[' 675 '],[' 1145 '],[' 1740 '],[' 2094 '],[' 2714 '],[' 3020 '],[' 3694 '],[' 3 '],[' 4 ']
Solving...,TA67, , , , ,[' 1'],[' 1587+'],[' 801'],"[' 783.902s (Solving', ' 780.31s 1st Model', ' 2.28s Unsat', ' 63.30s)']",[' 781.141s'], ,[' 54180817'],"[' 34672993 (Analyzed', ' 34617733)']","[' 66774    (Average', ' 518.43 Last', ' 104623)']",[' 2211.8  '],"[' 801      (Average Length', ' 490.97 Splits', ' 0)']","[' 34617733 (Deleted', ' 34190081)']","[' 2        (Ratio', '   0.00%)']","[' 2230     (Ratio', '   0.01%)']","[' 34617733 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34617733 (Average', '  1.51 Max', ' 3127 Sum', ' 52122314)']","[' 34617235 (Average', '  1.50 Max', ' 2802 Sum', ' 51867718 Ratio', '  99.51%)']","[' 498      (Average', ' 511.24 Max', ' 672 Sum', ' 254596 Ratio', '   0.49%)']", ,[' 86502   '],[' 3506    '],[' 79792   '],[' 28686   '],"[' 75833    (Atom=Atom', ' 21841 Body=Body', ' 13498 Other', ' 40494)']",[' Yes'],"[' 4988     (Eliminated', '    0 Frozen', ' 4988)']","[' 350      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.734858'],[' 0'], ,[' 524.903'],[' 0'],[' 12.6357'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38683e+08'],[' 5.7878e+07'],[' 0'],[' 3.22628e+10'],[' 0'],[' 0'],[' 719 '],[' 1263 '],[' 1784 '],[' 2199 '],[' 2777 '],[' 3199 '],[' 3753 '],[' 5 '],[' 2 ']
Solving...,TA68, , , , , ,[' 1437'],[' 726'],"[' 782.016s (Solving', ' 778.59s 1st Model', ' 1.84s Unsat', ' 201.53s)']",[' 779.813s'], ,[' 55581778'],"[' 37962714 (Analyzed', ' 37919391)']","[' 71823    (Average', ' 527.96 Last', ' 354900)']",[' 2010.6  '],"[' 726      (Average Length', ' 445.15 Splits', ' 0)']","[' 37919391 (Deleted', ' 37480579)']","[' 29       (Ratio', '   0.00%)']","[' 2453     (Ratio', '   0.01%)']","[' 37919391 (Average Length', '   12.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 37919391 (Average', '  1.42 Max', ' 3131 Sum', ' 53702208)']","[' 37918839 (Average', '  1.41 Max', ' 2636 Sum', ' 53445582 Ratio', '  99.52%)']","[' 552      (Average', ' 464.90 Max', ' 635 Sum', ' 256626 Ratio', '   0.48%)']", ,[' 85479   '],[' 3408    '],[' 78897   '],[' 28024   '],"[' 74112    (Atom=Atom', ' 21374 Body=Body', ' 13204 Other', ' 39534)']",[' Yes'],"[' 4822     (Eliminated', '    0 Frozen', ' 4822)']","[' 441      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.691933'],[' 0'], ,[' 507.262'],[' 0'],[' 9.9321'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46843e+08'],[' 5.94924e+07'],[' 0'],[' 2.96894e+10'],[' 0'],[' 0'],[' 500 '],[' 1216 '],[' 1655 '],[' 2026 '],[' 2582 '],[' 3172 '],[' 3588 '],[' 4 '],[' 3 ']
Solving...,TA69, , , , ,[' 1'],[' 1655+'],[' 835'],"[' 701.227s (Solving', ' 696.66s 1st Model', ' 2.77s Unsat', ' 120.23s)']",[' 699.328s'], ,[' 38510982'],"[' 25218061 (Analyzed', ' 25171297)']","[' 49834    (Average', ' 505.10 Last', ' 16199)']",[' 2227.5  '],"[' 835      (Average Length', ' 494.09 Splits', ' 0)']","[' 25171297 (Deleted', ' 24836719)']","[' 29       (Ratio', '   0.00%)']","[' 2104     (Ratio', '   0.01%)']","[' 25171297 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25171297 (Average', '  1.45 Max', ' 3105 Sum', ' 36578775)']","[' 25170813 (Average', '  1.44 Max', ' 2841 Sum', ' 36355329 Ratio', '  99.39%)']","[' 484      (Average', ' 461.67 Max', ' 671 Sum', ' 223446 Ratio', '   0.61%)']", ,[' 86841   '],[' 3491    '],[' 80064   '],[' 28861   '],"[' 75753    (Atom=Atom', ' 21815 Body=Body', ' 13453 Other', ' 40485)']",[' Yes'],"[' 4991     (Eliminated', '    0 Frozen', ' 4991)']","[' 234      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.976059'],[' 0'], ,[' 477.085'],[' 0'],[' 12.0336'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.70913e+07'],[' 3.87306e+07'],[' 0'],[' 2.44384e+10'],[' 0'],[' 0'],[' 711 '],[' 1337 '],[' 1736 '],[' 2204 '],[' 2642 '],[' 3168 '],[' 3693 '],[' 4 '],[' 3 ']
Solving...,TA70, , , , ,[' 1'],[' 1581+'],[' 798'],"[' 688.160s (Solving', ' 683.40s 1st Model', ' 3.00s Unsat', ' 102.95s)']",[' 682.297s'], ,[' 46431001'],"[' 26131465 (Analyzed', ' 26083178)']","[' 49486    (Average', ' 527.08 Last', ' 203920)']",[' 2185.8  '],"[' 798      (Average Length', ' 482.75 Splits', ' 0)']","[' 26083178 (Deleted', ' 25758262)']","[' 6        (Ratio', '   0.00%)']","[' 2320     (Ratio', '   0.01%)']","[' 26083178 (Average Length', '   12.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 26083178 (Average', '  1.71 Max', ' 2879 Sum', ' 44585781)']","[' 26082682 (Average', '  1.70 Max', ' 2801 Sum', ' 44353269 Ratio', '  99.48%)']","[' 496      (Average', ' 468.77 Max', ' 674 Sum', ' 232512 Ratio', '   0.52%)']", ,[' 86488   '],[' 3512    '],[' 79851   '],[' 28683   '],"[' 75979    (Atom=Atom', ' 21862 Body=Body', ' 13516 Other', ' 40601)']",[' Yes'],"[' 4980     (Eliminated', '    0 Frozen', ' 4980)']","[' 344      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.996086'],[' 0'], ,[' 448.343'],[' 0'],[' 11.3874'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16053e+08'],[' 5.53595e+07'],[' 0'],[' 2.23843e+10'],[' 0'],[' 0'],[' 592 '],[' 1137 '],[' 1602 '],[' 2352 '],[' 2739 '],[' 3070 '],[' 3796 '],[' 4 '],[' 3 ']
