Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 3003+'],[' 1511'],"[' 1005.274s (Solving', ' 988.91s 1st Model', ' 15.14s Unsat', ' 0.00s)']",[' 1003.422s'], ,[' 120825214'],"[' 28762382 (Analyzed', ' 28590790)']","[' 56036    (Average', ' 510.22 Last', ' 37874)']",[' 6051.6  '],"[' 1511     (Average Length', ' 887.77 Splits', ' 0)']","[' 28590790 (Deleted', ' 28302530)']","[' 19       (Ratio', '   0.00%)']","[' 10075    (Ratio', '   0.04%)']","[' 28590790 (Average Length', '   16.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28590790 (Average', '  3.97 Max', ' 7868 Sum', ' 113527456)']","[' 28588526 (Average', '  3.90 Max', ' 7868 Sum', ' 111636055 Ratio', '  98.33%)']","[' 2264     (Average', ' 835.42 Max', ' 1153 Sum', ' 1891401 Ratio', '   1.67%)']", ,[' 266168  '],[' 11061   '],[' 244296  '],[' 81808   '],"[' 214339   (Atom=Atom', ' 60251 Body=Body', ' 39141 Other', ' 114947)']",[' Yes'],"[' 14052    (Eliminated', '    0 Frozen', ' 14052)']","[' 2032     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.25976'],[' 0'], ,[' 733.632'],[' 0'],[' 17.1304'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.13073e+08'],[' 1.33269e+08'],[' 0'],[' 4.7106e+10'],[' 0'],[' 0'],[' 1001 '],[' 1809 '],[' 2824 '],[' 3371 '],[' 3864 '],[' 4890 '],[' 5669 '],[' 5917 '],[' 6299 '],[' 9 '],[' 0 ']
Solving...,TA72, , , , ,[' 1'],[' 3101+'],[' 1560'],"[' 1005.155s (Solving', ' 989.64s 1st Model', ' 14.25s Unsat', ' 0.00s)']",[' 1002.781s'], ,[' 100513424'],"[' 28030158 (Analyzed', ' 27893920)']","[' 53043    (Average', ' 525.87 Last', ' 88566)']",[' 5508.8  '],"[' 1560     (Average Length', ' 905.07 Splits', ' 0)']","[' 27893920 (Deleted', ' 27619328)']","[' 28       (Ratio', '   0.00%)']","[' 9279     (Ratio', '   0.03%)']","[' 27893920 (Average Length', '   16.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27893920 (Average', '  3.37 Max', ' 8018 Sum', ' 93980806)']","[' 27891811 (Average', '  3.30 Max', ' 8018 Sum', ' 92055761 Ratio', '  97.95%)']","[' 2109     (Average', ' 912.78 Max', ' 1312 Sum', ' 1925045 Ratio', '   2.05%)']", ,[' 268526  '],[' 10974   '],[' 245572  '],[' 83036   '],"[' 212898   (Atom=Atom', ' 59952 Body=Body', ' 38880 Other', ' 114066)']",[' Yes'],"[' 14013    (Eliminated', '    0 Frozen', ' 14013)']","[' 1770     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.03219'],[' 0'], ,[' 747.604'],[' 0'],[' 16.1851'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.85268e+08'],[' 1.1372e+08'],[' 0'],[' 4.65476e+10'],[' 0'],[' 0'],[' 711 '],[' 1653 '],[' 2237 '],[' 3202 '],[' 3484 '],[' 4290 '],[' 4779 '],[' 5434 '],[' 6105 '],[' 9 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 2817+'],[' 1418'],"[' 1005.023s (Solving', ' 989.50s 1st Model', ' 12.89s Unsat', ' 0.00s)']",[' 1001.328s'], ,[' 104695002'],"[' 30831515 (Analyzed', ' 30672887)']","[' 57983    (Average', ' 529.00 Last', ' 175866)']",[' 6367.8  '],"[' 1418     (Average Length', ' 842.90 Splits', ' 0)']","[' 30672887 (Deleted', ' 30348895)']","[' 14       (Ratio', '   0.00%)']","[' 8349     (Ratio', '   0.03%)']","[' 30672887 (Average Length', '   16.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 30672887 (Average', '  3.16 Max', ' 8813 Sum', ' 97019441)']","[' 30670977 (Average', '  3.11 Max', ' 8331 Sum', ' 95515845 Ratio', '  98.45%)']","[' 1910     (Average', ' 787.22 Max', ' 1149 Sum', ' 1503596 Ratio', '   1.55%)']", ,[' 266948  '],[' 11038   '],[' 244794  '],[' 82040   '],"[' 213544   (Atom=Atom', ' 60066 Body=Body', ' 39072 Other', ' 114406)']",[' Yes'],"[' 13947    (Eliminated', '    0 Frozen', ' 13947)']","[' 1489     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.14801'],[' 0'], ,[' 736.236'],[' 0'],[' 15.4482'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.90697e+08'],[' 1.09652e+08'],[' 0'],[' 4.81607e+10'],[' 0'],[' 0'],[' 1054 '],[' 1926 '],[' 2578 '],[' 3335 '],[' 3914 '],[' 4491 '],[' 5193 '],[' 5870 '],[' 6603 '],[' 9 '],[' 0 ']
Solving...,TA74, , , , ,[' 1'],[' 2885+'],[' 1452'],"[' 1005.241s (Solving', ' 989.94s 1st Model', ' 15.34s Unsat', ' 0.00s)']",[' 1002.578s'], ,[' 111799696'],"[' 29623558 (Analyzed', ' 29383873)']","[' 56821    (Average', ' 517.13 Last', ' 166782)']",[' 5814.0  '],"[' 1452     (Average Length', ' 852.94 Splits', ' 0)']","[' 29383873 (Deleted', ' 29069976)']","[' 23       (Ratio', '   0.00%)']","[' 9731     (Ratio', '   0.03%)']","[' 29383873 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29383873 (Average', '  3.57 Max', ' 8273 Sum', ' 104880090)']","[' 29381990 (Average', '  3.51 Max', ' 8273 Sum', ' 103193789 Ratio', '  98.39%)']","[' 1883     (Average', ' 895.54 Max', ' 1205 Sum', ' 1686301 Ratio', '   1.61%)']", ,[' 268817  '],[' 10998   '],[' 245928  '],[' 82930   '],"[' 213055   (Atom=Atom', ' 59940 Body=Body', ' 38952 Other', ' 114163)']",[' Yes'],"[' 13932    (Eliminated', '    0 Frozen', ' 13932)']","[' 1594     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.98344'],[' 0'], ,[' 726.697'],[' 0'],[' 15.7209'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.04627e+08'],[' 1.28419e+08'],[' 0'],[' 4.47266e+10'],[' 0'],[' 0'],[' 885 '],[' 1641 '],[' 2323 '],[' 2948 '],[' 3520 '],[' 4395 '],[' 4873 '],[' 5424 '],[' 6031 '],[' 9 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 2667+'],[' 1343'],"[' 1005.054s (Solving', ' 990.33s 1st Model', ' 13.86s Unsat', ' 0.00s)']",[' 1003.563s'], ,[' 106431343'],"[' 29702347 (Analyzed', ' 29519037)']","[' 55411    (Average', ' 532.73 Last', ' 450616)']",[' 6019.6  '],"[' 1343     (Average Length', ' 800.67 Splits', ' 0)']","[' 29519037 (Deleted', ' 29215867)']","[' 10       (Ratio', '   0.00%)']","[' 9164     (Ratio', '   0.03%)']","[' 29519037 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29519037 (Average', '  3.37 Max', ' 8521 Sum', ' 99624404)']","[' 29517092 (Average', '  3.32 Max', ' 8521 Sum', ' 98070182 Ratio', '  98.44%)']","[' 1945     (Average', ' 799.09 Max', ' 1121 Sum', ' 1554222 Ratio', '   1.56%)']", ,[' 269963  '],[' 11248   '],[' 246826  '],[' 83929   '],"[' 216314   (Atom=Atom', ' 60831 Body=Body', ' 39702 Other', ' 115781)']",[' Yes'],"[' 14089    (Eliminated', '    0 Frozen', ' 14089)']","[' 1465     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.85736'],[' 0'], ,[' 735.219'],[' 0'],[' 14.1442'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.92699e+08'],[' 1.17081e+08'],[' 0'],[' 4.51176e+10'],[' 0'],[' 0'],[' 994 '],[' 1644 '],[' 2565 '],[' 3246 '],[' 4143 '],[' 4327 '],[' 5090 '],[' 5968 '],[' 6568 '],[' 9 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 2731+'],[' 1375'],"[' 1005.456s (Solving', ' 989.85s 1st Model', ' 13.39s Unsat', ' 0.00s)']",[' 1001.375s'], ,[' 102459018'],"[' 28461859 (Analyzed', ' 28304510)']","[' 54229    (Average', ' 521.94 Last', ' 25017)']",[' 5903.0  '],"[' 1375     (Average Length', ' 824.28 Splits', ' 0)']","[' 28304510 (Deleted', ' 28027198)']","[' 13       (Ratio', '   0.00%)']","[' 8569     (Ratio', '   0.03%)']","[' 28304510 (Average Length', '   17.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28304510 (Average', '  3.38 Max', ' 9083 Sum', ' 95595721)']","[' 28302666 (Average', '  3.33 Max', ' 8267 Sum', ' 94128648 Ratio', '  98.47%)']","[' 1844     (Average', ' 795.59 Max', ' 1176 Sum', ' 1467073 Ratio', '   1.53%)']", ,[' 268621  '],[' 11001   '],[' 245665  '],[' 82892   '],"[' 212695   (Atom=Atom', ' 59875 Body=Body', ' 38961 Other', ' 113859)']",[' Yes'],"[' 13876    (Eliminated', '    0 Frozen', ' 13876)']","[' 1414     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.04036'],[' 0'], ,[' 740.245'],[' 0'],[' 16.0382'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.86506e+08'],[' 1.12374e+08'],[' 0'],[' 4.57326e+10'],[' 0'],[' 0'],[' 1052 '],[' 1742 '],[' 2428 '],[' 2902 '],[' 3580 '],[' 4520 '],[' 4934 '],[' 5507 '],[' 6340 '],[' 9 '],[' 0 ']
Solving...,TA77, , , , ,[' 1'],[' 3125+'],[' 1572'],"[' 1006.095s (Solving', ' 988.37s 1st Model', ' 18.02s Unsat', ' 0.00s)']",[' 998.125s'], ,[' 91290166'],"[' 28573773 (Analyzed', ' 28393334)']","[' 53686    (Average', ' 528.88 Last', ' 126795)']",[' 5810.3  '],"[' 1572     (Average Length', ' 918.25 Splits', ' 0)']","[' 28393334 (Deleted', ' 28101861)']","[' 11       (Ratio', '   0.00%)']","[' 7642     (Ratio', '   0.03%)']","[' 28393334 (Average Length', '   15.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28393334 (Average', '  2.96 Max', ' 8318 Sum', ' 84094013)']","[' 28391429 (Average', '  2.90 Max', ' 8318 Sum', ' 82419111 Ratio', '  98.01%)']","[' 1905     (Average', ' 879.21 Max', ' 1330 Sum', ' 1674902 Ratio', '   1.99%)']", ,[' 268740  '],[' 10889   '],[' 245803  '],[' 82883   '],"[' 211640   (Atom=Atom', ' 59624 Body=Body', ' 38625 Other', ' 113391)']",[' Yes'],"[' 13925    (Eliminated', '    0 Frozen', ' 13925)']","[' 1296     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.44696'],[' 0'], ,[' 721.052'],[' 0'],[' 14.7677'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.72612e+08'],[' 1.01144e+08'],[' 0'],[' 4.37848e+10'],[' 0'],[' 0'],[' 941 '],[' 1686 '],[' 2344 '],[' 3034 '],[' 3567 '],[' 4124 '],[' 4813 '],[' 5418 '],[' 6211 '],[' 9 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 3097+'],[' 1558'],"[' 1005.859s (Solving', ' 987.99s 1st Model', ' 15.96s Unsat', ' 0.00s)']",[' 999.031s'], ,[' 99995855'],"[' 26099591 (Analyzed', ' 25912491)']","[' 50037    (Average', ' 517.87 Last', ' 80649)']",[' 5973.1  '],"[' 1558     (Average Length', ' 906.64 Splits', ' 0)']","[' 25912491 (Deleted', ' 25644030)']","[' 15       (Ratio', '   0.00%)']","[' 9031     (Ratio', '   0.03%)']","[' 25912491 (Average Length', '   16.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25912491 (Average', '  3.57 Max', ' 8239 Sum', ' 92521619)']","[' 25910555 (Average', '  3.51 Max', ' 8239 Sum', ' 90853929 Ratio', '  98.20%)']","[' 1936     (Average', ' 861.41 Max', ' 1271 Sum', ' 1667690 Ratio', '   1.80%)']", ,[' 268458  '],[' 10936   '],[' 245611  '],[' 82831   '],"[' 212316   (Atom=Atom', ' 59798 Body=Body', ' 38766 Other', ' 113752)']",[' Yes'],"[' 13982    (Eliminated', '    0 Frozen', ' 13982)']","[' 1625     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.51134'],[' 0'], ,[' 727.036'],[' 0'],[' 16.4989'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80803e+08'],[' 1.12905e+08'],[' 0'],[' 4.19466e+10'],[' 0'],[' 0'],[' 913 '],[' 1721 '],[' 2651 '],[' 3171 '],[' 3592 '],[' 4385 '],[' 4918 '],[' 5538 '],[' 6347 '],[' 9 '],[' 0 ']
Solving...,TA79, , , , ,[' 1'],[' 3139+'],[' 1579'],"[' 1005.709s (Solving', ' 988.59s 1st Model', ' 16.76s Unsat', ' 0.00s)']",[' 997.234s'], ,[' 112156214'],"[' 24753840 (Analyzed', ' 24622568)']","[' 47040    (Average', ' 523.44 Last', ' 34240)']",[' 5934.9  '],"[' 1579     (Average Length', ' 916.42 Splits', ' 0)']","[' 24622568 (Deleted', ' 24382444)']","[' 16       (Ratio', '   0.00%)']","[' 10630    (Ratio', '   0.04%)']","[' 24622568 (Average Length', '   17.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 24622568 (Average', '  4.25 Max', ' 8223 Sum', ' 104615204)']","[' 24620809 (Average', '  4.19 Max', ' 8223 Sum', ' 103062197 Ratio', '  98.52%)']","[' 1759     (Average', ' 882.89 Max', ' 1326 Sum', ' 1553007 Ratio', '   1.48%)']", ,[' 269886  '],[' 10994   '],[' 246524  '],[' 83636   '],"[' 213352   (Atom=Atom', ' 60051 Body=Body', ' 38940 Other', ' 114361)']",[' Yes'],"[' 14022    (Eliminated', '    0 Frozen', ' 14022)']","[' 2126     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.36652'],[' 0'], ,[' 732'],[' 0'],[' 17.6973'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.97476e+08'],[' 1.31332e+08'],[' 0'],[' 4.30699e+10'],[' 0'],[' 0'],[' 830 '],[' 1780 '],[' 2169 '],[' 2946 '],[' 3419 '],[' 4024 '],[' 4742 '],[' 5389 '],[' 6055 '],[' 9 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 3191+'],[' 1605'],"[' 1005.795s (Solving', ' 987.93s 1st Model', ' 16.03s Unsat', ' 0.00s)']",[' 999.250s'], ,[' 124538156'],"[' 25332593 (Analyzed', ' 25181742)']","[' 46220    (Average', ' 544.82 Last', ' 423379)']",[' 5869.7  '],"[' 1605     (Average Length', ' 921.10 Splits', ' 0)']","[' 25181742 (Deleted', ' 24942783)']","[' 13       (Ratio', '   0.00%)']","[' 12311    (Ratio', '   0.05%)']","[' 25181742 (Average Length', '   19.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25181742 (Average', '  4.66 Max', ' 8067 Sum', ' 117226600)']","[' 25179532 (Average', '  4.58 Max', ' 8067 Sum', ' 115298497 Ratio', '  98.36%)']","[' 2210     (Average', ' 872.44 Max', ' 1320 Sum', ' 1928103 Ratio', '   1.64%)']", ,[' 270318  '],[' 11304   '],[' 247630  '],[' 84124   '],"[' 217944   (Atom=Atom', ' 61317 Body=Body', ' 39870 Other', ' 116757)']",[' Yes'],"[' 14362    (Eliminated', '    0 Frozen', ' 14362)']","[' 2358     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.51823'],[' 0'], ,[' 725.687'],[' 0'],[' 16.874'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.15303e+08'],[' 1.43865e+08'],[' 0'],[' 4.40995e+10'],[' 0'],[' 0'],[' 1061 '],[' 1909 '],[' 2384 '],[' 3083 '],[' 3461 '],[' 4281 '],[' 4934 '],[' 5388 '],[' 6097 '],[' 9 '],[' 0 ']
