Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , , ,[' 453'],[' 236'],"[' 267.293s (Solving', ' 266.28s 1st Model', ' 0.39s Unsat', ' 41.70s)']",[' 266.359s'], ,[' 24937182'],"[' 15064702 (Analyzed', ' 15051251)']","[' 29080    (Average', ' 517.58 Last', ' 46990)']",[' 1101.0  '],"[' 236      (Average Length', ' 175.21 Splits', ' 0)']","[' 15051251 (Deleted', ' 14860380)']","[' 22       (Ratio', '   0.00%)']","[' 2116     (Ratio', '   0.01%)']","[' 15051251 (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15051251 (Average', '  1.61 Max', ' 1519 Sum', ' 24292302)']","[' 15050881 (Average', '  1.61 Max', ' 1519 Sum', ' 24226566 Ratio', '  99.73%)']","[' 370      (Average', ' 177.66 Max', ' 261 Sum', '  65736 Ratio', '   0.27%)']", ,[' 59965   '],[' 2077    '],[' 55512   '],[' 18051   '],"[' 47390    (Atom=Atom', ' 13999 Body=Body', ' 8534 Other', ' 24857)']",[' Yes'],"[' 2891     (Eliminated', '    0 Frozen', ' 2891)']","[' 316      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.166184'],[' 0'], ,[' 175.526'],[' 0'],[' 2.99388'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.8797e+07'],[' 2.38819e+07'],[' 0'],[' 1.15457e+10'],[' 0'],[' 0'],[' 494 '],[' 908 '],[' 1236 '],[' 1576 '],[' 2256 '],[' 2537 '],[' 2855 '],[' 3230 '],[' 3551 '],[' 2 '],[' 7 ']
Solving...,TA52, , , , , ,[' 419'],[' 219'],"[' 237.829s (Solving', ' 236.76s 1st Model', ' 0.39s Unsat', ' 12.38s)']",[' 236.641s'], ,[' 15604999'],"[' 10381728 (Analyzed', ' 10361823)']","[' 21559    (Average', ' 480.63 Last', ' 27235)']",[' 1374.3  '],"[' 219      (Average Length', ' 160.76 Splits', ' 0)']","[' 10361823 (Deleted', ' 10200066)']","[' 30       (Ratio', '   0.00%)']","[' 1425     (Ratio', '   0.01%)']","[' 10361823 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10361823 (Average', '  1.46 Max', ' 1582 Sum', ' 15111115)']","[' 10361507 (Average', '  1.45 Max', ' 1582 Sum', ' 15070751 Ratio', '  99.73%)']","[' 316      (Average', ' 127.73 Max', ' 207 Sum', '  40364 Ratio', '   0.27%)']", ,[' 60037   '],[' 2040    '],[' 55459   '],[' 17996   '],"[' 46829    (Atom=Atom', ' 13831 Body=Body', ' 8422 Other', ' 24576)']",[' Yes'],"[' 2836     (Eliminated', '    0 Frozen', ' 2836)']","[' 192      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.187979'],[' 0'], ,[' 160.878'],[' 0'],[' 3.80996'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.2402e+07'],[' 1.89605e+07'],[' 0'],[' 1.06413e+10'],[' 0'],[' 0'],[' 557 '],[' 1011 '],[' 1296 '],[' 1761 '],[' 2071 '],[' 2512 '],[' 2727 '],[' 3177 '],[' 3430 '],[' 2 '],[' 7 ']
Solving...,TA53, , , , , ,[' 499'],[' 259'],"[' 227.158s (Solving', ' 226.05s 1st Model', ' 0.40s Unsat', ' 0.84s)']",[' 226.531s'], ,[' 21392976'],"[' 16125088 (Analyzed', ' 16110634)']","[' 30737    (Average', ' 524.14 Last', ' 421381)']",[' 1153.2  '],"[' 259      (Average Length', ' 180.92 Splits', ' 0)']","[' 16110634 (Deleted', ' 15902087)']","[' 27       (Ratio', '   0.00%)']","[' 1006     (Ratio', '   0.01%)']","[' 16110634 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 16110634 (Average', '  1.29 Max', ' 1546 Sum', ' 20763089)']","[' 16110310 (Average', '  1.29 Max', ' 1546 Sum', ' 20714848 Ratio', '  99.77%)']","[' 324      (Average', ' 148.89 Max', ' 255 Sum', '  48241 Ratio', '   0.23%)']", ,[' 59362   '],[' 1949    '],[' 54926   '],[' 17609   '],"[' 45520    (Atom=Atom', ' 13512 Body=Body', ' 8151 Other', ' 23857)']",[' Yes'],"[' 2785     (Eliminated', '    0 Frozen', ' 2785)']","[' 130      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.191786'],[' 0'], ,[' 123.615'],[' 0'],[' 2.5565'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.37291e+07'],[' 1.80483e+07'],[' 0'],[' 7.93284e+09'],[' 0'],[' 0'],[' 423 '],[' 1114 '],[' 1219 '],[' 1499 '],[' 1826 '],[' 2189 '],[' 2461 '],[' 2879 '],[' 3329 '],[' 2 '],[' 7 ']
Solving...,TA54, , , , , ,[' 529'],[' 274'],"[' 244.363s (Solving', ' 243.22s 1st Model', ' 0.41s Unsat', ' 17.97s)']",[' 243.531s'], ,[' 20191799'],"[' 14815880 (Analyzed', ' 14780614)']","[' 29652    (Average', ' 498.47 Last', ' 50295)']",[' 1123.5  '],"[' 274      (Average Length', ' 189.01 Splits', ' 0)']","[' 14780614 (Deleted', ' 14595006)']","[' 21       (Ratio', '   0.00%)']","[' 1266     (Ratio', '   0.01%)']","[' 14780614 (Average Length', '   12.6 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14780614 (Average', '  1.33 Max', ' 1689 Sum', ' 19593772)']","[' 14780230 (Average', '  1.32 Max', ' 1509 Sum', ' 19518513 Ratio', '  99.62%)']","[' 384      (Average', ' 195.99 Max', ' 281 Sum', '  75259 Ratio', '   0.38%)']", ,[' 59703   '],[' 2062    '],[' 55416   '],[' 17853   '],"[' 47331    (Atom=Atom', ' 13977 Body=Body', ' 8489 Other', ' 24865)']",[' Yes'],"[' 2907     (Eliminated', '    0 Frozen', ' 2907)']","[' 119      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.195583'],[' 0'], ,[' 152.72'],[' 0'],[' 2.78771'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.1424e+07'],[' 1.83018e+07'],[' 0'],[' 9.6113e+09'],[' 0'],[' 0'],[' 485 '],[' 862 '],[' 1228 '],[' 1675 '],[' 2020 '],[' 2250 '],[' 2805 '],[' 3212 '],[' 3391 '],[' 2 '],[' 7 ']
Solving...,TA55, , , , , ,[' 435'],[' 227'],"[' 316.829s (Solving', ' 315.82s 1st Model', ' 0.34s Unsat', ' 91.38s)']",[' 315.328s'], ,[' 28228112'],"[' 20769286 (Analyzed', ' 20760454)']","[' 39225    (Average', ' 529.27 Last', ' 127515)']",[' 1071.6  '],"[' 227      (Average Length', ' 179.02 Splits', ' 0)']","[' 20760454 (Deleted', ' 20497572)']","[' 9        (Ratio', '   0.00%)']","[' 1605     (Ratio', '   0.01%)']","[' 20760454 (Average Length', '   12.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20760454 (Average', '  1.33 Max', ' 1759 Sum', ' 27558782)']","[' 20760078 (Average', '  1.32 Max', ' 1568 Sum', ' 27486569 Ratio', '  99.74%)']","[' 376      (Average', ' 192.06 Max', ' 1439 Sum', '  72213 Ratio', '   0.26%)']", ,[' 59671   '],[' 2085    '],[' 55321   '],[' 17848   '],"[' 47478    (Atom=Atom', ' 14022 Body=Body', ' 8558 Other', ' 24898)']",[' Yes'],"[' 2887     (Eliminated', '    0 Frozen', ' 2887)']","[' 260      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.154157'],[' 0'], ,[' 186.687'],[' 0'],[' 5.28206'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.13235e+07'],[' 2.53228e+07'],[' 0'],[' 1.1413e+10'],[' 0'],[' 0'],[' 682 '],[' 955 '],[' 1351 '],[' 1795 '],[' 2163 '],[' 2428 '],[' 2784 '],[' 3239 '],[' 3455 '],[' 2 '],[' 7 ']
Solving...,TA56, , , , ,[' 1'],[' 433+'],[' 226'],"[' 264.358s (Solving', ' 263.04s 1st Model', ' 0.51s Unsat', ' 38.23s)']",[' 261.719s'], ,[' 19571865'],"[' 14802238 (Analyzed', ' 14795283)']","[' 28783    (Average', ' 514.03 Last', ' 60663)']",[' 1185.4  '],"[' 226      (Average Length', ' 168.18 Splits', ' 0)']","[' 14795283 (Deleted', ' 14580131)']","[' 5        (Ratio', '   0.00%)']","[' 1302     (Ratio', '   0.01%)']","[' 14795283 (Average Length', '   11.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14795283 (Average', '  1.29 Max', ' 1511 Sum', ' 19021021)']","[' 14794865 (Average', '  1.28 Max', ' 1511 Sum', ' 18958488 Ratio', '  99.67%)']","[' 418      (Average', ' 149.60 Max', ' 231 Sum', '  62533 Ratio', '   0.33%)']", ,[' 59310   '],[' 2037    '],[' 55028   '],[' 17622   '],"[' 46729    (Atom=Atom', ' 13824 Body=Body', ' 8407 Other', ' 24498)']",[' Yes'],"[' 2838     (Eliminated', '    0 Frozen', ' 2838)']","[' 61       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.213537'],[' 0'], ,[' 157.513'],[' 0'],[' 4.71745'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.07553e+07'],[' 1.80526e+07'],[' 0'],[' 9.29664e+09'],[' 0'],[' 0'],[' 748 '],[' 1157 '],[' 1365 '],[' 1839 '],[' 2167 '],[' 2471 '],[' 2810 '],[' 3067 '],[' 3470 '],[' 2 '],[' 7 ']
Solving...,TA57, , , , , ,[' 403'],[' 211'],"[' 375.697s (Solving', ' 374.67s 1st Model', ' 0.42s Unsat', ' 39.36s)']",[' 374.000s'], ,[' 32262520'],"[' 21465637 (Analyzed', ' 21460589)']","[' 43038    (Average', ' 498.64 Last', ' 12416)']",[' 1209.5  '],"[' 211      (Average Length', ' 151.03 Splits', ' 0)']","[' 21460589 (Deleted', ' 21200270)']","[' 31       (Ratio', '   0.00%)']","[' 2153     (Ratio', '   0.01%)']","[' 21460589 (Average Length', '   12.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 21460589 (Average', '  1.47 Max', ' 1567 Sum', ' 31516278)']","[' 21460225 (Average', '  1.47 Max', ' 1491 Sum', ' 31468661 Ratio', '  99.85%)']","[' 364      (Average', ' 130.82 Max', ' 212 Sum', '  47617 Ratio', '   0.15%)']", ,[' 59715   '],[' 2041    '],[' 55246   '],[' 17840   '],"[' 46806    (Atom=Atom', ' 13832 Body=Body', ' 8427 Other', ' 24547)']",[' Yes'],"[' 2830     (Eliminated', '    0 Frozen', ' 2830)']","[' 255      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.172408'],[' 0'], ,[' 237.211'],[' 0'],[' 4.82381'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.22886e+07'],[' 3.22514e+07'],[' 0'],[' 1.50473e+10'],[' 0'],[' 0'],[' 522 '],[' 1084 '],[' 1406 '],[' 1807 '],[' 2228 '],[' 2410 '],[' 2798 '],[' 3375 '],[' 3554 '],[' 3 '],[' 6 ']
Solving...,TA58, , , , , ,[' 631'],[' 325'],"[' 57.586s (Solving', ' 56.32s 1st Model', ' 0.51s Unsat', ' 52.20s)']",[' 57.188s'], ,[' 4615457 '],"[' 3040316  (Analyzed', ' 3017294)']","[' 7065     (Average', ' 427.08 Last', ' 372)']",[' 1290.3  '],"[' 325      (Average Length', ' 225.41 Splits', ' 0)']","[' 3017294  (Deleted', ' 2960399)']","[' 29       (Ratio', '   0.00%)']","[' 744      (Ratio', '   0.02%)']","[' 3017294  (Average Length', '   10.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3017294  (Average', '  1.41 Max', ' 1703 Sum', ' 4256572)']","[' 3016957  (Average', '  1.39 Max', ' 1703 Sum', ' 4194371 Ratio', '  98.54%)']","[' 337      (Average', ' 184.57 Max', ' 321 Sum', '  62201 Ratio', '   1.46%)']", ,[' 60009   '],[' 2086    '],[' 55700   '],[' 18116   '],"[' 47771    (Atom=Atom', ' 14117 Body=Body', ' 8559 Other', ' 25095)']",[' Yes'],"[' 2985     (Eliminated', '    0 Frozen', ' 2985)']","[' 13       (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.238475'],[' 0'], ,[' 33.7327'],[' 0'],[' 0.650449'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.16883e+07'],[' 4.58784e+06'],[' 0'],[' 2.04696e+09'],[' 0'],[' 0'],[' 555 '],[' 933 '],[' 1291 '],[' 1641 '],[' 2010 '],[' 2316 '],[' 2805 '],[' 3209 '],[' 3551 '],[' 0 '],[' 9 ']
Solving...,TA59, , , , ,[' 1'],[' 453+'],[' 236'],"[' 557.709s (Solving', ' 556.64s 1st Model', ' 0.38s Unsat', ' 0.30s)']",[' 554.406s'], ,[' 40164634'],"[' 29033053 (Analyzed', ' 29017741)']","[' 54482    (Average', ' 532.61 Last', ' 82456)']",[' 1157.5  '],"[' 236      (Average Length', ' 168.36 Splits', ' 0)']","[' 29017741 (Deleted', ' 28671683)']","[' 16       (Ratio', '   0.00%)']","[' 2015     (Ratio', '   0.01%)']","[' 29017741 (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29017741 (Average', '  1.35 Max', ' 1462 Sum', ' 39229684)']","[' 29017403 (Average', '  1.35 Max', ' 1462 Sum', ' 39175901 Ratio', '  99.86%)']","[' 338      (Average', ' 159.12 Max', ' 234 Sum', '  53783 Ratio', '   0.14%)']", ,[' 59354   '],[' 2001    '],[' 54996   '],[' 17594   '],"[' 46275    (Atom=Atom', ' 13697 Body=Body', ' 8307 Other', ' 24271)']",[' Yes'],"[' 2812     (Eliminated', '    0 Frozen', ' 2812)']","[' 293      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.181361'],[' 0'], ,[' 364.385'],[' 0'],[' 8.51461'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05019e+08'],[' 3.94096e+07'],[' 0'],[' 2.44112e+10'],[' 0'],[' 0'],[' 470 '],[' 980 '],[' 1178 '],[' 1511 '],[' 1946 '],[' 2354 '],[' 2672 '],[' 3155 '],[' 3426 '],[' 5 '],[' 4 ']
Solving...,TA60, , , , , ,[' 645'],[' 332'],"[' 342.785s (Solving', ' 341.41s 1st Model', ' 0.56s Unsat', ' 226.39s)']",[' 341.203s'], ,[' 28744477'],"[' 19855315 (Analyzed', ' 19835276)']","[' 39348    (Average', ' 504.10 Last', ' 196575)']",[' 1272.0  '],"[' 332      (Average Length', ' 220.99 Splits', ' 0)']","[' 19835276 (Deleted', ' 19538422)']","[' 20       (Ratio', '   0.00%)']","[' 1696     (Ratio', '   0.01%)']","[' 19835276 (Average Length', '   12.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 19835276 (Average', '  1.41 Max', ' 1702 Sum', ' 27972214)']","[' 19835025 (Average', '  1.41 Max', ' 1650 Sum', ' 27923345 Ratio', '  99.83%)']","[' 251      (Average', ' 194.70 Max', ' 332 Sum', '  48869 Ratio', '   0.17%)']", ,[' 60355   '],[' 2063    '],[' 55878   '],[' 18238   '],"[' 47506    (Atom=Atom', ' 14041 Body=Body', ' 8493 Other', ' 24972)']",[' Yes'],"[' 2967     (Eliminated', '    0 Frozen', ' 2967)']","[' 158      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.237383'],[' 0'], ,[' 200.031'],[' 0'],[' 4.11556'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.11682e+07'],[' 3.68413e+07'],[' 0'],[' 1.28073e+10'],[' 0'],[' 0'],[' 452 '],[' 808 '],[' 1290 '],[' 1588 '],[' 1900 '],[' 2286 '],[' 2503 '],[' 2967 '],[' 3268 '],[' 1 '],[' 8 ']
