Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Completion Time for Window 6 ,Completion Time for Window 7 ,Completion Time for Window 8 ,Completion Time for Window 9 ,Completion Time for Window 10 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , ,[' 1'],[' 2083+'],[' 1052'],"[' 911.563s (Solving', ' 900.29s 1st Model', ' 9.64s Unsat', ' 0.66s)']",[' 909.922s'], ,[' 99934358'],"[' 28552510 (Analyzed', ' 28451109)']","[' 55569    (Average', ' 512.00 Last', ' 115593)']",[' 5550.1  '],"[' 1052     (Average Length', ' 643.25 Splits', ' 0)']","[' 28451109 (Deleted', ' 28160615)']","[' 10       (Ratio', '   0.00%)']","[' 9098     (Ratio', '   0.03%)']","[' 28451109 (Average Length', '   17.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 28451109 (Average', '  3.32 Max', ' 7470 Sum', ' 94565111)']","[' 28449252 (Average', '  3.28 Max', ' 7470 Sum', ' 93431553 Ratio', '  98.80%)']","[' 1857     (Average', ' 610.42 Max', ' 824 Sum', ' 1133558 Ratio', '   1.20%)']", ,[' 256129  '],[' 10029   '],[' 236006  '],[' 75038   '],"[' 196773   (Atom=Atom', ' 55775 Body=Body', ' 36067 Other', ' 104931)']",[' Yes'],"[' 12618    (Eliminated', '    0 Frozen', ' 12618)']","[' 1744     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.25953'],[' 0'], ,[' 679.387'],[' 0'],[' 15.1017'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.86392e+08'],[' 1.10698e+08'],[' 0'],[' 4.53187e+10'],[' 0'],[' 0'],[' 906 '],[' 1755 '],[' 2656 '],[' 3445 '],[' 3449 '],[' 4031 '],[' 4840 '],[' 5752 '],[' 5896 '],[' 6347 '],[' 9 '],[' 1 ']
Solving...,TA72, , , , ,[' 1'],[' 2165+'],[' 1093'],"[' 1003.750s (Solving', ' 993.16s 1st Model', ' 8.23s Unsat', ' 0.00s)']",[' 1001.656s'], ,[' 91237764'],"[' 33617786 (Analyzed', ' 33514224)']","[' 64240    (Average', ' 521.70 Last', ' 378341)']",[' 5129.2  '],"[' 1093     (Average Length', ' 680.09 Splits', ' 0)']","[' 33514224 (Deleted', ' 33150273)']","[' 12       (Ratio', '   0.00%)']","[' 7854     (Ratio', '   0.02%)']","[' 33514224 (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33514224 (Average', '  2.58 Max', ' 8242 Sum', ' 86299278)']","[' 33512407 (Average', '  2.54 Max', ' 7377 Sum', ' 85054065 Ratio', '  98.56%)']","[' 1817     (Average', ' 685.31 Max', ' 938 Sum', ' 1245213 Ratio', '   1.44%)']", ,[' 258642  '],[' 9895    '],[' 237164  '],[' 76365   '],"[' 194628   (Atom=Atom', ' 55280 Body=Body', ' 35665 Other', ' 103683)']",[' Yes'],"[' 12553    (Eliminated', '    0 Frozen', ' 12553)']","[' 1594     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03652'],[' 0'], ,[' 757.89'],[' 0'],[' 15.3803'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.81775e+08'],[' 9.88425e+07'],[' 0'],[' 5.20465e+10'],[' 0'],[' 0'],[' 690 '],[' 1430 '],[' 1982 '],[' 2678 '],[' 3619 '],[' 3847 '],[' 4517 '],[' 4948 '],[' 5630 '],[' 6219 '],[' 10 '],[' 0 ']
Solving...,TA73, , , , ,[' 1'],[' 2391+'],[' 1206'],"[' 946.914s (Solving', ' 935.08s 1st Model', ' 9.92s Unsat', ' 37.56s)']",[' 944.156s'], ,[' 92653322'],"[' 33650820 (Analyzed', ' 33538366)']","[' 65715    (Average', ' 510.36 Last', ' 221506)']",[' 5425.1  '],"[' 1206     (Average Length', ' 721.74 Splits', ' 0)']","[' 33538366 (Deleted', ' 33176309)']","[' 13       (Ratio', '   0.00%)']","[' 7223     (Ratio', '   0.02%)']","[' 33538366 (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33538366 (Average', '  2.59 Max', ' 8250 Sum', ' 86915088)']","[' 33536553 (Average', '  2.55 Max', ' 7440 Sum', ' 85603276 Ratio', '  98.49%)']","[' 1813     (Average', ' 723.56 Max', ' 1009 Sum', ' 1311812 Ratio', '   1.51%)']", ,[' 256541  '],[' 9891    '],[' 236285  '],[' 75131   '],"[' 194986   (Atom=Atom', ' 55377 Body=Body', ' 35653 Other', ' 103956)']",[' Yes'],"[' 12654    (Eliminated', '    0 Frozen', ' 12654)']","[' 1258     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.31274'],[' 0'], ,[' 697.989'],[' 0'],[' 12.6871'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.83278e+08'],[' 9.8383e+07'],[' 0'],[' 4.74737e+10'],[' 0'],[' 0'],[' 1054 '],[' 1763 '],[' 2317 '],[' 3054 '],[' 3563 '],[' 4100 '],[' 4736 '],[' 5149 '],[' 5844 '],[' 6423 '],[' 9 '],[' 1 ']
Solving...,TA74, , , , ,[' 1'],[' 2413+'],[' 1217'],"[' 1004.181s (Solving', ' 991.62s 1st Model', ' 10.03s Unsat', ' 0.00s)']",[' 1002.344s'], ,[' 95774144'],"[' 34361059 (Analyzed', ' 34242601)']","[' 65685    (Average', ' 521.32 Last', ' 152742)']",[' 5533.2  '],"[' 1217     (Average Length', ' 736.53 Splits', ' 0)']","[' 34242601 (Deleted', ' 33909831)']","[' 13       (Ratio', '   0.00%)']","[' 9146     (Ratio', '   0.03%)']","[' 34242601 (Average Length', '   15.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34242601 (Average', '  2.62 Max', ' 7912 Sum', ' 89694050)']","[' 34240809 (Average', '  2.59 Max', ' 7368 Sum', ' 88567485 Ratio', '  98.74%)']","[' 1792     (Average', ' 628.66 Max', ' 948 Sum', ' 1126565 Ratio', '   1.26%)']", ,[' 259531  '],[' 9939    '],[' 238038  '],[' 76871   '],"[' 195717   (Atom=Atom', ' 55580 Body=Body', ' 35797 Other', ' 104340)']",[' Yes'],"[' 12724    (Eliminated', '    0 Frozen', ' 12724)']","[' 1756     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.52015'],[' 0'], ,[' 737.141'],[' 0'],[' 15.1444'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.95829e+08'],[' 1.10146e+08'],[' 0'],[' 5.1152e+10'],[' 0'],[' 0'],[' 885 '],[' 1483 '],[' 2081 '],[' 2577 '],[' 3322 '],[' 3877 '],[' 4521 '],[' 5136 '],[' 5565 '],[' 6061 '],[' 10 '],[' 0 ']
Solving...,TA75, , , , ,[' 1'],[' 2325+'],[' 1173'],"[' 1004.025s (Solving', ' 992.46s 1st Model', ' 10.11s Unsat', ' 0.00s)']",[' 1001.797s'], ,[' 100058669'],"[' 34818993 (Analyzed', ' 34660033)']","[' 68026    (Average', ' 509.51 Last', ' 77213)']",[' 5302.6  '],"[' 1173     (Average Length', ' 717.88 Splits', ' 0)']","[' 34660033 (Deleted', ' 34299607)']","[' 17       (Ratio', '   0.00%)']","[' 8144     (Ratio', '   0.02%)']","[' 34660033 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 34660033 (Average', '  2.73 Max', ' 7606 Sum', ' 94472469)']","[' 34658214 (Average', '  2.69 Max', ' 7606 Sum', ' 93199281 Ratio', '  98.65%)']","[' 1819     (Average', ' 699.94 Max', ' 1003 Sum', ' 1273188 Ratio', '   1.35%)']", ,[' 259852  '],[' 10125   '],[' 238730  '],[' 77096   '],"[' 198284   (Atom=Atom', ' 56280 Body=Body', ' 36355 Other', ' 105649)']",[' Yes'],"[' 12858    (Eliminated', '    0 Frozen', ' 12858)']","[' 1227     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.2372'],[' 0'], ,[' 743.615'],[' 0'],[' 14.7162'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.94599e+08'],[' 1.07586e+08'],[' 0'],[' 5.14699e+10'],[' 0'],[' 0'],[' 904 '],[' 1440 '],[' 2114 '],[' 2995 '],[' 3420 '],[' 3918 '],[' 4355 '],[' 5049 '],[' 5730 '],[' 6537 '],[' 10 '],[' 0 ']
Solving...,TA76, , , , ,[' 1'],[' 2745+'],[' 1383'],"[' 954.576s (Solving', ' 941.02s 1st Model', ' 11.94s Unsat', ' 44.83s)']",[' 952.156s'], ,[' 90997135'],"[' 30097039 (Analyzed', ' 29975955)']","[' 56614    (Average', ' 529.48 Last', ' 124985)']",[' 5398.6  '],"[' 1383     (Average Length', ' 816.68 Splits', ' 0)']","[' 29975955 (Deleted', ' 29636577)']","[' 11       (Ratio', '   0.00%)']","[' 8201     (Ratio', '   0.03%)']","[' 29975955 (Average Length', '   15.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 29975955 (Average', '  2.83 Max', ' 7385 Sum', ' 84780004)']","[' 29974297 (Average', '  2.78 Max', ' 7385 Sum', ' 83458669 Ratio', '  98.44%)']","[' 1658     (Average', ' 796.95 Max', ' 1221 Sum', ' 1321335 Ratio', '   1.56%)']", ,[' 258335  '],[' 9838    '],[' 237361  '],[' 76232   '],"[' 194563   (Atom=Atom', ' 55342 Body=Body', ' 35494 Other', ' 103727)']",[' Yes'],"[' 12761    (Eliminated', '    0 Frozen', ' 12761)']","[' 1257     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.72089'],[' 0'], ,[' 704.18'],[' 0'],[' 15.2122'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.76365e+08'],[' 1.02178e+08'],[' 0'],[' 4.63685e+10'],[' 0'],[' 0'],[' 799 '],[' 1514 '],[' 2090 '],[' 2669 '],[' 3148 '],[' 3786 '],[' 4344 '],[' 4814 '],[' 5643 '],[' 6143 '],[' 9 '],[' 1 ']
Solving...,TA77, , , , ,[' 1'],[' 2443+'],[' 1232'],"[' 1004.667s (Solving', ' 990.96s 1st Model', ' 11.75s Unsat', ' 0.00s)']",[' 998.703s'], ,[' 88576798'],"[' 33852540 (Analyzed', ' 33711649)']","[' 65072    (Average', ' 518.07 Last', ' 201545)']",[' 5528.0  '],"[' 1232     (Average Length', ' 748.98 Splits', ' 0)']","[' 33711649 (Deleted', ' 33337478)']","[' 16       (Ratio', '   0.00%)']","[' 7883     (Ratio', '   0.02%)']","[' 33711649 (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 33711649 (Average', '  2.44 Max', ' 7594 Sum', ' 82345620)']","[' 33710147 (Average', '  2.41 Max', ' 7594 Sum', ' 81331624 Ratio', '  98.77%)']","[' 1502     (Average', ' 675.10 Max', ' 1026 Sum', ' 1013996 Ratio', '   1.23%)']", ,[' 257990  '],[' 9892    '],[' 237116  '],[' 76037   '],"[' 194950   (Atom=Atom', ' 55407 Body=Body', ' 35656 Other', ' 103887)']",[' Yes'],"[' 12680    (Eliminated', '    0 Frozen', ' 12680)']","[' 1252     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.76548'],[' 0'], ,[' 723.085'],[' 0'],[' 13.3673'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.78293e+08'],[' 9.61756e+07'],[' 0'],[' 4.50695e+10'],[' 0'],[' 0'],[' 892 '],[' 1509 '],[' 2170 '],[' 2852 '],[' 3386 '],[' 3877 '],[' 4316 '],[' 5066 '],[' 5681 '],[' 6120 '],[' 10 '],[' 0 ']
Solving...,TA78, , , , ,[' 1'],[' 2497+'],[' 1259'],"[' 911.469s (Solving', ' 897.13s 1st Model', ' 13.38s Unsat', ' 0.16s)']",[' 905.297s'], ,[' 74961288'],"[' 27384588 (Analyzed', ' 27221085)']","[' 53952    (Average', ' 504.54 Last', ' 73906)']",[' 5541.5  '],"[' 1259     (Average Length', ' 746.25 Splits', ' 0)']","[' 27221085 (Deleted', ' 26895611)']","[' 18       (Ratio', '   0.00%)']","[' 6259     (Ratio', '   0.02%)']","[' 27221085 (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 27221085 (Average', '  2.53 Max', ' 7604 Sum', ' 68988010)']","[' 27219443 (Average', '  2.49 Max', ' 7604 Sum', ' 67780333 Ratio', '  98.25%)']","[' 1642     (Average', ' 735.49 Max', ' 1013 Sum', ' 1207677 Ratio', '   1.75%)']", ,[' 257212  '],[' 9843    '],[' 236527  '],[' 75591   '],"[' 194384   (Atom=Atom', ' 55238 Body=Body', ' 35509 Other', ' 103637)']",[' Yes'],"[' 12658    (Eliminated', '    0 Frozen', ' 12658)']","[' 985      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.81794'],[' 0'], ,[' 649.395'],[' 0'],[' 12.6244'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.46883e+08'],[' 7.95682e+07'],[' 0'],[' 3.669e+10'],[' 0'],[' 0'],[' 779 '],[' 1565 '],[' 2595 '],[' 2857 '],[' 3428 '],[' 3728 '],[' 4577 '],[' 4990 '],[' 5532 '],[' 6159 '],[' 9 '],[' 1 ']
Solving...,TA79, , , , ,[' 1'],[' 2375+'],[' 1198'],"[' 1005.077s (Solving', ' 990.73s 1st Model', ' 12.42s Unsat', ' 0.00s)']",[' 990.813s'], ,[' 77556777'],"[' 25311538 (Analyzed', ' 25202867)']","[' 50035    (Average', ' 503.70 Last', ' 13499)']",[' 5333.3  '],"[' 1198     (Average Length', ' 720.89 Splits', ' 0)']","[' 25202867 (Deleted', ' 24917819)']","[' 14       (Ratio', '   0.00%)']","[' 8349     (Ratio', '   0.03%)']","[' 25202867 (Average Length', '   16.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25202867 (Average', '  2.86 Max', ' 7490 Sum', ' 72131859)']","[' 25201191 (Average', '  2.81 Max', ' 7490 Sum', ' 70921512 Ratio', '  98.32%)']","[' 1676     (Average', ' 722.16 Max', ' 1033 Sum', ' 1210347 Ratio', '   1.68%)']", ,[' 258909  '],[' 9936    '],[' 237639  '],[' 76521   '],"[' 195559   (Atom=Atom', ' 55549 Body=Body', ' 35788 Other', ' 104222)']",[' Yes'],"[' 12684    (Eliminated', '    0 Frozen', ' 12684)']","[' 1638     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.81043'],[' 0'], ,[' 739.538'],[' 0'],[' 15.9877'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.49177e+08'],[' 8.63391e+07'],[' 0'],[' 4.02255e+10'],[' 0'],[' 0'],[' 797 '],[' 1483 '],[' 2017 '],[' 2921 '],[' 3130 '],[' 3676 '],[' 4271 '],[' 4738 '],[' 5378 '],[' 5986 '],[' 10 '],[' 0 ']
Solving...,TA80, , , , ,[' 1'],[' 2277+'],[' 1149'],"[' 1004.240s (Solving', ' 991.87s 1st Model', ' 10.17s Unsat', ' 0.00s)']",[' 1000.672s'], ,[' 95164635'],"[' 32561388 (Analyzed', ' 32442656)']","[' 61289    (Average', ' 529.34 Last', ' 123237)']",[' 5445.9  '],"[' 1149     (Average Length', ' 700.01 Splits', ' 0)']","[' 32442656 (Deleted', ' 32116476)']","[' 17       (Ratio', '   0.00%)']","[' 8523     (Ratio', '   0.03%)']","[' 32442656 (Average Length', '   16.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 32442656 (Average', '  2.76 Max', ' 7596 Sum', ' 89542486)']","[' 32440795 (Average', '  2.72 Max', ' 7411 Sum', ' 88351053 Ratio', '  98.67%)']","[' 1861     (Average', ' 640.21 Max', ' 986 Sum', ' 1191433 Ratio', '   1.33%)']", ,[' 257489  '],[' 10099   '],[' 237209  '],[' 75869   '],"[' 197871   (Atom=Atom', ' 56152 Body=Body', ' 36277 Other', ' 105442)']",[' Yes'],"[' 12805    (Eliminated', '    0 Frozen', ' 12805)']","[' 1627     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.46872'],[' 0'], ,[' 744.056'],[' 0'],[' 13.4501'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.85963e+08'],[' 1.04295e+08'],[' 0'],[' 4.707e+10'],[' 0'],[' 0'],[' 1014 '],[' 1595 '],[' 2242 '],[' 2905 '],[' 3306 '],[' 3771 '],[' 4507 '],[' 4989 '],[' 5420 '],[' 6065 '],[' 10 '],[' 0 ']
