Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,UNKNOWN,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , , , ,[' 8141+'],[' 4073'],"[' 1046.323s (Solving', ' 935.99s 1st Model', ' 322.72s Unsat', ' 0.00s)']",[' 1040.000s'], ,[' 332981022'],"[' 8491704  (Analyzed', ' 3536)']","[' 2931     (Average', ' 1.21 Last', ' 0)']",[' 28437.5 '],"[' 4074     (Average Length', ' 2034.68 Splits', ' 0)']","[' 58633    (Deleted', ' 25769)']","[' 66       (Ratio', '   0.11%)']","[' 6296     (Ratio', '  10.74%)']","[' 3536     (Average Length', '   71.0 Ratio', '   6.03%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 55097    (Average Length', '   52.6 Ratio', '  93.97%) ']","[' 3536     (Average', ' 644.69 Max', ' 19840 Sum', ' 2279625)']","[' 3536     (Average', ' 644.69 Max', ' 19840 Sum', ' 2279625 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 556559  '],[' 49478   '],[' 535851  '],[' 257480  '],"[' 927942   (Atom=Atom', ' 260521 Body=Body', ' 153474 Other', ' 513947)']",[' Yes'],"[' 53508    (Eliminated', '    0 Frozen', ' 53508)']","[' 904      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.1562'],[' 0'], ,[' 480.531'],[' 0'],[' 24.5485'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.78849e+08'],[' 3.53842e+08'],[' 0'],[' 2.55569e+10'],[' 0'],[' 0'],[' 7099 '],[' 24466 '],[' 2 '],[' 0 ']
Solving...,TA72, , , , , , , , , ,[' 6857+'],[' 3430'],"[' 536.235s (Solving', ' 451.70s 1st Model', ' 241.38s Unsat', ' 0.00s)']",[' 531.078s'], ,[' 253912417'],"[' 476239   (Analyzed', ' 4018)']","[' 2272     (Average', ' 1.77 Last', ' 76)']",[' 25465.3 '],"[' 3431     (Average Length', ' 1715.00 Splits', ' 0)']","[' 64340    (Deleted', ' 0)']","[' 67       (Ratio', '   0.10%)']","[' 7530     (Ratio', '  11.70%)']","[' 4018     (Average Length', '   73.2 Ratio', '   6.24%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 60322    (Average Length', '   55.8 Ratio', '  93.76%) ']","[' 4018     (Average', ' 495.39 Max', ' 20856 Sum', ' 1990469)']","[' 4018     (Average', ' 495.39 Max', ' 20856 Sum', ' 1990469 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 291132  '],[' 24546   '],[' 294559  '],[' 126157  '],"[' 378471   (Atom=Atom', ' 101611 Body=Body', ' 73638 Other', ' 203222)']",[' Yes'],"[' 27974    (Eliminated', '    0 Frozen', ' 27974)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 11.9593'],[' 0'], ,[' 102.262'],[' 0'],[' 17.9255'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.86445e+08'],[' 2.70581e+08'],[' 0'],[' 7.62391e+08'],[' 0'],[' 0']
Solving...,TA73, , , , , ,[' 6773+'],[' 3389'],"[' 1045.476s (Solving', ' 939.10s 1st Model', ' 368.82s Unsat', ' 0.00s)']",[' 1040.453s'], ,[' 304022497'],"[' 6222785  (Analyzed', ' 3270)']","[' 2549     (Average', ' 1.28 Last', ' 129)']",[' 27659.4 '],"[' 3390     (Average Length', ' 1694.40 Splits', ' 0)']","[' 53751    (Deleted', ' 23062)']","[' 70       (Ratio', '   0.13%)']","[' 5541     (Ratio', '  10.31%)']","[' 3270     (Average Length', '   75.9 Ratio', '   6.08%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 50481    (Average Length', '   56.4 Ratio', '  93.92%) ']","[' 3270     (Average', ' 607.33 Max', ' 20395 Sum', ' 1985976)']","[' 3270     (Average', ' 607.33 Max', ' 20395 Sum', ' 1985976 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 555095  '],[' 49358   '],[' 533802  '],[' 256196  '],"[' 924210   (Atom=Atom', ' 259477 Body=Body', ' 153114 Other', ' 511619)']",[' Yes'],"[' 52743    (Eliminated', '    0 Frozen', ' 52743)']","[' 975      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.018'],[' 0'], ,[' 473.195'],[' 0'],[' 28.2069'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.397e+08'],[' 3.18651e+08'],[' 0'],[' 1.91714e+10'],[' 0'],[' 0'],[' 9757 '],[' 28505 '],[' 2 '],[' 0 ']
Solving...,TA74, , , , , ,[' 8175+'],[' 4090'],"[' 1044.825s (Solving', ' 934.68s 1st Model', ' 322.84s Unsat', ' 0.00s)']",[' 1041.016s'], ,[' 338872154'],"[' 8570523  (Analyzed', ' 4455)']","[' 2956     (Average', ' 1.51 Last', ' 104)']",[' 28466.1 '],"[' 4091     (Average Length', ' 2044.17 Splits', ' 0)']","[' 67780    (Deleted', ' 30110)']","[' 108      (Ratio', '   0.16%)']","[' 7002     (Ratio', '  10.33%)']","[' 4455     (Average Length', '   72.8 Ratio', '   6.57%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 63325    (Average Length', '   54.9 Ratio', '  93.43%) ']","[' 4455     (Average', ' 538.13 Max', ' 23430 Sum', ' 2397360)']","[' 4455     (Average', ' 538.13 Max', ' 23430 Sum', ' 2397360 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 554769  '],[' 49200   '],[' 534236  '],[' 256107  '],"[' 924101   (Atom=Atom', ' 259704 Body=Body', ' 152640 Other', ' 511757)']",[' Yes'],"[' 53266    (Eliminated', '    0 Frozen', ' 53266)']","[' 919      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.5948'],[' 0'], ,[' 474.466'],[' 0'],[' 24.583'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.87768e+08'],[' 3.61845e+08'],[' 0'],[' 2.57561e+10'],[' 0'],[' 0'],[' 9035 '],[' 24206 '],[' 2 '],[' 0 ']
Solving...,TA75, , , , , ,[' 8461+'],[' 4233'],"[' 1045.067s (Solving', ' 936.23s 1st Model', ' 324.39s Unsat', ' 0.00s)']",[' 1039.344s'], ,[' 361328676'],"[' 8975239  (Analyzed', ' 3625)']","[' 2988     (Average', ' 1.21 Last', ' 1)']",[' 28638.7 '],"[' 4234     (Average Length', ' 2116.04 Splits', ' 0)']","[' 60798    (Deleted', ' 27081)']","[' 71       (Ratio', '   0.12%)']","[' 6721     (Ratio', '  11.05%)']","[' 3625     (Average Length', '   71.8 Ratio', '   5.96%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 57173    (Average Length', '   53.0 Ratio', '  94.04%) ']","[' 3625     (Average', ' 751.30 Max', ' 19756 Sum', ' 2723449)']","[' 3625     (Average', ' 751.30 Max', ' 19756 Sum', ' 2723449 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 556160  '],[' 49392   '],[' 535680  '],[' 257210  '],"[' 927217   (Atom=Atom', ' 260423 Body=Body', ' 153216 Other', ' 513578)']",[' Yes'],"[' 53607    (Eliminated', '    0 Frozen', ' 53607)']","[' 683      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.2612'],[' 0'], ,[' 476.45'],[' 0'],[' 24.9258'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.10972e+08'],[' 3.83103e+08'],[' 0'],[' 2.6733e+10'],[' 0'],[' 0'],[' 6674 '],[' 25499 '],[' 2 '],[' 0 ']
Solving...,TA76, , , , , , , , , ,[' 7655+'],[' 3829'],"[' 545.866s (Solving', ' 447.48s 1st Model', ' 209.10s Unsat', ' 0.00s)']",[' 541.516s'], ,[' 228092400'],"[' 705427   (Analyzed', ' 3742)']","[' 2724     (Average', ' 1.37 Last', ' 0)']",[' 25762.5 '],"[' 3830     (Average Length', ' 1914.50 Splits', ' 0)']","[' 56532    (Deleted', ' 0)']","[' 58       (Ratio', '   0.10%)']","[' 6183     (Ratio', '  10.94%)']","[' 3742     (Average Length', '   74.4 Ratio', '   6.62%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 52790    (Average Length', '   58.9 Ratio', '  93.38%) ']","[' 3742     (Average', ' 468.24 Max', ' 21363 Sum', ' 1752172)']","[' 3742     (Average', ' 468.24 Max', ' 21363 Sum', ' 1752172 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 291895  '],[' 24598   '],[' 295721  '],[' 126816  '],"[' 380448   (Atom=Atom', ' 102218 Body=Body', ' 73794 Other', ' 204436)']",[' Yes'],"[' 28425    (Eliminated', '    0 Frozen', ' 28425)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.7375'],[' 0'], ,[' 100.241'],[' 0'],[' 16.024'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.56192e+08'],[' 2.42868e+08'],[' 0'],[' 1.10278e+09'],[' 0'],[' 0']
Solving...,TA77, , , , , ,[' 7491+'],[' 3748'],"[' 1045.922s (Solving', ' 934.66s 1st Model', ' 333.82s Unsat', ' 0.00s)']",[' 1036.578s'], ,[' 318716733'],"[' 7578711  (Analyzed', ' 3308)']","[' 2489     (Average', ' 1.33 Last', ' 0)']",[' 28014.3 '],"[' 3749     (Average Length', ' 1873.89 Splits', ' 0)']","[' 54810    (Deleted', ' 23907)']","[' 46       (Ratio', '   0.08%)']","[' 5748     (Ratio', '  10.49%)']","[' 3308     (Average Length', '   70.3 Ratio', '   6.04%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 51502    (Average Length', '   52.1 Ratio', '  93.96%) ']","[' 3308     (Average', ' 679.05 Max', ' 19804 Sum', ' 2246292)']","[' 3308     (Average', ' 679.05 Max', ' 19804 Sum', ' 2246292 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 554115  '],[' 49152   '],[' 533284  '],[' 255525  '],"[' 922403   (Atom=Atom', ' 259218 Body=Body', ' 152496 Other', ' 510689)']",[' Yes'],"[' 52896    (Eliminated', '    0 Frozen', ' 52896)']","[' 794      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.169'],[' 0'], ,[' 474.4'],[' 0'],[' 25.399'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.57508e+08'],[' 3.34113e+08'],[' 0'],[' 2.34004e+10'],[' 0'],[' 0'],[' 9725 '],[' 28229 '],[' 2 '],[' 0 ']
Solving...,TA78, , , , , , , , , ,[' 6949+'],[' 3476'],"[' 539.244s (Solving', ' 448.13s 1st Model', ' 221.24s Unsat', ' 0.00s)']",[' 534.625s'], ,[' 226170732'],"[' 495106   (Analyzed', ' 3486)']","[' 2342     (Average', ' 1.49 Last', ' 61)']",[' 25717.9 '],"[' 3477     (Average Length', ' 1738.00 Splits', ' 0)']","[' 55019    (Deleted', ' 0)']","[' 54       (Ratio', '   0.10%)']","[' 5910     (Ratio', '  10.74%)']","[' 3486     (Average Length', '   72.8 Ratio', '   6.34%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 51533    (Average Length', '   56.7 Ratio', '  93.66%) ']","[' 3486     (Average', ' 478.59 Max', ' 18469 Sum', ' 1668365)']","[' 3486     (Average', ' 478.59 Max', ' 18469 Sum', ' 1668365 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 291878  '],[' 24646   '],[' 295351  '],[' 126703  '],"[' 380109   (Atom=Atom', ' 102057 Body=Body', ' 73938 Other', ' 204114)']",[' Yes'],"[' 28120    (Eliminated', '    0 Frozen', ' 28120)']","[' 0        (Binary', '   0.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 12.5497'],[' 0'], ,[' 97.2244'],[' 0'],[' 16.6286'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.52174e+08'],[' 2.37895e+08'],[' 0'],[' 6.94351e+08'],[' 0'],[' 0']
Solving...,TA79, , , , , ,[' 7969+'],[' 3987'],"[' 1045.267s (Solving', ' 934.02s 1st Model', ' 312.85s Unsat', ' 0.00s)']",[' 1038.234s'], ,[' 310417274'],"[' 7816486  (Analyzed', ' 3354)']","[' 2882     (Average', ' 1.16 Last', ' 55)']",[' 28125.8 '],"[' 3988     (Average Length', ' 1992.99 Splits', ' 0)']","[' 56280    (Deleted', ' 24343)']","[' 50       (Ratio', '   0.09%)']","[' 6069     (Ratio', '  10.78%)']","[' 3354     (Average Length', '   73.8 Ratio', '   5.96%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 52926    (Average Length', '   54.8 Ratio', '  94.04%) ']","[' 3354     (Average', ' 484.98 Max', ' 20575 Sum', ' 1626613)']","[' 3354     (Average', ' 484.98 Max', ' 20575 Sum', ' 1626613 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 555862  '],[' 49384   '],[' 535141  '],[' 256924  '],"[' 926368   (Atom=Atom', ' 260153 Body=Body', ' 153192 Other', ' 513023)']",[' Yes'],"[' 53354    (Eliminated', '    0 Frozen', ' 53354)']","[' 936      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.0957'],[' 0'], ,[' 478.97'],[' 0'],[' 23.9593'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.51257e+08'],[' 3.27579e+08'],[' 0'],[' 2.37596e+10'],[' 0'],[' 0'],[' 10342 '],[' 26388 '],[' 2 '],[' 0 ']
Solving...,TA80, , , , , ,[' 7353+'],[' 3679'],"[' 1045.347s (Solving', ' 938.66s 1st Model', ' 363.14s Unsat', ' 0.00s)']",[' 1037.203s'], ,[' 336865343'],"[' 6374324  (Analyzed', ' 3603)']","[' 2499     (Average', ' 1.44 Last', ' 89)']",[' 27792.5 '],"[' 3680     (Average Length', ' 1839.25 Splits', ' 0)']","[' 59482    (Deleted', ' 25623)']","[' 71       (Ratio', '   0.12%)']","[' 6949     (Ratio', '  11.68%)']","[' 3603     (Average Length', '   73.2 Ratio', '   6.06%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 55879    (Average Length', '   53.0 Ratio', '  93.94%) ']","[' 3603     (Average', ' 566.92 Max', ' 19224 Sum', ' 2042597)']","[' 3603     (Average', ' 566.92 Max', ' 19224 Sum', ' 2042597 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 555190  '],[' 49328   '],[' 534196  '],[' 256336  '],"[' 924660   (Atom=Atom', ' 259677 Body=Body', ' 153024 Other', ' 511959)']",[' Yes'],"[' 52997    (Eliminated', '    0 Frozen', ' 52997)']","[' 992      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.9346'],[' 0'], ,[' 473.085'],[' 0'],[' 27.3297'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 3.81522e+08'],[' 3.58598e+08'],[' 0'],[' 1.97707e+10'],[' 0'],[' 0'],[' 8563 '],[' 26358 '],[' 2 '],[' 0 ']
