Optimal Found Or Timeout,Instances,Solving...,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , , ,[' 1'],[' 8949+'],[' 4477'],"[' 1010.028s (Solving', ' 973.03s 1st Model', ' 716.91s Unsat', ' 0.00s)']",[' 1005.438s'], ,[' 391075757'],"[' 4012949  (Analyzed', ' 188994)']","[' 3968     (Average', ' 47.63 Last', ' 11405)']",[' 8939.5  '],"[' 4477     (Average Length', ' 2171.87 Splits', ' 0)']","[' 1865920  (Deleted', ' 1736003)']","[' 416      (Ratio', '   0.02%)']","[' 58415    (Ratio', '   3.13%)']","[' 188994   (Average Length', '   32.2 Ratio', '  10.13%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1676926  (Average Length', '   21.0 Ratio', '  89.87%) ']","[' 188994   (Average', ' 30.07 Max', ' 5535 Sum', ' 5683749)']","[' 188994   (Average', ' 30.07 Max', ' 5535 Sum', ' 5683749 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 148308  '],[' 12054   '],[' 146388  '],[' 67765   '],"[' 243721   (Atom=Atom', ' 69654 Body=Body', ' 38702 Other', ' 135365)']",[' Yes'],"[' 16160    (Eliminated', '    0 Frozen', ' 16160)']","[' 6497     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 7.5456'],[' 0'], ,[' 348.351'],[' 0'],[' 28.748'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.29893e+09'],[' 1.17731e+09'],[' 0'],[' 1.19593e+10'],[' 0'],[' 0'],[' 1759 '],[' 3376 '],[' 2 '],[' 0 ']
Solving...,TA62, , , , ,[' 1'],[' 7571+'],[' 3788'],"[' 1008.493s (Solving', ' 976.86s 1st Model', ' 695.41s Unsat', ' 0.00s)']",[' 1004.719s'], ,[' 386539058'],"[' 4025529  (Analyzed', ' 161345)']","[' 3557     (Average', ' 45.36 Last', ' 10765)']",[' 8729.0  '],"[' 3788     (Average Length', ' 1841.88 Splits', ' 0)']","[' 1677244  (Deleted', ' 1556989)']","[' 377      (Ratio', '   0.02%)']","[' 60659    (Ratio', '   3.62%)']","[' 161345   (Average Length', '   34.2 Ratio', '   9.62%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1515899  (Average Length', '   22.4 Ratio', '  90.38%) ']","[' 161345   (Average', ' 35.07 Max', ' 5832 Sum', ' 5657608)']","[' 161345   (Average', ' 35.07 Max', ' 5832 Sum', ' 5657608 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 148451  '],[' 12182   '],[' 145882  '],[' 67716   '],"[' 243446   (Atom=Atom', ' 69349 Body=Body', ' 39086 Other', ' 135011)']",[' Yes'],"[' 15703    (Eliminated', '    0 Frozen', ' 15703)']","[' 6753     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.66828'],[' 0'], ,[' 341.965'],[' 0'],[' 28.0695'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.27966e+09'],[' 1.16488e+09'],[' 0'],[' 1.14314e+10'],[' 0'],[' 0'],[' 1829 '],[' 3490 '],[' 2 '],[' 0 ']
Solving...,TA63, , , , ,[' 1'],[' 6351+'],[' 3178'],"[' 1007.622s (Solving', ' 980.97s 1st Model', ' 830.35s Unsat', ' 0.00s)']",[' 1004.203s'], ,[' 396691390'],"[' 3012662  (Analyzed', ' 194331)']","[' 3189     (Average', ' 60.94 Last', ' 15177)']",[' 8397.8  '],"[' 3178     (Average Length', ' 1555.66 Splits', ' 0)']","[' 1975620  (Deleted', ' 1805262)']","[' 440      (Ratio', '   0.02%)']","[' 58683    (Ratio', '   2.97%)']","[' 194331   (Average Length', '   32.0 Ratio', '   9.84%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1781289  (Average Length', '   21.0 Ratio', '  90.16%) ']","[' 194331   (Average', ' 29.91 Max', ' 5644 Sum', ' 5813078)']","[' 194331   (Average', ' 29.91 Max', ' 5644 Sum', ' 5813078 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 147048  '],[' 12060   '],[' 144004  '],[' 66496   '],"[' 239908   (Atom=Atom', ' 68373 Body=Body', ' 38720 Other', ' 132815)']",[' Yes'],"[' 15045    (Eliminated', '    0 Frozen', ' 15045)']","[' 6452     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.3852'],[' 0'], ,[' 338.975'],[' 0'],[' 29.2055'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.31764e+09'],[' 1.19372e+09'],[' 0'],[' 1.10999e+10'],[' 0'],[' 0'],[' 1706 '],[' 3271 '],[' 2 '],[' 0 ']
Solving...,TA64, , , , ,[' 1'],[' 6447+'],[' 3226'],"[' 1007.597s (Solving', ' 979.36s 1st Model', ' 782.46s Unsat', ' 0.00s)']",[' 1003.719s'], ,[' 407112956'],"[' 3327616  (Analyzed', ' 214026)']","[' 3224     (Average', ' 66.39 Last', ' 35932)']",[' 8421.2  '],"[' 3226     (Average Length', ' 1568.77 Splits', ' 0)']","[' 2075815  (Deleted', ' 1938428)']","[' 473      (Ratio', '   0.02%)']","[' 60175    (Ratio', '   2.90%)']","[' 214026   (Average Length', '   32.1 Ratio', '  10.31%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1861789  (Average Length', '   21.0 Ratio', '  89.69%) ']","[' 214026   (Average', ' 28.95 Max', ' 4727 Sum', ' 6196363)']","[' 214026   (Average', ' 28.95 Max', ' 4727 Sum', ' 6196363 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 147538  '],[' 12128   '],[' 144474  '],[' 66884   '],"[' 241004   (Atom=Atom', ' 68625 Body=Body', ' 38924 Other', ' 133455)']",[' Yes'],"[' 15127    (Eliminated', '    0 Frozen', ' 15127)']","[' 6943     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.98948'],[' 0'], ,[' 350.909'],[' 0'],[' 30.6179'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37962e+09'],[' 1.25196e+09'],[' 0'],[' 1.1521e+10'],[' 0'],[' 0'],[' 1714 '],[' 3225 '],[' 2 '],[' 0 ']
Solving...,TA65, , , , ,[' 1'],[' 6689+'],[' 3347'],"[' 1007.896s (Solving', ' 980.56s 1st Model', ' 805.48s Unsat', ' 0.00s)']",[' 1004.406s'], ,[' 403360202'],"[' 2659051  (Analyzed', ' 186770)']","[' 3306     (Average', ' 56.49 Last', ' 6845)']",[' 8315.9  '],"[' 3347     (Average Length', ' 1634.60 Splits', ' 0)']","[' 1940296  (Deleted', ' 1818623)']","[' 418      (Ratio', '   0.02%)']","[' 62080    (Ratio', '   3.20%)']","[' 186770   (Average Length', '   32.3 Ratio', '   9.63%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1753526  (Average Length', '   20.9 Ratio', '  90.37%) ']","[' 186770   (Average', ' 33.00 Max', ' 6072 Sum', ' 6162582)']","[' 186770   (Average', ' 33.00 Max', ' 6072 Sum', ' 6162582 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 147516  '],[' 12106   '],[' 144564  '],[' 66895   '],"[' 241059   (Atom=Atom', ' 68680 Body=Body', ' 38858 Other', ' 133521)']",[' Yes'],"[' 15206    (Eliminated', '    0 Frozen', ' 15206)']","[' 7130     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.52014'],[' 0'], ,[' 332.642'],[' 0'],[' 29.7593'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.43581e+09'],[' 1.30844e+09'],[' 0'],[' 1.05476e+10'],[' 0'],[' 0'],[' 1599 '],[' 3200 '],[' 2 '],[' 0 ']
Solving...,TA66, , , , ,[' 1'],[' 7251+'],[' 3628'],"[' 1008.340s (Solving', ' 977.20s 1st Model', ' 748.85s Unsat', ' 0.00s)']",[' 1004.250s'], ,[' 401181289'],"[' 3550991  (Analyzed', ' 186400)']","[' 3521     (Average', ' 52.94 Last', ' 16802)']",[' 8739.9  '],"[' 3628     (Average Length', ' 1771.95 Splits', ' 0)']","[' 1902232  (Deleted', ' 1756862)']","[' 419      (Ratio', '   0.02%)']","[' 59761    (Ratio', '   3.14%)']","[' 186400   (Average Length', '   32.5 Ratio', '   9.80%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1715832  (Average Length', '   21.0 Ratio', '  90.20%) ']","[' 186400   (Average', ' 31.76 Max', ' 5185 Sum', ' 5920064)']","[' 186400   (Average', ' 31.76 Max', ' 5185 Sum', ' 5920064 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 148278  '],[' 12180   '],[' 145580  '],[' 67546   '],"[' 242938   (Atom=Atom', ' 69183 Body=Body', ' 39080 Other', ' 134675)']",[' Yes'],"[' 15571    (Eliminated', '    0 Frozen', ' 15571)']","[' 6779     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.40289'],[' 0'], ,[' 345.45'],[' 0'],[' 29.1741'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37325e+09'],[' 1.24709e+09'],[' 0'],[' 1.14047e+10'],[' 0'],[' 0'],[' 1654 '],[' 3294 '],[' 2 '],[' 0 ']
Solving...,TA67, , , , ,[' 1'],[' 6693+'],[' 3349'],"[' 1007.819s (Solving', ' 979.61s 1st Model', ' 817.50s Unsat', ' 0.00s)']",[' 1003.969s'], ,[' 404330068'],"[' 3045577  (Analyzed', ' 200306)']","[' 3211     (Average', ' 62.38 Last', ' 24422)']",[' 8470.5  '],"[' 3349     (Average Length', ' 1642.56 Splits', ' 0)']","[' 2000888  (Deleted', ' 1848665)']","[' 471      (Ratio', '   0.02%)']","[' 60529    (Ratio', '   3.03%)']","[' 200306   (Average Length', '   32.8 Ratio', '  10.01%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1800582  (Average Length', '   21.3 Ratio', '  89.99%) ']","[' 200306   (Average', ' 30.43 Max', ' 5257 Sum', ' 6095686)']","[' 200306   (Average', ' 30.43 Max', ' 5257 Sum', ' 6095686 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 147557  '],[' 12112   '],[' 144668  '],[' 66927   '],"[' 241149   (Atom=Atom', ' 68700 Body=Body', ' 38876 Other', ' 133573)']",[' Yes'],"[' 15278    (Eliminated', '    0 Frozen', ' 15278)']","[' 6861     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.77648'],[' 0'], ,[' 335.889'],[' 0'],[' 29.8368'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.38855e+09'],[' 1.26147e+09'],[' 0'],[' 1.0867e+10'],[' 0'],[' 0'],[' 1774 '],[' 3286 '],[' 2 '],[' 0 ']
Solving...,TA68, , , , ,[' 1'],[' 7151+'],[' 3578'],"[' 1008.162s (Solving', ' 977.51s 1st Model', ' 776.01s Unsat', ' 0.00s)']",[' 1004.203s'], ,[' 411848491'],"[' 3674861  (Analyzed', ' 230824)']","[' 3592     (Average', ' 64.26 Last', ' 38131)']",[' 8639.5  '],"[' 3578     (Average Length', ' 1740.21 Splits', ' 0)']","[' 2104341  (Deleted', ' 1976483)']","[' 480      (Ratio', '   0.02%)']","[' 57636    (Ratio', '   2.74%)']","[' 230824   (Average Length', '   30.1 Ratio', '  10.97%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1873517  (Average Length', '   20.3 Ratio', '  89.03%) ']","[' 230824   (Average', ' 26.19 Max', ' 4836 Sum', ' 6046265)']","[' 230824   (Average', ' 26.19 Max', ' 4836 Sum', ' 6046265 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 147474  '],[' 12064   '],[' 144768  '],[' 66916   '],"[' 241164   (Atom=Atom', ' 68785 Body=Body', ' 38732 Other', ' 133647)']",[' Yes'],"[' 15389    (Eliminated', '    0 Frozen', ' 15389)']","[' 6251     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.49476'],[' 0'], ,[' 355.154'],[' 0'],[' 30.7594'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3313e+09'],[' 1.20218e+09'],[' 0'],[' 1.16128e+10'],[' 0'],[' 0'],[' 1690 '],[' 3293 '],[' 2 '],[' 0 ']
Solving...,TA69, , , , ,[' 1'],[' 6435+'],[' 3220'],"[' 858.910s (Solving', ' 833.03s 1st Model', ' 676.10s Unsat', ' 0.00s)']",[' 856.484s'], ,[' 367154230'],"[' 3022156  (Analyzed', ' 171412)']","[' 3019     (Average', ' 56.78 Last', ' 16266)']",[' 8277.4  '],"[' 3219     (Average Length', ' 1575.21 Splits', ' 0)']","[' 1700367  (Deleted', ' 1568206)']","[' 445      (Ratio', '   0.03%)']","[' 58354    (Ratio', '   3.43%)']","[' 171412   (Average Length', '   33.1 Ratio', '  10.08%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1528955  (Average Length', '   21.8 Ratio', '  89.92%) ']","[' 171412   (Average', ' 31.33 Max', ' 4677 Sum', ' 5369914)']","[' 171412   (Average', ' 31.33 Max', ' 4677 Sum', ' 5369914 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 147597  '],[' 12138   '],[' 144554  '],[' 66928   '],"[' 241126   (Atom=Atom', ' 68649 Body=Body', ' 38954 Other', ' 133523)']",[' Yes'],"[' 15163    (Eliminated', '    0 Frozen', ' 15163)']","[' 6996     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.36117'],[' 0'], ,[' 286.912'],[' 0'],[' 26.3968'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.19279e+09'],[' 1.08529e+09'],[' 0'],[' 9.63438e+09'],[' 0'],[' 0'],[' 1863 '],[' 3502 '],[' 2 '],[' 0 ']
Solving...,TA70, , , , ,[' 1'],[' 5519+'],[' 2762'],"[' 600.666s (Solving', ' 579.07s 1st Model', ' 455.24s Unsat', ' 0.00s)']",[' 597.641s'], ,[' 235106128'],"[' 2034258  (Analyzed', ' 121790)']","[' 2388     (Average', ' 51.00 Last', ' 17416)']",[' 7991.7  '],"[' 2761     (Average Length', ' 1369.07 Splits', ' 0)']","[' 1160399  (Deleted', ' 1080687)']","[' 297      (Ratio', '   0.03%)']","[' 34825    (Ratio', '   3.00%)']","[' 121790   (Average Length', '   34.8 Ratio', '  10.50%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1038609  (Average Length', '   22.5 Ratio', '  89.50%) ']","[' 121790   (Average', ' 28.87 Max', ' 5010 Sum', ' 3515535)']","[' 121790   (Average', ' 28.87 Max', ' 5010 Sum', ' 3515535 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 147139  '],[' 12138   '],[' 143736  '],[' 66470   '],"[' 239752   (Atom=Atom', ' 68191 Body=Body', ' 38954 Other', ' 132607)']",[' Yes'],"[' 14803    (Eliminated', '    0 Frozen', ' 14803)']","[' 6666     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.4845'],[' 0'], ,[' 189.051'],[' 0'],[' 17.552'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.20052e+08'],[' 7.47461e+08'],[' 0'],[' 5.57663e+09'],[' 0'],[' 0'],[' 1817 '],[' 4802 '],[' 2 '],[' 0 ']
