Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA61, , , ,[' 1'],[' 5763+'],[' 2885'],"[' 1007.025s (Solving', ' 981.57s 1st Model', ' 791.83s Unsat', ' 0.00s)']",[' 979.984s'], ,[' 294880237'],"[' 1497035  (Analyzed', ' 837257)']","[' 4030     (Average', ' 207.76 Last', ' 95378)']",[' 4997.4  '],"[' 2885     (Average Length', ' 1457.59 Splits', ' 0)']","[' 5128413  (Deleted', ' 5003005)']","[' 379      (Ratio', '   0.01%)']","[' 37943    (Ratio', '   0.74%)']","[' 837257   (Average Length', '   21.8 Ratio', '  16.33%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 4291156  (Average Length', '   14.6 Ratio', '  83.67%) ']","[' 837257   (Average', '  9.09 Max', ' 3998 Sum', ' 7608872)']","[' 837257   (Average', '  9.09 Max', ' 3998 Sum', ' 7608872 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 123830  '],[' 7970    '],[' 115931  '],[' 52589   '],"[' 154745   (Atom=Atom', ' 40448 Body=Body', ' 26619 Other', ' 87678)']",[' Yes'],"[' 10911    (Eliminated', '    0 Frozen', ' 10911)']","[' 5594     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 5.37262'],[' 0'], ,[' 378.768'],[' 0'],[' 28.2751'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.88991e+08'],[' 8.48045e+08'],[' 0'],[' 1.21112e+10'],[' 0'],[' 0'],[' 1126 '],[' 2189 '],[' 3211 '],[' 3 '],[' 0 ']
Solving...,TA62, , , ,[' 1'],[' 5019+'],[' 2513'],"[' 1007.380s (Solving', ' 969.62s 1st Model', ' 543.83s Unsat', ' 0.00s)']",[' 892.578s'], ,[' 198658578'],"[' 1630592  (Analyzed', ' 907466)']","[' 3752     (Average', ' 241.86 Last', ' 53842)']",[' 4996.8  '],"[' 2513     (Average Length', ' 1297.80 Splits', ' 0)']","[' 4653315  (Deleted', ' 4524137)']","[' 285      (Ratio', '   0.01%)']","[' 35195    (Ratio', '   0.76%)']","[' 907466   (Average Length', '   23.0 Ratio', '  19.50%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3745849  (Average Length', '   17.5 Ratio', '  80.50%) ']","[' 907466   (Average', '  5.90 Max', ' 4120 Sum', ' 5358215)']","[' 907466   (Average', '  5.90 Max', ' 4120 Sum', ' 5358215 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 124014  '],[' 8062    '],[' 115776  '],[' 52612   '],"[' 154997   (Atom=Atom', ' 40444 Body=Body', ' 26895 Other', ' 87658)']",[' Yes'],"[' 10682    (Eliminated', '    0 Frozen', ' 10682)']","[' 5437     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 6.24702'],[' 0'], ,[' 416.183'],[' 0'],[' 25.1566'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 6.23476e+08'],[' 5.3463e+08'],[' 0'],[' 9.51147e+09'],[' 0'],[' 0'],[' 1216 '],[' 2429 '],[' 3442 '],[' 3 '],[' 0 ']
Solving...,TA63, , , ,[' 1'],[' 5489+'],[' 2748'],"[' 1004.913s (Solving', ' 987.67s 1st Model', ' 875.40s Unsat', ' 0.00s)']",[' 1001.531s'], ,[' 387228971'],"[' 1684824  (Analyzed', ' 1004989)']","[' 4938     (Average', ' 203.52 Last', ' 100555)']",[' 4846.6  '],"[' 2748     (Average Length', ' 1407.55 Splits', ' 0)']","[' 6703288  (Deleted', ' 6578712)']","[' 445      (Ratio', '   0.01%)']","[' 38357    (Ratio', '   0.57%)']","[' 1004989  (Average Length', '   19.4 Ratio', '  14.99%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5698299  (Average Length', '   13.2 Ratio', '  85.01%) ']","[' 1004989  (Average', '  9.71 Max', ' 3872 Sum', ' 9753589)']","[' 1004989  (Average', '  9.71 Max', ' 3872 Sum', ' 9753589 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 123755  '],[' 7995    '],[' 115681  '],[' 52517   '],"[' 154682   (Atom=Atom', ' 40411 Body=Body', ' 26694 Other', ' 87577)']",[' Yes'],"[' 10751    (Eliminated', '    0 Frozen', ' 10751)']","[' 5507     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.73425'],[' 0'], ,[' 393.068'],[' 0'],[' 31.1417'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.36986e+09'],[' 1.17664e+09'],[' 0'],[' 1.58902e+10'],[' 0'],[' 0'],[' 1117 '],[' 2030 '],[' 2996 '],[' 3 '],[' 0 ']
Solving...,TA64, , , , , , , , , ,[' 3305+'],[' 1655'],"[' 58436.201s (Solving', ' 58426.07s 1st Model', ' 58083.04s Unsat', ' 0.00s)']",[' 466.547s'], ,[' 174943809'],"[' 2657069  (Analyzed', ' 1860845)']","[' 4989     (Average', ' 372.99 Last', ' 26775)']",[' 4067.2  '],"[' 1656     (Average Length', ' 986.02 Splits', ' 0)']","[' 7925441  (Deleted', ' 7866423)']","[' 271      (Ratio', '   0.00%)']","[' 27848    (Ratio', '   0.35%)']","[' 1860845  (Average Length', '   20.6 Ratio', '  23.48%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6064596  (Average Length', '   17.0 Ratio', '  76.52%) ']","[' 1860845  (Average', '  3.35 Max', ' 2362 Sum', ' 6240526)']","[' 1860845  (Average', '  3.35 Max', ' 2362 Sum', ' 6240526 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 90206   '],[' 5344    '],[' 84260   '],[' 36193   '],"[' 105281   (Atom=Atom', ' 26050 Body=Body', ' 17722 Other', ' 61509)']",[' Yes'],"[' 7236     (Eliminated', '    0 Frozen', ' 7236)']","[' 2927     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.73834'],[' 0'], ,[' 58177.2'],[' 0'],[' 13.405'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.62864e+08'],[' 3.8705e+08'],[' 0'],[' 9.02326e+09'],[' 0'],[' 0']
Solving...,TA65, , , ,[' 1'],[' 3961+'],[' 1984'],"[' 681.407s (Solving', ' 663.95s 1st Model', ' 559.93s Unsat', ' 0.00s)']",[' 666.281s'], ,[' 221370640'],"[' 737130   (Analyzed', ' 551606)']","[' 2373     (Average', ' 232.45 Last', ' 51711)']",[' 4972.5  '],"[' 1983     (Average Length', ' 989.74 Splits', ' 0)']","[' 3614812  (Deleted', ' 3524340)']","[' 232      (Ratio', '   0.01%)']","[' 24901    (Ratio', '   0.69%)']","[' 551606   (Average Length', '   19.5 Ratio', '  15.26%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 3063206  (Average Length', '   13.2 Ratio', '  84.74%) ']","[' 551606   (Average', ' 10.51 Max', ' 4449 Sum', ' 5795434)']","[' 551606   (Average', ' 10.51 Max', ' 4449 Sum', ' 5795434 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 122891  '],[' 7974    '],[' 114251  '],[' 51680   '],"[' 152078   (Atom=Atom', ' 39563 Body=Body', ' 26631 Other', ' 85884)']",[' Yes'],"[' 10168    (Eliminated', '    0 Frozen', ' 10168)']","[' 2887     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.29956'],[' 0'], ,[' 254.227'],[' 0'],[' 20'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.7356e+08'],[' 6.66115e+08'],[' 0'],[' 8.95424e+09'],[' 0'],[' 0'],[' 1060 '],[' 5418 '],[' 3244 '],[' 3 '],[' 0 ']
Solving...,TA66, , , ,[' 1'],[' 5577+'],[' 2792'],"[' 1005.113s (Solving', ' 986.66s 1st Model', ' 867.14s Unsat', ' 0.00s)']",[' 1000.703s'], ,[' 374097749'],"[' 1595606  (Analyzed', ' 975748)']","[' 4723     (Average', ' 206.59 Last', ' 53273)']",[' 4944.1  '],"[' 2792     (Average Length', ' 1418.92 Splits', ' 0)']","[' 6442904  (Deleted', ' 6301753)']","[' 418      (Ratio', '   0.01%)']","[' 40451    (Ratio', '   0.63%)']","[' 975748   (Average Length', '   21.1 Ratio', '  15.14%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 5467156  (Average Length', '   14.2 Ratio', '  84.86%) ']","[' 975748   (Average', '  9.99 Max', ' 3334 Sum', ' 9744493)']","[' 975748   (Average', '  9.99 Max', ' 3334 Sum', ' 9744493 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 124110  '],[' 8061    '],[' 116071  '],[' 52880   '],"[' 155820   (Atom=Atom', ' 40719 Body=Body', ' 26892 Other', ' 88209)']",[' Yes'],"[' 10893    (Eliminated', '    0 Frozen', ' 10893)']","[' 6135     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.87624'],[' 0'], ,[' 386.79'],[' 0'],[' 29.8554'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.37214e+09'],[' 1.18372e+09'],[' 0'],[' 1.56051e+10'],[' 0'],[' 0'],[' 1052 '],[' 2147 '],[' 3128 '],[' 3 '],[' 0 ']
Solving...,TA67, , , ,[' 1'],[' 5205+'],[' 2606'],"[' 1004.867s (Solving', ' 987.09s 1st Model', ' 598.27s Unsat', ' 0.00s)']",[' 999.359s'], ,[' 334618490'],"[' 2646202  (Analyzed', ' 1892598)']","[' 6521     (Average', ' 290.23 Last', ' 81809)']",[' 4835.0  '],"[' 2606     (Average Length', ' 1336.35 Splits', ' 0)']","[' 8973288  (Deleted', ' 8837868)']","[' 396      (Ratio', '   0.00%)']","[' 37373    (Ratio', '   0.42%)']","[' 1892598  (Average Length', '   18.7 Ratio', '  21.09%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7080690  (Average Length', '   14.2 Ratio', '  78.91%) ']","[' 1892598  (Average', '  5.20 Max', ' 3763 Sum', ' 9850310)']","[' 1892598  (Average', '  5.20 Max', ' 3763 Sum', ' 9850310 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 123716  '],[' 8026    '],[' 115525  '],[' 52526   '],"[' 154724   (Atom=Atom', ' 40393 Body=Body', ' 26787 Other', ' 87544)']",[' Yes'],"[' 10689    (Eliminated', '    0 Frozen', ' 10689)']","[' 5675     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.8678'],[' 0'], ,[' 436.418'],[' 0'],[' 29.4079'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.07377e+09'],[' 9.12358e+08'],[' 0'],[' 1.82905e+10'],[' 0'],[' 0'],[' 1162 '],[' 2245 '],[' 3191 '],[' 3 '],[' 0 ']
Solving...,TA68, , , ,[' 1'],[' 5415+'],[' 2711'],"[' 1004.925s (Solving', ' 986.59s 1st Model', ' 625.60s Unsat', ' 0.00s)']",[' 1000.250s'], ,[' 308954413'],"[' 3846697  (Analyzed', ' 2897829)']","[' 7710     (Average', ' 375.85 Last', ' 152414)']",[' 4946.0  '],"[' 2711     (Average Length', ' 1387.60 Splits', ' 0)']","[' 12154868 (Deleted', ' 11954063)']","[' 366      (Ratio', '   0.00%)']","[' 38365    (Ratio', '   0.32%)']","[' 2897829  (Average Length', '   17.5 Ratio', '  23.84%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9257039  (Average Length', '   14.2 Ratio', '  76.16%) ']","[' 2897829  (Average', '  3.59 Max', ' 3993 Sum', ' 10414938)']","[' 2897829  (Average', '  3.59 Max', ' 3993 Sum', ' 10414938 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 123538  '],[' 7951    '],[' 115449  '],[' 52326   '],"[' 153915   (Atom=Atom', ' 40198 Body=Body', ' 26562 Other', ' 87155)']",[' Yes'],"[' 10697    (Eliminated', '    0 Frozen', ' 10697)']","[' 5457     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.99233'],[' 0'], ,[' 434.389'],[' 0'],[' 27.3484'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.04544e+09'],[' 8.86754e+08'],[' 0'],[' 1.85115e+10'],[' 0'],[' 0'],[' 1079 '],[' 2096 '],[' 3116 '],[' 3 '],[' 0 ']
Solving...,TA69, , , ,[' 1'],[' 5339+'],[' 2673'],"[' 1005.124s (Solving', ' 986.53s 1st Model', ' 552.27s Unsat', ' 0.00s)']",[' 1000.766s'], ,[' 334098179'],"[' 2768284  (Analyzed', ' 2033799)']","[' 6342     (Average', ' 320.69 Last', ' 39125)']",[' 4944.0  '],"[' 2673     (Average Length', ' 1375.27 Splits', ' 0)']","[' 9687681  (Deleted', ' 9526029)']","[' 442      (Ratio', '   0.00%)']","[' 41531    (Ratio', '   0.43%)']","[' 2033799  (Average Length', '   21.0 Ratio', '  20.99%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7653882  (Average Length', '   16.0 Ratio', '  79.01%) ']","[' 2033799  (Average', '  4.98 Max', ' 3418 Sum', ' 10137178)']","[' 2033799  (Average', '  4.98 Max', ' 3418 Sum', ' 10137178 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 123788  '],[' 8010    '],[' 115692  '],[' 52541   '],"[' 154669   (Atom=Atom', ' 40396 Body=Body', ' 26739 Other', ' 87534)']",[' Yes'],"[' 10768    (Eliminated', '    0 Frozen', ' 10768)']","[' 5784     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 4.00728'],[' 0'], ,[' 422.738'],[' 0'],[' 28.7375'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.15402e+09'],[' 9.87851e+08'],[' 0'],[' 1.76002e+10'],[' 0'],[' 0'],[' 1287 '],[' 2288 '],[' 3301 '],[' 3 '],[' 0 ']
Solving...,TA70, , , ,[' 1'],[' 5203+'],[' 2605'],"[' 1004.913s (Solving', ' 986.85s 1st Model', ' 594.66s Unsat', ' 0.00s)']",[' 999.547s'], ,[' 312160495'],"[' 2682475  (Analyzed', ' 1980233)']","[' 6383     (Average', ' 310.24 Last', ' 201487)']",[' 4970.4  '],"[' 2605     (Average Length', ' 1345.45 Splits', ' 0)']","[' 9973869  (Deleted', ' 9805073)']","[' 449      (Ratio', '   0.00%)']","[' 38228    (Ratio', '   0.38%)']","[' 1980233  (Average Length', '   19.3 Ratio', '  19.85%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7993636  (Average Length', '   14.9 Ratio', '  80.15%) ']","[' 1980233  (Average', '  4.74 Max', ' 3801 Sum', ' 9377666)']","[' 1980233  (Average', '  4.74 Max', ' 3801 Sum', ' 9377666 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 123615  '],[' 8016    '],[' 115425  '],[' 52522   '],"[' 154575   (Atom=Atom', ' 40352 Body=Body', ' 26757 Other', ' 87466)']",[' Yes'],"[' 10706    (Eliminated', '    0 Frozen', ' 10706)']","[' 5460     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 3.93559'],[' 0'], ,[' 448.888'],[' 0'],[' 28.7256'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.99113e+08'],[' 8.43974e+08'],[' 0'],[' 1.91675e+10'],[' 0'],[' 0'],[' 1283 '],[' 2446 '],[' 3429 '],[' 3 '],[' 0 ']
