Optimal Found Or Timeout,Instances,Solving...,UNKNOWN,,INTERRUPTED  ,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA71, , , ,[' 1'],[' 10535+'],[' 5272'],"[' 1024.934s (Solving', ' 937.10s 1st Model', ' 480.25s Unsat', ' 0.00s)']",[' 1019.250s'], ,[' 487853194'],"[' 1998131  (Analyzed', ' 174455)']","[' 3177     (Average', ' 54.91 Last', ' 6797)']",[' 12482.4 '],"[' 5272     (Average Length', ' 2605.93 Splits', ' 0)']","[' 1285525  (Deleted', ' 1093541)']","[' 129      (Ratio', '   0.01%)']","[' 75633    (Ratio', '   5.88%)']","[' 174455   (Average Length', '   33.1 Ratio', '  13.57%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1111070  (Average Length', '   24.6 Ratio', '  86.43%) ']","[' 174455   (Average', ' 40.95 Max', ' 12134 Sum', ' 7143090)']","[' 174455   (Average', ' 40.95 Max', ' 12134 Sum', ' 7143090 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 394966  '],[' 24493   '],[' 357395  '],[' 161872  '],"[' 441906   (Atom=Atom', ' 115757 Body=Body', ' 79039 Other', ' 247110)']",[' Yes'],"[' 30051    (Eliminated', '    0 Frozen', ' 30051)']","[' 14712    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.7946'],[' 0'], ,[' 263.413'],[' 0'],[' 32.2951'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.0258e+09'],[' 9.34075e+08'],[' 0'],[' 7.63937e+09'],[' 0'],[' 0'],[' 1631 '],[' 3261 '],[' 4732 '],[' 6105 '],[' 4 '],[' 0 ']
Solving...,TA72, , , ,[' 1'],[' 11635+'],[' 5822'],"[' 1026.178s (Solving', ' 932.71s 1st Model', ' 552.14s Unsat', ' 0.00s)']",[' 1019.438s'], ,[' 475761240'],"[' 3767871  (Analyzed', ' 74714)']","[' 3391     (Average', ' 22.03 Last', ' 6435)']",[' 12550.9 '],"[' 5822     (Average Length', ' 2884.41 Splits', ' 0)']","[' 809270   (Deleted', ' 505216)']","[' 96       (Ratio', '   0.01%)']","[' 66421    (Ratio', '   8.21%)']","[' 74714    (Average Length', '   32.5 Ratio', '   9.23%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 734556   (Average Length', '   22.9 Ratio', '  90.77%) ']","[' 74714    (Average', ' 88.15 Max', ' 12424 Sum', ' 6586293)']","[' 74714    (Average', ' 88.15 Max', ' 12424 Sum', ' 6586293 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 393563  '],[' 24168   '],[' 356564  '],[' 160861  '],"[' 438591   (Atom=Atom', ' 115007 Body=Body', ' 78064 Other', ' 245520)']",[' Yes'],"[' 30098    (Eliminated', '    0 Frozen', ' 30098)']","[' 12062    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.3764'],[' 0'], ,[' 257.641'],[' 0'],[' 30.7104'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.49145e+08'],[' 8.63562e+08'],[' 0'],[' 8.44774e+09'],[' 0'],[' 0'],[' 1399 '],[' 2908 '],[' 4246 '],[' 5657 '],[' 4 '],[' 0 ']
Solving...,TA73, , , ,[' 1'],[' 11111+'],[' 5560'],"[' 1025.945s (Solving', ' 933.54s 1st Model', ' 394.81s Unsat', ' 0.00s)']",[' 1021.609s'], ,[' 480067977'],"[' 3480911  (Analyzed', ' 334159)']","[' 3678     (Average', ' 90.85 Last', ' 4677)']",[' 12863.4 '],"[' 5560     (Average Length', ' 2748.46 Splits', ' 0)']","[' 1894588  (Deleted', ' 1636593)']","[' 133      (Ratio', '   0.01%)']","[' 71444    (Ratio', '   3.77%)']","[' 334159   (Average Length', '   32.2 Ratio', '  17.64%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1560429  (Average Length', '   26.4 Ratio', '  82.36%) ']","[' 334159   (Average', ' 21.57 Max', ' 12751 Sum', ' 7208821)']","[' 334159   (Average', ' 21.57 Max', ' 12751 Sum', ' 7208821 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 391255  '],[' 24408   '],[' 355147  '],[' 160173  '],"[' 441467   (Atom=Atom', ' 115705 Body=Body', ' 78784 Other', ' 246978)']",[' Yes'],"[' 30000    (Eliminated', '    0 Frozen', ' 30000)']","[' 13607    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.7103'],[' 0'], ,[' 281.522'],[' 0'],[' 32.1132'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.42557e+08'],[' 8.49934e+08'],[' 0'],[' 9.46332e+09'],[' 0'],[' 0'],[' 1858 '],[' 3325 '],[' 4676 '],[' 6066 '],[' 4 '],[' 0 ']
Solving...,TA74, , , ,[' 1'],[' 9785+'],[' 4897'],"[' 1022.342s (Solving', ' 945.04s 1st Model', ' 491.42s Unsat', ' 0.00s)']",[' 1018.375s'], ,[' 519874052'],"[' 2426971  (Analyzed', ' 149508)']","[' 2955     (Average', ' 50.59 Last', ' 4365)']",[' 11933.3 '],"[' 4897     (Average Length', ' 2478.09 Splits', ' 0)']","[' 1211134  (Deleted', ' 940791)']","[' 111      (Ratio', '   0.01%)']","[' 80944    (Ratio', '   6.68%)']","[' 149508   (Average Length', '   31.6 Ratio', '  12.34%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1061626  (Average Length', '   23.1 Ratio', '  87.66%) ']","[' 149508   (Average', ' 54.19 Max', ' 11338 Sum', ' 8102124)']","[' 149508   (Average', ' 54.19 Max', ' 11338 Sum', ' 8102124 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 393216  '],[' 24253   '],[' 355368  '],[' 160370  '],"[' 437127   (Atom=Atom', ' 114422 Body=Body', ' 78319 Other', ' 244386)']",[' Yes'],"[' 29429    (Eliminated', '    0 Frozen', ' 29429)']","[' 14589    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.8064'],[' 0'], ,[' 273.534'],[' 0'],[' 34.6304'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.08655e+09'],[' 9.87018e+08'],[' 0'],[' 7.82713e+09'],[' 0'],[' 0'],[' 1546 '],[' 3028 '],[' 4417 '],[' 5754 '],[' 4 '],[' 0 ']
Solving...,TA75, , , ,[' 1'],[' 10391+'],[' 5200'],"[' 1024.502s (Solving', ' 938.83s 1st Model', ' 425.60s Unsat', ' 0.00s)']",[' 1017.766s'], ,[' 497932128'],"[' 2088660  (Analyzed', ' 113509)']","[' 2958     (Average', ' 38.37 Last', ' 5764)']",[' 12245.2 '],"[' 5200     (Average Length', ' 2629.62 Splits', ' 0)']","[' 1036800  (Deleted', ' 800665)']","[' 137      (Ratio', '   0.01%)']","[' 75173    (Ratio', '   7.25%)']","[' 113509   (Average Length', '   33.2 Ratio', '  10.95%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 923291   (Average Length', '   23.6 Ratio', '  89.05%) ']","[' 113509   (Average', ' 61.73 Max', ' 12175 Sum', ' 7006950)']","[' 113509   (Average', ' 61.73 Max', ' 12175 Sum', ' 7006950 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 394348  '],[' 24492   '],[' 356673  '],[' 161755  '],"[' 441631   (Atom=Atom', ' 115681 Body=Body', ' 79036 Other', ' 246914)']",[' Yes'],"[' 29893    (Eliminated', '    0 Frozen', ' 29893)']","[' 13206    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.2016'],[' 0'], ,[' 261.588'],[' 0'],[' 33.5915'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01495e+09'],[' 9.2682e+08'],[' 0'],[' 6.82003e+09'],[' 0'],[' 0'],[' 1630 '],[' 3038 '],[' 4581 '],[' 5865 '],[' 4 '],[' 0 ']
Solving...,TA76, , , ,[' 1'],[' 9821+'],[' 4915'],"[' 1023.088s (Solving', ' 943.34s 1st Model', ' 565.71s Unsat', ' 0.00s)']",[' 1016.938s'], ,[' 486649346'],"[' 2696674  (Analyzed', ' 93438)']","[' 2994     (Average', ' 31.21 Last', ' 6933)']",[' 12006.4 '],"[' 4915     (Average Length', ' 2491.14 Splits', ' 0)']","[' 923278   (Deleted', ' 741511)']","[' 113      (Ratio', '   0.01%)']","[' 72005    (Ratio', '   7.80%)']","[' 93438    (Average Length', '   32.4 Ratio', '  10.12%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 829840   (Average Length', '   22.8 Ratio', '  89.88%) ']","[' 93438    (Average', ' 78.30 Max', ' 12353 Sum', ' 7316341)']","[' 93438    (Average', ' 78.30 Max', ' 12353 Sum', ' 7316341 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 393263  '],[' 24251   '],[' 355368  '],[' 160429  '],"[' 437150   (Atom=Atom', ' 114432 Body=Body', ' 78313 Other', ' 244405)']",[' Yes'],"[' 29366    (Eliminated', '    0 Frozen', ' 29366)']","[' 11707    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.1022'],[' 0'], ,[' 274.079'],[' 0'],[' 33.7485'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 9.72224e+08'],[' 8.85195e+08'],[' 0'],[' 7.38434e+09'],[' 0'],[' 0'],[' 1594 '],[' 3096 '],[' 4413 '],[' 5797 '],[' 4 '],[' 0 ']
Solving...,TA77, , , , ,[' 9045+'],[' 4527'],"[' 807.352s (Solving', ' 728.60s 1st Model', ' 461.37s Unsat', ' 0.00s)']",[' 802.922s'], ,[' 412752289'],"[' 763467   (Analyzed', ' 62710)']","[' 2007     (Average', ' 31.25 Last', ' 4735)']",[' 13746.5 '],"[' 4527     (Average Length', ' 2315.62 Splits', ' 0)']","[' 657502   (Deleted', ' 456533)']","[' 72       (Ratio', '   0.01%)']","[' 53775    (Ratio', '   8.18%)']","[' 62710    (Average Length', '   32.4 Ratio', '   9.54%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 594792   (Average Length', '   22.4 Ratio', '  90.46%) ']","[' 62710    (Average', ' 97.83 Max', ' 14343 Sum', ' 6135095)']","[' 62710    (Average', ' 97.83 Max', ' 14343 Sum', ' 6135095 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 391799  '],[' 24221   '],[' 353860  '],[' 159711  '],"[' 435519   (Atom=Atom', ' 113923 Body=Body', ' 78223 Other', ' 243373)']",[' Yes'],"[' 29168    (Eliminated', '    0 Frozen', ' 29168)']","[' 7758     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 13.5709'],[' 0'], ,[' 178.933'],[' 0'],[' 26.1462'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.56749e+08'],[' 6.92666e+08'],[' 0'],[' 3.37755e+09'],[' 0'],[' 0'],[' 1488 '],[' 6043 '],[' 4590 '],[' 5911 '],[' 4 '],[' 0 ']
Solving...,TA78, , , ,[' 1'],[' 9827+'],[' 4918'],"[' 1022.498s (Solving', ' 943.16s 1st Model', ' 554.54s Unsat', ' 0.00s)']",[' 1017.094s'], ,[' 509645011'],"[' 2652844  (Analyzed', ' 166804)']","[' 3130     (Average', ' 53.29 Last', ' 21622)']",[' 12064.4 '],"[' 4918     (Average Length', ' 2512.65 Splits', ' 0)']","[' 1294949  (Deleted', ' 1108238)']","[' 112      (Ratio', '   0.01%)']","[' 78515    (Ratio', '   6.06%)']","[' 166804   (Average Length', '   31.4 Ratio', '  12.88%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1128145  (Average Length', '   23.8 Ratio', '  87.12%) ']","[' 166804   (Average', ' 45.97 Max', ' 12537 Sum', ' 7667175)']","[' 166804   (Average', ' 45.97 Max', ' 12537 Sum', ' 7667175 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 393343  '],[' 24408   '],[' 355987  '],[' 160619  '],"[' 439482   (Atom=Atom', ' 115063 Body=Body', ' 78784 Other', ' 245635)']",[' Yes'],"[' 29641    (Eliminated', '    0 Frozen', ' 29641)']","[' 14018    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 14.0705'],[' 0'], ,[' 282.741'],[' 0'],[' 33.9368'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05655e+09'],[' 9.6026e+08'],[' 0'],[' 9.06996e+09'],[' 0'],[' 0'],[' 1607 '],[' 3037 '],[' 4494 '],[' 5775 '],[' 4 '],[' 0 ']
Solving...,TA79, , , ,[' 1'],[' 11131+'],[' 5570'],"[' 1024.995s (Solving', ' 937.05s 1st Model', ' 464.42s Unsat', ' 0.00s)']",[' 1019.484s'], ,[' 515601123'],"[' 2171585  (Analyzed', ' 175050)']","[' 3479     (Average', ' 50.32 Last', ' 5542)']",[' 12250.6 '],"[' 5570     (Average Length', ' 2776.41 Splits', ' 0)']","[' 1279229  (Deleted', ' 1040590)']","[' 110      (Ratio', '   0.01%)']","[' 78763    (Ratio', '   6.16%)']","[' 175050   (Average Length', '   32.9 Ratio', '  13.68%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 1104179  (Average Length', '   24.5 Ratio', '  86.32%) ']","[' 175050   (Average', ' 43.34 Max', ' 12454 Sum', ' 7586287)']","[' 175050   (Average', ' 43.34 Max', ' 12454 Sum', ' 7586287 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 394635  '],[' 24429   '],[' 357539  '],[' 161471  '],"[' 441722   (Atom=Atom', ' 115799 Body=Body', ' 78847 Other', ' 247076)']",[' Yes'],"[' 30033    (Eliminated', '    0 Frozen', ' 30033)']","[' 13618    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 15.6306'],[' 0'], ,[' 257.816'],[' 0'],[' 33.6104'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.05608e+09'],[' 9.61938e+08'],[' 0'],[' 7.1273e+09'],[' 0'],[' 0'],[' 1632 '],[' 3031 '],[' 4394 '],[' 5762 '],[' 4 '],[' 0 ']
Solving...,TA80, , , ,[' 1'],[' 11551+'],[' 5780'],"[' 1026.767s (Solving', ' 932.26s 1st Model', ' 454.14s Unsat', ' 0.00s)']",[' 1021.047s'], ,[' 492269486'],"[' 2632566  (Analyzed', ' 137477)']","[' 3148     (Average', ' 43.67 Last', ' 7267)']",[' 12734.4 '],"[' 5780     (Average Length', ' 2819.81 Splits', ' 0)']","[' 1134932  (Deleted', ' 882876)']","[' 109      (Ratio', '   0.01%)']","[' 72812    (Ratio', '   6.42%)']","[' 137477   (Average Length', '   34.1 Ratio', '  12.11%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 997455   (Average Length', '   24.9 Ratio', '  87.89%) ']","[' 137477   (Average', ' 49.65 Max', ' 12762 Sum', ' 6825266)']","[' 137477   (Average', ' 49.65 Max', ' 12762 Sum', ' 6825266 Ratio', ' 100.00%)']","[' 0        (Average', '  0.00 Max', '   0 Sum', '      0 Ratio', '   0.00%)']", ,[' 396171  '],[' 24622   '],[' 359075  '],[' 162705  '],"[' 445331   (Atom=Atom', ' 116781 Body=Body', ' 79426 Other', ' 249124)']",[' Yes'],"[' 30446    (Eliminated', '    0 Frozen', ' 30446)']","[' 13719    (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 16.7151'],[' 0'], ,[' 257.468'],[' 0'],[' 32.1332'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.00452e+09'],[' 9.13765e+08'],[' 0'],[' 7.47989e+09'],[' 0'],[' 0'],[' 1608 '],[' 2981 '],[' 4422 '],[' 5829 '],[' 4 '],[' 0 ']
