Optimal Found Or Timeout,Instances,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Completion Time for Window 4 ,Completion Time for Window 5 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,TA51, , , , ,[' 2283'],[' 1147'],"[' 665.184s (Solving', ' 661.36s 1st Model', ' 3.31s Unsat', ' 53.85s)']",[' 664.453s'], ,[' 56550594'],"[' 9840495  (Analyzed', ' 9751821)']","[' 21688    (Average', ' 449.64 Last', ' 25371)']",[' 2241.9  '],"[' 1147     (Average Length', ' 624.47 Splits', ' 0)']","[' 32495591 (Deleted', ' 32057764)']","[' 23       (Ratio', '   0.00%)']","[' 2863     (Ratio', '   0.01%)']","[' 9751821  (Average Length', '   14.7 Ratio', '  30.01%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 22743770 (Average Length', '   11.2 Ratio', '  69.99%) ']","[' 9751821  (Average', '  1.29 Max', ' 2158 Sum', ' 12613086)']","[' 9751796  (Average', '  1.29 Max', ' 2158 Sum', ' 12601478 Ratio', '  99.91%)']","[' 25       (Average', ' 464.32 Max', ' 595 Sum', '  11608 Ratio', '   0.09%)']", ,[' 73043   '],[' 3480    '],[' 67147   '],[' 26870   '],"[' 71903    (Atom=Atom', ' 20024 Body=Body', ' 12600 Other', ' 39279)']",[' Yes'],"[' 4962     (Eliminated', '    0 Frozen', ' 4962)']","[' 493      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.817848'],[' 0'], ,[' 304.531'],[' 0'],[' 8.4712'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.56981e+08'],[' 7.96188e+07'],[' 0'],[' 2.05877e+10'],[' 0'],[' 0'],[' 687 '],[' 1414 '],[' 1905 '],[' 2570 '],[' 3082 '],[' 3 '],[' 2 ']
Solving...,TA52, , , , ,[' 2331'],[' 1171'],"[' 421.842s (Solving', ' 417.93s 1st Model', ' 4.34s Unsat', ' 6.04s)']",[' 420.828s'], ,[' 43106594'],"[' 6858289  (Analyzed', ' 6755812)']","[' 13703    (Average', ' 493.02 Last', ' 50540)']",[' 2167.9  '],"[' 1171     (Average Length', ' 644.58 Splits', ' 0)']","[' 21720482 (Deleted', ' 21439025)']","[' 30       (Ratio', '   0.00%)']","[' 4862     (Ratio', '   0.02%)']","[' 6755812  (Average Length', '   15.9 Ratio', '  31.10%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 14964670 (Average Length', '   12.6 Ratio', '  68.90%) ']","[' 6755812  (Average', '  1.37 Max', ' 1881 Sum', ' 9282964)']","[' 6755804  (Average', '  1.37 Max', ' 1881 Sum', ' 9282956 Ratio', ' 100.00%)']","[' 8        (Average', '  1.00 Max', '   1 Sum', '      8 Ratio', '   0.00%)']", ,[' 73003   '],[' 3496    '],[' 67156   '],[' 26907   '],"[' 72228    (Atom=Atom', ' 20112 Body=Body', ' 12648 Other', ' 39468)']",[' Yes'],"[' 4997     (Eliminated', '    0 Frozen', ' 4997)']","[' 897      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.836373'],[' 0'], ,[' 191.894'],[' 0'],[' 6.22817'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.25486e+08'],[' 7.23768e+07'],[' 0'],[' 1.20173e+10'],[' 0'],[' 0'],[' 777 '],[' 1329 '],[' 1870 '],[' 2462 '],[' 3008 '],[' 2 '],[' 3 ']
Solving...,TA53, , , , ,[' 2457'],[' 1234'],"[' 244.474s (Solving', ' 240.31s 1st Model', ' 4.11s Unsat', ' 24.71s)']",[' 243.672s'], ,[' 19255224'],"[' 3666448  (Analyzed', ' 3475383)']","[' 8032     (Average', ' 432.69 Last', ' 939)']",[' 2473.7  '],"[' 1234     (Average Length', ' 655.64 Splits', ' 0)']","[' 9858623  (Deleted', ' 9715766)']","[' 28       (Ratio', '   0.00%)']","[' 2126     (Ratio', '   0.02%)']","[' 3475383  (Average Length', '   15.0 Ratio', '  35.25%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 6383240  (Average Length', '   11.0 Ratio', '  64.75%) ']","[' 3475383  (Average', '  1.26 Max', ' 2444 Sum', ' 4394113)']","[' 3475350  (Average', '  1.26 Max', ' 2444 Sum', ' 4394080 Ratio', ' 100.00%)']","[' 33       (Average', '  1.00 Max', '   1 Sum', '     33 Ratio', '   0.00%)']", ,[' 73112   '],[' 3540    '],[' 67440   '],[' 27000   '],"[' 73037    (Atom=Atom', ' 20351 Body=Body', ' 12780 Other', ' 39906)']",[' Yes'],"[' 5095     (Eliminated', '    0 Frozen', ' 5095)']","[' 234      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.880699'],[' 0'], ,[' 136.728'],[' 0'],[' 3.84081'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 4.54041e+07'],[' 2.29078e+07'],[' 0'],[' 9.93278e+09'],[' 0'],[' 0'],[' 717 '],[' 1286 '],[' 1944 '],[' 2447 '],[' 2962 '],[' 1 '],[' 4 ']
Solving...,TA54, , , , ,[' 2085'],[' 1048'],"[' 742.495s (Solving', ' 738.76s 1st Model', ' 3.36s Unsat', ' 131.01s)']",[' 740.891s'], ,[' 67575247'],"[' 11513116 (Analyzed', ' 11388880)']","[' 24030    (Average', ' 473.94 Last', ' 5323)']",[' 2194.2  '],"[' 1048     (Average Length', ' 580.34 Splits', ' 0)']","[' 36830798 (Deleted', ' 36306586)']","[' 61       (Ratio', '   0.00%)']","[' 4702     (Ratio', '   0.01%)']","[' 11388880 (Average Length', '   15.7 Ratio', '  30.92%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25441918 (Average Length', '   12.2 Ratio', '  69.08%) ']","[' 11388880 (Average', '  1.34 Max', ' 2007 Sum', ' 15235510)']","[' 11388870 (Average', '  1.34 Max', ' 2007 Sum', ' 15235500 Ratio', ' 100.00%)']","[' 10       (Average', '  1.00 Max', '   1 Sum', '     10 Ratio', '   0.00%)']", ,[' 73624   '],[' 3591    '],[' 67604   '],[' 27249   '],"[' 73295    (Atom=Atom', ' 20369 Body=Body', ' 12933 Other', ' 39993)']",[' Yes'],"[' 4991     (Eliminated', '    0 Frozen', ' 4991)']","[' 837      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.784632'],[' 0'], ,[' 370.061'],[' 0'],[' 10.2112'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.80304e+08'],[' 9.64034e+07'],[' 0'],[' 2.52961e+10'],[' 0'],[' 0'],[' 801 '],[' 1287 '],[' 1976 '],[' 2470 '],[' 3011 '],[' 3 '],[' 2 ']
Solving...,TA55, , , , ,[' 2553'],[' 1282'],"[' 636.431s (Solving', ' 632.13s 1st Model', ' 12.42s Unsat', ' 24.71s)']",[' 635.109s'], ,[' 78858046'],"[' 9929995  (Analyzed', ' 9761037)']","[' 20450    (Average', ' 477.31 Last', ' 105141)']",[' 2293.6  '],"[' 1282     (Average Length', ' 694.53 Splits', ' 0)']","[' 26872949 (Deleted', ' 26484445)']","[' 83       (Ratio', '   0.00%)']","[' 6050     (Ratio', '   0.02%)']","[' 9761037  (Average Length', '   17.3 Ratio', '  36.32%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 17111912 (Average Length', '   11.0 Ratio', '  63.68%) ']","[' 9761037  (Average', '  1.57 Max', ' 2118 Sum', ' 15310475)']","[' 9761011  (Average', '  1.57 Max', ' 2118 Sum', ' 15310449 Ratio', ' 100.00%)']","[' 26       (Average', '  1.00 Max', '   1 Sum', '     26 Ratio', '   0.00%)']", ,[' 73233   '],[' 3499    '],[' 67450   '],[' 27084   '],"[' 72575    (Atom=Atom', ' 20235 Body=Body', ' 12657 Other', ' 39683)']",[' Yes'],"[' 5108     (Eliminated', '    0 Frozen', ' 5108)']","[' 1131     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.945878'],[' 0'], ,[' 315.752'],[' 0'],[' 10.2856'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 2.63827e+08'],[' 1.66673e+08'],[' 0'],[' 1.91974e+10'],[' 0'],[' 0'],[' 686 '],[' 1298 '],[' 1881 '],[' 2429 '],[' 2955 '],[' 3 '],[' 2 ']
Solving...,TA56, , , , ,[' 1871'],[' 941'],"[' 643.598s (Solving', ' 640.36s 1st Model', ' 2.62s Unsat', ' 34.96s)']",[' 642.359s'], ,[' 48163327'],"[' 10377980 (Analyzed', ' 10275795)']","[' 20372    (Average', ' 504.41 Last', ' 288552)']",[' 2355.7  '],"[' 941      (Average Length', ' 544.76 Splits', ' 0)']","[' 30958112 (Deleted', ' 30620341)']","[' 35       (Ratio', '   0.00%)']","[' 3005     (Ratio', '   0.01%)']","[' 10275795 (Average Length', '   15.0 Ratio', '  33.19%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20682317 (Average Length', '   12.6 Ratio', '  66.81%) ']","[' 10275795 (Average', '  1.26 Max', ' 2181 Sum', ' 12970257)']","[' 10275757 (Average', '  1.26 Max', ' 2181 Sum', ' 12970219 Ratio', ' 100.00%)']","[' 38       (Average', '  1.00 Max', '   1 Sum', '     38 Ratio', '   0.00%)']", ,[' 72913   '],[' 3520    '],[' 66870   '],[' 26791   '],"[' 71913    (Atom=Atom', ' 19978 Body=Body', ' 12720 Other', ' 39215)']",[' Yes'],"[' 4842     (Eliminated', '    0 Frozen', ' 4842)']","[' 413      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.69788'],[' 0'], ,[' 355.866'],[' 0'],[' 8.75766'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.3246e+08'],[' 6.48507e+07'],[' 0'],[' 2.38393e+10'],[' 0'],[' 0'],[' 821 '],[' 1426 '],[' 2151 '],[' 2688 '],[' 3284 '],[' 3 '],[' 2 ']
Solving...,TA57, , , , ,[' 2123'],[' 1067'],"[' 807.265s (Solving', ' 803.50s 1st Model', ' 3.45s Unsat', ' 0.07s)']",[' 805.469s'], ,[' 67603280'],"[' 12165847 (Analyzed', ' 12043069)']","[' 24257    (Average', ' 496.48 Last', ' 111764)']",[' 2190.6  '],"[' 1067     (Average Length', ' 597.79 Splits', ' 0)']","[' 37798405 (Deleted', ' 37358081)']","[' 35       (Ratio', '   0.00%)']","[' 5080     (Ratio', '   0.01%)']","[' 12043069 (Average Length', '   15.7 Ratio', '  31.86%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 25755336 (Average Length', '   12.6 Ratio', '  68.14%) ']","[' 12043069 (Average', '  1.34 Max', ' 1968 Sum', ' 16182808)']","[' 12043063 (Average', '  1.34 Max', ' 1968 Sum', ' 16182802 Ratio', ' 100.00%)']","[' 6        (Average', '  1.00 Max', '   1 Sum', '      6 Ratio', '   0.00%)']", ,[' 72934   '],[' 3545    '],[' 67160   '],[' 26824   '],"[' 72654    (Atom=Atom', ' 20204 Body=Body', ' 12795 Other', ' 39655)']",[' Yes'],"[' 4975     (Eliminated', '    0 Frozen', ' 4975)']","[' 976      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.787949'],[' 0'], ,[' 437.6'],[' 0'],[' 11.9351'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.9124e+08'],[' 1.04146e+08'],[' 0'],[' 2.93047e+10'],[' 0'],[' 0'],[' 850 '],[' 1541 '],[' 2050 '],[' 2637 '],[' 3219 '],[' 4 '],[' 1 ']
Solving...,TA58, , , , ,[' 2247'],[' 1129'],"[' 420.284s (Solving', ' 416.40s 1st Model', ' 3.61s Unsat', ' 4.79s)']",[' 418.734s'], ,[' 40690043'],"[' 7503752  (Analyzed', ' 7398295)']","[' 16056    (Average', ' 460.78 Last', ' 71539)']",[' 2228.2  '],"[' 1129     (Average Length', ' 628.44 Splits', ' 0)']","[' 22846186 (Deleted', ' 22526427)']","[' 21       (Ratio', '   0.00%)']","[' 3298     (Ratio', '   0.01%)']","[' 7398295  (Average Length', '   14.9 Ratio', '  32.38%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15447891 (Average Length', '   11.0 Ratio', '  67.62%) ']","[' 7398295  (Average', '  1.32 Max', ' 2300 Sum', ' 9765534)']","[' 7398276  (Average', '  1.32 Max', ' 2300 Sum', ' 9765515 Ratio', ' 100.00%)']","[' 19       (Average', '  1.00 Max', '   1 Sum', '     19 Ratio', '   0.00%)']", ,[' 73103   '],[' 3502    '],[' 67245   '],[' 26896   '],"[' 72201    (Atom=Atom', ' 20094 Body=Body', ' 12666 Other', ' 39441)']",[' Yes'],"[' 4974     (Eliminated', '    0 Frozen', ' 4974)']","[' 497      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.83692'],[' 0'], ,[' 167.128'],[' 0'],[' 5.00233'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.2028e+08'],[' 6.66688e+07'],[' 0'],[' 1.05846e+10'],[' 0'],[' 0'],[' 737 '],[' 1358 '],[' 1951 '],[' 2496 '],[' 3061 '],[' 2 '],[' 3 ']
Solving...,TA59, , , , ,[' 2097'],[' 1054'],"[' 507.883s (Solving', ' 504.00s 1st Model', ' 4.68s Unsat', ' 94.31s)']",[' 507.109s'], ,[' 38669594'],"[' 8889241  (Analyzed', ' 8773827)']","[' 19005    (Average', ' 461.66 Last', ' 57737)']",[' 2219.3  '],"[' 1054     (Average Length', ' 586.03 Splits', ' 0)']","[' 24545228 (Deleted', ' 24210514)']","[' 41       (Ratio', '   0.00%)']","[' 3508     (Ratio', '   0.01%)']","[' 8773827  (Average Length', '   15.0 Ratio', '  35.75%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 15771401 (Average Length', '   11.1 Ratio', '  64.25%) ']","[' 8773827  (Average', '  1.23 Max', ' 1928 Sum', ' 10772431)']","[' 8773795  (Average', '  1.23 Max', ' 1928 Sum', ' 10770957 Ratio', '  99.99%)']","[' 32       (Average', ' 46.06 Max', ' 207 Sum', '   1474 Ratio', '   0.01%)']", ,[' 72960   '],[' 3474    '],[' 67000   '],[' 26781   '],"[' 71513    (Atom=Atom', ' 19907 Body=Body', ' 12582 Other', ' 39024)']",[' Yes'],"[' 4907     (Eliminated', '    0 Frozen', ' 4907)']","[' 547      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.802828'],[' 0'], ,[' 262.445'],[' 0'],[' 6.55735'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.01907e+08'],[' 4.84624e+07'],[' 0'],[' 1.74493e+10'],[' 0'],[' 0'],[' 580 '],[' 1196 '],[' 1738 '],[' 2352 '],[' 2906 '],[' 2 '],[' 3 ']
Solving...,TA60, , , , ,[' 2095'],[' 1053'],"[' 659.984s (Solving', ' 656.22s 1st Model', ' 4.11s Unsat', ' 244.26s)']",[' 659.516s'], ,[' 52685829'],"[' 10429211 (Analyzed', ' 10332997)']","[' 21017    (Average', ' 491.65 Last', ' 38076)']",[' 2237.0  '],"[' 1053     (Average Length', ' 585.89 Splits', ' 0)']","[' 31104537 (Deleted', ' 30674513)']","[' 40       (Ratio', '   0.00%)']","[' 4569     (Ratio', '   0.01%)']","[' 10332997 (Average Length', '   14.5 Ratio', '  33.22%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 20771540 (Average Length', '   11.9 Ratio', '  66.78%) ']","[' 10332997 (Average', '  1.30 Max', ' 2179 Sum', ' 13476963)']","[' 10332963 (Average', '  1.30 Max', ' 2179 Sum', ' 13470657 Ratio', '  99.95%)']","[' 34       (Average', ' 185.47 Max', ' 393 Sum', '   6306 Ratio', '   0.05%)']", ,[' 72987   '],[' 3518    '],[' 67080   '],[' 26853   '],"[' 72183    (Atom=Atom', ' 20082 Body=Body', ' 12714 Other', ' 39387)']",[' Yes'],"[' 4938     (Eliminated', '    0 Frozen', ' 4938)']","[' 738      (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 0.826714'],[' 0'], ,[' 358.814'],[' 0'],[' 9.42247'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 1.40962e+08'],[' 7.19559e+07'],[' 0'],[' 2.63156e+10'],[' 0'],[' 0'],[' 742 '],[' 1262 '],[' 1861 '],[' 2412 '],[' 2919 '],[' 2 '],[' 3 ']
